ID;Geslacht;Leeftijd;Maandloon;BedrijfstakkenSBI2008;HerkomstNationaliteit;Perioden;BuitenlandGeborenWerknemersTotaal_1;BuitenlandGeborenWerknemersIngesc_2;BuitenlandGeborenWerknemersNietI_3
54;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 26;2006, vrijdag 29 september;212.1;99.2;112.9
55;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 26;2007, vrijdag 28 september;270.1;109.3;160.8
56;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 26;2008, vrijdag 26 september;303.2;122.0;181.3
57;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 26;2009, vrijdag 25 september;301.4;127.7;173.7
58;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 26;2010, vrijdag 24 september;312.9;136.6;176.3
59;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 26;2011, vrijdag 23 september;335.6;149.7;185.9
60;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 26;2012, vrijdag 28 september;339.1;158.4;180.6
61;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 26;2013, vrijdag 28 september;344.3;166.2;178.1
62;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 26;2014, vrijdag 26 september;350.4;179.5;170.0
63;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 10;2006, vrijdag 29 september;39.5;19.7;19.9
64;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 10;2007, vrijdag 28 september;85.2;26.0;59.2
65;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 10;2008, vrijdag 26 september;113.6;33.9;79.7
66;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 10;2009, vrijdag 25 september;123.6;39.3;84.3
67;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 10;2010, vrijdag 24 september;139.7;47.2;92.5
68;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 10;2011, vrijdag 23 september;161.3;57.3;104.0
69;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 10;2012, vrijdag 28 september;172.3;64.8;107.5
70;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 10;2013, vrijdag 28 september;182.5;71.5;111.0
71;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;EU 10;2014, vrijdag 26 september;191.9;83.2;108.0
72;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;België;2006, vrijdag 29 september;24.9;10.1;14.8
73;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;België;2007, vrijdag 28 september;25.6;10.4;15.2
74;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;België;2008, vrijdag 26 september;26.4;10.7;15.7
75;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;België;2009, vrijdag 25 september;26.8;10.5;16.3
76;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;België;2010, vrijdag 24 september;26.3;10.6;15.8
77;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;België;2011, vrijdag 23 september;26.5;10.7;15.8
78;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;België;2012, vrijdag 28 september;25.9;10.6;15.3
79;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;België;2013, vrijdag 28 september;25.5;10.3;15.1
80;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;België;2014, vrijdag 26 september;25.2;10.3;14.9
81;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Bulgarije;2006, vrijdag 29 september;1.3;1.2;0.2
82;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Bulgarije;2007, vrijdag 28 september;1.8;1.5;0.4
83;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Bulgarije;2008, vrijdag 26 september;2.1;1.8;0.3
84;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Bulgarije;2009, vrijdag 25 september;2.1;1.9;0.2
85;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Bulgarije;2010, vrijdag 24 september;2.3;2.1;0.2
86;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Bulgarije;2011, vrijdag 23 september;2.4;2.2;0.2
87;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Bulgarije;2012, vrijdag 28 september;2.4;2.2;0.2
88;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Bulgarije;2013, vrijdag 28 september;2.5;2.4;0.1
89;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Bulgarije;2014, vrijdag 26 september;5.6;4.4;1.2
90;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Duitsland;2006, vrijdag 29 september;62.3;22.4;39.9
91;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Duitsland;2007, vrijdag 28 september;65.1;24.0;41.1
92;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Duitsland;2008, vrijdag 26 september;67.0;25.5;41.4
93;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Duitsland;2009, vrijdag 25 september;56.9;25.5;31.3
94;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Duitsland;2010, vrijdag 24 september;53.7;26.0;27.8
95;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Duitsland;2011, vrijdag 23 september;53.4;26.6;26.8
96;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Duitsland;2012, vrijdag 28 september;48.9;25.9;23.0
97;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Duitsland;2013, vrijdag 28 september;46.0;25.3;20.7
98;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Duitsland;2014, vrijdag 26 september;42.6;24.6;17.9
99;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Frankrijk;2006, vrijdag 29 september;7.4;6.0;1.4
100;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Frankrijk;2007, vrijdag 28 september;7.9;6.3;1.6
101;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Frankrijk;2008, vrijdag 26 september;8.4;6.9;1.4
102;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Frankrijk;2009, vrijdag 25 september;8.1;7.0;1.1
103;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Frankrijk;2010, vrijdag 24 september;8.2;7.2;1.0
104;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Frankrijk;2011, vrijdag 23 september;8.5;7.3;1.1
105;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Frankrijk;2012, vrijdag 28 september;8.4;7.4;1.0
106;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Frankrijk;2013, vrijdag 28 september;8.6;7.6;1.0
107;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Frankrijk;2014, vrijdag 26 september;8.9;7.8;1.1
108;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Griekenland;2006, vrijdag 29 september;3.6;2.4;1.2
109;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Griekenland;2007, vrijdag 28 september;3.7;2.5;1.1
110;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Griekenland;2008, vrijdag 26 september;3.8;2.7;1.1
111;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Griekenland;2009, vrijdag 25 september;3.7;2.8;0.9
112;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Griekenland;2010, vrijdag 24 september;3.5;2.8;0.7
113;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Griekenland;2011, vrijdag 23 september;4.3;3.3;1.0
114;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Griekenland;2012, vrijdag 28 september;5.1;4.1;0.9
115;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Griekenland;2013, vrijdag 28 september;5.8;4.6;1.2
116;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Griekenland;2014, vrijdag 26 september;6.1;5.0;1.2
117;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Italië;2006, vrijdag 29 september;6.7;5.7;1.0
118;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Italië;2007, vrijdag 28 september;7.1;6.0;1.1
119;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Italië;2008, vrijdag 26 september;7.6;6.5;1.1
120;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Italië;2009, vrijdag 25 september;7.7;6.8;1.0
121;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Italië;2010, vrijdag 24 september;8.2;7.1;1.2
122;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Italië;2011, vrijdag 23 september;8.8;7.5;1.3
123;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Italië;2012, vrijdag 28 september;8.9;7.8;1.1
124;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Italië;2013, vrijdag 28 september;9.5;8.4;1.1
125;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Italië;2014, vrijdag 26 september;10.5;9.3;1.2
126;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Polen;2006, vrijdag 29 september;29.8;11.8;18.0
127;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Polen;2007, vrijdag 28 september;70.4;16.4;54.1
128;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Polen;2008, vrijdag 26 september;94.1;22.1;72.0
129;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Polen;2009, vrijdag 25 september;101.7;26.3;75.4
130;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Polen;2010, vrijdag 24 september;113.3;31.9;81.4
131;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Polen;2011, vrijdag 23 september;129.8;39.7;90.1
132;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Polen;2012, vrijdag 28 september;138.5;45.6;93.0
133;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Polen;2013, vrijdag 28 september;147.6;51.0;96.5
134;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Polen;2014, vrijdag 26 september;150.0;58.2;91.8
135;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Portugal;2006, vrijdag 29 september;8.3;4.5;3.8
136;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Portugal;2007, vrijdag 28 september;8.3;4.9;3.4
137;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Portugal;2008, vrijdag 26 september;8.9;5.6;3.3
138;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Portugal;2009, vrijdag 25 september;8.6;6.0;2.6
139;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Portugal;2010, vrijdag 24 september;8.3;5.9;2.3
140;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Portugal;2011, vrijdag 23 september;9.1;6.1;3.0
141;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Portugal;2012, vrijdag 28 september;9.7;6.5;3.2
142;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Portugal;2013, vrijdag 28 september;9.5;6.7;2.8
143;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Portugal;2014, vrijdag 26 september;9.5;7.0;2.6
144;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Roemenië;2006, vrijdag 29 september;3.2;2.9;0.4
145;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Roemenië;2007, vrijdag 28 september;4.1;3.2;0.9
146;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Roemenië;2008, vrijdag 26 september;4.6;3.7;0.9
147;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Roemenië;2009, vrijdag 25 september;4.7;3.7;1.0
148;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Roemenië;2010, vrijdag 24 september;5.0;4.0;1.0
149;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Roemenië;2011, vrijdag 23 september;5.1;4.4;0.7
150;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Roemenië;2012, vrijdag 28 september;5.3;4.6;0.7
151;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Roemenië;2013, vrijdag 28 september;5.6;4.9;0.8
152;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Roemenië;2014, vrijdag 26 september;9.3;6.4;2.9
153;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Spanje;2006, vrijdag 29 september;5.6;4.8;0.8
154;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Spanje;2007, vrijdag 28 september;5.6;4.9;0.7
155;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Spanje;2008, vrijdag 26 september;5.8;5.2;0.6
156;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Spanje;2009, vrijdag 25 september;5.8;5.2;0.6
157;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Spanje;2010, vrijdag 24 september;6.1;5.3;0.8
158;Totaal mannen en vrouwen;Totaal leeftijd (18 tot 75 jaar);Totaal;A-U Alle economische activiteiten;Spanje;2011, vrijdag 23 september;6.5;5.7;0.9
