ID;Arbeidspositie;Arbeidsduur;Geslacht;Persoonskenmerken;Perioden;Totaal_1;Deeltijd_2;MinderDan20UurPerWeek_3;MinderDan12UurPerWeek_4;k_12Tot20UurPerWeek_5;k_20Tot35UurPerWeek_6;k_20Tot28UurPerWeek_7;k_28Tot35UurPerWeek_8;Voltijd35UurOfMeerPerWeek_9;Onbekend_10;GemiddeldAantalExtraGewensteUren_11
20;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2017 1e kwartaal;1748;1119;439;239.0;200;680;369;311;554;75;18.8
21;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2017 2e kwartaal;1671;1063;408;208.0;200;655;355;300;528;81;18.7
22;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2017 3e kwartaal;1606;1032;390;199.0;191;642;344;298;499;75;18.8
23;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2017 4e kwartaal;1558;1013;403;207.0;196;610;327;283;478;67;18.4
24;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2017;1646;1057;410;213.0;197;647;349;298;514;74;18.7
25;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2018 1e kwartaal;1559;1009;389;210.0;178;621;325;295;479;70;18.4
26;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2018 2e kwartaal;1477;966;358;185.0;173;608;317;291;440;71;18.3
27;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2018 3e kwartaal;1428;929;342;181.0;161;588;317;271;424;74;18.4
28;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2018 4e kwartaal;1378;903;354;199.0;155;549;281;267;411;65;17.6
29;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2018;1461;952;361;194.0;167;591;310;281;439;70;18.2
30;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2019 1e kwartaal;1414;906;358;186.0;172;548;282;266;434;74;18.1
31;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2019 2e kwartaal;1361;878;322;164.0;158;556;300;256;402;81;18.1
32;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2019 3e kwartaal;1341;873;335;179.0;156;538;272;266;408;60;18.4
33;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2019 4e kwartaal;1327;875;359;190.0;169;516;263;253;388;64;17.6
34;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2019;1361;883;344;180.0;164;539;279;260;408;70;18.1
35;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2020 1e kwartaal;1332;900;353;183.0;169;547;279;268;365;67;17.8
36;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2020 2e kwartaal;1550;1009;383;189.0;194;625;320;306;473;69;19.3
37;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2020 3e kwartaal;1495;956;378;193.0;185;578;288;290;483;55;19.0
38;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2020 4e kwartaal;1463;955;388;214.0;175;567;285;282;451;57;18.5
39;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2020;1460;955;376;195.0;181;579;293;287;443;62;18.7
40;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2021 1e kwartaal;1483;957;411;207.0;204;546;286;260;371;155;18.0
41;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2021 2e kwartaal;1369;906;363;173.0;190;543;291;252;316;148;17.9
42;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2021 3e kwartaal;1239;828;345;170.0;175;483;256;227;277;134;17.6
43;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2021 4e kwartaal;1192;850;375;193.0;181;475;253;222;242;100;16.6
44;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2021;1321;885;373;186.0;188;512;271;240;302;134;17.6
45;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2022 1e kwartaal;1162;816;360;196.0;164;456;232;225;237;109;16.4
46;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2022 2e kwartaal;1125;772;311;153.0;159;461;249;212;231;122;17.0
47;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2022 3e kwartaal;1175;799;351;174.0;177;448;216;232;255;121;16.8
48;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2022 4e kwartaal;1177;835;370;188.0;181;465;242;222;229;113;16.2
49;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2022;1160;805;348;178.0;170;458;235;223;238;116;16.6
50;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2023 1e kwartaal;1232;884;381;195.0;186;503;266;237;233;115;16.3
51;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2023 2e kwartaal;1169;800;341;165.0;176;459;237;222;260;110;17.1
52;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2023 3e kwartaal;1171;785;328;162.0;166;457;234;223;269;117;17.5
53;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2023 4e kwartaal;1157;808;359;184.0;174;450;225;225;232;117;16.4
54;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2023;1182;819;352;176.0;176;467;241;227;248;115;16.8
55;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2024 1e kwartaal;1202;842;381;181.0;200;461;239;222;251;109;16.7
56;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2024 2e kwartaal;1159;790;329;159.0;170;461;235;226;261;108;17.1
57;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2024 3e kwartaal;1159;795;343;171.0;172;452;224;228;265;99;17.5
58;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2024 4e kwartaal;1146;799;356;186.0;169;444;222;222;253;94;16.9
59;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Totaal personen;2024;1166;807;352;174.0;178;454;230;225;257;103;17.0
60;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2013 1e kwartaal;540;363;264;163.0;101;99;55;44;160;17;16.3
61;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2013 2e kwartaal;558;369;247;145.0;102;122;69;53;160;28;17.0
62;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2013 3e kwartaal;562;380;261;159.0;102;119;62;58;161;20;16.8
63;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2013 4e kwartaal;544;379;288;183.0;105;91;45;45;151;14;15.5
64;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2013;551;373;265;163.0;102;108;58;50;158;20;16.4
65;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2014 1e kwartaal;546;371;275;182.0;93;95;53;43;160;16;16.0
66;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2014 2e kwartaal;569;375;265;166.0;99;110;58;52;166;29;16.3
67;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2014 3e kwartaal;538;355;244;148.0;96;111;58;53;159;24;16.8
68;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2014 4e kwartaal;528;370;282;179.0;103;88;44;45;143;15;14.7
69;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2014;545;367;266;169.0;98;101;53;48;157;21;16.0
70;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2015 1e kwartaal;531;368;284;178.0;106;84;40;44;141;22;14.8
71;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2015 2e kwartaal;528;363;244;143.0;100;119;69;50;141;24;15.7
72;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2015 3e kwartaal;514;347;230;148.0;82;117;63;54;144;23;15.8
73;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2015 4e kwartaal;489;344;242;158.0;84;102;54;48;129;16;14.9
74;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2015 ;515;356;250;157.0;93;106;56;49;139;21;15.3
75;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2016 1e kwartaal;512;356;259;168.0;90;97;52;45;134;21;15.0
76;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2016 2e kwartaal;518;359;247;158.0;89;113;61;52;131;28;15.7
77;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2016 3e kwartaal;490;333;228;136.0;92;104;56;48;133;24;16.0
78;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2016 4e kwartaal;457;331;261;168.0;93;70;37;33;114;12;13.9
79;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2016;494;345;249;158.0;91;96;51;44;128;21;15.2
80;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2017 1e kwartaal;464;328;238;156.0;83;90;49;41;118;19;14.5
81;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2017 2e kwartaal;455;323;222;131.0;91;101;58;43;108;24;14.9
82;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2017 3e kwartaal;444;305;201;125.0;76;104;61;43;115;24;15.8
83;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2017 4e kwartaal;406;297;219;139.0;80;79;47;32;93;16;13.5
84;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2017;443;313;220;138.0;82;93;54;40;108;21;14.7
85;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2018 1e kwartaal;419;302;217;138.0;79;85;45;39;95;23;14.0
86;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2018 2e kwartaal;414;299;191;117.0;73;108;58;50;95;20;14.9
87;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2018 3e kwartaal;400;277;183;113.0;70;93;48;46;102;22;15.6
88;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2018 4e kwartaal;363;263;194;121.0;72;69;27;41;82;18;13.7
89;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2018;399;285;196;123.0;74;89;45;44;93;21;14.6
90;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2019 1e kwartaal;385;276;198;122.0;76;78;38;40;90;18;14.3
91;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2019 2e kwartaal;378;263;160;89.0;72;103;60;43;85;30;15.4
92;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2019 3e kwartaal;394;265;169;97.0;72;97;47;50;110;19;16.4
93;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2019 4e kwartaal;365;264;196;121.0;75;68;35;34;88;13;13.9
94;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2019;381;267;181;107.0;74;86;45;41;93;20;15.0
95;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2020 1e kwartaal;387;278;188;110.0;78;89;46;43;87;22;14.7
96;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2020 2e kwartaal;522;379;229;122.0;107;149;87;62;116;28;16.9
97;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2020 3e kwartaal;452;321;220;121.0;100;101;58;42;112;19;16.7
98;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2020 4e kwartaal;438;327;236;141.0;95;91;53;37;97;14;14.5
99;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2020;450;326;219;123.0;95;107;61;46;103;21;15.8
100;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021 1e kwartaal;612;446;314;178.0;136;132;80;52;93;72;13.3
101;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021 2e kwartaal;564;411;264;144.0;120;146;81;65;86;67;13.8
102;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021 3e kwartaal;464;335;235;137.0;99;100;60;40;70;58;13.5
103;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021 4e kwartaal;446;352;266;161.0;105;87;54;32;50;44;11.6
104;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021;521;386;270;155.0;115;116;69;47;75;60;13.1
105;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022 1e kwartaal;445;348;248;157.0;91;100;59;41;51;46;12.2
106;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022 2e kwartaal;455;337;219;121.0;98;118;76;42;63;54;13.1
107;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022 3e kwartaal;466;339;233;134.0;99;106;58;47;69;59;13.5
108;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022 4e kwartaal;454;344;246;148.0;98;98;62;36;53;57;12.1
109;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022;455;342;237;140.0;96;105;64;42;59;54;12.7
110;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023 1e kwartaal;484;373;256;153.0;103;116;70;46;59;52;12.3
111;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023 2e kwartaal;506;372;235;132.0;103;137;81;56;82;52;13.6
112;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023 3e kwartaal;496;353;226;129.0;97;127;75;52;79;63;14.3
113;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023 4e kwartaal;475;353;249;143.0;106;104;61;43;62;59;12.1
114;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023;490;363;242;139.0;102;121;72;49;71;57;13.1
115;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024 1e kwartaal;510;387;264;141.0;123;123;74;48;70;54;12.6
116;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024 2e kwartaal;520;376;230;126.0;104;146;88;58;85;59;13.5
117;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024 3e kwartaal;515;378;243;137.0;106;135;72;62;84;54;13.7
118;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024 4e kwartaal;494;383;259;155.0;104;124;70;54;66;44;12.8
119;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024;510;381;249;140.0;109;132;76;56;76;53;13.2
120;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2013 1e kwartaal;353;148;26;7.0;19;122;65;57;194;11;23.5
121;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2013 2e kwartaal;352;152;18;4.0;14;134;64;70;187;13;23.1
122;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2013 3e kwartaal;361;164;31;9.0;22;133;60;74;189;8;23.5
123;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2013 4e kwartaal;358;167;33;11.0;22;134;61;73;184;6;22.7
124;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2013;356;158;27;8.0;19;131;63;68;189;9;23.2
125;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2014 1e kwartaal;386;181;37;13.0;25;143;65;78;196;9;22.3
126;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2014 2e kwartaal;361;162;26;6.0;20;135;64;71;188;12;22.6
127;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2014 3e kwartaal;368;167;31;8.0;23;136;65;70;185;16;22.7
128;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2014 4e kwartaal;345;164;29;9.0;20;135;62;73;167;14;22.6
129;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2014;365;168;31;9.0;22;137;64;73;184;13;22.5
130;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2015 1e kwartaal;369;171;35;11.0;24;135;68;68;187;11;23.1
131;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2015 2e kwartaal;358;175;29;10.0;20;146;67;79;169;14;22.6
132;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2015 3e kwartaal;353;166;36;9.0;27;130;66;64;174;13;22.2
133;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2015 4e kwartaal;338;150;34;12.0;22;116;53;63;173;15;21.7
134;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2015 ;354;165;34;10.0;23;132;63;68;176;13;22.4
135;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2016 1e kwartaal;337;158;28;8.0;20;130;61;68;165;13;21.2
136;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2016 2e kwartaal;316;146;29;8.0;21;117;53;65;158;12;22.2
137;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2016 3e kwartaal;316;142;25;8.0;17;117;58;59;163;10;21.6
138;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2016 4e kwartaal;297;145;29;7.0;23;116;48;68;142;11;20.9
139;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2016;317;148;28;8.0;20;120;55;65;157;11;21.5
140;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2017 1e kwartaal;304;147;25;9.0;16;121;54;68;147;11;21.7
141;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2017 2e kwartaal;290;142;33;11.0;22;109;54;55;137;10;21.1
142;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2017 3e kwartaal;277;134;26;8.0;18;108;46;62;133;10;21.5
143;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2017 4e kwartaal;267;138;29;10.0;19;109;50;60;118;10;20.6
144;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2017;284;140;28;10.0;19;112;51;61;134;10;21.2
145;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2018 1e kwartaal;252;131;24;8.0;17;107;52;55;110;10;20.6
146;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2018 2e kwartaal;242;130;31;8.0;23;99;41;57;104;9;19.5
147;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2018 3e kwartaal;257;133;27;9.0;18;107;52;55;112;12;19.7
148;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2018 4e kwartaal;238;118;25;10.0;15;92;39;53;112;8;19.7
149;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2018;247;128;27;9.0;18;101;46;55;109;10;19.9
150;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2019 1e kwartaal;241;122;22;6.0;16;100;41;60;110;9;20.5
151;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2019 2e kwartaal;244;125;22;7.0;15;103;41;61;107;12;20.9
152;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2019 3e kwartaal;239;129;22;8.0;14;108;43;64;97;12;21.0
153;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2019 4e kwartaal;247;122;21;5.0;16;101;45;56;113;12;20.4
154;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2019;243;125;22;7.0;15;103;43;60;107;11;20.7
155;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2020 1e kwartaal;249;135;24;8.0;16;111;45;66;102;11;20.3
156;Onbenut arbeidspotentieel;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2020 2e kwartaal;277;140;24;5.0;19;116;41;75;124;12;22.3
