ID;CPA2015;Periods;PriceIndex_1;QuarterlyChanges_2;YearlyChanges_3
101;Services producer price index;2023 1st quarter;110.7;2.2;7.6
102;Services producer price index;2023 2nd quarter;112.6;1.7;6.2
103;Services producer price index;2023 3rd quarter;113.8;1.0;4.5
104;Services producer price index;2023 4th quarter;113.1;-0.6;4.4
105;Services producer price index;2023;112.5;;5.6
106;Services producer price index;2024 1st quarter;115.0;1.7;3.9
107;Services producer price index;2024 2nd quarter;116.9;1.7;3.8
108;Services producer price index;2024 3rd quarter;118.7;1.5;4.3
109;Services producer price index;2024 4th quarter;117.5;-1.0;3.9
110;Services producer price index;2024;117.0;;4.0
111;H TRANSPORTATION AND STORAGE SERVICES;2002 4th quarter;;;
112;H TRANSPORTATION AND STORAGE SERVICES;2003 1st quarter;;;
113;H TRANSPORTATION AND STORAGE SERVICES;2003 2nd quarter;;;
114;H TRANSPORTATION AND STORAGE SERVICES;2003 3rd quarter;;;
115;H TRANSPORTATION AND STORAGE SERVICES;2003 4th quarter;;;
116;H TRANSPORTATION AND STORAGE SERVICES;2003;;;
117;H TRANSPORTATION AND STORAGE SERVICES;2004 1st quarter;;;
118;H TRANSPORTATION AND STORAGE SERVICES;2004 2nd quarter;;;
119;H TRANSPORTATION AND STORAGE SERVICES;2004 3rd quarter;;;
120;H TRANSPORTATION AND STORAGE SERVICES;2004 4th quarter;;;
121;H TRANSPORTATION AND STORAGE SERVICES;2004;;;
122;H TRANSPORTATION AND STORAGE SERVICES;2005 1st quarter;;;
123;H TRANSPORTATION AND STORAGE SERVICES;2005 2nd quarter;;;
124;H TRANSPORTATION AND STORAGE SERVICES;2005 3rd quarter;;;
125;H TRANSPORTATION AND STORAGE SERVICES;2005 4th quarter;;;
126;H TRANSPORTATION AND STORAGE SERVICES;2005;;;
127;H TRANSPORTATION AND STORAGE SERVICES;2006 1st quarter;85.6;;
128;H TRANSPORTATION AND STORAGE SERVICES;2006 2nd quarter;85.3;-0.4;
129;H TRANSPORTATION AND STORAGE SERVICES;2006 3rd quarter;85.7;0.4;
130;H TRANSPORTATION AND STORAGE SERVICES;2006 4th quarter;85.7;0.0;
131;H TRANSPORTATION AND STORAGE SERVICES;2006;85.6;;
132;H TRANSPORTATION AND STORAGE SERVICES;2007 1st quarter;85.5;-0.3;-0.2
133;H TRANSPORTATION AND STORAGE SERVICES;2007 2nd quarter;85.6;0.2;0.3
134;H TRANSPORTATION AND STORAGE SERVICES;2007 3rd quarter;86.4;0.9;0.8
135;H TRANSPORTATION AND STORAGE SERVICES;2007 4th quarter;86.7;0.4;1.2
136;H TRANSPORTATION AND STORAGE SERVICES;2007;86.0;;0.6
137;H TRANSPORTATION AND STORAGE SERVICES;2008 1st quarter;88.2;1.6;3.2
138;H TRANSPORTATION AND STORAGE SERVICES;2008 2nd quarter;88.5;0.3;3.3
139;H TRANSPORTATION AND STORAGE SERVICES;2008 3rd quarter;90.1;1.9;4.3
140;H TRANSPORTATION AND STORAGE SERVICES;2008 4th quarter;89.9;-0.2;3.7
141;H TRANSPORTATION AND STORAGE SERVICES;2008;89.2;;3.6
142;H TRANSPORTATION AND STORAGE SERVICES;2009 1st quarter;86.7;-3.6;-1.7
143;H TRANSPORTATION AND STORAGE SERVICES;2009 2nd quarter;84.2;-2.9;-4.9
144;H TRANSPORTATION AND STORAGE SERVICES;2009 3rd quarter;84.1;-0.1;-6.7
145;H TRANSPORTATION AND STORAGE SERVICES;2009 4th quarter;85.5;1.7;-4.9
146;H TRANSPORTATION AND STORAGE SERVICES;2009;85.1;;-4.6
147;H TRANSPORTATION AND STORAGE SERVICES;2010 1st quarter;85.3;-0.2;-1.5
148;H TRANSPORTATION AND STORAGE SERVICES;2010 2nd quarter;87.1;2.1;3.5
149;H TRANSPORTATION AND STORAGE SERVICES;2010 3rd quarter;87.2;0.1;3.8
150;H TRANSPORTATION AND STORAGE SERVICES;2010 4th quarter;86.5;-0.9;1.2
151;H TRANSPORTATION AND STORAGE SERVICES;2010;86.5;;1.7
152;H TRANSPORTATION AND STORAGE SERVICES;2011 1st quarter;87.6;1.4;2.7
153;H TRANSPORTATION AND STORAGE SERVICES;2011 2nd quarter;88.3;0.8;1.4
154;H TRANSPORTATION AND STORAGE SERVICES;2011 3rd quarter;88.6;0.3;1.5
155;H TRANSPORTATION AND STORAGE SERVICES;2011 4th quarter;88.1;-0.6;1.9
156;H TRANSPORTATION AND STORAGE SERVICES;2011;88.2;;1.9
157;H TRANSPORTATION AND STORAGE SERVICES;2012 1st quarter;88.6;0.6;1.1
158;H TRANSPORTATION AND STORAGE SERVICES;2012 2nd quarter;90.3;1.9;2.2
159;H TRANSPORTATION AND STORAGE SERVICES;2012 3rd quarter;90.6;0.4;2.3
160;H TRANSPORTATION AND STORAGE SERVICES;2012 4th quarter;90.0;-0.7;2.2
161;H TRANSPORTATION AND STORAGE SERVICES;2012;89.9;;1.9
162;H TRANSPORTATION AND STORAGE SERVICES;2013 1st quarter;90.4;0.4;2.0
163;H TRANSPORTATION AND STORAGE SERVICES;2013 2nd quarter;90.2;-0.2;-0.1
164;H TRANSPORTATION AND STORAGE SERVICES;2013 3rd quarter;90.6;0.5;0.0
165;H TRANSPORTATION AND STORAGE SERVICES;2013 4th quarter;90.7;0.1;0.8
166;H TRANSPORTATION AND STORAGE SERVICES;2013;90.5;;0.7
167;H TRANSPORTATION AND STORAGE SERVICES;2014 1st quarter;90.3;-0.5;-0.1
168;H TRANSPORTATION AND STORAGE SERVICES;2014 2nd quarter;90.5;0.3;0.4
169;H TRANSPORTATION AND STORAGE SERVICES;2014 3rd quarter;90.5;0.0;-0.1
170;H TRANSPORTATION AND STORAGE SERVICES;2014 4th quarter;90.3;-0.3;-0.5
171;H TRANSPORTATION AND STORAGE SERVICES;2014;90.4;;-0.1
172;H TRANSPORTATION AND STORAGE SERVICES;2015 1st quarter;90.4;0.2;0.2
173;H TRANSPORTATION AND STORAGE SERVICES;2015 2nd quarter;91.2;0.8;0.7
174;H TRANSPORTATION AND STORAGE SERVICES;2015 3rd quarter;91.6;0.4;1.1
175;H TRANSPORTATION AND STORAGE SERVICES;2015 4th quarter;91.2;-0.4;1.1
176;H TRANSPORTATION AND STORAGE SERVICES;2015;91.1;;0.8
177;H TRANSPORTATION AND STORAGE SERVICES;2016 1st quarter;89.7;-1.7;-0.8
178;H TRANSPORTATION AND STORAGE SERVICES;2016 2nd quarter;89.8;0.2;-1.4
179;H TRANSPORTATION AND STORAGE SERVICES;2016 3rd quarter;90.1;0.2;-1.7
180;H TRANSPORTATION AND STORAGE SERVICES;2016 4th quarter;89.6;-0.5;-1.8
181;H TRANSPORTATION AND STORAGE SERVICES;2016;89.8;;-1.4
182;H TRANSPORTATION AND STORAGE SERVICES;2017 1st quarter;90.1;0.5;0.4
183;H TRANSPORTATION AND STORAGE SERVICES;2017 2nd quarter;91.0;1.0;1.2
184;H TRANSPORTATION AND STORAGE SERVICES;2017 3rd quarter;91.0;0.1;1.1
185;H TRANSPORTATION AND STORAGE SERVICES;2017 4th quarter;90.8;-0.3;1.3
186;H TRANSPORTATION AND STORAGE SERVICES;2017;90.7;;1.0
187;H TRANSPORTATION AND STORAGE SERVICES;2018 1st quarter;91.0;0.2;1.0
188;H TRANSPORTATION AND STORAGE SERVICES;2018 2nd quarter;91.9;1.0;1.0
189;H TRANSPORTATION AND STORAGE SERVICES;2018 3rd quarter;93.4;1.7;2.6
190;H TRANSPORTATION AND STORAGE SERVICES;2018 4th quarter;94.0;0.7;3.5
191;H TRANSPORTATION AND STORAGE SERVICES;2018;92.6;;2.0
192;H TRANSPORTATION AND STORAGE SERVICES;2019 1st quarter;93.7;-0.3;3.0
193;H TRANSPORTATION AND STORAGE SERVICES;2019 2nd quarter;95.1;1.4;3.5
194;H TRANSPORTATION AND STORAGE SERVICES;2019 3rd quarter;95.5;0.4;2.2
195;H TRANSPORTATION AND STORAGE SERVICES;2019 4th quarter;94.8;-0.7;0.8
196;H TRANSPORTATION AND STORAGE SERVICES;2019;94.8;;2.4
197;H TRANSPORTATION AND STORAGE SERVICES;2020 1st quarter;95.0;0.3;1.4
198;H TRANSPORTATION AND STORAGE SERVICES;2020 2nd quarter;97.4;2.5;2.5
199;H TRANSPORTATION AND STORAGE SERVICES;2020 3rd quarter;96.4;-1.1;0.9
200;H TRANSPORTATION AND STORAGE SERVICES;2020 4th quarter;95.9;-0.5;1.1
201;H TRANSPORTATION AND STORAGE SERVICES;2020;96.2;;1.5
202;H TRANSPORTATION AND STORAGE SERVICES;2021 1st quarter;97.2;1.4;2.3
203;H TRANSPORTATION AND STORAGE SERVICES;2021 2nd quarter;99.0;1.9;1.6
204;H TRANSPORTATION AND STORAGE SERVICES;2021 3rd quarter;100.6;1.6;4.4
205;H TRANSPORTATION AND STORAGE SERVICES;2021 4th quarter;103.2;2.6;7.7
206;H TRANSPORTATION AND STORAGE SERVICES;2021;100.0;;4.0
207;H TRANSPORTATION AND STORAGE SERVICES;2022 1st quarter;106.7;3.4;9.8
208;H TRANSPORTATION AND STORAGE SERVICES;2022 2nd quarter;111.9;4.8;13.0
209;H TRANSPORTATION AND STORAGE SERVICES;2022 3rd quarter;116.1;3.7;15.4
210;H TRANSPORTATION AND STORAGE SERVICES;2022 4th quarter;115.1;-0.8;11.6
211;H TRANSPORTATION AND STORAGE SERVICES;2022;112.5;;12.5
212;H TRANSPORTATION AND STORAGE SERVICES;2023 1st quarter;117.5;2.1;10.1
213;H TRANSPORTATION AND STORAGE SERVICES;2023 2nd quarter;117.3;-0.2;4.9
214;H TRANSPORTATION AND STORAGE SERVICES;2023 3rd quarter;116.7;-0.5;0.6
215;H TRANSPORTATION AND STORAGE SERVICES;2023 4th quarter;117.0;0.3;1.7
216;H TRANSPORTATION AND STORAGE SERVICES;2023;117.2;;4.2
217;H TRANSPORTATION AND STORAGE SERVICES;2024 1st quarter;119.4;2.0;1.6
218;H TRANSPORTATION AND STORAGE SERVICES;2024 2nd quarter;120.6;1.0;2.8
219;H TRANSPORTATION AND STORAGE SERVICES;2024 3rd quarter;120.8;0.1;3.5
220;H TRANSPORTATION AND STORAGE SERVICES;2024 4th quarter;120.3;-0.4;2.8
221;H TRANSPORTATION AND STORAGE SERVICES;2024;120.3;;2.6
222;49 Transport via land and pipelines;2002 4th quarter;;;
223;49 Transport via land and pipelines;2003 1st quarter;;;
224;49 Transport via land and pipelines;2003 2nd quarter;;;
225;49 Transport via land and pipelines;2003 3rd quarter;;;
226;49 Transport via land and pipelines;2003 4th quarter;;;
227;49 Transport via land and pipelines;2003;;;
228;49 Transport via land and pipelines;2004 1st quarter;;;
229;49 Transport via land and pipelines;2004 2nd quarter;;;
230;49 Transport via land and pipelines;2004 3rd quarter;;;
231;49 Transport via land and pipelines;2004 4th quarter;;;
232;49 Transport via land and pipelines;2004;;;
233;49 Transport via land and pipelines;2005 1st quarter;;;
234;49 Transport via land and pipelines;2005 2nd quarter;;;
235;49 Transport via land and pipelines;2005 3rd quarter;;;
236;49 Transport via land and pipelines;2005 4th quarter;;;
237;49 Transport via land and pipelines;2005;;;
238;49 Transport via land and pipelines;2006 1st quarter;;;
239;49 Transport via land and pipelines;2006 2nd quarter;;;
240;49 Transport via land and pipelines;2006 3rd quarter;;;
241;49 Transport via land and pipelines;2006 4th quarter;;;
242;49 Transport via land and pipelines;2006;;;
243;49 Transport via land and pipelines;2007 1st quarter;;;
244;49 Transport via land and pipelines;2007 2nd quarter;;;
245;49 Transport via land and pipelines;2007 3rd quarter;;;
246;49 Transport via land and pipelines;2007 4th quarter;;;
247;49 Transport via land and pipelines;2007;;;
248;49 Transport via land and pipelines;2008 1st quarter;;;
249;49 Transport via land and pipelines;2008 2nd quarter;;;
250;49 Transport via land and pipelines;2008 3rd quarter;;;
251;49 Transport via land and pipelines;2008 4th quarter;;;
252;49 Transport via land and pipelines;2008;;;
253;49 Transport via land and pipelines;2009 1st quarter;;;
254;49 Transport via land and pipelines;2009 2nd quarter;;;
255;49 Transport via land and pipelines;2009 3rd quarter;;;
256;49 Transport via land and pipelines;2009 4th quarter;;;
257;49 Transport via land and pipelines;2009;;;
258;49 Transport via land and pipelines;2010 1st quarter;;;
259;49 Transport via land and pipelines;2010 2nd quarter;;;
260;49 Transport via land and pipelines;2010 3rd quarter;;;
261;49 Transport via land and pipelines;2010 4th quarter;;;
262;49 Transport via land and pipelines;2010;;;
263;49 Transport via land and pipelines;2011 1st quarter;;;
264;49 Transport via land and pipelines;2011 2nd quarter;;;
265;49 Transport via land and pipelines;2011 3rd quarter;;;
266;49 Transport via land and pipelines;2011 4th quarter;;;
267;49 Transport via land and pipelines;2011;;;
268;49 Transport via land and pipelines;2012 1st quarter;;;
269;49 Transport via land and pipelines;2012 2nd quarter;;;
270;49 Transport via land and pipelines;2012 3rd quarter;;;
271;49 Transport via land and pipelines;2012 4th quarter;;;
272;49 Transport via land and pipelines;2012;;;
273;49 Transport via land and pipelines;2013 1st quarter;;;
274;49 Transport via land and pipelines;2013 2nd quarter;;;
275;49 Transport via land and pipelines;2013 3rd quarter;;;
276;49 Transport via land and pipelines;2013 4th quarter;;;
277;49 Transport via land and pipelines;2013;;;
278;49 Transport via land and pipelines;2014 1st quarter;;;
279;49 Transport via land and pipelines;2014 2nd quarter;;;
280;49 Transport via land and pipelines;2014 3rd quarter;;;
281;49 Transport via land and pipelines;2014 4th quarter;;;
282;49 Transport via land and pipelines;2014;;;
283;49 Transport via land and pipelines;2015 1st quarter;;;
284;49 Transport via land and pipelines;2015 2nd quarter;;;
285;49 Transport via land and pipelines;2015 3rd quarter;;;
286;49 Transport via land and pipelines;2015 4th quarter;;;
287;49 Transport via land and pipelines;2015;;;
288;49 Transport via land and pipelines;2016 1st quarter;;;
289;49 Transport via land and pipelines;2016 2nd quarter;;;
290;49 Transport via land and pipelines;2016 3rd quarter;;;
291;49 Transport via land and pipelines;2016 4th quarter;;;
292;49 Transport via land and pipelines;2016;;;
293;49 Transport via land and pipelines;2017 1st quarter;;;
294;49 Transport via land and pipelines;2017 2nd quarter;;;
295;49 Transport via land and pipelines;2017 3rd quarter;;;
296;49 Transport via land and pipelines;2017 4th quarter;;;
297;49 Transport via land and pipelines;2017;;;
298;49 Transport via land and pipelines;2018 1st quarter;;;
299;49 Transport via land and pipelines;2018 2nd quarter;;;
300;49 Transport via land and pipelines;2018 3rd quarter;;;
301;49 Transport via land and pipelines;2018 4th quarter;;;
302;49 Transport via land and pipelines;2018;;;
303;49 Transport via land and pipelines;2019 1st quarter;;;
304;49 Transport via land and pipelines;2019 2nd quarter;;;
305;49 Transport via land and pipelines;2019 3rd quarter;;;
306;49 Transport via land and pipelines;2019 4th quarter;;;
307;49 Transport via land and pipelines;2019;;;
308;49 Transport via land and pipelines;2020 1st quarter;;;
309;49 Transport via land and pipelines;2020 2nd quarter;;;
310;49 Transport via land and pipelines;2020 3rd quarter;;;
311;49 Transport via land and pipelines;2020 4th quarter;;;
312;49 Transport via land and pipelines;2020;;;
313;49 Transport via land and pipelines;2021 1st quarter;98.6;;
314;49 Transport via land and pipelines;2021 2nd quarter;99.4;0.8;
315;49 Transport via land and pipelines;2021 3rd quarter;100.2;0.8;
316;49 Transport via land and pipelines;2021 4th quarter;101.7;1.5;
317;49 Transport via land and pipelines;2021;100.0;;
318;49 Transport via land and pipelines;2022 1st quarter;106.3;4.5;7.8
319;49 Transport via land and pipelines;2022 2nd quarter;109.7;3.2;10.4
320;49 Transport via land and pipelines;2022 3rd quarter;112.5;2.5;12.2
321;49 Transport via land and pipelines;2022 4th quarter;112.6;0.1;10.7
322;49 Transport via land and pipelines;2022;110.3;;10.3
323;49 Transport via land and pipelines;2023 1st quarter;117.5;4.3;10.5
324;49 Transport via land and pipelines;2023 2nd quarter;116.7;-0.6;6.4
325;49 Transport via land and pipelines;2023 3rd quarter;116.9;0.2;3.9
326;49 Transport via land and pipelines;2023 4th quarter;117.5;0.5;4.3
327;49 Transport via land and pipelines;2023;117.2;;6.2
328;49 Transport via land and pipelines;2024 1st quarter;120.0;2.2;2.2
329;49 Transport via land and pipelines;2024 2nd quarter;120.3;0.2;3.0
330;49 Transport via land and pipelines;2024 3rd quarter;119.6;-0.6;2.3
331;49 Transport via land and pipelines;2024 4th quarter;119.7;0.1;1.9
332;49 Transport via land and pipelines;2024;119.9;;2.3
333;491 Passenger rail services;2002 4th quarter;;;
334;491 Passenger rail services;2003 1st quarter;;;
335;491 Passenger rail services;2003 2nd quarter;;;
336;491 Passenger rail services;2003 3rd quarter;;;
337;491 Passenger rail services;2003 4th quarter;;;
338;491 Passenger rail services;2003;;;
339;491 Passenger rail services;2004 1st quarter;;;
340;491 Passenger rail services;2004 2nd quarter;;;
341;491 Passenger rail services;2004 3rd quarter;;;
342;491 Passenger rail services;2004 4th quarter;;;
343;491 Passenger rail services;2004;;;
344;491 Passenger rail services;2005 1st quarter;;;
345;491 Passenger rail services;2005 2nd quarter;;;
346;491 Passenger rail services;2005 3rd quarter;;;
347;491 Passenger rail services;2005 4th quarter;;;
348;491 Passenger rail services;2005;;;
349;491 Passenger rail services;2006 1st quarter;;;
350;491 Passenger rail services;2006 2nd quarter;;;
351;491 Passenger rail services;2006 3rd quarter;;;
352;491 Passenger rail services;2006 4th quarter;;;
353;491 Passenger rail services;2006;;;
354;491 Passenger rail services;2007 1st quarter;;;
355;491 Passenger rail services;2007 2nd quarter;;;
356;491 Passenger rail services;2007 3rd quarter;;;
357;491 Passenger rail services;2007 4th quarter;;;
358;491 Passenger rail services;2007;;;
359;491 Passenger rail services;2008 1st quarter;;;
360;491 Passenger rail services;2008 2nd quarter;;;
361;491 Passenger rail services;2008 3rd quarter;;;
362;491 Passenger rail services;2008 4th quarter;;;
363;491 Passenger rail services;2008;;;
364;491 Passenger rail services;2009 1st quarter;;;
365;491 Passenger rail services;2009 2nd quarter;;;
366;491 Passenger rail services;2009 3rd quarter;;;
367;491 Passenger rail services;2009 4th quarter;;;
368;491 Passenger rail services;2009;;;
369;491 Passenger rail services;2010 1st quarter;;;
370;491 Passenger rail services;2010 2nd quarter;;;
371;491 Passenger rail services;2010 3rd quarter;;;
372;491 Passenger rail services;2010 4th quarter;;;
373;491 Passenger rail services;2010;;;
374;491 Passenger rail services;2011 1st quarter;;;
375;491 Passenger rail services;2011 2nd quarter;;;
376;491 Passenger rail services;2011 3rd quarter;;;
377;491 Passenger rail services;2011 4th quarter;;;
378;491 Passenger rail services;2011;;;
379;491 Passenger rail services;2012 1st quarter;;;
380;491 Passenger rail services;2012 2nd quarter;;;
381;491 Passenger rail services;2012 3rd quarter;;;
382;491 Passenger rail services;2012 4th quarter;;;
383;491 Passenger rail services;2012;;;
384;491 Passenger rail services;2013 1st quarter;;;
385;491 Passenger rail services;2013 2nd quarter;;;
386;491 Passenger rail services;2013 3rd quarter;;;
387;491 Passenger rail services;2013 4th quarter;;;
388;491 Passenger rail services;2013;;;
389;491 Passenger rail services;2014 1st quarter;;;
390;491 Passenger rail services;2014 2nd quarter;;;
391;491 Passenger rail services;2014 3rd quarter;;;
392;491 Passenger rail services;2014 4th quarter;;;
393;491 Passenger rail services;2014;;;
394;491 Passenger rail services;2015 1st quarter;;;
395;491 Passenger rail services;2015 2nd quarter;;;
396;491 Passenger rail services;2015 3rd quarter;;;
397;491 Passenger rail services;2015 4th quarter;;;
398;491 Passenger rail services;2015;;;
399;491 Passenger rail services;2016 1st quarter;;;
400;491 Passenger rail services;2016 2nd quarter;;;
401;491 Passenger rail services;2016 3rd quarter;;;
402;491 Passenger rail services;2016 4th quarter;;;
403;491 Passenger rail services;2016;;;
404;491 Passenger rail services;2017 1st quarter;;;
405;491 Passenger rail services;2017 2nd quarter;;;
406;491 Passenger rail services;2017 3rd quarter;;;
407;491 Passenger rail services;2017 4th quarter;;;
408;491 Passenger rail services;2017;;;
409;491 Passenger rail services;2018 1st quarter;;;
410;491 Passenger rail services;2018 2nd quarter;;;
411;491 Passenger rail services;2018 3rd quarter;;;
412;491 Passenger rail services;2018 4th quarter;;;
413;491 Passenger rail services;2018;;;
414;491 Passenger rail services;2019 1st quarter;;;
415;491 Passenger rail services;2019 2nd quarter;;;
416;491 Passenger rail services;2019 3rd quarter;;;
417;491 Passenger rail services;2019 4th quarter;;;
418;491 Passenger rail services;2019;;;
419;491 Passenger rail services;2020 1st quarter;;;
420;491 Passenger rail services;2020 2nd quarter;;;
421;491 Passenger rail services;2020 3rd quarter;;;
422;491 Passenger rail services;2020 4th quarter;;;
423;491 Passenger rail services;2020;;;
424;491 Passenger rail services;2021 1st quarter;100.0;;
425;491 Passenger rail services;2021 2nd quarter;100.0;0.0;
426;491 Passenger rail services;2021 3rd quarter;100.0;0.0;
427;491 Passenger rail services;2021 4th quarter;100.0;0.0;
428;491 Passenger rail services;2021;100.0;;
429;491 Passenger rail services;2022 1st quarter;102.0;2.0;2.0
430;491 Passenger rail services;2022 2nd quarter;102.0;0.0;2.0
431;491 Passenger rail services;2022 3rd quarter;102.0;0.0;2.0
432;491 Passenger rail services;2022 4th quarter;102.0;0.0;2.0
433;491 Passenger rail services;2022;102.0;;2.0
434;491 Passenger rail services;2023 1st quarter;107.8;5.7;5.7
435;491 Passenger rail services;2023 2nd quarter;107.8;0.0;5.7
436;491 Passenger rail services;2023 3rd quarter;107.8;0.0;5.7
437;491 Passenger rail services;2023 4th quarter;107.8;0.0;5.7
438;491 Passenger rail services;2023;107.8;;5.7
439;491 Passenger rail services;2024 1st quarter;107.8;0.0;0.0
440;491 Passenger rail services;2024 2nd quarter;107.8;0.0;0.0
441;491 Passenger rail services;2024 3rd quarter;107.8;0.0;0.0
442;491 Passenger rail services;2024 4th quarter;107.8;0.0;0.0
443;491 Passenger rail services;2024;107.8;;0.0
444;492 Freight rail transport services;2002 4th quarter;;;
445;492 Freight rail transport services;2003 1st quarter;;;
446;492 Freight rail transport services;2003 2nd quarter;;;
447;492 Freight rail transport services;2003 3rd quarter;;;
448;492 Freight rail transport services;2003 4th quarter;;;
449;492 Freight rail transport services;2003;;;
450;492 Freight rail transport services;2004 1st quarter;;;
451;492 Freight rail transport services;2004 2nd quarter;;;
452;492 Freight rail transport services;2004 3rd quarter;;;
