ID;Geslacht;Migratieachtergrond;Generatie;Perioden;TotaalHuwendenMetMigratieachtergrond_1;MetPartnerMetNederlandseAchtergrond_2;TotaalPartnerMetMigratieachtergrond_3;TotaalGelijkeMigratieachtergrond_4;GeenMigratiehuwelijk_5;WelMigratiehuwelijk_6;PartnerMetAndereMigratieachtergrond_7
56;Mannen en vrouwen;Totaal;Tweede generatie;2013;13680;5860;7820;5510;4570;940;2310
57;Mannen en vrouwen;Totaal;Tweede generatie;2014;14200;6080;8120;5790;5020;770;2330
58;Mannen en vrouwen;Totaal;Tweede generatie;2015;14580;6090;8500;6020;5200;820;2470
59;Mannen en vrouwen;Totaal;Tweede generatie;2016;15000;6070;8930;6290;5450;840;2640
60;Mannen en vrouwen;Totaal;Tweede generatie;2017;15050;5960;9090;6470;5590;890;2620
61;Mannen en vrouwen;Totaal;Tweede generatie;2018;15460;5940;9530;6580;5700;890;2940
62;Mannen en vrouwen;Totaal;Tweede generatie;2019;15700;5840;9860;6920;5870;1050;2940
63;Mannen en vrouwen;Totaal;Tweede generatie;2020;13810;4640;9170;6380;5570;810;2790
64;Mannen en vrouwen;Totaal;Tweede generatie;2021;16010;5270;10740;7550;6650;900;3190
65;Mannen en vrouwen;Totaal;Tweede generatie;2022;17960;6690;11270;7560;6500;1050;3710
66;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2001;15250;3100;12150;10150;4770;5370;2010
67;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2002;16580;3400;13180;10990;5300;5690;2180
68;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2003;15190;3380;11810;9740;5050;4700;2070
69;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2004;13290;3470;9820;8080;4460;3620;1740
70;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2005;13510;3500;10010;8020;5240;2770;1990
71;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2006;13680;3530;10150;8220;5860;2360;1930
72;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2007;14100;3600;10490;8440;6570;1870;2060
73;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2008;15450;3820;11630;9400;7390;2010;2230
74;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2009;17070;3970;13100;10440;8050;2390;2660
75;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2010;18850;4010;14840;11910;8050;3860;2930
76;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2011;18360;3960;14410;11400;8180;3220;3000
77;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2012;18110;4030;14070;11100;7980;3120;2970
78;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2013;17940;3720;14230;11160;7840;3320;3070
79;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2014;18350;3830;14520;11440;8420;3020;3080
80;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2015;18230;3940;14280;11070;8260;2810;3210
81;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2016;18640;3980;14660;11270;8410;2860;3390
82;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2017;19230;4000;15230;11730;8790;2940;3500
83;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2018;19980;4250;15720;11820;8700;3120;3900
84;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2019;20960;4250;16710;12730;9010;3720;3980
85;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2020;18430;3640;14790;11010;8470;2540;3780
86;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2021;21550;4280;17270;12850;9840;3010;4420
87;Mannen en vrouwen;Niet-westerse migratieachtergrond;Totaal eerste en tweede generatie;2022;23920;5180;18740;13650;9710;3940;5100
88;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2001;11510;2290;9220;7620;3560;4070;1600
89;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2002;12210;2470;9750;8020;3840;4190;1720
90;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2003;11100;2430;8670;7090;3550;3540;1580
91;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2004;9400;2410;6990;5720;3110;2610;1270
92;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2005;9570;2480;7090;5640;3510;2130;1450
93;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2006;9290;2530;6760;5410;3510;1890;1350
94;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2007;8850;2420;6440;5090;3660;1430;1350
95;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2008;9540;2470;7060;5610;4050;1570;1450
96;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2009;10460;2570;7890;6140;4350;1790;1750
97;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2010;11490;2530;8960;7030;4160;2880;1920
98;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2011;11000;2510;8490;6520;4170;2360;1970
99;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2012;10410;2430;7980;6150;3910;2240;1820
100;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2013;10120;2230;7900;6000;3550;2450;1900
101;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2014;10080;2250;7830;6000;3700;2300;1830
102;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2015;9420;2220;7190;5390;3360;2030;1800
103;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2016;9430;2250;7180;5320;3250;2070;1860
104;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2017;9790;2220;7580;5650;3530;2120;1920
105;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2018;10080;2360;7710;5600;3300;2300;2110
106;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2019;10750;2350;8400;6190;3460;2730;2210
107;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2020;8840;1980;6860;4920;3130;1790;1940
108;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2021;10170;2280;7880;5580;3420;2150;2310
109;Mannen en vrouwen;Niet-westerse migratieachtergrond;Eerste generatie;2022;11860;2730;9130;6450;3500;2940;2680
110;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2001;3740;810;2930;2520;1220;1310;410
111;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2002;4370;940;3430;2970;1470;1510;460
112;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2003;4090;950;3140;2650;1500;1160;490
113;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2004;3890;1060;2830;2360;1350;1010;470
114;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2005;3940;1020;2910;2380;1740;640;540
115;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2006;4390;1000;3390;2810;2340;470;570
116;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2007;5240;1190;4060;3350;2910;440;710
117;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2008;5910;1350;4560;3790;3340;450;780
118;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2009;6610;1400;5210;4300;3700;600;910
119;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2010;7370;1480;5890;4870;3890;980;1010
120;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2011;7360;1450;5920;4880;4020;860;1030
121;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2012;7700;1600;6100;4950;4070;880;1150
122;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2013;7820;1490;6330;5160;4290;870;1170
123;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2014;8270;1590;6690;5440;4720;720;1250
124;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2015;8810;1720;7090;5680;4910;780;1410
125;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2016;9210;1730;7480;5950;5160;790;1530
126;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2017;9440;1790;7650;6080;5260;820;1570
127;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2018;9900;1880;8010;6220;5400;820;1790
128;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2019;10210;1900;8300;6540;5560;980;1770
129;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2020;9590;1660;7930;6090;5340;750;1840
130;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2021;11380;2000;9380;7270;6420;860;2110
131;Mannen en vrouwen;Niet-westerse migratieachtergrond;Tweede generatie;2022;12060;2450;9610;7200;6200;1000;2410
132;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2001;3370;260;3110;2900;1070;1820;210
133;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2002;3600;260;3340;3100;1310;1790;240
134;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2003;3250;290;2960;2740;1290;1450;220
135;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2004;2640;350;2290;2120;1080;1040;180
136;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2005;2850;300;2550;2320;1500;820;230
137;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2006;3030;290;2740;2510;1910;600;230
138;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2007;3270;290;2980;2760;2290;470;220
139;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2008;3590;290;3290;3020;2510;510;280
140;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2009;3850;330;3530;3220;2630;590;300
141;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2010;4320;360;3960;3610;2520;1100;350
142;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2011;4110;330;3780;3430;2510;920;350
143;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2012;3860;370;3490;3160;2290;870;330
144;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2013;3990;370;3620;3230;2320;910;390
145;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2014;4100;360;3740;3350;2460;890;390
146;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2015;3980;360;3620;3220;2470;750;400
147;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2016;4060;370;3690;3230;2510;720;460
148;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2017;4140;380;3760;3310;2520;790;450
149;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2018;4270;410;3860;3330;2490;840;530
150;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2019;4410;400;4010;3490;2540;960;510
151;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2020;4450;390;4060;3520;2890;630;540
152;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2021;4870;500;4380;3740;3060;680;630
153;Mannen en vrouwen;Marokko;Totaal eerste en tweede generatie;2022;4950;480;4460;3810;2890;920;650
154;Mannen en vrouwen;Marokko;Eerste generatie;2001;2620;190;2430;2260;760;1490;170
155;Mannen en vrouwen;Marokko;Eerste generatie;2002;2650;170;2480;2300;880;1410;180
156;Mannen en vrouwen;Marokko;Eerste generatie;2003;2310;200;2120;1960;800;1170;150
157;Mannen en vrouwen;Marokko;Eerste generatie;2004;1730;210;1520;1410;660;750;110
158;Mannen en vrouwen;Marokko;Eerste generatie;2005;1810;190;1620;1480;870;620;140
159;Mannen en vrouwen;Marokko;Eerste generatie;2006;1810;190;1630;1500;1020;480;130
160;Mannen en vrouwen;Marokko;Eerste generatie;2007;1770;150;1620;1510;1160;350;110
161;Mannen en vrouwen;Marokko;Eerste generatie;2008;1840;140;1690;1560;1180;380;140
162;Mannen en vrouwen;Marokko;Eerste generatie;2009;1910;170;1740;1590;1160;420;150
163;Mannen en vrouwen;Marokko;Eerste generatie;2010;2190;180;2000;1850;1040;810;160
164;Mannen en vrouwen;Marokko;Eerste generatie;2011;1970;150;1820;1650;990;650;170
165;Mannen en vrouwen;Marokko;Eerste generatie;2012;1660;150;1520;1390;800;580;130
166;Mannen en vrouwen;Marokko;Eerste generatie;2013;1660;140;1520;1360;770;590;160
167;Mannen en vrouwen;Marokko;Eerste generatie;2014;1610;130;1480;1340;700;640;140
168;Mannen en vrouwen;Marokko;Eerste generatie;2015;1400;110;1290;1180;680;500;110
169;Mannen en vrouwen;Marokko;Eerste generatie;2016;1310;140;1170;1040;590;440;140
170;Mannen en vrouwen;Marokko;Eerste generatie;2017;1310;120;1190;1070;580;490;120
171;Mannen en vrouwen;Marokko;Eerste generatie;2018;1340;120;1220;1100;550;540;130
172;Mannen en vrouwen;Marokko;Eerste generatie;2019;1300;110;1200;1060;470;590;140
173;Mannen en vrouwen;Marokko;Eerste generatie;2020;1050;100;950;850;500;350;100
174;Mannen en vrouwen;Marokko;Eerste generatie;2021;1070;110;960;850;470;380;120
175;Mannen en vrouwen;Marokko;Eerste generatie;2022;1140;100;1040;910;370;540;130
176;Mannen en vrouwen;Marokko;Tweede generatie;2001;760;70;680;640;310;330;40
177;Mannen en vrouwen;Marokko;Tweede generatie;2002;950;90;860;810;430;380;50
178;Mannen en vrouwen;Marokko;Tweede generatie;2003;930;90;840;780;500;280;70
179;Mannen en vrouwen;Marokko;Tweede generatie;2004;910;140;770;700;420;280;70
180;Mannen en vrouwen;Marokko;Tweede generatie;2005;1040;110;930;840;630;210;100
181;Mannen en vrouwen;Marokko;Tweede generatie;2006;1220;110;1110;1010;890;120;100
182;Mannen en vrouwen;Marokko;Tweede generatie;2007;1500;140;1360;1250;1130;120;120
183;Mannen en vrouwen;Marokko;Tweede generatie;2008;1750;150;1600;1460;1330;130;140
184;Mannen en vrouwen;Marokko;Tweede generatie;2009;1950;150;1790;1640;1470;170;150
185;Mannen en vrouwen;Marokko;Tweede generatie;2010;2130;180;1960;1760;1470;290;190
186;Mannen en vrouwen;Marokko;Tweede generatie;2011;2140;180;1960;1790;1520;270;180
187;Mannen en vrouwen;Marokko;Tweede generatie;2012;2200;230;1980;1780;1490;290;200
188;Mannen en vrouwen;Marokko;Tweede generatie;2013;2330;230;2100;1870;1550;310;230
189;Mannen en vrouwen;Marokko;Tweede generatie;2014;2490;230;2260;2010;1760;250;250
190;Mannen en vrouwen;Marokko;Tweede generatie;2015;2580;250;2330;2040;1790;250;290
191;Mannen en vrouwen;Marokko;Tweede generatie;2016;2750;230;2520;2200;1920;270;320
192;Mannen en vrouwen;Marokko;Tweede generatie;2017;2840;260;2580;2240;1940;290;340
193;Mannen en vrouwen;Marokko;Tweede generatie;2018;2920;290;2640;2240;1940;300;400
194;Mannen en vrouwen;Marokko;Tweede generatie;2019;3100;300;2810;2430;2070;360;380
195;Mannen en vrouwen;Marokko;Tweede generatie;2020;3400;290;3110;2670;2390;280;440
196;Mannen en vrouwen;Marokko;Tweede generatie;2021;3800;390;3410;2900;2600;300;520
197;Mannen en vrouwen;Marokko;Tweede generatie;2022;3810;380;3420;2900;2520;380;520
198;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2001;930;440;490;300;280;20;200
199;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2002;1040;480;560;350;330;20;210
200;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2003;970;460;510;330;310;20;190
201;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2004;940;440;490;310;290;20;180
202;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2005;990;440;550;350;320;30;200
203;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2006;980;440;540;340;330;20;190
204;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2007;1060;450;610;390;370;20;220
205;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2008;1120;490;630;430;400;30;200
206;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2009;1130;490;640;400;380;20;230
207;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2010;1200;500;700;440;410;30;260
208;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2011;1150;500;660;410;380;20;250
209;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2012;1230;470;760;500;480;20;270
210;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2013;990;430;560;280;270;10;270
211;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2014;1080;480;600;350;340;10;250
212;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2015;1100;490;620;330;320;10;290
213;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2016;990;490;510;260;240;10;250
214;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2017;1020;490;540;280;280;10;250
215;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2018;1090;490;610;300;290;10;310
216;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2019;1040;480;560;300;280;30;250
217;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2020;890;380;510;250;240;10;260
218;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2021;1030;440;590;300;290;10;290
219;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Totaal eerste en tweede generatie;2022;1310;560;740;370;350;20;370
220;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2001;690;260;430;290;280;20;140
221;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2002;760;270;500;340;310;20;160
222;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2003;700;250;450;320;300;20;140
223;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2004;660;240;420;290;260;20;130
224;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2005;700;220;470;330;310;30;140
225;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2006;690;240;450;310;300;20;140
226;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2007;750;230;520;360;340;20;160
227;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2008;780;260;520;400;370;30;130
228;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2009;800;270;530;380;360;20;160
229;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2010;830;250;580;410;390;20;170
230;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2011;790;240;550;370;350;20;180
231;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2012;840;220;620;450;430;20;170
232;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2013;630;200;420;250;240;10;180
233;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2014;690;210;470;320;310;10;160
234;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2015;680;240;440;280;270;10;160
235;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2016;600;220;380;240;220;10;140
236;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2017;610;220;380;240;240;10;140
237;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2018;680;240;440;260;250;10;190
238;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2019;600;190;400;260;230;20;150
239;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2020;520;170;350;210;200;10;140
240;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2021;600;180;420;250;240;10;160
241;Mannen en vrouwen;(voormalige) Nederlandse Antillen, Aruba;Eerste generatie;2022;780;250;540;320;300;20;220
