ID;Sex;AgeAtDecember31;TypeOfFigure;Periods;LifeExpectancy_1;LifeExpectancyInPerceivedGoodHealth_2;LEWithoutModerateSevereLimitations_3;LEWithoutSevereLimitations_4;LEWithoutLightModerateSevereLim_5;LEWithoutChronicMorbidity_6;LEWithoutChrMorbExclHypertension_7;LEWithoutPsychologicalComplaints_8;LifeExpectancyWithoutGALILimitations_9;LifeExpWithoutSevereGALILimitations_10
75;Total male and female;0 year;Standard errors;2013;;;;;;;;;;
76;Total male and female;0 year;Standard errors;2014;;;;;;;;;;
77;Total male and female;0 year;Standard errors;2015;;;;;;;;;;
78;Total male and female;0 year;Standard errors;2016;;;;;;;;;;
79;Total male and female;0 year;Standard errors;2017;;;;;;;;;;
80;Total male and female;0 year;Standard errors;2018;;0.3;;;;0.4;0.4;0.3;;
81;Total male and female;0 year;Standard errors;2019;;0.3;;;;0.4;0.4;0.3;;
82;Total male and female;0 year;Standard errors;2020;;0.3;;;;0.4;0.4;0.3;;
83;Total male and female;0 year;Standard errors;2021;;0.3;;;;0.4;0.4;0.3;;
84;Total male and female;0 year;Standard errors;2022;;0.3;;;;0.4;0.4;0.3;;
85;Total male and female;0 year;Standard errors;2023;;0.3;;;;0.4;0.4;0.3;;
86;Total male and female;1 year;Percentage/average;1981;;;;;;;;;;
87;Total male and female;1 year;Percentage/average;1982;;;;;;;;;;
88;Total male and female;1 year;Percentage/average;1983;;;;;;;;;;
89;Total male and female;1 year;Percentage/average;1984;;;;;;;;;;
90;Total male and female;1 year;Percentage/average;1985;;;;;;;;;;
91;Total male and female;1 year;Percentage/average;1986;;;;;;;;;;
92;Total male and female;1 year;Percentage/average;1987;;;;;;;;;;
93;Total male and female;1 year;Percentage/average;1988;;;;;;;;;;
94;Total male and female;1 year;Percentage/average;1989;;;;;;;;;;
95;Total male and female;1 year;Percentage/average;1990;;;;;;;;;;
96;Total male and female;1 year;Percentage/average;1991;;;;;;;;;;
97;Total male and female;1 year;Percentage/average;1992;;;;;;;;;;
98;Total male and female;1 year;Percentage/average;1993;;;;;;;;;;
99;Total male and female;1 year;Percentage/average;1994;;;;;;;;;;
100;Total male and female;1 year;Percentage/average;1995;;;;;;;;;;
101;Total male and female;1 year;Percentage/average;1996;;;;;;;;;;
102;Total male and female;1 year;Percentage/average;1997;;;;;;;;;;
103;Total male and female;1 year;Percentage/average;1998;;;;;;;;;;
104;Total male and female;1 year;Percentage/average;1999;;;;;;;;;;
105;Total male and female;1 year;Percentage/average;2000;;;;;;;;;;
106;Total male and female;1 year;Percentage/average;2001;;;;;;;;;;
107;Total male and female;1 year;Percentage/average;2002;;;;;;;;;;
108;Total male and female;1 year;Percentage/average;2003;;;;;;;;;;
109;Total male and female;1 year;Percentage/average;2004;;;;;;;;;;
110;Total male and female;1 year;Percentage/average;2005;;;;;;;;;;
111;Total male and female;1 year;Percentage/average;2006;;;;;;;;;;
112;Total male and female;1 year;Percentage/average;2007;;;;;;;;;;
113;Total male and female;1 year;Percentage/average;2008;;;;;;;;;;
114;Total male and female;1 year;Percentage/average;2009;;;;;;;;;;
115;Total male and female;1 year;Percentage/average;2010;;;;;;;;;;
116;Total male and female;1 year;Percentage/average;2011;;;;;;;;;;
117;Total male and female;1 year;Percentage/average;2012;;;;;;;;;;
118;Total male and female;1 year;Percentage/average;2013;;;;;;;;;;
119;Total male and female;1 year;Percentage/average;2014;;;;;;;;;;
120;Total male and female;1 year;Percentage/average;2015;;;;;;;;;;
121;Total male and female;1 year;Percentage/average;2016;;;;;;;;;;
122;Total male and female;1 year;Percentage/average;2017;;;;;;;;;;
123;Total male and female;1 year;Percentage/average;2018;81.53;63.2;71.7;75.3;56.0;43.4;46.6;72.6;57.7;76.5
124;Total male and female;1 year;Percentage/average;2019;81.81;63.7;71.9;75.5;55.8;43.4;46.3;73.1;57.9;77.2
125;Total male and female;1 year;Percentage/average;2020;81.17;65.9;72.1;75.5;55.1;43.3;46.2;72.2;58.4;77.2
126;Total male and female;1 year;Percentage/average;2021;81.1;64.9;72.6;75.9;53.9;43.6;46.4;69.9;58.4;77.6
127;Total male and female;1 year;Percentage/average;2022;81.35;62.5;71.2;75.0;53.6;43.4;46.3;71.1;57.4;76.5
128;Total male and female;1 year;Percentage/average;2023;81.6;63.0;71.3;75.2;53.4;42.8;45.6;71.4;57.1;76.9
129;Total male and female;1 year;Standard errors;1981;;;;;;;;;;
130;Total male and female;1 year;Standard errors;1982;;;;;;;;;;
131;Total male and female;1 year;Standard errors;1983;;;;;;;;;;
132;Total male and female;1 year;Standard errors;1984;;;;;;;;;;
133;Total male and female;1 year;Standard errors;1985;;;;;;;;;;
134;Total male and female;1 year;Standard errors;1986;;;;;;;;;;
135;Total male and female;1 year;Standard errors;1987;;;;;;;;;;
136;Total male and female;1 year;Standard errors;1988;;;;;;;;;;
137;Total male and female;1 year;Standard errors;1989;;;;;;;;;;
138;Total male and female;1 year;Standard errors;1990;;;;;;;;;;
139;Total male and female;1 year;Standard errors;1991;;;;;;;;;;
140;Total male and female;1 year;Standard errors;1992;;;;;;;;;;
141;Total male and female;1 year;Standard errors;1993;;;;;;;;;;
142;Total male and female;1 year;Standard errors;1994;;;;;;;;;;
143;Total male and female;1 year;Standard errors;1995;;;;;;;;;;
144;Total male and female;1 year;Standard errors;1996;;;;;;;;;;
145;Total male and female;1 year;Standard errors;1997;;;;;;;;;;
146;Total male and female;1 year;Standard errors;1998;;;;;;;;;;
147;Total male and female;1 year;Standard errors;1999;;;;;;;;;;
148;Total male and female;1 year;Standard errors;2000;;;;;;;;;;
149;Total male and female;1 year;Standard errors;2001;;;;;;;;;;
150;Total male and female;1 year;Standard errors;2002;;;;;;;;;;
151;Total male and female;1 year;Standard errors;2003;;;;;;;;;;
152;Total male and female;1 year;Standard errors;2004;;;;;;;;;;
153;Total male and female;1 year;Standard errors;2005;;;;;;;;;;
154;Total male and female;1 year;Standard errors;2006;;;;;;;;;;
155;Total male and female;1 year;Standard errors;2007;;;;;;;;;;
156;Total male and female;1 year;Standard errors;2008;;;;;;;;;;
157;Total male and female;1 year;Standard errors;2009;;;;;;;;;;
158;Total male and female;1 year;Standard errors;2010;;;;;;;;;;
159;Total male and female;1 year;Standard errors;2011;;;;;;;;;;
160;Total male and female;1 year;Standard errors;2012;;;;;;;;;;
161;Total male and female;1 year;Standard errors;2013;;;;;;;;;;
162;Total male and female;1 year;Standard errors;2014;;;;;;;;;;
163;Total male and female;1 year;Standard errors;2015;;;;;;;;;;
164;Total male and female;1 year;Standard errors;2016;;;;;;;;;;
165;Total male and female;1 year;Standard errors;2017;;;;;;;;;;
166;Total male and female;1 year;Standard errors;2018;;0.3;;;;0.4;0.4;0.3;0.3;0.2
167;Total male and female;1 year;Standard errors;2019;;0.3;;;;0.4;0.4;0.3;0.3;0.2
168;Total male and female;1 year;Standard errors;2020;;0.3;;;;0.4;0.4;0.3;0.4;0.2
169;Total male and female;1 year;Standard errors;2021;;0.3;;;;0.4;0.4;0.3;0.4;0.2
170;Total male and female;1 year;Standard errors;2022;;0.3;;;;0.4;0.4;0.3;0.3;0.2
171;Total male and female;1 year;Standard errors;2023;;0.3;;;;0.4;0.4;0.3;0.3;0.2
172;Total male and female;5 years;Percentage/average;1981;;;;;;;;;;
173;Total male and female;5 years;Percentage/average;1982;;;;;;;;;;
174;Total male and female;5 years;Percentage/average;1983;;;;;;;;;;
175;Total male and female;5 years;Percentage/average;1984;;;;;;;;;;
176;Total male and female;5 years;Percentage/average;1985;;;;;;;;;;
177;Total male and female;5 years;Percentage/average;1986;;;;;;;;;;
178;Total male and female;5 years;Percentage/average;1987;;;;;;;;;;
179;Total male and female;5 years;Percentage/average;1988;;;;;;;;;;
180;Total male and female;5 years;Percentage/average;1989;;;;;;;;;;
181;Total male and female;5 years;Percentage/average;1990;;;;;;;;;;
182;Total male and female;5 years;Percentage/average;1991;;;;;;;;;;
183;Total male and female;5 years;Percentage/average;1992;;;;;;;;;;
184;Total male and female;5 years;Percentage/average;1993;;;;;;;;;;
185;Total male and female;5 years;Percentage/average;1994;;;;;;;;;;
186;Total male and female;5 years;Percentage/average;1995;;;;;;;;;;
187;Total male and female;5 years;Percentage/average;1996;;;;;;;;;;
188;Total male and female;5 years;Percentage/average;1997;;;;;;;;;;
189;Total male and female;5 years;Percentage/average;1998;;;;;;;;;;
190;Total male and female;5 years;Percentage/average;1999;;;;;;;;;;
191;Total male and female;5 years;Percentage/average;2000;;;;;;;;;;
192;Total male and female;5 years;Percentage/average;2001;;;;;;;;;;
193;Total male and female;5 years;Percentage/average;2002;;;;;;;;;;
194;Total male and female;5 years;Percentage/average;2003;;;;;;;;;;
195;Total male and female;5 years;Percentage/average;2004;;;;;;;;;;
196;Total male and female;5 years;Percentage/average;2005;;;;;;;;;;
197;Total male and female;5 years;Percentage/average;2006;;;;;;;;;;
198;Total male and female;5 years;Percentage/average;2007;;;;;;;;;;
199;Total male and female;5 years;Percentage/average;2008;;;;;;;;;;
200;Total male and female;5 years;Percentage/average;2009;;;;;;;;;;
201;Total male and female;5 years;Percentage/average;2010;;;;;;;;;;
202;Total male and female;5 years;Percentage/average;2011;;;;;;;;;;
203;Total male and female;5 years;Percentage/average;2012;;;;;;;;;;
204;Total male and female;5 years;Percentage/average;2013;;;;;;;;;;
205;Total male and female;5 years;Percentage/average;2014;;;;;;;;;;
206;Total male and female;5 years;Percentage/average;2015;;;;;;;;;;
207;Total male and female;5 years;Percentage/average;2016;;;;;;;;;;
208;Total male and female;5 years;Percentage/average;2017;;;;;;;;;;
209;Total male and female;5 years;Percentage/average;2018;77.6;59.4;67.7;71.3;52.1;39.7;42.8;68.9;53.9;72.6
210;Total male and female;5 years;Percentage/average;2019;77.89;60.0;67.9;71.6;51.9;39.7;42.6;69.4;54.1;73.2
211;Total male and female;5 years;Percentage/average;2020;77.23;62.0;68.1;71.5;51.1;39.5;42.4;68.4;54.5;73.3
212;Total male and female;5 years;Percentage/average;2021;77.15;61.1;68.7;71.9;50.0;39.8;42.7;66.2;54.5;73.6
213;Total male and female;5 years;Percentage/average;2022;77.42;58.6;67.3;71.1;49.7;39.7;42.6;67.4;53.6;72.6
214;Total male and female;5 years;Percentage/average;2023;77.66;59.2;67.4;71.2;49.4;39.1;41.9;67.6;53.3;73.0
215;Total male and female;5 years;Standard errors;1981;;;;;;;;;;
216;Total male and female;5 years;Standard errors;1982;;;;;;;;;;
217;Total male and female;5 years;Standard errors;1983;;;;;;;;;;
218;Total male and female;5 years;Standard errors;1984;;;;;;;;;;
219;Total male and female;5 years;Standard errors;1985;;;;;;;;;;
220;Total male and female;5 years;Standard errors;1986;;;;;;;;;;
221;Total male and female;5 years;Standard errors;1987;;;;;;;;;;
222;Total male and female;5 years;Standard errors;1988;;;;;;;;;;
223;Total male and female;5 years;Standard errors;1989;;;;;;;;;;
224;Total male and female;5 years;Standard errors;1990;;;;;;;;;;
225;Total male and female;5 years;Standard errors;1991;;;;;;;;;;
226;Total male and female;5 years;Standard errors;1992;;;;;;;;;;
227;Total male and female;5 years;Standard errors;1993;;;;;;;;;;
228;Total male and female;5 years;Standard errors;1994;;;;;;;;;;
229;Total male and female;5 years;Standard errors;1995;;;;;;;;;;
230;Total male and female;5 years;Standard errors;1996;;;;;;;;;;
231;Total male and female;5 years;Standard errors;1997;;;;;;;;;;
232;Total male and female;5 years;Standard errors;1998;;;;;;;;;;
233;Total male and female;5 years;Standard errors;1999;;;;;;;;;;
234;Total male and female;5 years;Standard errors;2000;;;;;;;;;;
235;Total male and female;5 years;Standard errors;2001;;;;;;;;;;
236;Total male and female;5 years;Standard errors;2002;;;;;;;;;;
237;Total male and female;5 years;Standard errors;2003;;;;;;;;;;
238;Total male and female;5 years;Standard errors;2004;;;;;;;;;;
239;Total male and female;5 years;Standard errors;2005;;;;;;;;;;
240;Total male and female;5 years;Standard errors;2006;;;;;;;;;;
241;Total male and female;5 years;Standard errors;2007;;;;;;;;;;
242;Total male and female;5 years;Standard errors;2008;;;;;;;;;;
243;Total male and female;5 years;Standard errors;2009;;;;;;;;;;
244;Total male and female;5 years;Standard errors;2010;;;;;;;;;;
245;Total male and female;5 years;Standard errors;2011;;;;;;;;;;
246;Total male and female;5 years;Standard errors;2012;;;;;;;;;;
247;Total male and female;5 years;Standard errors;2013;;;;;;;;;;
248;Total male and female;5 years;Standard errors;2014;;;;;;;;;;
249;Total male and female;5 years;Standard errors;2015;;;;;;;;;;
250;Total male and female;5 years;Standard errors;2016;;;;;;;;;;
251;Total male and female;5 years;Standard errors;2017;;;;;;;;;;
252;Total male and female;5 years;Standard errors;2018;;0.3;;;;0.4;0.4;0.3;0.3;0.2
253;Total male and female;5 years;Standard errors;2019;;0.3;;;;0.4;0.4;0.3;0.3;0.2
254;Total male and female;5 years;Standard errors;2020;;0.3;;;;0.4;0.4;0.3;0.4;0.2
255;Total male and female;5 years;Standard errors;2021;;0.3;;;;0.4;0.4;0.3;0.4;0.2
256;Total male and female;5 years;Standard errors;2022;;0.3;;;;0.4;0.4;0.3;0.3;0.2
257;Total male and female;5 years;Standard errors;2023;;0.3;;;;0.4;0.4;0.3;0.3;0.2
258;Total male and female;10 years;Percentage/average;1981;;;;;;;;;;
259;Total male and female;10 years;Percentage/average;1982;;;;;;;;;;
260;Total male and female;10 years;Percentage/average;1983;;;;;;;;;;
261;Total male and female;10 years;Percentage/average;1984;;;;;;;;;;
262;Total male and female;10 years;Percentage/average;1985;;;;;;;;;;
263;Total male and female;10 years;Percentage/average;1986;;;;;;;;;;
264;Total male and female;10 years;Percentage/average;1987;;;;;;;;;;
265;Total male and female;10 years;Percentage/average;1988;;;;;;;;;;
266;Total male and female;10 years;Percentage/average;1989;;;;;;;;;;
267;Total male and female;10 years;Percentage/average;1990;;;;;;;;;;
268;Total male and female;10 years;Percentage/average;1991;;;;;;;;;;
269;Total male and female;10 years;Percentage/average;1992;;;;;;;;;;
270;Total male and female;10 years;Percentage/average;1993;;;;;;;;;;
271;Total male and female;10 years;Percentage/average;1994;;;;;;;;;;
272;Total male and female;10 years;Percentage/average;1995;;;;;;;;;;
273;Total male and female;10 years;Percentage/average;1996;;;;;;;;;;
274;Total male and female;10 years;Percentage/average;1997;;;;;;;;;;
275;Total male and female;10 years;Percentage/average;1998;;;;;;;;;;
276;Total male and female;10 years;Percentage/average;1999;;;;;;;;;;
277;Total male and female;10 years;Percentage/average;2000;;;;;;;;;;
278;Total male and female;10 years;Percentage/average;2001;;;;;;;;;;
279;Total male and female;10 years;Percentage/average;2002;;;;;;;;;;
280;Total male and female;10 years;Percentage/average;2003;;;;;;;;;;
281;Total male and female;10 years;Percentage/average;2004;;;;;;;;;;
282;Total male and female;10 years;Percentage/average;2005;;;;;;;;;;
283;Total male and female;10 years;Percentage/average;2006;;;;;;;;;;
284;Total male and female;10 years;Percentage/average;2007;;;;;;;;;;
285;Total male and female;10 years;Percentage/average;2008;;;;;;;;;;
286;Total male and female;10 years;Percentage/average;2009;;;;;;;;;;
287;Total male and female;10 years;Percentage/average;2010;;;;;;;;;;
288;Total male and female;10 years;Percentage/average;2011;;;;;;;;;;
289;Total male and female;10 years;Percentage/average;2012;;;;;;;;;;
290;Total male and female;10 years;Percentage/average;2013;;;;;;;;;;
291;Total male and female;10 years;Percentage/average;2014;;;;;;;;;;
292;Total male and female;10 years;Percentage/average;2015;;;;;;;;;;
293;Total male and female;10 years;Percentage/average;2016;;;;;;;;;;
294;Total male and female;10 years;Percentage/average;2017;;;;;;;;;;
295;Total male and female;10 years;Percentage/average;2018;72.63;54.7;62.8;66.4;47.1;35.2;38.3;64.1;49.5;67.7
296;Total male and female;10 years;Percentage/average;2019;72.91;55.2;62.9;66.6;46.9;35.1;38.1;64.6;49.5;68.3
297;Total male and female;10 years;Percentage/average;2020;72.25;57.3;63.2;66.5;46.1;34.9;37.9;63.7;49.9;68.4
298;Total male and female;10 years;Percentage/average;2021;72.18;56.2;63.7;66.9;45.0;35.3;38.1;61.5;49.9;68.7
299;Total male and female;10 years;Percentage/average;2022;72.45;53.8;62.3;66.1;44.7;35.2;38.0;62.7;49.0;67.7
300;Total male and female;10 years;Percentage/average;2023;72.69;54.3;62.4;66.3;44.4;34.6;37.5;63.0;48.7;68.0
301;Total male and female;10 years;Standard errors;1981;;;;;;;;;;
302;Total male and female;10 years;Standard errors;1982;;;;;;;;;;
303;Total male and female;10 years;Standard errors;1983;;;;;;;;;;
304;Total male and female;10 years;Standard errors;1984;;;;;;;;;;
305;Total male and female;10 years;Standard errors;1985;;;;;;;;;;
306;Total male and female;10 years;Standard errors;1986;;;;;;;;;;
307;Total male and female;10 years;Standard errors;1987;;;;;;;;;;
308;Total male and female;10 years;Standard errors;1988;;;;;;;;;;
309;Total male and female;10 years;Standard errors;1989;;;;;;;;;;
310;Total male and female;10 years;Standard errors;1990;;;;;;;;;;
311;Total male and female;10 years;Standard errors;1991;;;;;;;;;;
312;Total male and female;10 years;Standard errors;1992;;;;;;;;;;
313;Total male and female;10 years;Standard errors;1993;;;;;;;;;;
314;Total male and female;10 years;Standard errors;1994;;;;;;;;;;
315;Total male and female;10 years;Standard errors;1995;;;;;;;;;;
316;Total male and female;10 years;Standard errors;1996;;;;;;;;;;
317;Total male and female;10 years;Standard errors;1997;;;;;;;;;;
318;Total male and female;10 years;Standard errors;1998;;;;;;;;;;
319;Total male and female;10 years;Standard errors;1999;;;;;;;;;;
320;Total male and female;10 years;Standard errors;2000;;;;;;;;;;
321;Total male and female;10 years;Standard errors;2001;;;;;;;;;;
322;Total male and female;10 years;Standard errors;2002;;;;;;;;;;
323;Total male and female;10 years;Standard errors;2003;;;;;;;;;;
324;Total male and female;10 years;Standard errors;2004;;;;;;;;;;
325;Total male and female;10 years;Standard errors;2005;;;;;;;;;;
326;Total male and female;10 years;Standard errors;2006;;;;;;;;;;
327;Total male and female;10 years;Standard errors;2007;;;;;;;;;;
328;Total male and female;10 years;Standard errors;2008;;;;;;;;;;
329;Total male and female;10 years;Standard errors;2009;;;;;;;;;;
330;Total male and female;10 years;Standard errors;2010;;;;;;;;;;
331;Total male and female;10 years;Standard errors;2011;;;;;;;;;;
332;Total male and female;10 years;Standard errors;2012;;;;;;;;;;
333;Total male and female;10 years;Standard errors;2013;;;;;;;;;;
334;Total male and female;10 years;Standard errors;2014;;;;;;;;;;
335;Total male and female;10 years;Standard errors;2015;;;;;;;;;;
336;Total male and female;10 years;Standard errors;2016;;;;;;;;;;
337;Total male and female;10 years;Standard errors;2017;;;;;;;;;;
338;Total male and female;10 years;Standard errors;2018;;0.3;0.3;0.2;0.3;0.3;0.4;0.3;0.3;0.2
339;Total male and female;10 years;Standard errors;2019;;0.3;0.2;0.2;0.3;0.4;0.4;0.3;0.3;0.2
340;Total male and female;10 years;Standard errors;2020;;0.3;0.3;0.2;0.3;0.4;0.4;0.3;0.4;0.2
341;Total male and female;10 years;Standard errors;2021;;0.3;0.3;0.2;0.4;0.4;0.4;0.3;0.4;0.2
342;Total male and female;10 years;Standard errors;2022;;0.3;0.2;0.2;0.3;0.3;0.4;0.3;0.3;0.2
343;Total male and female;10 years;Standard errors;2023;;0.3;0.2;0.2;0.3;0.4;0.4;0.3;0.3;0.2
344;Total male and female;15 years;Percentage/average;1981;;;;;;;;;;
345;Total male and female;15 years;Percentage/average;1982;;;;;;;;;;
346;Total male and female;15 years;Percentage/average;1983;;;;;;;;;;
347;Total male and female;15 years;Percentage/average;1984;;;;;;;;;;
348;Total male and female;15 years;Percentage/average;1985;;;;;;;;;;
349;Total male and female;15 years;Percentage/average;1986;;;;;;;;;;
350;Total male and female;15 years;Percentage/average;1987;;;;;;;;;;
351;Total male and female;15 years;Percentage/average;1988;;;;;;;;;;
352;Total male and female;15 years;Percentage/average;1989;;;;;;;;;;
353;Total male and female;15 years;Percentage/average;1990;;;;;;;;;;
354;Total male and female;15 years;Percentage/average;1991;;;;;;;;;;
355;Total male and female;15 years;Percentage/average;1992;;;;;;;;;;
356;Total male and female;15 years;Percentage/average;1993;;;;;;;;;;
357;Total male and female;15 years;Percentage/average;1994;;;;;;;;;;
358;Total male and female;15 years;Percentage/average;1995;;;;;;;;;;
359;Total male and female;15 years;Percentage/average;1996;;;;;;;;;;
360;Total male and female;15 years;Percentage/average;1997;;;;;;;;;;
361;Total male and female;15 years;Percentage/average;1998;;;;;;;;;;
362;Total male and female;15 years;Percentage/average;1999;;;;;;;;;;
363;Total male and female;15 years;Percentage/average;2000;;;;;;;;;;
364;Total male and female;15 years;Percentage/average;2001;;;;;;;;;;
365;Total male and female;15 years;Percentage/average;2002;;;;;;;;;;
366;Total male and female;15 years;Percentage/average;2003;;;;;;;;;;
367;Total male and female;15 years;Percentage/average;2004;;;;;;;;;;
368;Total male and female;15 years;Percentage/average;2005;;;;;;;;;;
369;Total male and female;15 years;Percentage/average;2006;;;;;;;;;;
370;Total male and female;15 years;Percentage/average;2007;;;;;;;;;;
371;Total male and female;15 years;Percentage/average;2008;;;;;;;;;;
372;Total male and female;15 years;Percentage/average;2009;;;;;;;;;;
373;Total male and female;15 years;Percentage/average;2010;;;;;;;;;;
374;Total male and female;15 years;Percentage/average;2011;;;;;;;;;;
375;Total male and female;15 years;Percentage/average;2012;;;;;;;;;;
376;Total male and female;15 years;Percentage/average;2013;;;;;;;;;;
377;Total male and female;15 years;Percentage/average;2014;;;;;;;;;;
378;Total male and female;15 years;Percentage/average;2015;;;;;;;;;;
379;Total male and female;15 years;Percentage/average;2016;;;;;;;;;;
380;Total male and female;15 years;Percentage/average;2017;;;;;;;;;;
381;Total male and female;15 years;Percentage/average;2018;67.65;50.0;57.9;61.4;42.6;31.0;34.2;59.3;44.9;62.8
382;Total male and female;15 years;Percentage/average;2019;67.93;50.5;58.1;61.7;42.6;30.9;33.8;59.9;45.0;63.4
383;Total male and female;15 years;Percentage/average;2020;67.28;52.5;58.3;61.6;41.8;30.7;33.7;59.0;45.4;63.4
384;Total male and female;15 years;Percentage/average;2021;67.21;51.5;58.8;62.0;40.7;31.0;33.8;56.9;45.4;63.7
385;Total male and female;15 years;Percentage/average;2022;67.48;49.1;57.5;61.2;40.3;30.9;33.8;58.0;44.5;62.8
386;Total male and female;15 years;Percentage/average;2023;67.72;49.6;57.6;61.4;40.1;30.5;33.3;58.3;44.2;63.1
