ID;EarningGroups;SectorBranchesSIC2008;CarribeanNetherlands;Periods;JobsOfEmployees_1;AverageAnnualWage_2
854;Total all earninggroups;Q Health and social work activities;Bonaire;2013;730.0;28040.0
855;Total all earninggroups;Q Health and social work activities;Bonaire;2014;840.0;26620.0
856;Total all earninggroups;Q Health and social work activities;Bonaire;2015;880.0;28860.0
857;Total all earninggroups;Q Health and social work activities;Bonaire;2016;960.0;28640.0
858;Total all earninggroups;Q Health and social work activities;Bonaire;2017;1020.0;30490.0
859;Total all earninggroups;Q Health and social work activities;Bonaire;2018;1090.0;31510.0
860;Total all earninggroups;Q Health and social work activities;Bonaire;2019;1190.0;30830.0
861;Total all earninggroups;Q Health and social work activities;Bonaire;2020;1200.0;30900.0
862;Total all earninggroups;Q Health and social work activities;Bonaire;2021;1540.0;28680.0
863;Total all earninggroups;Q Health and social work activities;Bonaire;2022;1530.0;33190.0
864;Total all earninggroups;Q Health and social work activities;St. Eustatius;2011;;
865;Total all earninggroups;Q Health and social work activities;St. Eustatius;2012;20.0;38730.0
866;Total all earninggroups;Q Health and social work activities;St. Eustatius;2013;30.0;33840.0
867;Total all earninggroups;Q Health and social work activities;St. Eustatius;2014;70.0;36320.0
868;Total all earninggroups;Q Health and social work activities;St. Eustatius;2015;80.0;37980.0
869;Total all earninggroups;Q Health and social work activities;St. Eustatius;2016;80.0;36200.0
870;Total all earninggroups;Q Health and social work activities;St. Eustatius;2017;110.0;31490.0
871;Total all earninggroups;Q Health and social work activities;St. Eustatius;2018;170.0;28180.0
872;Total all earninggroups;Q Health and social work activities;St. Eustatius;2019;180.0;27640.0
873;Total all earninggroups;Q Health and social work activities;St. Eustatius;2020;180.0;28490.0
874;Total all earninggroups;Q Health and social work activities;St. Eustatius;2021;200.0;30290.0
875;Total all earninggroups;Q Health and social work activities;St. Eustatius;2022;190.0;31850.0
876;Total all earninggroups;Q Health and social work activities;Saba;2011;50.0;24810.0
877;Total all earninggroups;Q Health and social work activities;Saba;2012;50.0;31310.0
878;Total all earninggroups;Q Health and social work activities;Saba;2013;50.0;32730.0
879;Total all earninggroups;Q Health and social work activities;Saba;2014;90.0;29410.0
880;Total all earninggroups;Q Health and social work activities;Saba;2015;100.0;29640.0
881;Total all earninggroups;Q Health and social work activities;Saba;2016;110.0;27870.0
882;Total all earninggroups;Q Health and social work activities;Saba;2017;90.0;31530.0
883;Total all earninggroups;Q Health and social work activities;Saba;2018;100.0;32160.0
884;Total all earninggroups;Q Health and social work activities;Saba;2019;90.0;33770.0
885;Total all earninggroups;Q Health and social work activities;Saba;2020;90.0;35170.0
886;Total all earninggroups;Q Health and social work activities;Saba;2021;90.0;37210.0
887;Total all earninggroups;Q Health and social work activities;Saba;2022;120.0;38270.0
888;Total all earninggroups;Q Health and social work activities;Unclassifiable;2011;;
889;Total all earninggroups;Q Health and social work activities;Unclassifiable;2012;;
890;Total all earninggroups;Q Health and social work activities;Unclassifiable;2013;;
891;Total all earninggroups;Q Health and social work activities;Unclassifiable;2014;;
892;Total all earninggroups;Q Health and social work activities;Unclassifiable;2015;;
893;Total all earninggroups;Q Health and social work activities;Unclassifiable;2016;;
894;Total all earninggroups;Q Health and social work activities;Unclassifiable;2017;;
895;Total all earninggroups;Q Health and social work activities;Unclassifiable;2018;;
896;Total all earninggroups;Q Health and social work activities;Unclassifiable;2019;;
897;Total all earninggroups;Q Health and social work activities;Unclassifiable;2020;;
898;Total all earninggroups;Q Health and social work activities;Unclassifiable;2021;;
899;Total all earninggroups;Q Health and social work activities;Unclassifiable;2022;;
900;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2011;700.0;16430.0
901;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2012;820.0;16070.0
902;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2013;730.0;15520.0
903;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2014;840.0;15790.0
904;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2015;940.0;15910.0
905;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2016;1000.0;16330.0
906;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2017;1090.0;17420.0
907;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2018;820.0;19310.0
908;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2019;980.0;18480.0
909;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2020;950.0;20260.0
910;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2021;910.0;22070.0
911;Total all earninggroups;R-U Culture, recreation, other services;Caribbean Netherlands;2022;990.0;23120.0
912;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2011;540.0;17190.0
913;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2012;660.0;16410.0
914;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2013;670.0;15770.0
915;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2014;740.0;15990.0
916;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2015;840.0;15990.0
917;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2016;890.0;16240.0
918;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2017;890.0;16690.0
919;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2018;720.0;18770.0
920;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2019;850.0;18060.0
921;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2020;830.0;20110.0
922;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2021;770.0;22260.0
923;Total all earninggroups;R-U Culture, recreation, other services;Bonaire;2022;860.0;23140.0
924;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2011;30.0;9280.0
925;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2012;40.0;9870.0
926;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2013;40.0;11790.0
927;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2014;40.0;11060.0
928;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2015;50.0;12530.0
929;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2016;50.0;15800.0
930;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2017;120.0;24610.0
931;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2018;60.0;26940.0
932;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2019;90.0;22620.0
933;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2020;70.0;22760.0
934;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2021;90.0;22370.0
935;Total all earninggroups;R-U Culture, recreation, other services;St. Eustatius;2022;90.0;23790.0
936;Total all earninggroups;R-U Culture, recreation, other services;Saba;2011;120.0;14970.0
937;Total all earninggroups;R-U Culture, recreation, other services;Saba;2012;120.0;16090.0
938;Total all earninggroups;R-U Culture, recreation, other services;Saba;2013;30.0;14650.0
939;Total all earninggroups;R-U Culture, recreation, other services;Saba;2014;60.0;16690.0
940;Total all earninggroups;R-U Culture, recreation, other services;Saba;2015;50.0;18020.0
941;Total all earninggroups;R-U Culture, recreation, other services;Saba;2016;50.0;18550.0
942;Total all earninggroups;R-U Culture, recreation, other services;Saba;2017;80.0;15000.0
943;Total all earninggroups;R-U Culture, recreation, other services;Saba;2018;40.0;18250.0
944;Total all earninggroups;R-U Culture, recreation, other services;Saba;2019;50.0;18400.0
945;Total all earninggroups;R-U Culture, recreation, other services;Saba;2020;50.0;19150.0
946;Total all earninggroups;R-U Culture, recreation, other services;Saba;2021;50.0;18610.0
947;Total all earninggroups;R-U Culture, recreation, other services;Saba;2022;50.0;21580.0
948;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2011;;
949;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2012;;
950;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2013;;
951;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2014;;
952;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2015;;
953;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2016;;
954;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2017;;
955;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2018;;
956;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2019;;
957;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2020;;
958;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2021;;
959;Total all earninggroups;R-U Culture, recreation, other services;Unclassifiable;2022;;
960;Total all earninggroups;Unknown;Caribbean Netherlands;2011;320.0;16820.0
961;Total all earninggroups;Unknown;Caribbean Netherlands;2012;270.0;20210.0
962;Total all earninggroups;Unknown;Caribbean Netherlands;2013;390.0;18140.0
963;Total all earninggroups;Unknown;Caribbean Netherlands;2014;370.0;19050.0
964;Total all earninggroups;Unknown;Caribbean Netherlands;2015;330.0;15860.0
965;Total all earninggroups;Unknown;Caribbean Netherlands;2016;410.0;16240.0
966;Total all earninggroups;Unknown;Caribbean Netherlands;2017;;
967;Total all earninggroups;Unknown;Caribbean Netherlands;2018;;
968;Total all earninggroups;Unknown;Caribbean Netherlands;2019;;
969;Total all earninggroups;Unknown;Caribbean Netherlands;2020;;
970;Total all earninggroups;Unknown;Caribbean Netherlands;2021;;
971;Total all earninggroups;Unknown;Caribbean Netherlands;2022;;
972;Total all earninggroups;Unknown;Bonaire;2011;150.0;17780.0
973;Total all earninggroups;Unknown;Bonaire;2012;130.0;19360.0
974;Total all earninggroups;Unknown;Bonaire;2013;130.0;19660.0
975;Total all earninggroups;Unknown;Bonaire;2014;140.0;18370.0
976;Total all earninggroups;Unknown;Bonaire;2015;180.0;16320.0
977;Total all earninggroups;Unknown;Bonaire;2016;240.0;17210.0
978;Total all earninggroups;Unknown;Bonaire;2017;;
979;Total all earninggroups;Unknown;Bonaire;2018;;
980;Total all earninggroups;Unknown;Bonaire;2019;;
981;Total all earninggroups;Unknown;Bonaire;2020;;
982;Total all earninggroups;Unknown;Bonaire;2021;;
983;Total all earninggroups;Unknown;Bonaire;2022;;
984;Total all earninggroups;Unknown;St. Eustatius;2011;110.0;16510.0
985;Total all earninggroups;Unknown;St. Eustatius;2012;100.0;22030.0
986;Total all earninggroups;Unknown;St. Eustatius;2013;100.0;17910.0
987;Total all earninggroups;Unknown;St. Eustatius;2014;120.0;21350.0
988;Total all earninggroups;Unknown;St. Eustatius;2015;90.0;14990.0
989;Total all earninggroups;Unknown;St. Eustatius;2016;80.0;14900.0
990;Total all earninggroups;Unknown;St. Eustatius;2017;;
991;Total all earninggroups;Unknown;St. Eustatius;2018;;
992;Total all earninggroups;Unknown;St. Eustatius;2019;;
993;Total all earninggroups;Unknown;St. Eustatius;2020;;
994;Total all earninggroups;Unknown;St. Eustatius;2021;;
995;Total all earninggroups;Unknown;St. Eustatius;2022;;
996;Total all earninggroups;Unknown;Saba;2011;50.0;12390.0
997;Total all earninggroups;Unknown;Saba;2012;40.0;16670.0
998;Total all earninggroups;Unknown;Saba;2013;150.0;17000.0
999;Total all earninggroups;Unknown;Saba;2014;100.0;17150.0
1000;Total all earninggroups;Unknown;Saba;2015;60.0;15810.0
1001;Total all earninggroups;Unknown;Saba;2016;90.0;14750.0
1002;Total all earninggroups;Unknown;Saba;2017;;
1003;Total all earninggroups;Unknown;Saba;2018;;
1004;Total all earninggroups;Unknown;Saba;2019;;
1005;Total all earninggroups;Unknown;Saba;2020;;
1006;Total all earninggroups;Unknown;Saba;2021;;
1007;Total all earninggroups;Unknown;Saba;2022;;
1008;Total all earninggroups;Unknown;Unclassifiable;2011;10.0;37510.0
1009;Total all earninggroups;Unknown;Unclassifiable;2012;;
1010;Total all earninggroups;Unknown;Unclassifiable;2013;;
1011;Total all earninggroups;Unknown;Unclassifiable;2014;;
1012;Total all earninggroups;Unknown;Unclassifiable;2015;;
1013;Total all earninggroups;Unknown;Unclassifiable;2016;;
1014;Total all earninggroups;Unknown;Unclassifiable;2017;;
1015;Total all earninggroups;Unknown;Unclassifiable;2018;;
1016;Total all earninggroups;Unknown;Unclassifiable;2019;;
1017;Total all earninggroups;Unknown;Unclassifiable;2020;;
1018;Total all earninggroups;Unknown;Unclassifiable;2021;;
1019;Total all earninggroups;Unknown;Unclassifiable;2022;;
1020;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2011;970.0;2230.0
1021;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2012;990.0;2270.0
1022;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2013;970.0;2380.0
1023;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2014;750.0;2490.0
1024;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2015;880.0;2440.0
1025;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2016;990.0;2330.0
1026;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2017;1040.0;2320.0
1027;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2018;1190.0;2180.0
1028;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2019;1080.0;2260.0
1029;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2020;1040.0;2250.0
1030;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2021;1140.0;2440.0
1031;Gross annual wage: less than 5,000 do...;A-U All economic activities;Caribbean Netherlands;2022;1080.0;2240.0
1032;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2011;850.0;2240.0
1033;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2012;870.0;2280.0
1034;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2013;850.0;2380.0
1035;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2014;640.0;2500.0
1036;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2015;780.0;2440.0
1037;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2016;870.0;2330.0
1038;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2017;900.0;2290.0
1039;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2018;1000.0;2160.0
1040;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2019;930.0;2220.0
1041;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2020;880.0;2190.0
1042;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2021;990.0;2470.0
1043;Gross annual wage: less than 5,000 do...;A-U All economic activities;Bonaire;2022;940.0;2240.0
1044;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2011;80.0;2040.0
1045;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2012;70.0;2240.0
1046;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2013;70.0;2530.0
1047;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2014;70.0;2380.0
1048;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2015;60.0;2420.0
1049;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2016;50.0;2410.0
1050;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2017;60.0;2650.0
1051;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2018;100.0;2240.0
1052;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2019;80.0;2550.0
1053;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2020;80.0;2750.0
1054;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2021;90.0;2170.0
1055;Gross annual wage: less than 5,000 do...;A-U All economic activities;St. Eustatius;2022;80.0;2390.0
1056;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2011;40.0;2240.0
1057;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2012;50.0;2230.0
1058;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2013;50.0;2090.0
1059;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2014;40.0;2450.0
1060;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2015;50.0;2500.0
1061;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2016;60.0;2350.0
1062;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2017;80.0;2420.0
1063;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2018;80.0;2290.0
1064;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2019;70.0;2380.0
1065;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2020;70.0;2530.0
1066;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2021;60.0;2320.0
1067;Gross annual wage: less than 5,000 do...;A-U All economic activities;Saba;2022;60.0;2050.0
1068;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2011;;
1069;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2012;;
1070;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2013;;
1071;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2014;;
1072;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2015;;
1073;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2016;;
1074;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2017;;
1075;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2018;;
1076;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2019;;
1077;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2020;;
1078;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2021;;
1079;Gross annual wage: less than 5,000 do...;A-U All economic activities;Unclassifiable;2022;;
1080;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2011;;
1081;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2012;;
1082;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2013;;
1083;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2014;;
1084;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2015;10.0;1380.0
1085;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2016;;
1086;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2017;20.0;1960.0
1087;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2018;;
1088;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2019;;
1089;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2020;;
1090;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2021;;
1091;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Caribbean Netherlands;2022;;
1092;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2011;;
1093;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2012;;
1094;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2013;;
1095;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2014;;
1096;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2015;10.0;1380.0
1097;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2016;;
1098;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2017;20.0;1800.0
1099;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2018;10.0;1510.0
1100;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2019;;
1101;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2020;;
1102;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2021;;
1103;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Bonaire;2022;;
1104;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2011;;
1105;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2012;;
1106;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2013;;
1107;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2014;;
1108;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2015;;
1109;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2016;;
1110;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2017;;
1111;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2018;;
1112;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2019;;
1113;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2020;;
1114;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2021;;
1115;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;St. Eustatius;2022;;
1116;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2011;;
1117;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2012;;
1118;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2013;;
1119;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2014;;
1120;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2015;;
1121;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2016;;
1122;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2017;;
1123;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2018;;
1124;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2019;;
1125;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2020;;
1126;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2021;;
1127;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Saba;2022;;
1128;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2011;;
1129;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2012;;
1130;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2013;;
1131;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2014;;
1132;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2015;;
1133;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2016;;
1134;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2017;;
1135;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2018;;
1136;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2019;;
1137;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2020;;
1138;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2021;;
1139;Gross annual wage: less than 5,000 do...;A Agriculture, forestry and fishing;Unclassifiable;2022;;
1140;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2011;;
1141;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2012;;
1142;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2013;;
1143;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2014;;
1144;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2015;;
1145;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2016;;
1146;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2017;;
1147;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2018;;
1148;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2019;;
1149;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2020;;
1150;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2021;;
1151;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Caribbean Netherlands;2022;;
1152;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2011;;
1153;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2012;;
1154;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2013;;
1155;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2014;;
1156;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2015;;
1157;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2016;;
1158;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2017;;
1159;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2018;;
1160;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2019;;
1161;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2020;;
1162;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2021;;
1163;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Bonaire;2022;;
1164;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2011;;
1165;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2012;;
1166;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2013;;
1167;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2014;;
1168;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2015;;
1169;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2016;;
1170;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2017;;
1171;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2018;;
1172;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2019;;
1173;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2020;;
1174;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2021;;
1175;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;St. Eustatius;2022;;
1176;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2011;;
1177;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2012;;
1178;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2013;;
1179;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2014;;
1180;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2015;;
1181;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2016;;
