ID;Geslacht;Leeftijd;Nationaliteit;Perioden;BevolkingOp1Januari_1
86;Totaal mannen en vrouwen;Totaal;Azië (exclusief Indonesisch en Turks);2023;249405.0
87;Totaal mannen en vrouwen;Totaal;Azië (exclusief Indonesisch en Turks);2024;276292.0
88;Totaal mannen en vrouwen;Totaal;Afrika;2014;77602.0
89;Totaal mannen en vrouwen;Totaal;Afrika;2015;77510.0
90;Totaal mannen en vrouwen;Totaal;Afrika;2016;81573.0
91;Totaal mannen en vrouwen;Totaal;Afrika;2017;86581.0
92;Totaal mannen en vrouwen;Totaal;Afrika;2018;91226.0
93;Totaal mannen en vrouwen;Totaal;Afrika;2019;98004.0
94;Totaal mannen en vrouwen;Totaal;Afrika;2020;106335.0
95;Totaal mannen en vrouwen;Totaal;Afrika;2021;104584.0
96;Totaal mannen en vrouwen;Totaal;Afrika;2022;102998.0
97;Totaal mannen en vrouwen;Totaal;Afrika;2023;107960.0
98;Totaal mannen en vrouwen;Totaal;Afrika;2024;109844.0
99;Totaal mannen en vrouwen;Totaal;Amerika;2014;42504.0
100;Totaal mannen en vrouwen;Totaal;Amerika;2015;42943.0
101;Totaal mannen en vrouwen;Totaal;Amerika;2016;44912.0
102;Totaal mannen en vrouwen;Totaal;Amerika;2017;46029.0
103;Totaal mannen en vrouwen;Totaal;Amerika;2018;49543.0
104;Totaal mannen en vrouwen;Totaal;Amerika;2019;54630.0
105;Totaal mannen en vrouwen;Totaal;Amerika;2020;60251.0
106;Totaal mannen en vrouwen;Totaal;Amerika;2021;59734.0
107;Totaal mannen en vrouwen;Totaal;Amerika;2022;63824.0
108;Totaal mannen en vrouwen;Totaal;Amerika;2023;70356.0
109;Totaal mannen en vrouwen;Totaal;Amerika;2024;75509.0
110;Totaal mannen en vrouwen;Totaal;Azië;2014;183459.0
111;Totaal mannen en vrouwen;Totaal;Azië;2015;190340.0
112;Totaal mannen en vrouwen;Totaal;Azië;2016;211156.0
113;Totaal mannen en vrouwen;Totaal;Azië;2017;248173.0
114;Totaal mannen en vrouwen;Totaal;Azië;2018;275327.0
115;Totaal mannen en vrouwen;Totaal;Azië;2019;296534.0
116;Totaal mannen en vrouwen;Totaal;Azië;2020;322255.0
117;Totaal mannen en vrouwen;Totaal;Azië;2021;311863.0
118;Totaal mannen en vrouwen;Totaal;Azië;2022;315455.0
119;Totaal mannen en vrouwen;Totaal;Azië;2023;351450.0
120;Totaal mannen en vrouwen;Totaal;Azië;2024;383939.0
121;Totaal mannen en vrouwen;Totaal;Oceanië;2014;3821.0
122;Totaal mannen en vrouwen;Totaal;Oceanië;2015;3952.0
123;Totaal mannen en vrouwen;Totaal;Oceanië;2016;4293.0
124;Totaal mannen en vrouwen;Totaal;Oceanië;2017;4560.0
125;Totaal mannen en vrouwen;Totaal;Oceanië;2018;4859.0
126;Totaal mannen en vrouwen;Totaal;Oceanië;2019;5173.0
127;Totaal mannen en vrouwen;Totaal;Oceanië;2020;5470.0
128;Totaal mannen en vrouwen;Totaal;Oceanië;2021;4942.0
129;Totaal mannen en vrouwen;Totaal;Oceanië;2022;4796.0
130;Totaal mannen en vrouwen;Totaal;Oceanië;2023;5207.0
131;Totaal mannen en vrouwen;Totaal;Oceanië;2024;5801.0
132;Totaal mannen en vrouwen;Totaal;Europese Unie (exclusief Nederlands);2014;403027.0
133;Totaal mannen en vrouwen;Totaal;Europese Unie (exclusief Nederlands);2015;430934.0
134;Totaal mannen en vrouwen;Totaal;Europese Unie (exclusief Nederlands);2016;458705.0
135;Totaal mannen en vrouwen;Totaal;Europese Unie (exclusief Nederlands);2017;489119.0
136;Totaal mannen en vrouwen;Totaal;Europese Unie (exclusief Nederlands);2018;525626.0
137;Totaal mannen en vrouwen;Totaal;Europese Unie (exclusief Nederlands);2019;567724.0
138;Totaal mannen en vrouwen;Totaal;Europese Unie (exclusief Nederlands);2020;616615.0
139;Totaal mannen en vrouwen;Totaal;Europese Unie (exclusief Nederlands);2021;599632.0
140;Totaal mannen en vrouwen;Totaal;Europese Unie (exclusief Nederlands);2022;650691.0
141;Totaal mannen en vrouwen;Totaal;Europese Unie (exclusief Nederlands);2023;704203.0
142;Totaal mannen en vrouwen;Totaal;Europese Unie (exclusief Nederlands);2024;745524.0
143;Totaal mannen en vrouwen;Totaal;Midden- en Oost-Europese nat. in de EU;2014;142444.0
144;Totaal mannen en vrouwen;Totaal;Midden- en Oost-Europese nat. in de EU;2015;162851.0
145;Totaal mannen en vrouwen;Totaal;Midden- en Oost-Europese nat. in de EU;2016;180424.0
146;Totaal mannen en vrouwen;Totaal;Midden- en Oost-Europese nat. in de EU;2017;198113.0
147;Totaal mannen en vrouwen;Totaal;Midden- en Oost-Europese nat. in de EU;2018;219796.0
148;Totaal mannen en vrouwen;Totaal;Midden- en Oost-Europese nat. in de EU;2019;244677.0
149;Totaal mannen en vrouwen;Totaal;Midden- en Oost-Europese nat. in de EU;2020;273215.0
150;Totaal mannen en vrouwen;Totaal;Midden- en Oost-Europese nat. in de EU;2021;294211.0
151;Totaal mannen en vrouwen;Totaal;Midden- en Oost-Europese nat. in de EU;2022;322978.0
152;Totaal mannen en vrouwen;Totaal;Midden- en Oost-Europese nat. in de EU;2023;353543.0
153;Totaal mannen en vrouwen;Totaal;Midden- en Oost-Europese nat. in de EU;2024;376272.0
154;Totaal mannen en vrouwen;Totaal;GIPS-Nationaliteiten in de EU;2014;79643.0
155;Totaal mannen en vrouwen;Totaal;GIPS-Nationaliteiten in de EU;2015;84348.0
156;Totaal mannen en vrouwen;Totaal;GIPS-Nationaliteiten in de EU;2016;89707.0
157;Totaal mannen en vrouwen;Totaal;GIPS-Nationaliteiten in de EU;2017;95963.0
158;Totaal mannen en vrouwen;Totaal;GIPS-Nationaliteiten in de EU;2018;103816.0
159;Totaal mannen en vrouwen;Totaal;GIPS-Nationaliteiten in de EU;2019;113052.0
160;Totaal mannen en vrouwen;Totaal;GIPS-Nationaliteiten in de EU;2020;124570.0
161;Totaal mannen en vrouwen;Totaal;GIPS-Nationaliteiten in de EU;2021;130573.0
162;Totaal mannen en vrouwen;Totaal;GIPS-Nationaliteiten in de EU;2022;144322.0
163;Totaal mannen en vrouwen;Totaal;GIPS-Nationaliteiten in de EU;2023;160187.0
164;Totaal mannen en vrouwen;Totaal;GIPS-Nationaliteiten in de EU;2024;173741.0
165;Totaal mannen en vrouwen;Totaal;Afghaans;2014;3449.0
166;Totaal mannen en vrouwen;Totaal;Afghaans;2015;3144.0
167;Totaal mannen en vrouwen;Totaal;Afghaans;2016;3446.0
168;Totaal mannen en vrouwen;Totaal;Afghaans;2017;5033.0
169;Totaal mannen en vrouwen;Totaal;Afghaans;2018;5501.0
170;Totaal mannen en vrouwen;Totaal;Afghaans;2019;6138.0
171;Totaal mannen en vrouwen;Totaal;Afghaans;2020;6533.0
172;Totaal mannen en vrouwen;Totaal;Afghaans;2021;6448.0
173;Totaal mannen en vrouwen;Totaal;Afghaans;2022;8156.0
174;Totaal mannen en vrouwen;Totaal;Afghaans;2023;10577.0
175;Totaal mannen en vrouwen;Totaal;Afghaans;2024;10967.0
176;Totaal mannen en vrouwen;Totaal;Albanees;2014;571.0
177;Totaal mannen en vrouwen;Totaal;Albanees;2015;676.0
178;Totaal mannen en vrouwen;Totaal;Albanees;2016;795.0
179;Totaal mannen en vrouwen;Totaal;Albanees;2017;974.0
180;Totaal mannen en vrouwen;Totaal;Albanees;2018;1084.0
181;Totaal mannen en vrouwen;Totaal;Albanees;2019;1247.0
182;Totaal mannen en vrouwen;Totaal;Albanees;2020;1488.0
183;Totaal mannen en vrouwen;Totaal;Albanees;2021;1577.0
184;Totaal mannen en vrouwen;Totaal;Albanees;2022;1698.0
185;Totaal mannen en vrouwen;Totaal;Albanees;2023;1897.0
186;Totaal mannen en vrouwen;Totaal;Albanees;2024;2019.0
187;Totaal mannen en vrouwen;Totaal;Algerijns;2014;637.0
188;Totaal mannen en vrouwen;Totaal;Algerijns;2015;570.0
189;Totaal mannen en vrouwen;Totaal;Algerijns;2016;558.0
190;Totaal mannen en vrouwen;Totaal;Algerijns;2017;568.0
191;Totaal mannen en vrouwen;Totaal;Algerijns;2018;574.0
192;Totaal mannen en vrouwen;Totaal;Algerijns;2019;629.0
193;Totaal mannen en vrouwen;Totaal;Algerijns;2020;668.0
194;Totaal mannen en vrouwen;Totaal;Algerijns;2021;691.0
195;Totaal mannen en vrouwen;Totaal;Algerijns;2022;727.0
196;Totaal mannen en vrouwen;Totaal;Algerijns;2023;1169.0
197;Totaal mannen en vrouwen;Totaal;Algerijns;2024;1226.0
198;Totaal mannen en vrouwen;Totaal;Amerikaans;2014;15557.0
199;Totaal mannen en vrouwen;Totaal;Amerikaans;2015;16165.0
200;Totaal mannen en vrouwen;Totaal;Amerikaans;2016;17193.0
201;Totaal mannen en vrouwen;Totaal;Amerikaans;2017;18012.0
202;Totaal mannen en vrouwen;Totaal;Amerikaans;2018;19562.0
203;Totaal mannen en vrouwen;Totaal;Amerikaans;2019;20769.0
204;Totaal mannen en vrouwen;Totaal;Amerikaans;2020;22225.0
205;Totaal mannen en vrouwen;Totaal;Amerikaans;2021;21377.0
206;Totaal mannen en vrouwen;Totaal;Amerikaans;2022;22261.0
207;Totaal mannen en vrouwen;Totaal;Amerikaans;2023;24109.0
208;Totaal mannen en vrouwen;Totaal;Amerikaans;2024;25549.0
209;Totaal mannen en vrouwen;Totaal;Andorrees;2014;4.0
210;Totaal mannen en vrouwen;Totaal;Andorrees;2015;4.0
211;Totaal mannen en vrouwen;Totaal;Andorrees;2016;3.0
212;Totaal mannen en vrouwen;Totaal;Andorrees;2017;5.0
213;Totaal mannen en vrouwen;Totaal;Andorrees;2018;8.0
214;Totaal mannen en vrouwen;Totaal;Andorrees;2019;5.0
215;Totaal mannen en vrouwen;Totaal;Andorrees;2020;5.0
216;Totaal mannen en vrouwen;Totaal;Andorrees;2021;6.0
217;Totaal mannen en vrouwen;Totaal;Andorrees;2022;7.0
218;Totaal mannen en vrouwen;Totaal;Andorrees;2023;10.0
219;Totaal mannen en vrouwen;Totaal;Andorrees;2024;9.0
220;Totaal mannen en vrouwen;Totaal;Angolees;2014;802.0
221;Totaal mannen en vrouwen;Totaal;Angolees;2015;756.0
222;Totaal mannen en vrouwen;Totaal;Angolees;2016;768.0
223;Totaal mannen en vrouwen;Totaal;Angolees;2017;729.0
224;Totaal mannen en vrouwen;Totaal;Angolees;2018;763.0
225;Totaal mannen en vrouwen;Totaal;Angolees;2019;787.0
226;Totaal mannen en vrouwen;Totaal;Angolees;2020;824.0
227;Totaal mannen en vrouwen;Totaal;Angolees;2021;796.0
228;Totaal mannen en vrouwen;Totaal;Angolees;2022;773.0
229;Totaal mannen en vrouwen;Totaal;Angolees;2023;737.0
230;Totaal mannen en vrouwen;Totaal;Angolees;2024;713.0
231;Totaal mannen en vrouwen;Totaal;Burger van Antigua en Barbuda;2014;0.0
232;Totaal mannen en vrouwen;Totaal;Burger van Antigua en Barbuda;2015;1.0
233;Totaal mannen en vrouwen;Totaal;Burger van Antigua en Barbuda;2016;2.0
234;Totaal mannen en vrouwen;Totaal;Burger van Antigua en Barbuda;2017;2.0
235;Totaal mannen en vrouwen;Totaal;Burger van Antigua en Barbuda;2018;2.0
236;Totaal mannen en vrouwen;Totaal;Burger van Antigua en Barbuda;2019;4.0
237;Totaal mannen en vrouwen;Totaal;Burger van Antigua en Barbuda;2020;5.0
238;Totaal mannen en vrouwen;Totaal;Burger van Antigua en Barbuda;2021;6.0
239;Totaal mannen en vrouwen;Totaal;Burger van Antigua en Barbuda;2022;6.0
240;Totaal mannen en vrouwen;Totaal;Burger van Antigua en Barbuda;2023;8.0
241;Totaal mannen en vrouwen;Totaal;Burger van Antigua en Barbuda;2024;9.0
242;Totaal mannen en vrouwen;Totaal;Argentijns;2014;609.0
243;Totaal mannen en vrouwen;Totaal;Argentijns;2015;643.0
244;Totaal mannen en vrouwen;Totaal;Argentijns;2016;661.0
245;Totaal mannen en vrouwen;Totaal;Argentijns;2017;727.0
246;Totaal mannen en vrouwen;Totaal;Argentijns;2018;803.0
247;Totaal mannen en vrouwen;Totaal;Argentijns;2019;947.0
248;Totaal mannen en vrouwen;Totaal;Argentijns;2020;1152.0
249;Totaal mannen en vrouwen;Totaal;Argentijns;2021;1171.0
250;Totaal mannen en vrouwen;Totaal;Argentijns;2022;1356.0
251;Totaal mannen en vrouwen;Totaal;Argentijns;2023;1608.0
252;Totaal mannen en vrouwen;Totaal;Argentijns;2024;1709.0
253;Totaal mannen en vrouwen;Totaal;Armeens;2014;968.0
254;Totaal mannen en vrouwen;Totaal;Armeens;2015;1038.0
255;Totaal mannen en vrouwen;Totaal;Armeens;2016;1079.0
256;Totaal mannen en vrouwen;Totaal;Armeens;2017;1136.0
257;Totaal mannen en vrouwen;Totaal;Armeens;2018;1175.0
258;Totaal mannen en vrouwen;Totaal;Armeens;2019;1232.0
259;Totaal mannen en vrouwen;Totaal;Armeens;2020;1357.0
260;Totaal mannen en vrouwen;Totaal;Armeens;2021;1351.0
261;Totaal mannen en vrouwen;Totaal;Armeens;2022;1327.0
262;Totaal mannen en vrouwen;Totaal;Armeens;2023;1439.0
263;Totaal mannen en vrouwen;Totaal;Armeens;2024;1507.0
264;Totaal mannen en vrouwen;Totaal;Australisch;2014;2933.0
265;Totaal mannen en vrouwen;Totaal;Australisch;2015;3034.0
266;Totaal mannen en vrouwen;Totaal;Australisch;2016;3289.0
267;Totaal mannen en vrouwen;Totaal;Australisch;2017;3532.0
268;Totaal mannen en vrouwen;Totaal;Australisch;2018;3720.0
269;Totaal mannen en vrouwen;Totaal;Australisch;2019;3931.0
270;Totaal mannen en vrouwen;Totaal;Australisch;2020;4148.0
271;Totaal mannen en vrouwen;Totaal;Australisch;2021;3709.0
272;Totaal mannen en vrouwen;Totaal;Australisch;2022;3584.0
273;Totaal mannen en vrouwen;Totaal;Australisch;2023;3900.0
274;Totaal mannen en vrouwen;Totaal;Australisch;2024;4317.0
275;Totaal mannen en vrouwen;Totaal;Azerbeidzjaans;2014;431.0
276;Totaal mannen en vrouwen;Totaal;Azerbeidzjaans;2015;499.0
277;Totaal mannen en vrouwen;Totaal;Azerbeidzjaans;2016;553.0
278;Totaal mannen en vrouwen;Totaal;Azerbeidzjaans;2017;623.0
279;Totaal mannen en vrouwen;Totaal;Azerbeidzjaans;2018;706.0
280;Totaal mannen en vrouwen;Totaal;Azerbeidzjaans;2019;788.0
281;Totaal mannen en vrouwen;Totaal;Azerbeidzjaans;2020;985.0
282;Totaal mannen en vrouwen;Totaal;Azerbeidzjaans;2021;1035.0
283;Totaal mannen en vrouwen;Totaal;Azerbeidzjaans;2022;1231.0
284;Totaal mannen en vrouwen;Totaal;Azerbeidzjaans;2023;1560.0
285;Totaal mannen en vrouwen;Totaal;Azerbeidzjaans;2024;1766.0
286;Totaal mannen en vrouwen;Totaal;Bahamaans;2014;8.0
287;Totaal mannen en vrouwen;Totaal;Bahamaans;2015;10.0
288;Totaal mannen en vrouwen;Totaal;Bahamaans;2016;10.0
289;Totaal mannen en vrouwen;Totaal;Bahamaans;2017;10.0
290;Totaal mannen en vrouwen;Totaal;Bahamaans;2018;11.0
291;Totaal mannen en vrouwen;Totaal;Bahamaans;2019;9.0
292;Totaal mannen en vrouwen;Totaal;Bahamaans;2020;12.0
293;Totaal mannen en vrouwen;Totaal;Bahamaans;2021;17.0
294;Totaal mannen en vrouwen;Totaal;Bahamaans;2022;19.0
295;Totaal mannen en vrouwen;Totaal;Bahamaans;2023;15.0
296;Totaal mannen en vrouwen;Totaal;Bahamaans;2024;13.0
297;Totaal mannen en vrouwen;Totaal;Bahreins;2014;8.0
298;Totaal mannen en vrouwen;Totaal;Bahreins;2015;8.0
299;Totaal mannen en vrouwen;Totaal;Bahreins;2016;14.0
300;Totaal mannen en vrouwen;Totaal;Bahreins;2017;19.0
301;Totaal mannen en vrouwen;Totaal;Bahreins;2018;26.0
302;Totaal mannen en vrouwen;Totaal;Bahreins;2019;42.0
303;Totaal mannen en vrouwen;Totaal;Bahreins;2020;44.0
304;Totaal mannen en vrouwen;Totaal;Bahreins;2021;46.0
305;Totaal mannen en vrouwen;Totaal;Bahreins;2022;48.0
306;Totaal mannen en vrouwen;Totaal;Bahreins;2023;55.0
307;Totaal mannen en vrouwen;Totaal;Bahreins;2024;53.0
308;Totaal mannen en vrouwen;Totaal;Barbadaans;2014;14.0
309;Totaal mannen en vrouwen;Totaal;Barbadaans;2015;13.0
310;Totaal mannen en vrouwen;Totaal;Barbadaans;2016;15.0
311;Totaal mannen en vrouwen;Totaal;Barbadaans;2017;21.0
312;Totaal mannen en vrouwen;Totaal;Barbadaans;2018;20.0
313;Totaal mannen en vrouwen;Totaal;Barbadaans;2019;22.0
314;Totaal mannen en vrouwen;Totaal;Barbadaans;2020;25.0
315;Totaal mannen en vrouwen;Totaal;Barbadaans;2021;22.0
316;Totaal mannen en vrouwen;Totaal;Barbadaans;2022;22.0
317;Totaal mannen en vrouwen;Totaal;Barbadaans;2023;26.0
318;Totaal mannen en vrouwen;Totaal;Barbadaans;2024;28.0
319;Totaal mannen en vrouwen;Totaal;Belarussisch;2014;836.0
320;Totaal mannen en vrouwen;Totaal;Belarussisch;2015;898.0
321;Totaal mannen en vrouwen;Totaal;Belarussisch;2016;973.0
322;Totaal mannen en vrouwen;Totaal;Belarussisch;2017;1061.0
323;Totaal mannen en vrouwen;Totaal;Belarussisch;2018;1135.0
324;Totaal mannen en vrouwen;Totaal;Belarussisch;2019;1264.0
325;Totaal mannen en vrouwen;Totaal;Belarussisch;2020;1449.0
326;Totaal mannen en vrouwen;Totaal;Belarussisch;2021;1529.0
327;Totaal mannen en vrouwen;Totaal;Belarussisch;2022;1814.0
328;Totaal mannen en vrouwen;Totaal;Belarussisch;2023;2225.0
329;Totaal mannen en vrouwen;Totaal;Belarussisch;2024;2401.0
330;Totaal mannen en vrouwen;Totaal;Belgisch;2014;28810.0
331;Totaal mannen en vrouwen;Totaal;Belgisch;2015;29629.0
332;Totaal mannen en vrouwen;Totaal;Belgisch;2016;30560.0
333;Totaal mannen en vrouwen;Totaal;Belgisch;2017;31887.0
334;Totaal mannen en vrouwen;Totaal;Belgisch;2018;33186.0
335;Totaal mannen en vrouwen;Totaal;Belgisch;2019;34447.0
336;Totaal mannen en vrouwen;Totaal;Belgisch;2020;35868.0
337;Totaal mannen en vrouwen;Totaal;Belgisch;2021;37034.0
338;Totaal mannen en vrouwen;Totaal;Belgisch;2022;38156.0
339;Totaal mannen en vrouwen;Totaal;Belgisch;2023;39023.0
340;Totaal mannen en vrouwen;Totaal;Belgisch;2024;39745.0
341;Totaal mannen en vrouwen;Totaal;Belizaans;2014;4.0
342;Totaal mannen en vrouwen;Totaal;Belizaans;2015;5.0
343;Totaal mannen en vrouwen;Totaal;Belizaans;2016;6.0
344;Totaal mannen en vrouwen;Totaal;Belizaans;2017;6.0
345;Totaal mannen en vrouwen;Totaal;Belizaans;2018;6.0
346;Totaal mannen en vrouwen;Totaal;Belizaans;2019;8.0
347;Totaal mannen en vrouwen;Totaal;Belizaans;2020;17.0
348;Totaal mannen en vrouwen;Totaal;Belizaans;2021;12.0
349;Totaal mannen en vrouwen;Totaal;Belizaans;2022;12.0
350;Totaal mannen en vrouwen;Totaal;Belizaans;2023;12.0
351;Totaal mannen en vrouwen;Totaal;Belizaans;2024;17.0
352;Totaal mannen en vrouwen;Totaal;Bengalees;2014;561.0
353;Totaal mannen en vrouwen;Totaal;Bengalees;2015;560.0
354;Totaal mannen en vrouwen;Totaal;Bengalees;2016;626.0
355;Totaal mannen en vrouwen;Totaal;Bengalees;2017;778.0
356;Totaal mannen en vrouwen;Totaal;Bengalees;2018;867.0
357;Totaal mannen en vrouwen;Totaal;Bengalees;2019;897.0
358;Totaal mannen en vrouwen;Totaal;Bengalees;2020;1025.0
359;Totaal mannen en vrouwen;Totaal;Bengalees;2021;1156.0
360;Totaal mannen en vrouwen;Totaal;Bengalees;2022;1674.0
361;Totaal mannen en vrouwen;Totaal;Bengalees;2023;2353.0
362;Totaal mannen en vrouwen;Totaal;Bengalees;2024;2464.0
363;Totaal mannen en vrouwen;Totaal;Benins;2014;89.0
364;Totaal mannen en vrouwen;Totaal;Benins;2015;90.0
365;Totaal mannen en vrouwen;Totaal;Benins;2016;90.0
