ID;Geslacht;Leeftijd;PositieInHuishouden;Herkomstland;Geboorteland;Perioden;Bevolking_1
200;Totaal mannen en vrouwen;Totaal;Totaal;Algerije;Totaal;2024;9808.0
201;Totaal mannen en vrouwen;Totaal;Totaal;Algerije;Geboren in Nederland;2022;4713.0
202;Totaal mannen en vrouwen;Totaal;Totaal;Algerije;Geboren in Nederland;2023;4788.0
203;Totaal mannen en vrouwen;Totaal;Totaal;Algerije;Geboren in Nederland;2024;4855.0
204;Totaal mannen en vrouwen;Totaal;Totaal;Algerije;Geboren buiten Nederland;2022;4344.0
205;Totaal mannen en vrouwen;Totaal;Totaal;Algerije;Geboren buiten Nederland;2023;4839.0
206;Totaal mannen en vrouwen;Totaal;Totaal;Algerije;Geboren buiten Nederland;2024;4953.0
207;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaanse Maagdeneilanden;Totaal;2022;40.0
208;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaanse Maagdeneilanden;Totaal;2023;38.0
209;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaanse Maagdeneilanden;Totaal;2024;42.0
210;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaanse Maagdeneilanden;Geboren in Nederland;2022;13.0
211;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaanse Maagdeneilanden;Geboren in Nederland;2023;13.0
212;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaanse Maagdeneilanden;Geboren in Nederland;2024;13.0
213;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaanse Maagdeneilanden;Geboren buiten Nederland;2022;27.0
214;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaanse Maagdeneilanden;Geboren buiten Nederland;2023;25.0
215;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaanse Maagdeneilanden;Geboren buiten Nederland;2024;29.0
216;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaans-Samoa;Totaal;2022;3.0
217;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaans-Samoa;Totaal;2023;3.0
218;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaans-Samoa;Totaal;2024;3.0
219;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaans-Samoa;Geboren in Nederland;2022;1.0
220;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaans-Samoa;Geboren in Nederland;2023;1.0
221;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaans-Samoa;Geboren in Nederland;2024;1.0
222;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaans-Samoa;Geboren buiten Nederland;2022;2.0
223;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaans-Samoa;Geboren buiten Nederland;2023;2.0
224;Totaal mannen en vrouwen;Totaal;Totaal;Amerikaans-Samoa;Geboren buiten Nederland;2024;2.0
225;Totaal mannen en vrouwen;Totaal;Totaal;Andorra;Totaal;2022;42.0
226;Totaal mannen en vrouwen;Totaal;Totaal;Andorra;Totaal;2023;42.0
227;Totaal mannen en vrouwen;Totaal;Totaal;Andorra;Totaal;2024;39.0
228;Totaal mannen en vrouwen;Totaal;Totaal;Andorra;Geboren in Nederland;2022;5.0
229;Totaal mannen en vrouwen;Totaal;Totaal;Andorra;Geboren in Nederland;2023;5.0
230;Totaal mannen en vrouwen;Totaal;Totaal;Andorra;Geboren in Nederland;2024;4.0
231;Totaal mannen en vrouwen;Totaal;Totaal;Andorra;Geboren buiten Nederland;2022;37.0
232;Totaal mannen en vrouwen;Totaal;Totaal;Andorra;Geboren buiten Nederland;2023;37.0
233;Totaal mannen en vrouwen;Totaal;Totaal;Andorra;Geboren buiten Nederland;2024;35.0
234;Totaal mannen en vrouwen;Totaal;Totaal;Angola;Totaal;2022;9398.0
235;Totaal mannen en vrouwen;Totaal;Totaal;Angola;Totaal;2023;9576.0
236;Totaal mannen en vrouwen;Totaal;Totaal;Angola;Totaal;2024;9808.0
237;Totaal mannen en vrouwen;Totaal;Totaal;Angola;Geboren in Nederland;2022;4368.0
238;Totaal mannen en vrouwen;Totaal;Totaal;Angola;Geboren in Nederland;2023;4473.0
239;Totaal mannen en vrouwen;Totaal;Totaal;Angola;Geboren in Nederland;2024;4578.0
240;Totaal mannen en vrouwen;Totaal;Totaal;Angola;Geboren buiten Nederland;2022;5030.0
241;Totaal mannen en vrouwen;Totaal;Totaal;Angola;Geboren buiten Nederland;2023;5103.0
242;Totaal mannen en vrouwen;Totaal;Totaal;Angola;Geboren buiten Nederland;2024;5230.0
243;Totaal mannen en vrouwen;Totaal;Totaal;Anguilla;Totaal;2022;29.0
244;Totaal mannen en vrouwen;Totaal;Totaal;Anguilla;Totaal;2023;31.0
245;Totaal mannen en vrouwen;Totaal;Totaal;Anguilla;Totaal;2024;31.0
246;Totaal mannen en vrouwen;Totaal;Totaal;Anguilla;Geboren in Nederland;2022;10.0
247;Totaal mannen en vrouwen;Totaal;Totaal;Anguilla;Geboren in Nederland;2023;10.0
248;Totaal mannen en vrouwen;Totaal;Totaal;Anguilla;Geboren in Nederland;2024;11.0
249;Totaal mannen en vrouwen;Totaal;Totaal;Anguilla;Geboren buiten Nederland;2022;19.0
250;Totaal mannen en vrouwen;Totaal;Totaal;Anguilla;Geboren buiten Nederland;2023;21.0
251;Totaal mannen en vrouwen;Totaal;Totaal;Anguilla;Geboren buiten Nederland;2024;20.0
252;Totaal mannen en vrouwen;Totaal;Totaal;Antarctica;Totaal;2022;0.0
253;Totaal mannen en vrouwen;Totaal;Totaal;Antarctica;Totaal;2023;0.0
254;Totaal mannen en vrouwen;Totaal;Totaal;Antarctica;Totaal;2024;0.0
255;Totaal mannen en vrouwen;Totaal;Totaal;Antarctica;Geboren in Nederland;2022;0.0
256;Totaal mannen en vrouwen;Totaal;Totaal;Antarctica;Geboren in Nederland;2023;0.0
257;Totaal mannen en vrouwen;Totaal;Totaal;Antarctica;Geboren in Nederland;2024;0.0
258;Totaal mannen en vrouwen;Totaal;Totaal;Antarctica;Geboren buiten Nederland;2022;0.0
259;Totaal mannen en vrouwen;Totaal;Totaal;Antarctica;Geboren buiten Nederland;2023;0.0
260;Totaal mannen en vrouwen;Totaal;Totaal;Antarctica;Geboren buiten Nederland;2024;0.0
261;Totaal mannen en vrouwen;Totaal;Totaal;Antigua en Barbuda;Totaal;2022;61.0
262;Totaal mannen en vrouwen;Totaal;Totaal;Antigua en Barbuda;Totaal;2023;65.0
263;Totaal mannen en vrouwen;Totaal;Totaal;Antigua en Barbuda;Totaal;2024;65.0
264;Totaal mannen en vrouwen;Totaal;Totaal;Antigua en Barbuda;Geboren in Nederland;2022;26.0
265;Totaal mannen en vrouwen;Totaal;Totaal;Antigua en Barbuda;Geboren in Nederland;2023;28.0
266;Totaal mannen en vrouwen;Totaal;Totaal;Antigua en Barbuda;Geboren in Nederland;2024;30.0
