ID;Geslacht;Leeftijd;Marges;Perioden;ZiekteverzuimpercentageWerknemers_1;AandeelWerknemersDieHebbenVerzuimd_2;AantalKeerVerzuimd_3;AantalWerkdagenVerzuimd_4;AantalWerkdagenMeestRecenteVerzuim_5;k_1Tot5Werkdagen_6;k_5Tot20Werkdagen_7;k_20Tot210Werkdagen_8;k_210WerkdagenOfMeer_9;Rug_10;NekSchoudersArmenPolsenHanden_11;HeupBenenKnieenVoeten_12;HartEnVaatstelsel_13;PsychischOverspannenheidBurnOut_14;VermoeidheidOfConcentratieproblemen_15;ConflictOpHetWerk_16;Luchtwegen_17;BuikMaagOfDarmen_18;Huid_19;OrenOfOgen_20;GriepOfVerkoudheid_21;Hoofdpijn_22;KlachtenInVerbandMetZwangerschap_23;OverigeKlachten_24;GriepVerkoudheidOfAnderVirus_25;Hoofdpijn_26;PsychischOverspannenheidBurnOut_27;VermoeidheidOfConcentratieproblemen_28;Rug_29;NekSchoudersArmenPolsenHanden_30;HeupBenenKnieenVoeten_31;HartEnVaatstelsel_32;BuikMaagOfDarmen_33;Luchtwegen_34;Huid_35;OrenOfOgen_36;OverigeKlachten_37;Zwangerschapsklachten_38;Menstruatieklachten_39;Overgangsklachten_40;MenstruatieOfOvergangsklachten_41;JaHoofdzakelijkGevolgVanMijnWerk_42;JaVoorEenDeelGevolgVanMijnWerk_43;NeeGeenGevolgVanMijnWerk_44;WeetNiet_45;WerkdrukWerkstress_46;EmotioneelTeZwaar_47;LichamelijkTeZwaar_48;LangdurigDezelfdeHandelingOfPcWerk_49;TeMoeilijkWerk_50;ProblemenMetLeidingWerkgever_51;ProblemenMetCollegaOfOndergeschikte_52;ProblemenMetKlanten_53;GevaarlijkWerkBedrijfsongeval_54;GevaarlijkeStoffen_55;AndereReden_56;TeHogeWerkdruk_57;LangDezelfdeBewegingenDoen_58;LangAchterDeComputerWerken_59;SlechteFysiekeWerkomstandigheden_60;LichamelijkTeZwaarWerk_61;EmotioneelTeZwaarWerk_62;RuzieConflictOngewenstGedrag_63;ArbeidsongevalOfOngeluk_64;BesmettingOpHetWerk_65;AndereReden_66
27;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2019;4.6;47.3;2.7;17.5;15.2;69.0;18.9;12.5;1.3;5.6;5.2;5.1;1.5;8.5;2.8;0.7;2.6;8.6;0.6;1.2;46.1;5.2;1.7;11.6;;;;;;;;;;;;;;;;;;10.1;17.0;68.8;5.9;39.8;4.2;17.2;10.3;0.5;7.1;2.8;1.1;2.1;0.9;20.7;;;;;;;;;;
28;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2020;4.5;44.0;2.8;18.3;16.0;63.5;23.9;13.2;1.3;5.6;5.1;4.4;1.5;7.8;2.7;0.7;3.1;7.7;0.6;1.3;43.7;6.4;1.7;15.4;;;;;;;;;;;;;;;;;;9.8;15.1;70.0;6.9;36.4;3.7;17.0;10.7;0.6;6.2;2.7;1.6;2.5;0.8;25.1;;;;;;;;;;
29;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2021;4.8;44.1;2.8;19.6;17.4;62.5;24.0;14.0;1.5;5.3;4.3;4.3;1.3;9.1;3.3;0.7;2.8;7.3;0.5;1.1;41.0;5.6;1.6;19.1;;;;;;;;;;;;;;;;;;10.6;16.2;67.9;7.4;39.3;4.4;16.3;9.2;1.2;6.2;2.1;1.3;2.2;0.3;25.3;;;;;;;;;;
30;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2022;5.3;58.0;2.7;16.6;13.6;64.3;26.4;9.7;1.2;;;;;;;;;;;;;;;;64.2;3.8;7.0;2.1;3.4;3.0;3.1;1.1;3.8;1.4;0.3;0.8;8.9;3.5;5.0;2.7;7.3;7.9;13.3;73.2;7.1;;;;;;;;;;;;29.8;6.1;5.8;2.1;11.4;5.2;5.5;3.0;22.9;15.6
31;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2023;4.9;51.2;2.8;17.3;14.8;70.4;18.8;11.0;1.3;;;;;;;;;;;;;;;;55.9;5.3;8.3;2.6;4.0;3.5;3.8;1.2;5.2;1.5;0.5;1.0;10.4;3.7;6.9;3.7;10.0;8.2;14.8;72.0;6.7;;;;;;;;;;;;30.9;6.7;6.1;3.2;12.4;6.4;7.0;3.4;15.2;16.5
32;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2024;5.0;52.0;3.0;17.6;14.7;71.2;18.0;11.1;1.4;;;;;;;;;;;;;;;;56.0;5.1;8.6;2.4;4.0;3.6;4.0;1.1;5.1;1.5;0.5;1.1;10.1;3.6;6.9;4.1;10.3;8.1;15.2;71.9;6.5;;;;;;;;;;;;28.4;6.2;6.8;3.2;13.2;6.4;7.0;3.3;15.5;17.6
33;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2014;2.0;36.9;2.9;6.1;4.2;88.4;8.4;3.0;0.2;3.7;4.2;5.8;0.3;2.3;3.6;0.4;1.7;10.0;0.4;0.6;50.0;6.9;0.7;13.2;;;;;;;;;;;;;;;;;;4.2;12.8;79.1;4.0;24.4;3.0;20.4;13.4;0.9;4.0;0.6;1.1;5.3;0.5;26.5;;;;;;;;;;
34;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2015;1.7;36.7;2.4;5.8;3.6;89.4;7.9;2.6;0.1;4.3;3.3;5.5;0.4;2.5;2.8;0.4;1.6;8.9;0.6;0.8;54.6;7.5;0.3;10.6;;;;;;;;;;;;;;;;;;3.7;11.1;79.3;5.9;22.2;2.8;21.5;13.8;0.3;3.8;1.2;1.0;1.9;0.9;30.7;;;;;;;;;;
35;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2016;2.0;39.4;2.6;6.1;3.5;88.7;9.1;2.1;0.1;4.2;2.8;5.1;0.1;3.1;3.5;0.1;2.0;7.9;0.5;0.6;55.4;7.8;0.5;11.0;;;;;;;;;;;;;;;;;;4.2;12.4;79.3;4.2;27.5;4.8;28.5;8.6;0.7;2.8;1.0;0.9;2.7;0.2;22.4;;;;;;;;;;
36;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2017;1.8;38.3;2.5;5.7;3.4;89.0;7.9;3.1;0.0;4.1;3.5;5.2;0.4;3.5;3.0;0.1;1.4;8.8;0.6;0.8;52.9;7.8;0.5;11.7;;;;;;;;;;;;;;;;;;4.1;12.8;78.1;5.0;24.4;4.4;23.0;11.2;0.5;3.0;1.7;1.6;1.7;0.4;28.0;;;;;;;;;;
37;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2018;2.2;42.6;2.8;6.3;3.5;87.4;10.0;2.6;0.0;4.5;3.4;4.5;0.2;3.4;2.7;0.2;1.2;10.2;0.7;0.7;53.8;8.3;0.6;10.3;;;;;;;;;;;;;;;;;;5.3;12.1;76.9;5.7;24.6;4.8;20.0;8.2;0.9;2.5;1.1;0.7;4.1;1.5;31.6;;;;;;;;;;
38;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2019;2.4;42.1;2.9;7.2;4.3;87.8;8.9;3.1;0.2;3.9;3.1;4.8;0.4;4.2;3.1;0.5;1.8;9.1;0.5;0.6;54.0;7.5;0.5;10.3;;;;;;;;;;;;;;;;;;5.0;12.0;76.7;6.3;27.3;5.3;20.3;10.4;0.3;2.9;3.6;1.1;3.1;0.6;25.2;;;;;;;;;;
39;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2020;2.4;41.6;2.7;6.8;4.2;83.0;13.6;3.3;0.1;3.1;3.4;3.9;0.3;2.8;2.1;0.2;2.2;8.7;0.4;0.6;53.9;9.3;0.3;14.0;;;;;;;;;;;;;;;;;;4.3;9.6;76.9;9.3;23.0;2.7;16.9;8.0;0.2;2.2;1.7;2.6;3.5;0.5;38.6;;;;;;;;;;
40;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2021;2.6;43.1;2.8;7.7;4.5;82.1;14.7;3.1;0.1;2.4;2.5;4.2;0.1;4.4;2.1;0.2;1.8;6.9;0.3;0.6;55.6;6.8;0.5;15.6;;;;;;;;;;;;;;;;;;3.8;11.2;75.5;9.5;25.6;3.9;13.8;6.8;1.6;3.0;1.2;2.2;3.2;0.0;38.7;;;;;;;;;;
41;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2022;3.0;52.2;3.0;7.3;4.0;83.1;14.6;2.2;0.1;;;;;;;;;;;;;;;;67.4;6.2;4.3;1.8;1.9;2.0;3.0;0.2;4.4;1.5;0.3;0.7;6.4;1.5;11.0;0.0;11.0;3.8;10.6;77.6;8.0;;;;;;;;;;;;20.7;5.7;4.4;2.8;11.6;5.6;2.0;3.2;27.1;17.0
42;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2023;2.7;48.7;3.0;7.1;3.8;87.8;9.2;3.0;0.0;;;;;;;;;;;;;;;;62.2;8.0;4.8;2.3;1.9;2.2;4.1;0.2;5.5;0.9;0.3;0.3;7.4;1.1;15.2;0.4;15.6;3.5;10.7;79.0;6.8;;;;;;;;;;;;19.0;6.0;3.0;6.7;14.1;6.5;3.0;5.9;19.5;16.3
43;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2024;2.7;48.6;3.1;7.2;3.5;88.6;8.9;2.5;0.0;;;;;;;;;;;;;;;;61.7;8.4;4.5;1.8;2.1;1.8;4.0;0.3;6.2;1.2;0.5;0.5;7.1;1.4;16.8;0.2;17.0;3.9;10.1;79.8;6.1;;;;;;;;;;;;15.8;6.7;3.1;5.8;14.1;6.3;3.7;2.1;23.2;19.2
44;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2014;1.7;35.3;2.5;5.2;3.0;86.5;7.1;2.1;0.0;2.8;3.2;4.7;0.1;1.6;2.7;0.2;1.2;8.5;0.1;0.4;47.3;5.7;0.4;11.3;;;;;;;;;;;;;;;;;;3.3;11.1;76.8;2.8;19.4;1.2;15.8;9.6;0.2;2.1;0.1;0.3;3.2;0.1;21.4;;;;;;;;;;
45;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2015;1.5;35.5;2.3;5.2;3.1;88.0;6.9;2.0;0.0;3.5;2.7;4.7;0.2;1.9;2.2;0.2;1.2;7.8;0.4;0.5;52.5;6.4;0.2;9.3;;;;;;;;;;;;;;;;;;3.0;9.9;77.5;4.9;18.0;1.6;17.5;10.5;0.0;2.1;0.5;0.4;0.9;0.3;26.1;;;;;;;;;;
46;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2016;1.8;38.2;2.4;5.4;3.0;87.3;7.9;1.6;0.0;3.4;2.2;4.2;0.1;2.5;2.8;0.0;1.5;6.9;0.3;0.3;53.2;6.7;0.3;9.7;;;;;;;;;;;;;;;;;;3.4;11.1;77.5;3.3;23.3;2.8;23.9;6.2;0.1;1.6;0.4;0.3;1.4;0.0;18.5;;;;;;;;;;
47;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2017;1.7;37.0;2.4;5.2;3.0;87.6;6.8;2.5;0.0;3.3;2.8;4.4;0.2;2.8;2.4;0.0;1.0;7.6;0.4;0.5;50.6;6.7;0.3;10.4;;;;;;;;;;;;;;;;;;3.3;11.4;76.3;4.1;20.4;2.6;18.9;8.3;0.1;1.7;0.8;0.6;0.8;0.1;23.6;;;;;;;;;;
48;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2018;2.1;41.5;2.6;5.8;3.1;86.2;9.0;2.1;0.0;3.8;2.8;3.8;0.1;2.8;2.2;0.1;0.9;9.2;0.4;0.5;52.0;7.4;0.4;9.3;;;;;;;;;;;;;;;;;;4.5;11.0;75.4;5.0;21.3;3.3;16.9;6.1;0.3;1.6;0.5;0.3;2.6;0.7;27.9;;;;;;;;;;
49;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2019;2.2;41.0;2.7;6.6;3.7;86.7;8.0;2.5;0.1;3.3;2.5;4.1;0.2;3.6;2.6;0.3;1.3;8.2;0.3;0.4;52.2;6.6;0.3;9.3;;;;;;;;;;;;;;;;;;4.2;10.9;75.2;5.5;23.7;3.7;17.1;8.1;0.1;1.7;2.2;0.6;2.0;0.2;21.8;;;;;;;;;;
50;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2020;2.2;40.5;2.6;6.3;3.7;81.5;12.4;2.7;0.0;2.5;2.8;3.2;0.2;2.2;1.6;0.1;1.7;7.8;0.2;0.3;52.0;8.3;0.1;12.8;;;;;;;;;;;;;;;;;;3.6;8.5;75.3;8.2;19.2;1.7;13.6;5.7;0.0;1.2;0.7;1.5;2.0;0.1;33.9;;;;;;;;;;
51;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2021;2.4;41.8;2.7;7.0;3.9;80.5;13.3;2.5;0.0;1.8;1.9;3.5;0.0;3.7;1.6;0.1;1.4;6.0;0.2;0.3;53.5;5.9;0.3;14.1;;;;;;;;;;;;;;;;;;3.1;10.0;73.7;8.3;21.4;2.4;10.3;4.6;0.6;1.5;0.4;1.1;1.7;0.0;33.5;;;;;;;;;;
52;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2022;2.8;51.0;2.9;6.8;3.5;81.8;13.5;1.8;0.0;;;;;;;;;;;;;;;;65.9;5.4;3.6;1.4;1.5;1.6;2.5;0.1;3.8;1.1;0.2;0.5;5.6;0.9;9.2;0.0;9.2;3.2;9.6;76.2;7.1;;;;;;;;;;;;17.2;3.8;2.8;1.6;9.0;3.9;1.0;1.9;23.4;13.9
