ID;Geslacht;Leeftijd;HoogstBehaaldOnderwijsniveau;Onderwijsrichting;CaribischNederland;Perioden;Bevolking_1
75;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Sint Eustatius;2022;20
76;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Saba;2016;30
77;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Saba;2018;20
78;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Saba;2020;50
79;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;03 Journalistiek, gedrag en maatschappij;Saba;2022;30
80;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Caribisch Nederland;2016;2370
81;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Caribisch Nederland;2018;2730
82;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Caribisch Nederland;2020;3220
83;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Caribisch Nederland;2022;2570
84;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Bonaire;2016;2030
85;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Bonaire;2018;2160
86;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Bonaire;2020;2760
87;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Bonaire;2022;2090
88;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Sint Eustatius;2016;240
89;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Sint Eustatius;2018;350
90;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Sint Eustatius;2020;270
91;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Sint Eustatius;2022;290
92;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Saba;2016;100
93;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Saba;2018;220
94;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Saba;2020;190
95;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;04 Recht, administratie, handel en za...;Saba;2022;190
96;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Caribisch Nederland;2016;300
97;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Caribisch Nederland;2018;350
98;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Caribisch Nederland;2020;150
99;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Caribisch Nederland;2022;170
100;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Bonaire;2016;90
101;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Bonaire;2018;190
102;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Bonaire;2020;100
103;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Bonaire;2022;100
104;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Sint Eustatius;2016;20
105;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Sint Eustatius;2018;30
106;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Sint Eustatius;2020;30
107;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Sint Eustatius;2022;20
108;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Saba;2016;190
109;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Saba;2018;140
110;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Saba;2020;30
111;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;05 Wiskunde, natuurwetenschappen;Saba;2022;50
112;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Caribisch Nederland;2016;190
113;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Caribisch Nederland;2018;290
114;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Caribisch Nederland;2020;270
115;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Caribisch Nederland;2022;300
116;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Bonaire;2016;150
117;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Bonaire;2018;240
118;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Bonaire;2020;230
119;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Bonaire;2022;260
120;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Sint Eustatius;2016;20
121;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Sint Eustatius;2018;40
122;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Sint Eustatius;2020;40
123;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Sint Eustatius;2022;30
124;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Saba;2016;20
125;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Saba;2018;10
126;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Saba;2020;10
127;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;06 Informatica;Saba;2022;10
128;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Caribisch Nederland;2016;2950
129;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Caribisch Nederland;2018;2830
130;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Caribisch Nederland;2020;2680
131;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Caribisch Nederland;2022;3370
132;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Bonaire;2016;2450
133;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Bonaire;2018;2300
134;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Bonaire;2020;2240
135;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Bonaire;2022;2880
136;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Sint Eustatius;2016;310
137;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Sint Eustatius;2018;400
138;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Sint Eustatius;2020;290
139;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Sint Eustatius;2022;330
140;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Saba;2016;200
141;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Saba;2018;140
142;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Saba;2020;150
143;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;07 Techniek, industrie en bouwkunde;Saba;2022;170
144;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Caribisch Nederland;2016;90
145;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Caribisch Nederland;2018;50
146;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Caribisch Nederland;2020;80
147;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Caribisch Nederland;2022;80
148;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Bonaire;2016;70
149;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Bonaire;2018;40
150;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Bonaire;2020;70
151;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Bonaire;2022;60
152;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Sint Eustatius;2016;10
153;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Sint Eustatius;2018;0
154;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Sint Eustatius;2020;10
155;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Sint Eustatius;2022;20
156;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Saba;2016;10
157;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Saba;2018;0
158;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Saba;2020;0
159;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;08 Landbouw, diergeneeskunde en -verz...;Saba;2022;0
160;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Caribisch Nederland;2016;1530
161;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Caribisch Nederland;2018;1660
162;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Caribisch Nederland;2020;1610
163;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Caribisch Nederland;2022;1760
164;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Bonaire;2016;1250
165;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Bonaire;2018;1370
166;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Bonaire;2020;1380
167;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Bonaire;2022;1500
168;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Sint Eustatius;2016;160
169;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Sint Eustatius;2018;140
170;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Sint Eustatius;2020;120
171;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Sint Eustatius;2022;140
172;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Saba;2016;120
173;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Saba;2018;140
174;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Saba;2020;100
175;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;09 Gezondheidszorg en welzijn;Saba;2022;110
176;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Caribisch Nederland;2016;1440
177;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Caribisch Nederland;2018;1560
178;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Caribisch Nederland;2020;1520
179;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Caribisch Nederland;2022;2070
180;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Bonaire;2016;1280
181;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Bonaire;2018;1330
182;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Bonaire;2020;1330
183;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Bonaire;2022;1810
184;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Sint Eustatius;2016;100
185;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Sint Eustatius;2018;140
186;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Sint Eustatius;2020;120
187;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Sint Eustatius;2022;140
188;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Saba;2016;70
189;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Saba;2018;90
190;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Saba;2020;70
191;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;10 Dienstverlening;Saba;2022;120
192;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Caribisch Nederland;2016;1770
193;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Caribisch Nederland;2018;1440
194;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Caribisch Nederland;2020;1690
195;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Caribisch Nederland;2022;1440
196;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Bonaire;2016;1460
197;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Bonaire;2018;1100
198;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Bonaire;2020;1430
199;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Bonaire;2022;1080
200;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Sint Eustatius;2016;170
201;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Sint Eustatius;2018;180
202;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Sint Eustatius;2020;120
203;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Sint Eustatius;2022;120
204;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Saba;2016;140
205;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Saba;2018;160
206;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Saba;2020;140
207;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Onderwijsrichting onbekend;Saba;2022;230
208;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Caribisch Nederland;2016;10620
209;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Caribisch Nederland;2018;10480
210;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Caribisch Nederland;2020;11380
211;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Caribisch Nederland;2022;12010
212;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Bonaire;2016;8190
213;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Bonaire;2018;8200
214;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Bonaire;2020;8950
215;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Bonaire;2022;9770
216;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Sint Eustatius;2016;1690
217;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Sint Eustatius;2018;1550
218;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Sint Eustatius;2020;1750
219;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Sint Eustatius;2022;1630
220;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Saba;2016;740
221;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Saba;2018;720
222;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Saba;2020;680
223;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;Totaal;Saba;2022;620
224;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Caribisch Nederland;2016;7200
225;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Caribisch Nederland;2018;7290
226;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Caribisch Nederland;2020;7940
227;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Caribisch Nederland;2022;7970
228;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Bonaire;2016;5440
229;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Bonaire;2018;5610
230;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Bonaire;2020;6130
231;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Bonaire;2022;6450
232;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Sint Eustatius;2016;1280
233;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Sint Eustatius;2018;1150
234;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Sint Eustatius;2020;1300
235;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Sint Eustatius;2022;1110
236;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Saba;2016;490
237;Totaal mannen en vrouwen;15 jaar of ouder;100 Laag onderwijsniveau;00 Algemeen;Saba;2018;540
