ID;Sex;PersonalCharacteristics;SIC2008;Periods;EmployedLabourForce_1
78;Total male and female;Total persons;B-E Industry (no construction), energy;2016 4th quarter;917
79;Total male and female;Total persons;B-E Industry (no construction), energy;2016;917
80;Total male and female;Total persons;B-E Industry (no construction), energy;2017 1st quarter;908
81;Total male and female;Total persons;B-E Industry (no construction), energy;2017 2nd quarter;912
82;Total male and female;Total persons;B-E Industry (no construction), energy;2017 3rd quarter;907
83;Total male and female;Total persons;B-E Industry (no construction), energy;2017 4th quarter;919
84;Total male and female;Total persons;B-E Industry (no construction), energy;2017;911
85;Total male and female;Total persons;B-E Industry (no construction), energy;2018 1st quarter;910
86;Total male and female;Total persons;B-E Industry (no construction), energy;2018 2nd quarter;935
87;Total male and female;Total persons;B-E Industry (no construction), energy;2018 3rd quarter;931
88;Total male and female;Total persons;B-E Industry (no construction), energy;2018 4th quarter;931
89;Total male and female;Total persons;B-E Industry (no construction), energy;2018;927
90;Total male and female;Total persons;B-E Industry (no construction), energy;2019 1st quarter;918
91;Total male and female;Total persons;B-E Industry (no construction), energy;2019 2nd quarter;928
92;Total male and female;Total persons;B-E Industry (no construction), energy;2019 3rd quarter;934
93;Total male and female;Total persons;B-E Industry (no construction), energy;2019 4th quarter;939
94;Total male and female;Total persons;B-E Industry (no construction), energy;2019;930
95;Total male and female;Total persons;B-E Industry (no construction), energy;2020 1st quarter;950
96;Total male and female;Total persons;B-E Industry (no construction), energy;2020 2nd quarter;935
97;Total male and female;Total persons;B-E Industry (no construction), energy;2020 3rd quarter;928
98;Total male and female;Total persons;B-E Industry (no construction), energy;2020 4th quarter;899
99;Total male and female;Total persons;B-E Industry (no construction), energy;2020;928
100;Total male and female;Total persons;B-E Industry (no construction), energy;2021 1st quarter;852
101;Total male and female;Total persons;B-E Industry (no construction), energy;2021 2nd quarter;860
102;Total male and female;Total persons;B-E Industry (no construction), energy;2021 3rd quarter;891
103;Total male and female;Total persons;B-E Industry (no construction), energy;2021 4th quarter;871
104;Total male and female;Total persons;B-E Industry (no construction), energy;2021;868
105;Total male and female;Total persons;B-E Industry (no construction), energy;2022 1st quarter;882
106;Total male and female;Total persons;B-E Industry (no construction), energy;2022 2nd quarter;896
107;Total male and female;Total persons;B-E Industry (no construction), energy;2022 3rd quarter;909
108;Total male and female;Total persons;B-E Industry (no construction), energy;2022 4th quarter;906
109;Total male and female;Total persons;B-E Industry (no construction), energy;2022;898
110;Total male and female;Total persons;B-E Industry (no construction), energy;2023 1st quarter;921
111;Total male and female;Total persons;B-E Industry (no construction), energy;2023 2nd quarter;914
112;Total male and female;Total persons;B-E Industry (no construction), energy;2023 3rd quarter;913
113;Total male and female;Total persons;B-E Industry (no construction), energy;2023 4th quarter;907
114;Total male and female;Total persons;B-E Industry (no construction), energy;2023;914
115;Total male and female;Total persons;B-E Industry (no construction), energy;2024 1st quarter;907
116;Total male and female;Total persons;B-E Industry (no construction), energy;2024 2nd quarter;891
117;Total male and female;Total persons;B-E Industry (no construction), energy;2024 3rd quarter;896
118;Total male and female;Total persons;B-E Industry (no construction), energy;2024 4th quarter;890
119;Total male and female;Total persons;B-E Industry (no construction), energy;2024;896
120;Total male and female;Total persons;B-F Manufacturing and energy;2013 1st quarter;1303
121;Total male and female;Total persons;B-F Manufacturing and energy;2013 2nd quarter;1297
122;Total male and female;Total persons;B-F Manufacturing and energy;2013 3rd quarter;1296
123;Total male and female;Total persons;B-F Manufacturing and energy;2013 4th quarter;1308
124;Total male and female;Total persons;B-F Manufacturing and energy;2013;1301
125;Total male and female;Total persons;B-F Manufacturing and energy;2014 1st quarter;1274
126;Total male and female;Total persons;B-F Manufacturing and energy;2014 2nd quarter;1268
127;Total male and female;Total persons;B-F Manufacturing and energy;2014 3rd quarter;1284
128;Total male and female;Total persons;B-F Manufacturing and energy;2014 4th quarter;1290
129;Total male and female;Total persons;B-F Manufacturing and energy;2014;1279
130;Total male and female;Total persons;B-F Manufacturing and energy;2015 1st quarter;1293
131;Total male and female;Total persons;B-F Manufacturing and energy;2015 2nd quarter;1306
132;Total male and female;Total persons;B-F Manufacturing and energy;2015 3rd quarter;1326
133;Total male and female;Total persons;B-F Manufacturing and energy;2015 4th quarter;1347
134;Total male and female;Total persons;B-F Manufacturing and energy;2015;1318
135;Total male and female;Total persons;B-F Manufacturing and energy;2016 1st quarter;1312
136;Total male and female;Total persons;B-F Manufacturing and energy;2016 2nd quarter;1327
137;Total male and female;Total persons;B-F Manufacturing and energy;2016 3rd quarter;1343
138;Total male and female;Total persons;B-F Manufacturing and energy;2016 4th quarter;1326
139;Total male and female;Total persons;B-F Manufacturing and energy;2016;1327
140;Total male and female;Total persons;B-F Manufacturing and energy;2017 1st quarter;1315
141;Total male and female;Total persons;B-F Manufacturing and energy;2017 2nd quarter;1330
142;Total male and female;Total persons;B-F Manufacturing and energy;2017 3rd quarter;1336
143;Total male and female;Total persons;B-F Manufacturing and energy;2017 4th quarter;1338
144;Total male and female;Total persons;B-F Manufacturing and energy;2017;1330
145;Total male and female;Total persons;B-F Manufacturing and energy;2018 1st quarter;1332
146;Total male and female;Total persons;B-F Manufacturing and energy;2018 2nd quarter;1343
147;Total male and female;Total persons;B-F Manufacturing and energy;2018 3rd quarter;1340
148;Total male and female;Total persons;B-F Manufacturing and energy;2018 4th quarter;1341
149;Total male and female;Total persons;B-F Manufacturing and energy;2018;1339
150;Total male and female;Total persons;B-F Manufacturing and energy;2019 1st quarter;1329
151;Total male and female;Total persons;B-F Manufacturing and energy;2019 2nd quarter;1346
152;Total male and female;Total persons;B-F Manufacturing and energy;2019 3rd quarter;1355
153;Total male and female;Total persons;B-F Manufacturing and energy;2019 4th quarter;1360
154;Total male and female;Total persons;B-F Manufacturing and energy;2019;1347
155;Total male and female;Total persons;B-F Manufacturing and energy;2020 1st quarter;1373
156;Total male and female;Total persons;B-F Manufacturing and energy;2020 2nd quarter;1351
157;Total male and female;Total persons;B-F Manufacturing and energy;2020 3rd quarter;1339
158;Total male and female;Total persons;B-F Manufacturing and energy;2020 4th quarter;1312
159;Total male and female;Total persons;B-F Manufacturing and energy;2020;1344
160;Total male and female;Total persons;B-F Manufacturing and energy;2021 1st quarter;1252
161;Total male and female;Total persons;B-F Manufacturing and energy;2021 2nd quarter;1257
162;Total male and female;Total persons;B-F Manufacturing and energy;2021 3rd quarter;1288
163;Total male and female;Total persons;B-F Manufacturing and energy;2021 4th quarter;1263
164;Total male and female;Total persons;B-F Manufacturing and energy;2021;1265
165;Total male and female;Total persons;B-F Manufacturing and energy;2022 1st quarter;1275
166;Total male and female;Total persons;B-F Manufacturing and energy;2022 2nd quarter;1309
167;Total male and female;Total persons;B-F Manufacturing and energy;2022 3rd quarter;1332
168;Total male and female;Total persons;B-F Manufacturing and energy;2022 4th quarter;1326
169;Total male and female;Total persons;B-F Manufacturing and energy;2022;1310
170;Total male and female;Total persons;B-F Manufacturing and energy;2023 1st quarter;1349
171;Total male and female;Total persons;B-F Manufacturing and energy;2023 2nd quarter;1337
172;Total male and female;Total persons;B-F Manufacturing and energy;2023 3rd quarter;1346
173;Total male and female;Total persons;B-F Manufacturing and energy;2023 4th quarter;1349
174;Total male and female;Total persons;B-F Manufacturing and energy;2023;1345
175;Total male and female;Total persons;B-F Manufacturing and energy;2024 1st quarter;1359
176;Total male and female;Total persons;B-F Manufacturing and energy;2024 2nd quarter;1349
177;Total male and female;Total persons;B-F Manufacturing and energy;2024 3rd quarter;1351
178;Total male and female;Total persons;B-F Manufacturing and energy;2024 4th quarter;1339
179;Total male and female;Total persons;B-F Manufacturing and energy;2024;1350
180;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2013 1st quarter;2061
181;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2013 2nd quarter;2065
182;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2013 3rd quarter;2060
183;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2013 4th quarter;2051
184;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2013;2059
185;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2014 1st quarter;2066
186;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2014 2nd quarter;2062
187;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2014 3rd quarter;2094
188;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2014 4th quarter;2052
189;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2014;2068
190;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2015 1st quarter;2060
191;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2015 2nd quarter;2111
192;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2015 3rd quarter;2150
193;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2015 4th quarter;2140
194;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2015;2115
195;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2016 1st quarter;2123
196;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2016 2nd quarter;2167
197;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2016 3rd quarter;2149
198;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2016 4th quarter;2150
199;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2016;2147
200;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2017 1st quarter;2157
201;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2017 2nd quarter;2174
202;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2017 3rd quarter;2211
203;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2017 4th quarter;2167
204;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2017;2177
205;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2018 1st quarter;2185
206;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2018 2nd quarter;2234
207;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2018 3rd quarter;2275
208;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2018 4th quarter;2261
209;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2018;2239
210;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2019 1st quarter;2241
211;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2019 2nd quarter;2244
212;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2019 3rd quarter;2259
213;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2019 4th quarter;2196
214;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2019;2235
215;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2020 1st quarter;2175
216;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2020 2nd quarter;2057
217;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2020 3rd quarter;2105
218;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2020 4th quarter;2169
219;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2020;2127
220;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2021 1st quarter;2246
221;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2021 2nd quarter;2306
222;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2021 3rd quarter;2295
223;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2021 4th quarter;2291
224;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2021;2284
225;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2022 1st quarter;2262
226;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2022 2nd quarter;2332
227;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2022 3rd quarter;2344
228;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2022 4th quarter;2342
229;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2022;2320
230;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2023 1st quarter;2324
231;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2023 2nd quarter;2415
232;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2023 3rd quarter;2394
233;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2023 4th quarter;2369
234;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2023;2375
235;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2024 1st quarter;2342
236;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2024 2nd quarter;2363
237;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2024 3rd quarter;2395
238;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2024 4th quarter;2349
239;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2024;2362
240;Total male and female;Total persons;G-N Commercial services;2013 1st quarter;3733
241;Total male and female;Total persons;G-N Commercial services;2013 2nd quarter;3707
242;Total male and female;Total persons;G-N Commercial services;2013 3rd quarter;3720
243;Total male and female;Total persons;G-N Commercial services;2013 4th quarter;3689
244;Total male and female;Total persons;G-N Commercial services;2013;3712
245;Total male and female;Total persons;G-N Commercial services;2014 1st quarter;3713
246;Total male and female;Total persons;G-N Commercial services;2014 2nd quarter;3699
247;Total male and female;Total persons;G-N Commercial services;2014 3rd quarter;3755
248;Total male and female;Total persons;G-N Commercial services;2014 4th quarter;3714
249;Total male and female;Total persons;G-N Commercial services;2014;3720
250;Total male and female;Total persons;G-N Commercial services;2015 1st quarter;3725
251;Total male and female;Total persons;G-N Commercial services;2015 2nd quarter;3776
252;Total male and female;Total persons;G-N Commercial services;2015 3rd quarter;3808
253;Total male and female;Total persons;G-N Commercial services;2015 4th quarter;3807
254;Total male and female;Total persons;G-N Commercial services;2015;3779
255;Total male and female;Total persons;G-N Commercial services;2016 1st quarter;3812
256;Total male and female;Total persons;G-N Commercial services;2016 2nd quarter;3857
257;Total male and female;Total persons;G-N Commercial services;2016 3rd quarter;3875
258;Total male and female;Total persons;G-N Commercial services;2016 4th quarter;3876
259;Total male and female;Total persons;G-N Commercial services;2016;3855
260;Total male and female;Total persons;G-N Commercial services;2017 1st quarter;3841
261;Total male and female;Total persons;G-N Commercial services;2017 2nd quarter;3863
262;Total male and female;Total persons;G-N Commercial services;2017 3rd quarter;3886
263;Total male and female;Total persons;G-N Commercial services;2017 4th quarter;3867
264;Total male and female;Total persons;G-N Commercial services;2017;3865
265;Total male and female;Total persons;G-N Commercial services;2018 1st quarter;3917
266;Total male and female;Total persons;G-N Commercial services;2018 2nd quarter;4003
267;Total male and female;Total persons;G-N Commercial services;2018 3rd quarter;4074
268;Total male and female;Total persons;G-N Commercial services;2018 4th quarter;4087
269;Total male and female;Total persons;G-N Commercial services;2018;4020
270;Total male and female;Total persons;G-N Commercial services;2019 1st quarter;4049
271;Total male and female;Total persons;G-N Commercial services;2019 2nd quarter;4066
272;Total male and female;Total persons;G-N Commercial services;2019 3rd quarter;4098
273;Total male and female;Total persons;G-N Commercial services;2019 4th quarter;4028
274;Total male and female;Total persons;G-N Commercial services;2019;4060
275;Total male and female;Total persons;G-N Commercial services;2020 1st quarter;3999
276;Total male and female;Total persons;G-N Commercial services;2020 2nd quarter;3886
277;Total male and female;Total persons;G-N Commercial services;2020 3rd quarter;3924
278;Total male and female;Total persons;G-N Commercial services;2020 4th quarter;3963
279;Total male and female;Total persons;G-N Commercial services;2020;3943
280;Total male and female;Total persons;G-N Commercial services;2021 1st quarter;4199
281;Total male and female;Total persons;G-N Commercial services;2021 2nd quarter;4328
282;Total male and female;Total persons;G-N Commercial services;2021 3rd quarter;4298
283;Total male and female;Total persons;G-N Commercial services;2021 4th quarter;4302
284;Total male and female;Total persons;G-N Commercial services;2021;4282
285;Total male and female;Total persons;G-N Commercial services;2022 1st quarter;4332
286;Total male and female;Total persons;G-N Commercial services;2022 2nd quarter;4399
287;Total male and female;Total persons;G-N Commercial services;2022 3rd quarter;4435
288;Total male and female;Total persons;G-N Commercial services;2022 4th quarter;4472
289;Total male and female;Total persons;G-N Commercial services;2022;4409
290;Total male and female;Total persons;G-N Commercial services;2023 1st quarter;4443
291;Total male and female;Total persons;G-N Commercial services;2023 2nd quarter;4531
292;Total male and female;Total persons;G-N Commercial services;2023 3rd quarter;4495
293;Total male and female;Total persons;G-N Commercial services;2023 4th quarter;4497
294;Total male and female;Total persons;G-N Commercial services;2023;4491
295;Total male and female;Total persons;G-N Commercial services;2024 1st quarter;4466
296;Total male and female;Total persons;G-N Commercial services;2024 2nd quarter;4470
297;Total male and female;Total persons;G-N Commercial services;2024 3rd quarter;4502
298;Total male and female;Total persons;G-N Commercial services;2024 4th quarter;4497
299;Total male and female;Total persons;G-N Commercial services;2024;4484
300;Total male and female;Total persons;M-N Business services;2013 1st quarter;1048
301;Total male and female;Total persons;M-N Business services;2013 2nd quarter;1037
302;Total male and female;Total persons;M-N Business services;2013 3rd quarter;1043
303;Total male and female;Total persons;M-N Business services;2013 4th quarter;1025
304;Total male and female;Total persons;M-N Business services;2013;1038
305;Total male and female;Total persons;M-N Business services;2014 1st quarter;1035
306;Total male and female;Total persons;M-N Business services;2014 2nd quarter;1026
307;Total male and female;Total persons;M-N Business services;2014 3rd quarter;1053
308;Total male and female;Total persons;M-N Business services;2014 4th quarter;1056
309;Total male and female;Total persons;M-N Business services;2014;1042
310;Total male and female;Total persons;M-N Business services;2015 1st quarter;1056
311;Total male and female;Total persons;M-N Business services;2015 2nd quarter;1065
312;Total male and female;Total persons;M-N Business services;2015 3rd quarter;1064
313;Total male and female;Total persons;M-N Business services;2015 4th quarter;1056
314;Total male and female;Total persons;M-N Business services;2015;1061
315;Total male and female;Total persons;M-N Business services;2016 1st quarter;1074
316;Total male and female;Total persons;M-N Business services;2016 2nd quarter;1071
317;Total male and female;Total persons;M-N Business services;2016 3rd quarter;1096
318;Total male and female;Total persons;M-N Business services;2016 4th quarter;1103
319;Total male and female;Total persons;M-N Business services;2016;1086
320;Total male and female;Total persons;M-N Business services;2017 1st quarter;1075
321;Total male and female;Total persons;M-N Business services;2017 2nd quarter;1093
322;Total male and female;Total persons;M-N Business services;2017 3rd quarter;1091
323;Total male and female;Total persons;M-N Business services;2017 4th quarter;1089
324;Total male and female;Total persons;M-N Business services;2017;1087
325;Total male and female;Total persons;M-N Business services;2018 1st quarter;1102
326;Total male and female;Total persons;M-N Business services;2018 2nd quarter;1146
327;Total male and female;Total persons;M-N Business services;2018 3rd quarter;1183
328;Total male and female;Total persons;M-N Business services;2018 4th quarter;1185
329;Total male and female;Total persons;M-N Business services;2018;1154
330;Total male and female;Total persons;M-N Business services;2019 1st quarter;1172
331;Total male and female;Total persons;M-N Business services;2019 2nd quarter;1195
332;Total male and female;Total persons;M-N Business services;2019 3rd quarter;1201
333;Total male and female;Total persons;M-N Business services;2019 4th quarter;1201
334;Total male and female;Total persons;M-N Business services;2019;1192
335;Total male and female;Total persons;M-N Business services;2020 1st quarter;1180
336;Total male and female;Total persons;M-N Business services;2020 2nd quarter;1175
337;Total male and female;Total persons;M-N Business services;2020 3rd quarter;1176
338;Total male and female;Total persons;M-N Business services;2020 4th quarter;1135
339;Total male and female;Total persons;M-N Business services;2020;1167
340;Total male and female;Total persons;M-N Business services;2021 1st quarter;1211
341;Total male and female;Total persons;M-N Business services;2021 2nd quarter;1243
342;Total male and female;Total persons;M-N Business services;2021 3rd quarter;1238
343;Total male and female;Total persons;M-N Business services;2021 4th quarter;1234
344;Total male and female;Total persons;M-N Business services;2021;1232
345;Total male and female;Total persons;M-N Business services;2022 1st quarter;1283
346;Total male and female;Total persons;M-N Business services;2022 2nd quarter;1281
347;Total male and female;Total persons;M-N Business services;2022 3rd quarter;1282
348;Total male and female;Total persons;M-N Business services;2022 4th quarter;1309
349;Total male and female;Total persons;M-N Business services;2022;1289
350;Total male and female;Total persons;M-N Business services;2023 1st quarter;1303
351;Total male and female;Total persons;M-N Business services;2023 2nd quarter;1281
352;Total male and female;Total persons;M-N Business services;2023 3rd quarter;1287
353;Total male and female;Total persons;M-N Business services;2023 4th quarter;1315
354;Total male and female;Total persons;M-N Business services;2023;1297
355;Total male and female;Total persons;M-N Business services;2024 1st quarter;1316
356;Total male and female;Total persons;M-N Business services;2024 2nd quarter;1321
357;Total male and female;Total persons;M-N Business services;2024 3rd quarter;1312
358;Total male and female;Total persons;M-N Business services;2024 4th quarter;1348
359;Total male and female;Total persons;M-N Business services;2024;1324
360;Total male and female;Total persons;O-Q Government and care;2013 1st quarter;2453
361;Total male and female;Total persons;O-Q Government and care;2013 2nd quarter;2444
362;Total male and female;Total persons;O-Q Government and care;2013 3rd quarter;2390
363;Total male and female;Total persons;O-Q Government and care;2013 4th quarter;2382
364;Total male and female;Total persons;O-Q Government and care;2013;2417
365;Total male and female;Total persons;O-Q Government and care;2014 1st quarter;2347
366;Total male and female;Total persons;O-Q Government and care;2014 2nd quarter;2348
367;Total male and female;Total persons;O-Q Government and care;2014 3rd quarter;2320
368;Total male and female;Total persons;O-Q Government and care;2014 4th quarter;2344
369;Total male and female;Total persons;O-Q Government and care;2014;2340
370;Total male and female;Total persons;O-Q Government and care;2015 1st quarter;2366
371;Total male and female;Total persons;O-Q Government and care;2015 2nd quarter;2381
372;Total male and female;Total persons;O-Q Government and care;2015 3rd quarter;2370
373;Total male and female;Total persons;O-Q Government and care;2015 4th quarter;2378
374;Total male and female;Total persons;O-Q Government and care;2015;2374
375;Total male and female;Total persons;O-Q Government and care;2016 1st quarter;2362
376;Total male and female;Total persons;O-Q Government and care;2016 2nd quarter;2362
377;Total male and female;Total persons;O-Q Government and care;2016 3rd quarter;2349
378;Total male and female;Total persons;O-Q Government and care;2016 4th quarter;2356
379;Total male and female;Total persons;O-Q Government and care;2016;2357
380;Total male and female;Total persons;O-Q Government and care;2017 1st quarter;2344
381;Total male and female;Total persons;O-Q Government and care;2017 2nd quarter;2327
382;Total male and female;Total persons;O-Q Government and care;2017 3rd quarter;2362
383;Total male and female;Total persons;O-Q Government and care;2017 4th quarter;2384
384;Total male and female;Total persons;O-Q Government and care;2017;2354
385;Total male and female;Total persons;O-Q Government and care;2018 1st quarter;2371
386;Total male and female;Total persons;O-Q Government and care;2018 2nd quarter;2459
387;Total male and female;Total persons;O-Q Government and care;2018 3rd quarter;2446
388;Total male and female;Total persons;O-Q Government and care;2018 4th quarter;2489
389;Total male and female;Total persons;O-Q Government and care;2018;2441
390;Total male and female;Total persons;O-Q Government and care;2019 1st quarter;2510
391;Total male and female;Total persons;O-Q Government and care;2019 2nd quarter;2527
392;Total male and female;Total persons;O-Q Government and care;2019 3rd quarter;2516
