ID;ExportFlows;Countries;Periods;Earnings_1;LabourVolumeAttributedToExport_2;ContributionToGrossDomesticProduct_3;ContributionToLabourVolume_4
50;Total exports;Ireland;2017;3732;37;0.5;0.5
51;Total exports;Ireland;2018;4170;41;0.5;0.5
52;Total exports;Ireland;2019;4631;43;0.6;0.6
53;Total exports;Ireland;2020;4892;48;0.6;0.6
54;Total exports;India;2015;1074;10;0.2;0.1
55;Total exports;India;2016;1138;11;0.2;0.1
56;Total exports;India;2017;1325;12;0.2;0.2
57;Total exports;India;2018;1337;12;0.2;0.2
58;Total exports;India;2019;1574;14;0.2;0.2
59;Total exports;India;2020;1358;12;0.2;0.2
60;Total exports;Indonesia;2015;876;9;0.1;0.1
61;Total exports;Indonesia;2016;667;6;0.1;0.1
62;Total exports;Indonesia;2017;609;6;0.1;0.1
63;Total exports;Indonesia;2018;593;6;0.1;0.1
64;Total exports;Indonesia;2019;634;6;0.1;0.1
65;Total exports;Indonesia;2020;565;5;0.1;0.1
66;Total exports;Italy;2015;8004;68;1.2;1.0
67;Total exports;Italy;2016;8150;72;1.2;1.0
68;Total exports;Italy;2017;8565;75;1.2;1.0
69;Total exports;Italy;2018;9085;79;1.2;1.0
70;Total exports;Italy;2019;9194;80;1.1;1.0
71;Total exports;Italy;2020;8222;76;1.0;1.0
72;Total exports;Nigeria;2015;1066;9;0.2;0.1
73;Total exports;Nigeria;2016;754;6;0.1;0.1
74;Total exports;Nigeria;2017;688;6;0.1;0.1
75;Total exports;Nigeria;2018;876;7;0.1;0.1
76;Total exports;Nigeria;2019;1131;9;0.1;0.1
77;Total exports;Nigeria;2020;1021;8;0.1;0.1
78;Total exports;Norway;2015;2174;21;0.3;0.3
79;Total exports;Norway;2016;2046;19;0.3;0.3
80;Total exports;Norway;2017;2218;21;0.3;0.3
81;Total exports;Norway;2018;2121;20;0.3;0.3
82;Total exports;Norway;2019;2285;21;0.3;0.3
83;Total exports;Norway;2020;2465;24;0.3;0.3
84;Total exports;Poland;2015;4146;41;0.6;0.6
85;Total exports;Poland;2016;4416;43;0.6;0.6
86;Total exports;Poland;2017;4796;46;0.6;0.6
87;Total exports;Poland;2018;5232;50;0.7;0.7
88;Total exports;Poland;2019;5517;52;0.7;0.7
89;Total exports;Poland;2020;5778;56;0.7;0.7
90;Total exports;Russia;2015;2245;22;0.3;0.3
91;Total exports;Russia;2016;2095;21;0.3;0.3
92;Total exports;Russia;2017;2849;28;0.4;0.4
93;Total exports;Russia;2018;2723;26;0.4;0.3
94;Total exports;Russia;2019;2985;28;0.4;0.4
95;Total exports;Russia;2020;2740;26;0.3;0.3
96;Total exports;Singapore;2015;2029;18;0.3;0.3
97;Total exports;Singapore;2016;2315;21;0.3;0.3
98;Total exports;Singapore;2017;2364;20;0.3;0.3
99;Total exports;Singapore;2018;2289;20;0.3;0.3
100;Total exports;Singapore;2019;2053;18;0.3;0.2
101;Total exports;Singapore;2020;1642;15;0.2;0.2
102;Total exports;Spain;2015;5392;51;0.8;0.7
103;Total exports;Spain;2016;5964;57;0.8;0.8
104;Total exports;Spain;2017;6471;60;0.9;0.8
105;Total exports;Spain;2018;6863;64;0.9;0.8
106;Total exports;Spain;2019;7290;66;0.9;0.8
107;Total exports;Spain;2020;6586;61;0.8;0.8
108;Total exports;Thailand;2015;800;7;0.1;0.1
109;Total exports;Thailand;2016;668;6;0.1;0.1
110;Total exports;Thailand;2017;597;5;0.1;0.1
111;Total exports;Thailand;2018;601;5;0.1;0.1
112;Total exports;Thailand;2019;610;5;0.1;0.1
113;Total exports;Thailand;2020;621;6;0.1;0.1
114;Total exports;Turkey;2015;2221;20;0.3;0.3
115;Total exports;Turkey;2016;2216;19;0.3;0.3
116;Total exports;Turkey;2017;2422;20;0.3;0.3
117;Total exports;Turkey;2018;2315;19;0.3;0.2
118;Total exports;Turkey;2019;2379;19;0.3;0.2
119;Total exports;Turkey;2020;2297;19;0.3;0.2
120;Total exports;United Kingdom;2015;25155;238;3.6;3.4
121;Total exports;United Kingdom;2016;25535;249;3.6;3.5
122;Total exports;United Kingdom;2017;26675;257;3.6;3.5
123;Total exports;United Kingdom;2018;26949;258;3.5;3.4
124;Total exports;United Kingdom;2019;27817;260;3.4;3.4
125;Total exports;United Kingdom;2020;24769;239;3.1;3.1
126;Total exports;United States;2015;15746;146;2.3;2.1
127;Total exports;United States;2016;14830;140;2.1;2.0
128;Total exports;United States;2017;15249;141;2.1;1.9
129;Total exports;United States;2018;16113;149;2.1;2.0
130;Total exports;United States;2019;16916;151;2.1;2.0
131;Total exports;United States;2020;15604;146;2.0;1.9
132;Total exports;Viet Nam;2015;508;5;0.1;0.1
133;Total exports;Viet Nam;2016;453;5;0.1;0.1
134;Total exports;Viet Nam;2017;445;4;0.1;0.1
135;Total exports;Viet Nam;2018;503;5;0.1;0.1
136;Total exports;Viet Nam;2019;465;4;0.1;0.1
137;Total exports;Viet Nam;2020;442;4;0.1;0.1
138;Total exports;South Africa;2015;961;9;0.1;0.1
139;Total exports;South Africa;2016;899;8;0.1;0.1
140;Total exports;South Africa;2017;890;8;0.1;0.1
141;Total exports;South Africa;2018;877;8;0.1;0.1
142;Total exports;South Africa;2019;943;8;0.1;0.1
143;Total exports;South Africa;2020;885;8;0.1;0.1
144;Total exports;Sweden;2015;4370;43;0.6;0.6
145;Total exports;Sweden;2016;4406;43;0.6;0.6
146;Total exports;Sweden;2017;4840;47;0.7;0.6
147;Total exports;Sweden;2018;5141;49;0.7;0.6
148;Total exports;Sweden;2019;5256;49;0.6;0.6
149;Total exports;Sweden;2020;5123;49;0.6;0.6
150;Total exports;Switzerland;2015;7846;76;1.1;1.1
151;Total exports;Switzerland;2016;6965;68;1.0;1.0
152;Total exports;Switzerland;2017;6163;58;0.8;0.8
153;Total exports;Switzerland;2018;5525;51;0.7;0.7
154;Total exports;Switzerland;2019;5680;51;0.7;0.7
155;Total exports;Switzerland;2020;6265;58;0.8;0.7
156;Exports of Dutch products;Total;2015;111411;965;16.1;13.8
157;Exports of Dutch products;Total;2016;111664;990;15.8;13.8
158;Exports of Dutch products;Total;2017;118549;1018;16.1;13.9
159;Exports of Dutch products;Total;2018;122690;1055;15.9;14.0
160;Exports of Dutch products;Total;2019;124715;1068;15.3;13.8
161;Exports of Dutch products;Total;2020;119847;1047;15.0;13.5
162;Exports of Dutch products;Belgium;2015;10728;90;1.6;1.3
163;Exports of Dutch products;Belgium;2016;11023;93;1.6;1.3
164;Exports of Dutch products;Belgium;2017;11726;96;1.6;1.3
165;Exports of Dutch products;Belgium;2018;11969;99;1.5;1.3
166;Exports of Dutch products;Belgium;2019;12132;100;1.5;1.3
167;Exports of Dutch products;Belgium;2020;11746;100;1.5;1.3
168;Exports of Dutch products;Brazil;2015;1153;12;0.2;0.2
169;Exports of Dutch products;Brazil;2016;1250;13;0.2;0.2
170;Exports of Dutch products;Brazil;2017;528;4;0.1;0.1
171;Exports of Dutch products;Brazil;2018;544;5;0.1;0.1
172;Exports of Dutch products;Brazil;2019;555;5;0.1;0.1
173;Exports of Dutch products;Brazil;2020;509;4;0.1;0.1
174;Exports of Dutch products;Canada;2015;608;5;0.1;0.1
175;Exports of Dutch products;Canada;2016;667;6;0.1;0.1
176;Exports of Dutch products;Canada;2017;712;6;0.1;0.1
177;Exports of Dutch products;Canada;2018;813;7;0.1;0.1
178;Exports of Dutch products;Canada;2019;972;8;0.1;0.1
179;Exports of Dutch products;Canada;2020;828;7;0.1;0.1
180;Exports of Dutch products;China;2015;2957;26;0.4;0.4
181;Exports of Dutch products;China;2016;3700;34;0.5;0.5
182;Exports of Dutch products;China;2017;3908;34;0.5;0.5
183;Exports of Dutch products;China;2018;4126;37;0.5;0.5
184;Exports of Dutch products;China;2019;4576;40;0.6;0.5
185;Exports of Dutch products;China;2020;5365;47;0.7;0.6
186;Exports of Dutch products;Denmark;2015;1508;15;0.2;0.2
187;Exports of Dutch products;Denmark;2016;1486;15;0.2;0.2
188;Exports of Dutch products;Denmark;2017;1496;14;0.2;0.2
189;Exports of Dutch products;Denmark;2018;1604;16;0.2;0.2
190;Exports of Dutch products;Denmark;2019;1483;14;0.2;0.2
191;Exports of Dutch products;Denmark;2020;1637;16;0.2;0.2
192;Exports of Dutch products;Germany;2015;22963;190;3.3;2.7
193;Exports of Dutch products;Germany;2016;21780;193;3.1;2.7
194;Exports of Dutch products;Germany;2017;22941;197;3.1;2.7
195;Exports of Dutch products;Germany;2018;23738;203;3.1;2.7
196;Exports of Dutch products;Germany;2019;23547;203;2.9;2.6
197;Exports of Dutch products;Germany;2020;23163;209;2.9;2.7
198;Exports of Dutch products;France;2015;7756;67;1.1;1.0
199;Exports of Dutch products;France;2016;7909;70;1.1;1.0
200;Exports of Dutch products;France;2017;8534;73;1.2;1.0
201;Exports of Dutch products;France;2018;8681;76;1.1;1.0
202;Exports of Dutch products;France;2019;8527;74;1.0;1.0
203;Exports of Dutch products;France;2020;8116;73;1.0;0.9
204;Exports of Dutch products;Ireland;2015;808;8;0.1;0.1
205;Exports of Dutch products;Ireland;2016;816;8;0.1;0.1
206;Exports of Dutch products;Ireland;2017;872;8;0.1;0.1
207;Exports of Dutch products;Ireland;2018;794;8;0.1;0.1
208;Exports of Dutch products;Ireland;2019;900;9;0.1;0.1
209;Exports of Dutch products;Ireland;2020;966;9;0.1;0.1
210;Exports of Dutch products;India;2015;490;4;0.1;0.1
211;Exports of Dutch products;India;2016;468;4;0.1;0.1
212;Exports of Dutch products;India;2017;626;5;0.1;0.1
213;Exports of Dutch products;India;2018;551;4;0.1;0.1
214;Exports of Dutch products;India;2019;614;5;0.1;0.1
215;Exports of Dutch products;India;2020;510;4;0.1;0.1
216;Exports of Dutch products;Indonesia;2015;367;4;0.1;0.1
217;Exports of Dutch products;Indonesia;2016;267;2;0.0;0.0
218;Exports of Dutch products;Indonesia;2017;242;2;0.0;0.0
219;Exports of Dutch products;Indonesia;2018;263;2;0.0;0.0
220;Exports of Dutch products;Indonesia;2019;293;3;0.0;0.0
221;Exports of Dutch products;Indonesia;2020;253;2;0.0;0.0
222;Exports of Dutch products;Italy;2015;4407;33;0.6;0.5
223;Exports of Dutch products;Italy;2016;4361;35;0.6;0.5
224;Exports of Dutch products;Italy;2017;4544;36;0.6;0.5
225;Exports of Dutch products;Italy;2018;4750;38;0.6;0.5
226;Exports of Dutch products;Italy;2019;4497;37;0.6;0.5
227;Exports of Dutch products;Italy;2020;4124;36;0.5;0.5
228;Exports of Dutch products;Nigeria;2015;591;5;0.1;0.1
229;Exports of Dutch products;Nigeria;2016;410;3;0.1;0.0
230;Exports of Dutch products;Nigeria;2017;384;3;0.1;0.0
231;Exports of Dutch products;Nigeria;2018;520;4;0.1;0.1
232;Exports of Dutch products;Nigeria;2019;746;5;0.1;0.1
233;Exports of Dutch products;Nigeria;2020;671;5;0.1;0.1
234;Exports of Dutch products;Norway;2015;1221;12;0.2;0.2
235;Exports of Dutch products;Norway;2016;1080;10;0.2;0.1
236;Exports of Dutch products;Norway;2017;1224;12;0.2;0.2
237;Exports of Dutch products;Norway;2018;1155;11;0.1;0.1
238;Exports of Dutch products;Norway;2019;1324;12;0.2;0.2
239;Exports of Dutch products;Norway;2020;1511;15;0.2;0.2
240;Exports of Dutch products;Poland;2015;2031;19;0.3;0.3
241;Exports of Dutch products;Poland;2016;2162;20;0.3;0.3
242;Exports of Dutch products;Poland;2017;2448;22;0.3;0.3
243;Exports of Dutch products;Poland;2018;2675;25;0.3;0.3
244;Exports of Dutch products;Poland;2019;2713;25;0.3;0.3
245;Exports of Dutch products;Poland;2020;2738;25;0.3;0.3
246;Exports of Dutch products;Russia;2015;1208;12;0.2;0.2
247;Exports of Dutch products;Russia;2016;1170;11;0.2;0.2
248;Exports of Dutch products;Russia;2017;1366;13;0.2;0.2
249;Exports of Dutch products;Russia;2018;1372;13;0.2;0.2
250;Exports of Dutch products;Russia;2019;1656;15;0.2;0.2
251;Exports of Dutch products;Russia;2020;1565;14;0.2;0.2
252;Exports of Dutch products;Singapore;2015;826;7;0.1;0.1
253;Exports of Dutch products;Singapore;2016;1125;9;0.2;0.1
254;Exports of Dutch products;Singapore;2017;1142;9;0.2;0.1
255;Exports of Dutch products;Singapore;2018;1101;8;0.1;0.1
256;Exports of Dutch products;Singapore;2019;753;6;0.1;0.1
257;Exports of Dutch products;Singapore;2020;617;5;0.1;0.1
258;Exports of Dutch products;Spain;2015;2506;23;0.4;0.3
259;Exports of Dutch products;Spain;2016;2677;25;0.4;0.3
260;Exports of Dutch products;Spain;2017;2858;26;0.4;0.4
261;Exports of Dutch products;Spain;2018;3102;28;0.4;0.4
262;Exports of Dutch products;Spain;2019;3195;28;0.4;0.4
263;Exports of Dutch products;Spain;2020;3048;27;0.4;0.3
264;Exports of Dutch products;Thailand;2015;331;3;0.0;0.0
265;Exports of Dutch products;Thailand;2016;347;3;0.0;0.0
266;Exports of Dutch products;Thailand;2017;308;3;0.0;0.0
267;Exports of Dutch products;Thailand;2018;313;3;0.0;0.0
268;Exports of Dutch products;Thailand;2019;303;3;0.0;0.0
269;Exports of Dutch products;Thailand;2020;324;3;0.0;0.0
270;Exports of Dutch products;Turkey;2015;1370;12;0.2;0.2
271;Exports of Dutch products;Turkey;2016;1463;12;0.2;0.2
272;Exports of Dutch products;Turkey;2017;1691;13;0.2;0.2
273;Exports of Dutch products;Turkey;2018;1597;12;0.2;0.2
274;Exports of Dutch products;Turkey;2019;1575;12;0.2;0.1
275;Exports of Dutch products;Turkey;2020;1572;12;0.2;0.2
276;Exports of Dutch products;United Kingdom;2015;8819;80;1.3;1.1
277;Exports of Dutch products;United Kingdom;2016;9501;90;1.3;1.3
278;Exports of Dutch products;United Kingdom;2017;9046;84;1.2;1.1
279;Exports of Dutch products;United Kingdom;2018;8717;81;1.1;1.1
280;Exports of Dutch products;United Kingdom;2019;8880;81;1.1;1.0
281;Exports of Dutch products;United Kingdom;2020;8512;79;1.1;1.0
282;Exports of Dutch products;United States;2015;5403;50;0.8;0.7
283;Exports of Dutch products;United States;2016;5230;48;0.7;0.7
284;Exports of Dutch products;United States;2017;5972;54;0.8;0.7
285;Exports of Dutch products;United States;2018;6788;61;0.9;0.8
286;Exports of Dutch products;United States;2019;7291;64;0.9;0.8
287;Exports of Dutch products;United States;2020;6681;58;0.8;0.8
288;Exports of Dutch products;Viet Nam;2015;298;3;0.0;0.0
289;Exports of Dutch products;Viet Nam;2016;291;3;0.0;0.0
290;Exports of Dutch products;Viet Nam;2017;278;3;0.0;0.0
291;Exports of Dutch products;Viet Nam;2018;322;3;0.0;0.0
292;Exports of Dutch products;Viet Nam;2019;289;3;0.0;0.0
293;Exports of Dutch products;Viet Nam;2020;274;2;0.0;0.0
294;Exports of Dutch products;South Africa;2015;531;5;0.1;0.1
295;Exports of Dutch products;South Africa;2016;472;4;0.1;0.1
296;Exports of Dutch products;South Africa;2017;428;4;0.1;0.0
297;Exports of Dutch products;South Africa;2018;412;4;0.1;0.0
298;Exports of Dutch products;South Africa;2019;453;4;0.1;0.0
299;Exports of Dutch products;South Africa;2020;409;3;0.1;0.0
300;Exports of Dutch products;Sweden;2015;1593;16;0.2;0.2
301;Exports of Dutch products;Sweden;2016;1827;18;0.3;0.2
302;Exports of Dutch products;Sweden;2017;1920;18;0.3;0.2
303;Exports of Dutch products;Sweden;2018;2041;19;0.3;0.3
304;Exports of Dutch products;Sweden;2019;2008;19;0.2;0.2
305;Exports of Dutch products;Sweden;2020;1984;18;0.2;0.2
306;Exports of Dutch products;Switzerland;2015;1416;13;0.2;0.2
307;Exports of Dutch products;Switzerland;2016;1409;13;0.2;0.2
308;Exports of Dutch products;Switzerland;2017;1462;13;0.2;0.2
309;Exports of Dutch products;Switzerland;2018;1433;13;0.2;0.2
310;Exports of Dutch products;Switzerland;2019;1553;14;0.2;0.2
311;Exports of Dutch products;Switzerland;2020;1682;16;0.2;0.2
312;Re-exports;Total;2015;28280;262;4.1;3.7
313;Re-exports;Total;2016;29720;275;4.2;3.8
314;Re-exports;Total;2017;32469;296;4.4;4.1
315;Re-exports;Total;2018;33124;299;4.3;3.9
316;Re-exports;Total;2019;34841;301;4.3;3.9
317;Re-exports;Total;2020;34427;295;4.3;3.8
318;Re-exports;Belgium;2015;3058;28;0.4;0.4
319;Re-exports;Belgium;2016;3020;28;0.4;0.4
320;Re-exports;Belgium;2017;3285;30;0.4;0.4
321;Re-exports;Belgium;2018;3331;30;0.4;0.4
322;Re-exports;Belgium;2019;3525;30;0.4;0.4
323;Re-exports;Belgium;2020;3696;32;0.5;0.4
324;Re-exports;Brazil;2015;74;1;0.0;0.0
325;Re-exports;Brazil;2016;90;1;0.0;0.0
326;Re-exports;Brazil;2017;104;1;0.0;0.0
327;Re-exports;Brazil;2018;104;1;0.0;0.0
328;Re-exports;Brazil;2019;114;1;0.0;0.0
329;Re-exports;Brazil;2020;108;1;0.0;0.0
330;Re-exports;Canada;2015;76;1;0.0;0.0
331;Re-exports;Canada;2016;76;1;0.0;0.0
332;Re-exports;Canada;2017;100;1;0.0;0.0
333;Re-exports;Canada;2018;90;1;0.0;0.0
334;Re-exports;Canada;2019;101;1;0.0;0.0
335;Re-exports;Canada;2020;100;1;0.0;0.0
336;Re-exports;China;2015;260;2;0.0;0.0
337;Re-exports;China;2016;275;3;0.0;0.0
338;Re-exports;China;2017;343;3;0.0;0.0
339;Re-exports;China;2018;365;3;0.0;0.0
340;Re-exports;China;2019;413;4;0.1;0.0
341;Re-exports;China;2020;411;4;0.1;0.0
342;Re-exports;Denmark;2015;450;4;0.1;0.1
343;Re-exports;Denmark;2016;467;4;0.1;0.1
344;Re-exports;Denmark;2017;476;4;0.1;0.1
345;Re-exports;Denmark;2018;492;4;0.1;0.1
346;Re-exports;Denmark;2019;495;4;0.1;0.1
347;Re-exports;Denmark;2020;533;5;0.1;0.1
348;Re-exports;Germany;2015;7358;68;1.1;1.0
349;Re-exports;Germany;2016;8002;74;1.1;1.0
350;Re-exports;Germany;2017;8813;80;1.2;1.1
351;Re-exports;Germany;2018;8650;78;1.1;1.0
352;Re-exports;Germany;2019;8926;77;1.1;1.0
353;Re-exports;Germany;2020;8908;76;1.1;1.0
354;Re-exports;France;2015;2815;26;0.4;0.4
355;Re-exports;France;2016;2986;28;0.4;0.4
356;Re-exports;France;2017;3237;30;0.4;0.4
357;Re-exports;France;2018;3209;29;0.4;0.4
358;Re-exports;France;2019;3434;30;0.4;0.4
359;Re-exports;France;2020;3326;29;0.4;0.4
360;Re-exports;Ireland;2015;301;3;0.0;0.0
361;Re-exports;Ireland;2016;321;3;0.0;0.0
362;Re-exports;Ireland;2017;327;3;0.0;0.0
363;Re-exports;Ireland;2018;416;4;0.1;0.1
364;Re-exports;Ireland;2019;417;4;0.1;0.0
365;Re-exports;Ireland;2020;377;3;0.0;0.0
366;Re-exports;India;2015;81;1;0.0;0.0
367;Re-exports;India;2016;89;1;0.0;0.0
368;Re-exports;India;2017;97;1;0.0;0.0
369;Re-exports;India;2018;124;1;0.0;0.0
370;Re-exports;India;2019;114;1;0.0;0.0
371;Re-exports;India;2020;102;1;0.0;0.0
372;Re-exports;Indonesia;2015;15;0;0.0;0.0
373;Re-exports;Indonesia;2016;22;0;0.0;0.0
374;Re-exports;Indonesia;2017;22;0;0.0;0.0
375;Re-exports;Indonesia;2018;27;0;0.0;0.0
376;Re-exports;Indonesia;2019;33;0;0.0;0.0
377;Re-exports;Indonesia;2020;32;0;0.0;0.0
378;Re-exports;Italy;2015;1416;13;0.2;0.2
379;Re-exports;Italy;2016;1478;14;0.2;0.2
380;Re-exports;Italy;2017;1513;14;0.2;0.2
381;Re-exports;Italy;2018;1568;14;0.2;0.2
382;Re-exports;Italy;2019;1671;14;0.2;0.2
383;Re-exports;Italy;2020;1624;14;0.2;0.2
384;Re-exports;Nigeria;2015;49;0;0.0;0.0
385;Re-exports;Nigeria;2016;33;0;0.0;0.0
386;Re-exports;Nigeria;2017;73;1;0.0;0.0
387;Re-exports;Nigeria;2018;112;1;0.0;0.0
388;Re-exports;Nigeria;2019;120;1;0.0;0.0
389;Re-exports;Nigeria;2020;112;1;0.0;0.0
390;Re-exports;Norway;2015;217;2;0.0;0.0
391;Re-exports;Norway;2016;275;3;0.0;0.0
392;Re-exports;Norway;2017;278;3;0.0;0.0
393;Re-exports;Norway;2018;289;3;0.0;0.0
394;Re-exports;Norway;2019;297;3;0.0;0.0
395;Re-exports;Norway;2020;306;3;0.0;0.0
396;Re-exports;Poland;2015;813;8;0.1;0.1
397;Re-exports;Poland;2016;835;8;0.1;0.1
398;Re-exports;Poland;2017;876;8;0.1;0.1
399;Re-exports;Poland;2018;905;8;0.1;0.1
400;Re-exports;Poland;2019;980;9;0.1;0.1
401;Re-exports;Poland;2020;1133;10;0.1;0.1
402;Re-exports;Russia;2015;226;2;0.0;0.0
403;Re-exports;Russia;2016;282;3;0.0;0.0
404;Re-exports;Russia;2017;347;3;0.0;0.0
405;Re-exports;Russia;2018;369;3;0.0;0.0
406;Re-exports;Russia;2019;404;4;0.0;0.0
407;Re-exports;Russia;2020;386;3;0.0;0.0
408;Re-exports;Singapore;2015;180;2;0.0;0.0
409;Re-exports;Singapore;2016;227;2;0.0;0.0
410;Re-exports;Singapore;2017;278;2;0.0;0.0
411;Re-exports;Singapore;2018;224;2;0.0;0.0
412;Re-exports;Singapore;2019;236;2;0.0;0.0
413;Re-exports;Singapore;2020;238;2;0.0;0.0
414;Re-exports;Spain;2015;1089;10;0.2;0.1
415;Re-exports;Spain;2016;1162;11;0.2;0.2
416;Re-exports;Spain;2017;1258;12;0.2;0.2
417;Re-exports;Spain;2018;1248;11;0.2;0.1
418;Re-exports;Spain;2019;1372;12;0.2;0.2
419;Re-exports;Spain;2020;1360;12;0.2;0.2
420;Re-exports;Thailand;2015;33;0;0.0;0.0
421;Re-exports;Thailand;2016;43;0;0.0;0.0
422;Re-exports;Thailand;2017;56;1;0.0;0.0
423;Re-exports;Thailand;2018;56;1;0.0;0.0
424;Re-exports;Thailand;2019;55;0;0.0;0.0
425;Re-exports;Thailand;2020;41;0;0.0;0.0
426;Re-exports;Turkey;2015;296;3;0.0;0.0
427;Re-exports;Turkey;2016;314;3;0.0;0.0
428;Re-exports;Turkey;2017;320;3;0.0;0.0
429;Re-exports;Turkey;2018;322;3;0.0;0.0
430;Re-exports;Turkey;2019;351;3;0.0;0.0
431;Re-exports;Turkey;2020;325;3;0.0;0.0
432;Re-exports;United Kingdom;2015;3024;28;0.4;0.4
433;Re-exports;United Kingdom;2016;2963;27;0.4;0.4
434;Re-exports;United Kingdom;2017;3110;28;0.4;0.4
435;Re-exports;United Kingdom;2018;3138;28;0.4;0.4
436;Re-exports;United Kingdom;2019;3129;27;0.4;0.4
437;Re-exports;United Kingdom;2020;2932;25;0.4;0.3
438;Re-exports;United States;2015;719;7;0.1;0.1
439;Re-exports;United States;2016;707;7;0.1;0.1
440;Re-exports;United States;2017;807;7;0.1;0.1
441;Re-exports;United States;2018;819;7;0.1;0.1
442;Re-exports;United States;2019;997;9;0.1;0.1
443;Re-exports;United States;2020;937;8;0.1;0.1
444;Re-exports;Viet Nam;2015;18;0;0.0;0.0
445;Re-exports;Viet Nam;2016;23;0;0.0;0.0
446;Re-exports;Viet Nam;2017;27;0;0.0;0.0
447;Re-exports;Viet Nam;2018;33;0;0.0;0.0
448;Re-exports;Viet Nam;2019;38;0;0.0;0.0
449;Re-exports;Viet Nam;2020;45;0;0.0;0.0
450;Re-exports;South Africa;2015;108;1;0.0;0.0
451;Re-exports;South Africa;2016;97;1;0.0;0.0
452;Re-exports;South Africa;2017;115;1;0.0;0.0
453;Re-exports;South Africa;2018;117;1;0.0;0.0
454;Re-exports;South Africa;2019;121;1;0.0;0.0
455;Re-exports;South Africa;2020;89;1;0.0;0.0
456;Re-exports;Sweden;2015;749;7;0.1;0.1
457;Re-exports;Sweden;2016;793;7;0.1;0.1
458;Re-exports;Sweden;2017;829;8;0.1;0.1
459;Re-exports;Sweden;2018;808;7;0.1;0.1
460;Re-exports;Sweden;2019;830;7;0.1;0.1
461;Re-exports;Sweden;2020;808;7;0.1;0.1
462;Re-exports;Switzerland;2015;407;4;0.1;0.1
463;Re-exports;Switzerland;2016;443;4;0.1;0.1
464;Re-exports;Switzerland;2017;435;4;0.1;0.1
465;Re-exports;Switzerland;2018;450;4;0.1;0.1
466;Re-exports;Switzerland;2019;470;4;0.1;0.1
467;Re-exports;Switzerland;2020;609;5;0.1;0.1
468;Trade in services (including travel);Total;2015;97469;959;14.1;13.7
469;Trade in services (including travel);Total;2016;93044;939;13.1;13.1
470;Trade in services (including travel);Total;2017;99301;989;13.5;13.5
471;Trade in services (including travel);Total;2018;105353;1042;13.6;13.8
472;Trade in services (including travel);Total;2019;110943;1070;13.6;13.8
473;Trade in services (including travel);Total;2020;99965;1021;12.5;13.1
474;Trade in services (including travel);Belgium;2015;6923;72;1.0;1.0
