ID;Geslacht;Leeftijd;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;OnderTijdsdrukWerken_4;Haasten_5;RegelmatigVeelKrachtZetten_6;k_5KgTillen_7;k_5KgDuwenTrekken_8;k_5KgDragen_9;RegelmatigHardPraten_10;RegelmatigGebruikVanGehoorbeschermers_11;RegelmatigTeMakenMetTrillingen_12;GevaarlijkWerk_13;WaterigeOplossingen_14;StoffenOpUwHuid_15;AdemtStoffenIn_16;BesmettePersonen_17;InOngemakkelijkeWerkhoudingWerken_18;TijdensWerkRepeterendeBewegingMaken_19;UurPerDagAanBeeldschermVoorWerk_20;UurPerWeekAanBeeldschermVoorPrive_21;ZelfBeslissen_22;VolgordeWerkzaamhedenBepalen_23;WerktempoBepalen_24;OplossingenBedenken_25;VerlofNemen_26;EmotioneelMoeilijkeWerksituaties_27;EmotioneelVeeleisendWerk_28;EmotioneelBetrokkenBijWerk_29;VanKlanten_30;VanLeidinggevendenOfCollegaS_31;DoorKlanten_32;DoorLeidinggevendenOfCollegaS_33;DoorKlanten_34;DoorLeidinggevendenOfCollegaS_35;DoorKlanten_36;DoorLeidinggevendenOfCollegaS_37;AantalOngevallenPer100000Werknemers_38;TotaalAandeelWerknemersMetOngeval_39;OngevalZonderVerzuim_40;OngevalMetTenMinste0DagenVerzuim_41;OngevalMetTenMinste1DagVerzuim_42;OngevalMetTenMinste4DagenVerzuim_43;UitsluitendLichamelijkLetsel_44;UitsluitendGeestelijkLetsel_45;LichamelijkEnGeestelijkLetsel_46;BurnOutKlachten_47;EmotioneelUitgeput_48;LeegVoelen_49;SOchtendsMoeVoelen_50;VergtVeelOmMetMensenTeWerken_51;UitgeputDoorWerk_52;TevredenMetArbeidsomstandigheden_53;TevredenMetWerk_54;WilTot65eWerkzaamBlijven_55;InStaatTot65eWerkzaamTeBlijven_56;DoorLichterWerkLangerWerkzaam_57;Na65eWerkzaamBlijven_58;LeeftijdWillenDoorwerken_59;LeeftijdInStaatDoorwerken_60
54;Mannen;Totaal leeftijd;2005;44.9;50.8;32.6;44.0;30.5;27.8;38.6;33.4;34.7;15.0;16.8;;;;;;;;;3.5;7.0;;;;;;;;;;;;;;;;;14200;8.6;4.0;4.5;4.4;3.2;6.2;1.6;0.6;;;;;;;68.0;;21.7;42.2;37.9;;;
55;Mannen;Totaal leeftijd;2006;45.2;53.2;33.3;43.4;30.5;25.8;37.0;32.3;33.4;13.7;15.9;;;;;;;;;3.7;6.8;;;;;;;;;;;;;;;;;12700;7.9;3.7;4.3;4.1;2.9;6.0;1.4;0.4;;;;;;;71.1;;27.4;44.4;37.7;;;
56;Mannen;Totaal leeftijd;2007;33.1;43.4;26.2;;;20.0;;;;10.9;;15.3;5.6;;;;;12.0;34.8;3.7;;;;;;;6.8;10.7;14.3;1.5;1.0;16.8;12.6;3.9;0.8;6.9;9.6;14200;8.0;3.9;4.1;3.9;3.3;6.1;1.3;0.6;11.6;11.4;29.8;14.7;8.8;11.4;72.6;76.9;34.4;44.5;39.8;;;
57;Mannen;Totaal leeftijd;2008;32.0;41.6;26.9;;;22.4;;;;10.9;;15.2;;12.8;8.5;12.6;3.8;12.6;34.1;3.7;;69.2;67.9;65.1;74.9;56.2;6.6;10.1;12.4;1.9;0.9;15.4;11.9;4.2;0.9;6.7;9.6;15300;8.3;3.9;4.4;4.2;3.2;6.4;1.1;0.7;12.9;11.9;30.6;15.8;9.5;12.2;76.1;78.0;36.9;48.4;40.8;14.3;;
58;Mannen;Totaal leeftijd;2009;32.3;41.5;26.3;;;19.9;;;;9.3;;14.5;5.7;13.0;8.6;11.4;8.5;11.8;33.3;3.8;;66.6;66.0;64.0;73.4;55.6;7.1;10.8;14.0;1.7;1.0;16.1;12.5;4.2;0.7;6.9;9.4;15700;8.1;4.0;4.0;3.7;3.0;5.9;1.5;0.6;13.3;12.3;29.8;16.0;9.6;12.3;73.3;77.3;44.0;47.6;41.4;15.4;;
59;Mannen;Totaal leeftijd;2010;34.4;42.1;27.0;;;23.5;;;;9.8;;15.3;6.6;13.3;8.6;11.9;4.1;11.1;35.2;3.7;;67.6;66.2;63.2;73.5;55.0;7.1;10.8;13.4;1.8;0.9;15.8;10.9;4.3;0.7;6.7;8.3;15500;8.2;3.9;4.3;4.0;3.2;6.0;1.4;0.7;13.7;13.0;32.0;17.3;9.1;12.8;76.6;78.0;45.8;49.3;41.0;17.6;;
60;Mannen;Totaal leeftijd;2011;32.1;41.5;25.6;;;21.3;;;;10.3;;15.3;5.5;13.4;8.1;11.0;6.1;12.0;34.1;3.9;;66.2;65.8;62.7;72.5;54.2;7.0;10.5;13.2;1.8;0.8;15.7;12.4;4.1;0.9;6.3;9.1;12300;7.3;3.6;3.7;3.4;2.7;5.2;1.4;0.6;13.4;12.5;28.8;16.5;9.3;12.8;73.5;77.3;;;;;62.8;62.3
61;Mannen;Totaal leeftijd;2012;31.1;39.5;26.2;;;22.3;;;;10.2;;14.5;6.4;13.2;8.3;11.2;4.2;11.0;35.0;3.7;;65.2;64.1;61.0;72.3;55.0;5.6;9.1;11.7;2.1;1.1;15.7;12.1;4.6;1.0;6.1;8.3;15000;7.7;3.5;4.2;3.9;3.0;5.7;1.3;0.6;13.2;13.3;31.6;17.7;9.3;12.6;75.3;77.5;;;;;62.9;62.7
62;Mannen;Totaal leeftijd;2013;31.8;41.3;27.1;;;21.2;;;;10.8;;15.1;5.8;13.4;8.4;10.6;7.9;11.3;33.9;3.7;;63.8;63.4;60.4;71.7;54.1;6.6;10.5;12.4;1.8;0.8;16.2;12.1;4.2;0.8;5.9;8.0;13300;7.6;3.9;3.7;3.5;2.8;5.6;1.2;0.7;13.0;12.3;28.8;16.5;9.1;12.9;72.3;76.6;;;;;63.3;62.7
63;Mannen;15 tot 25 jaar;2005;42.4;42.0;24.6;34.0;22.5;47.8;61.5;53.0;54.4;15.8;16.9;;;;;;;;;1.8;12.1;;;;;;;;;;;;;;;;;16700;11.5;5.7;5.8;5.3;3.2;9.5;1.4;0.5;;;;;;;71.4;;25.8;30.5;38.1;;;
64;Mannen;15 tot 25 jaar;2006;43.5;43.8;25.1;33.9;23.6;44.3;59.5;53.1;53.6;15.4;18.5;;;;;;;;;2.0;11.9;;;;;;;;;;;;;;;;;16500;12.3;6.1;6.2;6.1;3.3;10.5;1.5;0.2;;;;;;;75.4;;33.1;27.5;36.0;;;
65;Mannen;15 tot 25 jaar;2007;24.8;29.6;20.0;;;36.3;;;;12.3;;22.7;8.9;;;;;14.8;44.7;2.1;;;;;;;3.5;5.0;7.7;1.1;0.8;17.0;7.5;5.2;1.2;8.6;10.1;21600;14.2;9.1;5.1;4.5;3.1;12.4;1.1;0.6;7.2;6.3;25.1;15.6;6.3;9.1;75.3;79.2;40.5;29.3;38.5;;;
66;Mannen;15 tot 25 jaar;2008;30.3;33.7;20.9;;;39.0;;;;10.8;;21.6;;17.6;13.2;12.4;2.6;16.8;45.7;2.2;;45.9;46.9;47.9;52.4;42.6;3.2;4.8;6.9;3.1;1.7;16.4;8.8;5.3;1.6;8.6;11.1;20700;10.2;5.2;5.0;4.5;3.1;8.6;0.4;1.0;9.3;7.9;23.2;15.4;5.9;10.7;77.6;77.1;39.1;33.9;41.6;15.4;;
67;Mannen;15 tot 25 jaar;2009;28.9;31.3;19.1;;;32.9;;;;10.2;;20.5;6.9;21.3;12.6;12.3;9.2;14.5;44.7;1.8;;44.2;41.2;47.8;49.6;46.4;2.9;4.1;8.4;3.8;1.1;14.9;7.1;4.6;0.6;6.5;10.1;32300;12.4;8.2;4.2;4.0;3.1;11.1;0.8;0.5;8.8;5.8;19.7;15.1;5.5;9.5;73.1;76.1;45.7;29.5;42.8;15.6;;
68;Mannen;15 tot 25 jaar;2010;30.9;31.3;20.8;;;39.4;;;;10.1;;20.3;7.2;20.5;13.9;12.7;5.4;12.3;45.9;1.8;;44.4;40.4;43.0;46.8;44.1;3.6;5.2;7.3;3.2;1.8;18.0;6.7;4.8;1.0;7.8;8.1;31500;10.9;7.1;3.8;3.5;2.2;9.5;0.5;0.6;9.1;6.7;22.6;15.0;5.4;11.3;77.2;77.0;47.8;29.1;42.5;17.1;;
69;Mannen;15 tot 25 jaar;2011;28.4;30.1;17.1;;;36.4;;;;9.9;;19.4;4.4;23.2;15.1;11.2;6.3;13.0;44.9;1.7;;39.4;37.9;41.2;43.9;41.1;2.3;4.2;5.4;2.6;1.0;13.5;6.8;3.5;2.0;6.2;9.3;18600;8.9;5.6;3.4;2.8;1.3;7.6;1.0;0.4;7.9;4.9;18.3;13.6;6.0;10.4;76.2;79.9;;;;;60.4;56.9
70;Mannen;15 tot 25 jaar;2012;30.3;29.5;20.7;;;35.1;;;;10.1;;17.8;8.5;19.5;13.9;11.4;4.4;12.1;46.2;1.6;;40.6;36.7;40.1;49.2;44.0;3.5;5.0;6.6;4.8;2.5;17.7;8.6;6.4;3.1;7.4;9.3;23700;11.6;6.0;5.5;4.7;3.3;9.6;1.6;0.3;8.8;8.3;25.3;17.4;6.3;10.6;76.8;77.0;;;;;58.6;58.3
71;Mannen;15 tot 25 jaar;2013;29.4;28.5;20.9;;;35.1;;;;11.3;;16.7;5.1;19.7;12.5;11.7;8.7;13.9;44.7;1.4;;36.6;36.8;39.0;45.1;45.2;2.9;5.2;8.4;2.4;0.9;18.5;7.0;4.7;2.0;6.5;6.1;20400;10.4;6.6;3.9;3.5;1.7;9.2;0.5;0.7;7.1;5.8;20.1;11.3;4.6;11.0;75.3;77.9;;;;;60.4;57.7
72;Mannen;25 tot 35 jaar;2005;48.6;49.1;33.2;46.0;30.8;29.7;40.6;34.7;35.9;13.9;17.1;;;;;;;;;3.8;7.6;;;;;;;;;;;;;;;;;13000;9.1;4.3;4.8;4.7;3.2;7.3;1.3;0.6;;;;;;;67.6;;21.8;43.3;38.0;;;
73;Mannen;25 tot 35 jaar;2006;48.3;54.7;35.3;44.2;31.5;28.2;39.2;33.8;34.9;14.1;15.8;;;;;;;;;3.9;7.4;;;;;;;;;;;;;;;;;14000;8.0;3.7;4.3;4.0;2.8;6.6;1.0;0.4;;;;;;;72.5;;28.1;45.5;36.8;;;
74;Mannen;25 tot 35 jaar;2007;33.7;42.6;26.7;;;23.3;;;;10.8;;16.7;6.4;;;;;13.7;39.1;4.0;;;;;;;6.1;8.2;13.7;2.1;1.1;17.9;10.1;3.6;0.8;7.2;9.8;15900;8.1;3.9;4.2;4.0;3.5;6.6;0.8;0.7;9.3;8.7;26.6;15.0;8.0;9.7;73.6;77.7;34.0;41.8;39.1;;;
75;Mannen;25 tot 35 jaar;2008;33.2;41.7;28.4;;;23.4;;;;11.3;;15.9;;13.0;9.9;14.0;4.1;13.0;33.9;4.2;;66.3;67.8;64.1;76.0;54.0;6.1;9.4;11.8;1.7;0.8;13.6;9.2;3.7;1.1;5.9;9.4;19000;8.4;4.6;3.7;3.5;2.3;6.4;1.1;0.8;13.3;11.7;29.7;19.0;9.4;12.5;75.0;77.0;38.9;44.1;39.5;13.6;;
76;Mannen;25 tot 35 jaar;2009;31.9;40.3;26.2;;;22.7;;;;8.2;;16.1;7.1;12.7;10.7;12.8;8.3;12.7;33.2;4.4;;65.0;66.5;62.9;76.5;53.4;5.9;8.9;13.6;1.7;1.0;15.5;11.1;4.6;0.8;6.3;9.2;12800;7.2;3.2;4.0;3.8;2.5;5.5;1.2;0.5;12.9;11.3;29.3;18.6;9.0;11.3;73.7;77.5;45.5;46.0;40.4;16.0;;
77;Mannen;25 tot 35 jaar;2010;36.4;43.6;29.5;;;24.0;;;;9.7;;15.3;7.6;13.6;10.1;14.1;4.9;10.9;35.0;4.3;;67.5;66.7;62.6;77.5;51.4;7.9;11.4;14.2;2.4;1.0;16.0;9.6;4.8;1.1;6.7;8.0;16400;9.0;4.0;5.0;4.7;3.8;6.7;1.6;0.7;13.9;14.5;32.0;20.6;8.1;12.2;75.7;78.2;45.1;45.7;40.1;18.0;;
78;Mannen;25 tot 35 jaar;2011;35.4;45.3;29.7;;;21.7;;;;11.5;;16.8;7.7;13.7;8.5;11.6;6.8;12.8;34.8;4.4;;65.4;65.9;61.4;76.3;51.8;8.3;10.7;13.8;2.1;1.1;18.3;12.3;5.1;0.9;7.2;9.4;12600;8.2;3.8;4.4;4.1;3.1;6.0;1.4;0.7;14.6;14.1;30.7;19.4;9.7;14.5;71.2;74.7;;;;;62.1;60.9
79;Mannen;25 tot 35 jaar;2012;32.2;40.0;27.9;;;23.2;;;;9.7;;14.2;6.5;13.8;9.2;12.2;4.6;11.3;33.7;4.2;;63.9;63.2;59.5;74.2;51.5;6.2;8.3;11.6;1.8;0.9;16.0;10.3;4.4;0.4;6.4;7.4;16800;7.5;3.5;4.0;3.9;2.5;5.4;1.1;0.9;13.0;12.7;31.2;19.5;9.3;12.2;74.0;75.7;;;;;62.7;61.2
80;Mannen;25 tot 35 jaar;2013;33.6;43.8;29.9;;;22.6;;;;10.5;;18.1;7.2;13.5;9.8;11.9;7.1;11.9;35.1;4.1;;60.0;60.1;58.6;73.8;51.9;5.6;9.5;12.6;2.3;1.0;17.1;9.5;4.8;0.9;5.9;9.3;12800;7.3;4.3;3.0;2.7;2.1;5.6;0.6;1.0;12.6;11.5;29.3;18.1;9.4;11.7;69.9;75.0;;;;;63.0;61.4
81;Mannen;35 tot 45 jaar;2005;47.8;55.5;36.7;48.5;34.9;27.9;38.1;33.8;34.7;16.5;18.3;;;;;;;;;3.8;6.4;;;;;;;;;;;;;;;;;18000;8.9;4.3;4.6;4.5;3.6;6.5;1.5;0.9;;;;;;;66.7;;22.0;43.5;41.5;;;
82;Mannen;35 tot 45 jaar;2006;46.6;54.0;36.0;46.6;32.9;24.7;35.0;30.3;32.2;12.7;16.9;;;;;;;;;4.0;6.2;;;;;;;;;;;;;;;;;12000;8.3;3.6;4.8;4.5;3.4;6.0;1.7;0.5;;;;;;;71.1;;26.9;46.1;40.9;;;
83;Mannen;35 tot 45 jaar;2007;36.6;47.7;28.8;;;18.5;;;;11.2;;14.4;6.0;;;;;11.2;33.3;3.9;;;;;;;6.8;10.1;15.1;1.7;1.0;15.7;13.4;3.9;1.0;6.2;9.6;13400;7.2;3.3;4.0;3.8;3.2;5.4;1.3;0.5;11.8;12.5;30.0;14.4;8.7;11.4;71.8;76.0;35.2;45.9;41.7;;;
84;Mannen;35 tot 45 jaar;2008;33.3;45.2;29.1;;;21.9;;;;11.1;;15.8;;13.3;8.4;13.4;3.6;12.6;32.4;4.0;;74.3;71.3;67.8;79.7;58.9;6.4;9.6;12.9;1.8;0.9;16.0;12.4;3.8;0.8;6.6;9.8;16600;8.8;4.1;4.7;4.7;3.7;6.9;1.0;0.9;12.0;11.7;30.6;13.9;9.0;11.0;77.6;78.3;37.5;49.6;42.4;13.9;;
85;Mannen;35 tot 45 jaar;2009;34.1;44.7;28.3;;;18.3;;;;10.1;;12.5;5.8;12.8;7.8;11.6;8.4;11.6;31.4;4.2;;71.1;69.8;66.1;77.5;56.4;7.3;11.0;14.0;1.3;1.1;15.4;14.0;3.4;0.8;6.8;9.9;15600;8.0;4.0;4.0;3.8;3.0;5.8;1.5;0.6;12.9;12.2;29.3;15.3;9.2;11.8;73.3;76.8;46.4;51.5;43.2;15.9;;
86;Mannen;35 tot 45 jaar;2010;37.1;46.7;30.2;;;23.1;;;;9.9;;15.1;7.0;13.1;8.4;12.5;3.5;12.8;32.9;4.1;;71.2;71.2;65.9;77.8;57.3;7.6;11.3;13.8;1.5;0.8;15.0;10.8;3.7;0.5;6.4;8.6;13100;8.0;3.7;4.3;4.1;3.5;5.7;1.5;0.8;13.5;13.5;32.8;17.2;9.4;12.1;76.9;77.3;46.0;51.4;42.1;17.7;;
87;Mannen;35 tot 45 jaar;2011;35.3;45.2;28.2;;;19.9;;;;9.2;;15.3;5.6;11.6;7.5;12.5;5.8;12.5;32.3;4.4;;72.6;73.7;67.8;80.9;56.6;7.0;10.6;14.2;1.4;0.6;13.7;12.8;3.3;0.7;5.9;9.2;11000;6.5;3.3;3.2;2.9;2.4;4.5;1.0;0.9;13.7;12.7;29.4;16.9;8.8;12.7;73.5;76.1;;;;;62.7;62.7
88;Mannen;35 tot 45 jaar;2012;34.0;44.8;28.8;;;21.5;;;;11.4;;14.4;6.0;13.0;7.5;12.2;3.9;11.1;33.5;4.2;;70.1;71.1;65.8;77.8;57.7;5.1;9.1;12.5;1.6;0.8;13.6;12.0;3.6;0.7;5.1;8.8;13400;7.0;2.8;4.1;4.0;3.2;5.1;1.1;0.7;13.1;13.9;31.4;17.3;9.2;12.1;75.1;77.2;;;;;63.3;63.0
89;Mannen;35 tot 45 jaar;2013;33.9;45.7;30.1;;;19.3;;;;11.0;;14.6;6.5;13.2;8.8;11.0;8.6;11.6;31.5;4.3;;70.8;70.8;63.9;80.5;56.6;7.5;10.9;12.7;1.3;0.9;15.7;13.3;3.7;0.7;5.8;9.0;12600;7.2;3.3;3.9;3.7;3.1;5.4;1.3;0.4;13.4;13.0;28.5;18.2;9.5;12.8;71.3;75.7;;;;;63.2;63.0
90;Mannen;45 tot 55 jaar;2005;44.4;53.1;34.3;47.0;32.9;22.1;31.7;27.6;29.1;14.9;16.5;;;;;;;;;3.7;5.8;;;;;;;;;;;;;;;;;12400;7.6;3.5;4.0;3.9;2.9;4.9;2.0;0.5;;;;;;;66.4;;18.5;41.4;39.2;;;
91;Mannen;45 tot 55 jaar;2006;45.5;55.6;33.9;46.1;31.9;21.3;31.2;27.9;28.4;13.6;15.3;;;;;;;;;3.9;5.7;;;;;;;;;;;;;;;;;12100;7.1;3.6;3.6;3.5;2.8;4.9;1.6;0.5;;;;;;;68.1;;24.8;45.0;40.3;;;
92;Mannen;45 tot 55 jaar;2007;34.8;47.2;28.4;;;16.3;;;;11.5;;14.1;4.8;;;;;11.7;32.3;3.8;;;;;;;8.5;14.4;15.5;1.4;0.9;17.8;16.0;4.1;0.7;7.1;10.3;14300;7.2;3.2;4.0;3.9;3.3;5.0;1.6;0.6;14.2;14.4;33.7;14.8;10.0;13.2;71.0;75.5;32.0;47.5;43.1;;;
93;Mannen;45 tot 55 jaar;2008;32.0;42.5;27.2;;;18.1;;;;11.0;;12.9;;11.4;6.5;11.5;4.1;11.4;33.1;3.8;;72.9;70.8;67.2;76.8;59.2;7.5;11.6;13.5;1.7;0.7;16.0;14.6;4.7;0.7;6.6;10.2;12300;7.8;3.2;4.6;4.4;3.6;5.9;1.5;0.4;13.5;12.5;32.4;15.6;10.3;12.3;75.5;77.9;35.0;53.0;43.2;13.6;;
94;Mannen;45 tot 55 jaar;2009;33.9;44.8;28.4;;;16.7;;;;9.5;;14.1;5.4;11.3;7.1;11.0;8.3;12.1;32.5;4.0;;71.0;71.1;67.3;77.2;59.0;9.4;13.4;15.3;1.2;1.0;17.4;14.6;4.7;0.8;7.1;10.3;12000;7.2;3.3;3.8;3.5;3.2;4.7;1.8;0.6;15.1;14.8;33.9;16.2;12.0;13.8;72.3;78.0;42.4;49.6;43.9;14.2;;
95;Mannen;45 tot 55 jaar;2010;35.3;44.1;27.7;;;19.2;;;;10.6;;14.3;6.1;11.1;6.1;10.9;3.6;10.0;34.9;4.0;;73.6;71.7;68.1;79.1;58.2;8.1;12.4;15.8;1.2;0.7;15.7;14.1;4.5;0.5;6.7;9.4;12200;8.0;3.3;4.7;4.3;3.5;5.2;1.9;0.8;16.0;15.3;35.5;17.8;10.9;14.2;76.1;77.5;45.3;53.8;44.6;16.3;;
96;Mannen;45 tot 55 jaar;2011;30.7;42.9;26.1;;;18.2;;;;11.6;;14.6;5.7;11.4;6.2;10.8;6.2;11.1;31.4;4.2;;71.2;69.6;66.4;76.6;57.5;7.7;11.9;14.0;1.6;0.6;16.1;14.7;4.5;1.0;6.1;9.4;11200;7.4;3.5;3.9;3.8;3.2;4.9;1.7;0.6;14.9;14.6;32.0;16.8;10.2;12.9;72.7;77.3;;;;;63.3;63.5
97;Mannen;45 tot 55 jaar;2012;31.0;41.3;27.6;;;19.2;;;;10.2;;14.3;6.7;11.2;6.9;10.1;4.2;10.7;32.0;4.1;;70.9;69.7;65.1;76.7;57.3;6.3;10.8;13.3;1.7;1.1;16.7;14.9;4.8;1.0;6.2;8.7;13600;7.2;3.3;3.9;3.6;3.2;5.1;1.4;0.6;15.5;15.4;34.7;18.1;10.8;14.0;75.2;78.5;;;;;63.5;63.9
98;Mannen;45 tot 55 jaar;2013;33.0;44.8;28.4;;;18.6;;;;11.2;;13.9;5.7;12.1;6.5;10.5;7.3;10.6;32.5;4.1;;71.1;70.4;66.0;76.7;56.1;7.9;12.2;13.2;1.9;0.7;15.2;15.3;4.2;0.5;5.6;8.4;11500;7.3;3.3;4.0;3.9;3.5;4.9;1.6;0.8;15.2;14.4;32.5;17.4;10.2;14.1;72.3;76.3;;;;;63.9;64.2
99;Mannen;55 tot 65 jaar;2005;37.1;48.2;27.9;36.4;25.0;18.7;29.6;24.7;26.3;13.5;14.2;;;;;;;;;3.4;5.2;;;;;;;;;;;;;;;;;10200;6.4;2.6;3.8;3.7;3.1;4.0;1.8;0.3;;;;;;;70.8;;23.2;48.8;29.5;;;
100;Mannen;55 tot 65 jaar;2006;38.9;52.9;30.8;39.6;27.7;18.1;29.8;25.2;26.4;13.8;13.5;;;;;;;;;3.5;4.8;;;;;;;;;;;;;;;;;10300;5.2;2.2;3.0;2.8;2.2;3.3;1.3;0.4;;;;;;;70.6;;27.1;51.1;30.4;;;
101;Mannen;55 tot 65 jaar;2007;29.9;40.9;22.4;;;12.6;;;;9.1;;11.4;3.2;;;;;9.2;28.3;3.6;;;;;;;7.3;13.3;16.4;0.8;0.7;15.4;12.7;3.1;0.4;6.2;8.1;8100;6.0;2.4;3.6;3.6;3.3;4.1;1.5;0.5;13.3;12.2;30.8;13.9;9.5;12.4;73.0;78.0;32.8;51.6;33.7;;;
102;Mannen;55 tot 65 jaar;2008;29.3;40.0;25.1;;;16.7;;;;9.5;;11.9;;10.0;6.4;11.0;4.4;10.5;30.1;3.6;;75.8;73.2;71.1;79.0;59.6;8.6;13.4;14.8;1.5;0.6;15.4;12.8;4.1;0.3;6.7;7.6;9000;6.5;2.7;3.8;3.7;3.3;4.4;1.3;0.6;15.3;14.7;34.1;15.4;11.8;14.9;74.9;79.6;34.9;54.9;35.2;16.4;;
103;Mannen;55 tot 65 jaar;2009;30.6;41.1;26.1;;;13.3;;;;8.6;;11.3;3.2;9.3;6.5;8.9;8.7;8.4;27.9;3.7;;72.9;71.9;69.9;76.6;59.3;8.6;13.8;16.7;1.3;0.6;17.0;12.9;3.9;0.4;7.8;7.2;11500;7.1;3.0;4.1;3.9;3.3;4.4;1.9;0.8;15.1;15.0;32.8;14.5;10.8;14.4;74.4;77.6;39.8;54.8;35.0;15.4;;
104;Mannen;55 tot 65 jaar;2010;29.5;39.7;23.6;;;15.9;;;;8.5;;13.0;5.2;10.3;6.1;9.0;3.8;9.2;29.7;3.8;;73.8;72.5;70.1;76.9;61.0;6.9;12.1;13.8;1.2;0.6;15.2;11.5;3.7;0.4;6.0;6.9;9400;5.4;2.2;3.2;3.1;2.7;3.7;1.2;0.4;14.1;12.7;33.3;14.8;10.5;13.7;77.6;80.3;45.0;61.3;33.9;19.5;;
105;Mannen;55 tot 65 jaar;2011;29.1;39.4;23.6;;;14.5;;;;8.8;;10.9;3.3;9.9;5.3;8.2;5.6;10.4;30.2;3.9;;73.5;72.9;70.2;74.3;60.1;8.7;13.4;16.5;1.4;0.7;16.6;13.3;4.0;0.4;6.0;7.9;10000;5.9;2.4;3.5;3.5;3.2;3.7;1.7;0.5;14.4;13.6;29.8;14.7;11.2;13.0;75.1;79.6;;;;;64.1;65.0
106;Mannen;55 tot 65 jaar;2012;26.5;37.4;23.3;;;16.2;;;;8.9;;12.2;4.4;10.1;5.4;10.1;4.2;10.3;33.2;3.7;;72.5;70.4;68.0;75.9;61.0;6.5;10.7;13.0;1.4;0.6;14.9;13.2;4.5;0.4;6.1;7.1;9700;6.3;2.5;3.8;3.7;3.1;4.3;1.7;0.4;14.2;14.1;33.2;15.9;10.0;13.3;75.9;79.0;;;;;64.5;65.3
107;Mannen;55 tot 65 jaar;2013;27.5;38.2;23.5;;;14.5;;;;9.6;;12.3;4.2;10.4;5.6;7.7;8.3;9.4;29.2;3.8;;70.8;69.4;66.9;72.7;57.6;7.9;12.9;13.8;1.4;0.6;15.4;13.1;3.8;0.2;6.1;6.5;11800;6.4;2.8;3.7;3.5;2.9;4.2;1.8;0.4;14.6;14.4;30.6;15.4;10.1;13.9;74.1;78.9;;;;;64.6;65.4
108;Vrouwen;Totaal leeftijd;2005;45.1;48.0;29.1;35.5;27.6;21.2;23.6;21.5;17.9;4.3;0.9;;;;;;;;;3.6;4.9;;;;;;;;;;;;;;;;;10300;5.1;3.1;2.0;1.9;1.5;2.8;1.8;0.4;;;;;;;71.1;;20.4;37.4;33.1;;;
109;Vrouwen;Totaal leeftijd;2006;45.4;49.7;30.6;36.6;27.9;21.5;23.9;21.7;18.0;4.4;0.9;;;;;;;;;3.7;5.0;;;;;;;;;;;;;;;;;6300;4.5;2.3;2.1;2.0;1.6;2.5;1.6;0.4;;;;;;;72.0;;25.3;39.9;35.1;;;
110;Vrouwen;Totaal leeftijd;2007;34.8;43.1;26.2;;;16.4;;;;2.9;;3.1;1.4;;;;;9.6;36.5;3.8;;;;;;;8.1;14.1;13.5;8.0;2.9;23.3;10.3;8.1;0.2;7.1;7.4;9800;5.4;2.9;2.5;2.4;2.0;3.5;1.4;0.5;10.9;12.1;24.9;13.2;7.9;10.3;72.7;77.9;33.6;37.8;39.1;;;
111;Vrouwen;Totaal leeftijd;2008;32.6;42.1;26.6;;;18.2;;;;3.0;;3.2;;19.5;11.5;4.1;7.6;9.2;35.0;3.9;;59.2;63.4;56.4;63.9;44.6;8.6;13.9;12.6;8.2;2.9;23.0;9.3;9.1;0.3;6.9;6.9;13300;6.0;3.3;2.7;2.5;2.1;3.6;1.8;0.5;11.9;12.8;26.7;13.9;9.4;11.1;76.1;78.9;35.6;39.7;39.4;8.6;;
112;Vrouwen;Totaal leeftijd;2009;33.4;41.1;25.7;;;16.2;;;;3.0;;2.9;1.4;18.8;11.5;5.2;10.5;8.7;33.6;3.9;;58.3;62.9;56.9;64.3;44.7;8.5;14.4;13.4;8.9;2.5;23.2;9.8;8.7;0.3;7.8;7.1;10100;5.5;3.0;2.5;2.3;1.9;3.4;1.6;0.5;11.8;12.4;25.5;13.7;9.2;10.7;75.1;79.8;40.7;41.6;40.7;10.3;;
113;Vrouwen;Totaal leeftijd;2010;34.5;42.2;26.7;;;19.3;;;;3.1;;3.1;1.7;20.4;11.5;3.8;7.8;9.2;37.4;3.8;;57.2;61.9;56.0;63.2;44.8;8.3;13.6;13.0;8.7;2.7;21.1;8.8;8.1;0.3;6.4;5.9;10900;5.9;3.6;2.4;2.2;1.9;3.6;1.8;0.5;12.4;13.6;27.3;15.0;9.4;11.5;77.9;79.6;42.0;40.7;39.2;10.5;;
114;Vrouwen;Totaal leeftijd;2011;32.9;41.4;26.7;;;17.5;;;;3.0;;2.8;1.2;20.5;11.1;5.0;8.3;9.4;35.9;3.9;;55.7;61.0;55.4;63.0;43.9;8.8;13.7;13.7;8.6;2.7;23.7;9.7;7.8;0.3;6.1;6.7;11200;5.6;3.1;2.5;2.4;2.0;3.5;1.6;0.4;12.0;13.0;24.7;14.7;9.4;11.3;74.5;78.6;;;;;62.1;61.1
