ID;GeboortegeneratieVrouw;GemiddeldKindertalPerVrouw_1;KinderlozeVrouwen_2;VrouwenMet1Kind_3;VrouwenMet2Kinderen_4;VrouwenMet3OfMeerKinderen_5;LeeftijdMoederBijGeboorte1eKind_6
67;2002;1.62;25.9;17.3;35.2;21.5;31.2
68;2003;1.62;25.7;17.4;35.3;21.6;31.3
69;2004;1.63;25.5;17.5;35.3;21.7;31.3
70;2005;1.63;25.3;17.7;35.4;21.7;31.3
71;2006;1.64;25.1;17.8;35.4;21.8;31.3
72;2007;1.64;24.8;17.9;35.5;21.8;31.3
73;2008;1.64;24.7;17.9;35.6;21.8;31.3
74;2009;1.65;24.6;17.9;35.6;21.9;31.3
75;2010;1.65;24.4;18.0;35.7;21.9;31.3
76;2011;1.65;24.4;18.0;35.7;21.9;31.3
77;2012;1.65;24.3;18.1;35.7;22.0;31.2
78;2013;1.65;24.3;18.1;35.7;22.0;31.2
79;2014;1.66;24.2;18.1;35.7;22.0;31.2
80;2015;1.66;24.2;18.1;35.7;22.0;31.2
81;2016;1.66;24.3;18.0;35.7;22.1;31.3
82;2017;1.66;24.2;18.0;35.7;22.1;31.3
83;2018;1.66;24.2;17.9;35.7;22.1;31.3
84;2019;1.66;24.3;17.9;35.7;22.1;31.3
85;2020;1.66;24.3;17.9;35.7;22.1;31.3
86;2021;1.66;24.2;17.7;35.9;22.2;31.3
87;2022;1.66;24.3;17.7;35.7;22.2;31.3
88;2023;1.66;24.4;17.7;35.7;22.2;31.3
89;2024;1.66;24.4;17.6;35.7;22.2;31.3
90;2025;1.66;24.5;17.6;35.7;22.2;31.3
91;2026;1.66;24.5;17.5;35.7;22.2;31.3
92;2027;1.66;24.5;17.4;35.8;22.3;31.3
93;2028;1.66;24.6;17.4;35.8;22.3;31.4
94;2029;1.66;24.6;17.3;35.8;22.3;31.4
95;2030;1.66;24.6;17.2;35.9;22.3;31.4
