ID;SchadeverzekeraarsNaarBranche;Perioden;ResultaatTechnischeRekening_1;BatenTotaal_2;VerdiendePremiesEigenRekening_3;GeboektePremiesEigenRekening_4;ToenameVoorzieningPremiesEigenRek_5;OntvangenBijdragen_6;ToegerekendeOpbrengstUitBeleggingen_7;NietGerealiseerdeWinstOpBeleggingen_8;OverigeTechnischeBatenEigenRekening_9;ToegerekendeOpbrengstBeleggingVanNTR_10;LastenTotaal_11;GeledenSchadenEigenRekening_12;GeboekteSchadenEigenRekening_13;ToenameVoorzieningSchadenEigenRek_14;BetaaldeBijdragen_15;WijzigingOverigeTechnischeVoorziening_16;WinstdelingEnKortingen_17;Bedrijfskosten_18;Beleggingslasten_19;NietGerealiseerdVerliesOpBeleggingen_20;OverigeTechnischeLastenEigenRekening_21;ToegerekendeOpbrengstBeleggingAanNTR_22;WijzigingEgalisatievoorziening_23
33;Motorrijtuigverzekering;2001;-10;4159;3824;3883;59;;66.0;0.0;7;262;4169;2993;2736;257;;2;8;1135;0.0;0.0;14;16.0;0.0
34;Motorrijtuigverzekering;2002;-59;4253;3985;4053;68;;38.0;0.0;7;224;4313;3117;2900;217;;1;8;1149;4.0;23.0;10;1.0;0.0
35;Motorrijtuigverzekering;2003;226;4638;4239;4280;41;;43.0;0.0;55;301;4412;3138;2931;207;;-4;11;1184;1.0;0.0;76;6.0;0.0
36;Motorrijtuigverzekering;2004;304;4703;4376;4387;11;;40.0;0.0;6;281;4400;3118;2949;169;;9;12;1229;1.0;0.0;23;8.0;0.0
37;Motorrijtuigverzekering;2005;456;4725;4362;4371;9;;54.0;10.0;14;285;4269;2969;2833;136;;7;11;1245;2.0;1.0;15;19.0;0.0
38;Motorrijtuigverzekering;2006;591;4721;4372;4337;-35;;47.0;1.0;47;254;4130;2797;2717;80;;2;16;1281;2.0;5.0;15;12.0;0.0
39;Motorrijtuigverzekering;2007;507;4655;4343;4331;-12;;;;2;310;4148;2788;2868;-81;;-10;12;1344;;;13;;
40;Motorrijtuigverzekering;2008;91;4458;4345;4311;-34;;;;5;109;4367;3012;3139;-126;;-3;11;1337;;;10;;
41;Motorrijtuigverzekering;2009;120;4577;4279;4252;-27;;;;8;290;4458;3136;3259;-123;;4;21;1285;;;12;;
42;Motorrijtuigverzekering;2010;59;4535;4334;4319;-16;;;;7;193;4476;3185;3260;-74;;-1;1;1277;;;14;;
43;Motorrijtuigverzekering;2011;173;4527;4347;4308;-39;;;;-4;184;4355;3047;3185;-138;;2;11;1280;;;15;;
44;Motorrijtuigverzekering;2012;109;4532;4331;4268;-63;;;;6;195;4424;3085;3156;-70;;3;24;1292;;;19;;
45;Motorrijtuigverzekering;2013;64;4441;4252;4168;-84;;;;5;184;4377;3068;3096;-29;;0;7;1282;;;20;;
46;Motorrijtuigverzekering;2014;-221;3888;3738;3753;15;;;;7;143;4108;2903;2756;147;;-2;8;1190;;;9;;
47;Motorrijtuigverzekering;2015;-310;3809;3713;3718;5;;;;3;93;4118;2957;2831;126;;0;9;1138;;;14;;
48;Zee-, transport-, luchtvaartverzekering;2000;-12;411;380;383;3;;4.0;0.0;5;22;423;302;255;46;;-2;0;124;0.0;0.0;-3;2.0;0.0
49;Zee-, transport-, luchtvaartverzekering;2001;15;406;379;382;2;;2.0;0.0;2;23;391;272;254;18;;0;0;118;0.0;0.0;0;1.0;-1.0
50;Zee-, transport-, luchtvaartverzekering;2002;5;469;446;453;7;;0.0;0.0;2;21;464;335;281;54;;-3;0;127;0.0;0.0;5;0.0;0.0
51;Zee-, transport-, luchtvaartverzekering;2003;5;529;482;480;-2;;0.0;0.0;20;26;525;356;306;50;;3;0;136;0.0;0.0;30;0.0;0.0
52;Zee-, transport-, luchtvaartverzekering;2004;54;528;499;516;17;;0.0;0.0;3;26;473;328;270;58;;0;0;140;0.0;0.0;5;0.0;0.0
53;Zee-, transport-, luchtvaartverzekering;2005;94;581;541;547;6;;0.0;0.0;9;31;486;340;296;44;;-1;0;146;0.0;0.0;1;0.0;0.0
54;Zee-, transport-, luchtvaartverzekering;2006;79;636;575;587;12;;0.0;0.0;34;27;557;388;311;77;;0;0;155;0.0;0.0;12;0.0;0.0
55;Zee-, transport-, luchtvaartverzekering;2007;82;607;573;610;37;;;;4;31;525;346;319;27;;1;0;169;;;9;;
56;Zee-, transport-, luchtvaartverzekering;2008;52;755;724;742;18;;;;6;25;703;499;400;99;;1;1;201;;;1;;
57;Zee-, transport-, luchtvaartverzekering;2009;23;804;762;746;-17;;;;2;40;781;560;478;83;;1;0;204;;;15;;
58;Zee-, transport-, luchtvaartverzekering;2010;11;758;713;704;-9;;;;9;36;747;546;485;60;;0;0;199;;;2;;
59;Zee-, transport-, luchtvaartverzekering;2011;-46;804;764;734;-31;;;;14;26;850;613;475;138;;0;0;238;;;-1;;
60;Zee-, transport-, luchtvaartverzekering;2012;-81;806;756;724;-32;;;;-7;57;886;635;559;76;;0;0;250;;;1;;
61;Zee-, transport-, luchtvaartverzekering;2013;100;684;654;654;1;;;;-7;37;582;370;566;-195;;0;0;210;;;2;;
62;Zee-, transport-, luchtvaartverzekering;2014;90;452;430;401;-29;;;;0;22;362;190;417;-227;;0;0;188;;;-16;;
63;Zee-, transport-, luchtvaartverzekering;2015;-17;543;518;496;-22;;;;15;10;560;368;396;-28;;-1;0;193;;;0;;
64;Brand en andere schade aan goederen;2000;79;2176;2045;2073;28;;56.0;0.0;5;70;2097;1224;1172;51;;-10;13;855;3.0;0.0;-4;17.0;0.0
65;Brand en andere schade aan goederen;2001;101;2194;2078;2112;33;;40.0;0.0;6;69;2092;1222;1159;63;;-16;14;851;0.0;0.0;10;12.0;0.0
66;Brand en andere schade aan goederen;2002;-30;2334;2248;2289;41;;14.0;0.0;7;65;2364;1459;1337;122;;-16;7;893;2.0;4.0;11;5.0;0.0
67;Brand en andere schade aan goederen;2003;197;2656;2480;2526;46;;30.0;0.0;57;88;2459;1400;1417;-17;;17;4;964;1.0;0.0;66;6.0;0.0
68;Brand en andere schade aan goederen;2004;428;2743;2618;2660;42;;32.0;0.0;11;82;2317;1283;1269;14;;-6;6;1013;1.0;0.0;12;8.0;0.0
69;Brand en andere schade aan goederen;2005;462;2862;2723;2746;24;;40.0;2.0;13;85;2400;1329;1030;299;;4;5;1040;1.0;1.0;6;15.0;0.0
70;Brand en andere schade aan goederen;2006;392;2898;2759;2767;8;;28.0;2.0;32;77;2506;1386;1316;71;;1;4;1091;2.0;2.0;7;12.0;0.0
71;Brand en andere schade aan goederen;2007;104;3019;2882;2906;25;;;;8;129;2915;1762;1691;71;;-1;5;1143;;;6;;
72;Brand en andere schade aan goederen;2008;61;3006;2957;2993;36;;;;6;43;2945;1749;1632;117;;0;5;1187;;;4;;
73;Brand en andere schade aan goederen;2009;175;3132;3010;3040;30;;;;8;114;2957;1789;1741;48;;0;12;1150;;;6;;
74;Brand en andere schade aan goederen;2010;84;3189;3084;3117;33;;;;9;96;3105;1951;1812;139;;-1;13;1136;;;6;;
75;Brand en andere schade aan goederen;2011;189;3166;3078;3008;-70;;;;5;83;2977;1852;1915;-63;;0;13;1106;;;6;;
76;Brand en andere schade aan goederen;2012;147;3193;3107;3124;17;;;;2;84;3047;1887;1892;-5;;0;14;1140;;;6;;
77;Brand en andere schade aan goederen;2013;-70;3226;3145;3118;-27;;;;4;77;3296;2150;1906;244;;-1;12;1123;;;12;;
78;Brand en andere schade aan goederen;2014;104;3128;3048;3014;-34;;;;2;78;3023;1894;2058;-164;;0;7;1122;;;0;;
79;Brand en andere schade aan goederen;2015;12;3071;3008;3009;1;;;;5;58;3060;1962;1958;4;;-1;4;1090;;;5;;
80;Overige schade;2000;136;1600;1399;1427;28;;33.0;0.0;41;126;1464;891;697;194;;-20;11;584;2.0;0.0;-19;12.0;1.0
81;Overige schade;2001;46;1615;1469;1525;56;;19.0;0.0;6;121;1568;926;839;87;;-2;15;619;0.0;0.0;6;5.0;1.0
82;Overige schade;2002;35;1817;1686;1745;59;;13.0;0.0;11;107;1782;1056;967;89;;2;15;698;1.0;4.0;5;0.0;1.0
83;Overige schade;2003;21;2082;1897;1958;62;;17.0;0.0;49;119;2060;1228;1054;174;;2;13;759;1.0;0.0;53;3.0;2.0
84;Overige schade;2004;29;2200;2032;2093;61;;14.0;0.0;19;135;2171;1356;1100;256;;-6;6;803;1.0;0.0;8;3.0;0.0
85;Overige schade;2005;260;2392;2180;2253;73;;19.0;2.0;29;162;2131;1247;1022;225;;6;5;842;1.0;0.0;3;6.0;20.0
86;Overige schade;2006;268;2544;2318;2343;24;;16.0;0.0;62;148;2276;1301;1147;154;;4;10;914;0.0;1.0;11;4.0;31.0
87;Overige schade;2007;488;2577;2353;2398;45;;;;28;196;2089;1175;1185;-10;;0;13;850;;;9;;42.0
88;Overige schade;2008;242;2702;2630;2654;24;;;;26;46;2460;1465;1376;89;;2;8;960;;;13;;12.0
89;Overige schade;2009;314;2899;2677;2667;-10;;;;36;186;2585;1522;1562;-40;;-2;9;1045;;;13;;-2.0
90;Overige schade;2010;499;2903;2736;2746;10;;;;27;140;2404;1384;1463;-80;;-1;12;1000;;;3;;6.0
91;Overige schade;2011;476;2564;2428;2393;-35;;;;30;106;2089;1256;1230;26;;0;11;817;;;2;;3.0
92;Overige schade;2012;410;2462;2313;2290;-23;;;;20;129;2052;1257;1184;73;;-1;4;788;;;4;;0.0
93;Overige schade;2013;333;2462;2277;2221;-56;;;;44;141;2129;1346;1250;95;;0;5;772;;;6;;0.0
94;Overige schade;2014;282;2317;2214;2212;-2;;;;10;93;2036;1288;1235;53;;1;6;740;;;1;;0.0
95;Overige schade;2015;274;2290;2204;2192;-12;;;;12;74;2016;1259;1253;6;;0;4;748;;;5;;0.0
