ID;Zorgtype;FinancieringsvormenZorg;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
90;MSZ poliklinische zorg;Totaal alle financieringsvormen;2021;8009.0
91;MSZ poliklinische zorg;Totaal alle financieringsvormen;2022;8322.0
92;MSZ poliklinische zorg;Totaal alle financieringsvormen;2023;8984.0
93;MSZ poliklinische zorg;HF11: Overheid;2021;0.0
94;MSZ poliklinische zorg;HF11: Overheid;2022;0.0
95;MSZ poliklinische zorg;HF11: Overheid;2023;0.0
96;MSZ poliklinische zorg;HF121a: Wlz, AWBZ;2021;0.0
97;MSZ poliklinische zorg;HF121a: Wlz, AWBZ;2022;0.0
98;MSZ poliklinische zorg;HF121a: Wlz, AWBZ;2023;0.0
99;MSZ poliklinische zorg;HF121b: Ziekenfonds;2021;
100;MSZ poliklinische zorg;HF121b: Ziekenfonds;2022;
101;MSZ poliklinische zorg;HF121b: Ziekenfonds;2023;
102;MSZ poliklinische zorg;HF122: Zorgverzekeringswet;2021;7442.0
103;MSZ poliklinische zorg;HF122: Zorgverzekeringswet;2022;7736.0
104;MSZ poliklinische zorg;HF122: Zorgverzekeringswet;2023;8379.0
105;MSZ poliklinische zorg;HF21:Vrijwillige ziektekostenverzekering;2021;4.0
106;MSZ poliklinische zorg;HF21:Vrijwillige ziektekostenverzekering;2022;2.0
107;MSZ poliklinische zorg;HF21:Vrijwillige ziektekostenverzekering;2023;3.0
108;MSZ poliklinische zorg;HF3: Eigen betalingen;2021;563.0
109;MSZ poliklinische zorg;HF3: Eigen betalingen;2022;583.0
110;MSZ poliklinische zorg;HF3: Eigen betalingen;2023;603.0
111;MSZ poliklinische zorg;HF31: Directe eigen betalingen;2021;0.0
112;MSZ poliklinische zorg;HF31: Directe eigen betalingen;2022;0.0
113;MSZ poliklinische zorg;HF31: Directe eigen betalingen;2023;0.0
114;MSZ poliklinische zorg;HF32: Eigen risico en bijdragen;2021;563.0
115;MSZ poliklinische zorg;HF32: Eigen risico en bijdragen;2022;583.0
116;MSZ poliklinische zorg;HF32: Eigen risico en bijdragen;2023;603.0
117;MSZ poliklinische zorg;Overige financieringsvormen;2021;0.0
118;MSZ poliklinische zorg;Overige financieringsvormen;2022;0.0
119;MSZ poliklinische zorg;Overige financieringsvormen;2023;0.0
120;MSZ overige zorg;Totaal alle financieringsvormen;2021;4141.0
121;MSZ overige zorg;Totaal alle financieringsvormen;2022;4611.0
122;MSZ overige zorg;Totaal alle financieringsvormen;2023;4869.0
123;MSZ overige zorg;HF11: Overheid;2021;1393.0
124;MSZ overige zorg;HF11: Overheid;2022;1421.0
125;MSZ overige zorg;HF11: Overheid;2023;1337.0
126;MSZ overige zorg;HF121a: Wlz, AWBZ;2021;0.0
127;MSZ overige zorg;HF121a: Wlz, AWBZ;2022;0.0
128;MSZ overige zorg;HF121a: Wlz, AWBZ;2023;0.0
129;MSZ overige zorg;HF121b: Ziekenfonds;2021;
130;MSZ overige zorg;HF121b: Ziekenfonds;2022;
131;MSZ overige zorg;HF121b: Ziekenfonds;2023;
132;MSZ overige zorg;HF122: Zorgverzekeringswet;2021;1773.0
133;MSZ overige zorg;HF122: Zorgverzekeringswet;2022;1989.0
134;MSZ overige zorg;HF122: Zorgverzekeringswet;2023;2233.0
135;MSZ overige zorg;HF21:Vrijwillige ziektekostenverzekering;2021;18.0
136;MSZ overige zorg;HF21:Vrijwillige ziektekostenverzekering;2022;27.0
137;MSZ overige zorg;HF21:Vrijwillige ziektekostenverzekering;2023;28.0
138;MSZ overige zorg;HF3: Eigen betalingen;2021;906.0
139;MSZ overige zorg;HF3: Eigen betalingen;2022;1101.0
140;MSZ overige zorg;HF3: Eigen betalingen;2023;1197.0
141;MSZ overige zorg;HF31: Directe eigen betalingen;2021;822.0
142;MSZ overige zorg;HF31: Directe eigen betalingen;2022;1018.0
143;MSZ overige zorg;HF31: Directe eigen betalingen;2023;1112.0
144;MSZ overige zorg;HF32: Eigen risico en bijdragen;2021;84.0
145;MSZ overige zorg;HF32: Eigen risico en bijdragen;2022;83.0
146;MSZ overige zorg;HF32: Eigen risico en bijdragen;2023;85.0
147;MSZ overige zorg;Overige financieringsvormen;2021;51.0
148;MSZ overige zorg;Overige financieringsvormen;2022;73.0
149;MSZ overige zorg;Overige financieringsvormen;2023;73.0
150;Geestelijke gezondheidszorg;Totaal alle financieringsvormen;2021;7246.0
151;Geestelijke gezondheidszorg;Totaal alle financieringsvormen;2022;7871.0
152;Geestelijke gezondheidszorg;Totaal alle financieringsvormen;2023;8560.0
153;Geestelijke gezondheidszorg;HF11: Overheid;2021;1490.0
154;Geestelijke gezondheidszorg;HF11: Overheid;2022;1469.0
155;Geestelijke gezondheidszorg;HF11: Overheid;2023;1575.0
156;Geestelijke gezondheidszorg;HF121a: Wlz, AWBZ;2021;390.0
157;Geestelijke gezondheidszorg;HF121a: Wlz, AWBZ;2022;645.0
158;Geestelijke gezondheidszorg;HF121a: Wlz, AWBZ;2023;776.0
159;Geestelijke gezondheidszorg;HF121b: Ziekenfonds;2021;
160;Geestelijke gezondheidszorg;HF121b: Ziekenfonds;2022;
161;Geestelijke gezondheidszorg;HF121b: Ziekenfonds;2023;
162;Geestelijke gezondheidszorg;HF122: Zorgverzekeringswet;2021;4284.0
163;Geestelijke gezondheidszorg;HF122: Zorgverzekeringswet;2022;4520.0
164;Geestelijke gezondheidszorg;HF122: Zorgverzekeringswet;2023;4966.0
165;Geestelijke gezondheidszorg;HF21:Vrijwillige ziektekostenverzekering;2021;0.0
166;Geestelijke gezondheidszorg;HF21:Vrijwillige ziektekostenverzekering;2022;0.0
167;Geestelijke gezondheidszorg;HF21:Vrijwillige ziektekostenverzekering;2023;0.0
168;Geestelijke gezondheidszorg;HF3: Eigen betalingen;2021;1082.0
169;Geestelijke gezondheidszorg;HF3: Eigen betalingen;2022;1238.0
170;Geestelijke gezondheidszorg;HF3: Eigen betalingen;2023;1242.0
171;Geestelijke gezondheidszorg;HF31: Directe eigen betalingen;2021;869.0
172;Geestelijke gezondheidszorg;HF31: Directe eigen betalingen;2022;973.0
173;Geestelijke gezondheidszorg;HF31: Directe eigen betalingen;2023;970.0
174;Geestelijke gezondheidszorg;HF32: Eigen risico en bijdragen;2021;213.0
175;Geestelijke gezondheidszorg;HF32: Eigen risico en bijdragen;2022;264.0
176;Geestelijke gezondheidszorg;HF32: Eigen risico en bijdragen;2023;273.0
177;Geestelijke gezondheidszorg;Overige financieringsvormen;2021;0.0
178;Geestelijke gezondheidszorg;Overige financieringsvormen;2022;0.0
179;Geestelijke gezondheidszorg;Overige financieringsvormen;2023;0.0
180;Huisartsenzorg;Totaal alle financieringsvormen;2021;3289.0
181;Huisartsenzorg;Totaal alle financieringsvormen;2022;3400.0
182;Huisartsenzorg;Totaal alle financieringsvormen;2023;3781.0
183;Huisartsenzorg;HF11: Overheid;2021;32.0
184;Huisartsenzorg;HF11: Overheid;2022;13.0
185;Huisartsenzorg;HF11: Overheid;2023;13.0
186;Huisartsenzorg;HF121a: Wlz, AWBZ;2021;0.0
187;Huisartsenzorg;HF121a: Wlz, AWBZ;2022;0.0
188;Huisartsenzorg;HF121a: Wlz, AWBZ;2023;0.0
189;Huisartsenzorg;HF121b: Ziekenfonds;2021;
190;Huisartsenzorg;HF121b: Ziekenfonds;2022;
191;Huisartsenzorg;HF121b: Ziekenfonds;2023;
192;Huisartsenzorg;HF122: Zorgverzekeringswet;2021;3222.0
193;Huisartsenzorg;HF122: Zorgverzekeringswet;2022;3336.0
194;Huisartsenzorg;HF122: Zorgverzekeringswet;2023;3713.0
195;Huisartsenzorg;HF21:Vrijwillige ziektekostenverzekering;2021;4.0
196;Huisartsenzorg;HF21:Vrijwillige ziektekostenverzekering;2022;8.0
197;Huisartsenzorg;HF21:Vrijwillige ziektekostenverzekering;2023;9.0
198;Huisartsenzorg;HF3: Eigen betalingen;2021;19.0
199;Huisartsenzorg;HF3: Eigen betalingen;2022;26.0
200;Huisartsenzorg;HF3: Eigen betalingen;2023;28.0
201;Huisartsenzorg;HF31: Directe eigen betalingen;2021;14.0
202;Huisartsenzorg;HF31: Directe eigen betalingen;2022;22.0
203;Huisartsenzorg;HF31: Directe eigen betalingen;2023;24.0
204;Huisartsenzorg;HF32: Eigen risico en bijdragen;2021;5.0
205;Huisartsenzorg;HF32: Eigen risico en bijdragen;2022;4.0
206;Huisartsenzorg;HF32: Eigen risico en bijdragen;2023;4.0
207;Huisartsenzorg;Overige financieringsvormen;2021;12.0
208;Huisartsenzorg;Overige financieringsvormen;2022;16.0
209;Huisartsenzorg;Overige financieringsvormen;2023;18.0
210;Mondzorg;Totaal alle financieringsvormen;2021;2493.0
211;Mondzorg;Totaal alle financieringsvormen;2022;2528.0
212;Mondzorg;Totaal alle financieringsvormen;2023;2749.0
213;Mondzorg;HF11: Overheid;2021;20.0
214;Mondzorg;HF11: Overheid;2022;10.0
215;Mondzorg;HF11: Overheid;2023;9.0
216;Mondzorg;HF121a: Wlz, AWBZ;2021;95.0
217;Mondzorg;HF121a: Wlz, AWBZ;2022;103.0
218;Mondzorg;HF121a: Wlz, AWBZ;2023;122.0
219;Mondzorg;HF121b: Ziekenfonds;2021;
220;Mondzorg;HF121b: Ziekenfonds;2022;
221;Mondzorg;HF121b: Ziekenfonds;2023;
222;Mondzorg;HF122: Zorgverzekeringswet;2021;702.0
223;Mondzorg;HF122: Zorgverzekeringswet;2022;742.0
224;Mondzorg;HF122: Zorgverzekeringswet;2023;818.0
225;Mondzorg;HF21:Vrijwillige ziektekostenverzekering;2021;1151.0
226;Mondzorg;HF21:Vrijwillige ziektekostenverzekering;2022;1125.0
227;Mondzorg;HF21:Vrijwillige ziektekostenverzekering;2023;1212.0
228;Mondzorg;HF3: Eigen betalingen;2021;517.0
229;Mondzorg;HF3: Eigen betalingen;2022;538.0
230;Mondzorg;HF3: Eigen betalingen;2023;577.0
231;Mondzorg;HF31: Directe eigen betalingen;2021;416.0
232;Mondzorg;HF31: Directe eigen betalingen;2022;438.0
233;Mondzorg;HF31: Directe eigen betalingen;2023;470.0
234;Mondzorg;HF32: Eigen risico en bijdragen;2021;101.0
235;Mondzorg;HF32: Eigen risico en bijdragen;2022;100.0
236;Mondzorg;HF32: Eigen risico en bijdragen;2023;107.0
237;Mondzorg;Overige financieringsvormen;2021;8.0
238;Mondzorg;Overige financieringsvormen;2022;10.0
239;Mondzorg;Overige financieringsvormen;2023;10.0
240;Paramedische zorg;Totaal alle financieringsvormen;2021;3589.0
241;Paramedische zorg;Totaal alle financieringsvormen;2022;3906.0
242;Paramedische zorg;Totaal alle financieringsvormen;2023;4269.0
243;Paramedische zorg;HF11: Overheid;2021;25.0
244;Paramedische zorg;HF11: Overheid;2022;8.0
245;Paramedische zorg;HF11: Overheid;2023;7.0
246;Paramedische zorg;HF121a: Wlz, AWBZ;2021;0.0
247;Paramedische zorg;HF121a: Wlz, AWBZ;2022;0.0
248;Paramedische zorg;HF121a: Wlz, AWBZ;2023;0.0
249;Paramedische zorg;HF121b: Ziekenfonds;2021;
250;Paramedische zorg;HF121b: Ziekenfonds;2022;
251;Paramedische zorg;HF121b: Ziekenfonds;2023;
252;Paramedische zorg;HF122: Zorgverzekeringswet;2021;903.0
253;Paramedische zorg;HF122: Zorgverzekeringswet;2022;962.0
254;Paramedische zorg;HF122: Zorgverzekeringswet;2023;1048.0
255;Paramedische zorg;HF21:Vrijwillige ziektekostenverzekering;2021;1300.0
256;Paramedische zorg;HF21:Vrijwillige ziektekostenverzekering;2022;1316.0
257;Paramedische zorg;HF21:Vrijwillige ziektekostenverzekering;2023;1419.0
258;Paramedische zorg;HF3: Eigen betalingen;2021;1358.0
259;Paramedische zorg;HF3: Eigen betalingen;2022;1616.0
260;Paramedische zorg;HF3: Eigen betalingen;2023;1791.0
261;Paramedische zorg;HF31: Directe eigen betalingen;2021;1281.0
262;Paramedische zorg;HF31: Directe eigen betalingen;2022;1536.0
263;Paramedische zorg;HF31: Directe eigen betalingen;2023;1708.0
264;Paramedische zorg;HF32: Eigen risico en bijdragen;2021;76.0
265;Paramedische zorg;HF32: Eigen risico en bijdragen;2022;80.0
266;Paramedische zorg;HF32: Eigen risico en bijdragen;2023;83.0
267;Paramedische zorg;Overige financieringsvormen;2021;3.0
268;Paramedische zorg;Overige financieringsvormen;2022;4.0
269;Paramedische zorg;Overige financieringsvormen;2023;4.0
270;Revalidatiezorg;Totaal alle financieringsvormen;2021;1528.0
271;Revalidatiezorg;Totaal alle financieringsvormen;2022;1502.0
272;Revalidatiezorg;Totaal alle financieringsvormen;2023;1638.0
273;Revalidatiezorg;HF11: Overheid;2021;0.0
274;Revalidatiezorg;HF11: Overheid;2022;0.0
275;Revalidatiezorg;HF11: Overheid;2023;0.0
276;Revalidatiezorg;HF121a: Wlz, AWBZ;2021;0.0
277;Revalidatiezorg;HF121a: Wlz, AWBZ;2022;0.0
278;Revalidatiezorg;HF121a: Wlz, AWBZ;2023;0.0
279;Revalidatiezorg;HF121b: Ziekenfonds;2021;
280;Revalidatiezorg;HF121b: Ziekenfonds;2022;
281;Revalidatiezorg;HF121b: Ziekenfonds;2023;
282;Revalidatiezorg;HF122: Zorgverzekeringswet;2021;1468.0
283;Revalidatiezorg;HF122: Zorgverzekeringswet;2022;1441.0
284;Revalidatiezorg;HF122: Zorgverzekeringswet;2023;1575.0
285;Revalidatiezorg;HF21:Vrijwillige ziektekostenverzekering;2021;0.0
286;Revalidatiezorg;HF21:Vrijwillige ziektekostenverzekering;2022;0.0
287;Revalidatiezorg;HF21:Vrijwillige ziektekostenverzekering;2023;0.0
288;Revalidatiezorg;HF3: Eigen betalingen;2021;61.0
289;Revalidatiezorg;HF3: Eigen betalingen;2022;61.0
290;Revalidatiezorg;HF3: Eigen betalingen;2023;63.0
291;Revalidatiezorg;HF31: Directe eigen betalingen;2021;0.0
292;Revalidatiezorg;HF31: Directe eigen betalingen;2022;0.0
293;Revalidatiezorg;HF31: Directe eigen betalingen;2023;0.0
294;Revalidatiezorg;HF32: Eigen risico en bijdragen;2021;61.0
295;Revalidatiezorg;HF32: Eigen risico en bijdragen;2022;61.0
296;Revalidatiezorg;HF32: Eigen risico en bijdragen;2023;63.0
297;Revalidatiezorg;Overige financieringsvormen;2021;0.0
298;Revalidatiezorg;Overige financieringsvormen;2022;0.0
299;Revalidatiezorg;Overige financieringsvormen;2023;0.0
300;Geboortezorg;Totaal alle financieringsvormen;2021;1341.0
301;Geboortezorg;Totaal alle financieringsvormen;2022;1286.0
302;Geboortezorg;Totaal alle financieringsvormen;2023;1399.0
303;Geboortezorg;HF11: Overheid;2021;1.0
304;Geboortezorg;HF11: Overheid;2022;0.0
305;Geboortezorg;HF11: Overheid;2023;0.0
306;Geboortezorg;HF121a: Wlz, AWBZ;2021;0.0
307;Geboortezorg;HF121a: Wlz, AWBZ;2022;0.0
308;Geboortezorg;HF121a: Wlz, AWBZ;2023;0.0
309;Geboortezorg;HF121b: Ziekenfonds;2021;
310;Geboortezorg;HF121b: Ziekenfonds;2022;
311;Geboortezorg;HF121b: Ziekenfonds;2023;
312;Geboortezorg;HF122: Zorgverzekeringswet;2021;1296.0
313;Geboortezorg;HF122: Zorgverzekeringswet;2022;1238.0
314;Geboortezorg;HF122: Zorgverzekeringswet;2023;1348.0
315;Geboortezorg;HF21:Vrijwillige ziektekostenverzekering;2021;15.0
316;Geboortezorg;HF21:Vrijwillige ziektekostenverzekering;2022;17.0
317;Geboortezorg;HF21:Vrijwillige ziektekostenverzekering;2023;18.0
318;Geboortezorg;HF3: Eigen betalingen;2021;30.0
319;Geboortezorg;HF3: Eigen betalingen;2022;30.0
320;Geboortezorg;HF3: Eigen betalingen;2023;33.0
321;Geboortezorg;HF31: Directe eigen betalingen;2021;10.0
322;Geboortezorg;HF31: Directe eigen betalingen;2022;10.0
323;Geboortezorg;HF31: Directe eigen betalingen;2023;11.0
324;Geboortezorg;HF32: Eigen risico en bijdragen;2021;20.0
325;Geboortezorg;HF32: Eigen risico en bijdragen;2022;20.0
326;Geboortezorg;HF32: Eigen risico en bijdragen;2023;22.0
327;Geboortezorg;Overige financieringsvormen;2021;0.0
328;Geboortezorg;Overige financieringsvormen;2022;0.0
329;Geboortezorg;Overige financieringsvormen;2023;0.0
330;Ketenzorg;Totaal alle financieringsvormen;2021;667.0
331;Ketenzorg;Totaal alle financieringsvormen;2022;693.0
332;Ketenzorg;Totaal alle financieringsvormen;2023;771.0
333;Ketenzorg;HF11: Overheid;2021;0.0
334;Ketenzorg;HF11: Overheid;2022;0.0
335;Ketenzorg;HF11: Overheid;2023;0.0
336;Ketenzorg;HF121a: Wlz, AWBZ;2021;0.0
337;Ketenzorg;HF121a: Wlz, AWBZ;2022;0.0
338;Ketenzorg;HF121a: Wlz, AWBZ;2023;0.0
339;Ketenzorg;HF121b: Ziekenfonds;2021;
340;Ketenzorg;HF121b: Ziekenfonds;2022;
341;Ketenzorg;HF121b: Ziekenfonds;2023;
342;Ketenzorg;HF122: Zorgverzekeringswet;2021;667.0
343;Ketenzorg;HF122: Zorgverzekeringswet;2022;693.0
344;Ketenzorg;HF122: Zorgverzekeringswet;2023;771.0
345;Ketenzorg;HF21:Vrijwillige ziektekostenverzekering;2021;0.0
346;Ketenzorg;HF21:Vrijwillige ziektekostenverzekering;2022;0.0
347;Ketenzorg;HF21:Vrijwillige ziektekostenverzekering;2023;0.0
348;Ketenzorg;HF3: Eigen betalingen;2021;0.0
349;Ketenzorg;HF3: Eigen betalingen;2022;0.0
350;Ketenzorg;HF3: Eigen betalingen;2023;0.0
351;Ketenzorg;HF31: Directe eigen betalingen;2021;0.0
352;Ketenzorg;HF31: Directe eigen betalingen;2022;0.0
353;Ketenzorg;HF31: Directe eigen betalingen;2023;0.0
354;Ketenzorg;HF32: Eigen risico en bijdragen;2021;0.0
355;Ketenzorg;HF32: Eigen risico en bijdragen;2022;0.0
356;Ketenzorg;HF32: Eigen risico en bijdragen;2023;0.0
357;Ketenzorg;Overige financieringsvormen;2021;0.0
358;Ketenzorg;Overige financieringsvormen;2022;0.0
359;Ketenzorg;Overige financieringsvormen;2023;0.0
360;Preventieve zorg;Totaal alle financieringsvormen;2021;10196.0
361;Preventieve zorg;Totaal alle financieringsvormen;2022;7416.0
362;Preventieve zorg;Totaal alle financieringsvormen;2023;5994.0
363;Preventieve zorg;HF11: Overheid;2021;7201.0
364;Preventieve zorg;HF11: Overheid;2022;4364.0
365;Preventieve zorg;HF11: Overheid;2023;2692.0
366;Preventieve zorg;HF121a: Wlz, AWBZ;2021;0.0
367;Preventieve zorg;HF121a: Wlz, AWBZ;2022;0.0
368;Preventieve zorg;HF121a: Wlz, AWBZ;2023;0.0
369;Preventieve zorg;HF121b: Ziekenfonds;2021;
370;Preventieve zorg;HF121b: Ziekenfonds;2022;
371;Preventieve zorg;HF121b: Ziekenfonds;2023;
372;Preventieve zorg;HF122: Zorgverzekeringswet;2021;379.0
373;Preventieve zorg;HF122: Zorgverzekeringswet;2022;388.0
374;Preventieve zorg;HF122: Zorgverzekeringswet;2023;432.0
375;Preventieve zorg;HF21:Vrijwillige ziektekostenverzekering;2021;717.0
376;Preventieve zorg;HF21:Vrijwillige ziektekostenverzekering;2022;718.0
377;Preventieve zorg;HF21:Vrijwillige ziektekostenverzekering;2023;774.0
378;Preventieve zorg;HF3: Eigen betalingen;2021;546.0
379;Preventieve zorg;HF3: Eigen betalingen;2022;536.0
380;Preventieve zorg;HF3: Eigen betalingen;2023;570.0
381;Preventieve zorg;HF31: Directe eigen betalingen;2021;518.0
382;Preventieve zorg;HF31: Directe eigen betalingen;2022;509.0
383;Preventieve zorg;HF31: Directe eigen betalingen;2023;543.0
384;Preventieve zorg;HF32: Eigen risico en bijdragen;2021;28.0
385;Preventieve zorg;HF32: Eigen risico en bijdragen;2022;27.0
386;Preventieve zorg;HF32: Eigen risico en bijdragen;2023;28.0
387;Preventieve zorg;Overige financieringsvormen;2021;1353.0
388;Preventieve zorg;Overige financieringsvormen;2022;1410.0
389;Preventieve zorg;Overige financieringsvormen;2023;1526.0
390;Geneesmiddelen;Totaal alle financieringsvormen;2021;8986.0
391;Geneesmiddelen;Totaal alle financieringsvormen;2022;9474.0
392;Geneesmiddelen;Totaal alle financieringsvormen;2023;9860.0
393;Geneesmiddelen;HF11: Overheid;2021;23.0
394;Geneesmiddelen;HF11: Overheid;2022;16.0
395;Geneesmiddelen;HF11: Overheid;2023;16.0
396;Geneesmiddelen;HF121a: Wlz, AWBZ;2021;0.0
397;Geneesmiddelen;HF121a: Wlz, AWBZ;2022;0.0
398;Geneesmiddelen;HF121a: Wlz, AWBZ;2023;0.0
399;Geneesmiddelen;HF121b: Ziekenfonds;2021;
400;Geneesmiddelen;HF121b: Ziekenfonds;2022;
401;Geneesmiddelen;HF121b: Ziekenfonds;2023;
402;Geneesmiddelen;HF122: Zorgverzekeringswet;2021;6818.0
