ID;Geslacht;Onderwijssoort;Regiokenmerken;Perioden;Gediplomeerden_1
23;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2021/'22;16250.0
24;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2022/'23;15290.0
25;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Nederland (LD);2023/'24;16080.0
26;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2011/'12;37330.0
27;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2012/'13;38860.0
28;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2013/'14;39780.0
29;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2014/'15;40950.0
30;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2015/'16;42040.0
31;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2016/'17;43110.0
32;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2017/'18;42990.0
33;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2018/'19;42530.0
34;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2019/'20;44550.0
35;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2020/'21;41510.0
36;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2021/'22;38640.0
37;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2022/'23;36150.0
38;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Nederland (LD);2023/'24;37440.0
39;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2011/'12;73960.0
40;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2012/'13;76120.0
41;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2013/'14;77680.0
42;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2014/'15;80400.0
43;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2015/'16;83300.0
44;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2016/'17;83740.0
45;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2017/'18;83810.0
46;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2018/'19;82900.0
47;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2019/'20;88400.0
48;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2020/'21;82510.0
49;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2021/'22;78890.0
50;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2022/'23;73260.0
51;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);West-Nederland (LD);2023/'24;77100.0
52;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2011/'12;36420.0
53;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2012/'13;36350.0
54;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2013/'14;36910.0
55;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2014/'15;38180.0
56;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2015/'16;38590.0
57;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2016/'17;38380.0
58;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2017/'18;37450.0
59;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2018/'19;36820.0
60;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2019/'20;38560.0
61;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2020/'21;35630.0
62;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2021/'22;33420.0
63;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2022/'23;30810.0
64;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Nederland (LD);2023/'24;32750.0
65;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2011/'12;350.0
66;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2012/'13;330.0
67;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2013/'14;350.0
68;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2014/'15;310.0
69;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2015/'16;340.0
70;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2016/'17;360.0
71;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2017/'18;350.0
72;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2018/'19;350.0
73;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2019/'20;380.0
74;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2020/'21;360.0
75;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2021/'22;340.0
76;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2022/'23;350.0
77;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (LD);2023/'24;360.0
78;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2011/'12;5110.0
79;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2012/'13;5140.0
80;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2013/'14;5240.0
81;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2014/'15;5540.0
82;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2015/'16;5660.0
83;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2016/'17;5610.0
84;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2017/'18;5490.0
85;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2018/'19;5470.0
86;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2019/'20;5590.0
87;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2020/'21;5240.0
88;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2021/'22;4740.0
89;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2022/'23;4510.0
90;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Groningen (PV);2023/'24;4590.0
91;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2011/'12;6950.0
92;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2012/'13;7120.0
93;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2013/'14;7130.0
94;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2014/'15;7480.0
95;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2015/'16;7770.0
96;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2016/'17;7550.0
97;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2017/'18;7510.0
98;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2018/'19;7220.0
99;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2019/'20;7720.0
100;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2020/'21;6960.0
101;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2021/'22;6490.0
102;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2022/'23;6160.0
103;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Fryslân (PV);2023/'24;6520.0
104;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2011/'12;5360.0
105;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2012/'13;5380.0
106;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2013/'14;5600.0
107;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2014/'15;6030.0
108;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2015/'16;5950.0
109;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2016/'17;6010.0
110;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2017/'18;5880.0
111;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2018/'19;5770.0
112;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2019/'20;5890.0
113;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2020/'21;5480.0
114;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2021/'22;5020.0
115;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2022/'23;4620.0
116;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Drenthe (PV);2023/'24;4970.0
117;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2011/'12;11840.0
118;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2012/'13;12340.0
119;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2013/'14;12610.0
120;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2014/'15;13230.0
121;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2015/'16;13620.0
122;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2016/'17;14050.0
123;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2017/'18;13770.0
124;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2018/'19;13840.0
125;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2019/'20;14660.0
126;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2020/'21;13880.0
127;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2021/'22;12870.0
128;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2022/'23;11980.0
129;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Overijssel (PV);2023/'24;12560.0
130;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2011/'12;4450.0
131;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2012/'13;4600.0
132;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2013/'14;4830.0
133;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2014/'15;4830.0
134;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2015/'16;4950.0
135;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2016/'17;4980.0
136;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2017/'18;5000.0
137;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2018/'19;4880.0
138;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2019/'20;5200.0
139;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2020/'21;4800.0
140;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2021/'22;4490.0
141;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2022/'23;4230.0
142;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Flevoland (PV);2023/'24;4370.0
143;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2011/'12;21040.0
144;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2012/'13;21920.0
145;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2013/'14;22350.0
146;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2014/'15;22900.0
147;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2015/'16;23470.0
148;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2016/'17;24080.0
149;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2017/'18;24210.0
150;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2018/'19;23820.0
151;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2019/'20;24700.0
152;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2020/'21;22830.0
153;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2021/'22;21280.0
154;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2022/'23;19950.0
155;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Gelderland (PV);2023/'24;20500.0
156;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2011/'12;11920.0
157;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2012/'13;12070.0
158;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2013/'14;12850.0
159;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2014/'15;13130.0
160;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2015/'16;13950.0
161;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2016/'17;14320.0
162;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2017/'18;14310.0
163;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2018/'19;14330.0
164;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2019/'20;15780.0
165;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2020/'21;14740.0
166;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2021/'22;14220.0
167;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2022/'23;13100.0
168;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Utrecht (PV);2023/'24;13980.0
169;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2011/'12;24220.0
170;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2012/'13;24960.0
171;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2013/'14;25660.0
172;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2014/'15;26880.0
173;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2015/'16;28090.0
174;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2016/'17;28150.0
175;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2017/'18;28140.0
176;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2018/'19;27560.0
177;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2019/'20;29580.0
178;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2020/'21;27760.0
179;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2021/'22;26410.0
180;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2022/'23;24400.0
181;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Holland (PV);2023/'24;25580.0
182;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2011/'12;33680.0
183;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2012/'13;34880.0
184;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2013/'14;35010.0
185;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2014/'15;36150.0
186;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2015/'16;36830.0
187;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2016/'17;37020.0
188;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2017/'18;37340.0
189;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2018/'19;37100.0
190;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2019/'20;38950.0
191;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2020/'21;36250.0
192;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2021/'22;34670.0
193;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2022/'23;32470.0
194;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zuid-Holland (PV);2023/'24;34140.0
195;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2011/'12;4150.0
196;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2012/'13;4220.0
197;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2013/'14;4160.0
198;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2014/'15;4260.0
199;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2015/'16;4430.0
200;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2016/'17;4260.0
201;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2017/'18;4020.0
202;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2018/'19;3910.0
203;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2019/'20;4080.0
204;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2020/'21;3760.0
205;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2021/'22;3600.0
206;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2022/'23;3290.0
207;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Zeeland (PV);2023/'24;3410.0
208;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2011/'12;25710.0
209;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2012/'13;25660.0
210;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2013/'14;26080.0
211;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2014/'15;27320.0
212;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2015/'16;27650.0
213;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2016/'17;27510.0
214;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2017/'18;26990.0
215;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2018/'19;26780.0
216;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2019/'20;28190.0
217;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2020/'21;25970.0
218;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2021/'22;24490.0
219;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2022/'23;22600.0
220;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Noord-Brabant (PV);2023/'24;24110.0
221;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2011/'12;10710.0
222;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2012/'13;10690.0
223;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2013/'14;10840.0
224;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2014/'15;10870.0
225;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2015/'16;10940.0
226;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2016/'17;10870.0
227;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2017/'18;10460.0
228;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2018/'19;10040.0
229;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2019/'20;10370.0
230;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2020/'21;9660.0
231;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2021/'22;8930.0
232;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2022/'23;8210.0
233;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Limburg (PV);2023/'24;8640.0
234;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2011/'12;350.0
235;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2012/'13;330.0
236;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2013/'14;350.0
237;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2014/'15;310.0
238;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2015/'16;340.0
239;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2016/'17;360.0
240;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2017/'18;350.0
241;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2018/'19;350.0
242;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2019/'20;380.0
243;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2020/'21;360.0
244;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2021/'22;340.0
245;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2022/'23;350.0
246;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Niet in te delen (PV);2023/'24;360.0
247;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Groningen (CR);2011/'12;1460.0
248;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Groningen (CR);2012/'13;1480.0
249;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Groningen (CR);2013/'14;1450.0
250;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Groningen (CR);2014/'15;1550.0
251;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Groningen (CR);2015/'16;1640.0
252;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Oost-Groningen (CR);2016/'17;1660.0
