ID;Geslacht;Herkomstgroepering;Perioden;TotaalOpnamen_1;Dagopnamen_2;KlinischeOpnamen_3;Verpleegduur_4
21;Totaal mannen en vrouwen;Turken;1995;13.4;4.2;9.2;6.9
22;Totaal mannen en vrouwen;Turken;1996;13.9;4.5;9.3;6.8
23;Totaal mannen en vrouwen;Turken;1997;13.8;4.8;9.0;6.6
24;Totaal mannen en vrouwen;Turken;1998;13.6;4.9;8.7;6.3
25;Totaal mannen en vrouwen;Turken;1999;13.4;5.0;8.4;5.9
26;Totaal mannen en vrouwen;Turken;2000;13.0;5.0;8.0;5.8
27;Totaal mannen en vrouwen;Turken;2001;13.5;5.6;7.8;5.4
28;Totaal mannen en vrouwen;Surinamers;1995;11.7;3.7;8.0;7.4
29;Totaal mannen en vrouwen;Surinamers;1996;11.9;3.9;8.0;7.7
30;Totaal mannen en vrouwen;Surinamers;1997;11.7;3.9;7.8;7.4
31;Totaal mannen en vrouwen;Surinamers;1998;11.7;4.2;7.5;6.8
32;Totaal mannen en vrouwen;Surinamers;1999;11.7;4.2;7.6;6.5
33;Totaal mannen en vrouwen;Surinamers;2000;11.2;4.1;7.2;6.5
34;Totaal mannen en vrouwen;Surinamers;2001;11.7;4.6;7.1;6.3
35;Totaal mannen en vrouwen;Antillianen/Arubanen;1995;12.1;4.0;8.2;7.0
36;Totaal mannen en vrouwen;Antillianen/Arubanen;1996;11.5;3.8;7.7;7.2
37;Totaal mannen en vrouwen;Antillianen/Arubanen;1997;11.7;3.9;7.9;7.1
38;Totaal mannen en vrouwen;Antillianen/Arubanen;1998;11.8;4.1;7.7;6.7
39;Totaal mannen en vrouwen;Antillianen/Arubanen;1999;11.7;3.9;7.8;6.4
40;Totaal mannen en vrouwen;Antillianen/Arubanen;2000;11.2;3.8;7.4;6.7
41;Totaal mannen en vrouwen;Antillianen/Arubanen;2001;11.8;4.3;7.5;6.1
42;Totaal mannen en vrouwen;Overig niet-westers;1995;10.7;3.2;7.5;7.0
43;Totaal mannen en vrouwen;Overig niet-westers;1996;11.0;3.4;7.6;7.0
44;Totaal mannen en vrouwen;Overig niet-westers;1997;11.1;3.6;7.6;6.9
45;Totaal mannen en vrouwen;Overig niet-westers;1998;11.3;3.8;7.5;6.6
46;Totaal mannen en vrouwen;Overig niet-westers;1999;11.1;3.9;7.3;6.4
47;Totaal mannen en vrouwen;Overig niet-westers;2000;10.8;3.8;7.0;6.1
48;Totaal mannen en vrouwen;Overig niet-westers;2001;10.9;4.1;6.9;5.8
49;Totaal mannen en vrouwen;Totaal westers;1995;9.9;3.4;6.4;6.8
50;Totaal mannen en vrouwen;Totaal westers;1996;9.9;3.6;6.3;6.9
51;Totaal mannen en vrouwen;Totaal westers;1997;9.9;3.6;6.3;6.6
52;Totaal mannen en vrouwen;Totaal westers;1998;9.8;3.7;6.2;6.5
53;Totaal mannen en vrouwen;Totaal westers;1999;9.7;3.6;6.1;6.0
54;Totaal mannen en vrouwen;Totaal westers;2000;9.5;3.6;5.9;5.8
55;Totaal mannen en vrouwen;Totaal westers;2001;9.5;3.7;5.7;5.6
56;Mannen;Totaal herkomstgroepering;1995;9.7;3.4;6.3;6.9
57;Mannen;Totaal herkomstgroepering;1996;9.7;3.7;6.0;6.9
58;Mannen;Totaal herkomstgroepering;1997;9.2;3.6;5.6;6.7
59;Mannen;Totaal herkomstgroepering;1998;9.3;3.6;5.8;6.5
60;Mannen;Totaal herkomstgroepering;1999;8.8;3.5;5.3;6.3
61;Mannen;Totaal herkomstgroepering;2000;8.7;3.5;5.3;6.0
62;Mannen;Totaal herkomstgroepering;2001;9.0;3.8;5.1;5.9
63;Mannen;Autochtonen;1995;9.3;3.6;5.7;6.8
64;Mannen;Autochtonen;1996;9.3;3.7;5.6;6.8
65;Mannen;Autochtonen;1997;9.2;3.7;5.6;6.6
66;Mannen;Autochtonen;1998;9.2;3.8;5.4;6.4
67;Mannen;Autochtonen;1999;8.9;3.7;5.2;6.2
68;Mannen;Autochtonen;2000;8.8;3.8;5.0;6.0
69;Mannen;Autochtonen;2001;8.9;3.9;5.0;5.8
70;Mannen;Marokkanen;1995;9.9;3.7;6.3;7.2
71;Mannen;Marokkanen;1996;9.9;3.7;6.2;6.9
72;Mannen;Marokkanen;1997;9.8;4.0;5.8;7.3
73;Mannen;Marokkanen;1998;10.0;4.1;5.9;6.6
74;Mannen;Marokkanen;1999;9.8;4.2;5.6;6.6
75;Mannen;Marokkanen;2000;9.9;4.2;5.7;6.7
76;Mannen;Marokkanen;2001;9.9;4.7;5.2;6.3
77;Mannen;Turken;1995;11.4;4.1;7.4;7.0
78;Mannen;Turken;1996;12.3;4.5;7.7;6.8
79;Mannen;Turken;1997;12.3;4.8;7.5;6.7
80;Mannen;Turken;1998;11.9;4.8;7.2;6.7
81;Mannen;Turken;1999;11.8;4.8;6.9;6.0
82;Mannen;Turken;2000;11.6;4.9;6.7;5.7
83;Mannen;Turken;2001;12.3;5.7;6.6;5.6
84;Mannen;Surinamers;1995;9.6;3.3;6.3;7.6
85;Mannen;Surinamers;1996;9.8;3.4;6.4;8.1
86;Mannen;Surinamers;1997;9.6;3.4;6.2;7.9
87;Mannen;Surinamers;1998;9.6;3.7;5.9;7.4
88;Mannen;Surinamers;1999;9.4;3.5;5.9;7.0
89;Mannen;Surinamers;2000;9.2;3.6;5.5;7.0
90;Mannen;Surinamers;2001;9.6;4.1;5.5;6.6
91;Mannen;Antillianen/Arubanen;1995;10.3;3.9;6.4;7.5
92;Mannen;Antillianen/Arubanen;1996;9.4;3.3;6.2;8.2
93;Mannen;Antillianen/Arubanen;1997;9.4;3.2;6.2;7.5
94;Mannen;Antillianen/Arubanen;1998;9.5;3.5;5.9;7.8
95;Mannen;Antillianen/Arubanen;1999;9.5;3.3;6.2;7.1
96;Mannen;Antillianen/Arubanen;2000;9.0;3.2;5.8;6.9
97;Mannen;Antillianen/Arubanen;2001;9.0;3.4;5.6;6.7
98;Mannen;Overig niet-westers;1995;8.7;2.9;5.8;7.5
99;Mannen;Overig niet-westers;1996;9.0;3.2;5.8;7.2
100;Mannen;Overig niet-westers;1997;9.1;3.3;5.8;7.4
101;Mannen;Overig niet-westers;1998;9.2;3.5;5.7;6.9
102;Mannen;Overig niet-westers;1999;9.1;3.6;5.5;6.9
103;Mannen;Overig niet-westers;2000;8.9;3.6;5.3;6.4
104;Mannen;Overig niet-westers;2001;8.9;3.8;5.1;6.0
105;Mannen;Totaal westers;1995;8.5;3.1;5.4;6.9
106;Mannen;Totaal westers;1996;8.6;3.3;5.2;7.1
107;Mannen;Totaal westers;1997;8.4;3.3;5.1;6.7
108;Mannen;Totaal westers;1998;8.3;3.3;5.0;6.7
109;Mannen;Totaal westers;1999;8.1;3.2;4.9;6.2
110;Mannen;Totaal westers;2000;7.9;3.2;4.7;6.0
111;Mannen;Totaal westers;2001;7.9;3.3;4.6;5.9
112;Vrouwen;Totaal herkomstgroepering;1995;13.1;3.8;9.3;6.8
113;Vrouwen;Totaal herkomstgroepering;1996;13.7;4.1;9.5;6.8
114;Vrouwen;Totaal herkomstgroepering;1997;13.3;4.1;9.2;6.5
115;Vrouwen;Totaal herkomstgroepering;1998;13.1;4.2;8.9;6.3
116;Vrouwen;Totaal herkomstgroepering;1999;12.8;4.5;8.3;6.0
117;Vrouwen;Totaal herkomstgroepering;2000;13.1;4.3;8.8;5.7
118;Vrouwen;Totaal herkomstgroepering;2001;13.8;5.0;8.7;5.5
119;Vrouwen;Autochtonen;1995;12.2;4.2;8.0;6.8
120;Vrouwen;Autochtonen;1996;12.4;4.4;8.0;6.7
121;Vrouwen;Autochtonen;1997;12.4;4.4;8.0;6.5
122;Vrouwen;Autochtonen;1998;12.5;4.5;8.0;6.2
123;Vrouwen;Autochtonen;1999;12.4;4.5;7.9;5.9
124;Vrouwen;Autochtonen;2000;12.3;4.5;7.7;5.7
125;Vrouwen;Autochtonen;2001;12.6;4.9;7.7;5.5
126;Vrouwen;Marokkanen;1995;14.2;3.1;11.1;6.9
127;Vrouwen;Marokkanen;1996;14.5;3.5;11.0;6.8
128;Vrouwen;Marokkanen;1997;14.5;3.9;10.6;6.4
129;Vrouwen;Marokkanen;1998;14.7;4.1;10.6;6.1
130;Vrouwen;Marokkanen;1999;14.3;4.5;9.8;5.8
131;Vrouwen;Marokkanen;2000;14.1;4.0;10.1;5.4
132;Vrouwen;Marokkanen;2001;14.9;5.0;10.0;5.2
133;Vrouwen;Turken;1995;15.5;4.3;11.1;6.8
134;Vrouwen;Turken;1996;15.6;4.5;11.0;6.7
135;Vrouwen;Turken;1997;15.4;4.9;10.5;6.6
136;Vrouwen;Turken;1998;15.3;5.1;10.2;6.0
137;Vrouwen;Turken;1999;15.0;5.2;9.8;5.8
138;Vrouwen;Turken;2000;14.5;5.1;9.4;5.8
139;Vrouwen;Turken;2001;14.7;5.6;9.2;5.3
140;Vrouwen;Surinamers;1995;14.0;4.2;9.8;7.2
141;Vrouwen;Surinamers;1996;14.1;4.3;9.8;7.3
142;Vrouwen;Surinamers;1997;13.9;4.4;9.5;7.0
143;Vrouwen;Surinamers;1998;13.8;4.7;9.2;6.4
144;Vrouwen;Surinamers;1999;14.1;4.8;9.3;6.2
145;Vrouwen;Surinamers;2000;13.3;4.5;8.9;6.2
146;Vrouwen;Surinamers;2001;13.8;5.0;8.8;6.0
147;Vrouwen;Antillianen/Arubanen;1995;14.0;4.0;10.0;6.6
148;Vrouwen;Antillianen/Arubanen;1996;13.6;4.3;9.3;6.5
149;Vrouwen;Antillianen/Arubanen;1997;14.2;4.5;9.6;6.7
150;Vrouwen;Antillianen/Arubanen;1998;14.3;4.7;9.6;6.0
151;Vrouwen;Antillianen/Arubanen;1999;14.1;4.5;9.6;5.9
152;Vrouwen;Antillianen/Arubanen;2000;13.4;4.4;9.0;6.6
153;Vrouwen;Antillianen/Arubanen;2001;14.6;5.1;9.5;5.7
154;Vrouwen;Overig niet-westers;1995;12.8;3.5;9.3;6.7
155;Vrouwen;Overig niet-westers;1996;13.1;3.6;9.5;6.8
156;Vrouwen;Overig niet-westers;1997;13.2;3.8;9.4;6.6
157;Vrouwen;Overig niet-westers;1998;13.4;4.0;9.3;6.3
158;Vrouwen;Overig niet-westers;1999;13.2;4.1;9.1;6.1
159;Vrouwen;Overig niet-westers;2000;12.8;4.0;8.8;5.9
160;Vrouwen;Overig niet-westers;2001;13.0;4.3;8.7;5.6
161;Vrouwen;Totaal westers;1995;11.3;3.7;7.5;6.7
162;Vrouwen;Totaal westers;1996;11.3;3.9;7.4;6.7
163;Vrouwen;Totaal westers;1997;11.5;3.9;7.5;6.5
164;Vrouwen;Totaal westers;1998;11.4;4.1;7.4;6.4
165;Vrouwen;Totaal westers;1999;11.3;4.0;7.3;5.9
166;Vrouwen;Totaal westers;2000;11.1;3.9;7.2;5.6
167;Vrouwen;Totaal westers;2001;11.1;4.1;7.0;5.4
