ID;MunicipalLevies;Regions;Periods;MunicipalTaxesIn1000Euros_1;MunicipalTaxesEuroInhabitant_2
51;Total municipal tax;Alblasserdam;2023;13131.0;645.0
52;Total municipal tax;Alblasserdam;2024;14014.0;690.0
53;Total municipal tax;Alblasserdam;2025;14872.0;734.0
54;Total municipal tax;Albrandswaard;2017;12152.0;484.0
55;Total municipal tax;Albrandswaard;2018;12600.0;499.0
56;Total municipal tax;Albrandswaard;2019;12824.0;507.0
57;Total municipal tax;Albrandswaard;2020;13725.0;536.0
58;Total municipal tax;Albrandswaard;2021;14829.0;575.0
59;Total municipal tax;Albrandswaard;2022;15408.0;594.0
60;Total municipal tax;Albrandswaard;2023;15862.0;602.0
61;Total municipal tax;Albrandswaard;2024;16667.0;631.0
62;Total municipal tax;Albrandswaard;2025;17421.0;653.0
63;Total municipal tax;Alkmaar;2017;56986.0;526.0
64;Total municipal tax;Alkmaar;2018;58933.0;543.0
65;Total municipal tax;Alkmaar;2019;59652.0;549.0
66;Total municipal tax;Alkmaar;2020;63016.0;576.0
67;Total municipal tax;Alkmaar;2021;63994.0;582.0
68;Total municipal tax;Alkmaar;2022;63696.0;575.0
69;Total municipal tax;Alkmaar;2023;69014.0;617.0
70;Total municipal tax;Alkmaar;2024;75747.0;674.0
71;Total municipal tax;Alkmaar;2025;82562.0;732.0
72;Total municipal tax;Almelo;2017;43400.0;599.0
73;Total municipal tax;Almelo;2018;43758.0;603.0
74;Total municipal tax;Almelo;2019;44285.0;608.0
75;Total municipal tax;Almelo;2020;46498.0;636.0
76;Total municipal tax;Almelo;2021;48613.0;665.0
77;Total municipal tax;Almelo;2022;49228.0;673.0
78;Total municipal tax;Almelo;2023;51311.0;694.0
79;Total municipal tax;Almelo;2024;53488.0;719.0
80;Total municipal tax;Almelo;2025;56208.0;752.0
81;Total municipal tax;Almere;2017;102928.0;512.0
82;Total municipal tax;Almere;2018;110285.0;541.0
83;Total municipal tax;Almere;2019;114359.0;550.0
84;Total municipal tax;Almere;2020;120758.0;570.0
85;Total municipal tax;Almere;2021;126427.0;589.0
86;Total municipal tax;Almere;2022;132362.0;608.0
87;Total municipal tax;Almere;2023;141187.0;633.0
88;Total municipal tax;Almere;2024;156443.0;690.0
89;Total municipal tax;Almere;2025;180351.0;786.0
90;Total municipal tax;Alphen aan den Rijn;2017;53567.0;492.0
91;Total municipal tax;Alphen aan den Rijn;2018;54367.0;496.0
92;Total municipal tax;Alphen aan den Rijn;2019;54913.0;495.0
93;Total municipal tax;Alphen aan den Rijn;2020;55705.0;498.0
94;Total municipal tax;Alphen aan den Rijn;2021;58977.0;524.0
95;Total municipal tax;Alphen aan den Rijn;2022;58880.0;522.0
96;Total municipal tax;Alphen aan den Rijn;2023;63536.0;556.0
97;Total municipal tax;Alphen aan den Rijn;2024;65902.0;573.0
98;Total municipal tax;Alphen aan den Rijn;2025;74761.0;646.0
99;Total municipal tax;Alphen-Chaam;2017;5217.0;519.0
100;Total municipal tax;Alphen-Chaam;2018;5205.0;516.0
101;Total municipal tax;Alphen-Chaam;2019;5299.0;523.0
102;Total municipal tax;Alphen-Chaam;2020;5537.0;542.0
103;Total municipal tax;Alphen-Chaam;2021;5862.0;565.0
104;Total municipal tax;Alphen-Chaam;2022;6060.0;581.0
105;Total municipal tax;Alphen-Chaam;2023;6275.0;600.0
106;Total municipal tax;Alphen-Chaam;2024;6295.0;600.0
107;Total municipal tax;Alphen-Chaam;2025;7033.0;670.0
108;Total municipal tax;Altena;2017;;
109;Total municipal tax;Altena;2018;;
110;Total municipal tax;Altena;2019;23265.0;420.0
111;Total municipal tax;Altena;2020;23698.0;423.0
112;Total municipal tax;Altena;2021;24350.0;432.0
113;Total municipal tax;Altena;2022;26617.0;467.0
114;Total municipal tax;Altena;2023;28508.0;494.0
115;Total municipal tax;Altena;2024;31878.0;547.0
116;Total municipal tax;Altena;2025;33354.0;568.0
117;Total municipal tax;Ameland;2017;7537.0;2075.0
118;Total municipal tax;Ameland;2018;7607.0;2082.0
119;Total municipal tax;Ameland;2019;7637.0;2079.0
120;Total municipal tax;Ameland;2020;8257.0;2221.0
121;Total municipal tax;Ameland;2021;8562.0;2285.0
122;Total municipal tax;Ameland;2022;8601.0;2291.0
123;Total municipal tax;Ameland;2023;9263.0;2410.0
124;Total municipal tax;Ameland;2024;10191.0;2659.0
125;Total municipal tax;Ameland;2025;10614.0;2781.0
126;Total municipal tax;Amersfoort;2017;84406.0;547.0
127;Total municipal tax;Amersfoort;2018;88184.0;568.0
128;Total municipal tax;Amersfoort;2019;91374.0;585.0
129;Total municipal tax;Amersfoort;2020;95014.0;604.0
130;Total municipal tax;Amersfoort;2021;101832.0;647.0
131;Total municipal tax;Amersfoort;2022;104676.0;660.0
132;Total municipal tax;Amersfoort;2023;113208.0;704.0
133;Total municipal tax;Amersfoort;2024;119980.0;741.0
134;Total municipal tax;Amersfoort;2025;124460.0;763.0
135;Total municipal tax;Amstelveen;2017;46739.0;523.0
136;Total municipal tax;Amstelveen;2018;48290.0;537.0
137;Total municipal tax;Amstelveen;2019;49205.0;542.0
138;Total municipal tax;Amstelveen;2020;53259.0;581.0
139;Total municipal tax;Amstelveen;2021;55867.0;616.0
140;Total municipal tax;Amstelveen;2022;57095.0;618.0
141;Total municipal tax;Amstelveen;2023;61039.0;646.0
142;Total municipal tax;Amstelveen;2024;68632.0;722.0
143;Total municipal tax;Amstelveen;2025;72926.0;760.0
144;Total municipal tax;Amsterdam;2017;691520.0;815.0
145;Total municipal tax;Amsterdam;2018;760809.0;889.0
146;Total municipal tax;Amsterdam;2019;873929.0;1012.0
147;Total municipal tax;Amsterdam;2020;1039255.0;1191.0
148;Total municipal tax;Amsterdam;2021;1014603.0;1162.0
149;Total municipal tax;Amsterdam;2022;1060612.0;1200.0
150;Total municipal tax;Amsterdam;2023;1189374.0;1291.0
151;Total municipal tax;Amsterdam;2024;1352177.0;1446.0
152;Total municipal tax;Amsterdam;2025;1546738.0;1651.0
153;Total municipal tax;Apeldoorn;2017;92467.0;578.0
154;Total municipal tax;Apeldoorn;2018;101574.0;630.0
155;Total municipal tax;Apeldoorn;2019;103571.0;638.0
156;Total municipal tax;Apeldoorn;2020;111231.0;679.0
157;Total municipal tax;Apeldoorn;2021;113636.0;690.0
158;Total municipal tax;Apeldoorn;2022;107732.0;651.0
159;Total municipal tax;Apeldoorn;2023;111168.0;665.0
160;Total municipal tax;Apeldoorn;2024;117260.0;697.0
161;Total municipal tax;Apeldoorn;2025;120519.0;715.0
162;Total municipal tax;Appingedam;2017;6417.0;536.0
163;Total municipal tax;Appingedam;2018;6629.0;561.0
164;Total municipal tax;Appingedam;2019;6855.0;585.0
165;Total municipal tax;Appingedam;2020;7188.0;617.0
166;Total municipal tax;Appingedam;2021;;
167;Total municipal tax;Appingedam;2022;;
168;Total municipal tax;Appingedam;2023;;
169;Total municipal tax;Appingedam;2024;;
170;Total municipal tax;Appingedam;2025;;
171;Total municipal tax;Arnhem;2017;105022.0;674.0
172;Total municipal tax;Arnhem;2018;103968.0;661.0
173;Total municipal tax;Arnhem;2019;107698.0;676.0
174;Total municipal tax;Arnhem;2020;109373.0;678.0
175;Total municipal tax;Arnhem;2021;111642.0;687.0
176;Total municipal tax;Arnhem;2022;115455.0;704.0
177;Total municipal tax;Arnhem;2023;123311.0;744.0
178;Total municipal tax;Arnhem;2024;133699.0;797.0
179;Total municipal tax;Arnhem;2025;147570.0;873.0
180;Total municipal tax;Assen;2017;35505.0;526.0
181;Total municipal tax;Assen;2018;37855.0;559.0
182;Total municipal tax;Assen;2019;37061.0;545.0
183;Total municipal tax;Assen;2020;38101.0;555.0
184;Total municipal tax;Assen;2021;40091.0;582.0
185;Total municipal tax;Assen;2022;42038.0;610.0
186;Total municipal tax;Assen;2023;43670.0;629.0
187;Total municipal tax;Assen;2024;46561.0;668.0
188;Total municipal tax;Assen;2025;49844.0;709.0
189;Total municipal tax;Asten;2017;7459.0;446.0
190;Total municipal tax;Asten;2018;7628.0;457.0
191;Total municipal tax;Asten;2019;7803.0;467.0
192;Total municipal tax;Asten;2020;8502.0;508.0
193;Total municipal tax;Asten;2021;9148.0;544.0
194;Total municipal tax;Asten;2022;9744.0;571.0
195;Total municipal tax;Asten;2023;10373.0;601.0
196;Total municipal tax;Asten;2024;11129.0;644.0
197;Total municipal tax;Asten;2025;12064.0;694.0
198;Total municipal tax;Baarle-Nassau;2017;3205.0;481.0
199;Total municipal tax;Baarle-Nassau;2018;3354.0;493.0
200;Total municipal tax;Baarle-Nassau;2019;3390.0;495.0
201;Total municipal tax;Baarle-Nassau;2020;3552.0;518.0
202;Total municipal tax;Baarle-Nassau;2021;3959.0;573.0
203;Total municipal tax;Baarle-Nassau;2022;4139.0;597.0
204;Total municipal tax;Baarle-Nassau;2023;4240.0;599.0
205;Total municipal tax;Baarle-Nassau;2024;4850.0;685.0
206;Total municipal tax;Baarle-Nassau;2025;4906.0;683.0
207;Total municipal tax;Baarn;2017;13136.0;536.0
208;Total municipal tax;Baarn;2018;13233.0;537.0
209;Total municipal tax;Baarn;2019;13142.0;531.0
210;Total municipal tax;Baarn;2020;13236.0;532.0
211;Total municipal tax;Baarn;2021;14167.0;572.0
212;Total municipal tax;Baarn;2022;14481.0;582.0
213;Total municipal tax;Baarn;2023;14917.0;596.0
214;Total municipal tax;Baarn;2024;16930.0;676.0
215;Total municipal tax;Baarn;2025;18356.0;729.0
216;Total municipal tax;Barendrecht;2017;18035.0;373.0
217;Total municipal tax;Barendrecht;2018;18327.0;378.0
218;Total municipal tax;Barendrecht;2019;18986.0;390.0
219;Total municipal tax;Barendrecht;2020;19603.0;402.0
220;Total municipal tax;Barendrecht;2021;21777.0;448.0
221;Total municipal tax;Barendrecht;2022;23593.0;484.0
222;Total municipal tax;Barendrecht;2023;24062.0;493.0
223;Total municipal tax;Barendrecht;2024;25739.0;529.0
224;Total municipal tax;Barendrecht;2025;31083.0;639.0
225;Total municipal tax;Barneveld;2017;31037.0;551.0
226;Total municipal tax;Barneveld;2018;30836.0;538.0
227;Total municipal tax;Barneveld;2019;32487.0;561.0
228;Total municipal tax;Barneveld;2020;34366.0;582.0
229;Total municipal tax;Barneveld;2021;36106.0;602.0
230;Total municipal tax;Barneveld;2022;36120.0;596.0
231;Total municipal tax;Barneveld;2023;35117.0;570.0
232;Total municipal tax;Barneveld;2024;37823.0;604.0
233;Total municipal tax;Barneveld;2025;41176.0;652.0
234;Total municipal tax;Bedum;2017;4391.0;419.0
235;Total municipal tax;Bedum;2018;4502.0;430.0
236;Total municipal tax;Bedum;2019;;
237;Total municipal tax;Bedum;2020;;
238;Total municipal tax;Bedum;2021;;
239;Total municipal tax;Bedum;2022;;
240;Total municipal tax;Bedum;2023;;
241;Total municipal tax;Bedum;2024;;
242;Total municipal tax;Bedum;2025;;
243;Total municipal tax;Beek (L.);2017;8174.0;513.0
244;Total municipal tax;Beek (L.);2018;8111.0;510.0
245;Total municipal tax;Beek (L.);2019;8868.0;557.0
246;Total municipal tax;Beek (L.);2020;9331.0;588.0
247;Total municipal tax;Beek (L.);2021;9664.0;608.0
248;Total municipal tax;Beek (L.);2022;10014.0;633.0
249;Total municipal tax;Beek (L.);2023;10506.0;651.0
250;Total municipal tax;Beek (L.);2024;11259.0;694.0
251;Total municipal tax;Beek (L.);2025;11375.0;700.0
252;Total municipal tax;Beekdaelen;2017;;
253;Total municipal tax;Beekdaelen;2018;;
254;Total municipal tax;Beekdaelen;2019;16651.0;466.0
255;Total municipal tax;Beekdaelen;2020;17652.0;491.0
256;Total municipal tax;Beekdaelen;2021;17773.0;493.0
257;Total municipal tax;Beekdaelen;2022;18418.0;513.0
258;Total municipal tax;Beekdaelen;2023;18934.0;527.0
259;Total municipal tax;Beekdaelen;2024;20794.0;579.0
260;Total municipal tax;Beekdaelen;2025;22865.0;639.0
261;Total municipal tax;Beemster;2017;4133.0;449.0
262;Total municipal tax;Beemster;2018;4574.0;479.0
263;Total municipal tax;Beemster;2019;4799.0;492.0
264;Total municipal tax;Beemster;2020;5352.0;534.0
265;Total municipal tax;Beemster;2021;6019.0;596.0
266;Total municipal tax;Beemster;2022;;
267;Total municipal tax;Beemster;2023;;
268;Total municipal tax;Beemster;2024;;
269;Total municipal tax;Beemster;2025;;
270;Total municipal tax;Beesel;2017;5355.0;399.0
271;Total municipal tax;Beesel;2018;5288.0;393.0
272;Total municipal tax;Beesel;2019;5450.0;403.0
273;Total municipal tax;Beesel;2020;6041.0;448.0
274;Total municipal tax;Beesel;2021;6569.0;488.0
275;Total municipal tax;Beesel;2022;7641.0;570.0
276;Total municipal tax;Beesel;2023;7647.0;569.0
277;Total municipal tax;Beesel;2024;8001.0;597.0
278;Total municipal tax;Beesel;2025;8416.0;622.0
279;Total municipal tax;Bellingwedde;2017;4347.0;487.0
280;Total municipal tax;Bellingwedde;2018;;
281;Total municipal tax;Bellingwedde;2019;;
282;Total municipal tax;Bellingwedde;2020;;
283;Total municipal tax;Bellingwedde;2021;;
284;Total municipal tax;Bellingwedde;2022;;
285;Total municipal tax;Bellingwedde;2023;;
286;Total municipal tax;Bellingwedde;2024;;
287;Total municipal tax;Bellingwedde;2025;;
288;Total municipal tax;Berg en Dal;2017;12969.0;373.0
289;Total municipal tax;Berg en Dal;2018;13528.0;389.0
290;Total municipal tax;Berg en Dal;2019;13738.0;395.0
291;Total municipal tax;Berg en Dal;2020;14691.0;420.0
292;Total municipal tax;Berg en Dal;2021;16216.0;463.0
293;Total municipal tax;Berg en Dal;2022;16981.0;486.0
294;Total municipal tax;Berg en Dal;2023;17707.0;500.0
295;Total municipal tax;Berg en Dal;2024;18609.0;525.0
296;Total municipal tax;Berg en Dal;2025;19213.0;541.0
297;Total municipal tax;Bergeijk;2017;8659.0;472.0
298;Total municipal tax;Bergeijk;2018;8838.0;480.0
299;Total municipal tax;Bergeijk;2019;8611.0;466.0
300;Total municipal tax;Bergeijk;2020;8877.0;476.0
301;Total municipal tax;Bergeijk;2021;9250.0;493.0
302;Total municipal tax;Bergeijk;2022;9434.0;500.0
303;Total municipal tax;Bergeijk;2023;9588.0;502.0
304;Total municipal tax;Bergeijk;2024;11069.0;577.0
305;Total municipal tax;Bergeijk;2025;11775.0;611.0
306;Total municipal tax;Bergen (L.);2017;5336.0;407.0
307;Total municipal tax;Bergen (L.);2018;5288.0;403.0
308;Total municipal tax;Bergen (L.);2019;5433.0;414.0
309;Total municipal tax;Bergen (L.);2020;5945.0;454.0
310;Total municipal tax;Bergen (L.);2021;5982.0;456.0
311;Total municipal tax;Bergen (L.);2022;6187.0;472.0
312;Total municipal tax;Bergen (L.);2023;6388.0;487.0
313;Total municipal tax;Bergen (L.);2024;6973.0;530.0
314;Total municipal tax;Bergen (L.);2025;6847.0;523.0
315;Total municipal tax;Bergen (NH.);2017;27710.0;929.0
316;Total municipal tax;Bergen (NH.);2018;29889.0;998.0
317;Total municipal tax;Bergen (NH.);2019;29937.0;999.0
318;Total municipal tax;Bergen (NH.);2020;30513.0;1022.0
319;Total municipal tax;Bergen (NH.);2021;31615.0;1065.0
320;Total municipal tax;Bergen (NH.);2022;32463.0;1092.0
321;Total municipal tax;Bergen (NH.);2023;32793.0;1088.0
322;Total municipal tax;Bergen (NH.);2024;34123.0;1140.0
323;Total municipal tax;Bergen (NH.);2025;36636.0;1231.0
324;Total municipal tax;Bergen op Zoom;2017;41118.0;621.0
325;Total municipal tax;Bergen op Zoom;2018;40958.0;617.0
326;Total municipal tax;Bergen op Zoom;2019;42159.0;631.0
327;Total municipal tax;Bergen op Zoom;2020;44166.0;654.0
328;Total municipal tax;Bergen op Zoom;2021;46005.0;681.0
329;Total municipal tax;Bergen op Zoom;2022;47851.0;705.0
330;Total municipal tax;Bergen op Zoom;2023;48803.0;709.0
331;Total municipal tax;Bergen op Zoom;2024;51994.0;746.0
332;Total municipal tax;Bergen op Zoom;2025;54626.0;778.0
333;Total municipal tax;Berkelland;2017;19651.0;444.0
334;Total municipal tax;Berkelland;2018;19901.0;452.0
335;Total municipal tax;Berkelland;2019;19505.0;444.0
336;Total municipal tax;Berkelland;2020;18618.0;426.0
337;Total municipal tax;Berkelland;2021;22082.0;504.0
338;Total municipal tax;Berkelland;2022;22067.0;503.0
339;Total municipal tax;Berkelland;2023;24011.0;545.0
340;Total municipal tax;Berkelland;2024;25183.0;573.0
341;Total municipal tax;Berkelland;2025;25675.0;585.0
342;Total municipal tax;Bernheze;2017;13063.0;432.0
343;Total municipal tax;Bernheze;2018;12833.0;420.0
344;Total municipal tax;Bernheze;2019;13723.0;446.0
345;Total municipal tax;Bernheze;2020;14669.0;469.0
346;Total municipal tax;Bernheze;2021;15319.0;487.0
347;Total municipal tax;Bernheze;2022;15712.0;496.0
348;Total municipal tax;Bernheze;2023;16112.0;499.0
349;Total municipal tax;Bernheze;2024;17456.0;537.0
350;Total municipal tax;Bernheze;2025;17701.0;543.0
351;Total municipal tax;Best;2017;12477.0;428.0
352;Total municipal tax;Best;2018;12510.0;424.0
353;Total municipal tax;Best;2019;12837.0;430.0
354;Total municipal tax;Best;2020;13552.0;452.0
355;Total municipal tax;Best;2021;14955.0;495.0
356;Total municipal tax;Best;2022;15524.0;507.0
357;Total municipal tax;Best;2023;17122.0;554.0
358;Total municipal tax;Best;2024;18499.0;593.0
359;Total municipal tax;Best;2025;19486.0;615.0
360;Total municipal tax;Beuningen;2017;13210.0;520.0
361;Total municipal tax;Beuningen;2018;13804.0;535.0
362;Total municipal tax;Beuningen;2019;13962.0;539.0
363;Total municipal tax;Beuningen;2020;14552.0;562.0
364;Total municipal tax;Beuningen;2021;14901.0;570.0
365;Total municipal tax;Beuningen;2022;14464.0;551.0
366;Total municipal tax;Beuningen;2023;15068.0;567.0
367;Total municipal tax;Beuningen;2024;15605.0;584.0
368;Total municipal tax;Beuningen;2025;17004.0;636.0
369;Total municipal tax;Beverwijk;2017;22556.0;554.0
370;Total municipal tax;Beverwijk;2018;22727.0;553.0
371;Total municipal tax;Beverwijk;2019;22848.0;555.0
372;Total municipal tax;Beverwijk;2020;23862.0;573.0
373;Total municipal tax;Beverwijk;2021;24639.0;589.0
374;Total municipal tax;Beverwijk;2022;23751.0;564.0
375;Total municipal tax;Beverwijk;2023;24084.0;564.0
376;Total municipal tax;Beverwijk;2024;25762.0;601.0
377;Total municipal tax;Beverwijk;2025;26981.0;627.0
378;Total municipal tax;het Bildt;2017;4201.0;400.0
379;Total municipal tax;het Bildt;2018;;
380;Total municipal tax;het Bildt;2019;;
381;Total municipal tax;het Bildt;2020;;
382;Total municipal tax;het Bildt;2021;;
383;Total municipal tax;het Bildt;2022;;
384;Total municipal tax;het Bildt;2023;;
385;Total municipal tax;het Bildt;2024;;
386;Total municipal tax;het Bildt;2025;;
387;Total municipal tax;De Bilt;2017;22380.0;523.0
388;Total municipal tax;De Bilt;2018;22619.0;528.0
389;Total municipal tax;De Bilt;2019;23406.0;547.0
390;Total municipal tax;De Bilt;2020;24020.0;557.0
391;Total municipal tax;De Bilt;2021;25171.0;580.0
392;Total municipal tax;De Bilt;2022;25490.0;586.0
393;Total municipal tax;De Bilt;2023;26102.0;595.0
394;Total municipal tax;De Bilt;2024;28773.0;658.0
395;Total municipal tax;De Bilt;2025;29899.0;682.0
396;Total municipal tax;Binnenmaas;2017;11200.0;385.0
397;Total municipal tax;Binnenmaas;2018;11372.0;391.0
398;Total municipal tax;Binnenmaas;2019;;
399;Total municipal tax;Binnenmaas;2020;;
400;Total municipal tax;Binnenmaas;2021;;
401;Total municipal tax;Binnenmaas;2022;;
402;Total municipal tax;Binnenmaas;2023;;
403;Total municipal tax;Binnenmaas;2024;;
404;Total municipal tax;Binnenmaas;2025;;
405;Total municipal tax;Bladel;2017;9630.0;480.0
406;Total municipal tax;Bladel;2018;9707.0;482.0
407;Total municipal tax;Bladel;2019;9743.0;483.0
408;Total municipal tax;Bladel;2020;10226.0;501.0
409;Total municipal tax;Bladel;2021;10121.0;493.0
410;Total municipal tax;Bladel;2022;10645.0;514.0
411;Total municipal tax;Bladel;2023;11325.0;539.0
412;Total municipal tax;Bladel;2024;11002.0;524.0
413;Total municipal tax;Bladel;2025;12136.0;577.0
414;Total municipal tax;Blaricum;2017;8673.0;851.0
415;Total municipal tax;Blaricum;2018;8736.0;809.0
416;Total municipal tax;Blaricum;2019;8765.0;783.0
417;Total municipal tax;Blaricum;2020;8702.0;754.0
418;Total municipal tax;Blaricum;2021;8941.0;748.0
419;Total municipal tax;Blaricum;2022;8674.0;702.0
420;Total municipal tax;Blaricum;2023;9121.0;730.0
421;Total municipal tax;Blaricum;2024;9838.0;773.0
422;Total municipal tax;Blaricum;2025;10190.0;788.0
423;Total municipal tax;Bloemendaal;2017;17222.0;754.0
424;Total municipal tax;Bloemendaal;2018;17925.0;773.0
425;Total municipal tax;Bloemendaal;2019;18738.0;800.0
426;Total municipal tax;Bloemendaal;2020;20450.0;868.0
427;Total municipal tax;Bloemendaal;2021;22288.0;949.0
428;Total municipal tax;Bloemendaal;2022;22354.0;942.0
429;Total municipal tax;Bloemendaal;2023;25208.0;1053.0
430;Total municipal tax;Bloemendaal;2024;26460.0;1113.0
431;Total municipal tax;Bloemendaal;2025;27956.0;1186.0
432;Total municipal tax;Bodegraven-Reeuwijk;2017;19905.0;590.0
433;Total municipal tax;Bodegraven-Reeuwijk;2018;21402.0;630.0
434;Total municipal tax;Bodegraven-Reeuwijk;2019;21651.0;628.0
435;Total municipal tax;Bodegraven-Reeuwijk;2020;22865.0;656.0
436;Total municipal tax;Bodegraven-Reeuwijk;2021;23751.0;673.0
437;Total municipal tax;Bodegraven-Reeuwijk;2022;23899.0;669.0
438;Total municipal tax;Bodegraven-Reeuwijk;2023;27225.0;749.0
439;Total municipal tax;Bodegraven-Reeuwijk;2024;29860.0;817.0
440;Total municipal tax;Bodegraven-Reeuwijk;2025;31013.0;833.0
441;Total municipal tax;Boekel;2017;4615.0;443.0
442;Total municipal tax;Boekel;2018;4551.0;433.0
443;Total municipal tax;Boekel;2019;4664.0;441.0
444;Total municipal tax;Boekel;2020;5199.0;482.0
445;Total municipal tax;Boekel;2021;5491.0;501.0
446;Total municipal tax;Boekel;2022;5770.0;524.0
447;Total municipal tax;Boekel;2023;5949.0;533.0
448;Total municipal tax;Boekel;2024;6790.0;601.0
449;Total municipal tax;Boekel;2025;6943.0;607.0
450;Total municipal tax;Ten Boer;2017;3412.0;468.0
451;Total municipal tax;Ten Boer;2018;3523.0;483.0
452;Total municipal tax;Ten Boer;2019;;
453;Total municipal tax;Ten Boer;2020;;
454;Total municipal tax;Ten Boer;2021;;
455;Total municipal tax;Ten Boer;2022;;
456;Total municipal tax;Ten Boer;2023;;
457;Total municipal tax;Ten Boer;2024;;
458;Total municipal tax;Ten Boer;2025;;
459;Total municipal tax;Borger-Odoorn;2017;12773.0;504.0
460;Total municipal tax;Borger-Odoorn;2018;12950.0;511.0
461;Total municipal tax;Borger-Odoorn;2019;13413.0;529.0
462;Total municipal tax;Borger-Odoorn;2020;13931.0;545.0
463;Total municipal tax;Borger-Odoorn;2021;14370.0;561.0
464;Total municipal tax;Borger-Odoorn;2022;14811.0;577.0
465;Total municipal tax;Borger-Odoorn;2023;15503.0;598.0
466;Total municipal tax;Borger-Odoorn;2024;15945.0;613.0
467;Total municipal tax;Borger-Odoorn;2025;16547.0;635.0
468;Total municipal tax;Borne;2017;10203.0;448.0
469;Total municipal tax;Borne;2018;10531.0;455.0
470;Total municipal tax;Borne;2019;10126.0;436.0
471;Total municipal tax;Borne;2020;11218.0;481.0
472;Total municipal tax;Borne;2021;12109.0;512.0
473;Total municipal tax;Borne;2022;12055.0;502.0
474;Total municipal tax;Borne;2023;12362.0;504.0
475;Total municipal tax;Borne;2024;13890.0;564.0
476;Total municipal tax;Borne;2025;14778.0;598.0
477;Total municipal tax;Borsele;2017;13365.0;589.0
478;Total municipal tax;Borsele;2018;13548.0;596.0
479;Total municipal tax;Borsele;2019;13828.0;606.0
480;Total municipal tax;Borsele;2020;14466.0;636.0
481;Total municipal tax;Borsele;2021;15001.0;657.0
482;Total municipal tax;Borsele;2022;14641.0;641.0
483;Total municipal tax;Borsele;2023;14942.0;645.0
484;Total municipal tax;Borsele;2024;15529.0;672.0
485;Total municipal tax;Borsele;2025;17306.0;747.0
486;Total municipal tax;Boxmeer;2017;12370.0;431.0
487;Total municipal tax;Boxmeer;2018;12910.0;447.0
488;Total municipal tax;Boxmeer;2019;12901.0;444.0
489;Total municipal tax;Boxmeer;2020;13246.0;451.0
490;Total municipal tax;Boxmeer;2021;13776.0;465.0
491;Total municipal tax;Boxmeer;2022;;
492;Total municipal tax;Boxmeer;2023;;
493;Total municipal tax;Boxmeer;2024;;
