ID;Geslacht;Persoonskenmerken;PositieInDeWerkkring;Arbeidsduur;Perioden;WerkzameBeroepsbevolking_1;WerkzameBeroepsbevolkingMetInkomen_2;GemiddeldPersoonlijkPrimairInkomen_3;GemiddeldPersoonlijkInkomen_4;GemiddeldGestandaardiseerdInkomen_5;WerkzameBeroepsbevolkingInkOnbekend_6
79;Totaal mannen en vrouwen;Totaal personen;Werknemer;Totaal;2014;6860.0;6597.0;42.4;36.0;28.4;263.0
80;Totaal mannen en vrouwen;Totaal personen;Werknemer;Deeltijd;2005;3097.0;3062.0;19.0;17.6;21.5;35.0
81;Totaal mannen en vrouwen;Totaal personen;Werknemer;Deeltijd;2006;3158.0;3126.0;20.1;18.5;22.9;33.0
82;Totaal mannen en vrouwen;Totaal personen;Werknemer;Deeltijd;2007;3273.0;3241.0;20.6;19.2;24.4;33.0
83;Totaal mannen en vrouwen;Totaal personen;Werknemer;Deeltijd;2008;3375.0;3340.0;21.3;19.9;24.9;35.0
84;Totaal mannen en vrouwen;Totaal personen;Werknemer;Deeltijd;2009;3436.0;3395.0;22.0;20.8;25.1;41.0
85;Totaal mannen en vrouwen;Totaal personen;Werknemer;Deeltijd;2010;3442.0;3393.0;22.4;21.2;25.1;49.0
86;Totaal mannen en vrouwen;Totaal personen;Werknemer;Deeltijd;2011;3464.0;3402.0;22.9;21.4;25.3;62.0
87;Totaal mannen en vrouwen;Totaal personen;Werknemer;Deeltijd;2012;3535.0;3466.0;23.0;21.4;25.2;69.0
88;Totaal mannen en vrouwen;Totaal personen;Werknemer;Deeltijd;2013;3521.0;3414.0;23.8;22.1;25.5;107.0
89;Totaal mannen en vrouwen;Totaal personen;Werknemer;Deeltijd;2014;3476.0;3343.0;24.2;22.4;26.5;133.0
90;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 12 uur per week;2005;748.0;738.0;5.0;7.7;19.8;10.0
91;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 12 uur per week;2006;744.0;734.0;5.0;7.8;20.6;9.0
92;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 12 uur per week;2007;754.0;744.0;5.3;8.2;22.7;10.0
93;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 12 uur per week;2008;752.0;743.0;5.3;8.2;23.2;9.0
94;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 12 uur per week;2009;763.0;751.0;5.3;8.7;22.9;12.0
95;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 12 uur per week;2010;755.0;741.0;5.3;8.8;23.0;14.0
96;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 12 uur per week;2011;762.0;744.0;5.5;9.0;23.3;19.0
97;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 12 uur per week;2012;793.0;774.0;5.6;8.8;22.9;18.0
98;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 12 uur per week;2013;803.0;775.0;5.7;8.9;22.7;28.0
99;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 12 uur per week;2014;808.0;774.0;5.9;8.9;23.8;34.0
100;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 20 uur per week;2005;1392.0;1375.0;8.4;10.3;20.1;17.0
101;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 20 uur per week;2006;1393.0;1378.0;8.6;10.6;21.3;15.0
102;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 20 uur per week;2007;1427.0;1411.0;8.9;11.0;23.0;15.0
103;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 20 uur per week;2008;1427.0;1412.0;9.0;11.2;23.5;15.0
104;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 20 uur per week;2009;1424.0;1405.0;9.2;11.7;23.4;19.0
105;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 20 uur per week;2010;1408.0;1387.0;9.2;11.8;23.4;21.0
106;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 20 uur per week;2011;1410.0;1380.0;9.3;11.8;23.5;31.0
107;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 20 uur per week;2012;1434.0;1404.0;9.2;11.6;23.4;31.0
108;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 20 uur per week;2013;1420.0;1374.0;9.2;11.6;23.4;46.0
109;Totaal mannen en vrouwen;Totaal personen;Werknemer;Minder dan 20 uur per week;2014;1390.0;1338.0;9.3;11.6;24.2;52.0
110;Totaal mannen en vrouwen;Totaal personen;Werknemer;12 tot 20 uur per week;2005;643.0;636.0;12.4;13.3;20.5;7.0
111;Totaal mannen en vrouwen;Totaal personen;Werknemer;12 tot 20 uur per week;2006;649.0;644.0;12.8;13.7;22.0;5.0
112;Totaal mannen en vrouwen;Totaal personen;Werknemer;12 tot 20 uur per week;2007;673.0;667.0;13.0;14.1;23.3;5.0
113;Totaal mannen en vrouwen;Totaal personen;Werknemer;12 tot 20 uur per week;2008;675.0;668.0;13.2;14.5;23.8;6.0
114;Totaal mannen en vrouwen;Totaal personen;Werknemer;12 tot 20 uur per week;2009;661.0;655.0;13.6;15.2;23.9;7.0
115;Totaal mannen en vrouwen;Totaal personen;Werknemer;12 tot 20 uur per week;2010;653.0;646.0;13.7;15.2;24.0;7.0
116;Totaal mannen en vrouwen;Totaal personen;Werknemer;12 tot 20 uur per week;2011;648.0;636.0;13.6;15.1;23.8;12.0
117;Totaal mannen en vrouwen;Totaal personen;Werknemer;12 tot 20 uur per week;2012;642.0;629.0;13.7;15.2;24.0;13.0
118;Totaal mannen en vrouwen;Totaal personen;Werknemer;12 tot 20 uur per week;2013;617.0;599.0;13.9;15.2;24.2;18.0
119;Totaal mannen en vrouwen;Totaal personen;Werknemer;12 tot 20 uur per week;2014;582.0;563.0;14.1;15.4;24.8;19.0
120;Totaal mannen en vrouwen;Totaal personen;Werknemer;20 tot 35 uur per week;2005;1706.0;1687.0;27.6;23.6;22.7;18.0
121;Totaal mannen en vrouwen;Totaal personen;Werknemer;20 tot 35 uur per week;2006;1766.0;1748.0;29.1;24.8;24.2;18.0
122;Totaal mannen en vrouwen;Totaal personen;Werknemer;20 tot 35 uur per week;2007;1847.0;1830.0;29.6;25.5;25.5;17.0
123;Totaal mannen en vrouwen;Totaal personen;Werknemer;20 tot 35 uur per week;2008;1948.0;1929.0;30.3;26.3;26.0;19.0
124;Totaal mannen en vrouwen;Totaal personen;Werknemer;20 tot 35 uur per week;2009;2012.0;1990.0;31.0;27.3;26.4;22.0
125;Totaal mannen en vrouwen;Totaal personen;Werknemer;20 tot 35 uur per week;2010;2033.0;2006.0;31.6;27.6;26.3;28.0
126;Totaal mannen en vrouwen;Totaal personen;Werknemer;20 tot 35 uur per week;2011;2054.0;2022.0;32.1;28.0;26.4;31.0
127;Totaal mannen en vrouwen;Totaal personen;Werknemer;20 tot 35 uur per week;2012;2101.0;2063.0;32.5;28.1;26.4;39.0
128;Totaal mannen en vrouwen;Totaal personen;Werknemer;20 tot 35 uur per week;2013;2101.0;2039.0;33.7;29.2;27.0;61.0
129;Totaal mannen en vrouwen;Totaal personen;Werknemer;20 tot 35 uur per week;2014;2086.0;2005.0;34.2;29.6;28.0;80.0
130;Totaal mannen en vrouwen;Totaal personen;Werknemer;Voltijd;2005;3666.0;3612.0;48.1;37.7;23.7;54.0
131;Totaal mannen en vrouwen;Totaal personen;Werknemer;Voltijd;2006;3688.0;3637.0;49.8;39.4;25.0;51.0
132;Totaal mannen en vrouwen;Totaal personen;Werknemer;Voltijd;2007;3746.0;3697.0;50.9;40.9;26.4;49.0
133;Totaal mannen en vrouwen;Totaal personen;Werknemer;Voltijd;2008;3789.0;3734.0;52.5;42.7;27.0;55.0
134;Totaal mannen en vrouwen;Totaal personen;Werknemer;Voltijd;2009;3698.0;3644.0;54.3;44.7;27.8;54.0
135;Totaal mannen en vrouwen;Totaal personen;Werknemer;Voltijd;2010;3593.0;3536.0;56.1;45.7;28.0;57.0
136;Totaal mannen en vrouwen;Totaal personen;Werknemer;Voltijd;2011;3566.0;3503.0;57.2;46.4;28.2;64.0
137;Totaal mannen en vrouwen;Totaal personen;Werknemer;Voltijd;2012;3521.0;3451.0;58.4;47.2;28.2;70.0
138;Totaal mannen en vrouwen;Totaal personen;Werknemer;Voltijd;2013;3427.0;3317.0;60.3;49.2;29.3;110.0
139;Totaal mannen en vrouwen;Totaal personen;Werknemer;Voltijd;2014;3384.0;3254.0;61.1;50.0;30.3;131.0
140;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Totaal;2005;5626.0;5559.0;38.7;31.1;23.2;67.0
141;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Totaal;2006;5616.0;5555.0;40.4;32.7;24.6;61.0
142;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Totaal;2007;5635.0;5578.0;41.5;34.1;26.1;57.0
143;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Totaal;2008;5720.0;5655.0;42.9;35.5;26.7;65.0
144;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Totaal;2009;5703.0;5638.0;44.0;37.0;27.3;65.0
145;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Totaal;2010;5585.0;5513.0;45.2;37.6;27.4;72.0
146;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Totaal;2011;5560.0;5474.0;46.2;38.3;27.6;85.0
147;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Totaal;2012;5501.0;5407.0;47.0;38.7;27.6;94.0
148;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Totaal;2013;5309.0;5157.0;48.9;40.5;28.5;152.0
149;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Totaal;2014;5172.0;4985.0;50.0;41.4;29.6;187.0
150;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Deeltijd;2005;2333.0;2312.0;22.4;19.9;22.1;22.0
151;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Deeltijd;2006;2337.0;2318.0;23.9;21.1;23.7;20.0
152;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Deeltijd;2007;2352.0;2335.0;24.7;21.9;25.2;17.0
153;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Deeltijd;2008;2390.0;2368.0;25.9;23.1;25.8;21.0
154;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Deeltijd;2009;2423.0;2402.0;26.8;24.2;26.2;21.0
155;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Deeltijd;2010;2413.0;2387.0;27.4;24.6;26.1;26.0
156;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Deeltijd;2011;2421.0;2387.0;28.2;25.1;26.3;34.0
157;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Deeltijd;2012;2424.0;2385.0;28.7;25.3;26.3;38.0
158;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Deeltijd;2013;2350.0;2289.0;30.0;26.4;26.8;61.0
159;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Deeltijd;2014;2277.0;2197.0;30.8;26.9;27.9;80.0
160;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 12 uur per week;2005;369.0;366.0;5.9;8.5;19.9;4.0
161;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 12 uur per week;2006;344.0;341.0;6.1;8.6;20.8;3.0
162;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 12 uur per week;2007;322.0;319.0;6.3;8.8;23.2;3.0
163;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 12 uur per week;2008;304.0;300.0;6.6;9.1;23.5;3.0
164;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 12 uur per week;2009;297.0;294.0;6.8;9.9;23.3;4.0
165;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 12 uur per week;2010;282.0;278.0;6.6;9.7;23.3;4.0
166;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 12 uur per week;2011;276.0;270.0;7.2;10.4;23.9;5.0
167;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 12 uur per week;2012;273.0;268.0;7.2;10.0;23.6;5.0
168;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 12 uur per week;2013;251.0;244.0;7.2;10.0;23.3;7.0
169;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 12 uur per week;2014;247.0;238.0;7.6;10.3;24.1;10.0
170;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 20 uur per week;2005;860.0;853.0;10.4;11.6;20.5;7.0
171;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 20 uur per week;2006;828.0;822.0;10.9;12.1;21.9;7.0
172;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 20 uur per week;2007;803.0;797.0;11.4;12.7;23.7;5.0
173;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 20 uur per week;2008;773.0;765.0;11.8;13.2;23.9;7.0
174;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 20 uur per week;2009;757.0;750.0;12.1;13.8;24.1;7.0
175;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 20 uur per week;2010;729.0;721.0;12.2;13.8;24.2;7.0
176;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 20 uur per week;2011;719.0;707.0;12.5;14.2;24.4;12.0
177;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 20 uur per week;2012;701.0;689.0;12.6;14.2;24.4;11.0
178;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 20 uur per week;2013;642.0;625.0;12.8;14.1;24.5;17.0
179;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;Minder dan 20 uur per week;2014;614.0;593.0;13.1;14.2;25.2;21.0
180;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;12 tot 20 uur per week;2005;490.0;487.0;13.7;14.0;20.9;3.0
181;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;12 tot 20 uur per week;2006;484.0;480.0;14.3;14.6;22.6;3.0
182;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;12 tot 20 uur per week;2007;481.0;478.0;14.8;15.2;24.1;3.0
183;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;12 tot 20 uur per week;2008;469.0;465.0;15.1;15.8;24.2;4.0
184;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;12 tot 20 uur per week;2009;460.0;456.0;15.6;16.4;24.7;3.0
185;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;12 tot 20 uur per week;2010;447.0;444.0;15.7;16.3;24.7;3.0
186;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;12 tot 20 uur per week;2011;443.0;437.0;15.8;16.6;24.7;6.0
187;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;12 tot 20 uur per week;2012;428.0;421.0;16.0;16.9;24.9;7.0
188;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;12 tot 20 uur per week;2013;391.0;381.0;16.4;16.7;25.2;10.0
189;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;12 tot 20 uur per week;2014;367.0;356.0;16.7;16.8;25.9;11.0
190;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;20 tot 35 uur per week;2005;1474.0;1459.0;29.4;24.7;23.1;15.0
191;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;20 tot 35 uur per week;2006;1509.0;1496.0;31.1;26.0;24.7;13.0
192;Totaal mannen en vrouwen;Totaal personen;Werknemer met vaste arbeidsrelatie;20 tot 35 uur per week;2007;1549.0;1537.0;31.6;26.7;26.0;12.0
