ID;Geslacht;Leeftijd;DoodsoorzakenUitgebreideLijst;Perioden;Overledenen_1
32;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2000;1630
33;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2001;1648
34;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2002;1739
35;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2003;1892
36;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2004;1869
37;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2005;1830
38;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2006;1925
39;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2007;1848
40;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2008;2013
41;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2009;2022
42;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2010;2104
43;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2011;2104
44;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2012;2231
45;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2013;3192
46;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2014;3104
47;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2015;3497
48;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2016;3054
49;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2017;3132
50;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2018;3323
51;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2019;3307
52;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2020;2974
53;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2021;2974
54;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2022;3115
55;Totaal mannen en vrouwen;Totaal alle leeftijden;A00-B99 Totaal infectie-/parasitaire a..;2023;3906
56;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;1996;0
57;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;1997;0
58;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;1998;0
59;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;1999;0
60;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2000;0
61;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2001;0
62;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2002;0
63;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2003;0
64;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2004;0
65;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2005;0
66;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2006;0
67;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2007;0
68;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2008;0
69;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2009;0
70;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2010;0
71;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2011;0
72;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2012;0
73;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2013;0
74;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2014;0
75;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2015;0
76;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2016;0
77;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2017;0
78;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2018;0
79;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2019;0
80;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2020;0
81;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2021;0
82;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2022;0
83;Totaal mannen en vrouwen;Totaal alle leeftijden;A00 Cholera;2023;0
84;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;1996;0
85;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;1997;1
86;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;1998;1
87;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;1999;1
88;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2000;0
89;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2001;0
90;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2002;0
91;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2003;0
92;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2004;0
93;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2005;0
94;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2006;0
95;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2007;0
96;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2008;0
97;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2009;0
98;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2010;0
99;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2011;0
100;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2012;0
101;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2013;0
102;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2014;0
103;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2015;0
104;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2016;0
105;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2017;0
106;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2018;0
107;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2019;1
108;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2020;0
109;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2021;0
110;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2022;0
111;Totaal mannen en vrouwen;Totaal alle leeftijden;A01 Typhus abdominalis en paratyfus;2023;1
112;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;1996;7
113;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;1997;11
114;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;1998;5
115;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;1999;7
116;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2000;8
117;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2001;10
118;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2002;6
119;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2003;9
120;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2004;8
121;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2005;3
122;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2006;6
123;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2007;5
124;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2008;3
125;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2009;8
126;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2010;4
127;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2011;7
128;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2012;6
129;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2013;3
130;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2014;2
131;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2015;5
132;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2016;3
133;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2017;5
134;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2018;2
135;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2019;3
136;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2020;4
137;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2021;4
138;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2022;1
139;Totaal mannen en vrouwen;Totaal alle leeftijden;A02 Overige Salmonella-infecties;2023;5
140;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;1996;1
141;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;1997;0
142;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;1998;0
143;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;1999;0
144;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2000;0
145;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2001;1
146;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2002;0
147;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2003;0
148;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2004;0
149;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2005;0
150;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2006;0
151;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2007;1
152;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2008;0
153;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2009;0
154;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2010;0
155;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2011;0
156;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2012;0
157;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2013;0
158;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2014;0
159;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2015;0
160;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2016;0
161;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2017;0
162;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2018;0
163;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2019;0
164;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2020;0
165;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2021;1
166;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2022;0
167;Totaal mannen en vrouwen;Totaal alle leeftijden;A03 Shigellose;2023;0
168;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;1996;4
169;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;1997;0
170;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;1998;5
171;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;1999;2
172;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2000;4
173;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2001;4
174;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2002;2
175;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2003;10
176;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2004;11
177;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2005;12
178;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2006;16
179;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2007;19
180;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2008;29
181;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2009;23
182;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2010;28
183;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2011;32
184;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2012;23
185;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2013;25
186;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2014;26
187;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2015;15
188;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2016;19
189;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2017;20
190;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2018;24
191;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2019;17
192;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2020;20
193;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2021;23
194;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2022;17
195;Totaal mannen en vrouwen;Totaal alle leeftijden;A04 Ov. bacteriële intestinale infecties;2023;18
196;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;1996;0
197;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;1997;1
198;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;1998;1
199;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;1999;1
200;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2000;0
201;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2001;0
202;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2002;1
203;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2003;3
204;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2004;1
205;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2005;1
206;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2006;8
207;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2007;2
208;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2008;2
209;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2009;0
210;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2010;0
211;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2011;0
212;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2012;0
213;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2013;0
214;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2014;0
215;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2015;0
216;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2016;0
217;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2017;0
218;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2018;0
219;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2019;0
220;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2020;1
221;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2021;0
222;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2022;0
223;Totaal mannen en vrouwen;Totaal alle leeftijden;A05 Ov. bacteriële voedselvergiftigingen;2023;1
224;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;1996;1
225;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;1997;0
226;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;1998;0
227;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;1999;0
228;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2000;1
229;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2001;0
230;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2002;0
231;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2003;1
232;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2004;0
233;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2005;1
234;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2006;0
235;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2007;0
236;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2008;0
237;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2009;0
238;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2010;0
239;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2011;0
240;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2012;0
241;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2013;0
242;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2014;0
243;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2015;0
244;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2016;0
245;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2017;0
246;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2018;0
247;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2019;0
248;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2020;0
249;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2021;0
250;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2022;0
251;Totaal mannen en vrouwen;Totaal alle leeftijden;A06 Amoebiasis;2023;0
252;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;1996;0
253;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;1997;0
254;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;1998;0
255;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;1999;0
256;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2000;0
257;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2001;0
258;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2002;0
259;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2003;0
260;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2004;0
261;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2005;0
262;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2006;1
263;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2007;0
264;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2008;0
265;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2009;1
266;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2010;0
267;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2011;0
268;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2012;0
269;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2013;0
270;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2014;0
271;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2015;0
272;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2016;0
273;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2017;0
274;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2018;0
275;Totaal mannen en vrouwen;Totaal alle leeftijden;A07 Ov. intestinale zktn door protozoën;2019;0
