ID;Geslacht;OnderwijsniveauPaar;Perioden;Personen25JaarEnOuderMetPartner_1
64;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2013;222
65;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2014;227
66;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2015;221
67;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2016;219
68;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2017;199
69;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2018;203
70;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2019;190
71;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2020;168
72;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2003;30
73;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2004;36
74;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2005;32
75;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2006;28
76;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2007;26
77;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2008;31
78;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2009;35
79;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2010;36
80;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2011;39
81;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2012;45
82;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2013;47
83;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2014;44
84;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2015;42
85;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2016;43
86;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2017;45
87;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2018;43
88;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2019;44
89;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2020;41
90;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2003;7
91;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2004;10
92;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2005;9
93;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2006;10
94;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2007;11
95;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2008;10
96;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2009;9
97;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2010;10
98;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2011;12
99;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2012;16
100;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2013;13
101;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2014;13
102;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2015;15
103;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2016;14
104;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2017;12
105;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2018;12
106;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2019;13
107;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2020;15
108;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2003;298
109;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2004;276
110;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2005;263
111;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2006;247
112;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2007;242
113;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2008;249
114;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2009;253
115;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2010;243
116;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2011;259
117;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2012;243
118;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2013;201
119;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2014;210
120;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2015;210
121;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2016;194
122;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2017;198
123;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2018;188
124;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2019;187
125;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2020;179
126;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2003;718
127;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2004;697
128;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2005;680
129;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2006;680
130;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2007;648
131;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2008;643
132;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2009;639
133;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2010;623
134;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2011;668
135;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2012;647
136;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2013;565
137;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2014;564
138;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2015;547
139;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2016;558
140;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2017;559
141;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2018;564
142;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2019;559
143;Totaal mannen en vrouwen;Beiden vmbo/mbo1;2020;518
144;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2003;792
145;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2004;758
146;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2005;748
147;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2006;762
148;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2007;752
149;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2008;767
150;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2009;750
151;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2010;736
152;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2011;719
153;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2012;706
154;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2013;624
155;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2014;623
156;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2015;623
157;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2016;603
158;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2017;572
159;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2018;546
160;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2019;546
161;Totaal mannen en vrouwen;Vmbo/mbo1 - partner havo/vwo/mbo2-4;2020;530
162;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2003;138
163;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2004;154
164;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2005;164
165;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2006;157
166;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2007;155
167;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2008;167
168;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2009;168
169;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2010;176
170;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2011;181
171;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2012;192
172;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2013;156
173;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2014;158
174;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2015;166
175;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2016;162
176;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2017;162
177;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2018;172
178;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2019;165
179;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo- wo-bachelor;2020;161
180;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2003;32
181;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2004;38
182;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2005;42
183;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2006;39
184;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2007;38
185;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2008;41
186;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2009;42
187;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2010;43
188;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2011;43
189;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2012;43
190;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2013;42
191;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2014;37
192;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2015;42
193;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2016;46
194;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2017;42
195;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2018;44
196;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2019;42
197;Totaal mannen en vrouwen;Vmbo/mbo1 - partner hbo-, wo-master;2020;44
198;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2003;247
199;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2004;229
200;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2005;217
201;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2006;214
202;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2007;200
203;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2008;213
204;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2009;211
205;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2010;210
206;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2011;215
207;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2012;199
208;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2013;222
209;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2014;227
210;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2015;221
211;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2016;219
212;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2017;199
213;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2018;203
214;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2019;190
215;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner basisonderwijs;2020;168
216;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2003;792
217;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2004;758
218;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2005;748
219;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2006;762
220;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2007;752
221;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2008;767
222;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2009;750
223;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2010;736
224;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2011;719
225;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2012;706
226;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2013;624
227;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2014;623
228;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2015;623
229;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2016;603
230;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2017;572
231;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2018;546
232;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2019;546
233;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner vmbo/mbo1;2020;530
234;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2003;1540
235;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2004;1487
236;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2005;1526
237;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2006;1567
238;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2007;1601
239;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2008;1533
240;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2009;1516
241;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2010;1473
242;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2011;1435
243;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2012;1431
244;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2013;1532
245;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2014;1528
246;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2015;1475
247;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2016;1483
248;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2017;1489
249;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2018;1444
250;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2019;1437
251;Totaal mannen en vrouwen;Beiden havo/vwo/mbo2-4;2020;1426
252;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2003;468
253;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2004;485
254;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2005;496
255;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2006;509
256;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2007;512
257;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2008;542
258;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2009;566
259;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2010;573
260;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2011;572
261;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2012;577
262;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2013;557
263;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2014;560
264;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2015;580
265;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2016;568
266;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2017;605
267;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2018;609
268;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2019;602
269;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo-, wo-bach.;2020;637
270;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2003;166
271;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2004;189
272;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2005;188
273;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2006;193
274;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2007;197
275;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2008;187
276;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2009;185
277;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2010;195
278;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2011;183
279;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2012;177
280;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2013;212
281;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2014;202
282;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2015;201
283;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2016;201
284;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2017;208
285;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2018;212
286;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2019;227
287;Totaal mannen en vrouwen;Havo/vwo/mbo2-4 - partner hbo- wo-master;2020;227
288;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2003;30
289;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2004;36
290;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2005;32
291;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2006;28
292;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2007;26
293;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2008;31
294;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2009;35
295;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2010;36
296;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2011;39
297;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2012;45
298;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2013;47
299;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2014;44
300;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2015;42
301;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2016;43
302;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2017;45
303;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2018;43
304;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2019;44
305;Totaal mannen en vrouwen;Hbo-, wo-bach. - partner basisonderwijs;2020;41
306;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2003;138
307;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2004;154
308;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2005;164
309;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2006;157
310;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2007;155
311;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2008;167
312;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2009;168
313;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2010;176
314;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2011;181
315;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2012;192
316;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2013;156
317;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2014;158
318;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2015;166
319;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2016;162
320;Totaal mannen en vrouwen;Hbo-, wo-bach. - partn. vmbo/mbo1;2017;162
