ID;Afzet;BedrijfstakkenBranchesSBI2008;Perioden;ProducentenprijsindexPPI_1;MaandmutatiePPI_2;JaarmutatiePPI_3;Wegingscoefficient_4
102;Totaal afzetprijzen;B Delfstoffenwinning;2019 december;89.5;2.9;-16.5;16741
103;Totaal afzetprijzen;B Delfstoffenwinning;2019;87.5;;-14.3;16741
104;Totaal afzetprijzen;B Delfstoffenwinning;2020 januari;88.4;-1.2;-16.3;16741
105;Totaal afzetprijzen;B Delfstoffenwinning;2020 februari;81.7;-7.6;-22.6;16741
106;Totaal afzetprijzen;B Delfstoffenwinning;2020 maart;72.0;-11.9;-23.1;16741
107;Totaal afzetprijzen;B Delfstoffenwinning;2020 april;68.3;-5.2;-22.8;16741
108;Totaal afzetprijzen;B Delfstoffenwinning;2020 mei;62.5;-8.4;-28.8;16741
109;Totaal afzetprijzen;B Delfstoffenwinning;2020 juni;59.8;-4.4;-26.7;16741
110;Totaal afzetprijzen;B Delfstoffenwinning;2020 juli;58.8;-1.7;-24.1;16741
111;Totaal afzetprijzen;B Delfstoffenwinning;2020 augustus;60.1;2.3;-21.4;16741
112;Totaal afzetprijzen;B Delfstoffenwinning;2020 september;68.8;14.5;-10.8;16741
113;Totaal afzetprijzen;B Delfstoffenwinning;2020 oktober;72.1;4.7;-15.6;16741
114;Totaal afzetprijzen;B Delfstoffenwinning;2020 november;77.3;7.3;-11.1;16741
115;Totaal afzetprijzen;B Delfstoffenwinning;2020 december;77.7;0.6;-13.1;16741
116;Totaal afzetprijzen;B Delfstoffenwinning;2020;70.6;;-19.7;16741
117;Totaal afzetprijzen;B Delfstoffenwinning;2021 januari;82.5;6.1;-6.7;16741
118;Totaal afzetprijzen;B Delfstoffenwinning;2021 februari;90.2;9.3;10.3;16741
119;Totaal afzetprijzen;B Delfstoffenwinning;2021 maart;86.2;-4.4;19.7;16741
120;Totaal afzetprijzen;B Delfstoffenwinning;2021 april;87.1;1.1;27.6;16741
121;Totaal afzetprijzen;B Delfstoffenwinning;2021 mei;96.1;10.3;53.7;16741
122;Totaal afzetprijzen;B Delfstoffenwinning;2021 juni;106.2;10.6;77.7;16741
123;Totaal afzetprijzen;B Delfstoffenwinning;2021 juli;121.0;13.9;105.8;16741
124;Totaal afzetprijzen;B Delfstoffenwinning;2021 augustus;136.5;12.8;126.9;16741
125;Totaal afzetprijzen;B Delfstoffenwinning;2021 september;149.4;9.5;117.0;16741
126;Totaal afzetprijzen;B Delfstoffenwinning;2021 oktober;176.9;18.4;145.5;16741
127;Totaal afzetprijzen;B Delfstoffenwinning;2021 november;199.2;12.6;157.6;16741
128;Totaal afzetprijzen;B Delfstoffenwinning;2021 december;197.8;-0.7;154.5;16741
129;Totaal afzetprijzen;B Delfstoffenwinning;2021;127.4;;80.4;16741
130;Totaal afzetprijzen;B Delfstoffenwinning;2022 januari;226.1;14.3;174.1;16741
131;Totaal afzetprijzen;B Delfstoffenwinning;2022 februari;207.6;-8.2;130.3;16741
132;Totaal afzetprijzen;B Delfstoffenwinning;2022 maart;217.9;4.9;152.8;16741
133;Totaal afzetprijzen;B Delfstoffenwinning;2022 april;276.5;26.9;217.3;16741
134;Totaal afzetprijzen;B Delfstoffenwinning;2022 mei;242.1;-12.4;152.0;16741
135;Totaal afzetprijzen;B Delfstoffenwinning;2022 juni;247.1;2.1;132.6;16741
136;Totaal afzetprijzen;B Delfstoffenwinning;2022 juli;283.4;14.7;134.3;16741
137;Totaal afzetprijzen;B Delfstoffenwinning;2022 augustus;384.1;35.5;181.4;16741
138;Totaal afzetprijzen;B Delfstoffenwinning;2022 september;463.2;20.6;210.0;16741
139;Totaal afzetprijzen;B Delfstoffenwinning;2022 oktober;444.3;-4.1;151.2;16741
140;Totaal afzetprijzen;B Delfstoffenwinning;2022 november;412.4;-7.2;107.1;16741
141;Totaal afzetprijzen;B Delfstoffenwinning;2022 december ;359.4;-12.9;81.6;16741
142;Totaal afzetprijzen;B Delfstoffenwinning;2022;313.7;;146.2;16741
143;Totaal afzetprijzen;B Delfstoffenwinning;2023 januari;343.9;-4.3;52.1;16741
144;Totaal afzetprijzen;B Delfstoffenwinning;2023 februari;344.3;0.1;65.8;16741
145;Totaal afzetprijzen;B Delfstoffenwinning;2023 maart;303.1;-11.9;39.1;16741
146;Totaal afzetprijzen;B Delfstoffenwinning;2023 april;242.7;-19.9;-12.2;16741
147;Totaal afzetprijzen;B Delfstoffenwinning;2023 mei;217.6;-10.3;-10.1;16741
148;Totaal afzetprijzen;B Delfstoffenwinning;2023 juni;216.6;-0.4;-12.3;16741
149;Totaal afzetprijzen;B Delfstoffenwinning;2023 juli;208.8;-3.6;-26.3;16741
150;Totaal afzetprijzen;B Delfstoffenwinning;2023 augustus;204.7;-2.0;-46.7;16741
151;Totaal afzetprijzen;B Delfstoffenwinning;2023 september;221.8;8.3;-52.1;16741
152;Totaal afzetprijzen;B Delfstoffenwinning;2023 oktober;213.1;-3.9;-52.0;16741
153;Totaal afzetprijzen;B Delfstoffenwinning;2023 november;235.3;10.4;-42.9;16741
154;Totaal afzetprijzen;B Delfstoffenwinning;2023 december;242.5;3.0;-32.5;16741
155;Totaal afzetprijzen;B Delfstoffenwinning;2023;249.5;;-20.4;16741
156;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 januari;;;;11985
157;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 februari;;;;11985
158;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 maart;;;;11985
159;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 april;;;;11985
160;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 mei;;;;11985
161;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 juni;;;;11985
162;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 juli;;;;11985
163;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 augustus;;;;11985
164;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 september;;;;11985
165;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 oktober;;;;11985
166;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 november;;;;11985
167;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012 december;;;;11985
168;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2012;134.1;;;11985
169;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 januari;;;;11985
170;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 februari;;;;11985
171;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 maart;;;;11985
172;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 april;;;;11985
173;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 mei;;;;11985
174;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 juni;;;;11985
175;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 juli;;;;11985
176;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 augustus;;;;11985
177;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 september;;;;11985
178;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 oktober;;;;11985
179;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 november;;;;11985
180;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013 december;;;;11985
181;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2013;130.1;;-2.9;11985
182;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 januari;;;;11985
183;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 februari;;;;11985
184;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 maart;;;;11985
185;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 april;;;;11985
186;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 mei;;;;11985
187;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 juni;;;;11985
188;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 juli;;;;11985
189;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 augustus;;;;11985
190;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 september;;;;11985
191;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 oktober;;;;11985
192;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 november;;;;11985
193;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014 december;;;;11985
194;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2014;113.5;;-12.8;11985
195;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 januari;;;;11985
196;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 februari;;;;11985
197;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 maart;;;;11985
198;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 april;;;;11985
199;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 mei;;;;11985
200;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 juni;;;;11985
201;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 juli;;;;11985
202;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 augustus;;;;11985
203;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 september;;;;11985
204;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 oktober;;;;11985
205;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 november;;;;11985
206;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015 december;;;;11985
207;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2015;100.0;;-11.9;11985
208;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 januari;;;;11985
209;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 februari;;;;11985
210;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 maart;;;;11985
211;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 april;;;;11985
212;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 mei;;;;11985
213;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 juni;;;;11985
214;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 juli;;;;11985
215;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 augustus;;;;11985
216;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 september;;;;11985
217;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 oktober;;;;11985
218;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 november;;;;11985
219;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016 december;;;;11985
220;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2016;74.8;;-25.2;11985
221;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 januari;;;;11985
222;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 februari;;;;11985
223;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 maart;;;;11985
224;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 april;;;;11985
225;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 mei;;;;11985
226;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 juni;;;;11985
227;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 juli;;;;11985
228;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 augustus;;;;11985
229;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 september;;;;11985
230;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 oktober;;;;11985
231;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 november;;;;11985
232;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017 december;;;;11985
233;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2017;82.9;;10.9;11985
234;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 januari;;;;11985
235;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 februari;;;;11985
236;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 maart;;;;11985
237;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 april;;;;11985
238;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 mei;;;;11985
239;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 juni;;;;11985
240;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 juli;;;;11985
241;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 augustus;;;;11985
242;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 september;;;;11985
243;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 oktober;;;;11985
244;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 november;;;;11985
245;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018 december;;;;11985
246;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2018;101.3;;22.1;11985
247;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 januari;;;;11985
248;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 februari;;;;11985
249;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 maart;;;;11985
250;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 april;;;;11985
251;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 mei;;;;11985
252;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 juni;;;;11985
253;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 juli;;;;11985
254;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 augustus;;;;11985
255;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 september;;;;11985
256;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 oktober;;;;11985
257;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 november;;;;11985
258;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019 december;;;;11985
259;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2019;;;;11985
260;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 januari;;;;11985
261;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 februari;;;;11985
262;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 maart;;;;11985
263;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 april;;;;11985
264;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 mei;;;;11985
265;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 juni;;;;11985
266;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 juli;;;;11985
267;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 augustus;;;;11985
268;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 september;;;;11985
269;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 oktober;;;;11985
270;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 november;;;;11985
271;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020 december;;;;11985
272;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2020;56.5;;;11985
273;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 januari;;;;11985
274;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 februari;;;;11985
275;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 maart;;;;11985
276;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 april;;;;11985
277;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 mei;;;;11985
278;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 juni;;;;11985
279;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 juli;;;;11985
280;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 augustus;;;;11985
281;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 september;;;;11985
282;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 oktober;;;;11985
283;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 november;;;;11985
284;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021 december;;;;11985
285;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2021;134.3;;137.7;11985
286;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 januari;;;;11985
287;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 februari;;;;11985
288;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 maart;;;;11985
289;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 april;;;;11985
290;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 mei;;;;11985
291;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 juni;;;;11985
292;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 juli;;;;11985
293;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 augustus;;;;11985
294;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 september;;;;11985
295;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 oktober;;;;11985
296;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 november;;;;11985
297;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022 december ;;;;11985
298;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2022;;;;11985
299;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2023 januari;;;;11985
300;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2023 februari;;;;11985
301;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2023 maart;;;;11985
302;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2023 april;;;;11985
303;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2023 mei;;;;11985
304;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2023 juni;;;;11985
305;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2023 juli;;;;11985
306;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2023 augustus;;;;11985
307;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2023 september;;;;11985
308;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2023 oktober;;;;11985
309;Totaal afzetprijzen;06 Winning van aardolie en aardgas;2023 november;;;;11985
