ID;CompanySize;SectorBranches;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
153;Total 1 or more employed persons;350600;2009 4th quarter;132.6;1.6
154;Total 1 or more employed persons;350600;2009;107.2;3.3
155;Total 1 or more employed persons;350600;2010 1st quarter;68.9;-15.4
156;Total 1 or more employed persons;350600;2010 2nd quarter;105.4;-3.5
157;Total 1 or more employed persons;350600;2010 3rd quarter;97.6;-7.8
158;Total 1 or more employed persons;350600;2010 4th quarter;128.1;-3.4
159;Total 1 or more employed persons;350600;2010;100.0;-6.8
160;Total 1 or more employed persons;350600;2011 1st quarter;77.2;12.2
161;Total 1 or more employed persons;350600;2011 2nd quarter;108.5;3.0
162;Total 1 or more employed persons;350600;2011 3rd quarter;101.8;4.3
163;Total 1 or more employed persons;350600;2011 4th quarter;137.3;7.1
164;Total 1 or more employed persons;350600;2011;106.2;6.2
165;Total 1 or more employed persons;350600;2012 1st quarter;76.4;-1.1
166;Total 1 or more employed persons;350600;2012 2nd quarter;112.8;3.9
167;Total 1 or more employed persons;350600;2012 3rd quarter;103.8;2.0
168;Total 1 or more employed persons;350600;2012 4th quarter;138.6;1.0
169;Total 1 or more employed persons;350600;2012;107.9;1.6
170;Total 1 or more employed persons;350600;2013 1st quarter;75.3;-1.4
171;Total 1 or more employed persons;350600;2013 2nd quarter;110.0;-2.5
172;Total 1 or more employed persons;350600;2013 3rd quarter;104.9;1.0
173;Total 1 or more employed persons;350600;2013 4th quarter;131.7;-5.0
174;Total 1 or more employed persons;350600;2013;105.5;-2.3
175;Total 1 or more employed persons;350600;2014 1st quarter;78.6;4.3
176;Total 1 or more employed persons;350600;2014 2nd quarter;109.1;-0.8
177;Total 1 or more employed persons;350600;2014 3rd quarter;104.9;0.1
178;Total 1 or more employed persons;350600;2014 4th quarter;146.9;11.6
179;Total 1 or more employed persons;350600;2014;109.9;4.2
180;Total 1 or more employed persons;350600;2015 1st quarter;78.3;-0.3
181;Total 1 or more employed persons;350600;2015 2nd quarter;107.1;-1.8
182;Total 1 or more employed persons;350600;2015 3rd quarter;113.8;8.5
183;Total 1 or more employed persons;350600;2015 4th quarter;139.5;-5.1
184;Total 1 or more employed persons;350600;2015;109.7;-0.2
185;Total 1 or more employed persons;350600;2016 1st quarter;78.8;0.7
186;Total 1 or more employed persons;350600;2016 2nd quarter;107.1;-0.1
187;Total 1 or more employed persons;350600;2016 3rd quarter;108.9;-4.3
188;Total 1 or more employed persons;350600;2016 4th quarter;139.3;-0.1
189;Total 1 or more employed persons;350600;2016;108.5;-1.0
190;Total 1 or more employed persons;350600;2017 1st quarter;82.5;4.6
191;Total 1 or more employed persons;350600;2017 2nd quarter;111.9;4.5
192;Total 1 or more employed persons;350600;2017 3rd quarter;112.8;3.6
193;Total 1 or more employed persons;350600;2017 4th quarter;144.7;3.9
194;Total 1 or more employed persons;350600;2017;113.0;4.1
195;Total 1 or more employed persons;351900;2005 1st quarter;69.6;-1.4
196;Total 1 or more employed persons;351900;2005 2nd quarter;88.7;9.1
197;Total 1 or more employed persons;351900;2005 3rd quarter;80.6;8.7
198;Total 1 or more employed persons;351900;2005 4th quarter;101.3;7.1
199;Total 1 or more employed persons;351900;2005;85.0;6.1
200;Total 1 or more employed persons;351900;2006 1st quarter;76.9;10.5
201;Total 1 or more employed persons;351900;2006 2nd quarter;93.4;5.3
202;Total 1 or more employed persons;351900;2006 3rd quarter;85.4;6.0
203;Total 1 or more employed persons;351900;2006 4th quarter;110.0;8.6
204;Total 1 or more employed persons;351900;2006;91.4;7.5
205;Total 1 or more employed persons;351900;2007 1st quarter;87.6;14.0
206;Total 1 or more employed persons;351900;2007 2nd quarter;103.8;11.1
207;Total 1 or more employed persons;351900;2007 3rd quarter;94.3;10.4
208;Total 1 or more employed persons;351900;2007 4th quarter;119.9;9.0
209;Total 1 or more employed persons;351900;2007;101.4;10.9
210;Total 1 or more employed persons;351900;2008 1st quarter;97.5;11.3
211;Total 1 or more employed persons;351900;2008 2nd quarter;117.6;13.3
212;Total 1 or more employed persons;351900;2008 3rd quarter;105.8;12.2
213;Total 1 or more employed persons;351900;2008 4th quarter;127.7;6.5
214;Total 1 or more employed persons;351900;2008;112.2;10.6
215;Total 1 or more employed persons;351900;2009 1st quarter;99.6;2.2
216;Total 1 or more employed persons;351900;2009 2nd quarter;112.9;-4.0
217;Total 1 or more employed persons;351900;2009 3rd quarter;99.6;-5.8
218;Total 1 or more employed persons;351900;2009 4th quarter;116.9;-8.5
219;Total 1 or more employed persons;351900;2009;107.3;-4.3
220;Total 1 or more employed persons;351900;2010 1st quarter;85.7;-14.0
221;Total 1 or more employed persons;351900;2010 2nd quarter;105.2;-6.9
222;Total 1 or more employed persons;351900;2010 3rd quarter;95.8;-3.9
223;Total 1 or more employed persons;351900;2010 4th quarter;113.4;-3.0
224;Total 1 or more employed persons;351900;2010;100.0;-6.8
225;Total 1 or more employed persons;351900;2011 1st quarter;92.3;7.8
226;Total 1 or more employed persons;351900;2011 2nd quarter;110.2;4.8
227;Total 1 or more employed persons;351900;2011 3rd quarter;99.0;3.3
228;Total 1 or more employed persons;351900;2011 4th quarter;116.6;2.8
229;Total 1 or more employed persons;351900;2011;104.5;4.5
230;Total 1 or more employed persons;351900;2012 1st quarter;85.3;-7.6
231;Total 1 or more employed persons;351900;2012 2nd quarter;100.6;-8.7
232;Total 1 or more employed persons;351900;2012 3rd quarter;93.0;-6.1
233;Total 1 or more employed persons;351900;2012 4th quarter;106.0;-9.1
234;Total 1 or more employed persons;351900;2012;96.2;-7.9
235;Total 1 or more employed persons;351900;2013 1st quarter;77.6;-9.1
236;Total 1 or more employed persons;351900;2013 2nd quarter;95.9;-4.7
237;Total 1 or more employed persons;351900;2013 3rd quarter;91.0;-2.1
238;Total 1 or more employed persons;351900;2013 4th quarter;109.8;3.5
239;Total 1 or more employed persons;351900;2013;93.5;-2.8
240;Total 1 or more employed persons;351900;2014 1st quarter;83.6;7.7
241;Total 1 or more employed persons;351900;2014 2nd quarter;95.4;-0.5
242;Total 1 or more employed persons;351900;2014 3rd quarter;90.5;-0.5
243;Total 1 or more employed persons;351900;2014 4th quarter;113.2;3.1
244;Total 1 or more employed persons;351900;2014;95.7;2.3
245;Total 1 or more employed persons;351900;2015 1st quarter;87.1;4.3
246;Total 1 or more employed persons;351900;2015 2nd quarter;105.2;10.2
247;Total 1 or more employed persons;351900;2015 3rd quarter;94.5;4.3
248;Total 1 or more employed persons;351900;2015 4th quarter;115.2;1.8
249;Total 1 or more employed persons;351900;2015;100.5;5.0
250;Total 1 or more employed persons;351900;2016 1st quarter;93.0;6.8
251;Total 1 or more employed persons;351900;2016 2nd quarter;110.4;4.9
252;Total 1 or more employed persons;351900;2016 3rd quarter;105.4;11.6
253;Total 1 or more employed persons;351900;2016 4th quarter;124.9;8.4
254;Total 1 or more employed persons;351900;2016;108.4;7.9
255;Total 1 or more employed persons;351900;2017 1st quarter;96.5;3.8
256;Total 1 or more employed persons;351900;2017 2nd quarter;114.0;3.3
257;Total 1 or more employed persons;351900;2017 3rd quarter;105.6;0.2
258;Total 1 or more employed persons;351900;2017 4th quarter;131.2;5.0
259;Total 1 or more employed persons;351900;2017;111.8;3.1
260;1 up to 10 employed persons;900063;2005 1st quarter;55.8;-0.7
261;1 up to 10 employed persons;900063;2005 2nd quarter;76.2;8.3
262;1 up to 10 employed persons;900063;2005 3rd quarter;69.5;10.6
263;1 up to 10 employed persons;900063;2005 4th quarter;89.2;9.1
264;1 up to 10 employed persons;900063;2005;72.7;7.2
265;1 up to 10 employed persons;900063;2006 1st quarter;63.9;14.4
266;1 up to 10 employed persons;900063;2006 2nd quarter;84.7;11.2
267;1 up to 10 employed persons;900063;2006 3rd quarter;77.3;11.2
268;1 up to 10 employed persons;900063;2006 4th quarter;102.3;14.7
269;1 up to 10 employed persons;900063;2006;82.1;12.9
270;1 up to 10 employed persons;900063;2007 1st quarter;74.0;15.8
271;1 up to 10 employed persons;900063;2007 2nd quarter;93.8;10.8
272;1 up to 10 employed persons;900063;2007 3rd quarter;85.4;10.4
273;1 up to 10 employed persons;900063;2007 4th quarter;109.1;6.6
274;1 up to 10 employed persons;900063;2007;90.6;10.4
275;1 up to 10 employed persons;900063;2008 1st quarter;88.8;20.0
276;1 up to 10 employed persons;900063;2008 2nd quarter;109.4;16.6
277;1 up to 10 employed persons;900063;2008 3rd quarter;99.0;15.9
278;1 up to 10 employed persons;900063;2008 4th quarter;122.8;12.6
279;1 up to 10 employed persons;900063;2008;105.0;16.0
280;1 up to 10 employed persons;900063;2009 1st quarter;93.2;4.9
281;1 up to 10 employed persons;900063;2009 2nd quarter;111.3;1.7
282;1 up to 10 employed persons;900063;2009 3rd quarter;97.9;-1.1
283;1 up to 10 employed persons;900063;2009 4th quarter;117.6;-4.2
284;1 up to 10 employed persons;900063;2009;105.0;0.0
285;1 up to 10 employed persons;900063;2010 1st quarter;81.0;-13.1
286;1 up to 10 employed persons;900063;2010 2nd quarter;106.1;-4.7
287;1 up to 10 employed persons;900063;2010 3rd quarter;95.9;-2.1
288;1 up to 10 employed persons;900063;2010 4th quarter;117.1;-0.4
289;1 up to 10 employed persons;900063;2010;100.0;-4.8
290;1 up to 10 employed persons;900063;2011 1st quarter;92.0;13.6
291;1 up to 10 employed persons;900063;2011 2nd quarter;115.8;9.1
292;1 up to 10 employed persons;900063;2011 3rd quarter;103.8;8.3
293;1 up to 10 employed persons;900063;2011 4th quarter;117.4;0.3
294;1 up to 10 employed persons;900063;2011;107.2;7.2
295;1 up to 10 employed persons;900063;2012 1st quarter;84.4;-8.2
296;1 up to 10 employed persons;900063;2012 2nd quarter;104.7;-9.5
297;1 up to 10 employed persons;900063;2012 3rd quarter;100.4;-3.3
298;1 up to 10 employed persons;900063;2012 4th quarter;103.7;-11.7
299;1 up to 10 employed persons;900063;2012;98.3;-8.3
300;1 up to 10 employed persons;900063;2013 1st quarter;76.3;-9.6
301;1 up to 10 employed persons;900063;2013 2nd quarter;101.1;-3.5
302;1 up to 10 employed persons;900063;2013 3rd quarter;98.8;-1.6
303;1 up to 10 employed persons;900063;2013 4th quarter;119.2;15.0
304;1 up to 10 employed persons;900063;2013;98.8;0.6
305;1 up to 10 employed persons;900063;2014 1st quarter;85.9;12.5
306;1 up to 10 employed persons;900063;2014 2nd quarter;104.1;2.9
307;1 up to 10 employed persons;900063;2014 3rd quarter;98.7;-0.1
308;1 up to 10 employed persons;900063;2014 4th quarter;128.0;7.3
309;1 up to 10 employed persons;900063;2014;104.1;5.4
310;1 up to 10 employed persons;900063;2015 1st quarter;97.0;13.0
311;1 up to 10 employed persons;900063;2015 2nd quarter;128.5;23.5
312;1 up to 10 employed persons;900063;2015 3rd quarter;105.2;6.7
313;1 up to 10 employed persons;900063;2015 4th quarter;133.7;4.5
314;1 up to 10 employed persons;900063;2015;116.1;11.5
315;1 up to 10 employed persons;900063;2016 1st quarter;104.8;8.1
316;1 up to 10 employed persons;900063;2016 2nd quarter;128.2;-0.3
317;1 up to 10 employed persons;900063;2016 3rd quarter;121.3;15.3
318;1 up to 10 employed persons;900063;2016 4th quarter;150.1;12.2
319;1 up to 10 employed persons;900063;2016;126.1;8.6
320;1 up to 10 employed persons;900063;2017 1st quarter;112.7;7.6
321;1 up to 10 employed persons;900063;2017 2nd quarter;140.1;9.3
322;1 up to 10 employed persons;900063;2017 3rd quarter;130.7;7.7
323;1 up to 10 employed persons;900063;2017 4th quarter;162.9;8.5
324;1 up to 10 employed persons;900063;2017;136.6;8.3
325;1 up to 10 employed persons;350400;2005 1st quarter;52.8;-2.3
326;1 up to 10 employed persons;350400;2005 2nd quarter;73.9;7.5
327;1 up to 10 employed persons;350400;2005 3rd quarter;66.1;10.4
328;1 up to 10 employed persons;350400;2005 4th quarter;86.0;9.6
329;1 up to 10 employed persons;350400;2005;69.7;6.8
330;1 up to 10 employed persons;350400;2006 1st quarter;61.3;16.1
331;1 up to 10 employed persons;350400;2006 2nd quarter;83.0;12.3
332;1 up to 10 employed persons;350400;2006 3rd quarter;73.4;10.9
333;1 up to 10 employed persons;350400;2006 4th quarter;100.1;16.4
334;1 up to 10 employed persons;350400;2006;79.4;13.9
335;1 up to 10 employed persons;350400;2007 1st quarter;71.5;16.8
336;1 up to 10 employed persons;350400;2007 2nd quarter;91.0;9.6
337;1 up to 10 employed persons;350400;2007 3rd quarter;82.0;11.7
338;1 up to 10 employed persons;350400;2007 4th quarter;106.6;6.4
339;1 up to 10 employed persons;350400;2007;87.8;10.5
340;1 up to 10 employed persons;350400;2008 1st quarter;87.0;21.6
341;1 up to 10 employed persons;350400;2008 2nd quarter;107.1;17.7
342;1 up to 10 employed persons;350400;2008 3rd quarter;95.5;16.5
343;1 up to 10 employed persons;350400;2008 4th quarter;119.7;12.4
344;1 up to 10 employed persons;350400;2008;102.3;16.6
345;1 up to 10 employed persons;350400;2009 1st quarter;95.7;10.1
346;1 up to 10 employed persons;350400;2009 2nd quarter;114.5;6.8
347;1 up to 10 employed persons;350400;2009 3rd quarter;96.8;1.4
348;1 up to 10 employed persons;350400;2009 4th quarter;116.6;-2.6
349;1 up to 10 employed persons;350400;2009;105.9;3.5
350;1 up to 10 employed persons;350400;2010 1st quarter;81.5;-14.9
351;1 up to 10 employed persons;350400;2010 2nd quarter;106.4;-7.0
352;1 up to 10 employed persons;350400;2010 3rd quarter;94.0;-2.9
353;1 up to 10 employed persons;350400;2010 4th quarter;118.1;1.3
354;1 up to 10 employed persons;350400;2010;100.0;-5.6
355;1 up to 10 employed persons;350400;2011 1st quarter;93.8;15.1
356;1 up to 10 employed persons;350400;2011 2nd quarter;118.8;11.6
357;1 up to 10 employed persons;350400;2011 3rd quarter;107.3;14.2
358;1 up to 10 employed persons;350400;2011 4th quarter;114.7;-2.9
359;1 up to 10 employed persons;350400;2011;108.6;8.6
360;1 up to 10 employed persons;350400;2012 1st quarter;84.3;-10.1
361;1 up to 10 employed persons;350400;2012 2nd quarter;104.3;-12.2
362;1 up to 10 employed persons;350400;2012 3rd quarter;101.1;-5.8
363;1 up to 10 employed persons;350400;2012 4th quarter;99.7;-13.0
364;1 up to 10 employed persons;350400;2012;97.4;-10.4
365;1 up to 10 employed persons;350400;2013 1st quarter;75.5;-10.5
366;1 up to 10 employed persons;350400;2013 2nd quarter;99.2;-4.8
367;1 up to 10 employed persons;350400;2013 3rd quarter;97.3;-3.7
368;1 up to 10 employed persons;350400;2013 4th quarter;119.7;20.0
369;1 up to 10 employed persons;350400;2013;97.9;0.6
370;1 up to 10 employed persons;350400;2014 1st quarter;87.2;15.5
371;1 up to 10 employed persons;350400;2014 2nd quarter;105.3;6.1
372;1 up to 10 employed persons;350400;2014 3rd quarter;99.7;2.5
373;1 up to 10 employed persons;350400;2014 4th quarter;130.8;9.3
374;1 up to 10 employed persons;350400;2014;105.8;8.0
375;1 up to 10 employed persons;350400;2015 1st quarter;103.1;18.3
376;1 up to 10 employed persons;350400;2015 2nd quarter;142.2;35.0
377;1 up to 10 employed persons;350400;2015 3rd quarter;108.7;9.0
378;1 up to 10 employed persons;350400;2015 4th quarter;142.3;8.8
379;1 up to 10 employed persons;350400;2015;124.1;17.3
380;1 up to 10 employed persons;350400;2016 1st quarter;112.6;9.2
381;1 up to 10 employed persons;350400;2016 2nd quarter;136.5;-4.0
382;1 up to 10 employed persons;350400;2016 3rd quarter;130.0;19.6
383;1 up to 10 employed persons;350400;2016 4th quarter;163.3;14.8
384;1 up to 10 employed persons;350400;2016;135.6;9.3
385;1 up to 10 employed persons;350400;2017 1st quarter;125.1;11.1
386;1 up to 10 employed persons;350400;2017 2nd quarter;155.1;13.6
387;1 up to 10 employed persons;350400;2017 3rd quarter;144.7;11.4
388;1 up to 10 employed persons;350400;2017 4th quarter;183.0;12.0
389;1 up to 10 employed persons;350400;2017;152.0;12.1
390;1 up to 10 employed persons;350600;2005 1st quarter;50.5;-3.5
391;1 up to 10 employed persons;350600;2005 2nd quarter;83.7;10.1
392;1 up to 10 employed persons;350600;2005 3rd quarter;77.6;16.3
393;1 up to 10 employed persons;350600;2005 4th quarter;103.7;11.5
394;1 up to 10 employed persons;350600;2005;78.9;9.5
395;1 up to 10 employed persons;350600;2006 1st quarter;59.0;16.9
396;1 up to 10 employed persons;350600;2006 2nd quarter;95.7;14.2
397;1 up to 10 employed persons;350600;2006 3rd quarter;88.4;13.9
398;1 up to 10 employed persons;350600;2006 4th quarter;120.5;16.3
399;1 up to 10 employed persons;350600;2006;90.9;15.2
400;1 up to 10 employed persons;350600;2007 1st quarter;75.2;27.5
401;1 up to 10 employed persons;350600;2007 2nd quarter;107.5;12.4
402;1 up to 10 employed persons;350600;2007 3rd quarter;100.5;13.8
403;1 up to 10 employed persons;350600;2007 4th quarter;126.8;5.2
404;1 up to 10 employed persons;350600;2007;102.5;12.8
405;1 up to 10 employed persons;350600;2008 1st quarter;95.6;27.2
406;1 up to 10 employed persons;350600;2008 2nd quarter;125.8;17.0
407;1 up to 10 employed persons;350600;2008 3rd quarter;111.0;10.4
408;1 up to 10 employed persons;350600;2008 4th quarter;143.6;13.3
409;1 up to 10 employed persons;350600;2008;119.0;16.1
410;1 up to 10 employed persons;350600;2009 1st quarter;101.1;5.7
411;1 up to 10 employed persons;350600;2009 2nd quarter;130.3;3.5
412;1 up to 10 employed persons;350600;2009 3rd quarter;118.5;6.8
413;1 up to 10 employed persons;350600;2009 4th quarter;149.8;4.3
414;1 up to 10 employed persons;350600;2009;124.9;4.9
