ID;Geslacht;Leeftijden;SociaalEconomischeCategorie;Migratieachtergrond;LandVanBestemming;Perioden;Emigranten_1
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2006;24.8
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2007;25.3
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2008;24.5
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2009;24.3
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2010;26.6
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2011;30.5
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2000;3.0
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2001;3.3
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2002;3.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2003;3.5
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2004;3.8
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2005;4.1
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2006;4.4
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2007;4.7
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2008;4.3
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2009;4.1
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2010;4.4
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Afrika;2011;4.9
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2000;12.7
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2001;12.5
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2002;13.4
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2003;14.0
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2004;15.0
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2005;16.6
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2006;16.7
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2007;15.9
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2008;15.0
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2009;14.2
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2010;15.2
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Amerika;2011;17.5
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2000;5.4
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2001;5.4
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2002;5.5
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2003;6.2
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2004;6.9
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2005;8.5
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2006;10.1
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2007;11.1
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2008;11.0
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2009;11.7
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2010;12.4
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Azië;2011;14.3
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2000;2.0
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2001;2.0
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2002;2.0
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2003;2.2
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2004;2.2
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2005;3.0
78;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2006;3.7
79;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2007;3.2
80;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2008;3.1
81;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2009;2.6
82;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2010;2.6
83;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Oceanië;2011;3.0
84;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2000;38.2
85;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2001;40.3
86;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2002;42.6
87;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2003;43.3
88;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2004;47.5
89;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2005;51.6
90;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2006;56.4
91;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2007;56.8
92;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2008;56.7
93;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2009;53.1
94;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2010;55.1
95;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europa (exclusief Nederland);2011;64.3
96;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2000;34.4
97;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2001;36.7
98;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2002;39.1
99;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2003;39.4
100;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2004;42.4
101;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2005;46.2
102;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2006;50.5
103;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2007;50.5
104;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2008;50.5
105;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2009;47.3
106;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2010;48.8
107;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Europese Unie (exclusief Nederland);2011;57.1
108;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2000;1.4
109;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2001;1.4
110;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2002;1.4
111;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2003;1.5
112;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2004;1.9
113;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2005;2.4
114;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2006;3.1
115;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2007;3.8
116;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2008;5.5
117;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2009;6.9
118;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2010;7.1
119;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Midden- en Oost-Europese landen in de EU;2011;9.9
120;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2000;8.0
121;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2001;8.7
122;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2002;9.2
123;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2003;9.3
124;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2004;9.5
125;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2005;10.7
126;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2006;12.1
127;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2007;12.0
128;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2008;11.7
129;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2009;9.6
130;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2010;9.3
131;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;België;2011;9.8
132;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2000;1.3
133;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2001;1.3
134;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2002;1.3
135;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2003;1.2
136;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2004;1.3
137;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2005;1.6
138;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2006;1.6
139;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2007;1.5
140;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2008;1.5
141;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2009;1.3
142;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2010;1.3
143;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Canada;2011;1.6
144;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2000;0.5
145;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2001;0.6
146;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2002;0.7
147;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2003;0.8
148;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2004;1.0
149;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2005;1.3
150;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2006;1.6
151;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2007;1.7
152;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2008;1.7
153;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2009;1.7
154;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2010;2.0
155;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;China;2011;2.7
156;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2000;7.7
157;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2001;9.1
158;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2002;10.8
159;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2003;9.9
160;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2004;9.6
161;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2005;10.3
162;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2006;11.0
163;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2007;11.6
164;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2008;11.8
165;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2009;10.4
166;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2010;10.6
167;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Duitsland;2011;12.4
168;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2000;3.2
169;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2001;3.2
170;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2002;3.4
171;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2003;3.4
172;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2004;3.5
173;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2005;4.0
174;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2006;3.9
175;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2007;3.7
176;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2008;3.6
177;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2009;3.4
178;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2010;3.5
179;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Frankrijk;2011;4.0
180;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2000;0.3
181;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2001;0.3
182;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2002;0.2
183;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2003;0.2
184;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2004;0.3
185;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2005;0.4
186;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2006;0.7
187;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2007;1.2
188;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2008;1.5
189;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2009;1.9
190;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2010;1.9
191;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;India;2011;2.1
192;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2000;1.1
193;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2001;1.1
194;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2002;1.2
195;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2003;1.3
196;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2004;1.1
197;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2005;1.2
198;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2006;1.4
199;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2007;1.5
200;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2008;1.3
201;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2009;1.4
202;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2010;1.6
203;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Italië;2011;1.9
204;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2000;3.7
205;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2001;4.1
206;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2002;5.0
207;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2003;6.2
208;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2004;6.8
209;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2005;7.1
210;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2006;6.3
211;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2007;5.4
212;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2008;5.3
213;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2009;5.0
214;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2010;5.5
215;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;(voormalige) Nederlandse Antillen, Aruba;2011;5.8
216;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2000;0.6
217;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2001;0.7
218;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2002;0.6
219;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2003;0.7
220;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2004;0.8
221;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2005;0.8
222;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2006;0.8
223;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2007;0.9
224;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2008;0.9
225;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2009;0.8
226;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2010;0.9
227;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Marokko;2011;1.0
228;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2000;0.6
229;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2001;0.6
230;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2002;0.5
231;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2003;0.6
232;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2004;0.8
233;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2005;1.0
234;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2006;1.4
235;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2007;1.8
236;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2008;2.9
237;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2009;3.6
238;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2010;3.6
239;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Polen;2011;4.9
240;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2000;0.7
241;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2001;0.7
242;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2002;0.7
243;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2003;0.7
244;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2004;0.7
245;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2005;0.9
246;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2006;1.0
247;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2007;0.9
248;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2008;0.9
249;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2009;1.0
250;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2010;1.2
251;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Portugal;2011;1.2
252;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2000;2.9
253;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2001;2.8
254;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2002;3.1
255;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2003;3.4
256;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2004;3.6
257;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2005;4.1
258;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2006;4.4
259;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2007;4.0
260;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2008;4.0
261;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2009;3.5
262;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2010;3.5
263;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Spanje;2011;4.3
264;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Suriname;2000;0.8
265;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Suriname;2001;0.8
266;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Suriname;2002;1.0
267;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Suriname;2003;1.0
268;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Suriname;2004;1.1
269;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Suriname;2005;1.4
270;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Suriname;2006;1.4
271;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Suriname;2007;1.3
272;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Suriname;2008;1.2
273;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Suriname;2009;1.1
274;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Suriname;2010;1.2
