ID;InstitutionalSectors;NotConsolidatedConsolidated;BalanceSheetsAndTransactions;Periods;Total_1;Total_2;MonetaryGold_3;SpecialDrawingRightsSDRs_4;Total_5;Currency_6;TransferableDeposits_7;Total_8;SavingsDeposits_9;OtherDeposits_10;Total_11;ShortTermSecurities_12;LongTermSecurities_13;Total_14;ShortTermLoans_15;LongTermLoans_16;Total_17;Total_18;ListedShares_19;UnlistedShares_20;OtherEquity_21;Total_22;MoneyMarketFundMMFSharesOrUnits_23;NonMMFInvestmentFundSharesUnits_24;Total_25;NonLifeInsuranceTechnicalReserves_26;LifeInsuranceAndAnnuityEntitlements_27;PensionEntitlementsAndClaims_28;ProvisionsForCallsUnderGuarantees_29;Total_30;Total_31;Options_32;Forwards_33;EmployeeStockOptions_34;Total_35;TradeCreditsAndAdvances_36;OtherReceivablePayable_37;Totaal_38;Total_39;MonetaryGold_40;SpecialDrawingRightsSDRs_41;Total_42;Currency_43;TransferableDeposits_44;Total_45;SavingsDeposits_46;OtherDeposits_47;Total_48;ShortTermSecurities_49;LongTermSecurities_50;Total_51;ShortTermLoans_52;LongTermLoans_53;Total_54;Total_55;ListedShares_56;UnlistedShares_57;OtherEquity_58;Total_59;MoneyMarketFundMMFSharesOrUnits_60;NonMMFInvestmentFundSharesUnits_61;Total_62;NonLifeInsuranceTechnicalReserves_63;LifeInsuranceAndAnnuityEntitlements_64;PensionEntitlementsAndClaims_65;ProvisionsForCallsUnderGuarantees_66;Total_67;Total_68;Options_69;Forwards_70;EmployeeStock_71;Total_72;TradeCreditsAndAdvances_73;OtherReceivablePayable_74;NetWorth_75
10;Total domestic sectors;Not consolidated;Opening balance sheet;2000 2nd quarter;5323661.0;9472.0;8493.0;979.0;589220.0;18665.0;181783.0;388772.0;;;440736.0;32964.0;407772.0;1628616.0;381096.0;1247520.0;1716750.0;1621929.0;552256.0;1027401.0;42272.0;94821.0;7693.0;87128.0;585549.0;29491.0;99440.0;455627.0;991.0;47125.0;46618.0;;;;306193.0;45508.0;260685.0;5701771.0;729.0;;729.0;715741.0;18622.0;184852.0;512267.0;;;740851.0;56510.0;684341.0;1516685.0;380644.0;1136041.0;1779067.0;1682035.0;688041.0;969762.0;24232.0;97032.0;6541.0;90491.0;588122.0;29626.0;100711.0;456794.0;991.0;19778.0;19271.0;;;;340798.0;83577.0;257221.0;-378110.0
11;Total domestic sectors;Not consolidated;Opening balance sheet;2000 3rd quarter;5380319.0;9671.0;8525.0;1146.0;587963.0;19301.0;188494.0;380168.0;;;450704.0;31729.0;418975.0;1663839.0;385977.0;1277862.0;1742544.0;1647101.0;550807.0;1051238.0;45056.0;95443.0;7892.0;87551.0;594931.0;29573.0;99089.0;465268.0;1001.0;34081.0;33574.0;;;;296586.0;45946.0;250640.0;5767811.0;733.0;;733.0;700060.0;19247.0;185391.0;495422.0;;;752735.0;54508.0;698227.0;1548041.0;392732.0;1155309.0;1812976.0;1715413.0;701211.0;989965.0;24237.0;97563.0;6643.0;90920.0;597423.0;29708.0;100341.0;466373.0;1001.0;19778.0;19271.0;;;;336065.0;84981.0;251084.0;-387492.0
12;Total domestic sectors;Not consolidated;Opening balance sheet;2000 4th quarter;5483076.0;9800.0;8557.0;1243.0;607378.0;18841.0;182593.0;405944.0;;;461173.0;31686.0;429487.0;1701023.0;404390.0;1296633.0;1775976.0;1675420.0;554025.0;1073553.0;47842.0;100556.0;7830.0;92726.0;604092.0;29655.0;98493.0;474933.0;1011.0;35543.0;35036.0;;;;288091.0;45467.0;242624.0;5890854.0;737.0;;737.0;732101.0;18742.0;183828.0;529531.0;;;790330.0;54111.0;736219.0;1555653.0;389907.0;1165746.0;1830561.0;1727373.0;697078.0;1006053.0;24242.0;103188.0;6484.0;96704.0;606505.0;29790.0;99728.0;475976.0;1011.0;19778.0;19271.0;;;;355189.0;85466.0;269723.0;-407778.0
13;Total domestic sectors;Not consolidated;Opening balance sheet;2000;5119013.0;10154.0;9141.0;1013.0;541186.0;19598.0;157053.0;364535.0;142752.0;221783.0;421991.0;38343.0;383648.0;1603983.0;375634.0;1228349.0;1650932.0;1565636.0;525124.0;1001024.0;39488.0;85296.0;7668.0;77628.0;572812.0;29106.0;96759.0;445965.0;982.0;36772.0;36265.0;;;;281183.0;44685.0;236498.0;5533004.0;724.0;;724.0;653014.0;19629.0;169210.0;464175.0;139016.0;325159.0;720323.0;46437.0;673886.0;1483972.0;363047.0;1120925.0;1738332.0;1651836.0;674570.0;953039.0;24227.0;86496.0;6613.0;79883.0;575391.0;29241.0;97974.0;447194.0;982.0;19778.0;19271.0;;;;341470.0;81783.0;259687.0;-413991.0
14;Total domestic sectors;Not consolidated;Opening balance sheet;2001 1st quarter;5516519.0;9660.0;8590.0;1070.0;603063.0;19482.0;184447.0;399134.0;;;465283.0;29361.0;435922.0;1748101.0;408151.0;1339950.0;1746886.0;1651908.0;518545.0;1082734.0;50629.0;94978.0;6547.0;88431.0;619222.0;30190.0;103423.0;484589.0;1020.0;30901.0;30394.0;;;;293403.0;45004.0;248399.0;5914040.0;742.0;;742.0;703527.0;19379.0;183822.0;500326.0;;;805965.0;46692.0;759273.0;1606765.0;403364.0;1203401.0;1801622.0;1704599.0;663044.0;1017307.0;24248.0;97023.0;5105.0;91918.0;621606.0;30325.0;104689.0;485572.0;1020.0;19778.0;19271.0;;;;354035.0;85969.0;268066.0;-397521.0
15;Total domestic sectors;Not consolidated;Opening balance sheet;2001 2nd quarter;5625926.0;9740.0;8749.0;991.0;676806.0;17929.0;198147.0;460730.0;;;470672.0;28255.0;442417.0;1835981.0;450814.0;1385167.0;1695511.0;1610139.0;465080.0;1094723.0;50336.0;85372.0;5022.0;80350.0;624496.0;30916.0;106115.0;486435.0;1030.0;26408.0;25901.0;;;;286312.0;49554.0;236758.0;5992715.0;745.0;;745.0;792290.0;17869.0;211481.0;562940.0;;;819873.0;60602.0;759271.0;1655122.0;418827.0;1236295.0;1718383.0;1631669.0;584570.0;1022845.0;24254.0;86714.0;3409.0;83305.0;626921.0;31051.0;107431.0;487409.0;1030.0;19778.0;19271.0;;;;359603.0;87229.0;272374.0;-366789.0
16;Total domestic sectors;Not consolidated;Opening balance sheet;2001 3rd quarter;5704164.0;10089.0;8887.0;1202.0;653853.0;17858.0;198896.0;437099.0;;;472188.0;29744.0;442444.0;1876114.0;466627.0;1409487.0;1748216.0;1658769.0;492589.0;1116137.0;50043.0;89447.0;4438.0;85009.0;620122.0;31055.0;99282.0;488746.0;1039.0;28201.0;27694.0;;;;295381.0;53147.0;242234.0;6064645.0;748.0;;748.0;781945.0;17841.0;207945.0;556159.0;;;849778.0;62323.0;787455.0;1678877.0;421094.0;1257783.0;1761160.0;1669981.0;597588.0;1048133.0;24260.0;91179.0;2706.0;88473.0;622544.0;31190.0;100610.0;489705.0;1039.0;19778.0;19271.0;;;;349815.0;87531.0;262284.0;-360481.0
17;Total domestic sectors;Not consolidated;Opening balance sheet;2001 4th quarter;5640898.0;9810.0;8799.0;1011.0;667101.0;15957.0;192592.0;458552.0;;;466336.0;28063.0;438273.0;1893286.0;466703.0;1426583.0;1641246.0;1561709.0;396279.0;1115680.0;49750.0;79537.0;4160.0;75377.0;626036.0;31207.0;102595.0;491185.0;1049.0;24881.0;24374.0;;;;312202.0;56130.0;256072.0;5981391.0;752.0;;752.0;799885.0;15983.0;203444.0;580458.0;;;854989.0;62434.0;792555.0;1682138.0;418241.0;1263897.0;1642636.0;1562406.0;472577.0;1065564.0;24265.0;80230.0;2273.0;77957.0;628495.0;31342.0;103966.0;492138.0;1049.0;19778.0;19271.0;;;;352718.0;87228.0;265490.0;-340493.0
18;Total domestic sectors;Not consolidated;Opening balance sheet;2001;5516519.0;9660.0;8590.0;1070.0;603063.0;19482.0;184447.0;399134.0;149313.0;249821.0;465283.0;29361.0;435922.0;1748101.0;408151.0;1339950.0;1746886.0;1651908.0;518545.0;1082734.0;50629.0;94978.0;6547.0;88431.0;619222.0;30190.0;103423.0;484589.0;1020.0;30901.0;30394.0;;;;293403.0;45004.0;248399.0;5914040.0;742.0;;742.0;703527.0;19379.0;183822.0;500326.0;143894.0;356432.0;805965.0;46692.0;759273.0;1606765.0;403364.0;1203401.0;1801622.0;1704599.0;663044.0;1017307.0;24248.0;97023.0;5105.0;91918.0;621606.0;30325.0;104689.0;485572.0;1020.0;19778.0;19271.0;;;;354035.0;85969.0;268066.0;-397521.0
19;Total domestic sectors;Not consolidated;Opening balance sheet;2002 1st quarter;5823895.0;9784.0;8958.0;826.0;701501.0;12268.0;200563.0;488670.0;;;499193.0;28567.0;470626.0;1874223.0;439340.0;1434883.0;1769147.0;1682645.0;459372.0;1173817.0;49456.0;86502.0;3884.0;82618.0;626990.0;31789.0;100711.0;493431.0;1059.0;22509.0;22002.0;;;;320548.0;58906.0;261642.0;6171837.0;755.0;;755.0;811521.0;12336.0;223705.0;575480.0;;;887433.0;55820.0;831613.0;1711400.0;418884.0;1292516.0;1742617.0;1655357.0;524620.0;1106467.0;24270.0;87260.0;1801.0;85459.0;629471.0;31924.0;102110.0;494378.0;1059.0;19778.0;19271.0;;;;368862.0;86717.0;282145.0;-347942.0
20;Total domestic sectors;Not consolidated;Opening balance sheet;2002 2nd quarter;5884368.0;9768.0;9043.0;725.0;714191.0;15553.0;201116.0;497522.0;;;508372.0;28486.0;479886.0;1878140.0;448050.0;1430090.0;1798907.0;1709854.0;488606.0;1173415.0;47833.0;89053.0;3862.0;85191.0;630575.0;32348.0;97972.0;499187.0;1068.0;19151.0;18644.0;;;;325264.0;57150.0;268114.0;6236085.0;738.0;;738.0;852939.0;15583.0;220282.0;617074.0;;;901209.0;67704.0;833505.0;1697128.0;406959.0;1290169.0;1763158.0;1673549.0;557971.0;1091304.0;24274.0;89609.0;1739.0;87870.0;632916.0;32483.0;99266.0;500099.0;1068.0;19778.0;19271.0;;;;368219.0;86692.0;281527.0;-351717.0
21;Total domestic sectors;Not consolidated;Opening balance sheet;2002 3rd quarter;5832523.0;9648.0;9027.0;621.0;736563.0;16286.0;207319.0;512958.0;;;510456.0;27981.0;482475.0;1904123.0;467392.0;1436731.0;1697297.0;1619392.0;408693.0;1164488.0;46211.0;77905.0;3865.0;74040.0;639766.0;32498.0;100836.0;505354.0;1078.0;15520.0;15013.0;;;;319150.0;54464.0;264686.0;6185307.0;721.0;;721.0;861042.0;16366.0;215575.0;629101.0;;;922732.0;66909.0;855823.0;1717387.0;410902.0;1306485.0;1654664.0;1577105.0;469411.0;1083416.0;24278.0;77559.0;1681.0;75878.0;642090.0;32633.0;102147.0;506232.0;1078.0;19778.0;19271.0;;;;366893.0;85737.0;281156.0;-352784.0
22;Total domestic sectors;Not consolidated;Opening balance sheet;2002 4th quarter;5791342.0;9695.0;9111.0;584.0;745770.0;16834.0;209457.0;519479.0;;;538814.0;29023.0;509791.0;1904734.0;454413.0;1450321.0;1611149.0;1539865.0;327712.0;1167564.0;44589.0;71284.0;3894.0;67390.0;654847.0;32564.0;109763.0;511433.0;1087.0;13162.0;12655.0;;;;313171.0;51305.0;261866.0;6079802.0;704.0;;704.0;882962.0;16897.0;209731.0;656334.0;;;929079.0;76867.0;852212.0;1740949.0;431107.0;1309842.0;1493732.0;1423343.0;317026.0;1082035.0;24282.0;70389.0;1623.0;68766.0;657166.0;32699.0;111102.0;512278.0;1087.0;19778.0;19271.0;;;;355432.0;84310.0;271122.0;-288460.0
23;Total domestic sectors;Not consolidated;Opening balance sheet;2002;5823895.0;9784.0;8958.0;826.0;701501.0;12268.0;200563.0;488670.0;166800.0;321870.0;499193.0;28567.0;470626.0;1874223.0;439340.0;1434883.0;1769147.0;1682645.0;459372.0;1173817.0;49456.0;86502.0;3884.0;82618.0;626990.0;31789.0;100711.0;493431.0;1059.0;22509.0;22002.0;;;;320548.0;58906.0;261642.0;6171837.0;755.0;;755.0;811521.0;12336.0;223705.0;575480.0;161544.0;413936.0;887433.0;55820.0;831613.0;1711400.0;418884.0;1292516.0;1742617.0;1655357.0;524620.0;1106467.0;24270.0;87260.0;1801.0;85459.0;629471.0;31924.0;102110.0;494378.0;1059.0;19778.0;19271.0;;;;368862.0;86717.0;282145.0;-347942.0
24;Total domestic sectors;Not consolidated;Opening balance sheet;2003 1st quarter;5843848.0;9469.0;8949.0;520.0;745487.0;18684.0;203121.0;523682.0;;;556868.0;29784.0;527084.0;1912326.0;445738.0;1466588.0;1630246.0;1557161.0;348480.0;1165714.0;42967.0;73085.0;3778.0;69307.0;662985.0;32970.0;111735.0;517183.0;1097.0;11851.0;11344.0;;;;314616.0;47754.0;266862.0;6122995.0;687.0;;687.0;874061.0;18754.0;215767.0;639540.0;;;957696.0;73022.0;884674.0;1749901.0;423580.0;1326321.0;1507965.0;1435729.0;341691.0;1069752.0;24286.0;72236.0;1565.0;70671.0;665292.0;33105.0;113100.0;517990.0;1097.0;19778.0;19271.0;;;;347615.0;82501.0;265114.0;-279147.0
25;Total domestic sectors;Not consolidated;Opening balance sheet;2003 2nd quarter;5945917.0;9405.0;8877.0;528.0;798961.0;18104.0;206807.0;574050.0;;;570344.0;35960.0;534384.0;1950624.0;448608.0;1502016.0;1611239.0;1541922.0;316270.0;1182778.0;42874.0;69317.0;3893.0;65424.0;678028.0;33841.0;114483.0;528605.0;1099.0;13878.0;13371.0;;;;313438.0;48652.0;264786.0;6185886.0;671.0;;671.0;911440.0;18202.0;235182.0;658056.0;;;974063.0;86914.0;887149.0;1813742.0;447673.0;1366069.0;1444190.0;1375625.0;272868.0;1078468.0;24289.0;68565.0;1627.0;66938.0;680459.0;33976.0;115945.0;529439.0;1099.0;19778.0;19271.0;;;;341543.0;83608.0;257935.0;-239969.0
26;Total domestic sectors;Not consolidated;Opening balance sheet;2003 3rd quarter;6070888.0;9399.0;8902.0;497.0;796746.0;19170.0;214566.0;563010.0;;;589619.0;38071.0;551548.0;1975937.0;434557.0;1541380.0;1668158.0;1592645.0;350229.0;1199636.0;42780.0;75513.0;4008.0;71505.0;697728.0;34461.0;116198.0;545968.0;1101.0;11344.0;10837.0;;;;321957.0;48528.0;273429.0;6310865.0;656.0;;656.0;911476.0;19338.0;241207.0;650931.0;;;1003413.0;92026.0;911387.0;1819635.0;438030.0;1381605.0;1493883.0;1418227.0;309507.0;1084429.0;24291.0;75656.0;1688.0;73968.0;700224.0;34596.0;117690.0;546837.0;1101.0;19778.0;19271.0;;;;361800.0;83678.0;278122.0;-239977.0
27;Total domestic sectors;Not consolidated;Opening balance sheet;2003 4th quarter;6156670.0;9379.0;8864.0;515.0;804408.0;19730.0;214541.0;570137.0;;;595608.0;36058.0;559550.0;1985892.0;423265.0;1562627.0;1715538.0;1638817.0;370095.0;1226037.0;42685.0;76721.0;4116.0;72605.0;709461.0;34969.0;114642.0;558747.0;1103.0;11557.0;11050.0;;;;324827.0;47799.0;277028.0;6391466.0;640.0;;640.0;918743.0;19924.0;234226.0;664593.0;;;1005319.0;80619.0;924700.0;1833597.0;433096.0;1400501.0;1522033.0;1444360.0;325362.0;1094705.0;24293.0;77673.0;1755.0;75918.0;712000.0;35104.0;116147.0;559646.0;1103.0;19778.0;19271.0;;;;379356.0;83139.0;296217.0;-234796.0
28;Total domestic sectors;Not consolidated;Opening balance sheet;2003;5843848.0;9469.0;8949.0;520.0;745487.0;18684.0;203121.0;523682.0;182714.0;340968.0;556868.0;29784.0;527084.0;1912326.0;445738.0;1466588.0;1630246.0;1557161.0;348480.0;1165714.0;42967.0;73085.0;3778.0;69307.0;662985.0;32970.0;111735.0;517183.0;1097.0;11851.0;11344.0;;;;314616.0;47754.0;266862.0;6122995.0;687.0;;687.0;874061.0;18754.0;215767.0;639540.0;177619.0;461921.0;957696.0;73022.0;884674.0;1749901.0;423580.0;1326321.0;1507965.0;1435729.0;341691.0;1069752.0;24286.0;72236.0;1565.0;70671.0;665292.0;33105.0;113100.0;517990.0;1097.0;19778.0;19271.0;;;;347615.0;82501.0;265114.0;-279147.0
29;Total domestic sectors;Not consolidated;Opening balance sheet;2004 1st quarter;6233196.0;8718.0;8258.0;460.0;814903.0;21664.0;217455.0;575784.0;;;594658.0;34703.0;559955.0;1993240.0;401484.0;1591756.0;1768670.0;1690420.0;396354.0;1251475.0;42591.0;78250.0;4182.0;74068.0;720620.0;35277.0;111546.0;572692.0;1105.0;10705.0;10198.0;;;;321682.0;47204.0;274478.0;6470545.0;625.0;;625.0;925622.0;21917.0;239857.0;663848.0;;;1003049.0;74406.0;928643.0;1854742.0;431218.0;1423524.0;1564507.0;1484507.0;364015.0;1096196.0;24296.0;80000.0;1817.0;78183.0;723202.0;35412.0;113063.0;573622.0;1105.0;19778.0;19271.0;;;;379020.0;82728.0;296292.0;-237349.0
30;Total domestic sectors;Not consolidated;Opening balance sheet;2004 2nd quarter;6325042.0;8653.0;8203.0;450.0;822087.0;20629.0;214455.0;587003.0;;;614178.0;39092.0;575086.0;2007770.0;407117.0;1600653.0;1811856.0;1730539.0;414729.0;1273841.0;41969.0;81317.0;4133.0;77184.0;728961.0;35701.0;118959.0;573196.0;1105.0;15063.0;14556.0;;;;316474.0;50385.0;266089.0;6547198.0;620.0;;620.0;941140.0;22480.0;229962.0;688698.0;;;1017814.0;86181.0;931633.0;1866735.0;439701.0;1427034.0;1587074.0;1503746.0;364435.0;1115012.0;24299.0;83328.0;1828.0;81500.0;731604.0;35836.0;120538.0;574125.0;1105.0;19778.0;19271.0;;;;382433.0;85305.0;297128.0;-222156.0
31;Total domestic sectors;Not consolidated;Opening balance sheet;2004 3rd quarter;6435954.0;8540.0;8148.0;392.0;867641.0;21494.0;227079.0;619068.0;;;627398.0;43212.0;584186.0;2021233.0;415191.0;1606042.0;1850536.0;1772722.0;428214.0;1303180.0;41328.0;77814.0;4128.0;73686.0;721549.0;36193.0;113519.0;570732.0;1105.0;13980.0;13473.0;;;;325077.0;53275.0;271802.0;6664333.0;615.0;;615.0;1000313.0;23834.0;248737.0;727742.0;;;1037991.0;85376.0;952615.0;1876003.0;449990.0;1426013.0;1613884.0;1534251.0;375255.0;1134695.0;24301.0;79633.0;1828.0;77805.0;724115.0;36328.0;115013.0;571669.0;1105.0;19778.0;19271.0;;;;391634.0;87527.0;304107.0;-228379.0
