ID;Geslacht;Leeftijd;MboSectoren;BedrijfstakkenSBI20081JaarEerder;Perioden;InstromersTotaal_1;Entreeopleiding_2;Niveau2_3;Niveau3_4;Niveau4_5;BeroepsopleidendeLeerwegBol_6;BeroepsbegeleidendeLeerwegBbl_7;BolEntreeopleiding_8;BolNiveau2_9;BolNiveau3_10;BolNiveau4_11;BblEntreeopleiding_12;BblNiveau2_13;BblNiveau3_14;BblNiveau4_15
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2017/'18;727;99;208;284;136;35;692;7;1;8;19;92;207;276;117
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2018/'19;820;83;301;286;150;48;772;8;10;3;27;75;291;283;123
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2019/'20;863;141;233;289;200;66;797;23;10;7;26;118;223;282;174
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2020/'21;667;76;179;237;175;67;600;18;6;7;36;58;173;230;139
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2009/'10;1860;52;792;571;445;105;1755;19;32;22;32;33;760;549;413
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2010/'11;946;38;527;229;152;71;875;7;22;11;31;31;505;218;121
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2011/'12;733;43;374;197;119;43;690;4;15;12;12;39;359;185;107
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2012/'13;591;21;302;151;117;43;548;4;18;10;11;17;284;141;106
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2013/'14;253;15;97;65;76;26;227;4;4;5;13;11;93;60;63
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2014/'15;151;10;67;39;35;19;132;3;7;2;7;7;60;37;28
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2015/'16;191;14;66;71;40;26;165;5;5;2;14;9;61;69;26
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2016/'17;235;6;70;79;80;20;215;2;6;1;11;4;64;78;69
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2017/'18;232;9;67;88;68;15;217;2;6;4;3;7;61;84;65
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2018/'19;315;23;112;98;82;22;293;10;2;1;9;13;110;97;73
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2019/'20;296;19;106;95;76;17;279;4;2;1;10;15;104;94;66
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;F Bouwnijverheid;2020/'21;278;19;122;78;59;17;261;4;5;2;6;15;117;76;53
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2009/'10;11241;767;7117;1796;1561;1599;9642;191;425;306;677;576;6692;1490;884
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2010/'11;7243;638;3937;1300;1368;1418;5825;166;333;269;650;472;3604;1031;718
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2011/'12;7162;546;4159;1208;1249;1355;5807;131;335;248;641;415;3824;960;608
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2012/'13;6204;703;3005;1214;1282;1355;4849;197;262;210;686;506;2743;1004;596
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2013/'14;2987;258;884;608;1237;1451;1536;167;273;199;812;91;611;409;425
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2014/'15;2615;279;690;517;1129;1311;1304;196;224;137;754;83;466;380;375
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2015/'16;2509;270;677;508;1054;1275;1234;191;228;155;701;79;449;353;353
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2016/'17;2525;203;561;618;1143;975;1550;125;89;93;668;78;472;525;475
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2017/'18;2677;233;587;793;1064;943;1734;152;83;105;603;81;504;688;461
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2018/'19;3518;340;769;1062;1347;1032;2486;216;82;77;657;124;687;985;690
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2019/'20;3699;398;774;1088;1439;1121;2578;229;109;112;671;169;665;976;768
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;G-I Handel, vervoer en horeca;2020/'21;3632;463;613;980;1576;1289;2343;328;117;84;760;135;496;896;816
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2009/'10;301;8;83;99;111;57;244;4;17;14;22;4;66;85;89
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2010/'11;173;9;48;58;58;42;131;3;14;5;20;6;34;53;38
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2011/'12;165;10;43;74;38;34;131;1;13;9;11;9;30;65;27
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2012/'13;120;8;26;38;48;26;94;2;4;4;16;6;22;34;32
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2013/'14;62;2;16;9;35;25;37;2;4;2;17;0;12;7;18
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2014/'15;35;1;12;7;15;9;26;1;1;0;7;0;11;7;8
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2015/'16;30;1;10;4;15;10;20;1;0;0;9;0;10;4;6
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2016/'17;51;2;14;14;21;10;41;1;3;0;6;1;11;14;15
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2017/'18;67;1;12;24;30;13;54;0;0;1;12;1;12;23;18
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2018/'19;96;5;20;38;33;15;81;2;0;3;10;3;20;35;23
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2019/'20;105;6;13;38;48;17;88;4;2;0;11;2;11;38;37
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;J Informatie en communicatie;2020/'21;101;2;19;37;43;14;87;1;0;0;13;1;19;37;30
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2009/'10;793;21;74;61;637;61;732;3;10;18;30;18;64;43;607
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2010/'11;336;44;36;38;218;42;294;2;7;9;24;42;29;29;194
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2011/'12;316;3;54;64;195;47;269;0;12;12;23;3;42;52;172
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2012/'13;205;1;32;30;142;26;179;0;9;3;14;1;23;27;128
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2013/'14;84;0;15;16;53;19;65;0;6;1;12;0;9;15;41
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2014/'15;43;3;13;10;17;6;37;1;0;0;5;2;13;10;12
78;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2015/'16;42;1;15;12;14;6;36;0;1;1;4;1;14;11;10
79;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2016/'17;49;1;6;25;17;5;44;0;0;2;3;1;6;23;14
80;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2017/'18;141;2;13;43;83;6;135;0;1;1;4;2;12;42;79
81;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2018/'19;123;0;17;45;61;4;119;0;0;1;3;0;17;44;58
82;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2019/'20;131;5;6;38;82;8;123;2;0;0;6;3;6;38;76
83;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;K Financiële dienstverlening;2020/'21;58;3;8;24;23;9;49;2;1;2;4;1;7;22;19
84;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2009/'10;164;29;66;44;25;19;145;2;5;7;5;27;61;37;20
85;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2010/'11;115;6;26;43;40;16;99;0;3;4;9;6;23;39;31
86;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2011/'12;82;4;55;14;9;9;73;1;0;5;3;3;55;9;6
87;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2012/'13;77;2;48;19;8;11;66;2;4;2;3;0;44;17;5
88;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2013/'14;58;3;40;7;8;8;50;2;3;0;3;1;37;7;5
89;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2014/'15;29;1;13;9;6;9;20;1;3;2;3;0;10;7;3
90;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2015/'16;29;2;21;2;4;5;24;2;0;0;3;0;21;2;1
91;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2016/'17;51;2;28;17;4;3;48;0;0;0;3;2;28;17;1
92;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2017/'18;35;0;5;18;12;2;33;0;0;0;2;0;5;18;10
93;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2018/'19;44;0;16;19;9;5;39;0;1;0;4;0;15;19;5
94;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2019/'20;40;3;5;15;17;2;38;2;0;0;0;1;5;15;17
95;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;L Verhuur en handel van onroerend goed;2020/'21;28;2;0;14;12;6;22;2;0;0;4;0;0;14;8
96;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2009/'10;6047;1086;2287;1400;1274;1362;4685;242;435;240;445;844;1852;1160;829
97;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2010/'11;4693;833;1498;1606;756;980;3713;178;264;141;397;655;1234;1465;359
98;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2011/'12;3608;687;1541;824;556;720;2888;122;235;99;264;565;1306;725;292
99;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2012/'13;3151;904;1104;635;508;658;2493;126;185;84;263;778;919;551;245
100;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2013/'14;1611;354;524;288;445;558;1053;105;134;46;273;249;390;242;172
101;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2014/'15;1324;309;412;215;388;437;887;78;76;56;227;231;336;159;161
102;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2015/'16;1314;280;431;276;327;429;885;106;68;44;211;174;363;232;116
103;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2016/'17;1578;243;554;407;374;381;1197;83;50;32;216;160;504;375;158
104;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2017/'18;1887;235;571;626;455;396;1491;85;45;39;227;150;526;587;228
105;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2018/'19;2433;419;689;743;582;486;1947;150;53;47;236;269;636;696;346
106;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2019/'20;2393;463;651;641;638;542;1851;195;64;39;244;268;587;602;394
107;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;M-N Zakelijke dienstverlening;2020/'21;2304;615;500;524;665;653;1651;252;72;37;292;363;428;487;373
108;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2009/'10;7670;740;2196;2750;1984;907;6763;39;217;270;381;701;1979;2480;1603
109;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2010/'11;6622;531;1698;2252;2141;770;5852;35;145;216;374;496;1553;2036;1767
110;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2011/'12;6010;485;1930;2146;1449;607;5403;38;148;196;225;447;1782;1950;1224
111;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2012/'13;5805;422;1733;2192;1458;427;5378;20;98;157;152;402;1635;2035;1306
112;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2013/'14;3602;270;1050;1308;974;266;3336;21;51;61;133;249;999;1247;841
113;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2014/'15;2584;117;556;1188;723;121;2463;9;19;26;67;108;537;1162;656
114;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2015/'16;2466;156;462;1198;650;125;2341;10;12;33;70;146;450;1165;580
115;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2016/'17;3916;57;684;1817;1358;79;3837;5;16;23;35;52;668;1794;1323
116;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2017/'18;3616;82;631;1537;1366;106;3510;7;9;29;61;75;622;1508;1305
117;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2018/'19;3666;75;780;1357;1454;91;3575;13;13;18;47;62;767;1339;1407
118;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2019/'20;3319;129;731;1087;1372;54;3265;6;8;6;34;123;723;1081;1338
119;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;O-Q Overheid en zorg;2020/'21;3291;107;750;1110;1324;116;3175;24;15;11;66;83;735;1099;1258
120;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2009/'10;874;56;312;230;276;171;703;8;44;46;73;48;268;184;203
121;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2010/'11;602;66;155;166;215;158;444;8;34;41;75;58;121;125;140
122;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2011/'12;932;378;263;129;162;136;796;12;39;25;60;366;224;104;102
123;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2012/'13;728;254;230;113;131;114;614;12;34;16;52;242;196;97;79
124;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2013/'14;249;40;62;54;93;81;168;14;11;9;47;26;51;45;46
125;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2014/'15;163;33;38;28;64;71;92;10;10;7;44;23;28;21;20
126;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2015/'16;200;13;84;45;58;56;144;7;15;4;30;6;69;41;28
127;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2016/'17;236;7;58;75;96;63;173;5;7;6;45;2;51;69;51
128;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2017/'18;325;14;60;140;111;53;272;5;2;7;39;9;58;133;72
129;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2018/'19;432;20;81;177;154;68;364;11;10;8;39;9;71;169;115
130;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2019/'20;429;27;76;154;172;67;362;14;5;5;43;13;71;149;129
131;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;R-U Cultuur, recreatie, overige diensten;2020/'21;501;42;83;204;172;86;415;24;10;10;42;18;73;194;130
132;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2009/'10;709;31;427;137;114;179;530;6;95;31;47;25;332;106;67
133;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2010/'11;491;21;270;98;102;109;382;2;50;15;42;19;220;83;60
134;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2011/'12;440;23;216;116;85;71;369;3;29;17;22;20;187;99;63
135;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2012/'13;381;27;165;102;87;69;312;5;23;10;31;22;142;92;56
136;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2013/'14;231;11;82;58;80;47;184;3;13;9;22;8;69;49;58
137;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2014/'15;122;11;45;26;40;26;96;8;8;1;9;3;37;25;31
138;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2015/'16;38;7;8;11;12;9;29;5;0;0;4;2;8;11;8
139;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2016/'17;56;3;14;21;18;7;49;1;0;3;3;2;14;18;15
140;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2017/'18;68;2;18;31;17;7;61;1;2;0;4;1;16;31;13
141;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2018/'19;89;4;26;40;19;7;82;1;0;0;6;3;26;40;13
142;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2019/'20;71;6;15;33;17;8;63;2;2;1;3;4;13;32;14
143;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;SBI-code onbekend;2020/'21;54;5;9;23;17;10;44;1;0;4;5;4;9;19;12
144;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2009/'10;2994;1569;695;520;210;145;2849;10;24;25;86;1559;671;495;124
145;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2010/'11;2945;1782;665;345;153;103;2842;7;16;23;57;1775;649;322;96
146;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2011/'12;2689;1512;634;378;165;124;2565;10;17;22;75;1502;617;356;90
147;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2012/'13;2442;1410;549;361;122;101;2341;4;12;23;62;1406;537;338;60
148;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2013/'14;915;377;262;140;136;125;790;4;8;19;94;373;254;121;42
149;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2014/'15;649;211;180;147;111;104;545;3;9;14;78;208;171;133;33
150;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2015/'16;653;159;157;251;86;84;569;3;15;16;50;156;142;235;36
151;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2016/'17;414;14;181;120;99;57;357;0;5;2;50;14;176;118;49
152;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2017/'18;395;0;124;158;113;75;320;0;7;5;63;0;117;153;50
153;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2018/'19;304;0;80;130;94;54;250;0;3;4;47;0;77;126;47
154;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2019/'20;321;0;66;149;106;68;253;0;4;3;61;0;62;146;45
155;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A-U Alle economische activiteiten;2020/'21;374;182;23;82;87;83;291;2;5;2;74;180;18;80;13
156;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A Landbouw, bosbouw en visserij;2009/'10;66;4;22;27;13;7;59;2;0;2;3;2;22;25;10
157;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A Landbouw, bosbouw en visserij;2010/'11;45;13;15;12;5;5;40;0;1;0;4;13;14;12;1
158;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A Landbouw, bosbouw en visserij;2011/'12;26;8;5;9;4;6;20;1;1;2;2;7;4;7;2
159;Totaal mannen en vrouwen;Totaal leeftijd;Sector landbouw;A Landbouw, bosbouw en visserij;2012/'13;69;34;11;17;7;5;64;0;2;1;2;34;9;16;5
