ID;Geslacht;Onderwijssoort;Opleidingsfase;Opleidingsvorm;Perioden;TotaalIngeschrevenen_1
22;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2019/'20;699010
23;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2020/'21;743410
24;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2021/'22;754650
25;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2022/'23;740310
26;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2023/'24;724610
27;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2024/'25;712600
28;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2011/'12;69230
29;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2012/'13;59960
30;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2013/'14;57080
31;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2014/'15;53050
32;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2015/'16;51050
33;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2016/'17;50400
34;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2017/'18;51620
35;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2018/'19;53290
36;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2019/'20;56430
37;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2020/'21;60620
38;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2021/'22;64400
39;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2022/'23;63440
40;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2023/'24;62250
41;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2024/'25;61400
42;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2011/'12;12780
43;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2012/'13;12000
44;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2013/'14;11230
45;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2014/'15;10310
46;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2015/'16;10040
47;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2016/'17;10000
48;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2017/'18;10410
49;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2018/'19;11200
50;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2019/'20;12140
51;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2020/'21;13240
52;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2021/'22;13520
53;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2022/'23;14000
54;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2023/'24;14460
55;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Duaal;2024/'25;14790
56;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2011/'12;573520
57;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2012/'13;564780
58;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2013/'14;585740
59;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2014/'15;593800
60;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2015/'16;590190
61;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2016/'17;598440
62;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2017/'18;613030
63;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2018/'19;626420
64;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2019/'20;642490
65;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2020/'21;681410
66;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2021/'22;689740
67;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2022/'23;678470
68;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2023/'24;664240
69;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2024/'25;649920
70;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2011/'12;507110
71;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2012/'13;506600
72;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2013/'14;531450
73;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2014/'15;544300
74;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2015/'16;543010
75;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2016/'17;551550
76;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2017/'18;564000
77;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2018/'19;575090
78;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2019/'20;587300
79;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2020/'21;621120
80;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2021/'22;626160
81;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2022/'23;615040
82;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2023/'24;601070
83;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2024/'25;587240
84;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2011/'12;55130
85;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2012/'13;47760
86;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2013/'14;44640
87;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2014/'15;40770
88;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2015/'16;38770
89;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2016/'17;38690
90;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2017/'18;40650
91;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2018/'19;42380
92;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2019/'20;45530
93;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2020/'21;49640
94;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2021/'22;52630
95;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2022/'23;51990
96;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2023/'24;51290
97;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2024/'25;50460
98;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2011/'12;11280
99;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2012/'13;10420
100;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2013/'14;9650
101;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2014/'15;8730
102;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2015/'16;8410
103;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2016/'17;8200
104;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2017/'18;8390
105;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2018/'19;8950
106;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2019/'20;9660
107;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2020/'21;10650
108;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2021/'22;10950
109;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2022/'23;11430
110;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2023/'24;11890
111;Totaal mannen en vrouwen;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2024/'25;12220
112;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2011/'12;93670
113;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2012/'13;96340
114;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2013/'14;102450
115;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2014/'15;105780
116;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2015/'16;110930
117;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2016/'17;113670
118;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2017/'18;117110
119;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2018/'19;121420
120;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2019/'20;125090
121;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2020/'21;135860
122;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2021/'22;142830
123;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2022/'23;139280
124;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2023/'24;137080
125;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2024/'25;138870
126;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2011/'12;78070
127;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2012/'13;82570
128;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2013/'14;88440
129;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2014/'15;91910
130;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2015/'16;97010
131;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2016/'17;100170
132;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2017/'18;104130
133;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2018/'19;108270
134;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2019/'20;111710
135;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2020/'21;122290
136;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2021/'22;128490
137;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2022/'23;125270
138;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2023/'24;123540
139;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2024/'25;125360
140;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2011/'12;14110
141;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2012/'13;12200
142;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2013/'14;12430
143;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2014/'15;12280
144;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2015/'16;12280
145;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2016/'17;11710
146;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2017/'18;10970
147;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2018/'19;10910
148;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2019/'20;10910
149;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2020/'21;10980
150;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2021/'22;11770
151;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2022/'23;11440
152;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2023/'24;10960
153;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Deeltijd;2024/'25;10940
154;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2011/'12;1500
155;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2012/'13;1570
156;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2013/'14;1580
157;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2014/'15;1580
158;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2015/'16;1640
159;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2016/'17;1800
160;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2017/'18;2020
161;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2018/'19;2250
162;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2019/'20;2470
163;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2020/'21;2590
164;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2021/'22;2570
165;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2022/'23;2570
166;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2023/'24;2580
167;Totaal mannen en vrouwen;Hoger onderwijs;Master- en vervolgopleidingen;Duaal;2024/'25;2570
168;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2011/'12;423950
169;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2012/'13;421690
170;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2013/'14;440290
171;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2014/'15;446430
172;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2015/'16;442590
173;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2016/'17;446650
174;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2017/'18;452690
175;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2018/'19;455670
176;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2019/'20;463330
177;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2020/'21;489260
178;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2021/'22;491440
179;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2022/'23;476830
180;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2023/'24;460430
181;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2024/'25;449940
182;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2011/'12;351030
183;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2012/'13;356890
184;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2013/'14;378570
185;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2014/'15;389050
186;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2015/'16;387060
187;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2016/'17;391500
188;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2017/'18;396010
189;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2018/'19;396450
190;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2019/'20;399780
191;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2020/'21;420690
192;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2021/'22;419020
193;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2022/'23;404580
194;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2023/'24;388710
195;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Voltijd;2024/'25;378490
196;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2011/'12;60550
197;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2012/'13;53210
198;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2013/'14;50910
199;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2014/'15;47500
200;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2015/'16;45940
201;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2016/'17;45620
202;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2017/'18;46800
203;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2018/'19;48550
204;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2019/'20;51970
205;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2020/'21;55890
206;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2021/'22;59470
207;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2022/'23;58800
208;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2023/'24;57820
209;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Deeltijd;2024/'25;57230
210;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2011/'12;12370
211;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2012/'13;11590
212;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2013/'14;10820
213;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2014/'15;9890
214;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2015/'16;9600
215;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2016/'17;9530
216;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2017/'18;9890
217;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2018/'19;10670
218;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2019/'20;11580
219;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2020/'21;12680
220;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2021/'22;12950
221;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2022/'23;13450
222;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2023/'24;13910
223;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Opleidingsfase totaal;Duaal;2024/'25;14230
224;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2011/'12;411730
225;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2012/'13;410580
226;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2013/'14;428690
227;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2014/'15;434470
228;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2015/'16;430500
229;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2016/'17;434680
230;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2017/'18;440830
231;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2018/'19;443150
232;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2019/'20;450090
233;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2020/'21;475450
234;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2021/'22;476590
235;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2022/'23;462080
236;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2023/'24;445650
