ID;NACERev1;Period;Sales_1;Prices_2;Volume_3;Sales_4;Prices_5;Volume_6
91;521 to 526 Retail trade in total;1999 June;125.0;104.0;120.0;7.4;1.7;5.6
92;521 to 526 Retail trade in total;1999 2nd quarter;124.0;105.0;118.0;4.7;1.7;2.9
93;521 to 526 Retail trade in total;1999 July;126.0;102.0;124.0;4.5;1.0;3.5
94;521 to 526 Retail trade in total;1999 August;112.0;103.0;108.0;2.4;2.0;0.3
95;521 to 526 Retail trade in total;1999 September;119.0;105.0;114.0;3.2;0.8;2.3
96;521 to 526 Retail trade in total;1999 3rd quarter;119.0;103.0;115.0;3.4;1.3;2.1
97;521 to 526 Retail trade in total;1999 October;126.0;104.0;120.0;0.3;0.5;-0.2
98;521 to 526 Retail trade in total;1999 November;122.0;105.0;117.0;6.9;0.7;6.1
99;521 to 526 Retail trade in total;1999 December;148.0;104.0;142.0;6.8;0.4;6.4
100;521 to 526 Retail trade in total;1999 4th quarter;132.0;104.0;126.0;4.7;0.6;4.1
101;521 to 526 Retail trade in total;1999;121.0;104.0;116.0;4.3;1.4;2.9
102;521 to 526 Retail trade in total;2000 January;109.0;102.0;106.0;2.0;0.2;1.8
103;521 to 526 Retail trade in total;2000 February;108.0;103.0;105.0;9.4;-0.3;9.7
104;521 to 526 Retail trade in total;2000 March;125.0;105.0;118.0;5.9;-0.4;6.3
105;521 to 526 Retail trade in total;2000 1st quarter;114.0;104.0;110.0;5.7;-0.2;5.9
106;521 to 526 Retail trade in total;2000 April;125.0;106.0;118.0;2.6;0.2;2.4
107;521 to 526 Retail trade in total;2000 May;131.0;106.0;124.0;5.7;0.5;5.2
108;521 to 526 Retail trade in total;2000 June;129.0;105.0;123.0;3.0;1.0;2.0
109;521 to 526 Retail trade in total;2000 2nd quarter;128.0;106.0;121.0;3.8;0.5;3.2
110;521 to 526 Retail trade in total;2000 July;125.0;103.0;121.0;-1.3;1.1;-2.3
111;521 to 526 Retail trade in total;2000 August;123.0;104.0;118.0;10.0;0.7;9.3
112;521 to 526 Retail trade in total;2000 September;130.0;106.0;122.0;8.7;1.5;7.0
113;521 to 526 Retail trade in total;2000 3rd quarter;126.0;105.0;120.0;5.6;1.1;4.4
114;521 to 526 Retail trade in total;2000 October;127.0;107.0;119.0;0.9;2.2;-1.3
115;521 to 526 Retail trade in total;2000 November;133.0;107.0;124.0;8.8;2.2;6.4
116;521 to 526 Retail trade in total;2000 December;154.0;106.0;145.0;3.9;2.3;1.5
117;521 to 526 Retail trade in total;2000 4th quarter;138.0;107.0;129.0;4.4;2.2;2.1
118;521 to 526 Retail trade in total;2000;126.0;105.0;120.0;4.8;0.9;3.9
119;521 to 525 Retail trade in stores;1994 January;87.0;98.0;89.0;;;
120;521 to 525 Retail trade in stores;1994 February;82.0;99.0;83.0;;;
121;521 to 525 Retail trade in stores;1994 March;99.0;101.0;98.0;;;
122;521 to 525 Retail trade in stores;1994 1st quarter;89.0;99.0;90.0;;;
123;521 to 525 Retail trade in stores;1994 April;100.0;101.0;99.0;;;
124;521 to 525 Retail trade in stores;1994 May;99.0;101.0;99.0;;;
125;521 to 525 Retail trade in stores;1994 June;103.0;100.0;104.0;;;
126;521 to 525 Retail trade in stores;1994 2nd quarter;101.0;101.0;101.0;;;
127;521 to 525 Retail trade in stores;1994 July;99.0;98.0;101.0;;;
128;521 to 525 Retail trade in stores;1994 August;94.0;99.0;96.0;;;
129;521 to 525 Retail trade in stores;1994 September;102.0;101.0;101.0;;;
130;521 to 525 Retail trade in stores;1994 3rd quarter;98.0;99.0;99.0;;;
131;521 to 525 Retail trade in stores;1994 October;101.0;102.0;99.0;;;
132;521 to 525 Retail trade in stores;1994 November;100.0;101.0;99.0;;;
133;521 to 525 Retail trade in stores;1994 December;121.0;100.0;121.0;;;
134;521 to 525 Retail trade in stores;1994 4th quarter;107.0;101.0;106.0;;;
135;521 to 525 Retail trade in stores;1994;99.0;100.0;99.0;;;
136;521 to 525 Retail trade in stores;1995 January;88.0;99.0;89.0;;;
137;521 to 525 Retail trade in stores;1995 February;84.0;100.0;84.0;;;
138;521 to 525 Retail trade in stores;1995 March;100.0;101.0;99.0;;;
139;521 to 525 Retail trade in stores;1995 1st quarter;91.0;100.0;91.0;1.4;0.5;0.9
140;521 to 525 Retail trade in stores;1995 April;98.0;101.0;96.0;;;
141;521 to 525 Retail trade in stores;1995 May;103.0;101.0;102.0;;;
142;521 to 525 Retail trade in stores;1995 June;106.0;100.0;106.0;;;
143;521 to 525 Retail trade in stores;1995 2nd quarter;102.0;101.0;101.0;1.2;0.3;1.0
144;521 to 525 Retail trade in stores;1995 July;98.0;98.0;100.0;;;
145;521 to 525 Retail trade in stores;1995 August;97.0;98.0;99.0;;;
146;521 to 525 Retail trade in stores;1995 September;105.0;101.0;104.0;;;
147;521 to 525 Retail trade in stores;1995 3rd quarter;100.0;99.0;101.0;1.2;-0.7;1.8
148;521 to 525 Retail trade in stores;1995 October;99.0;100.0;98.0;;;
149;521 to 525 Retail trade in stores;1995 November;103.0;101.0;103.0;;;
150;521 to 525 Retail trade in stores;1995 December;118.0;100.0;118.0;;;
151;521 to 525 Retail trade in stores;1995 4th quarter;107.0;100.0;106.0;-0.3;-0.9;0.7
152;521 to 525 Retail trade in stores;1995;100.0;100.0;100.0;1.0;-0.2;1.2
153;521 to 525 Retail trade in stores;1996 January;91.0;99.0;91.0;2.4;-0.2;2.6
154;521 to 525 Retail trade in stores;1996 February;87.0;100.0;88.0;3.9;-0.5;4.4
155;521 to 525 Retail trade in stores;1996 March;100.0;101.0;99.0;-0.3;0.1;-0.4
156;521 to 525 Retail trade in stores;1996 1st quarter;93.0;100.0;93.0;1.8;-0.2;2.0
157;521 to 525 Retail trade in stores;1996 April;101.0;101.0;100.0;3.8;0.0;3.8
158;521 to 525 Retail trade in stores;1996 May;109.0;100.0;109.0;6.2;-0.1;6.3
159;521 to 525 Retail trade in stores;1996 June;106.0;100.0;107.0;-0.1;-0.5;0.5
160;521 to 525 Retail trade in stores;1996 2nd quarter;105.0;100.0;105.0;3.6;-0.2;3.8
161;521 to 525 Retail trade in stores;1996 July;102.0;99.0;103.0;4.6;-0.1;4.6
162;521 to 525 Retail trade in stores;1996 August;103.0;99.0;104.0;7.1;-0.7;7.8
163;521 to 525 Retail trade in stores;1996 September;101.0;100.0;101.0;-3.6;-0.2;-3.4
164;521 to 525 Retail trade in stores;1996 3rd quarter;102.0;99.0;103.0;2.6;-0.3;3.0
165;521 to 525 Retail trade in stores;1996 October;108.0;100.0;108.0;9.5;0.3;9.2
166;521 to 525 Retail trade in stores;1996 November;107.0;100.0;107.0;3.7;0.1;3.6
167;521 to 525 Retail trade in stores;1996 December;118.0;100.0;118.0;-0.6;0.6;-1.2
168;521 to 525 Retail trade in stores;1996 4th quarter;111.0;100.0;111.0;4.0;0.3;3.7
169;521 to 525 Retail trade in stores;1996;103.0;100.0;103.0;3.0;-0.2;3.2
170;521 to 525 Retail trade in stores;1997 January;98.0;100.0;97.0;8.1;0.8;7.3
171;521 to 525 Retail trade in stores;1997 February;90.0;100.0;89.0;2.4;0.3;2.1
172;521 to 525 Retail trade in stores;1997 March;105.0;101.0;103.0;4.4;-0.3;4.7
173;521 to 525 Retail trade in stores;1997 1st quarter;98.0;100.0;96.0;5.0;0.3;4.7
174;521 to 525 Retail trade in stores;1997 April;106.0;101.0;104.0;4.0;-0.4;4.4
175;521 to 525 Retail trade in stores;1997 May;118.0;101.0;116.0;7.9;0.9;7.0
176;521 to 525 Retail trade in stores;1997 June;110.0;101.0;108.0;3.0;1.0;2.0
177;521 to 525 Retail trade in stores;1997 2nd quarter;111.0;101.0;109.0;5.0;0.5;4.5
178;521 to 525 Retail trade in stores;1997 July;111.0;100.0;110.0;8.1;0.9;7.2
179;521 to 525 Retail trade in stores;1997 August;104.0;100.0;102.0;0.1;1.4;-1.3
180;521 to 525 Retail trade in stores;1997 September;110.0;101.0;108.0;9.4;1.6;7.8
181;521 to 525 Retail trade in stores;1997 3rd quarter;108.0;100.0;107.0;5.8;1.3;4.5
182;521 to 525 Retail trade in stores;1997 October;119.0;101.0;116.0;9.6;1.5;8.1
183;521 to 525 Retail trade in stores;1997 November;112.0;102.0;108.0;3.8;1.9;1.9
184;521 to 525 Retail trade in stores;1997 December;130.0;101.0;126.0;9.2;1.4;7.8
185;521 to 525 Retail trade in stores;1997 4th quarter;120.0;101.0;117.0;7.6;1.6;6.0
186;521 to 525 Retail trade in stores;1997;109.0;101.0;107.0;5.9;0.9;5.0
187;521 to 525 Retail trade in stores;1998 January;107.0;100.0;107.0;9.4;0.9;8.4
188;521 to 525 Retail trade in stores;1998 February;95.0;101.0;94.0;6.9;2.1;4.7
189;521 to 525 Retail trade in stores;1998 March;107.0;104.0;103.0;2.8;2.3;0.4
190;521 to 525 Retail trade in stores;1998 1st quarter;103.0;102.0;101.0;6.3;1.8;4.4
191;521 to 525 Retail trade in stores;1998 April;115.0;104.0;111.0;9.8;2.5;7.1
192;521 to 525 Retail trade in stores;1998 May;123.0;104.0;119.0;4.9;1.9;2.9
193;521 to 525 Retail trade in stores;1998 June;117.0;103.0;114.0;7.1;2.2;4.9
194;521 to 525 Retail trade in stores;1998 2nd quarter;119.0;103.0;115.0;7.2;2.2;4.9
195;521 to 525 Retail trade in stores;1998 July;121.0;101.0;120.0;9.9;2.4;7.3
196;521 to 525 Retail trade in stores;1998 August;109.0;101.0;107.0;5.8;2.0;3.7
197;521 to 525 Retail trade in stores;1998 September;116.0;104.0;112.0;5.1;1.6;3.5
198;521 to 525 Retail trade in stores;1998 3rd quarter;115.0;102.0;113.0;7.0;2.0;4.9
199;521 to 525 Retail trade in stores;1998 October;126.0;104.0;121.0;6.8;1.8;5.0
200;521 to 525 Retail trade in stores;1998 November;115.0;104.0;110.0;3.7;1.6;2.1
201;521 to 525 Retail trade in stores;1998 December;140.0;103.0;135.0;8.7;1.8;6.8
202;521 to 525 Retail trade in stores;1998 4th quarter;127.0;104.0;122.0;6.6;1.7;4.7
203;521 to 525 Retail trade in stores;1998;116.0;103.0;113.0;6.8;1.9;4.7
204;521 to 525 Retail trade in stores;1999 January;107.0;102.0;105.0;0.0;2.5;-2.5
205;521 to 525 Retail trade in stores;1999 February;99.0;103.0;96.0;4.2;2.1;2.1
206;521 to 525 Retail trade in stores;1999 March;118.0;106.0;112.0;10.6;1.9;8.5
207;521 to 525 Retail trade in stores;1999 1st quarter;108.0;104.0;104.0;5.0;2.2;2.7
208;521 to 525 Retail trade in stores;1999 April;122.0;106.0;116.0;5.9;1.6;4.2
209;521 to 525 Retail trade in stores;1999 May;125.0;106.0;119.0;1.8;1.7;0.0
210;521 to 525 Retail trade in stores;1999 June;126.0;104.0;121.0;7.9;1.7;6.1
211;521 to 525 Retail trade in stores;1999 2nd quarter;125.0;105.0;119.0;5.1;1.7;3.4
212;521 to 525 Retail trade in stores;1999 July;127.0;102.0;125.0;4.9;1.0;3.8
213;521 to 525 Retail trade in stores;1999 August;111.0;103.0;108.0;2.3;2.0;0.2
214;521 to 525 Retail trade in stores;1999 September;119.0;104.0;114.0;3.3;0.8;2.5
215;521 to 525 Retail trade in stores;1999 3rd quarter;119.0;103.0;116.0;3.5;1.3;2.2
216;521 to 525 Retail trade in stores;1999 October;126.0;104.0;121.0;0.4;0.5;-0.2
217;521 to 525 Retail trade in stores;1999 November;123.0;105.0;118.0;7.2;0.7;6.4
218;521 to 525 Retail trade in stores;1999 December;150.0;104.0;144.0;6.9;0.4;6.5
219;521 to 525 Retail trade in stores;1999 4th quarter;133.0;104.0;128.0;4.8;0.5;4.2
220;521 to 525 Retail trade in stores;1999;121.0;104.0;117.0;4.6;1.4;3.1
221;521 to 525 Retail trade in stores;2000 January;109.0;102.0;106.0;1.9;0.2;1.8
222;521 to 525 Retail trade in stores;2000 February;109.0;103.0;105.0;9.4;-0.3;9.7
223;521 to 525 Retail trade in stores;2000 March;125.0;105.0;119.0;6.1;-0.4;6.5
224;521 to 525 Retail trade in stores;2000 1st quarter;114.0;104.0;110.0;5.7;-0.2;5.9
225;521 to 525 Retail trade in stores;2000 April;125.0;106.0;118.0;2.5;0.2;2.4
226;521 to 525 Retail trade in stores;2000 May;132.0;106.0;125.0;5.5;0.5;5.0
227;521 to 525 Retail trade in stores;2000 June;130.0;105.0;123.0;2.9;1.0;1.9
228;521 to 525 Retail trade in stores;2000 2nd quarter;129.0;106.0;122.0;3.6;0.5;3.1
229;521 to 525 Retail trade in stores;2000 July;125.0;103.0;121.0;-1.5;1.1;-2.5
230;521 to 525 Retail trade in stores;2000 August;122.0;104.0;118.0;9.8;0.7;9.1
231;521 to 525 Retail trade in stores;2000 September;129.0;106.0;122.0;8.3;1.5;6.6
232;521 to 525 Retail trade in stores;2000 3rd quarter;126.0;104.0;120.0;5.3;1.1;4.1
233;521 to 525 Retail trade in stores;2000 October;127.0;107.0;119.0;0.5;2.2;-1.7
234;521 to 525 Retail trade in stores;2000 November;134.0;107.0;125.0;8.4;2.2;6.1
235;521 to 525 Retail trade in stores;2000 December;155.0;106.0;146.0;3.8;2.3;1.4
236;521 to 525 Retail trade in stores;2000 4th quarter;139.0;107.0;130.0;4.1;2.2;1.9
237;521 to 525 Retail trade in stores;2000;127.0;105.0;121.0;4.6;0.9;3.7
238;5211 + 522 Food, beverages and tobacco;1994 January;88.0;97.0;91.0;;;
239;5211 + 522 Food, beverages and tobacco;1994 February;88.0;98.0;90.0;;;
240;5211 + 522 Food, beverages and tobacco;1994 March;99.0;99.0;100.0;;;
241;5211 + 522 Food, beverages and tobacco;1994 1st quarter;92.0;98.0;94.0;;;
242;5211 + 522 Food, beverages and tobacco;1994 April;101.0;98.0;102.0;;;
243;5211 + 522 Food, beverages and tobacco;1994 May;97.0;99.0;99.0;;;
244;5211 + 522 Food, beverages and tobacco;1994 June;100.0;99.0;101.0;;;
245;5211 + 522 Food, beverages and tobacco;1994 2nd quarter;99.0;99.0;101.0;;;
246;5211 + 522 Food, beverages and tobacco;1994 July;102.0;99.0;103.0;;;
247;5211 + 522 Food, beverages and tobacco;1994 August;95.0;99.0;96.0;;;
248;5211 + 522 Food, beverages and tobacco;1994 September;98.0;100.0;98.0;;;
249;5211 + 522 Food, beverages and tobacco;1994 3rd quarter;98.0;99.0;99.0;;;
250;5211 + 522 Food, beverages and tobacco;1994 October;96.0;100.0;95.0;;;
251;5211 + 522 Food, beverages and tobacco;1994 November;96.0;100.0;96.0;;;
252;5211 + 522 Food, beverages and tobacco;1994 December;117.0;100.0;117.0;;;
253;5211 + 522 Food, beverages and tobacco;1994 4th quarter;103.0;100.0;103.0;;;
254;5211 + 522 Food, beverages and tobacco;1994;98.0;99.0;99.0;;;
255;5211 + 522 Food, beverages and tobacco;1995 January;91.0;100.0;91.0;;;
256;5211 + 522 Food, beverages and tobacco;1995 February;90.0;101.0;90.0;;;
257;5211 + 522 Food, beverages and tobacco;1995 March;103.0;101.0;102.0;;;
258;5211 + 522 Food, beverages and tobacco;1995 1st quarter;95.0;101.0;94.0;3.7;2.4;1.3
259;5211 + 522 Food, beverages and tobacco;1995 April;98.0;101.0;97.0;;;
260;5211 + 522 Food, beverages and tobacco;1995 May;100.0;101.0;100.0;;;
261;5211 + 522 Food, beverages and tobacco;1995 June;105.0;101.0;105.0;;;
262;5211 + 522 Food, beverages and tobacco;1995 2nd quarter;101.0;101.0;101.0;1.9;1.5;0.4
263;5211 + 522 Food, beverages and tobacco;1995 July;100.0;100.0;100.0;;;
264;5211 + 522 Food, beverages and tobacco;1995 August;101.0;99.0;102.0;;;
265;5211 + 522 Food, beverages and tobacco;1995 September;100.0;99.0;101.0;;;
266;5211 + 522 Food, beverages and tobacco;1995 3rd quarter;100.0;99.0;101.0;1.7;-0.6;2.3
267;5211 + 522 Food, beverages and tobacco;1995 October;95.0;99.0;96.0;;;
268;5211 + 522 Food, beverages and tobacco;1995 November;100.0;99.0;100.0;;;
269;5211 + 522 Food, beverages and tobacco;1995 December;116.0;100.0;116.0;;;
270;5211 + 522 Food, beverages and tobacco;1995 4th quarter;104.0;99.0;104.0;0.8;-1.2;2.0
271;5211 + 522 Food, beverages and tobacco;1995;100.0;100.0;100.0;1.9;0.5;1.4
272;5211 + 522 Food, beverages and tobacco;1996 January;94.0;100.0;94.0;2.5;-0.1;2.6
273;5211 + 522 Food, beverages and tobacco;1996 February;95.0;100.0;95.0;5.6;-0.3;6.0
274;5211 + 522 Food, beverages and tobacco;1996 March;103.0;102.0;101.0;0.2;0.5;-0.3
275;5211 + 522 Food, beverages and tobacco;1996 1st quarter;97.0;101.0;97.0;2.7;0.0;2.6
276;5211 + 522 Food, beverages and tobacco;1996 April;99.0;101.0;97.0;1.1;0.5;0.6
277;5211 + 522 Food, beverages and tobacco;1996 May;108.0;100.0;108.0;7.8;-0.3;8.1
278;5211 + 522 Food, beverages and tobacco;1996 June;101.0;99.0;102.0;-3.7;-1.0;-2.7
279;5211 + 522 Food, beverages and tobacco;1996 2nd quarter;103.0;100.0;102.0;2.4;-0.3;2.7
280;5211 + 522 Food, beverages and tobacco;1996 July;101.0;99.0;101.0;0.8;-0.1;0.8
281;5211 + 522 Food, beverages and tobacco;1996 August;106.0;98.0;109.0;5.6;-0.9;6.6
282;5211 + 522 Food, beverages and tobacco;1996 September;94.0;98.0;95.0;-6.2;-0.3;-5.9
283;5211 + 522 Food, beverages and tobacco;1996 3rd quarter;100.0;98.0;102.0;0.1;-0.4;0.5
284;5211 + 522 Food, beverages and tobacco;1996 October;103.0;99.0;104.0;8.1;0.6;7.5
285;5211 + 522 Food, beverages and tobacco;1996 November;105.0;99.0;106.0;5.1;0.6;4.5
286;5211 + 522 Food, beverages and tobacco;1996 December;112.0;99.0;112.0;-3.6;0.9;-4.4
287;5211 + 522 Food, beverages and tobacco;1996 4th quarter;107.0;99.0;107.0;2.8;0.7;2.1
288;5211 + 522 Food, beverages and tobacco;1996;102.0;100.0;102.0;1.7;-0.4;2.1
289;5211 + 522 Food, beverages and tobacco;1997 January;103.0;101.0;101.0;9.4;1.9;7.4
290;5211 + 522 Food, beverages and tobacco;1997 February;93.0;101.0;92.0;-2.2;0.7;-2.8
291;5211 + 522 Food, beverages and tobacco;1997 March;103.0;101.0;102.0;-0.4;-1.0;0.7
292;5211 + 522 Food, beverages and tobacco;1997 1st quarter;100.0;101.0;98.0;2.3;0.5;1.8
293;5211 + 522 Food, beverages and tobacco;1997 April;102.0;101.0;101.0;2.8;-0.7;3.5
294;5211 + 522 Food, beverages and tobacco;1997 May;114.0;102.0;112.0;5.8;1.5;4.2
295;5211 + 522 Food, beverages and tobacco;1997 June;101.0;102.0;99.0;-0.4;2.2;-2.5
296;5211 + 522 Food, beverages and tobacco;1997 2nd quarter;106.0;102.0;104.0;2.7;1.0;1.7
297;5211 + 522 Food, beverages and tobacco;1997 July;106.0;101.0;105.0;5.7;2.0;3.6
298;5211 + 522 Food, beverages and tobacco;1997 August;109.0;101.0;107.0;2.1;3.5;-1.3
299;5211 + 522 Food, beverages and tobacco;1997 September;101.0;102.0;100.0;8.1;3.4;4.6
300;5211 + 522 Food, beverages and tobacco;1997 3rd quarter;105.0;101.0;104.0;5.3;3.0;2.3
301;5211 + 522 Food, beverages and tobacco;1997 October;110.0;102.0;109.0;7.8;3.0;4.6
302;5211 + 522 Food, beverages and tobacco;1997 November;105.0;103.0;102.0;-0.3;4.1;-4.2
303;5211 + 522 Food, beverages and tobacco;1997 December;117.0;102.0;115.0;4.8;2.9;1.8
304;5211 + 522 Food, beverages and tobacco;1997 4th quarter;111.0;102.0;109.0;4.1;3.3;0.7
305;5211 + 522 Food, beverages and tobacco;1997;105.0;102.0;104.0;3.6;1.9;1.6
306;5211 + 522 Food, beverages and tobacco;1998 January;111.0;103.0;108.0;7.7;1.1;6.5
