ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1;LabourVolume_2
57;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2011;1254.0;947.0
58;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2012;1293.0;975.0
59;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2013;1322.0;1000.0
60;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2014;1357.0;1033.0
61;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2015;1414.0;1080.0
62;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2016;1477.0;1132.0
63;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2010;792.0;378.0
64;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2011;847.0;394.0
65;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2012;918.0;423.0
66;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2013;884.0;420.0
67;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2014;851.0;404.0
68;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2015;838.0;403.0
69;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2016;818.0;388.0
70;Total domestic and foreign;Total Jobs;Total;Wage: middle;2010;4931.0;3653.0
71;Total domestic and foreign;Total Jobs;Total;Wage: middle;2011;4960.0;3651.0
72;Total domestic and foreign;Total Jobs;Total;Wage: middle;2012;4899.0;3614.0
73;Total domestic and foreign;Total Jobs;Total;Wage: middle;2013;4818.0;3537.0
74;Total domestic and foreign;Total Jobs;Total;Wage: middle;2014;4788.0;3499.0
75;Total domestic and foreign;Total Jobs;Total;Wage: middle;2015;4832.0;3511.0
76;Total domestic and foreign;Total Jobs;Total;Wage: middle;2016;4905.0;3575.0
77;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2010;2151.0;1902.0
78;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2011;2147.0;1891.0
79;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2012;2083.0;1841.0
80;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2013;2064.0;1829.0
81;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2014;2086.0;1849.0
82;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2015;2132.0;1891.0
83;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2016;2186.0;1951.0
84;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2010;7452.0;5601.0
85;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2011;7507.0;5585.0
86;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2012;7445.0;5520.0
87;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2013;7308.0;5424.0
88;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2014;7261.0;5382.0
89;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2015;7312.0;5414.0
90;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2016;7386.0;5492.0
91;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2010;28.0;23.0
92;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2011;28.0;23.0
93;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2012;28.0;22.0
94;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2013;26.0;21.0
95;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2014;25.0;20.0
96;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2015;26.0;21.0
97;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2016;26.0;21.0
98;Total domestic and foreign;Total Jobs;Total;Nationality: British;2010;23.0;20.0
99;Total domestic and foreign;Total Jobs;Total;Nationality: British;2011;24.0;20.0
100;Total domestic and foreign;Total Jobs;Total;Nationality: British;2012;23.0;20.0
101;Total domestic and foreign;Total Jobs;Total;Nationality: British;2013;23.0;19.0
102;Total domestic and foreign;Total Jobs;Total;Nationality: British;2014;22.0;19.0
103;Total domestic and foreign;Total Jobs;Total;Nationality: British;2015;23.0;19.0
104;Total domestic and foreign;Total Jobs;Total;Nationality: British;2016;23.0;20.0
105;Total domestic and foreign;Total Jobs;Total;Nationality: German;2010;56.0;45.0
106;Total domestic and foreign;Total Jobs;Total;Nationality: German;2011;56.0;45.0
107;Total domestic and foreign;Total Jobs;Total;Nationality: German;2012;52.0;42.0
108;Total domestic and foreign;Total Jobs;Total;Nationality: German;2013;46.0;37.0
109;Total domestic and foreign;Total Jobs;Total;Nationality: German;2014;43.0;35.0
110;Total domestic and foreign;Total Jobs;Total;Nationality: German;2015;42.0;35.0
111;Total domestic and foreign;Total Jobs;Total;Nationality: German;2016;42.0;35.0
112;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2010;96.0;78.0
113;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2011;113.0;91.0
114;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2012;124.0;99.0
115;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2013;97.0;78.0
116;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2014;105.0;86.0
117;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2015;113.0;93.0
118;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2016;124.0;103.0
119;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2010;5.0;4.0
120;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2011;5.0;5.0
121;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2012;6.0;5.0
122;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2013;6.0;6.0
123;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2014;7.0;7.0
124;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2015;8.0;8.0
125;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2016;10.0;9.0
126;Total domestic and foreign;Total Jobs;Total;Nationality: other;2010;214.0;162.0
127;Total domestic and foreign;Total Jobs;Total;Nationality: other;2011;221.0;167.0
128;Total domestic and foreign;Total Jobs;Total;Nationality: other;2012;222.0;168.0
129;Total domestic and foreign;Total Jobs;Total;Nationality: other;2013;260.0;199.0
130;Total domestic and foreign;Total Jobs;Total;Nationality: other;2014;262.0;202.0
131;Total domestic and foreign;Total Jobs;Total;Nationality: other;2015;279.0;216.0
132;Total domestic and foreign;Total Jobs;Total;Nationality: other;2016;298.0;234.0
133;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2010;;
134;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2011;;
135;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2012;;
136;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2013;1885.0;1404.0
137;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2014;1844.0;1373.0
138;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2015;1825.0;1358.0
139;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2016;1865.0;1394.0
140;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2010;;
141;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2011;;
142;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2012;;
143;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2013;651.0;414.0
144;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2014;653.0;417.0
145;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2015;695.0;445.0
146;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2016;742.0;481.0
147;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2010;;
148;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2011;;
149;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2012;;
150;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2013;1161.0;917.0
151;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2014;1118.0;884.0
152;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2015;1050.0;834.0
153;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2016;1039.0;830.0
154;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2010;;
155;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2011;;
156;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2012;;
157;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2013;34.0;30.0
158;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2014;33.0;29.0
159;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2015;31.0;27.0
160;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2016;31.0;27.0
161;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2010;;
162;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2011;;
163;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2012;;
164;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2013;1022.0;862.0
165;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2014;1006.0;847.0
166;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2015;1005.0;844.0
167;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2016;1028.0;865.0
168;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2010;;
169;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2011;;
170;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2012;;
171;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2013;863.0;549.0
172;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2014;839.0;535.0
173;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2015;820.0;524.0
174;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2016;838.0;539.0
175;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2010;;
176;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2011;;
177;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2012;;
178;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2013;713.0;481.0
179;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2014;699.0;469.0
180;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2015;705.0;471.0
181;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2016;729.0;491.0
182;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2010;;
183;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2011;;
184;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2012;;
185;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2013;748.0;598.0
186;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2014;718.0;575.0
187;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2015;682.0;547.0
188;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2016;676.0;544.0
189;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2010;;
190;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2011;;
191;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2012;;
192;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2013;412.0;312.0
193;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2014;416.0;317.0
194;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2015;422.0;322.0
195;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2016;443.0;339.0
196;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2010;;
197;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2011;;
198;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2012;;
199;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2013;297.0;141.0
200;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2014;282.0;134.0
201;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2015;273.0;131.0
202;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2016;280.0;133.0
203;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2010;;
204;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2011;;
205;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2012;;
206;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2013;1216.0;892.0
207;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2014;1186.0;866.0
208;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2015;1166.0;847.0
209;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2016;1164.0;848.0
210;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2010;;
211;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2011;;
212;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2012;;
213;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2013;160.0;141.0
214;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2014;159.0;141.0
215;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2015;161.0;143.0
216;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2016;157.0;140.0
217;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2010;;
218;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2011;;
219;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2012;;
220;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2013;1728.0;1283.0
221;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2014;1687.0;1250.0
222;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2015;1659.0;1229.0
223;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2016;1703.0;1266.0
224;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2010;;
225;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2011;;
226;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2012;;
227;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2013;;
228;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2014;;
229;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2015;;
230;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2016;;
231;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2010;;
232;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2011;;
233;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2012;;
234;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2013;;
235;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2014;;
236;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2015;;
237;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2016;;
238;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2010;;
239;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2011;;
240;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2012;;
241;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2013;;
242;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2014;;
243;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2015;;
244;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2016;;
245;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2010;;
246;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2011;;
247;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2012;;
248;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2013;;
249;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2014;;
250;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2015;;
251;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2016;;
252;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2010;;
253;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2011;;
254;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2012;;
255;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2013;;
256;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2014;;
257;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2015;;
258;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2016;;
259;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2010;;
260;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2011;;
261;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2012;;
262;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2013;;
263;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2014;;
264;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2015;;
265;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2016;;
266;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2010;;
267;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2011;;
268;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2012;;
269;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2013;3596.0;2679.0
270;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2014;3587.0;2670.0
271;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2015;3617.0;2691.0
272;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2016;3693.0;2761.0
273;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2010;;
274;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2011;;
275;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2012;;
276;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2013;1141.0;726.0
277;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2014;1181.0;754.0
278;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2015;1260.0;806.0
279;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2016;1345.0;871.0
280;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2010;;
281;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2011;;
282;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2012;;
283;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2013;2351.0;1856.0
284;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2014;2296.0;1816.0
285;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2015;2246.0;1783.0
286;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2016;2234.0;1785.0
287;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2010;;
288;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2011;;
289;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2012;;
290;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2013;86.0;75.0
291;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2014;84.0;73.0
292;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2015;85.0;74.0
293;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2016;87.0;75.0
294;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2010;;
295;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2011;;
296;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2012;;
297;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2013;1875.0;1583.0
298;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2014;1877.0;1580.0
299;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2015;1893.0;1591.0
300;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2016;1944.0;1637.0
301;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2010;;
302;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2011;;
303;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2012;;
304;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2013;1721.0;1095.0
305;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2014;1710.0;1090.0
306;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2015;1723.0;1100.0
307;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2016;1749.0;1126.0
308;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2010;;
309;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2011;;
310;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2012;;
311;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2013;1436.0;968.0
312;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2014;1437.0;964.0
313;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2015;1455.0;973.0
314;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2016;1501.0;1011.0
315;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2010;;
