ID;Bedrijfsgroep;Geslacht;BurgerlijkeStaat;Personen_1
154;101;Mannen;Totaal alle burgerlijke staten;17427
155;101;Mannen;Ongehuwd;7191
156;101;Mannen;Gehuwd;9770
157;101;Mannen;Gescheiden van tafel en bed;12
158;101;Mannen;Weduwstaat;435
159;101;Mannen;Gescheiden van echt;19
160;101;Mannen;Burgerlijke staat onbekend;0
161;101;Vrouwen;Totaal alle burgerlijke staten;75
162;101;Vrouwen;Ongehuwd;63
163;101;Vrouwen;Gehuwd;7
164;101;Vrouwen;Gescheiden van tafel en bed;0
165;101;Vrouwen;Weduwstaat;5
166;101;Vrouwen;Gescheiden van echt;0
167;101;Vrouwen;Burgerlijke staat onbekend;0
168;102;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;1017
169;102;Totaal mannen en vrouwen;Ongehuwd;304
170;102;Totaal mannen en vrouwen;Gehuwd;686
171;102;Totaal mannen en vrouwen;Gescheiden van tafel en bed;0
172;102;Totaal mannen en vrouwen;Weduwstaat;24
173;102;Totaal mannen en vrouwen;Gescheiden van echt;3
174;102;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
175;102;Mannen;Totaal alle burgerlijke staten;1008
176;102;Mannen;Ongehuwd;296
177;102;Mannen;Gehuwd;686
178;102;Mannen;Gescheiden van tafel en bed;0
179;102;Mannen;Weduwstaat;23
180;102;Mannen;Gescheiden van echt;3
181;102;Mannen;Burgerlijke staat onbekend;0
182;102;Vrouwen;Totaal alle burgerlijke staten;9
183;102;Vrouwen;Ongehuwd;8
184;102;Vrouwen;Gehuwd;0
185;102;Vrouwen;Gescheiden van tafel en bed;0
186;102;Vrouwen;Weduwstaat;1
187;102;Vrouwen;Gescheiden van echt;0
188;102;Vrouwen;Burgerlijke staat onbekend;0
189;103;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;378
190;103;Totaal mannen en vrouwen;Ongehuwd;143
191;103;Totaal mannen en vrouwen;Gehuwd;225
192;103;Totaal mannen en vrouwen;Gescheiden van tafel en bed;0
193;103;Totaal mannen en vrouwen;Weduwstaat;7
194;103;Totaal mannen en vrouwen;Gescheiden van echt;3
195;103;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
196;103;Mannen;Totaal alle burgerlijke staten;373
197;103;Mannen;Ongehuwd;138
198;103;Mannen;Gehuwd;225
199;103;Mannen;Gescheiden van tafel en bed;0
200;103;Mannen;Weduwstaat;7
201;103;Mannen;Gescheiden van echt;3
202;103;Mannen;Burgerlijke staat onbekend;0
203;103;Vrouwen;Totaal alle burgerlijke staten;5
204;103;Vrouwen;Ongehuwd;5
205;103;Vrouwen;Gehuwd;0
206;103;Vrouwen;Gescheiden van tafel en bed;0
207;103;Vrouwen;Weduwstaat;0
208;103;Vrouwen;Gescheiden van echt;0
209;103;Vrouwen;Burgerlijke staat onbekend;0
210;104;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;3319
211;104;Totaal mannen en vrouwen;Ongehuwd;1633
212;104;Totaal mannen en vrouwen;Gehuwd;1606
213;104;Totaal mannen en vrouwen;Gescheiden van tafel en bed;2
214;104;Totaal mannen en vrouwen;Weduwstaat;77
215;104;Totaal mannen en vrouwen;Gescheiden van echt;1
216;104;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
217;104;Mannen;Totaal alle burgerlijke staten;3270
218;104;Mannen;Ongehuwd;1588
219;104;Mannen;Gehuwd;1604
220;104;Mannen;Gescheiden van tafel en bed;2
221;104;Mannen;Weduwstaat;75
222;104;Mannen;Gescheiden van echt;1
223;104;Mannen;Burgerlijke staat onbekend;0
224;104;Vrouwen;Totaal alle burgerlijke staten;49
225;104;Vrouwen;Ongehuwd;45
226;104;Vrouwen;Gehuwd;2
227;104;Vrouwen;Gescheiden van tafel en bed;0
228;104;Vrouwen;Weduwstaat;2
229;104;Vrouwen;Gescheiden van echt;0
230;104;Vrouwen;Burgerlijke staat onbekend;0
231;105;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;6322
232;105;Totaal mannen en vrouwen;Ongehuwd;3420
233;105;Totaal mannen en vrouwen;Gehuwd;2759
234;105;Totaal mannen en vrouwen;Gescheiden van tafel en bed;1
235;105;Totaal mannen en vrouwen;Weduwstaat;129
236;105;Totaal mannen en vrouwen;Gescheiden van echt;13
237;105;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
238;105;Mannen;Totaal alle burgerlijke staten;4947
239;105;Mannen;Ongehuwd;2268
240;105;Mannen;Gehuwd;2567
241;105;Mannen;Gescheiden van tafel en bed;0
242;105;Mannen;Weduwstaat;101
243;105;Mannen;Gescheiden van echt;11
244;105;Mannen;Burgerlijke staat onbekend;0
245;105;Vrouwen;Totaal alle burgerlijke staten;1375
246;105;Vrouwen;Ongehuwd;1152
247;105;Vrouwen;Gehuwd;192
248;105;Vrouwen;Gescheiden van tafel en bed;1
249;105;Vrouwen;Weduwstaat;28
250;105;Vrouwen;Gescheiden van echt;2
251;105;Vrouwen;Burgerlijke staat onbekend;0
252;106;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;196
253;106;Totaal mannen en vrouwen;Ongehuwd;63
254;106;Totaal mannen en vrouwen;Gehuwd;128
255;106;Totaal mannen en vrouwen;Gescheiden van tafel en bed;1
256;106;Totaal mannen en vrouwen;Weduwstaat;3
257;106;Totaal mannen en vrouwen;Gescheiden van echt;1
258;106;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
259;106;Mannen;Totaal alle burgerlijke staten;190
260;106;Mannen;Ongehuwd;59
261;106;Mannen;Gehuwd;127
262;106;Mannen;Gescheiden van tafel en bed;1
263;106;Mannen;Weduwstaat;2
264;106;Mannen;Gescheiden van echt;1
265;106;Mannen;Burgerlijke staat onbekend;0
266;106;Vrouwen;Totaal alle burgerlijke staten;6
267;106;Vrouwen;Ongehuwd;4
268;106;Vrouwen;Gehuwd;1
269;106;Vrouwen;Gescheiden van tafel en bed;0
270;106;Vrouwen;Weduwstaat;1
271;106;Vrouwen;Gescheiden van echt;0
272;106;Vrouwen;Burgerlijke staat onbekend;0
273;107;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;5282
274;107;Totaal mannen en vrouwen;Ongehuwd;2410
275;107;Totaal mannen en vrouwen;Gehuwd;2735
276;107;Totaal mannen en vrouwen;Gescheiden van tafel en bed;7
277;107;Totaal mannen en vrouwen;Weduwstaat;118
278;107;Totaal mannen en vrouwen;Gescheiden van echt;12
279;107;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
280;107;Mannen;Totaal alle burgerlijke staten;4847
281;107;Mannen;Ongehuwd;2012
282;107;Mannen;Gehuwd;2710
283;107;Mannen;Gescheiden van tafel en bed;7
284;107;Mannen;Weduwstaat;107
285;107;Mannen;Gescheiden van echt;11
286;107;Mannen;Burgerlijke staat onbekend;0
287;107;Vrouwen;Totaal alle burgerlijke staten;435
288;107;Vrouwen;Ongehuwd;398
289;107;Vrouwen;Gehuwd;25
290;107;Vrouwen;Gescheiden van tafel en bed;0
291;107;Vrouwen;Weduwstaat;11
292;107;Vrouwen;Gescheiden van echt;1
293;107;Vrouwen;Burgerlijke staat onbekend;0
294;108;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;1724
295;108;Totaal mannen en vrouwen;Ongehuwd;949
296;108;Totaal mannen en vrouwen;Gehuwd;739
297;108;Totaal mannen en vrouwen;Gescheiden van tafel en bed;4
298;108;Totaal mannen en vrouwen;Weduwstaat;24
299;108;Totaal mannen en vrouwen;Gescheiden van echt;8
300;108;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
301;108;Mannen;Totaal alle burgerlijke staten;1681
302;108;Mannen;Ongehuwd;912
303;108;Mannen;Gehuwd;734
304;108;Mannen;Gescheiden van tafel en bed;4
305;108;Mannen;Weduwstaat;23
306;108;Mannen;Gescheiden van echt;8
307;108;Mannen;Burgerlijke staat onbekend;0
308;108;Vrouwen;Totaal alle burgerlijke staten;43
309;108;Vrouwen;Ongehuwd;37
310;108;Vrouwen;Gehuwd;5
311;108;Vrouwen;Gescheiden van tafel en bed;0
312;108;Vrouwen;Weduwstaat;1
313;108;Vrouwen;Gescheiden van echt;0
314;108;Vrouwen;Burgerlijke staat onbekend;0
315;109;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;310
316;109;Totaal mannen en vrouwen;Ongehuwd;100
317;109;Totaal mannen en vrouwen;Gehuwd;198
318;109;Totaal mannen en vrouwen;Gescheiden van tafel en bed;0
319;109;Totaal mannen en vrouwen;Weduwstaat;10
320;109;Totaal mannen en vrouwen;Gescheiden van echt;2
321;109;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
322;109;Mannen;Totaal alle burgerlijke staten;307
323;109;Mannen;Ongehuwd;97
324;109;Mannen;Gehuwd;198
325;109;Mannen;Gescheiden van tafel en bed;0
326;109;Mannen;Weduwstaat;10
327;109;Mannen;Gescheiden van echt;2
328;109;Mannen;Burgerlijke staat onbekend;0
329;109;Vrouwen;Totaal alle burgerlijke staten;3
330;109;Vrouwen;Ongehuwd;3
331;109;Vrouwen;Gehuwd;0
332;109;Vrouwen;Gescheiden van tafel en bed;0
333;109;Vrouwen;Weduwstaat;0
334;109;Vrouwen;Gescheiden van echt;0
335;109;Vrouwen;Burgerlijke staat onbekend;0
336;110;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;530
337;110;Totaal mannen en vrouwen;Ongehuwd;148
338;110;Totaal mannen en vrouwen;Gehuwd;363
339;110;Totaal mannen en vrouwen;Gescheiden van tafel en bed;0
340;110;Totaal mannen en vrouwen;Weduwstaat;17
341;110;Totaal mannen en vrouwen;Gescheiden van echt;2
342;110;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
343;110;Mannen;Totaal alle burgerlijke staten;523
344;110;Mannen;Ongehuwd;143
345;110;Mannen;Gehuwd;361
346;110;Mannen;Gescheiden van tafel en bed;0
347;110;Mannen;Weduwstaat;17
348;110;Mannen;Gescheiden van echt;2
349;110;Mannen;Burgerlijke staat onbekend;0
350;110;Vrouwen;Totaal alle burgerlijke staten;7
351;110;Vrouwen;Ongehuwd;5
352;110;Vrouwen;Gehuwd;2
353;110;Vrouwen;Gescheiden van tafel en bed;0
354;110;Vrouwen;Weduwstaat;0
355;110;Vrouwen;Gescheiden van echt;0
356;110;Vrouwen;Burgerlijke staat onbekend;0
357;111;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;3496
358;111;Totaal mannen en vrouwen;Ongehuwd;1323
359;111;Totaal mannen en vrouwen;Gehuwd;2117
360;111;Totaal mannen en vrouwen;Gescheiden van tafel en bed;2
361;111;Totaal mannen en vrouwen;Weduwstaat;48
362;111;Totaal mannen en vrouwen;Gescheiden van echt;6
363;111;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
364;111;Mannen;Totaal alle burgerlijke staten;3453
365;111;Mannen;Ongehuwd;1289
366;111;Mannen;Gehuwd;2115
367;111;Mannen;Gescheiden van tafel en bed;2
368;111;Mannen;Weduwstaat;42
369;111;Mannen;Gescheiden van echt;5
370;111;Mannen;Burgerlijke staat onbekend;0
371;111;Vrouwen;Totaal alle burgerlijke staten;43
372;111;Vrouwen;Ongehuwd;34
373;111;Vrouwen;Gehuwd;2
374;111;Vrouwen;Gescheiden van tafel en bed;0
375;111;Vrouwen;Weduwstaat;6
376;111;Vrouwen;Gescheiden van echt;1
377;111;Vrouwen;Burgerlijke staat onbekend;0
378;112;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;8
379;112;Totaal mannen en vrouwen;Ongehuwd;8
380;112;Totaal mannen en vrouwen;Gehuwd;0
381;112;Totaal mannen en vrouwen;Gescheiden van tafel en bed;0
382;112;Totaal mannen en vrouwen;Weduwstaat;0
383;112;Totaal mannen en vrouwen;Gescheiden van echt;0
384;112;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
385;112;Mannen;Totaal alle burgerlijke staten;8
386;112;Mannen;Ongehuwd;8
387;112;Mannen;Gehuwd;0
388;112;Mannen;Gescheiden van tafel en bed;0
389;112;Mannen;Weduwstaat;0
390;112;Mannen;Gescheiden van echt;0
391;112;Mannen;Burgerlijke staat onbekend;0
392;112;Vrouwen;Totaal alle burgerlijke staten;0
393;112;Vrouwen;Ongehuwd;0
394;112;Vrouwen;Gehuwd;0
395;112;Vrouwen;Gescheiden van tafel en bed;0
396;112;Vrouwen;Weduwstaat;0
397;112;Vrouwen;Gescheiden van echt;0
398;112;Vrouwen;Burgerlijke staat onbekend;0
399;200;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;6919
400;200;Totaal mannen en vrouwen;Ongehuwd;1667
401;200;Totaal mannen en vrouwen;Gehuwd;4899
402;200;Totaal mannen en vrouwen;Gescheiden van tafel en bed;18
403;200;Totaal mannen en vrouwen;Weduwstaat;236
404;200;Totaal mannen en vrouwen;Gescheiden van echt;99
405;200;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
406;200;Mannen;Totaal alle burgerlijke staten;6276
407;200;Mannen;Ongehuwd;1281
408;200;Mannen;Gehuwd;4688
409;200;Mannen;Gescheiden van tafel en bed;18
410;200;Mannen;Weduwstaat;210
411;200;Mannen;Gescheiden van echt;79
412;200;Mannen;Burgerlijke staat onbekend;0
413;200;Vrouwen;Totaal alle burgerlijke staten;643
414;200;Vrouwen;Ongehuwd;386
415;200;Vrouwen;Gehuwd;211
416;200;Vrouwen;Gescheiden van tafel en bed;0
417;200;Vrouwen;Weduwstaat;26
418;200;Vrouwen;Gescheiden van echt;20
419;200;Vrouwen;Burgerlijke staat onbekend;0
420;300;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;30867
421;300;Totaal mannen en vrouwen;Ongehuwd;14921
422;300;Totaal mannen en vrouwen;Gehuwd;15275
423;300;Totaal mannen en vrouwen;Gescheiden van tafel en bed;41
424;300;Totaal mannen en vrouwen;Weduwstaat;488
425;300;Totaal mannen en vrouwen;Gescheiden van echt;142
426;300;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
427;300;Mannen;Totaal alle burgerlijke staten;28702
428;300;Mannen;Ongehuwd;12959
429;300;Mannen;Gehuwd;15152
430;300;Mannen;Gescheiden van tafel en bed;40
431;300;Mannen;Weduwstaat;426
432;300;Mannen;Gescheiden van echt;125
433;300;Mannen;Burgerlijke staat onbekend;0
434;300;Vrouwen;Totaal alle burgerlijke staten;2165
435;300;Vrouwen;Ongehuwd;1962
436;300;Vrouwen;Gehuwd;123
437;300;Vrouwen;Gescheiden van tafel en bed;1
438;300;Vrouwen;Weduwstaat;62
439;300;Vrouwen;Gescheiden van echt;17
440;300;Vrouwen;Burgerlijke staat onbekend;0
441;301;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;24319
442;301;Totaal mannen en vrouwen;Ongehuwd;11506
443;301;Totaal mannen en vrouwen;Gehuwd;12294
444;301;Totaal mannen en vrouwen;Gescheiden van tafel en bed;27
445;301;Totaal mannen en vrouwen;Weduwstaat;395
446;301;Totaal mannen en vrouwen;Gescheiden van echt;97
447;301;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
448;301;Mannen;Totaal alle burgerlijke staten;22881
449;301;Mannen;Ongehuwd;10212
450;301;Mannen;Gehuwd;12217
451;301;Mannen;Gescheiden van tafel en bed;27
452;301;Mannen;Weduwstaat;342
453;301;Mannen;Gescheiden van echt;83
454;301;Mannen;Burgerlijke staat onbekend;0
455;301;Vrouwen;Totaal alle burgerlijke staten;1438
456;301;Vrouwen;Ongehuwd;1294
457;301;Vrouwen;Gehuwd;77
458;301;Vrouwen;Gescheiden van tafel en bed;0
459;301;Vrouwen;Weduwstaat;53
460;301;Vrouwen;Gescheiden van echt;14
461;301;Vrouwen;Burgerlijke staat onbekend;0
462;302;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;3251
463;302;Totaal mannen en vrouwen;Ongehuwd;1796
464;302;Totaal mannen en vrouwen;Gehuwd;1390
465;302;Totaal mannen en vrouwen;Gescheiden van tafel en bed;3
466;302;Totaal mannen en vrouwen;Weduwstaat;47
467;302;Totaal mannen en vrouwen;Gescheiden van echt;15
468;302;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
469;302;Mannen;Totaal alle burgerlijke staten;2856
470;302;Mannen;Ongehuwd;1413
471;302;Mannen;Gehuwd;1382
472;302;Mannen;Gescheiden van tafel en bed;3
473;302;Mannen;Weduwstaat;44
474;302;Mannen;Gescheiden van echt;14
475;302;Mannen;Burgerlijke staat onbekend;0
476;302;Vrouwen;Totaal alle burgerlijke staten;395
477;302;Vrouwen;Ongehuwd;383
478;302;Vrouwen;Gehuwd;8
479;302;Vrouwen;Gescheiden van tafel en bed;0
480;302;Vrouwen;Weduwstaat;3
481;302;Vrouwen;Gescheiden van echt;1
482;302;Vrouwen;Burgerlijke staat onbekend;0
483;303;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;117
484;303;Totaal mannen en vrouwen;Ongehuwd;86
485;303;Totaal mannen en vrouwen;Gehuwd;29
486;303;Totaal mannen en vrouwen;Gescheiden van tafel en bed;0
487;303;Totaal mannen en vrouwen;Weduwstaat;1
488;303;Totaal mannen en vrouwen;Gescheiden van echt;1
489;303;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
490;303;Mannen;Totaal alle burgerlijke staten;53
491;303;Mannen;Ongehuwd;28
492;303;Mannen;Gehuwd;24
493;303;Mannen;Gescheiden van tafel en bed;0
494;303;Mannen;Weduwstaat;1
495;303;Mannen;Gescheiden van echt;0
496;303;Mannen;Burgerlijke staat onbekend;0
497;303;Vrouwen;Totaal alle burgerlijke staten;64
498;303;Vrouwen;Ongehuwd;58
499;303;Vrouwen;Gehuwd;5
500;303;Vrouwen;Gescheiden van tafel en bed;0
501;303;Vrouwen;Weduwstaat;0
502;303;Vrouwen;Gescheiden van echt;1
503;303;Vrouwen;Burgerlijke staat onbekend;0
504;304;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;1120
505;304;Totaal mannen en vrouwen;Ongehuwd;603
506;304;Totaal mannen en vrouwen;Gehuwd;505
507;304;Totaal mannen en vrouwen;Gescheiden van tafel en bed;5
508;304;Totaal mannen en vrouwen;Weduwstaat;5
509;304;Totaal mannen en vrouwen;Gescheiden van echt;2
510;304;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
511;304;Mannen;Totaal alle burgerlijke staten;1085
512;304;Mannen;Ongehuwd;574
513;304;Mannen;Gehuwd;499
514;304;Mannen;Gescheiden van tafel en bed;5
515;304;Mannen;Weduwstaat;5
516;304;Mannen;Gescheiden van echt;2
517;304;Mannen;Burgerlijke staat onbekend;0
518;304;Vrouwen;Totaal alle burgerlijke staten;35
519;304;Vrouwen;Ongehuwd;29
520;304;Vrouwen;Gehuwd;6
521;304;Vrouwen;Gescheiden van tafel en bed;0
522;304;Vrouwen;Weduwstaat;0
523;304;Vrouwen;Gescheiden van echt;0
524;304;Vrouwen;Burgerlijke staat onbekend;0
525;305;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;1902
526;305;Totaal mannen en vrouwen;Ongehuwd;838
527;305;Totaal mannen en vrouwen;Gehuwd;994
528;305;Totaal mannen en vrouwen;Gescheiden van tafel en bed;6
529;305;Totaal mannen en vrouwen;Weduwstaat;39
530;305;Totaal mannen en vrouwen;Gescheiden van echt;25
531;305;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
532;305;Mannen;Totaal alle burgerlijke staten;1706
533;305;Mannen;Ongehuwd;675
534;305;Mannen;Gehuwd;969
535;305;Mannen;Gescheiden van tafel en bed;5
