ID;SamenstellingVanHetHuishouden;HerkomstlandHuishouden;GeboortelandReferentiepersoon;GeboortelandPartner;Perioden;ParticuliereHuishoudens_1
32;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Ander land dan referentiepersoon;2024;292369.0
33;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Overig;2022;834032.0
34;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Overig;2023;930644.0
35;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Overig;2024;973738.0
36;Totaal particuliere huishoudens;Nederland;Totaal;Totaal;2022;5615881.0
37;Totaal particuliere huishoudens;Nederland;Totaal;Totaal;2023;5600123.0
38;Totaal particuliere huishoudens;Nederland;Totaal;Totaal;2024;5614096.0
39;Totaal particuliere huishoudens;Nederland;Totaal;Zelfde land als referentiepersoon;2022;2993018.0
40;Totaal particuliere huishoudens;Nederland;Totaal;Zelfde land als referentiepersoon;2023;2972872.0
41;Totaal particuliere huishoudens;Nederland;Totaal;Zelfde land als referentiepersoon;2024;2954280.0
42;Totaal particuliere huishoudens;Nederland;Totaal;Ander land dan referentiepersoon;2022;
43;Totaal particuliere huishoudens;Nederland;Totaal;Ander land dan referentiepersoon;2023;
44;Totaal particuliere huishoudens;Nederland;Totaal;Ander land dan referentiepersoon;2024;
45;Totaal particuliere huishoudens;Nederland;Totaal;Overig;2022;2622863.0
46;Totaal particuliere huishoudens;Nederland;Totaal;Overig;2023;2627251.0
47;Totaal particuliere huishoudens;Nederland;Totaal;Overig;2024;2659816.0
48;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Totaal;2022;5615881.0
49;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Totaal;2023;5600123.0
50;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Totaal;2024;5614096.0
51;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Zelfde land als referentiepersoon;2022;2993018.0
52;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Zelfde land als referentiepersoon;2023;2972872.0
53;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Zelfde land als referentiepersoon;2024;2954280.0
54;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Ander land dan referentiepersoon;2022;
55;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Ander land dan referentiepersoon;2023;
56;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Ander land dan referentiepersoon;2024;
57;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Overig;2022;2622863.0
58;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Overig;2023;2627251.0
59;Totaal particuliere huishoudens;Nederland;Geboren in Nederland;Overig;2024;2659816.0
60;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Totaal;2022;
61;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Totaal;2023;
62;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Totaal;2024;
63;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Zelfde land als referentiepersoon;2022;
64;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Zelfde land als referentiepersoon;2023;
65;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Zelfde land als referentiepersoon;2024;
66;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Ander land dan referentiepersoon;2022;
67;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Ander land dan referentiepersoon;2023;
68;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Ander land dan referentiepersoon;2024;
69;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Overig;2022;
70;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Overig;2023;
71;Totaal particuliere huishoudens;Nederland;Geboren buiten Nederland;Overig;2024;
72;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Totaal;2022;2522710.0
73;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Totaal;2023;2670121.0
74;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Totaal;2024;2760308.0
75;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Zelfde land als referentiepersoon;2022;795273.0
76;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Zelfde land als referentiepersoon;2023;824150.0
77;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Zelfde land als referentiepersoon;2024;848118.0
78;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Ander land dan referentiepersoon;2022;539503.0
79;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Ander land dan referentiepersoon;2023;554020.0
80;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Ander land dan referentiepersoon;2024;566338.0
81;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Overig;2022;1187934.0
82;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Overig;2023;1291951.0
83;Totaal particuliere huishoudens;Buiten Nederland;Totaal;Overig;2024;1345852.0
84;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Totaal;2022;1065195.0
85;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Totaal;2023;1080097.0
86;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Totaal;2024;1098204.0
87;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Zelfde land als referentiepersoon;2022;446268.0
88;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Zelfde land als referentiepersoon;2023;449369.0
89;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Zelfde land als referentiepersoon;2024;452121.0
90;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Ander land dan referentiepersoon;2022;265025.0
91;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Ander land dan referentiepersoon;2023;269421.0
92;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Ander land dan referentiepersoon;2024;273969.0
93;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Overig;2022;353902.0
94;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Overig;2023;361307.0
95;Totaal particuliere huishoudens;Buiten Nederland;Geboren in Nederland;Overig;2024;372114.0
96;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Totaal;2022;1457515.0
97;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Totaal;2023;1590024.0
98;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Totaal;2024;1662104.0
99;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Zelfde land als referentiepersoon;2022;349005.0
100;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Zelfde land als referentiepersoon;2023;374781.0
101;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Zelfde land als referentiepersoon;2024;395997.0
102;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Ander land dan referentiepersoon;2022;274478.0
103;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Ander land dan referentiepersoon;2023;284599.0
104;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Ander land dan referentiepersoon;2024;292369.0
105;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Overig;2022;834032.0
106;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Overig;2023;930644.0
107;Totaal particuliere huishoudens;Buiten Nederland;Geboren buiten Nederland;Overig;2024;973738.0
108;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Totaal;2022;930842.0
109;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Totaal;2023;1012073.0
110;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Totaal;2024;1047209.0
111;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Zelfde land als referentiepersoon;2022;286015.0
112;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Zelfde land als referentiepersoon;2023;295193.0
113;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Zelfde land als referentiepersoon;2024;301246.0
114;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Ander land dan referentiepersoon;2022;219272.0
115;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Ander land dan referentiepersoon;2023;225894.0
116;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Ander land dan referentiepersoon;2024;231316.0
117;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Overig;2022;425555.0
118;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Overig;2023;490986.0
119;Totaal particuliere huishoudens;Europa (exclusief Nederland);Totaal;Overig;2024;514647.0
120;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Totaal;2022;430318.0
121;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Totaal;2023;428748.0
122;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Totaal;2024;428923.0
123;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Zelfde land als referentiepersoon;2022;193386.0
124;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Zelfde land als referentiepersoon;2023;190330.0
125;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Zelfde land als referentiepersoon;2024;187571.0
126;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Ander land dan referentiepersoon;2022;113622.0
127;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Ander land dan referentiepersoon;2023;115215.0
128;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Ander land dan referentiepersoon;2024;116628.0
129;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Overig;2022;123310.0
130;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Overig;2023;123203.0
131;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren in Nederland;Overig;2024;124724.0
132;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Totaal;2022;500524.0
133;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Totaal;2023;583325.0
134;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Totaal;2024;618286.0
135;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Zelfde land als referentiepersoon;2022;92629.0
136;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Zelfde land als referentiepersoon;2023;104863.0
137;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Zelfde land als referentiepersoon;2024;113675.0
138;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Ander land dan referentiepersoon;2022;105650.0
139;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Ander land dan referentiepersoon;2023;110679.0
140;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Ander land dan referentiepersoon;2024;114688.0
141;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Overig;2022;302245.0
142;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Overig;2023;367783.0
143;Totaal particuliere huishoudens;Europa (exclusief Nederland);Geboren buiten Nederland;Overig;2024;389923.0
144;Totaal particuliere huishoudens;Buiten Europa;Totaal;Totaal;2022;1591868.0
145;Totaal particuliere huishoudens;Buiten Europa;Totaal;Totaal;2023;1658048.0
146;Totaal particuliere huishoudens;Buiten Europa;Totaal;Totaal;2024;1713099.0
147;Totaal particuliere huishoudens;Buiten Europa;Totaal;Zelfde land als referentiepersoon;2022;509258.0
148;Totaal particuliere huishoudens;Buiten Europa;Totaal;Zelfde land als referentiepersoon;2023;528957.0
149;Totaal particuliere huishoudens;Buiten Europa;Totaal;Zelfde land als referentiepersoon;2024;546872.0
150;Totaal particuliere huishoudens;Buiten Europa;Totaal;Ander land dan referentiepersoon;2022;320231.0
151;Totaal particuliere huishoudens;Buiten Europa;Totaal;Ander land dan referentiepersoon;2023;328126.0
152;Totaal particuliere huishoudens;Buiten Europa;Totaal;Ander land dan referentiepersoon;2024;335022.0
153;Totaal particuliere huishoudens;Buiten Europa;Totaal;Overig;2022;762379.0
154;Totaal particuliere huishoudens;Buiten Europa;Totaal;Overig;2023;800965.0
155;Totaal particuliere huishoudens;Buiten Europa;Totaal;Overig;2024;831205.0
156;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Totaal;2022;634877.0
157;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Totaal;2023;651349.0
158;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Totaal;2024;669281.0
159;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Zelfde land als referentiepersoon;2022;252882.0
160;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Zelfde land als referentiepersoon;2023;259039.0
161;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Zelfde land als referentiepersoon;2024;264550.0
162;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Ander land dan referentiepersoon;2022;151403.0
163;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Ander land dan referentiepersoon;2023;154206.0
164;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Ander land dan referentiepersoon;2024;157341.0
165;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Overig;2022;230592.0
166;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Overig;2023;238104.0
167;Totaal particuliere huishoudens;Buiten Europa;Geboren in Nederland;Overig;2024;247390.0
168;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Totaal;2022;956991.0
169;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Totaal;2023;1006699.0
170;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Totaal;2024;1043818.0
171;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Zelfde land als referentiepersoon;2022;256376.0
172;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Zelfde land als referentiepersoon;2023;269918.0
173;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Zelfde land als referentiepersoon;2024;282322.0
174;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Ander land dan referentiepersoon;2022;168828.0
175;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Ander land dan referentiepersoon;2023;173920.0
176;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Ander land dan referentiepersoon;2024;177681.0
177;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Overig;2022;531787.0
178;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Overig;2023;562861.0
179;Totaal particuliere huishoudens;Buiten Europa;Geboren buiten Nederland;Overig;2024;583815.0
180;Totaal particuliere huishoudens;Indonesië;Totaal;Totaal;2022;298967.0
181;Totaal particuliere huishoudens;Indonesië;Totaal;Totaal;2023;296215.0
182;Totaal particuliere huishoudens;Indonesië;Totaal;Totaal;2024;293447.0
183;Totaal particuliere huishoudens;Indonesië;Totaal;Zelfde land als referentiepersoon;2022;139036.0
184;Totaal particuliere huishoudens;Indonesië;Totaal;Zelfde land als referentiepersoon;2023;138112.0
185;Totaal particuliere huishoudens;Indonesië;Totaal;Zelfde land als referentiepersoon;2024;137136.0
186;Totaal particuliere huishoudens;Indonesië;Totaal;Ander land dan referentiepersoon;2022;50906.0
187;Totaal particuliere huishoudens;Indonesië;Totaal;Ander land dan referentiepersoon;2023;49562.0
188;Totaal particuliere huishoudens;Indonesië;Totaal;Ander land dan referentiepersoon;2024;48313.0
189;Totaal particuliere huishoudens;Indonesië;Totaal;Overig;2022;109025.0
190;Totaal particuliere huishoudens;Indonesië;Totaal;Overig;2023;108541.0
191;Totaal particuliere huishoudens;Indonesië;Totaal;Overig;2024;107998.0
192;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Totaal;2022;232160.0
193;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Totaal;2023;231038.0
194;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Totaal;2024;230190.0
195;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Zelfde land als referentiepersoon;2022;132270.0
196;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Zelfde land als referentiepersoon;2023;131591.0
197;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Zelfde land als referentiepersoon;2024;130856.0
198;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Ander land dan referentiepersoon;2022;29137.0
199;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Ander land dan referentiepersoon;2023;28655.0
200;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Ander land dan referentiepersoon;2024;28259.0
201;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Overig;2022;70753.0
202;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Overig;2023;70792.0
203;Totaal particuliere huishoudens;Indonesië;Geboren in Nederland;Overig;2024;71075.0
204;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Totaal;2022;66807.0
205;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Totaal;2023;65177.0
206;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Totaal;2024;63257.0
207;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Zelfde land als referentiepersoon;2022;6766.0
208;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Zelfde land als referentiepersoon;2023;6521.0
209;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Zelfde land als referentiepersoon;2024;6280.0
210;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Ander land dan referentiepersoon;2022;21769.0
211;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Ander land dan referentiepersoon;2023;20907.0
212;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Ander land dan referentiepersoon;2024;20054.0
213;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Overig;2022;38272.0
214;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Overig;2023;37749.0
215;Totaal particuliere huishoudens;Indonesië;Geboren buiten Nederland;Overig;2024;36923.0
216;Totaal particuliere huishoudens;Marokko;Totaal;Totaal;2022;161722.0
217;Totaal particuliere huishoudens;Marokko;Totaal;Totaal;2023;166903.0
218;Totaal particuliere huishoudens;Marokko;Totaal;Totaal;2024;170850.0
219;Totaal particuliere huishoudens;Marokko;Totaal;Zelfde land als referentiepersoon;2022;63506.0
220;Totaal particuliere huishoudens;Marokko;Totaal;Zelfde land als referentiepersoon;2023;64590.0
221;Totaal particuliere huishoudens;Marokko;Totaal;Zelfde land als referentiepersoon;2024;65682.0
222;Totaal particuliere huishoudens;Marokko;Totaal;Ander land dan referentiepersoon;2022;21480.0
223;Totaal particuliere huishoudens;Marokko;Totaal;Ander land dan referentiepersoon;2023;22118.0
224;Totaal particuliere huishoudens;Marokko;Totaal;Ander land dan referentiepersoon;2024;22757.0
225;Totaal particuliere huishoudens;Marokko;Totaal;Overig;2022;76736.0
226;Totaal particuliere huishoudens;Marokko;Totaal;Overig;2023;80195.0
227;Totaal particuliere huishoudens;Marokko;Totaal;Overig;2024;82411.0
228;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Totaal;2022;55797.0
229;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Totaal;2023;59122.0
230;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Totaal;2024;62499.0
231;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Zelfde land als referentiepersoon;2022;16792.0
232;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Zelfde land als referentiepersoon;2023;18153.0
233;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Zelfde land als referentiepersoon;2024;19434.0
234;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Ander land dan referentiepersoon;2022;6612.0
235;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Ander land dan referentiepersoon;2023;6883.0
236;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Ander land dan referentiepersoon;2024;7235.0
237;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Overig;2022;32393.0
238;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Overig;2023;34086.0
239;Totaal particuliere huishoudens;Marokko;Geboren in Nederland;Overig;2024;35830.0
240;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Totaal;2022;105925.0
241;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Totaal;2023;107781.0
242;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Totaal;2024;108351.0
243;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Zelfde land als referentiepersoon;2022;46714.0
244;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Zelfde land als referentiepersoon;2023;46437.0
245;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Zelfde land als referentiepersoon;2024;46248.0
246;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Ander land dan referentiepersoon;2022;14868.0
247;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Ander land dan referentiepersoon;2023;15235.0
248;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Ander land dan referentiepersoon;2024;15522.0
249;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Overig;2022;44343.0
250;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Overig;2023;46109.0
251;Totaal particuliere huishoudens;Marokko;Geboren buiten Nederland;Overig;2024;46581.0
252;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Totaal;2022;103874.0
253;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Totaal;2023;106727.0
254;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Totaal;2024;108983.0
255;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Zelfde land als referentiepersoon;2022;18836.0
256;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Zelfde land als referentiepersoon;2023;19610.0
257;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Zelfde land als referentiepersoon;2024;20268.0
258;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Ander land dan referentiepersoon;2022;21972.0
259;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Ander land dan referentiepersoon;2023;22226.0
260;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Ander land dan referentiepersoon;2024;22409.0
261;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Overig;2022;63066.0
262;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Overig;2023;64891.0
263;Totaal particuliere huishoudens;Nederlandse Cariben;Totaal;Overig;2024;66306.0
264;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Totaal;2022;35645.0
265;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Totaal;2023;36819.0
266;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Totaal;2024;38050.0
267;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Zelfde land als referentiepersoon;2022;12637.0
268;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Zelfde land als referentiepersoon;2023;13156.0
269;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Zelfde land als referentiepersoon;2024;13584.0
270;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Ander land dan referentiepersoon;2022;8040.0
271;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Ander land dan referentiepersoon;2023;8086.0
272;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Ander land dan referentiepersoon;2024;8177.0
273;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Overig;2022;14968.0
274;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Overig;2023;15577.0
275;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren in Nederland;Overig;2024;16289.0
276;Totaal particuliere huishoudens;Nederlandse Cariben;Geboren buiten Nederland;Totaal;2022;68229.0
