ID;Institutionalinvestors;Periods;TotalForeignInvestments_1;DirectProperty_2;EquityInvestmentFundSharesOrUnits_3;DebtSecurities_4;LongTermLoans_5;OtherInvestments_6
83;Total institutional investors;2016 2nd quarter;1346.3;0.8;636.7;673.7;14.5;20.6
84;Total institutional investors;2016 3rd quarter;1374.4;0.8;665.0;673.9;14.5;20.2
85;Total institutional investors;2016 4th quarter;1378.5;0.8;693.5;652.8;14.9;16.5
86;Total institutional investors;2016;1378.5;0.8;693.5;652.8;14.9;16.5
87;Total institutional investors;2017 1st quarter;1389.6;0.8;710.6;644.6;14.3;19.3
88;Total institutional investors;2017 2nd quarter;1382.4;0.8;698.6;649.0;14.2;19.7
89;Total institutional investors;2017 3rd quarter;1404.3;0.8;713.5;656.5;13.9;19.5
90;Total institutional investors;2017 4th quarter;1435.7;0.8;741.0;657.4;13.1;23.4
91;Total institutional investors;2017;1435.7;0.8;741.0;657.4;13.1;23.4
92;Pension funds;1980;3.0;0.7;0.9;0.7;0.7;0.0
93;Pension funds;1981;3.6;0.8;0.9;1.0;0.9;0.1
94;Pension funds;1982;4.9;0.9;1.3;1.5;1.2;0.0
95;Pension funds;1983;6.8;1.2;2.1;1.8;1.6;0.1
96;Pension funds;1984;8.6;1.3;2.4;2.7;2.1;0.2
97;Pension funds;1985;10.6;1.4;3.1;3.4;2.5;0.1
98;Pension funds;1986;14.5;1.6;4.7;5.4;2.7;0.1
99;Pension funds;1987;15.9;1.8;4.9;6.3;2.7;0.2
100;Pension funds;1988;20.0;2.2;7.8;7.1;2.7;0.3
101;Pension funds;1989;21.8;2.3;11.0;5.6;2.6;0.3
102;Pension funds;1990;21.3;2.1;10.4;5.5;2.6;0.6
103;Pension funds;1991;29.1;4.2;15.3;6.5;2.6;0.5
104;Pension funds;1992;32.6;4.3;17.5;7.7;2.6;0.5
105;Pension funds;1993;43.3;4.4;25.9;9.6;2.7;0.6
106;Pension funds;1994;47.0;4.2;29.0;10.9;2.3;0.6
107;Pension funds;1995;60.5;4.0;38.1;15.8;2.4;0.3
108;Pension funds;1996;76.7;4.1;49.0;21.1;2.1;0.3
109;Pension funds;1997;111.6;3.6;67.7;36.8;2.5;1.0
110;Pension funds;1998;156.9;3.0;90.5;60.4;2.3;0.8
111;Pension funds;1999;253.5;3.1;164.0;83.6;2.1;0.8
112;Pension funds;2000;276.1;3.1;164.0;106.8;1.6;0.7
113;Pension funds;2001;296.3;2.7;172.1;118.7;1.8;0.9
114;Pension funds;2002;276.8;1.6;135.7;136.3;1.2;1.9
115;Pension funds;2003;325.3;0.7;172.3;149.4;1.0;1.9
116;Pension funds;2004;388.9;0.9;200.6;181.1;0.9;5.4
117;Pension funds;2005 1st quarter;410.8;0.9;222.1;180.5;0.9;6.4
118;Pension funds;2005 2nd quarter;447.3;0.9;243.3;198.0;0.9;4.1
119;Pension funds;2005 3rd quarter;479.0;0.8;262.2;208.7;0.7;6.6
120;Pension funds;2005 4th quarter;497.6;0.8;272.4;216.4;0.7;7.2
121;Pension funds;2005;497.6;0.8;272.4;216.4;0.7;7.2
122;Pension funds;2006 1st quarter;522.0;0.8;280.3;220.5;1.0;19.4
123;Pension funds;2006 2nd quarter;515.9;0.9;263.7;226.9;0.8;23.6
124;Pension funds;2006 3rd quarter;546.2;0.9;279.3;240.6;0.9;24.5
125;Pension funds;2006 4th quarter;568.8;0.9;296.8;243.7;1.0;26.4
126;Pension funds;2006;568.8;0.9;296.8;243.7;1.0;26.4
127;Pension funds;2007 1st quarter;579.5;0.4;305.1;247.2;1.8;25.0
128;Pension funds;2007 2nd quarter;591.5;0.4;322.7;245.5;2.0;20.8
129;Pension funds;2007 3rd quarter;591.9;0.4;325.8;244.3;2.4;19.0
130;Pension funds;2007 4th quarter;586.5;0.4;317.5;247.8;2.9;17.9
131;Pension funds;2007;586.5;0.4;317.5;247.8;2.9;17.9
132;Pension funds;2008 1st quarter;558.6;0.4;289.3;233.8;6.3;28.8
133;Pension funds;2008 2nd quarter;551.9;0.2;293.7;236.1;2.6;19.2
134;Pension funds;2008 3rd quarter;545.9;0.2;272.9;255.6;2.8;14.4
135;Pension funds;2008 4th quarter before revision;474.6;0.2;211.5;231.3;3.9;27.7
136;Pension funds;2008 4th quarter after revision;472.9;0.2;210.1;227.5;3.5;31.7
137;Pension funds;2008 before revision;474.6;0.2;211.5;231.3;3.9;27.7
138;Pension funds;2008 after revision;472.9;0.2;210.1;227.5;3.5;31.7
139;Pension funds;2009 1st quarter;339.6;0.1;158.0;159.1;2.7;19.7
140;Pension funds;2009 2nd quarter;337.1;0.1;160.1;155.6;2.9;18.4
141;Pension funds;2009 3rd quarter;337.1;0.1;160.1;155.6;2.9;18.4
142;Pension funds;2009 4th quarter;337.1;0.1;160.1;155.6;2.9;18.4
143;Pension funds;2009;337.1;0.1;160.1;155.6;2.9;18.4
144;Pension funds;2010 1st quarter;327.6;0.1;158.2;153.7;2.5;13.0
145;Pension funds;2010 2nd quarter;326.6;0.2;159.1;156.0;2.8;8.6
146;Pension funds;2010 3rd quarter;338.8;0.2;163.6;157.1;2.8;15.1
147;Pension funds;2010 4th quarter;332.9;0.2;171.8;149.6;2.8;8.3
148;Pension funds;2010;332.9;0.2;171.8;149.6;2.8;8.3
149;Pension funds;2011 1st quarter;327.7;0.2;164.2;151.9;2.6;8.7
150;Pension funds;2011 2nd quarter;327.6;0.2;166.0;150.5;2.5;8.3
151;Pension funds;2011 3rd quarter;315.0;0.2;154.3;150.4;2.1;8.1
152;Pension funds;2011 4th quarter;326.6;0.2;161.8;156.5;2.1;5.9
153;Pension funds;2011;326.6;0.2;161.8;156.5;2.1;5.9
154;Pension funds;2012 1st quarter;345.1;0.2;172.9;162.6;2.1;7.2
155;Pension funds;2012 2nd quarter;355.4;0.2;174.2;169.6;2.1;9.3
156;Pension funds;2012 3rd quarter;368.3;0.2;181.4;176.6;2.2;7.9
157;Pension funds;2012 4th quarter;374.9;0.1;181.9;183.3;2.2;7.4
158;Pension funds;2012;374.9;0.1;181.9;183.3;2.2;7.4
159;Pension funds;2013 1st quarter;388.3;0.1;192.7;185.5;2.2;7.9
160;Pension funds;2013 2nd quarter;374.3;0.1;183.0;182.6;2.1;6.5
161;Pension funds;2013 3rd quarter;377.4;0.1;185.2;184.2;2.1;5.8
162;Pension funds;2013 4th quarter;385.0;0.1;189.1;187.3;1.8;6.6
163;Pension funds;2013;385.0;0.1;189.1;187.3;1.8;6.6
164;Pension funds;2014 1st quarter;403.9;0.1;192.7;203.9;1.8;5.4
165;Pension funds;2014 2nd quarter;423.4;0.1;202.3;212.8;1.7;6.5
166;Pension funds;2014 3rd quarter;445.5;0.1;214.4;224.7;1.7;4.7
167;Pension funds;2014 4th quarter;474.6;0.1;228.8;236.4;1.7;7.7
168;Pension funds;2014;474.6;0.1;228.8;236.4;1.7;7.7
169;Pension funds;2015 1st quarter;526.8;0.1;252.1;263.7;1.5;9.5
170;Pension funds;2015 2nd quarter;499.5;0.1;239.3;251.4;1.4;7.3
171;Pension funds;2015 3rd quarter;484.4;0.1;224.7;251.4;1.2;7.0
172;Pension funds;2015 4th quarter;495.1;0.1;233.6;253.5;1.3;6.6
173;Pension funds;2015;495.1;0.1;233.6;253.5;1.3;6.6
174;Pension funds;2016 1st quarter;506.9;0.0;230.3;267.8;1.2;7.6
175;Pension funds;2016 2nd quarter;524.8;0.0;235.8;279.6;1.2;8.1
176;Pension funds;2016 3rd quarter;534.6;0.0;244.7;281.8;1.2;7.0
177;Pension funds;2016 4th quarter;533.4;0.0;253.2;272.9;1.2;6.0
178;Pension funds;2016;533.4;0.0;253.2;272.9;1.2;6.0
179;Pension funds;2017 1st quarter;540.0;0.0;257.3;274.1;1.0;7.5
180;Pension funds;2017 2nd quarter;538.1;0.0;250.8;279.8;0.9;6.5
181;Pension funds;2017 3rd quarter;542.9;0.0;251.4;284.5;0.8;6.1
182;Pension funds;2017 4th quarter;580.9;0.0;255.7;314.1;0.8;10.3
183;Pension funds;2017;580.9;0.0;255.7;314.1;0.8;10.3
184;Insurance corporations;1980;0.9;0.1;0.1;0.1;0.4;0.0
185;Insurance corporations;1981;1.0;0.1;0.2;0.2;0.4;0.0
186;Insurance corporations;1982;1.4;0.1;0.2;0.4;0.7;0.0
187;Insurance corporations;1983;2.3;0.1;0.7;0.6;0.8;0.1
188;Insurance corporations;1984;3.0;0.1;0.9;1.0;1.0;0.0
189;Insurance corporations;1985;4.0;0.1;1.3;1.2;1.3;0.1
190;Insurance corporations;1986;4.7;0.1;1.4;1.6;1.4;0.1
191;Insurance corporations;1987;4.8;0.1;1.4;1.8;1.4;0.1
192;Insurance corporations;1988;5.7;0.1;1.7;2.4;1.3;0.1
193;Insurance corporations;1989;5.7;0.2;2.1;2.1;1.3;0.1
194;Insurance corporations;1990;5.3;0.2;1.6;2.1;1.3;0.1
195;Insurance corporations;1991;6.5;0.3;2.1;2.5;1.4;0.1
196;Insurance corporations;1992;8.2;0.4;2.4;3.8;1.5;0.0
197;Insurance corporations;1993;12.8;0.3;4.4;6.3;1.7;0.1
198;Insurance corporations;1994;12.5;0.3;4.4;6.1;1.5;0.2
199;Insurance corporations;1995;17.6;0.3;5.9;9.5;1.9;0.1
200;Insurance corporations;1996;23.1;0.2;7.5;13.4;1.9;0.1
201;Insurance corporations;1997;32.5;0.2;11.5;18.8;1.9;0.1
202;Insurance corporations;1998;39.8;0.2;16.7;20.4;2.3;0.2
203;Insurance corporations;1999;55.8;0.2;25.1;27.0;3.3;0.3
204;Insurance corporations;2000;63.7;0.3;27.7;32.3;3.2;0.2
205;Insurance corporations;2001;75.9;0.4;24.2;48.1;3.1;0.2
206;Insurance corporations;2002;77.1;0.2;20.8;53.5;2.6;0.2
207;Insurance corporations;2003;89.3;0.1;20.5;67.0;1.6;0.1
208;Insurance corporations;2004;111.3;1.1;23.2;85.5;1.1;0.5
209;Insurance corporations;2005 1st quarter;121.2;1.1;25.3;93.2;1.3;0.3
210;Insurance corporations;2005 2nd quarter;129.6;1.2;29.5;97.1;1.3;0.5
211;Insurance corporations;2005 3rd quarter;130.5;1.2;30.7;96.8;1.4;0.4
212;Insurance corporations;2005 4th quarter;129.3;1.3;30.8;95.9;0.8;0.4
213;Insurance corporations;2005;129.3;1.3;30.8;95.9;0.8;0.4
214;Insurance corporations;2006 1st quarter;128.7;1.6;31.8;93.9;1.0;0.5
215;Insurance corporations;2006 2nd quarter;124.2;1.6;28.4;92.8;1.0;0.5
216;Insurance corporations;2006 3rd quarter;131.5;1.6;33.2;95.1;1.0;0.5
217;Insurance corporations;2006 4th quarter;133.8;1.7;34.6;96.3;0.8;0.4
218;Insurance corporations;2006;133.8;1.7;34.6;96.3;0.8;0.4
219;Insurance corporations;2007 1st quarter;141.7;1.7;38.8;100.1;0.6;0.5
220;Insurance corporations;2007 2nd quarter;145.3;1.7;43.6;99.3;0.4;0.3
221;Insurance corporations;2007 3rd quarter;151.9;1.7;50.1;99.5;0.3;0.3
222;Insurance corporations;2007 4th quarter;157.0;1.7;53.1;101.2;0.5;0.5
223;Insurance corporations;2007;157.0;1.7;53.1;101.2;0.5;0.5
224;Insurance corporations;2008 1st quarter;158.0;1.7;54.0;101.1;0.4;0.8
225;Insurance corporations;2008 2nd quarter;160.8;1.7;57.6;100.4;0.4;0.7
226;Insurance corporations;2008 3rd quarter;166.6;1.7;59.9;104.0;0.4;0.7
227;Insurance corporations;2008 4th quarter before revision;166.4;1.7;56.9;106.7;0.3;0.8
228;Insurance corporations;2008 4th quarter after revision;157.1;0.1;29.9;122.2;2.0;2.9
229;Insurance corporations;2008 before revision;166.4;1.7;56.9;106.7;0.3;0.8
230;Insurance corporations;2008 after revision;157.1;0.1;29.9;122.2;2.0;2.9
231;Insurance corporations;2009 1st quarter;160.8;0.1;29.1;127.1;2.3;2.2
232;Insurance corporations;2009 2nd quarter;160.5;0.1;30.1;125.8;2.3;2.2
233;Insurance corporations;2009 3rd quarter;160.5;0.1;30.1;125.8;2.3;2.2
234;Insurance corporations;2009 4th quarter;160.5;0.1;30.1;125.8;2.3;2.2
235;Insurance corporations;2009;160.5;0.1;30.1;125.8;2.3;2.2
236;Insurance corporations;2010 1st quarter;163.8;0.1;30.4;128.2;2.5;2.6
237;Insurance corporations;2010 2nd quarter;160.8;0.1;29.6;125.8;2.6;2.7
238;Insurance corporations;2010 3rd quarter;167.9;0.0;30.5;132.4;2.6;2.3
239;Insurance corporations;2010 4th quarter;161.0;0.0;31.2;125.1;2.7;2.1
240;Insurance corporations;2010;161.0;0.0;31.2;125.1;2.7;2.1
241;Insurance corporations;2011 1st quarter;158.3;0.0;31.0;121.8;2.7;2.7
242;Insurance corporations;2011 2nd quarter;154.8;0.0;28.1;120.9;2.8;3.1
243;Insurance corporations;2011 3rd quarter;154.2;0.0;25.0;123.9;2.8;2.5
244;Insurance corporations;2011 4th quarter;153.4;0.0;27.2;120.8;2.7;2.8
245;Insurance corporations;2011;153.4;0.0;27.2;120.8;2.7;2.8
246;Insurance corporations;2012 1st quarter;160.7;0.0;29.4;125.6;2.8;2.9
247;Insurance corporations;2012 2nd quarter;165.7;0.0;29.4;129.9;2.7;3.6
248;Insurance corporations;2012 3rd quarter;171.8;0.0;30.2;135.3;2.7;3.5
249;Insurance corporations;2012 4th quarter;179.2;0.0;30.5;142.7;2.7;3.4
250;Insurance corporations;2012;179.2;0.0;30.5;142.7;2.7;3.4
251;Insurance corporations;2013 1st quarter;179.7;0.0;31.9;142.0;2.6;3.3
252;Insurance corporations;2013 2nd quarter;178.7;0.0;31.4;140.7;2.7;3.8
253;Insurance corporations;2013 3rd quarter;167.5;0.0;30.8;130.3;2.7;3.6
254;Insurance corporations;2013 4th quarter;162.2;0.0;28.8;127.8;2.4;3.1
255;Insurance corporations;2013;162.2;0.0;28.8;127.8;2.4;3.1
256;Insurance corporations;2014 1st quarter;165.2;0.0;28.9;130.5;2.4;3.3
257;Insurance corporations;2014 2nd quarter;171.2;0.0;28.9;136.1;2.5;3.7
258;Insurance corporations;2014 3rd quarter;177.7;0.0;29.0;142.1;3.0;3.6
259;Insurance corporations;2014 4th quarter;174.2;0.0;22.2;145.9;2.9;3.2
260;Insurance corporations;2014;174.2;0.0;22.2;145.9;2.9;3.2
261;Insurance corporations;2015 1st quarter;190.7;0.0;24.2;159.9;3.2;3.4
262;Insurance corporations;2015 2nd quarter;174.0;0.0;22.5;145.0;3.1;3.4
263;Insurance corporations;2015 3rd quarter;174.7;0.0;21.9;146.3;3.2;3.2
264;Insurance corporations;2015 4th quarter;173.9;0.0;23.3;144.0;3.5;3.1
265;Insurance corporations;2015;173.9;0.0;23.3;144.0;3.5;3.1
266;Insurance corporations;2016 1st quarter;182.3;0.0;22.8;152.8;3.4;3.2
267;Insurance corporations;2016 2nd quarter;186.9;0.0;23.0;157.4;3.4;3.1
268;Insurance corporations;2016 3rd quarter;185.9;0.0;24.4;154.7;3.3;3.4
269;Insurance corporations;2016 4th quarter;179.1;0.0;24.6;148.6;3.3;2.5
270;Insurance corporations;2016;179.1;0.0;24.6;148.6;3.3;2.5
271;Insurance corporations;2017 1st quarter;177.6;0.0;25.4;145.5;3.4;3.3
272;Insurance corporations;2017 2nd quarter;176.5;0.0;25.9;142.4;3.4;4.8
273;Insurance corporations;2017 3rd quarter;175.9;0.0;25.3;141.9;3.5;5.1
274;Insurance corporations;2017 4th quarter;172.7;0.0;25.7;140.2;3.3;3.5
275;Insurance corporations;2017;172.7;0.0;25.7;140.2;3.3;3.5
276;Non-MMF investment funds;1980;4.8;0.9;3.0;0.6;0.0;0.2
277;Non-MMF investment funds;1981;5.2;1.0;3.3;0.6;0.0;0.3
278;Non-MMF investment funds;1982;6.2;1.1;3.0;1.3;0.0;0.7
279;Non-MMF investment funds;1983;8.3;1.3;4.5;1.6;0.1;0.8
280;Non-MMF investment funds;1984;9.2;1.6;4.7;1.6;0.2;1.1
281;Non-MMF investment funds;1985;10.3;1.6;5.1;2.1;0.3;1.2
282;Non-MMF investment funds;1986;11.7;2.1;6.3;2.3;0.2;0.8
283;Non-MMF investment funds;1987;12.6;2.7;5.7;2.3;0.1;1.8
284;Non-MMF investment funds;1988;15.9;3.6;7.3;2.4;0.1;2.5
285;Non-MMF investment funds;1989;17.9;5.0;9.0;3.2;0.1;0.6
286;Non-MMF investment funds;1990;15.4;5.2;7.0;3.0;0.0;0.2
287;Non-MMF investment funds;1991;15.9;4.3;8.4;3.1;0.0;0.0
288;Non-MMF investment funds;1992;14.6;3.7;7.9;2.0;0.0;1.0
289;Non-MMF investment funds;1993;23.2;3.7;12.1;5.0;0.0;2.4
290;Non-MMF investment funds;1994;20.7;4.3;11.8;3.8;0.0;0.8
291;Non-MMF investment funds;1995;20.5;4.7;11.7;3.8;0.0;0.3
292;Non-MMF investment funds;1996;25.8;6.3;13.6;5.4;0.1;0.3
293;Non-MMF investment funds;1997;31.3;8.3;18.1;4.2;0.3;0.5
294;Non-MMF investment funds;1998;38.3;9.8;23.2;4.6;0.2;0.5
295;Non-MMF investment funds;1999;60.8;11.9;41.3;5.8;0.2;1.5
296;Non-MMF investment funds;2000;72.1;18.1;44.4;7.5;0.3;1.9
297;Non-MMF investment funds;2001;70.5;20.2;37.8;10.8;0.2;1.5
298;Non-MMF investment funds;2002;52.9;14.0;25.3;12.2;0.2;1.2
299;Non-MMF investment funds;2003;58.4;14.0;28.2;14.4;0.2;1.6
300;Non-MMF investment funds;2004;55.9;11.6;27.8;15.3;0.0;1.2
301;Non-MMF investment funds;2005 1st quarter;58.6;12.2;30.9;14.6;0.0;0.9
302;Non-MMF investment funds;2005 2nd quarter;58.8;12.8;30.5;14.7;0.0;0.8
303;Non-MMF investment funds;2005 3rd quarter;58.4;13.4;31.1;13.3;0.0;0.6
304;Non-MMF investment funds;2005 4th quarter;62.0;14.2;33.6;13.4;0.0;0.8
305;Non-MMF investment funds;2005;62.0;14.2;33.6;13.4;0.0;0.8
306;Non-MMF investment funds;2006 1st quarter;61.7;14.8;33.1;12.5;0.0;1.2
307;Non-MMF investment funds;2006 2nd quarter;63.9;15.4;36.0;11.8;0.0;0.7
308;Non-MMF investment funds;2006 3rd quarter;65.2;16.0;36.2;12.4;0.0;0.5
309;Non-MMF investment funds;2006 4th quarter;67.7;16.7;38.2;12.3;0.0;0.5
310;Non-MMF investment funds;2006;67.7;16.7;38.2;12.3;0.0;0.5
311;Non-MMF investment funds;2007 1st quarter;65.6;16.9;35.1;12.8;0.0;0.8
312;Non-MMF investment funds;2007 2nd quarter;54.0;10.0;30.7;12.7;0.0;0.5
313;Non-MMF investment funds;2007 3rd quarter;53.0;10.4;32.3;10.1;0.0;0.1
314;Non-MMF investment funds;2007 4th quarter;62.5;11.7;39.3;10.9;0.0;0.6
315;Non-MMF investment funds;2007;62.5;11.7;39.3;10.9;0.0;0.6
316;Non-MMF investment funds;2008 1st quarter;56.4;11.8;32.5;11.0;0.0;1.2
317;Non-MMF investment funds;2008 2nd quarter;56.6;11.9;32.1;10.4;0.0;2.1
318;Non-MMF investment funds;2008 3rd quarter;51.7;11.9;26.8;11.0;0.0;1.9
319;Non-MMF investment funds;2008 4th quarter before revision;46.0;12.0;20.8;11.4;0.0;1.8
320;Non-MMF investment funds;2008 4th quarter after revision;119.2;1.0;57.0;56.5;1.3;3.5
321;Non-MMF investment funds;2008 before revision;46.0;12.0;20.8;11.4;0.0;1.8
322;Non-MMF investment funds;2008 after revision;119.2;1.0;57.0;56.5;1.3;3.5
323;Non-MMF investment funds;2009 1st quarter;307.3;0.9;158.0;138.6;2.2;7.6
324;Non-MMF investment funds;2009 2nd quarter;329.7;0.9;178.3;139.7;1.8;9.0
325;Non-MMF investment funds;2009 3rd quarter;329.7;0.9;178.3;139.7;1.8;9.0
326;Non-MMF investment funds;2009 4th quarter;329.7;0.9;178.3;139.7;1.8;9.0
327;Non-MMF investment funds;2009;329.7;0.9;178.3;139.7;1.8;9.0
328;Non-MMF investment funds;2010 1st quarter;364.5;0.9;204.5;146.3;2.6;10.1
329;Non-MMF investment funds;2010 2nd quarter;350.0;1.0;191.2;143.8;3.1;11.0
330;Non-MMF investment funds;2010 3rd quarter;357.5;0.9;197.5;145.7;3.3;10.0
331;Non-MMF investment funds;2010 4th quarter;367.8;0.9;213.7;139.2;4.4;9.6
332;Non-MMF investment funds;2010;367.8;0.9;213.7;139.2;4.4;9.6
333;Non-MMF investment funds;2011 1st quarter;372.4;0.9;215.4;142.7;4.8;8.6
334;Non-MMF investment funds;2011 2nd quarter;377.9;0.9;217.9;146.3;4.9;7.9
335;Non-MMF investment funds;2011 3rd quarter;372.1;0.9;208.8;148.3;5.6;8.6
336;Non-MMF investment funds;2011 4th quarter;387.9;0.9;225.4;148.8;5.6;7.2
337;Non-MMF investment funds;2011;387.9;0.9;225.4;148.8;5.6;7.2
