ID;Sales;Products;Periods;IndexNumbers_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;IndexNumbers_4;MonthOnMonthDevelopment_5;YearOnYearDevelopment_6
729;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 February;115.3;5.5;12.1;115.3;5.5;12.1
730;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 March;115.1;-0.1;11.9;115.1;-0.1;11.9
731;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 April;117.6;2.1;13.3;117.6;2.1;13.3
732;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 May;110.7;-5.8;1.2;110.7;-5.8;1.2
733;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 June;110.6;-0.1;1.0;110.6;-0.1;1.0
734;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 July;110.5;-0.1;1.0;110.5;-0.1;1.0
735;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 August;109.8;-0.6;3.6;109.8;-0.6;3.6
736;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 September;109.8;0.0;3.3;109.8;0.0;3.3
737;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 October;109.9;0.1;3.2;109.9;0.1;3.2
738;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 November;120.6;9.8;11.6;120.6;9.8;11.6
739;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 December;120.6;0.0;11.6;120.6;0.0;11.6
740;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002;113.3;;6.6;113.3;;6.6
741;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 January;122.7;1.7;12.3;122.7;1.7;12.3
742;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 February;113.7;-7.3;-1.4;113.7;-7.3;-1.4
743;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 March;113.7;0.0;-1.2;113.7;0.0;-1.2
744;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 April;114.2;0.4;-2.9;114.2;0.4;-2.9
745;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 May;110.3;-3.4;-0.4;110.3;-3.4;-0.4
746;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 June;110.9;0.5;0.2;110.9;0.5;0.2
747;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 July;111.2;0.3;0.6;111.2;0.3;0.6
748;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 August;108.4;-2.5;-1.3;108.4;-2.5;-1.3
749;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 September;108.4;0.0;-1.2;108.4;0.0;-1.2
750;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 October;107.9;-0.5;-1.8;107.9;-0.5;-1.8
751;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 November;106.7;-1.0;-11.5;106.7;-1.0;-11.5
752;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 December;106.7;-0.1;-11.5;106.7;-0.1;-11.5
753;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003;111.2;;-1.8;111.2;;-1.8
754;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 January;107.6;0.8;-12.3;107.6;0.8;-12.3
755;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 February;107.5;0.0;-5.4;107.5;0.0;-5.4
756;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 March;107.7;0.2;-5.3;107.7;0.2;-5.3
757;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 April;107.1;-0.6;-6.2;107.1;-0.6;-6.2
758;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 May;107.0;-0.1;-3.0;107.0;-0.1;-3.0
759;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 June;107.0;0.0;-3.5;107.0;0.0;-3.5
760;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 July;107.0;0.0;-3.7;107.0;0.0;-3.7
761;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 August;107.4;0.4;-0.9;107.4;0.4;-0.9
762;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 September;107.1;-0.3;-1.2;107.1;-0.3;-1.2
763;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 October;106.7;-0.4;-1.1;106.7;-0.4;-1.1
764;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 November;107.6;0.9;0.8;107.6;0.9;0.8
765;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 December;107.0;-0.6;0.3;107.0;-0.6;0.3
766;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004;107.2;;-3.6;107.2;;-3.6
767;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 January;108.6;1.5;1.0;108.6;1.5;1.0
768;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 February;108.8;0.2;1.2;108.8;0.2;1.2
769;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 March;109.1;0.3;1.3;109.1;0.3;1.3
770;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 April;108.8;-0.3;1.6;108.8;-0.3;1.6
771;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 May;107.4;-1.3;0.4;107.4;-1.3;0.4
772;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 June;107.7;0.3;0.6;107.7;0.3;0.6
773;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 July;108.1;0.3;1.0;108.1;0.3;1.0
774;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 August;108.4;0.2;0.9;108.4;0.2;0.9
775;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 September;108.4;0.0;1.2;108.4;0.0;1.2
776;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 October;109.3;0.8;2.4;109.3;0.8;2.4
777;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 November;110.2;0.8;2.4;110.2;0.8;2.4
778;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 December;110.0;-0.1;2.9;110.0;-0.1;2.9
779;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005;108.7;;1.4;108.7;;1.4
780;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 January;108.7;-1.3;0.1;108.7;-1.3;0.1
781;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 February;108.5;-0.2;-0.3;108.5;-0.2;-0.3
782;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 March;108.5;0.0;-0.5;108.5;0.0;-0.5
783;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 April;109.4;0.8;0.5;109.4;0.8;0.5
784;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 May;108.2;-1.1;0.7;108.2;-1.1;0.7
785;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 June;109.1;0.9;1.3;109.1;0.9;1.3
786;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 July;108.3;-0.8;0.1;108.3;-0.8;0.1
787;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 August;109.0;0.7;0.6;109.0;0.7;0.6
788;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 September;109.6;0.6;1.2;109.6;0.6;1.2
789;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 October;109.9;0.3;0.6;109.9;0.3;0.6
790;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 November;109.1;-0.8;-1.0;109.1;-0.8;-1.0
791;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 December;110.4;1.2;0.3;110.4;1.2;0.3
792;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006;109.0;;0.3;109.0;;0.3
793;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 January;112.2;1.7;3.3;112.2;1.7;3.3
794;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 February;113.1;0.7;4.2;113.1;0.7;4.2
795;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 March;112.5;-0.5;3.7;112.5;-0.5;3.7
796;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 April;112.6;0.0;2.9;112.6;0.0;2.9
797;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 May;111.6;-0.8;3.2;111.6;-0.8;3.2
798;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 June;111.0;-0.5;1.8;111.0;-0.5;1.8
799;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 July;113.4;2.1;4.7;113.4;2.1;4.7
800;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 August;112.5;-0.8;3.3;112.5;-0.8;3.3
801;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 September;113.2;0.6;3.2;113.2;0.6;3.2
802;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 October;113.1;-0.1;2.9;113.1;-0.1;2.9
803;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 November;115.4;2.0;5.8;115.4;2.0;5.8
804;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 December;114.5;-0.7;3.8;114.5;-0.7;3.8
805;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007;112.9;;3.6;112.9;;3.6
806;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 January;119.6;4.4;6.5;119.6;4.4;6.5
807;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 February;120.4;0.7;6.5;120.4;0.7;6.5
808;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 March;123.9;2.8;10.1;123.9;2.8;10.1
809;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 April;122.4;-1.2;8.8;122.4;-1.2;8.8
810;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 May;122.6;0.1;9.9;122.6;0.1;9.9
811;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 June;121.8;-0.6;9.7;121.8;-0.6;9.7
812;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 July;122.4;0.5;8.0;122.4;0.5;8.0
813;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 August;122.7;0.3;9.1;122.7;0.3;9.1
814;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 September;124.2;1.2;9.7;124.2;1.2;9.7
815;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 October;126.8;2.1;12.1;126.8;2.1;12.1
816;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 November;127.9;0.9;10.9;127.9;0.9;10.9
817;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 December;127.6;-0.2;11.4;127.6;-0.2;11.4
818;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008;123.5;;9.4;123.5;;9.4
819;Total sales;13000000 METAL ORES;2000 January;;;;;;
820;Total sales;13000000 METAL ORES;2000 February;;;;;;
821;Total sales;13000000 METAL ORES;2000 March;;;;;;
822;Total sales;13000000 METAL ORES;2000 April;;;;;;
823;Total sales;13000000 METAL ORES;2000 May;;;;;;
824;Total sales;13000000 METAL ORES;2000 June;;;;;;
825;Total sales;13000000 METAL ORES;2000 July;;;;;;
826;Total sales;13000000 METAL ORES;2000 August;;;;;;
827;Total sales;13000000 METAL ORES;2000 September;;;;;;
828;Total sales;13000000 METAL ORES;2000 October;;;;;;
829;Total sales;13000000 METAL ORES;2000 November;;;;;;
830;Total sales;13000000 METAL ORES;2000 December;;;;;;
831;Total sales;13000000 METAL ORES;2000;;;;;;
832;Total sales;13000000 METAL ORES;2001 January;;;;;;
833;Total sales;13000000 METAL ORES;2001 February;;;;;;
834;Total sales;13000000 METAL ORES;2001 March;;;;;;
835;Total sales;13000000 METAL ORES;2001 April;;;;;;
836;Total sales;13000000 METAL ORES;2001 May;;;;;;
837;Total sales;13000000 METAL ORES;2001 June;;;;;;
838;Total sales;13000000 METAL ORES;2001 July;;;;;;
839;Total sales;13000000 METAL ORES;2001 August;;;;;;
840;Total sales;13000000 METAL ORES;2001 September;;;;;;
841;Total sales;13000000 METAL ORES;2001 October;;;;;;
842;Total sales;13000000 METAL ORES;2001 November;;;;;;
843;Total sales;13000000 METAL ORES;2001 December;;;;;;
844;Total sales;13000000 METAL ORES;2001;;;;;;
845;Total sales;13000000 METAL ORES;2002 January;;;;;;
846;Total sales;13000000 METAL ORES;2002 February;;;;;;
847;Total sales;13000000 METAL ORES;2002 March;;;;;;
848;Total sales;13000000 METAL ORES;2002 April;;;;;;
849;Total sales;13000000 METAL ORES;2002 May;;;;;;
850;Total sales;13000000 METAL ORES;2002 June;;;;;;
851;Total sales;13000000 METAL ORES;2002 July;;;;;;
852;Total sales;13000000 METAL ORES;2002 August;;;;;;
853;Total sales;13000000 METAL ORES;2002 September;;;;;;
854;Total sales;13000000 METAL ORES;2002 October;;;;;;
855;Total sales;13000000 METAL ORES;2002 November;;;;;;
856;Total sales;13000000 METAL ORES;2002 December;;;;;;
857;Total sales;13000000 METAL ORES;2002;;;;;;
858;Total sales;13000000 METAL ORES;2003 January;;;;;;
859;Total sales;13000000 METAL ORES;2003 February;;;;;;
860;Total sales;13000000 METAL ORES;2003 March;;;;;;
861;Total sales;13000000 METAL ORES;2003 April;;;;;;
862;Total sales;13000000 METAL ORES;2003 May;;;;;;
863;Total sales;13000000 METAL ORES;2003 June;;;;;;
864;Total sales;13000000 METAL ORES;2003 July;;;;;;
865;Total sales;13000000 METAL ORES;2003 August;;;;;;
866;Total sales;13000000 METAL ORES;2003 September;;;;;;
867;Total sales;13000000 METAL ORES;2003 October;;;;;;
868;Total sales;13000000 METAL ORES;2003 November;;;;;;
869;Total sales;13000000 METAL ORES;2003 December;;;;;;
870;Total sales;13000000 METAL ORES;2003;;;;;;
871;Total sales;13000000 METAL ORES;2004 January;;;;;;
872;Total sales;13000000 METAL ORES;2004 February;;;;;;
873;Total sales;13000000 METAL ORES;2004 March;;;;;;
874;Total sales;13000000 METAL ORES;2004 April;;;;;;
875;Total sales;13000000 METAL ORES;2004 May;;;;;;
876;Total sales;13000000 METAL ORES;2004 June;;;;;;
877;Total sales;13000000 METAL ORES;2004 July;;;;;;
878;Total sales;13000000 METAL ORES;2004 August;;;;;;
879;Total sales;13000000 METAL ORES;2004 September;;;;;;
880;Total sales;13000000 METAL ORES;2004 October;;;;;;
881;Total sales;13000000 METAL ORES;2004 November;;;;;;
882;Total sales;13000000 METAL ORES;2004 December;;;;;;
883;Total sales;13000000 METAL ORES;2004;;;;;;
884;Total sales;13000000 METAL ORES;2005 January;;;;;;
885;Total sales;13000000 METAL ORES;2005 February;;;;;;
886;Total sales;13000000 METAL ORES;2005 March;;;;;;
887;Total sales;13000000 METAL ORES;2005 April;;;;;;
888;Total sales;13000000 METAL ORES;2005 May;;;;;;
889;Total sales;13000000 METAL ORES;2005 June;;;;;;
890;Total sales;13000000 METAL ORES;2005 July;;;;;;
891;Total sales;13000000 METAL ORES;2005 August;;;;;;
892;Total sales;13000000 METAL ORES;2005 September;;;;;;
893;Total sales;13000000 METAL ORES;2005 October;;;;;;
894;Total sales;13000000 METAL ORES;2005 November;;;;;;
895;Total sales;13000000 METAL ORES;2005 December;;;;;;
896;Total sales;13000000 METAL ORES;2005;;;;;;
897;Total sales;13000000 METAL ORES;2006 January;;;;;;
898;Total sales;13000000 METAL ORES;2006 February;;;;;;
899;Total sales;13000000 METAL ORES;2006 March;;;;;;
900;Total sales;13000000 METAL ORES;2006 April;;;;;;
901;Total sales;13000000 METAL ORES;2006 May;;;;;;
902;Total sales;13000000 METAL ORES;2006 June;;;;;;
903;Total sales;13000000 METAL ORES;2006 July;;;;;;
904;Total sales;13000000 METAL ORES;2006 August;;;;;;
905;Total sales;13000000 METAL ORES;2006 September;;;;;;
906;Total sales;13000000 METAL ORES;2006 October;;;;;;
907;Total sales;13000000 METAL ORES;2006 November;;;;;;
908;Total sales;13000000 METAL ORES;2006 December;;;;;;
909;Total sales;13000000 METAL ORES;2006;;;;;;
910;Total sales;13000000 METAL ORES;2007 January;;;;;;
911;Total sales;13000000 METAL ORES;2007 February;;;;;;
912;Total sales;13000000 METAL ORES;2007 March;;;;;;
913;Total sales;13000000 METAL ORES;2007 April;;;;;;
914;Total sales;13000000 METAL ORES;2007 May;;;;;;
915;Total sales;13000000 METAL ORES;2007 June;;;;;;
916;Total sales;13000000 METAL ORES;2007 July;;;;;;
917;Total sales;13000000 METAL ORES;2007 August;;;;;;
918;Total sales;13000000 METAL ORES;2007 September;;;;;;
919;Total sales;13000000 METAL ORES;2007 October;;;;;;
920;Total sales;13000000 METAL ORES;2007 November;;;;;;
921;Total sales;13000000 METAL ORES;2007 December;;;;;;
922;Total sales;13000000 METAL ORES;2007;;;;;;
923;Total sales;13000000 METAL ORES;2008 January;;;;;;
924;Total sales;13000000 METAL ORES;2008 February;;;;;;
925;Total sales;13000000 METAL ORES;2008 March;;;;;;
926;Total sales;13000000 METAL ORES;2008 April;;;;;;
927;Total sales;13000000 METAL ORES;2008 May;;;;;;
928;Total sales;13000000 METAL ORES;2008 June;;;;;;
929;Total sales;13000000 METAL ORES;2008 July;;;;;;
930;Total sales;13000000 METAL ORES;2008 August;;;;;;
931;Total sales;13000000 METAL ORES;2008 September;;;;;;
932;Total sales;13000000 METAL ORES;2008 October;;;;;;
933;Total sales;13000000 METAL ORES;2008 November;;;;;;
934;Total sales;13000000 METAL ORES;2008 December;;;;;;
935;Total sales;13000000 METAL ORES;2008;;;;;;
936;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 January;;;;;;
937;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 February;;;;;;
938;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 March;;;;;;
939;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 April;;;;;;
940;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 May;;;;;;
941;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 June;;;;;;
942;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 July;;;;;;
943;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 August;;;;;;
944;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 September;;;;;;
945;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 October;;;;;;
946;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 November;;;;;;
947;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000 December;;;;;;
948;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2000;;;;;;
949;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 January;;;;;;
950;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 February;;;;;;
951;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 March;;;;;;
952;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 April;;;;;;
953;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 May;;;;;;
954;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 June;;;;;;
955;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 July;;;;;;
956;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 August;;;;;;
957;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 September;;;;;;
958;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 October;;;;;;
959;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 November;;;;;;
960;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001 December;;;;;;
961;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2001;;;;;;
962;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 January;;;;;;
963;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 February;;;;;;
964;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 March;;;;;;
965;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 April;;;;;;
966;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 May;;;;;;
967;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 June;;;;;;
968;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 July;;;;;;
969;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 August;;;;;;
970;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 September;;;;;;
971;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 October;;;;;;
972;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 November;;;;;;
973;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002 December;;;;;;
974;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2002;;;;;;
975;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 January;;;;;;
976;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 February;;;;;;
977;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 March;;;;;;
978;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 April;;;;;;
979;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 May;;;;;;
980;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 June;;;;;;
981;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 July;;;;;;
982;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 August;;;;;;
983;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 September;;;;;;
984;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 October;;;;;;
985;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 November;;;;;;
986;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003 December;;;;;;
987;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2003;;;;;;
988;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 January;;;;;;
989;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 February;;;;;;
990;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 March;;;;;;
991;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 April;;;;;;
992;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 May;;;;;;
993;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 June;;;;;;
994;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 July;;;;;;
995;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 August;;;;;;
996;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 September;;;;;;
997;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 October;;;;;;
998;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 November;;;;;;
999;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004 December;;;;;;
1000;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2004;;;;;;
1001;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 January;;;;;;
1002;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 February;;;;;;
1003;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 March;;;;;;
1004;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 April;;;;;;
1005;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 May;;;;;;
1006;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 June;;;;;;
1007;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 July;;;;;;
1008;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 August;;;;;;
1009;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 September;;;;;;
1010;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 October;;;;;;
1011;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 November;;;;;;
1012;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005 December;;;;;;
1013;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2005;;;;;;
1014;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 January;;;;;;
1015;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 February;;;;;;
1016;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 March;;;;;;
1017;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 April;;;;;;
1018;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 May;;;;;;
1019;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 June;;;;;;
1020;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 July;;;;;;
1021;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 August;;;;;;
1022;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 September;;;;;;
1023;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 October;;;;;;
1024;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 November;;;;;;
1025;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006 December;;;;;;
1026;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2006;;;;;;
1027;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 January;;;;;;
1028;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 February;;;;;;
1029;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 March;;;;;;
1030;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 April;;;;;;
1031;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 May;;;;;;
1032;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 June;;;;;;
1033;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 July;;;;;;
1034;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 August;;;;;;
1035;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 September;;;;;;
1036;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 October;;;;;;
1037;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 November;;;;;;
1038;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007 December;;;;;;
1039;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2007;;;;;;
1040;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 January;;;;;;
1041;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 February;;;;;;
1042;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 March;;;;;;
1043;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 April;;;;;;
1044;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 May;;;;;;
1045;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 June;;;;;;
1046;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 July;;;;;;
1047;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 August;;;;;;
1048;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 September;;;;;;
1049;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 October;;;;;;
1050;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 November;;;;;;
1051;Total sales;13200000 Non-ferrous metal ores, exc. Ur;2008 December;;;;;;
