ID;Uitkeringen;Perioden;SocialeUitkeringen_1
79;Alg. Arbeidsongeschiktheidswet (AAW);2020;0
80;Alg. Arbeidsongeschiktheidswet (AAW);2021;0
81;Algemene Nabestaandenwet (Anw);1995;2090
82;Algemene Nabestaandenwet (Anw);1996;2109
83;Algemene Nabestaandenwet (Anw);1997;2005
84;Algemene Nabestaandenwet (Anw);1998;1552
85;Algemene Nabestaandenwet (Anw);1999;1539
86;Algemene Nabestaandenwet (Anw);2000;1498
87;Algemene Nabestaandenwet (Anw);2001;1515
88;Algemene Nabestaandenwet (Anw);2002;1528
89;Algemene Nabestaandenwet (Anw);2003;1506
90;Algemene Nabestaandenwet (Anw);2004;1442
91;Algemene Nabestaandenwet (Anw);2005;1367
92;Algemene Nabestaandenwet (Anw);2006;1321
93;Algemene Nabestaandenwet (Anw);2007;1265
94;Algemene Nabestaandenwet (Anw);2008;1203
95;Algemene Nabestaandenwet (Anw);2009;1148
96;Algemene Nabestaandenwet (Anw);2010;1065
97;Algemene Nabestaandenwet (Anw);2011;968
98;Algemene Nabestaandenwet (Anw);2012;844
99;Algemene Nabestaandenwet (Anw);2013;711
100;Algemene Nabestaandenwet (Anw);2014;584
101;Algemene Nabestaandenwet (Anw);2015;439
102;Algemene Nabestaandenwet (Anw);2016;416
103;Algemene Nabestaandenwet (Anw);2017;392
104;Algemene Nabestaandenwet (Anw);2018;378
105;Algemene Nabestaandenwet (Anw);2019;356
106;Algemene Nabestaandenwet (Anw);2020;339
107;Algemene Nabestaandenwet (Anw);2021;317
108;Algemene Ouderdomswet (AOW);1995;15180
109;Algemene Ouderdomswet (AOW);1996;15853
110;Algemene Ouderdomswet (AOW);1997;16609
111;Algemene Ouderdomswet (AOW);1998;17578
112;Algemene Ouderdomswet (AOW);1999;18400
113;Algemene Ouderdomswet (AOW);2000;19098
114;Algemene Ouderdomswet (AOW);2001;20284
115;Algemene Ouderdomswet (AOW);2002;21383
116;Algemene Ouderdomswet (AOW);2003;22429
117;Algemene Ouderdomswet (AOW);2004;22890
118;Algemene Ouderdomswet (AOW);2005;23369
119;Algemene Ouderdomswet (AOW);2006;24169
120;Algemene Ouderdomswet (AOW);2007;25198
121;Algemene Ouderdomswet (AOW);2008;26446
122;Algemene Ouderdomswet (AOW);2009;27580
123;Algemene Ouderdomswet (AOW);2010;28618
124;Algemene Ouderdomswet (AOW);2011;29996
125;Algemene Ouderdomswet (AOW);2012;31415
126;Algemene Ouderdomswet (AOW);2013;32719
127;Algemene Ouderdomswet (AOW);2014;34120
128;Algemene Ouderdomswet (AOW);2015;35814
129;Algemene Ouderdomswet (AOW);2016;36941
130;Algemene Ouderdomswet (AOW);2017;37412
131;Algemene Ouderdomswet (AOW);2018;38125
132;Algemene Ouderdomswet (AOW);2019;39484
133;Algemene Ouderdomswet (AOW);2020;41235
134;Algemene Ouderdomswet (AOW);2021;42956
135;Algemene Wet Bijzondere Ziektekn (AWBZ);1995;11221
136;Algemene Wet Bijzondere Ziektekn (AWBZ);1996;8306
137;Algemene Wet Bijzondere Ziektekn (AWBZ);1997;10415
138;Algemene Wet Bijzondere Ziektekn (AWBZ);1998;11112
139;Algemene Wet Bijzondere Ziektekn (AWBZ);1999;11718
140;Algemene Wet Bijzondere Ziektekn (AWBZ);2000;12924
141;Algemene Wet Bijzondere Ziektekn (AWBZ);2001;14319
142;Algemene Wet Bijzondere Ziektekn (AWBZ);2002;16505
143;Algemene Wet Bijzondere Ziektekn (AWBZ);2003;18020
144;Algemene Wet Bijzondere Ziektekn (AWBZ);2004;18959
145;Algemene Wet Bijzondere Ziektekn (AWBZ);2005;19680
146;Algemene Wet Bijzondere Ziektekn (AWBZ);2006;20877
147;Algemene Wet Bijzondere Ziektekn (AWBZ);2007;20954
148;Algemene Wet Bijzondere Ziektekn (AWBZ);2008;19997
149;Algemene Wet Bijzondere Ziektekn (AWBZ);2009;21443
150;Algemene Wet Bijzondere Ziektekn (AWBZ);2010;22337
151;Algemene Wet Bijzondere Ziektekn (AWBZ);2011;23125
152;Algemene Wet Bijzondere Ziektekn (AWBZ);2012;25771
153;Algemene Wet Bijzondere Ziektekn (AWBZ);2013;25127
154;Algemene Wet Bijzondere Ziektekn (AWBZ);2014;25373
155;Algemene Wet Bijzondere Ziektekn (AWBZ);2015;272
156;Algemene Wet Bijzondere Ziektekn (AWBZ);2016;114
157;Algemene Wet Bijzondere Ziektekn (AWBZ);2017;0
158;Algemene Wet Bijzondere Ziektekn (AWBZ);2018;0
159;Algemene Wet Bijzondere Ziektekn (AWBZ);2019;0
160;Algemene Wet Bijzondere Ziektekn (AWBZ);2020;-118
161;Algemene Wet Bijzondere Ziektekn (AWBZ);2021;0
162;Werk en Inkomen Arbeidsvermogen (WIA);1995;0
163;Werk en Inkomen Arbeidsvermogen (WIA);1996;0
164;Werk en Inkomen Arbeidsvermogen (WIA);1997;0
165;Werk en Inkomen Arbeidsvermogen (WIA);1998;0
166;Werk en Inkomen Arbeidsvermogen (WIA);1999;0
167;Werk en Inkomen Arbeidsvermogen (WIA);2000;0
168;Werk en Inkomen Arbeidsvermogen (WIA);2001;0
169;Werk en Inkomen Arbeidsvermogen (WIA);2002;0
170;Werk en Inkomen Arbeidsvermogen (WIA);2003;0
171;Werk en Inkomen Arbeidsvermogen (WIA);2004;0
172;Werk en Inkomen Arbeidsvermogen (WIA);2005;0
173;Werk en Inkomen Arbeidsvermogen (WIA);2006;131
174;Werk en Inkomen Arbeidsvermogen (WIA);2007;420
175;Werk en Inkomen Arbeidsvermogen (WIA);2008;725
176;Werk en Inkomen Arbeidsvermogen (WIA);2009;1012
177;Werk en Inkomen Arbeidsvermogen (WIA);2010;1362
178;Werk en Inkomen Arbeidsvermogen (WIA);2011;1753
179;Werk en Inkomen Arbeidsvermogen (WIA);2012;2142
180;Werk en Inkomen Arbeidsvermogen (WIA);2013;2598
181;Werk en Inkomen Arbeidsvermogen (WIA);2014;3012
182;Werk en Inkomen Arbeidsvermogen (WIA);2015;3464
183;Werk en Inkomen Arbeidsvermogen (WIA);2016;4016
184;Werk en Inkomen Arbeidsvermogen (WIA);2017;4512
185;Werk en Inkomen Arbeidsvermogen (WIA);2018;5094
186;Werk en Inkomen Arbeidsvermogen (WIA);2019;5672
187;Werk en Inkomen Arbeidsvermogen (WIA);2020;6273
188;Werk en Inkomen Arbeidsvermogen (WIA);2021;6756
189;Werkloosheidswet (WW);1995;4174
190;Werkloosheidswet (WW);1996;5370
191;Werkloosheidswet (WW);1997;4731
192;Werkloosheidswet (WW);1998;3901
193;Werkloosheidswet (WW);1999;3464
194;Werkloosheidswet (WW);2000;3180
195;Werkloosheidswet (WW);2001;3467
196;Werkloosheidswet (WW);2002;2299
197;Werkloosheidswet (WW);2003;3315
198;Werkloosheidswet (WW);2004;4029
199;Werkloosheidswet (WW);2005;4168
200;Werkloosheidswet (WW);2006;3621
201;Werkloosheidswet (WW);2007;2846
202;Werkloosheidswet (WW);2008;2394
203;Werkloosheidswet (WW);2009;3403
204;Werkloosheidswet (WW);2010;4344
205;Werkloosheidswet (WW);2011;4296
206;Werkloosheidswet (WW);2012;5100
207;Werkloosheidswet (WW);2013;6486
208;Werkloosheidswet (WW);2014;6924
209;Werkloosheidswet (WW);2015;6447
210;Werkloosheidswet (WW);2016;5718
211;Werkloosheidswet (WW);2017;5145
212;Werkloosheidswet (WW);2018;4282
213;Werkloosheidswet (WW);2019;3760
214;Werkloosheidswet (WW);2020;4245
215;Werkloosheidswet (WW);2021;3662
216;Wet Arbeid en Zorg (WAZO);1995;0
217;Wet Arbeid en Zorg (WAZO);1996;0
218;Wet Arbeid en Zorg (WAZO);1997;0
219;Wet Arbeid en Zorg (WAZO);1998;0
220;Wet Arbeid en Zorg (WAZO);1999;0
221;Wet Arbeid en Zorg (WAZO);2000;0
222;Wet Arbeid en Zorg (WAZO);2001;0
223;Wet Arbeid en Zorg (WAZO);2002;683
224;Wet Arbeid en Zorg (WAZO);2003;867
225;Wet Arbeid en Zorg (WAZO);2004;849
226;Wet Arbeid en Zorg (WAZO);2005;758
227;Wet Arbeid en Zorg (WAZO);2006;827
228;Wet Arbeid en Zorg (WAZO);2007;840
229;Wet Arbeid en Zorg (WAZO);2008;985
230;Wet Arbeid en Zorg (WAZO);2009;1067
231;Wet Arbeid en Zorg (WAZO);2010;1110
232;Wet Arbeid en Zorg (WAZO);2011;1111
233;Wet Arbeid en Zorg (WAZO);2012;1126
234;Wet Arbeid en Zorg (WAZO);2013;1090
235;Wet Arbeid en Zorg (WAZO);2014;1105
236;Wet Arbeid en Zorg (WAZO);2015;1086
237;Wet Arbeid en Zorg (WAZO);2016;1129
238;Wet Arbeid en Zorg (WAZO);2017;1135
239;Wet Arbeid en Zorg (WAZO);2018;1283
240;Wet Arbeid en Zorg (WAZO);2019;1239
241;Wet Arbeid en Zorg (WAZO);2020;1359
242;Wet Arbeid en Zorg (WAZO);2021;1677
243;Wet Arbeidsongeschiktheid Zelfst. (WAZ);1995;0
244;Wet Arbeidsongeschiktheid Zelfst. (WAZ);1996;0
245;Wet Arbeidsongeschiktheid Zelfst. (WAZ);1997;0
246;Wet Arbeidsongeschiktheid Zelfst. (WAZ);1998;436
247;Wet Arbeidsongeschiktheid Zelfst. (WAZ);1999;486
248;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2000;469
249;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2001;504
250;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2002;502
251;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2003;524
252;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2004;507
253;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2005;474
254;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2006;441
255;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2007;387
256;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2008;370
257;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2009;332
258;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2010;296
259;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2011;271
260;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2012;245
261;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2013;209
262;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2014;188
263;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2015;168
264;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2016;150
265;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2017;136
266;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2018;122
267;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2019;110
268;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2020;100
269;Wet Arbeidsongeschiktheid Zelfst. (WAZ);2021;88
270;Wet langdurige zorg (Wlz);1995;0
271;Wet langdurige zorg (Wlz);1996;0
272;Wet langdurige zorg (Wlz);1997;0
273;Wet langdurige zorg (Wlz);1998;0
274;Wet langdurige zorg (Wlz);1999;0
275;Wet langdurige zorg (Wlz);2000;0
276;Wet langdurige zorg (Wlz);2001;0
277;Wet langdurige zorg (Wlz);2002;0
278;Wet langdurige zorg (Wlz);2003;0
279;Wet langdurige zorg (Wlz);2004;0
280;Wet langdurige zorg (Wlz);2005;0
281;Wet langdurige zorg (Wlz);2006;0
282;Wet langdurige zorg (Wlz);2007;0
283;Wet langdurige zorg (Wlz);2008;0
284;Wet langdurige zorg (Wlz);2009;0
285;Wet langdurige zorg (Wlz);2010;0
286;Wet langdurige zorg (Wlz);2011;0
287;Wet langdurige zorg (Wlz);2012;0
288;Wet langdurige zorg (Wlz);2013;0
289;Wet langdurige zorg (Wlz);2014;0
290;Wet langdurige zorg (Wlz);2015;17367
291;Wet langdurige zorg (Wlz);2016;17865
292;Wet langdurige zorg (Wlz);2017;18168
293;Wet langdurige zorg (Wlz);2018;19605
294;Wet langdurige zorg (Wlz);2019;21718
295;Wet langdurige zorg (Wlz);2020;22739
296;Wet langdurige zorg (Wlz);2021;25623
297;Wet op de Arbeidsongeschiktheid (WAO);1995;3290
298;Wet op de Arbeidsongeschiktheid (WAO);1996;3288
299;Wet op de Arbeidsongeschiktheid (WAO);1997;3147
300;Wet op de Arbeidsongeschiktheid (WAO);1998;8119
301;Wet op de Arbeidsongeschiktheid (WAO);1999;8383
302;Wet op de Arbeidsongeschiktheid (WAO);2000;8684
303;Wet op de Arbeidsongeschiktheid (WAO);2001;9121
304;Wet op de Arbeidsongeschiktheid (WAO);2002;9399
305;Wet op de Arbeidsongeschiktheid (WAO);2003;9623
306;Wet op de Arbeidsongeschiktheid (WAO);2004;9331
307;Wet op de Arbeidsongeschiktheid (WAO);2005;8709
308;Wet op de Arbeidsongeschiktheid (WAO);2006;7970
309;Wet op de Arbeidsongeschiktheid (WAO);2007;7944
310;Wet op de Arbeidsongeschiktheid (WAO);2008;7991
311;Wet op de Arbeidsongeschiktheid (WAO);2009;7569
312;Wet op de Arbeidsongeschiktheid (WAO);2010;7188
313;Wet op de Arbeidsongeschiktheid (WAO);2011;6670
314;Wet op de Arbeidsongeschiktheid (WAO);2012;6136
315;Wet op de Arbeidsongeschiktheid (WAO);2013;5697
316;Wet op de Arbeidsongeschiktheid (WAO);2014;5291
317;Wet op de Arbeidsongeschiktheid (WAO);2015;4892
318;Wet op de Arbeidsongeschiktheid (WAO);2016;4537
319;Wet op de Arbeidsongeschiktheid (WAO);2017;4299
320;Wet op de Arbeidsongeschiktheid (WAO);2018;4074
321;Wet op de Arbeidsongeschiktheid (WAO);2019;3885
322;Wet op de Arbeidsongeschiktheid (WAO);2020;3628
323;Wet op de Arbeidsongeschiktheid (WAO);2021;3321
324;Ziekenfondswet-verplicht (ZFW-vp);1995;7071
325;Ziekenfondswet-verplicht (ZFW-vp);1996;9540
326;Ziekenfondswet-verplicht (ZFW-vp);1997;10322
327;Ziekenfondswet-verplicht (ZFW-vp);1998;10758
328;Ziekenfondswet-verplicht (ZFW-vp);1999;11346
329;Ziekenfondswet-verplicht (ZFW-vp);2000;12318
330;Ziekenfondswet-verplicht (ZFW-vp);2001;13512
331;Ziekenfondswet-verplicht (ZFW-vp);2002;15049
332;Ziekenfondswet-verplicht (ZFW-vp);2003;16162
333;Ziekenfondswet-verplicht (ZFW-vp);2004;16412
334;Ziekenfondswet-verplicht (ZFW-vp);2005;16743
335;Ziekenfondswet-verplicht (ZFW-vp);2006;0
336;Ziekenfondswet-verplicht (ZFW-vp);2007;0
337;Ziekenfondswet-verplicht (ZFW-vp);2008;0
338;Ziekenfondswet-verplicht (ZFW-vp);2009;0
339;Ziekenfondswet-verplicht (ZFW-vp);2010;0
340;Ziekenfondswet-verplicht (ZFW-vp);2011;0
341;Ziekenfondswet-verplicht (ZFW-vp);2012;0
342;Ziekenfondswet-verplicht (ZFW-vp);2013;0
343;Ziekenfondswet-verplicht (ZFW-vp);2014;0
344;Ziekenfondswet-verplicht (ZFW-vp);2015;0
345;Ziekenfondswet-verplicht (ZFW-vp);2016;0
346;Ziekenfondswet-verplicht (ZFW-vp);2017;0
347;Ziekenfondswet-verplicht (ZFW-vp);2018;0
348;Ziekenfondswet-verplicht (ZFW-vp);2019;0
349;Ziekenfondswet-verplicht (ZFW-vp);2020;0
350;Ziekenfondswet-verplicht (ZFW-vp);2021;0
351;Ziektewet (ZW);1995;1874
352;Ziektewet (ZW);1996;324
353;Ziektewet (ZW);1997;0
354;Ziektewet (ZW);1998;0
355;Ziektewet (ZW);1999;0
356;Ziektewet (ZW);2000;0
357;Ziektewet (ZW);2001;0
358;Ziektewet (ZW);2002;0
359;Ziektewet (ZW);2003;0
360;Ziektewet (ZW);2004;0
361;Ziektewet (ZW);2005;0
362;Ziektewet (ZW);2006;0
363;Ziektewet (ZW);2007;0
364;Ziektewet (ZW);2008;0
365;Ziektewet (ZW);2009;0
366;Ziektewet (ZW);2010;0
367;Ziektewet (ZW);2011;0
368;Ziektewet (ZW);2012;0
369;Ziektewet (ZW);2013;0
370;Ziektewet (ZW);2014;0
371;Ziektewet (ZW);2015;0
372;Ziektewet (ZW);2016;0
373;Ziektewet (ZW);2017;0
374;Ziektewet (ZW);2018;0
375;Ziektewet (ZW);2019;0
376;Ziektewet (ZW);2020;0
377;Ziektewet (ZW);2021;0
378;Ziektewet vangnet (ZW-vangnet);1995;0
379;Ziektewet vangnet (ZW-vangnet);1996;0
380;Ziektewet vangnet (ZW-vangnet);1997;0
381;Ziektewet vangnet (ZW-vangnet);1998;0
382;Ziektewet vangnet (ZW-vangnet);1999;0
383;Ziektewet vangnet (ZW-vangnet);2000;0
384;Ziektewet vangnet (ZW-vangnet);2001;0
385;Ziektewet vangnet (ZW-vangnet);2002;859
386;Ziektewet vangnet (ZW-vangnet);2003;926
387;Ziektewet vangnet (ZW-vangnet);2004;808
388;Ziektewet vangnet (ZW-vangnet);2005;902
389;Ziektewet vangnet (ZW-vangnet);2006;1202
390;Ziektewet vangnet (ZW-vangnet);2007;1177
391;Ziektewet vangnet (ZW-vangnet);2008;1063
392;Ziektewet vangnet (ZW-vangnet);2009;1267
393;Ziektewet vangnet (ZW-vangnet);2010;1498
394;Ziektewet vangnet (ZW-vangnet);2011;1556
395;Ziektewet vangnet (ZW-vangnet);2012;1635
396;Ziektewet vangnet (ZW-vangnet);2013;1581
397;Ziektewet vangnet (ZW-vangnet);2014;1545
398;Ziektewet vangnet (ZW-vangnet);2015;1494
399;Ziektewet vangnet (ZW-vangnet);2016;1525
400;Ziektewet vangnet (ZW-vangnet);2017;1582
401;Ziektewet vangnet (ZW-vangnet);2018;1643
402;Ziektewet vangnet (ZW-vangnet);2019;1746
403;Ziektewet vangnet (ZW-vangnet);2020;1966
404;Ziektewet vangnet (ZW-vangnet);2021;1978
405;Zorgverzekeringswet (Zvw);1995;0
406;Zorgverzekeringswet (Zvw);1996;0
407;Zorgverzekeringswet (Zvw);1997;0
408;Zorgverzekeringswet (Zvw);1998;0
409;Zorgverzekeringswet (Zvw);1999;0
410;Zorgverzekeringswet (Zvw);2000;0
411;Zorgverzekeringswet (Zvw);2001;0
412;Zorgverzekeringswet (Zvw);2002;0
413;Zorgverzekeringswet (Zvw);2003;0
414;Zorgverzekeringswet (Zvw);2004;0
415;Zorgverzekeringswet (Zvw);2005;0
416;Zorgverzekeringswet (Zvw);2006;25514
417;Zorgverzekeringswet (Zvw);2007;26098
418;Zorgverzekeringswet (Zvw);2008;29916
419;Zorgverzekeringswet (Zvw);2009;32609
420;Zorgverzekeringswet (Zvw);2010;33804
421;Zorgverzekeringswet (Zvw);2011;34211
422;Zorgverzekeringswet (Zvw);2012;34061
423;Zorgverzekeringswet (Zvw);2013;35343
424;Zorgverzekeringswet (Zvw);2014;35355
425;Zorgverzekeringswet (Zvw);2015;38588
426;Zorgverzekeringswet (Zvw);2016;39413
427;Zorgverzekeringswet (Zvw);2017;40677
428;Zorgverzekeringswet (Zvw);2018;42313
429;Zorgverzekeringswet (Zvw);2019;43980
430;Zorgverzekeringswet (Zvw);2020;43048
431;Zorgverzekeringswet (Zvw);2021;46679
432;Totaal sociale voorzieningen;1995;15619
433;Totaal sociale voorzieningen;1996;15460
434;Totaal sociale voorzieningen;1997;14077
435;Totaal sociale voorzieningen;1998;15386
436;Totaal sociale voorzieningen;1999;15392
437;Totaal sociale voorzieningen;2000;15923
438;Totaal sociale voorzieningen;2001;16533
439;Totaal sociale voorzieningen;2002;17136
440;Totaal sociale voorzieningen;2003;17865
441;Totaal sociale voorzieningen;2004;18128
442;Totaal sociale voorzieningen;2005;19165
443;Totaal sociale voorzieningen;2006;22556
444;Totaal sociale voorzieningen;2007;25666
445;Totaal sociale voorzieningen;2008;28475
446;Totaal sociale voorzieningen;2009;30835
447;Totaal sociale voorzieningen;2010;32372
448;Totaal sociale voorzieningen;2011;33656
449;Totaal sociale voorzieningen;2012;33437
450;Totaal sociale voorzieningen;2013;33999
451;Totaal sociale voorzieningen;2014;33608
452;Totaal sociale voorzieningen;2015;37838
453;Totaal sociale voorzieningen;2016;39157
454;Totaal sociale voorzieningen;2017;40026
455;Totaal sociale voorzieningen;2018;41419
456;Totaal sociale voorzieningen;2019;43422
457;Totaal sociale voorzieningen;2020;45165
458;Totaal sociale voorzieningen;2021;48289
459;Aanv. Inkomensvoorziening Ouderen (AIO);1995;0
460;Aanv. Inkomensvoorziening Ouderen (AIO);1996;0
461;Aanv. Inkomensvoorziening Ouderen (AIO);1997;0
462;Aanv. Inkomensvoorziening Ouderen (AIO);1998;0
463;Aanv. Inkomensvoorziening Ouderen (AIO);1999;0
464;Aanv. Inkomensvoorziening Ouderen (AIO);2000;0
465;Aanv. Inkomensvoorziening Ouderen (AIO);2001;0
466;Aanv. Inkomensvoorziening Ouderen (AIO);2002;0
467;Aanv. Inkomensvoorziening Ouderen (AIO);2003;0
468;Aanv. Inkomensvoorziening Ouderen (AIO);2004;0
469;Aanv. Inkomensvoorziening Ouderen (AIO);2005;0
470;Aanv. Inkomensvoorziening Ouderen (AIO);2006;0
471;Aanv. Inkomensvoorziening Ouderen (AIO);2007;0
472;Aanv. Inkomensvoorziening Ouderen (AIO);2008;0
473;Aanv. Inkomensvoorziening Ouderen (AIO);2009;0
474;Aanv. Inkomensvoorziening Ouderen (AIO);2010;202
475;Aanv. Inkomensvoorziening Ouderen (AIO);2011;212
476;Aanv. Inkomensvoorziening Ouderen (AIO);2012;200
477;Aanv. Inkomensvoorziening Ouderen (AIO);2013;195
478;Aanv. Inkomensvoorziening Ouderen (AIO);2014;216
479;Aanv. Inkomensvoorziening Ouderen (AIO);2015;234
480;Aanv. Inkomensvoorziening Ouderen (AIO);2016;239
481;Aanv. Inkomensvoorziening Ouderen (AIO);2017;268
482;Aanv. Inkomensvoorziening Ouderen (AIO);2018;296
483;Aanv. Inkomensvoorziening Ouderen (AIO);2019;308
484;Aanv. Inkomensvoorziening Ouderen (AIO);2020;330
485;Aanv. Inkomensvoorziening Ouderen (AIO);2021;350
486;Algemene Kinderbijslagwet (AKW);1995;2955
487;Algemene Kinderbijslagwet (AKW);1996;2898
488;Algemene Kinderbijslagwet (AKW);1997;2832
489;Algemene Kinderbijslagwet (AKW);1998;2868
490;Algemene Kinderbijslagwet (AKW);1999;2828
491;Algemene Kinderbijslagwet (AKW);2000;2911
492;Algemene Kinderbijslagwet (AKW);2001;3001
493;Algemene Kinderbijslagwet (AKW);2002;3118
494;Algemene Kinderbijslagwet (AKW);2003;3199
495;Algemene Kinderbijslagwet (AKW);2004;3232
496;Algemene Kinderbijslagwet (AKW);2005;3191
497;Algemene Kinderbijslagwet (AKW);2006;3263
498;Algemene Kinderbijslagwet (AKW);2007;3348
499;Algemene Kinderbijslagwet (AKW);2008;3390
500;Algemene Kinderbijslagwet (AKW);2009;3401
501;Algemene Kinderbijslagwet (AKW);2010;3371
502;Algemene Kinderbijslagwet (AKW);2011;3346
503;Algemene Kinderbijslagwet (AKW);2012;3236
504;Algemene Kinderbijslagwet (AKW);2013;3229
505;Algemene Kinderbijslagwet (AKW);2014;3203
506;Algemene Kinderbijslagwet (AKW);2015;3216
507;Algemene Kinderbijslagwet (AKW);2016;3310
508;Algemene Kinderbijslagwet (AKW);2017;3330
509;Algemene Kinderbijslagwet (AKW);2018;3349
510;Algemene Kinderbijslagwet (AKW);2019;3628
511;Algemene Kinderbijslagwet (AKW);2020;3657
512;Algemene Kinderbijslagwet (AKW);2021;3680
513;Bijdrage onderwijs in ac. ziekenhuizen;1995;282
