ID;TypeZelfstandigOndernemer;Marges;Perioden;RegelmatigVeelKrachtZetten_1;RegelmatigHardPraten_2;RegelmatigTeMakenMetTrillingen_3;GevaarlijkWerkTot2019_4;GevaarlijkWerkVanaf2019_5;Vallen_6;Struikelen_7;Bekneld_8;Snijden_9;Botsen_10;GevaarlijkeStoffen_11;Geweld_12;Verbranden_13;Verstikking_14;Anders_15;WaterigeOplossingen_16;StoffenOpHuid_17;AdemtStoffenIn_18;BesmettePersonen_19;WerktMetOfDichtbijOngezondeStoffen_20;Besmettingskans_21;BesmettingskansViaPatienten_22;BesmettingskansViaAndereMensen_23;BesmettingskansViaDieren_24;BesmettingskansViaWater_25;BesmettingskansViaOnderzoeksmateriaal_26;BesmettingskansViaAnderMateriaal_27;InOngemakkelijkeWerkhoudingWerken_28;TijdensWerkRepeterendeBewegingMaken_29;UurPerDagAanBeeldschermVoorWerk_30
20;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2015;19.3;5.2;13.1;1.9;;;;;;;;;;;;14.3;8.0;8.0;3.1;;;;;;;;;10.0;29.2;3.1
21;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2017;20.5;5.5;12.3;2.1;;;;;;;;;;;;15.1;8.3;8.2;2.6;;;;;;;;;11.6;31.6;3.3
22;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2019;19.8;5.8;12.1;;11.4;2.0;4.0;1.1;3.7;2.6;0.7;0.4;1.0;0.1;1.7;15.1;9.0;8.7;3.8;;;;;;;;;11.3;28.4;3.3
23;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2021;20.3;6.0;12.1;;11.7;2.5;4.3;1.0;4.6;2.3;0.8;0.3;0.8;0.1;1.7;14.9;8.2;7.0;5.6;;;;;;;;;12.0;30.0;3.7
24;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2023;20.1;5.9;11.6;;11.8;2.6;4.1;0.9;4.1;2.0;0.7;0.6;0.7;0.1;1.3;;;;;4.7;42.4;9.8;30.1;3.9;0.6;0.1;1.7;11.8;26.3;3.5
25;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2015;22.2;6.9;15.7;3.0;;;;;;;;;;;;16.9;10.0;10.1;4.3;;;;;;;;;12.3;32.4;3.3
26;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2017;23.3;7.2;14.6;3.2;;;;;;;;;;;;17.5;10.2;10.1;3.7;;;;;;;;;13.8;34.6;3.5
27;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2019;22.5;7.5;14.4;;13.6;3.0;5.4;1.9;5.1;3.7;1.4;0.9;1.8;0.5;2.8;17.6;11.1;10.8;5.1;;;;;;;;;13.5;31.4;3.5
28;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2021;22.6;7.4;14.0;;13.6;3.4;5.5;1.6;5.9;3.2;1.4;0.7;1.4;0.4;2.4;16.9;9.8;8.5;6.8;;;;;;;;;13.9;32.5;3.8
29;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2023;22.6;7.4;13.7;;14.0;3.7;5.4;1.6;5.5;2.9;1.3;1.1;1.3;0.4;2.1;;;;;6.2;45.3;11.6;32.9;5.1;1.2;0.4;2.6;13.9;29.0;3.7
30;Zelfstandig ondernemer z.p.-eigen arbeid;Waarde;2015;17.6;6.2;13.1;2.3;;;;;;;;;;;;13.5;9.4;9.6;3.7;;;;;;;;;11.1;30.6;3.6
31;Zelfstandig ondernemer z.p.-eigen arbeid;Waarde;2017;18.4;6.3;12.0;2.8;;;;;;;;;;;;14.6;9.3;9.1;2.8;;;;;;;;;12.2;32.2;3.7
32;Zelfstandig ondernemer z.p.-eigen arbeid;Waarde;2019;18.4;6.6;12.1;;11.8;2.7;4.4;1.3;3.9;3.1;0.9;0.7;1.1;0.3;2.0;13.9;10.0;9.5;4.2;;;;;;;;;12.5;29.1;3.6
33;Zelfstandig ondernemer z.p.-eigen arbeid;Waarde;2021;18.7;6.9;12.2;;12.9;3.4;4.8;1.0;5.2;2.9;1.0;0.5;1.0;0.2;2.1;14.4;9.4;8.0;6.6;;;;;;;;;13.0;30.5;4.0
34;Zelfstandig ondernemer z.p.-eigen arbeid;Waarde;2023;18.8;6.5;11.4;;12.8;3.4;4.6;1.3;4.7;2.7;0.9;0.9;0.9;0.2;1.6;;;;;5.5;46.4;13.0;34.9;2.1;1.0;0.2;1.8;12.8;27.4;3.8
35;Zelfstandig ondernemer z.p.-eigen arbeid;Ondergrens 95%-interval;2015;16.1;5.2;11.7;1.7;;;;;;;;;;;;12.2;8.2;8.5;3.1;;;;;;;;;9.9;28.7;3.5
36;Zelfstandig ondernemer z.p.-eigen arbeid;Ondergrens 95%-interval;2017;17.0;5.4;10.8;2.2;;;;;;;;;;;;13.3;8.3;8.1;2.3;;;;;;;;;11.0;30.5;3.6
37;Zelfstandig ondernemer z.p.-eigen arbeid;Ondergrens 95%-interval;2019;17.0;5.7;10.9;;10.6;2.1;3.7;0.9;3.2;2.5;0.6;0.4;0.8;0.1;1.5;12.7;8.9;8.4;3.5;;;;;;;;;11.3;27.5;3.5
38;Zelfstandig ondernemer z.p.-eigen arbeid;Ondergrens 95%-interval;2021;17.5;6.1;11.2;;11.9;2.8;4.2;0.7;4.5;2.4;0.7;0.4;0.7;0.1;1.7;13.4;8.5;7.2;5.9;;;;;;;;;12.0;29.1;3.9
39;Zelfstandig ondernemer z.p.-eigen arbeid;Ondergrens 95%-interval;2023;17.4;5.7;10.3;;11.6;2.8;3.9;0.9;3.9;2.2;0.6;0.6;0.6;0.1;1.2;;;;;4.8;44.8;12.0;33.3;1.7;0.7;0.1;1.4;11.7;25.9;3.7
40;Zelfstandig ondernemer z.p.-eigen arbeid;Bovengrens 95%-interval;2015;19.3;7.3;14.6;3.0;;;;;;;;;;;;15.0;10.6;10.9;4.5;;;;;;;;;12.5;32.5;3.7
41;Zelfstandig ondernemer z.p.-eigen arbeid;Bovengrens 95%-interval;2017;20.0;7.3;13.3;3.5;;;;;;;;;;;;15.9;10.5;10.3;3.4;;;;;;;;;13.5;33.9;3.8
42;Zelfstandig ondernemer z.p.-eigen arbeid;Bovengrens 95%-interval;2019;19.9;7.7;13.5;;13.1;3.4;5.3;1.8;4.8;3.8;1.3;1.1;1.6;0.5;2.7;15.3;11.2;10.7;5.0;;;;;;;;;13.8;30.8;3.7
43;Zelfstandig ondernemer z.p.-eigen arbeid;Bovengrens 95%-interval;2021;20.0;7.8;13.3;;14.1;4.0;5.6;1.4;6.0;3.4;1.4;0.8;1.3;0.4;2.6;15.5;10.4;8.9;7.3;;;;;;;;;14.1;31.9;4.1
44;Zelfstandig ondernemer z.p.-eigen arbeid;Bovengrens 95%-interval;2023;20.2;7.4;12.6;;14.0;4.1;5.5;1.8;5.5;3.3;1.4;1.3;1.3;0.4;2.1;;;;;6.4;48.1;14.1;36.4;2.6;1.4;0.4;2.4;14.1;28.9;3.9
45;Zelfstandig ondernemer z.p.-producten;Waarde;2015;29.1;5.4;17.9;2.7;;;;;;;;;;;;21.2;7.8;7.3;3.4;;;;;;;;;11.1;31.2;2.3
46;Zelfstandig ondernemer z.p.-producten;Waarde;2017;32.1;6.3;17.6;2.0;;;;;;;;;;;;21.5;9.0;9.0;4.1;;;;;;;;;13.9;35.7;2.6
47;Zelfstandig ondernemer z.p.-producten;Waarde;2019;30.4;6.5;16.9;;14.7;1.5;5.4;1.8;5.6;3.1;1.4;0.4;2.0;0.2;2.7;24.9;10.1;10.4;5.1;;;;;;;;;11.9;32.7;2.7
48;Zelfstandig ondernemer z.p.-producten;Waarde;2021;30.5;5.9;15.6;;11.6;1.4;5.0;2.1;5.1;2.0;1.2;0.3;1.4;0.3;1.8;20.8;7.6;6.7;4.9;;;;;;;;;12.6;33.8;2.9
49;Zelfstandig ondernemer z.p.-producten;Waarde;2023;30.2;6.9;16.9;;13.2;2.0;5.0;1.1;5.2;1.4;1.0;0.4;1.3;0.1;2.0;;;;;5.0;34.5;2.3;19.5;12.8;0.5;0.3;3.0;12.7;28.5;2.8
50;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2015;26.0;4.0;15.4;1.7;;;;;;;;;;;;18.5;6.1;5.7;2.3;;;;;;;;;9.1;28.1;2.2
51;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2017;29.1;4.9;15.3;1.3;;;;;;;;;;;;19.0;7.2;7.3;3.0;;;;;;;;;11.8;32.6;2.5
52;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2019;27.3;5.0;14.4;;12.3;0.8;4.0;1.0;4.1;2.0;0.7;0.1;1.1;0.0;1.7;21.9;8.1;8.4;3.8;;;;;;;;;9.8;29.5;2.5
53;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2021;27.9;4.7;13.7;;9.9;0.9;3.9;1.5;4.0;1.4;0.7;0.1;0.9;0.1;1.2;18.6;6.2;5.4;3.9;;;;;;;;;10.8;31.2;2.7
54;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2023;27.4;5.5;14.7;;11.2;1.2;3.7;0.6;3.9;0.8;0.5;0.2;0.8;0.0;1.3;;;;;3.6;31.5;1.6;17.1;11.0;0.2;0.1;2.1;10.8;25.8;2.7
55;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2015;32.3;7.3;20.7;4.1;;;;;;;;;;;;24.2;9.9;9.3;4.9;;;;;;;;;13.4;34.5;2.5
56;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2017;35.2;8.1;20.2;3.1;;;;;;;;;;;;24.3;11.1;11.1;5.6;;;;;;;;;16.4;38.8;2.8
57;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2019;33.7;8.4;19.6;;17.4;2.7;7.2;3.0;7.5;4.8;2.6;1.0;3.5;0.9;4.2;28.1;12.5;12.8;6.8;;;;;;;;;14.3;36.0;2.8
58;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2021;33.1;7.5;17.8;;13.5;2.3;6.4;3.1;6.6;3.0;2.0;0.8;2.2;0.9;2.7;23.1;9.2;8.3;6.3;;;;;;;;;14.6;36.5;3.0
59;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2023;33.2;8.7;19.4;;15.5;3.1;6.6;2.0;6.8;2.2;2.0;1.1;2.2;0.5;3.1;;;;;6.7;37.5;3.5;22.2;15.0;1.0;1.0;4.3;14.9;31.4;3.0
60;Zelfstandig ondernemer met personeel;Waarde;2015;22.4;5.7;11.0;2.0;;;;;;;;;;;;24.0;8.7;5.6;7.0;;;;;;;;;10.8;32.1;3.3
61;Zelfstandig ondernemer met personeel;Waarde;2017;25.2;4.9;11.7;2.9;;;;;;;;;;;;25.8;9.4;7.0;4.7;;;;;;;;;10.3;35.0;3.2
62;Zelfstandig ondernemer met personeel;Waarde;2019;25.9;5.2;13.2;;14.4;1.7;4.9;0.7;6.4;2.8;0.9;0.6;1.9;0.1;2.3;22.7;7.9;7.0;4.6;;;;;;;;;11.4;33.6;3.3
63;Zelfstandig ondernemer met personeel;Waarde;2021;23.3;4.2;11.7;;16.3;1.7;5.2;1.7;8.8;3.3;1.1;1.0;3.7;0.2;2.6;25.1;10.5;7.8;9.3;;;;;;;;;12.0;32.9;3.4
64;Zelfstandig ondernemer met personeel;Waarde;2023;27.5;6.0;10.9;;14.5;2.2;3.7;1.8;7.1;2.3;0.8;0.8;2.6;0.0;2.6;;;;;5.0;46.1;11.6;32.7;5.4;0.6;0.7;1.8;11.6;30.9;3.6
65;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2015;19.7;4.4;9.1;1.2;;;;;;;;;;;;21.3;7.0;4.2;5.6;;;;;;;;;8.9;29.1;3.1
66;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2017;22.6;3.7;9.8;2.0;;;;;;;;;;;;23.2;7.7;5.5;3.7;;;;;;;;;8.6;32.2;3.1
67;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2019;23.2;4.0;11.2;;12.3;1.0;3.6;0.4;5.0;1.9;0.5;0.3;1.3;0.0;1.5;20.1;6.4;5.6;3.6;;;;;;;;;9.6;30.7;3.2
68;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2021;21.1;3.2;10.0;;14.3;1.1;4.1;1.1;7.2;2.3;0.7;0.6;2.7;0.1;1.9;22.7;8.8;6.3;7.9;;;;;;;;;10.3;30.4;3.3
69;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2023;24.7;4.5;9.0;;12.4;1.3;2.6;1.0;5.6;1.5;0.4;0.4;1.8;0.0;1.7;;;;;3.8;43.0;9.9;29.8;4.2;0.2;0.4;1.1;9.7;28.0;3.5
70;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2015;25.3;7.5;13.3;3.2;;;;;;;;;;;;26.9;10.8;7.3;8.8;;;;;;;;;12.9;35.2;3.5
71;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2017;28.0;6.4;13.8;4.1;;;;;;;;;;;;28.5;11.4;8.7;5.9;;;;;;;;;12.3;37.9;3.4
72;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2019;28.8;6.8;15.6;;16.8;2.8;6.5;1.5;8.2;4.0;1.6;1.4;3.0;0.5;3.4;25.6;9.8;8.8;6.0;;;;;;;;;13.6;36.6;3.5
73;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2021;25.8;5.5;13.6;;18.5;2.7;6.7;2.7;10.6;4.6;2.0;1.8;5.0;0.7;3.6;27.6;12.4;9.5;11.0;;;;;;;;;14.0;35.6;3.6
74;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2023;30.5;7.9;13.2;;17.0;3.5;5.1;3.1;8.9;3.7;1.7;1.8;3.9;;3.9;;;;;6.7;49.4;13.6;35.8;7.1;1.6;1.3;2.9;13.8;33.9;3.8
