ID;VormenVanJeugdzorg;Wijken;Perioden;TotaalJongerenMetJeugdzorgInNatura_1;k_0Tot4Jaar_2;k_4Tot12Jaar_3;k_12Tot18Jaar_4;k_18Tot23Jaar_5;ThuiswonendKindInEenouderhuishouden_6;ThuiswonendKindBijEenPaar_7;AnderHuishouden_8;TotaalTrajectenInNatura_9;GemeentelijkeToegang_10;Huisarts_11;Jeugdarts_12;GecertificeerdeInstelling_13;MedischSpecialist_14;RechterOfficierVanJustitie_15;GeenVerwijzer_16;VerwijzerOnbekend_17;Gemeentenaam_18;SoortRegio_19;Codering_20;IndelingswijzigingWijken_21
27;Totaal alle jeugdzorg in natura;Wijk 07 Spijkerboor;1e halfjaar 2021;;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168007  ;1.0
28;Totaal alle jeugdzorg in natura;Wijk 07 Spijkerboor;2e halfjaar 2021;;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168007  ;1.0
29;Totaal alle jeugdzorg in natura;Wijk 07 Spijkerboor;2021;;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168007  ;1.0
30;Totaal alle jeugdzorg in natura;Wijk 08 Nieuw-Annerveen;1e halfjaar 2021;10.0;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168008  ;1.0
31;Totaal alle jeugdzorg in natura;Wijk 08 Nieuw-Annerveen;2e halfjaar 2021;;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168008  ;1.0
32;Totaal alle jeugdzorg in natura;Wijk 08 Nieuw-Annerveen;2021;10.0;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168008  ;1.0
33;Totaal alle jeugdzorg in natura;Wijk 09 Oud-Annerveen;1e halfjaar 2021;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168009  ;1.0
34;Totaal alle jeugdzorg in natura;Wijk 09 Oud-Annerveen;2e halfjaar 2021;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168009  ;1.0
35;Totaal alle jeugdzorg in natura;Wijk 09 Oud-Annerveen;2021;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168009  ;1.0
36;Totaal alle jeugdzorg in natura;Wijk 11 Annerveenschekanaal;1e halfjaar 2021;;;;;;;;;15.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168011  ;1.0
37;Totaal alle jeugdzorg in natura;Wijk 11 Annerveenschekanaal;2e halfjaar 2021;;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168011  ;1.0
38;Totaal alle jeugdzorg in natura;Wijk 11 Annerveenschekanaal;2021;;;;;;;;;15.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168011  ;1.0
39;Totaal alle jeugdzorg in natura;Wijk 12 Eexterveenschekanaal;1e halfjaar 2021;10.0;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168012  ;1.0
40;Totaal alle jeugdzorg in natura;Wijk 12 Eexterveenschekanaal;2e halfjaar 2021;10.0;;;;;;;;15.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168012  ;1.0
41;Totaal alle jeugdzorg in natura;Wijk 12 Eexterveenschekanaal;2021;10.0;;;;;;;;15.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168012  ;1.0
42;Totaal alle jeugdzorg in natura;Wijk 13 Eexterzandvoort;1e halfjaar 2021;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168013  ;1.0
43;Totaal alle jeugdzorg in natura;Wijk 13 Eexterzandvoort;2e halfjaar 2021;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168013  ;1.0
44;Totaal alle jeugdzorg in natura;Wijk 13 Eexterzandvoort;2021;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168013  ;1.0
45;Totaal alle jeugdzorg in natura;Wijk 14 Gasselte;1e halfjaar 2021;30.0;;20.0;10.0;;10.0;20.0;;40.0;10.0;20.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168014  ;1.0
46;Totaal alle jeugdzorg in natura;Wijk 14 Gasselte;2e halfjaar 2021;30.0;;15.0;10.0;;10.0;15.0;;40.0;10.0;20.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168014  ;1.0
47;Totaal alle jeugdzorg in natura;Wijk 14 Gasselte;2021;30.0;;20.0;10.0;;10.0;20.0;;45.0;10.0;20.0;;10.0;;;;;Aa en Hunze                             ;Wijk     ;WK168014  ;1.0
48;Totaal alle jeugdzorg in natura;Wijk 15 Gasselternijveen;1e halfjaar 2021;40.0;;20.0;15.0;;10.0;25.0;;55.0;25.0;20.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168015  ;1.0
49;Totaal alle jeugdzorg in natura;Wijk 15 Gasselternijveen;2e halfjaar 2021;45.0;;20.0;15.0;;15.0;25.0;;60.0;25.0;20.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168015  ;1.0
50;Totaal alle jeugdzorg in natura;Wijk 15 Gasselternijveen;2021;50.0;;20.0;15.0;;15.0;30.0;;70.0;30.0;25.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168015  ;1.0
51;Totaal alle jeugdzorg in natura;Wijk 16 Gasselternijveenschemond;1e halfjaar 2021;20.0;;10.0;;;;15.0;;30.0;10.0;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168016  ;1.0
52;Totaal alle jeugdzorg in natura;Wijk 16 Gasselternijveenschemond;2e halfjaar 2021;20.0;;10.0;;;;15.0;;30.0;10.0;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168016  ;1.0
53;Totaal alle jeugdzorg in natura;Wijk 16 Gasselternijveenschemond;2021;25.0;;15.0;;;;15.0;;30.0;10.0;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168016  ;1.0
54;Totaal alle jeugdzorg in natura;Wijk 17 Gieten;1e halfjaar 2021;95.0;;45.0;40.0;;30.0;60.0;;125.0;35.0;55.0;;15.0;;;;;Aa en Hunze                             ;Wijk     ;WK168017  ;1.0
55;Totaal alle jeugdzorg in natura;Wijk 17 Gieten;2e halfjaar 2021;95.0;;45.0;40.0;;25.0;65.0;;120.0;35.0;60.0;;10.0;;;;;Aa en Hunze                             ;Wijk     ;WK168017  ;1.0
56;Totaal alle jeugdzorg in natura;Wijk 17 Gieten;2021;110.0;;50.0;50.0;;30.0;75.0;;150.0;40.0;70.0;;15.0;;;10.0;;Aa en Hunze                             ;Wijk     ;WK168017  ;1.0
57;Totaal alle jeugdzorg in natura;Wijk 18 Gieterveen;1e halfjaar 2021;35.0;;15.0;20.0;;;25.0;;45.0;15.0;20.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168018  ;1.0
58;Totaal alle jeugdzorg in natura;Wijk 18 Gieterveen;2e halfjaar 2021;30.0;;15.0;15.0;;;20.0;;40.0;15.0;20.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168018  ;1.0
59;Totaal alle jeugdzorg in natura;Wijk 18 Gieterveen;2021;35.0;;15.0;20.0;;;25.0;;55.0;20.0;25.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168018  ;1.0
60;Totaal alle jeugdzorg in natura;Wijk 19 Rolde;1e halfjaar 2021;70.0;;30.0;25.0;15.0;10.0;50.0;15.0;95.0;25.0;40.0;;10.0;10.0;;;;Aa en Hunze                             ;Wijk     ;WK168019  ;1.0
61;Totaal alle jeugdzorg in natura;Wijk 19 Rolde;2e halfjaar 2021;70.0;;30.0;25.0;10.0;15.0;45.0;10.0;95.0;25.0;40.0;;10.0;;;;;Aa en Hunze                             ;Wijk     ;WK168019  ;1.0
62;Totaal alle jeugdzorg in natura;Wijk 19 Rolde;2021;80.0;;35.0;30.0;15.0;15.0;55.0;10.0;115.0;35.0;45.0;;10.0;10.0;;;;Aa en Hunze                             ;Wijk     ;WK168019  ;1.0
63;Totaal alle jeugdzorg in natura;Wijk 20 Grolloo;1e halfjaar 2021;15.0;;;10.0;;;10.0;;20.0;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168020  ;1.0
64;Totaal alle jeugdzorg in natura;Wijk 20 Grolloo;2e halfjaar 2021;15.0;;;;;;;;20.0;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168020  ;1.0
65;Totaal alle jeugdzorg in natura;Wijk 20 Grolloo;2021;20.0;;;10.0;;;10.0;;25.0;;15.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168020  ;1.0
66;Totaal alle jeugdzorg in natura;Wijk 21 Ekehaar;1e halfjaar 2021;10.0;;;;;;10.0;;15.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168021  ;1.0
67;Totaal alle jeugdzorg in natura;Wijk 21 Ekehaar;2e halfjaar 2021;10.0;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168021  ;1.0
68;Totaal alle jeugdzorg in natura;Wijk 21 Ekehaar;2021;10.0;;;;;;10.0;;15.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168021  ;1.0
69;Totaal alle jeugdzorg in natura;Aalsmeer;1e halfjaar 2021;695.0;25.0;375.0;285.0;15.0;165.0;505.0;25.0;880.0;285.0;395.0;10.0;70.0;40.0;;25.0;;Aalsmeer                                ;Gemeente ;GM0358    ;
70;Totaal alle jeugdzorg in natura;Aalsmeer;2e halfjaar 2021;700.0;25.0;405.0;260.0;10.0;155.0;520.0;25.0;930.0;335.0;400.0;10.0;70.0;40.0;;20.0;;Aalsmeer                                ;Gemeente ;GM0358    ;
71;Totaal alle jeugdzorg in natura;Aalsmeer;2021;860.0;30.0;480.0;335.0;15.0;195.0;640.0;30.0;1170.0;385.0;545.0;15.0;85.0;50.0;;30.0;;Aalsmeer                                ;Gemeente ;GM0358    ;
72;Totaal alle jeugdzorg in natura;Wijk 00 Aalsmeer;1e halfjaar 2021;205.0;;105.0;90.0;;60.0;130.0;10.0;270.0;100.0;110.0;;35.0;10.0;;;;Aalsmeer                                ;Wijk     ;WK035800  ;1.0
73;Totaal alle jeugdzorg in natura;Wijk 00 Aalsmeer;2e halfjaar 2021;215.0;;130.0;80.0;;55.0;150.0;10.0;300.0;120.0;115.0;;35.0;15.0;;;;Aalsmeer                                ;Wijk     ;WK035800  ;1.0
74;Totaal alle jeugdzorg in natura;Wijk 00 Aalsmeer;2021;260.0;;145.0;105.0;;75.0;175.0;10.0;365.0;130.0;160.0;;40.0;15.0;;10.0;;Aalsmeer                                ;Wijk     ;WK035800  ;1.0
75;Totaal alle jeugdzorg in natura;Wijk 01 Kudelstraat en Kalslagen;1e halfjaar 2021;165.0;;90.0;65.0;;35.0;130.0;;200.0;60.0;110.0;;10.0;10.0;;;;Aalsmeer                                ;Wijk     ;WK035801  ;1.0
76;Totaal alle jeugdzorg in natura;Wijk 01 Kudelstraat en Kalslagen;2e halfjaar 2021;160.0;;95.0;60.0;;30.0;130.0;;205.0;70.0;115.0;;;10.0;;;;Aalsmeer                                ;Wijk     ;WK035801  ;1.0
77;Totaal alle jeugdzorg in natura;Wijk 01 Kudelstraat en Kalslagen;2021;205.0;10.0;115.0;80.0;;40.0;160.0;;270.0;80.0;155.0;;10.0;15.0;;;;Aalsmeer                                ;Wijk     ;WK035801  ;1.0
78;Totaal alle jeugdzorg in natura;Wijk 02 Oosteinde;1e halfjaar 2021;250.0;10.0;135.0;100.0;;45.0;200.0;;300.0;80.0;160.0;;20.0;20.0;;;;Aalsmeer                                ;Wijk     ;WK035802  ;1.0
79;Totaal alle jeugdzorg in natura;Wijk 02 Oosteinde;2e halfjaar 2021;260.0;10.0;155.0;95.0;;45.0;205.0;;330.0;115.0;155.0;;25.0;15.0;;;;Aalsmeer                                ;Wijk     ;WK035802  ;1.0
80;Totaal alle jeugdzorg in natura;Wijk 02 Oosteinde;2021;315.0;10.0;175.0;120.0;;55.0;250.0;;410.0;125.0;210.0;;25.0;20.0;;10.0;;Aalsmeer                                ;Wijk     ;WK035802  ;1.0
81;Totaal alle jeugdzorg in natura;Aalten;1e halfjaar 2021;600.0;45.0;275.0;255.0;25.0;155.0;395.0;55.0;945.0;390.0;180.0;20.0;55.0;25.0;;210.0;;Aalten                                  ;Gemeente ;GM0197    ;
82;Totaal alle jeugdzorg in natura;Aalten;2e halfjaar 2021;595.0;50.0;285.0;240.0;20.0;155.0;390.0;50.0;935.0;385.0;195.0;15.0;55.0;25.0;;195.0;;Aalten                                  ;Gemeente ;GM0197    ;
83;Totaal alle jeugdzorg in natura;Aalten;2021;700.0;60.0;325.0;285.0;30.0;180.0;465.0;55.0;1195.0;485.0;235.0;20.0;70.0;30.0;;275.0;;Aalten                                  ;Gemeente ;GM0197    ;
84;Totaal alle jeugdzorg in natura;Wijk 01 Buitengebied Aalten;1e halfjaar 2021;55.0;;20.0;30.0;;;40.0;10.0;90.0;40.0;20.0;;;;;15.0;;Aalten                                  ;Wijk     ;WK019701  ;1.0
85;Totaal alle jeugdzorg in natura;Wijk 01 Buitengebied Aalten;2e halfjaar 2021;60.0;;20.0;30.0;;;45.0;10.0;90.0;35.0;25.0;;;;;15.0;;Aalten                                  ;Wijk     ;WK019701  ;1.0
86;Totaal alle jeugdzorg in natura;Wijk 01 Buitengebied Aalten;2021;70.0;10.0;25.0;35.0;;;55.0;10.0;115.0;45.0;30.0;;;;;25.0;;Aalten                                  ;Wijk     ;WK019701  ;1.0
87;Totaal alle jeugdzorg in natura;Wijk 02 Bredevoort;1e halfjaar 2021;25.0;;10.0;10.0;;;20.0;;40.0;15.0;10.0;;;;;10.0;;Aalten                                  ;Wijk     ;WK019702  ;1.0
88;Totaal alle jeugdzorg in natura;Wijk 02 Bredevoort;2e halfjaar 2021;30.0;;10.0;10.0;;;25.0;;45.0;15.0;10.0;;;;;15.0;;Aalten                                  ;Wijk     ;WK019702  ;1.0
89;Totaal alle jeugdzorg in natura;Wijk 02 Bredevoort;2021;30.0;;15.0;10.0;;;25.0;;50.0;20.0;10.0;;;;;15.0;;Aalten                                  ;Wijk     ;WK019702  ;1.0
90;Totaal alle jeugdzorg in natura;Wijk 03 Aalten Kern;1e halfjaar 2021;265.0;20.0;115.0;120.0;10.0;75.0;170.0;15.0;405.0;155.0;85.0;10.0;20.0;10.0;;115.0;;Aalten                                  ;Wijk     ;WK019703  ;1.0
91;Totaal alle jeugdzorg in natura;Wijk 03 Aalten Kern;2e halfjaar 2021;250.0;20.0;115.0;110.0;;75.0;165.0;15.0;400.0;155.0;90.0;10.0;20.0;10.0;;105.0;;Aalten                                  ;Wijk     ;WK019703  ;1.0
92;Totaal alle jeugdzorg in natura;Wijk 03 Aalten Kern;2021;305.0;30.0;130.0;135.0;10.0;85.0;195.0;20.0;520.0;200.0;115.0;10.0;30.0;10.0;;145.0;;Aalten                                  ;Wijk     ;WK019703  ;1.0
93;Totaal alle jeugdzorg in natura;Wijk 04 Dinxperlo;1e halfjaar 2021;150.0;10.0;70.0;65.0;;40.0;95.0;10.0;255.0;110.0;45.0;;15.0;10.0;;50.0;;Aalten                                  ;Wijk     ;WK019704  ;3.0
94;Totaal alle jeugdzorg in natura;Wijk 04 Dinxperlo;2e halfjaar 2021;150.0;15.0;70.0;60.0;;45.0;95.0;10.0;235.0;95.0;50.0;;15.0;10.0;;50.0;;Aalten                                  ;Wijk     ;WK019704  ;3.0
95;Totaal alle jeugdzorg in natura;Wijk 04 Dinxperlo;2021;175.0;20.0;80.0;70.0;;50.0;110.0;10.0;320.0;130.0;55.0;;20.0;10.0;;75.0;;Aalten                                  ;Wijk     ;WK019704  ;3.0
96;Totaal alle jeugdzorg in natura;Achtkarspelen;1e halfjaar 2021;675.0;40.0;330.0;290.0;15.0;175.0;425.0;80.0;950.0;390.0;265.0;15.0;110.0;25.0;;20.0;;Achtkarspelen                           ;Gemeente ;GM0059    ;
97;Totaal alle jeugdzorg in natura;Achtkarspelen;2e halfjaar 2021;670.0;50.0;335.0;275.0;15.0;175.0;425.0;75.0;925.0;370.0;270.0;15.0;95.0;20.0;;25.0;;Achtkarspelen                           ;Gemeente ;GM0059    ;
98;Totaal alle jeugdzorg in natura;Achtkarspelen;2021;795.0;55.0;390.0;340.0;15.0;200.0;510.0;85.0;1170.0;465.0;350.0;20.0;130.0;35.0;;25.0;;Achtkarspelen                           ;Gemeente ;GM0059    ;
99;Totaal alle jeugdzorg in natura;Wijk 00 Noord;1e halfjaar 2021;260.0;10.0;135.0;110.0;;65.0;170.0;25.0;370.0;130.0;125.0;;40.0;10.0;;;;Achtkarspelen                           ;Wijk     ;WK005900  ;1.0
100;Totaal alle jeugdzorg in natura;Wijk 00 Noord;2e halfjaar 2021;260.0;15.0;135.0;105.0;;65.0;170.0;25.0;340.0;110.0;120.0;;40.0;;;10.0;;Achtkarspelen                           ;Wijk     ;WK005900  ;1.0
101;Totaal alle jeugdzorg in natura;Wijk 00 Noord;2021;315.0;20.0;160.0;135.0;;75.0;215.0;25.0;455.0;155.0;165.0;;55.0;15.0;;10.0;;Achtkarspelen                           ;Wijk     ;WK005900  ;1.0
102;Totaal alle jeugdzorg in natura;Wijk 01 Centrum;1e halfjaar 2021;85.0;;40.0;35.0;;15.0;55.0;15.0;125.0;50.0;35.0;;10.0;;;;;Achtkarspelen                           ;Wijk     ;WK005901  ;1.0
103;Totaal alle jeugdzorg in natura;Wijk 01 Centrum;2e halfjaar 2021;90.0;;45.0;35.0;;15.0;55.0;20.0;135.0;55.0;40.0;;10.0;;;;;Achtkarspelen                           ;Wijk     ;WK005901  ;1.0
104;Totaal alle jeugdzorg in natura;Wijk 01 Centrum;2021;105.0;;50.0;45.0;;15.0;70.0;20.0;165.0;65.0;55.0;;10.0;;;;;Achtkarspelen                           ;Wijk     ;WK005901  ;1.0
105;Totaal alle jeugdzorg in natura;Wijk 02 Zuid;1e halfjaar 2021;240.0;10.0;120.0;105.0;;60.0;155.0;25.0;330.0;140.0;100.0;;30.0;10.0;;;;Achtkarspelen                           ;Wijk     ;WK005902  ;1.0
106;Totaal alle jeugdzorg in natura;Wijk 02 Zuid;2e halfjaar 2021;235.0;15.0;115.0;105.0;;55.0;155.0;25.0;325.0;145.0;100.0;;30.0;;;;;Achtkarspelen                           ;Wijk     ;WK005902  ;1.0
107;Totaal alle jeugdzorg in natura;Wijk 02 Zuid;2021;275.0;15.0;135.0;120.0;;70.0;180.0;25.0;400.0;170.0;125.0;;40.0;10.0;;;;Achtkarspelen                           ;Wijk     ;WK005902  ;1.0
108;Totaal alle jeugdzorg in natura;Alblasserdam;1e halfjaar 2021;580.0;45.0;300.0;215.0;15.0;140.0;400.0;40.0;930.0;165.0;185.0;;75.0;30.0;;405.0;;Alblasserdam                            ;Gemeente ;GM0482    ;
109;Totaal alle jeugdzorg in natura;Alblasserdam;2e halfjaar 2021;565.0;50.0;300.0;200.0;15.0;120.0;405.0;40.0;875.0;155.0;175.0;;65.0;25.0;;395.0;;Alblasserdam                            ;Gemeente ;GM0482    ;
110;Totaal alle jeugdzorg in natura;Alblasserdam;2021;685.0;65.0;355.0;250.0;20.0;155.0;485.0;40.0;1125.0;200.0;230.0;;80.0;35.0;;505.0;;Alblasserdam                            ;Gemeente ;GM0482    ;
111;Totaal alle jeugdzorg in natura;Wijk 01 Centrum;1e halfjaar 2021;115.0;;65.0;45.0;;25.0;85.0;;175.0;25.0;30.0;;10.0;;;85.0;;Alblasserdam                            ;Wijk     ;WK048201  ;1.0
112;Totaal alle jeugdzorg in natura;Wijk 01 Centrum;2e halfjaar 2021;120.0;10.0;65.0;45.0;;20.0;90.0;;180.0;30.0;30.0;;10.0;;;85.0;;Alblasserdam                            ;Wijk     ;WK048201  ;1.0
113;Totaal alle jeugdzorg in natura;Wijk 01 Centrum;2021;145.0;10.0;80.0;50.0;;30.0;110.0;;230.0;35.0;40.0;;10.0;;;115.0;;Alblasserdam                            ;Wijk     ;WK048201  ;1.0
114;Totaal alle jeugdzorg in natura;Wijk 02 Kinderdijk;1e halfjaar 2021;125.0;10.0;70.0;45.0;;35.0;80.0;10.0;220.0;50.0;45.0;;25.0;;;95.0;;Alblasserdam                            ;Wijk     ;WK048202  ;1.0
115;Totaal alle jeugdzorg in natura;Wijk 02 Kinderdijk;2e halfjaar 2021;110.0;;65.0;35.0;;25.0;70.0;10.0;175.0;35.0;35.0;;15.0;;;85.0;;Alblasserdam                            ;Wijk     ;WK048202  ;1.0
116;Totaal alle jeugdzorg in natura;Wijk 02 Kinderdijk;2021;135.0;10.0;75.0;50.0;;40.0;85.0;10.0;240.0;55.0;45.0;;25.0;;;105.0;;Alblasserdam                            ;Wijk     ;WK048202  ;1.0
117;Totaal alle jeugdzorg in natura;Wijk 03 Blokweer;1e halfjaar 2021;185.0;15.0;90.0;75.0;;50.0;125.0;15.0;265.0;35.0;65.0;;15.0;10.0;;120.0;;Alblasserdam                            ;Wijk     ;WK048203  ;1.0
118;Totaal alle jeugdzorg in natura;Wijk 03 Blokweer;2e halfjaar 2021;190.0;25.0;95.0;65.0;;50.0;130.0;10.0;275.0;40.0;70.0;;15.0;10.0;;120.0;;Alblasserdam                            ;Wijk     ;WK048203  ;1.0
