ID;Gender;PersonalCharacteristics;CaribbeanNetherlands;Periods;EmployedLabourForceInternatDef_1;EmployedLabourForceNationalDef_2
123;Male;3;Bonaire;2012;1228.0;1194.0
124;Male;3;St. Eustatius;2012;222.0;215.0
125;Male;3;Saba;2012;135.0;127.0
126;Male;4;Bonaire;2012;805.0;742.0
127;Male;4;St. Eustatius;2012;247.0;232.0
128;Male;4;Saba;2012;101.0;99.0
129;Male;5;Bonaire;2012;534.0;519.0
130;Male;5;St. Eustatius;2012;139.0;131.0
131;Male;5;Saba;2012;42.0;40.0
132;Male;6;Bonaire;2012;404.0;392.0
133;Male;6;St. Eustatius;2012;73.0;73.0
134;Male;6;Saba;2012;34.0;32.0
135;Male;7;Bonaire;2012;191.0;182.0
136;Male;7;St. Eustatius;2012;55.0;55.0
137;Male;7;Saba;2012;18.0;18.0
138;Male;8;Bonaire;2012;162.0;162.0
139;Male;8;St. Eustatius;2012;22.0;22.0
140;Male;8;Saba;2012;;
141;Male;9;Bonaire;2012;53.0;53.0
142;Male;9;St. Eustatius;2012;26.0;26.0
143;Male;9;Saba;2012;;
144;Male;10;Bonaire;2012;34.0;34.0
145;Male;10;St. Eustatius;2012;38.0;38.0
146;Male;10;Saba;2012;;
147;Male;11;Bonaire;2012;210.0;178.0
148;Male;11;St. Eustatius;2012;76.0;76.0
149;Male;11;Saba;2012;21.0;15.0
150;Male;12;Bonaire;2012;18.0;18.0
151;Male;12;St. Eustatius;2012;;
152;Male;12;Saba;2012;;
153;Male;13;Bonaire;2012;335.0;335.0
154;Male;13;St. Eustatius;2012;125.0;107.0
155;Male;13;Saba;2012;96.0;83.0
156;Male;Working hours: 1 to 12 hours a week;Bonaire;2012;53.0;
157;Male;Working hours: 1 to 12 hours a week;St. Eustatius;2012;53.0;
158;Male;Working hours: 1 to 12 hours a week;Saba;2012;26.0;
159;Male;Working hours: 12 to 20 hours a week;Bonaire;2012;92.0;84.0
160;Male;Working hours: 12 to 20 hours a week;St. Eustatius;2012;;
161;Male;Working hours: 12 to 20 hours a week;Saba;2012;19.0;17.0
162;Male;Working hours: 20 to 35 hours a week;Bonaire;2012;416.0;369.0
163;Male;Working hours: 20 to 35 hours a week;St. Eustatius;2012;150.0;150.0
164;Male;Working hours: 20 to 35 hours a week;Saba;2012;89.0;83.0
165;Male;Working hours: 35 hours or more;Bonaire;2012;4281.0;4215.0
166;Male;Working hours: 35 hours or more;St. Eustatius;2012;1040.0;1008.0
167;Male;Working hours: 35 hours or more;Saba;2012;427.0;413.0
168;Male;16;Bonaire;2012;;
169;Male;16;St. Eustatius;2012;;
170;Male;16;Saba;2012;;
171;Male;17;Bonaire;2012;469.0;469.0
172;Male;17;St. Eustatius;2012;170.0;162.0
173;Male;17;Saba;2012;47.0;47.0
174;Male;18;Bonaire;2012;432.0;398.0
175;Male;18;St. Eustatius;2012;79.0;79.0
176;Male;18;Saba;2012;68.0;58.0
177;Male;19;Bonaire;2012;842.0;802.0
178;Male;19;St. Eustatius;2012;179.0;179.0
179;Male;19;Saba;2012;77.0;77.0
180;Male;20;Bonaire;2012;151.0;151.0
181;Male;20;St. Eustatius;2012;39.0;39.0
182;Male;20;Saba;2012;36.0;36.0
183;Male;21;Bonaire;2012;636.0;596.0
184;Male;21;St. Eustatius;2012;85.0;85.0
185;Male;21;Saba;2012;60.0;60.0
186;Male;22;Bonaire;2012;62.0;62.0
187;Male;22;St. Eustatius;2012;28.0;22.0
188;Male;22;Saba;2012;27.0;21.0
189;Male;23;Bonaire;2012;1555.0;1509.0
190;Male;23;St. Eustatius;2012;404.0;362.0
191;Male;23;Saba;2012;144.0;130.0
192;Male;24;Bonaire;2012;274.0;265.0
193;Male;24;St. Eustatius;2012;111.0;111.0
194;Male;24;Saba;2012;37.0;35.0
195;Male;25;Bonaire;2012;400.0;400.0
196;Male;25;St. Eustatius;2012;135.0;107.0
197;Male;25;Saba;2012;52.0;38.0
198;Male;26;Bonaire;2012;21.0;
199;Male;26;St. Eustatius;2012;;
200;Male;26;Saba;2012;;
201;Male;27;Bonaire;2012;4643.0;4477.0
202;Male;27;St. Eustatius;2012;1197.0;1122.0
203;Male;27;Saba;2012;529.0;486.0
204;Male;28;Bonaire;2012;177.0;177.0
205;Male;28;St. Eustatius;2012;43.0;43.0
206;Male;28;Saba;2012;33.0;27.0
207;Male;29;Bonaire;2012;22.0;
208;Male;29;St. Eustatius;2012;;
209;Male;29;Saba;2012;;
210;Female;Total personal characteristics;Bonaire;2012;3995.0;3892.0
211;Female;Total personal characteristics;St. Eustatius;2012;851.0;776.0
212;Female;Total personal characteristics;Saba;2012;483.0;458.0
213;Female;14;Bonaire;2012;2964.0;2914.0
214;Female;14;St. Eustatius;2012;607.0;558.0
215;Female;14;Saba;2012;362.0;358.0
216;Female;15;Bonaire;2012;695.0;695.0
217;Female;15;St. Eustatius;2012;142.0;130.0
218;Female;15;Saba;2012;64.0;55.0
219;Female;Employment status: self-employed;Bonaire;2012;336.0;282.0
220;Female;Employment status: self-employed;St. Eustatius;2012;101.0;88.0
221;Female;Employment status: self-employed;Saba;2012;56.0;45.0
222;Female;1;Bonaire;2012;221.0;201.0
223;Female;1;St. Eustatius;2012;43.0;24.0
224;Female;1;Saba;2012;;
225;Female;2;Bonaire;2012;718.0;718.0
226;Female;2;St. Eustatius;2012;217.0;204.0
227;Female;2;Saba;2012;85.0;80.0
228;Female;3;Bonaire;2012;994.0;987.0
229;Female;3;St. Eustatius;2012;187.0;166.0
230;Female;3;Saba;2012;140.0;133.0
231;Female;4;Bonaire;2012;602.0;602.0
232;Female;4;St. Eustatius;2012;97.0;93.0
233;Female;4;Saba;2012;63.0;63.0
234;Female;5;Bonaire;2012;404.0;395.0
235;Female;5;St. Eustatius;2012;84.0;84.0
236;Female;5;Saba;2012;54.0;52.0
237;Female;6;Bonaire;2012;284.0;284.0
238;Female;6;St. Eustatius;2012;69.0;69.0
239;Female;6;Saba;2012;27.0;25.0
240;Female;7;Bonaire;2012;156.0;156.0
241;Female;7;St. Eustatius;2012;29.0;29.0
242;Female;7;Saba;2012;28.0;28.0
243;Female;8;Bonaire;2012;105.0;105.0
244;Female;8;St. Eustatius;2012;21.0;21.0
245;Female;8;Saba;2012;;
246;Female;9;Bonaire;2012;90.0;81.0
247;Female;9;St. Eustatius;2012;21.0;17.0
248;Female;9;Saba;2012;;
249;Female;10;Bonaire;2012;68.0;68.0
250;Female;10;St. Eustatius;2012;15.0;15.0
251;Female;10;Saba;2012;;
252;Female;11;Bonaire;2012;71.0;71.0
253;Female;11;St. Eustatius;2012;15.0;15.0
254;Female;11;Saba;2012;;
255;Female;12;Bonaire;2012;20.0;
256;Female;12;St. Eustatius;2012;;
257;Female;12;Saba;2012;;
258;Female;13;Bonaire;2012;261.0;213.0
259;Female;13;St. Eustatius;2012;52.0;39.0
260;Female;13;Saba;2012;49.0;44.0
261;Female;Working hours: 1 to 12 hours a week;Bonaire;2012;50.0;
262;Female;Working hours: 1 to 12 hours a week;St. Eustatius;2012;71.0;
263;Female;Working hours: 1 to 12 hours a week;Saba;2012;;
264;Female;Working hours: 12 to 20 hours a week;Bonaire;2012;97.0;97.0
265;Female;Working hours: 12 to 20 hours a week;St. Eustatius;2012;25.0;21.0
266;Female;Working hours: 12 to 20 hours a week;Saba;2012;;
267;Female;Working hours: 20 to 35 hours a week;Bonaire;2012;566.0;550.0
268;Female;Working hours: 20 to 35 hours a week;St. Eustatius;2012;188.0;188.0
269;Female;Working hours: 20 to 35 hours a week;Saba;2012;61.0;61.0
270;Female;Working hours: 35 hours or more;Bonaire;2012;3282.0;3246.0
271;Female;Working hours: 35 hours or more;St. Eustatius;2012;567.0;567.0
272;Female;Working hours: 35 hours or more;Saba;2012;402.0;390.0
273;Female;16;Bonaire;2012;;
274;Female;16;St. Eustatius;2012;;
275;Female;16;Saba;2012;;
276;Female;17;Bonaire;2012;237.0;228.0
277;Female;17;St. Eustatius;2012;65.0;57.0
278;Female;17;Saba;2012;25.0;25.0
279;Female;18;Bonaire;2012;463.0;463.0
280;Female;18;St. Eustatius;2012;133.0;133.0
281;Female;18;Saba;2012;79.0;69.0
282;Female;19;Bonaire;2012;741.0;714.0
283;Female;19;St. Eustatius;2012;124.0;119.0
284;Female;19;Saba;2012;100.0;100.0
285;Female;20;Bonaire;2012;582.0;582.0
286;Female;20;St. Eustatius;2012;105.0;92.0
287;Female;20;Saba;2012;83.0;83.0
288;Female;21;Bonaire;2012;1342.0;1298.0
289;Female;21;St. Eustatius;2012;243.0;230.0
290;Female;21;Saba;2012;103.0;92.0
291;Female;22;Bonaire;2012;;
292;Female;22;St. Eustatius;2012;;
293;Female;22;Saba;2012;;
294;Female;23;Bonaire;2012;19.0;19.0
295;Female;23;St. Eustatius;2012;;
296;Female;23;Saba;2012;21.0;21.0
297;Female;24;Bonaire;2012;34.0;34.0
298;Female;24;St. Eustatius;2012;;
299;Female;24;Saba;2012;;
300;Female;25;Bonaire;2012;518.0;505.0
301;Female;25;St. Eustatius;2012;169.0;132.0
302;Female;25;Saba;2012;58.0;54.0
303;Female;26;Bonaire;2012;59.0;49.0
304;Female;26;St. Eustatius;2012;;
305;Female;26;Saba;2012;;
306;Female;27;Bonaire;2012;3800.0;3709.0
307;Female;27;St. Eustatius;2012;791.0;724.0
308;Female;27;Saba;2012;455.0;430.0
309;Female;28;Bonaire;2012;177.0;165.0
310;Female;28;St. Eustatius;2012;60.0;51.0
311;Female;28;Saba;2012;24.0;24.0
312;Female;29;Bonaire;2012;18.0;18.0
313;Female;29;St. Eustatius;2012;;
314;Female;29;Saba;2012;;
