ID;Geslacht;Leeftijd;Herkomstgroepering;InkomstenbronVoorInstrOfNaUitstr;Perioden;AOUitkering_1;WWUitkering_2;Bijstandsuitkering_3;AOUitkering_4;WWUitkering_5;Bijstandsuitkering_6
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;26 september 2008 tot 25 september 2009;23.0;154.5;27.9;7.5;40.9;24.1
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;25 september 2009 tot 24 september 2010;20.5;141.4;28.6;6.2;89.1;24.0
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;24 september 2010 tot 30 september 2011;22.1;132.0;26.3;6.0;93.3;28.3
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;30 september 2011 tot 28 september 2012;21.8;175.0;23.9;6.1;82.3;25.7
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;28 september 2012 tot 27 september 2013;21.6;241.0;28.1;5.4;88.6;21.4
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;27 september 2013 tot 26 september 2014;19.2;210.7;23.9;5.9;135.1;27.2
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als werknemer;26 september 2014 tot 25 september 2015;18.7;198.2;20.2;5.6;141.2;33.1
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;28 september 2001 tot 27 september 2002;6.7;3.5;4.9;4.9;4.7;4.0
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;27 september 2002 tot 26 september 2003;6.2;5.1;5.4;4.7;5.1;3.7
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;26 september 2003 tot 24 september 2004;5.5;5.2;5.6;4.7;6.9;4.0
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;24 september 2004 tot 30 september 2005;3.8;4.6;5.0;4.9;10.6;4.9
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;30 september 2005 tot 29 september 2006;1.8;4.4;4.0;5.8;12.9;4.6
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;29 september 2006 tot 28 september 2007;2.4;4.3;4.0;4.5;13.1;4.9
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;28 september 2007 tot 26 september 2008;1.6;3.4;3.4;3.8;12.4;4.9
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;26 september 2008 tot 25 september 2009;2.4;7.4;5.8;3.3;9.8;3.9
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;25 september 2009 tot 24 september 2010;1.8;7.6;8.0;3.1;15.3;4.1
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;24 september 2010 tot 30 september 2011;1.9;7.4;6.7;3.0;18.3;5.1
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;30 september 2011 tot 28 september 2012;1.8;9.8;7.2;3.1;17.3;6.6
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;28 september 2012 tot 27 september 2013;1.9;14.0;9.4;2.5;18.7;3.9
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;27 september 2013 tot 26 september 2014;1.4;11.8;8.3;2.7;26.1;4.9
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;26 september 2014 tot 25 september 2015;1.6;11.3;7.0;2.3;27.1;5.5
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;28 september 2001 tot 27 september 2002;18.4;20.3;14.0;6.9;21.1;9.6
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;27 september 2002 tot 26 september 2003;16.5;27.1;13.1;9.0;20.2;8.7
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;26 september 2003 tot 24 september 2004;15.7;28.6;12.6;10.8;25.7;8.8
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;24 september 2004 tot 30 september 2005;7.9;26.7;16.0;14.1;34.0;8.9
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;30 september 2005 tot 29 september 2006;11.6;27.4;15.3;14.6;33.0;11.9
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;29 september 2006 tot 28 september 2007;19.0;22.0;12.3;10.0;28.6;10.2
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;28 september 2007 tot 26 september 2008;16.3;14.1;11.1;4.5;28.0;9.8
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;26 september 2008 tot 25 september 2009;20.9;17.0;14.5;4.0;25.8;6.8
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;25 september 2009 tot 24 september 2010;16.2;16.3;19.1;3.2;35.4;7.7
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;24 september 2010 tot 30 september 2011;19.4;18.9;18.3;2.9;34.4;7.8
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;30 september 2011 tot 28 september 2012;18.8;20.2;19.4;3.5;34.9;7.8
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;28 september 2012 tot 27 september 2013;18.4;24.4;24.7;3.0;39.4;7.5
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;27 september 2013 tot 26 september 2014;18.5;26.0;26.7;3.0;48.8;7.9
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;26 september 2014 tot 25 september 2015;17.6;23.2;24.4;3.1;48.4;8.7
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;28 september 2001 tot 27 september 2002;0.0;8.8;3.6;0.0;8.3;4.2
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;27 september 2002 tot 26 september 2003;0.0;13.2;3.9;0.0;8.1;4.0
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;26 september 2003 tot 24 september 2004;0.0;14.2;3.8;0.0;8.9;3.9
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;24 september 2004 tot 30 september 2005;0.0;14.1;4.2;0.0;10.3;3.7
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;30 september 2005 tot 29 september 2006;0.0;13.7;2.9;0.0;10.1;7.6
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;29 september 2006 tot 28 september 2007;0.0;9.5;2.3;0.0;11.0;5.9
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;28 september 2007 tot 26 september 2008;0.0;4.6;1.8;0.0;10.5;5.8
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;26 september 2008 tot 25 september 2009;0.0;5.2;2.3;0.0;7.5;4.1
78;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;25 september 2009 tot 24 september 2010;0.0;3.7;2.3;0.0;6.6;4.2
79;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;24 september 2010 tot 30 september 2011;0.0;3.3;2.2;0.0;5.6;4.1
80;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;30 september 2011 tot 28 september 2012;0.0;3.8;2.4;0.0;4.7;3.8
81;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;28 september 2012 tot 27 september 2013;0.0;4.4;2.7;0.0;4.3;3.7
82;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;27 september 2013 tot 26 september 2014;0.0;4.1;2.8;0.0;5.2;3.6
83;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;26 september 2014 tot 25 september 2015;0.0;3.6;3.1;0.0;5.2;3.6
84;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;28 september 2001 tot 27 september 2002;0.8;0.0;6.2;2.3;0.0;0.8
85;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;27 september 2002 tot 26 september 2003;0.8;0.0;4.9;3.8;0.0;1.1
86;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;26 september 2003 tot 24 september 2004;0.9;0.0;5.7;5.0;0.0;1.3
87;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;24 september 2004 tot 30 september 2005;0.9;0.0;9.5;6.3;0.0;1.3
88;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;30 september 2005 tot 29 september 2006;0.9;0.0;9.4;6.8;0.0;1.4
89;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;29 september 2006 tot 28 september 2007;1.9;0.0;7.4;3.5;0.0;1.4
90;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;28 september 2007 tot 26 september 2008;1.1;0.0;6.8;1.2;0.0;1.4
91;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;26 september 2008 tot 25 september 2009;1.2;0.0;8.7;0.9;0.0;1.2
92;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;25 september 2009 tot 24 september 2010;1.0;0.0;13.3;0.3;0.0;1.2
93;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;24 september 2010 tot 30 september 2011;0.9;0.0;12.1;0.3;0.0;1.8
94;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;30 september 2011 tot 28 september 2012;0.7;0.0;13.3;0.4;0.0;1.8
95;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;28 september 2012 tot 27 september 2013;0.8;0.0;17.8;0.4;0.0;2.1
96;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;27 september 2013 tot 26 september 2014;0.9;0.0;19.6;0.4;0.0;2.6
97;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;26 september 2014 tot 25 september 2015;1.3;0.0;17.3;0.3;0.0;3.0
98;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;28 september 2001 tot 27 september 2002;2.5;1.2;0.0;1.5;6.7;0.0
99;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;27 september 2002 tot 26 september 2003;2.4;1.7;0.0;1.8;5.2;0.0
100;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;26 september 2003 tot 24 september 2004;2.2;2.0;0.0;2.0;6.1;0.0
101;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;24 september 2004 tot 30 september 2005;1.9;2.2;0.0;2.4;10.3;0.0
102;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;30 september 2005 tot 29 september 2006;2.4;2.3;0.0;2.4;10.6;0.0
103;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;29 september 2006 tot 28 september 2007;4.7;2.3;0.0;1.2;8.3;0.0
104;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;28 september 2007 tot 26 september 2008;3.1;1.9;0.0;0.8;7.7;0.0
105;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;26 september 2008 tot 25 september 2009;3.0;2.1;0.0;0.9;9.5;0.0
106;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;25 september 2009 tot 24 september 2010;2.2;2.0;0.0;1.0;14.5;0.0
107;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;24 september 2010 tot 30 september 2011;2.8;2.9;0.0;0.9;13.4;0.0
108;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;30 september 2011 tot 28 september 2012;2.7;3.1;0.0;0.9;14.7;0.0
109;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;28 september 2012 tot 27 september 2013;2.5;4.2;0.0;0.9;18.6;0.0
110;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;27 september 2013 tot 26 september 2014;2.5;4.6;0.0;1.0;22.0;0.0
111;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;26 september 2014 tot 25 september 2015;1.9;5.0;0.0;1.5;20.0;0.0
112;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;28 september 2001 tot 27 september 2002;15.6;12.1;5.1;3.4;9.3;5.0
113;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;27 september 2002 tot 26 september 2003;13.9;14.8;5.3;3.9;9.8;4.1
114;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;26 september 2003 tot 24 september 2004;13.2;15.2;4.1;4.4;14.4;4.0
115;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;24 september 2004 tot 30 september 2005;5.4;12.9;3.7;6.4;17.8;4.2
116;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;30 september 2005 tot 29 september 2006;8.7;14.6;4.0;6.4;15.8;3.4
117;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;29 september 2006 tot 28 september 2007;13.0;12.3;3.4;6.0;12.6;3.4
118;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;28 september 2007 tot 26 september 2008;12.7;8.7;3.0;2.7;13.0;2.8
119;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;26 september 2008 tot 25 september 2009;17.6;10.8;4.1;2.3;11.3;1.7
120;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;25 september 2009 tot 24 september 2010;13.5;11.5;4.2;2.0;16.9;2.5
121;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;24 september 2010 tot 30 september 2011;16.6;13.9;4.5;1.8;17.4;2.1
122;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;30 september 2011 tot 28 september 2012;15.9;14.4;4.3;2.3;17.3;2.4
123;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;28 september 2012 tot 27 september 2013;15.6;16.9;4.9;1.8;18.2;2.0
124;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;27 september 2013 tot 26 september 2014;15.8;18.4;5.1;1.7;23.6;1.8
125;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;26 september 2014 tot 25 september 2015;15.0;15.5;4.7;1.3;25.3;2.3
126;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;28 september 2001 tot 27 september 2002;1.9;1.8;3.9;32.0;13.1;10.4
127;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;27 september 2002 tot 26 september 2003;1.7;2.3;2.6;33.5;10.0;11.3
128;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;26 september 2003 tot 24 september 2004;1.8;2.4;2.5;34.0;9.5;11.8
129;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;24 september 2004 tot 30 september 2005;1.4;2.3;2.6;34.1;10.1;11.6
130;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;30 september 2005 tot 29 september 2006;1.5;2.5;2.6;33.6;10.1;11.2
131;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;29 september 2006 tot 28 september 2007;1.5;1.8;2.7;31.6;11.3;8.3
132;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;28 september 2007 tot 26 september 2008;1.2;1.6;3.7;33.8;14.1;8.4
133;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;26 september 2008 tot 25 september 2009;2.0;2.5;3.2;34.9;13.7;7.9
134;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;25 september 2009 tot 24 september 2010;1.1;2.6;3.5;37.2;12.8;8.0
135;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;24 september 2010 tot 30 september 2011;1.4;2.8;3.2;39.0;10.2;9.6
136;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;30 september 2011 tot 28 september 2012;1.3;3.2;2.5;39.7;9.5;13.0
137;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;28 september 2012 tot 27 september 2013;1.5;4.6;3.2;33.9;10.5;10.9
138;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;27 september 2013 tot 26 september 2014;1.4;4.6;3.3;31.9;12.0;9.9
139;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;26 september 2014 tot 25 september 2015;1.5;5.1;3.6;31.1;14.6;12.4
140;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;28 september 2001 tot 27 september 2002;10.8;5.4;30.6;4.2;6.0;20.4
141;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;27 september 2002 tot 26 september 2003;8.9;9.7;35.2;5.4;6.7;18.8
142;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;26 september 2003 tot 24 september 2004;9.9;10.2;33.6;5.7;9.8;21.5
143;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;24 september 2004 tot 30 september 2005;9.9;9.1;34.5;5.8;15.0;23.6
144;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;30 september 2005 tot 29 september 2006;9.4;7.0;27.7;5.7;15.8;26.2
145;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;29 september 2006 tot 28 september 2007;12.9;5.9;24.4;2.1;12.1;20.2
146;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;28 september 2007 tot 26 september 2008;9.4;3.1;25.3;1.2;10.7;19.0
147;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;26 september 2008 tot 25 september 2009;10.7;5.9;29.5;1.2;9.0;13.2
148;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;25 september 2009 tot 24 september 2010;8.9;5.3;32.8;0.8;13.9;13.8
