ID;Geslacht;Onderwijssoort;Herkomstgroepering;Populatie;RegioS;Perioden;Examenkandidaten_1;Gediplomeerden_2;GediplomeerdenRelatief_3
39;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Utrecht (gemeente);2004/'05;;;94.0
40;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Gemeenten >=100 000 inwoners (excl. G4);2003/'04;;;95.0
41;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Gemeenten >=100 000 inwoners (excl. G4);2004/'05;;;93.0
42;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Gemeenten < 100 000 inwoners;2003/'04;;;94.0
43;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Gemeenten < 100 000 inwoners;2004/'05;;;95.0
44;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Niet in te delen (GM);2003/'04;;;0.0
45;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Niet in te delen (GM);2004/'05;;;0.0
46;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Noord-Nederland (LD);2003/'04;;;93.0
47;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Noord-Nederland (LD);2004/'05;;;94.0
48;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Oost-Nederland (LD);2003/'04;;;94.0
49;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Oost-Nederland (LD);2004/'05;;;94.0
50;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;West-Nederland (LD);2003/'04;;;94.0
51;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;West-Nederland (LD);2004/'05;;;93.0
52;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Zuid-Nederland (LD);2003/'04;;;96.0
53;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Zuid-Nederland (LD);2004/'05;;;95.0
54;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Niet in te delen (LD);2003/'04;;;0.0
55;Totaal mannen en vrouwen;Vwo;Totaal herkomstgroepering;Schoolregio;Niet in te delen (LD);2004/'05;;;0.0
56;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Nederland;2003/'04;;;95.0
57;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Nederland;2004/'05;;;95.0
58;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Vier grootste gemeenten (G4);2003/'04;;;94.0
59;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Vier grootste gemeenten (G4);2004/'05;;;93.0
60;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Amsterdam;2003/'04;;;95.0
61;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Amsterdam;2004/'05;;;94.0
62;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;'s-Gravenhage (gemeente);2003/'04;;;96.0
63;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;'s-Gravenhage (gemeente);2004/'05;;;93.0
64;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Rotterdam;2003/'04;;;92.0
65;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Rotterdam;2004/'05;;;91.0
66;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Utrecht (gemeente);2003/'04;;;94.0
67;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Utrecht (gemeente);2004/'05;;;95.0
68;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Gemeenten >=100 000 inwoners (excl. G4);2003/'04;;;95.0
69;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Gemeenten >=100 000 inwoners (excl. G4);2004/'05;;;94.0
70;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Gemeenten < 100 000 inwoners;2003/'04;;;95.0
71;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Gemeenten < 100 000 inwoners;2004/'05;;;95.0
72;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Niet in te delen (GM);2003/'04;;;0.0
73;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Niet in te delen (GM);2004/'05;;;0.0
74;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Noord-Nederland (LD);2003/'04;;;94.0
75;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Noord-Nederland (LD);2004/'05;;;94.0
76;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Oost-Nederland (LD);2003/'04;;;95.0
77;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Oost-Nederland (LD);2004/'05;;;95.0
78;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;West-Nederland (LD);2003/'04;;;95.0
79;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;West-Nederland (LD);2004/'05;;;95.0
80;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Zuid-Nederland (LD);2003/'04;;;96.0
81;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Zuid-Nederland (LD);2004/'05;;;96.0
82;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Niet in te delen (LD);2003/'04;;;0.0
83;Totaal mannen en vrouwen;Vwo;Autochtoon;Woonregio;Niet in te delen (LD);2004/'05;;;0.0
84;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Nederland;2003/'04;;;95.0
85;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Nederland;2004/'05;;;95.0
86;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Vier grootste gemeenten (G4);2003/'04;;;95.0
87;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Vier grootste gemeenten (G4);2004/'05;;;94.0
88;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Amsterdam;2003/'04;;;95.0
89;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Amsterdam;2004/'05;;;94.0
90;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;'s-Gravenhage (gemeente);2003/'04;;;96.0
91;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;'s-Gravenhage (gemeente);2004/'05;;;93.0
92;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Rotterdam;2003/'04;;;94.0
93;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Rotterdam;2004/'05;;;93.0
94;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Utrecht (gemeente);2003/'04;;;95.0
95;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Utrecht (gemeente);2004/'05;;;96.0
96;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Gemeenten >=100 000 inwoners (excl. G4);2003/'04;;;95.0
97;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Gemeenten >=100 000 inwoners (excl. G4);2004/'05;;;94.0
98;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Gemeenten < 100 000 inwoners;2003/'04;;;95.0
99;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Gemeenten < 100 000 inwoners;2004/'05;;;95.0
100;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Niet in te delen (GM);2003/'04;;;0.0
101;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Niet in te delen (GM);2004/'05;;;0.0
102;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Noord-Nederland (LD);2003/'04;;;94.0
103;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Noord-Nederland (LD);2004/'05;;;94.0
104;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Oost-Nederland (LD);2003/'04;;;95.0
105;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Oost-Nederland (LD);2004/'05;;;95.0
106;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;West-Nederland (LD);2003/'04;;;95.0
107;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;West-Nederland (LD);2004/'05;;;95.0
108;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Zuid-Nederland (LD);2003/'04;;;96.0
109;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Zuid-Nederland (LD);2004/'05;;;96.0
110;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Niet in te delen (LD);2003/'04;;;0.0
111;Totaal mannen en vrouwen;Vwo;Autochtoon;Schoolregio;Niet in te delen (LD);2004/'05;;;0.0
112;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Nederland;2003/'04;;;88.0
113;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Nederland;2004/'05;;;89.0
114;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Vier grootste gemeenten (G4);2003/'04;;;82.0
115;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Vier grootste gemeenten (G4);2004/'05;;;85.0
116;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Amsterdam;2003/'04;;;81.0
117;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Amsterdam;2004/'05;;;85.0
118;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;'s-Gravenhage (gemeente);2003/'04;;;89.0
119;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;'s-Gravenhage (gemeente);2004/'05;;;88.0
120;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Rotterdam;2003/'04;;;79.0
121;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Rotterdam;2004/'05;;;81.0
122;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Utrecht (gemeente);2003/'04;;;80.0
123;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Utrecht (gemeente);2004/'05;;;88.0
124;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Gemeenten >=100 000 inwoners (excl. G4);2003/'04;;;89.0
125;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Gemeenten >=100 000 inwoners (excl. G4);2004/'05;;;87.0
126;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Gemeenten < 100 000 inwoners;2003/'04;;;90.0
127;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Gemeenten < 100 000 inwoners;2004/'05;;;91.0
128;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Niet in te delen (GM);2003/'04;;;0.0
129;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Niet in te delen (GM);2004/'05;;;0.0
130;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Noord-Nederland (LD);2003/'04;;;83.0
131;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Noord-Nederland (LD);2004/'05;;;90.0
132;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Oost-Nederland (LD);2003/'04;;;88.0
133;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Oost-Nederland (LD);2004/'05;;;88.0
134;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;West-Nederland (LD);2003/'04;;;87.0
135;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;West-Nederland (LD);2004/'05;;;88.0
136;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Zuid-Nederland (LD);2003/'04;;;93.0
137;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Zuid-Nederland (LD);2004/'05;;;91.0
138;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Niet in te delen (LD);2003/'04;;;0.0
139;Totaal mannen en vrouwen;Vwo;Allochtoon;Woonregio;Niet in te delen (LD);2004/'05;;;0.0
140;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Nederland;2003/'04;;;88.0
141;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Nederland;2004/'05;;;89.0
142;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Vier grootste gemeenten (G4);2003/'04;;;83.0
143;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Vier grootste gemeenten (G4);2004/'05;;;86.0
144;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Amsterdam;2003/'04;;;82.0
145;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Amsterdam;2004/'05;;;86.0
146;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;'s-Gravenhage (gemeente);2003/'04;;;91.0
147;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;'s-Gravenhage (gemeente);2004/'05;;;89.0
148;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Rotterdam;2003/'04;;;80.0
149;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Rotterdam;2004/'05;;;83.0
150;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Utrecht (gemeente);2003/'04;;;83.0
151;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Utrecht (gemeente);2004/'05;;;85.0
152;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Gemeenten >=100 000 inwoners (excl. G4);2003/'04;;;90.0
153;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Gemeenten >=100 000 inwoners (excl. G4);2004/'05;;;87.0
154;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Gemeenten < 100 000 inwoners;2003/'04;;;89.0
155;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Gemeenten < 100 000 inwoners;2004/'05;;;91.0
156;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Niet in te delen (GM);2003/'04;;;0.0
157;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Niet in te delen (GM);2004/'05;;;0.0
158;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Noord-Nederland (LD);2003/'04;;;84.0
159;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Noord-Nederland (LD);2004/'05;;;91.0
160;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Oost-Nederland (LD);2003/'04;;;87.0
161;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Oost-Nederland (LD);2004/'05;;;88.0
162;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;West-Nederland (LD);2003/'04;;;87.0
163;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;West-Nederland (LD);2004/'05;;;88.0
164;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Zuid-Nederland (LD);2003/'04;;;93.0
165;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Zuid-Nederland (LD);2004/'05;;;91.0
166;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Niet in te delen (LD);2003/'04;;;0.0
167;Totaal mannen en vrouwen;Vwo;Allochtoon;Schoolregio;Niet in te delen (LD);2004/'05;;;0.0
168;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Nederland;2003/'04;;;92.0
169;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Nederland;2004/'05;;;92.0
170;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Vier grootste gemeenten (G4);2003/'04;;;90.0
171;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Vier grootste gemeenten (G4);2004/'05;;;90.0
172;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Amsterdam;2003/'04;;;92.0
173;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Amsterdam;2004/'05;;;89.0
174;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;'s-Gravenhage (gemeente);2003/'04;;;94.0
175;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;'s-Gravenhage (gemeente);2004/'05;;;93.0
176;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Rotterdam;2003/'04;;;83.0
177;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Rotterdam;2004/'05;;;87.0
178;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Utrecht (gemeente);2003/'04;;;84.0
179;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Utrecht (gemeente);2004/'05;;;94.0
180;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Gemeenten >=100 000 inwoners (excl. G4);2003/'04;;;93.0
181;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Gemeenten >=100 000 inwoners (excl. G4);2004/'05;;;90.0
182;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Gemeenten < 100 000 inwoners;2003/'04;;;92.0
183;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Gemeenten < 100 000 inwoners;2004/'05;;;94.0
184;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Niet in te delen (GM);2003/'04;;;0.0
185;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Niet in te delen (GM);2004/'05;;;0.0
186;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Noord-Nederland (LD);2003/'04;;;89.0
187;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Noord-Nederland (LD);2004/'05;;;95.0
188;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Oost-Nederland (LD);2003/'04;;;92.0
189;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Oost-Nederland (LD);2004/'05;;;94.0
190;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;West-Nederland (LD);2003/'04;;;92.0
191;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;West-Nederland (LD);2004/'05;;;92.0
192;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Zuid-Nederland (LD);2003/'04;;;94.0
193;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Zuid-Nederland (LD);2004/'05;;;92.0
194;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Niet in te delen (LD);2003/'04;;;0.0
195;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Woonregio;Niet in te delen (LD);2004/'05;;;0.0
196;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Nederland;2003/'04;;;92.0
197;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Nederland;2004/'05;;;92.0
198;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Vier grootste gemeenten (G4);2003/'04;;;91.0
199;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Vier grootste gemeenten (G4);2004/'05;;;90.0
200;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Amsterdam;2003/'04;;;93.0
201;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Amsterdam;2004/'05;;;91.0
202;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;'s-Gravenhage (gemeente);2003/'04;;;94.0
203;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;'s-Gravenhage (gemeente);2004/'05;;;91.0
204;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Rotterdam;2003/'04;;;86.0
205;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Rotterdam;2004/'05;;;88.0
206;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Utrecht (gemeente);2003/'04;;;90.0
207;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Utrecht (gemeente);2004/'05;;;88.0
208;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Gemeenten >=100 000 inwoners (excl. G4);2003/'04;;;93.0
209;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Gemeenten >=100 000 inwoners (excl. G4);2004/'05;;;90.0
210;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Gemeenten < 100 000 inwoners;2003/'04;;;91.0
211;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Gemeenten < 100 000 inwoners;2004/'05;;;94.0
212;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Niet in te delen (GM);2003/'04;;;0.0
213;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Niet in te delen (GM);2004/'05;;;0.0
214;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Noord-Nederland (LD);2003/'04;;;90.0
215;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Noord-Nederland (LD);2004/'05;;;96.0
216;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Oost-Nederland (LD);2003/'04;;;91.0
217;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Oost-Nederland (LD);2004/'05;;;93.0
218;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;West-Nederland (LD);2003/'04;;;92.0
219;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;West-Nederland (LD);2004/'05;;;92.0
220;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Zuid-Nederland (LD);2003/'04;;;93.0
221;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Zuid-Nederland (LD);2004/'05;;;92.0
222;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Niet in te delen (LD);2003/'04;;;0.0
223;Totaal mannen en vrouwen;Vwo;Westerse allochtoon;Schoolregio;Niet in te delen (LD);2004/'05;;;0.0
224;Totaal mannen en vrouwen;Vwo;Niet-westerse allochtoon;Woonregio;Nederland;2003/'04;;;84.0
225;Totaal mannen en vrouwen;Vwo;Niet-westerse allochtoon;Woonregio;Nederland;2004/'05;;;85.0
226;Totaal mannen en vrouwen;Vwo;Niet-westerse allochtoon;Woonregio;Vier grootste gemeenten (G4);2003/'04;;;79.0
