ID;Geslacht;Leeftijd;RegioS;Perioden;Bevolking_1;k_1BasisonderwijsVmboMbo1_2;k_2HavoVwoMbo24_3;k_3HboWo_4;k_11Basisonderwijs_5;k_12VmboHavoVwoOnderbouwMbo1_6;k_21HavoVwoMbo24_7;k_31HboWoBachelor_8;k_32HboWoMasterDoctor_9;k_111Basisonderwijs_10;k_121VmboBKMbo1_11;k_122VmboGTHavoVwoOnderbouw_12;k_211Mbo2EnMbo3_13;k_212Mbo4_14;k_213HavoVwo_15;k_311HboWoBachelor_16;k_321HboWoMasterDoctor_17
30;Totaal mannen en vrouwen;15 tot 75 jaar;Oost-Nederland (LD);2021;2797800.0;27.1;43.9;29.0;8.3;18.8;43.9;19.5;9.4;8.3;11.1;7.7;17.6;17.7;8.6;19.5;9.4
31;Totaal mannen en vrouwen;15 tot 75 jaar;Oost-Nederland (LD);2022;2821900.0;26.7;44.0;29.3;8.3;18.4;44.0;19.8;9.6;8.3;10.8;7.6;17.4;17.8;8.7;19.8;9.6
32;Totaal mannen en vrouwen;15 tot 75 jaar;Oost-Nederland (LD);2023;2837600.0;26.5;43.5;30.0;8.4;18.1;43.5;20.1;9.9;8.4;10.8;7.4;17.3;17.8;8.4;20.1;9.9
33;Totaal mannen en vrouwen;15 tot 75 jaar;West-Nederland (LD);2013;6015600.0;30.7;40.0;29.3;10.4;20.3;40.0;17.7;11.7;10.4;12.2;8.1;16.1;13.2;10.6;17.7;11.7
34;Totaal mannen en vrouwen;15 tot 75 jaar;West-Nederland (LD);2014;6056700.0;30.3;39.7;30.0;10.4;19.9;39.7;17.9;12.1;10.4;11.8;8.1;15.9;13.3;10.5;17.9;12.1
35;Totaal mannen en vrouwen;15 tot 75 jaar;West-Nederland (LD);2015;6100800.0;29.8;39.7;30.6;10.3;19.5;39.7;18.2;12.4;10.3;11.4;8.1;15.9;13.3;10.4;18.2;12.4
36;Totaal mannen en vrouwen;15 tot 75 jaar;West-Nederland (LD);2016;6155300.0;29.3;39.7;31.0;10.3;19.0;39.7;18.4;12.6;10.3;11.1;8.0;15.8;13.5;10.4;18.4;12.6
37;Totaal mannen en vrouwen;15 tot 75 jaar;West-Nederland (LD);2017;6210100.0;28.6;39.8;31.5;9.8;18.8;39.8;18.8;12.8;9.8;10.8;8.0;15.7;13.6;10.5;18.8;12.8
38;Totaal mannen en vrouwen;15 tot 75 jaar;West-Nederland (LD);2018;6263400.0;27.9;39.4;32.7;9.5;18.4;39.4;19.5;13.1;9.5;10.6;7.9;15.5;13.7;10.3;19.5;13.1
39;Totaal mannen en vrouwen;15 tot 75 jaar;West-Nederland (LD);2019;6318000.0;27.3;39.4;33.3;9.5;17.8;39.4;19.8;13.6;9.5;10.0;7.8;15.4;13.6;10.3;19.8;13.6
40;Totaal mannen en vrouwen;15 tot 75 jaar;West-Nederland (LD);2020;6351700.0;26.5;39.4;34.1;9.1;17.4;39.4;20.2;14.0;9.1;9.7;7.7;15.2;13.7;10.4;20.2;14.0
41;Totaal mannen en vrouwen;15 tot 75 jaar;West-Nederland (LD);2021;6369900.0;25.7;39.5;34.8;8.7;17.0;39.5;20.3;14.5;8.7;9.3;7.7;15.0;14.0;10.4;20.3;14.5
42;Totaal mannen en vrouwen;15 tot 75 jaar;West-Nederland (LD);2022;6438200.0;25.6;39.4;35.0;8.8;16.8;39.4;20.4;14.6;8.8;9.1;7.7;14.8;14.1;10.5;20.4;14.6
43;Totaal mannen en vrouwen;15 tot 75 jaar;West-Nederland (LD);2023;6489700.0;25.6;38.9;35.6;9.0;16.6;38.9;20.5;15.0;9.0;9.1;7.4;14.6;13.9;10.3;20.5;15.0
44;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid-Nederland (LD);2013;2747200.0;33.7;41.7;24.6;10.6;23.1;41.7;16.9;7.7;10.6;15.0;8.2;18.1;15.2;8.5;16.9;7.7
45;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid-Nederland (LD);2014;2753200.0;33.2;41.7;25.1;10.6;22.6;41.7;17.2;7.9;10.6;14.5;8.1;18.0;15.3;8.4;17.2;7.9
46;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid-Nederland (LD);2015;2760500.0;32.5;41.7;25.7;10.4;22.1;41.7;17.6;8.2;10.4;14.1;8.0;17.9;15.4;8.5;17.6;8.2
47;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid-Nederland (LD);2016;2772200.0;31.9;42.1;26.0;10.3;21.6;42.1;17.6;8.4;10.3;13.7;7.9;17.8;15.6;8.7;17.6;8.4
48;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid-Nederland (LD);2017;2784900.0;31.3;42.1;26.6;10.1;21.2;42.1;18.0;8.5;10.1;13.4;7.9;17.7;15.8;8.6;18.0;8.5
49;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid-Nederland (LD);2018;2796200.0;30.5;42.0;27.5;9.8;20.7;42.0;18.8;8.7;9.8;12.9;7.8;17.6;15.8;8.6;18.8;8.7
50;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid-Nederland (LD);2019;2808600.0;29.8;42.1;28.1;9.7;20.1;42.1;19.2;8.9;9.7;12.3;7.8;17.4;15.9;8.8;19.2;8.9
51;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid-Nederland (LD);2020;2813700.0;28.8;42.3;28.9;9.3;19.5;42.3;19.6;9.3;9.3;12.0;7.6;17.2;16.1;8.9;19.6;9.3
52;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid-Nederland (LD);2021;2818900.0;27.8;42.5;29.6;8.9;18.9;42.5;19.8;9.8;8.9;11.4;7.5;17.2;16.6;8.8;19.8;9.8
53;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid-Nederland (LD);2022;2838200.0;27.6;42.5;29.9;9.1;18.5;42.5;20.0;9.9;9.1;11.0;7.5;17.1;16.6;8.8;20.0;9.9
54;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid-Nederland (LD);2023;2850100.0;27.6;42.1;30.4;9.2;18.3;42.1;20.2;10.1;9.2;11.1;7.3;16.8;16.5;8.7;20.2;10.1
55;Totaal mannen en vrouwen;15 tot 75 jaar;Groningen (PV);2013;450600.0;28.8;44.9;26.3;9.4;19.4;44.9;17.3;9.0;9.4;12.6;6.8;18.0;15.1;11.8;17.3;9.0
56;Totaal mannen en vrouwen;15 tot 75 jaar;Groningen (PV);2014;451900.0;28.3;44.6;27.1;9.3;19.0;44.6;17.9;9.2;9.3;12.2;6.8;17.9;15.2;11.6;17.9;9.2
57;Totaal mannen en vrouwen;15 tot 75 jaar;Groningen (PV);2015;452500.0;27.6;45.0;27.4;9.2;18.5;45.0;18.2;9.2;9.2;11.6;6.9;17.9;15.3;11.7;18.2;9.2
58;Totaal mannen en vrouwen;15 tot 75 jaar;Groningen (PV);2016;453500.0;27.1;45.4;27.5;9.0;18.2;45.4;17.9;9.6;9.0;11.4;6.8;17.9;15.7;11.7;17.9;9.6
59;Totaal mannen en vrouwen;15 tot 75 jaar;Groningen (PV);2017;453100.0;27.0;45.1;27.9;8.7;18.4;45.1;18.3;9.6;8.7;11.4;6.9;17.9;15.8;11.3;18.3;9.6
60;Totaal mannen en vrouwen;15 tot 75 jaar;Groningen (PV);2018;454200.0;26.5;44.9;28.6;8.5;17.9;44.9;18.7;10.0;8.5;11.2;6.7;17.6;15.9;11.3;18.7;10.0
61;Totaal mannen en vrouwen;15 tot 75 jaar;Groningen (PV);2019;454800.0;25.9;44.6;29.5;8.5;17.4;44.6;19.2;10.3;8.5;10.8;6.7;17.4;16.1;11.1;19.2;10.3
62;Totaal mannen en vrouwen;15 tot 75 jaar;Groningen (PV);2020;454900.0;25.1;44.8;30.2;7.9;17.1;44.8;19.7;10.5;7.9;10.6;6.6;17.4;16.3;11.1;19.7;10.5
63;Totaal mannen en vrouwen;15 tot 75 jaar;Groningen (PV);2021;456000.0;24.0;45.3;30.8;7.3;16.6;45.3;19.9;10.8;7.3;10.1;6.5;17.3;16.7;11.3;19.9;10.8
64;Totaal mannen en vrouwen;15 tot 75 jaar;Groningen (PV);2022;459000.0;23.9;45.3;30.9;7.4;16.5;45.3;19.9;10.9;7.4;9.9;6.5;17.3;16.8;11.2;19.9;10.9
65;Totaal mannen en vrouwen;15 tot 75 jaar;Groningen (PV);2023;463400.0;23.7;45.1;31.2;7.4;16.3;45.1;20.0;11.2;7.4;9.9;6.4;16.9;16.5;11.7;20.0;11.2
66;Totaal mannen en vrouwen;15 tot 75 jaar;Fryslân (PV);2013;481900.0;32.7;45.4;21.9;9.6;23.1;45.4;16.7;5.2;9.6;15.3;7.9;20.4;17.8;7.2;16.7;5.2
67;Totaal mannen en vrouwen;15 tot 75 jaar;Fryslân (PV);2014;482500.0;32.4;45.5;22.0;9.8;22.6;45.5;16.7;5.3;9.8;14.7;8.0;20.4;18.0;7.2;16.7;5.3
68;Totaal mannen en vrouwen;15 tot 75 jaar;Fryslân (PV);2015;482600.0;31.8;45.9;22.4;9.8;21.9;45.9;16.8;5.6;9.8;14.0;7.9;20.3;18.4;7.1;16.8;5.6
69;Totaal mannen en vrouwen;15 tot 75 jaar;Fryslân (PV);2016;483700.0;31.7;45.9;22.4;9.9;21.8;45.9;16.9;5.5;9.9;14.0;7.8;20.0;18.6;7.2;16.9;5.5
70;Totaal mannen en vrouwen;15 tot 75 jaar;Fryslân (PV);2017;484900.0;30.8;46.1;23.1;9.1;21.7;46.1;17.5;5.6;9.1;13.8;7.9;20.0;18.9;7.3;17.5;5.6
71;Totaal mannen en vrouwen;15 tot 75 jaar;Fryslân (PV);2018;485500.0;30.0;46.3;23.7;8.7;21.3;46.3;17.9;5.7;8.7;13.5;7.8;19.9;19.1;7.3;17.9;5.7
72;Totaal mannen en vrouwen;15 tot 75 jaar;Fryslân (PV);2019;486600.0;29.5;46.5;24.1;8.8;20.7;46.5;18.3;5.8;8.8;13.0;7.7;19.7;19.3;7.5;18.3;5.8
73;Totaal mannen en vrouwen;15 tot 75 jaar;Fryslân (PV);2020;487000.0;28.4;46.9;24.7;8.2;20.2;46.9;18.7;6.0;8.2;12.6;7.6;19.7;19.6;7.6;18.7;6.0
74;Totaal mannen en vrouwen;15 tot 75 jaar;Fryslân (PV);2021;487300.0;27.3;47.6;25.1;7.5;19.8;47.6;19.0;6.1;7.5;12.1;7.7;19.6;20.4;7.7;19.0;6.1
75;Totaal mannen en vrouwen;15 tot 75 jaar;Fryslân (PV);2022;489600.0;26.8;47.7;25.5;7.5;19.4;47.7;19.3;6.1;7.5;11.7;7.6;19.5;20.4;7.7;19.3;6.1
76;Totaal mannen en vrouwen;15 tot 75 jaar;Fryslân (PV);2023;490200.0;26.9;47.0;26.1;7.8;19.1;47.0;19.7;6.4;7.8;11.8;7.3;19.3;20.3;7.4;19.7;6.4
77;Totaal mannen en vrouwen;15 tot 75 jaar;Drenthe (PV);2013;363400.0;32.9;45.2;21.9;9.8;23.1;45.2;16.2;5.7;9.8;15.5;7.6;21.2;17.4;6.5;16.2;5.7
78;Totaal mannen en vrouwen;15 tot 75 jaar;Drenthe (PV);2014;363400.0;32.6;45.1;22.3;9.8;22.8;45.1;16.3;5.9;9.8;15.1;7.7;21.0;17.8;6.3;16.3;5.9
79;Totaal mannen en vrouwen;15 tot 75 jaar;Drenthe (PV);2015;364300.0;31.9;45.3;22.8;9.8;22.1;45.3;16.6;6.2;9.8;14.4;7.7;21.1;18.0;6.2;16.6;6.2
80;Totaal mannen en vrouwen;15 tot 75 jaar;Drenthe (PV);2016;366000.0;31.6;45.3;23.1;9.4;22.2;45.3;16.7;6.4;9.4;14.5;7.7;20.9;18.1;6.4;16.7;6.4
81;Totaal mannen en vrouwen;15 tot 75 jaar;Drenthe (PV);2017;367200.0;30.8;46.0;23.2;9.2;21.6;46.0;16.8;6.4;9.2;14.0;7.6;20.9;18.3;6.7;16.8;6.4
82;Totaal mannen en vrouwen;15 tot 75 jaar;Drenthe (PV);2018;368000.0;30.1;46.2;23.7;9.1;21.1;46.2;17.1;6.6;9.1;13.5;7.6;20.7;18.7;6.8;17.1;6.6
83;Totaal mannen en vrouwen;15 tot 75 jaar;Drenthe (PV);2019;369000.0;29.5;46.3;24.2;9.1;20.4;46.3;17.5;6.7;9.1;12.9;7.5;20.5;19.0;6.8;17.5;6.7
84;Totaal mannen en vrouwen;15 tot 75 jaar;Drenthe (PV);2020;369700.0;28.4;46.8;24.8;8.5;19.9;46.8;17.9;7.0;8.5;12.5;7.4;20.3;19.4;7.0;17.9;7.0
85;Totaal mannen en vrouwen;15 tot 75 jaar;Drenthe (PV);2021;370700.0;27.7;47.3;25.0;8.3;19.4;47.3;17.9;7.1;8.3;12.1;7.3;20.1;20.1;7.1;17.9;7.1
86;Totaal mannen en vrouwen;15 tot 75 jaar;Drenthe (PV);2022;372200.0;27.3;47.4;25.3;8.3;19.0;47.4;18.1;7.1;8.3;11.8;7.3;19.8;20.5;7.1;18.1;7.1
87;Totaal mannen en vrouwen;15 tot 75 jaar;Drenthe (PV);2023;372300.0;27.3;46.5;26.2;8.4;18.9;46.5;18.7;7.6;8.4;11.8;7.1;19.8;20.0;6.7;18.7;7.6
88;Totaal mannen en vrouwen;15 tot 75 jaar;Overijssel (PV);2013;846500.0;32.1;44.4;23.5;10.2;21.9;44.4;16.9;6.6;10.2;14.4;7.5;19.6;17.3;7.5;16.9;6.6
89;Totaal mannen en vrouwen;15 tot 75 jaar;Overijssel (PV);2014;847900.0;31.9;44.2;23.9;10.1;21.8;44.2;17.1;6.9;10.1;14.2;7.5;19.4;17.4;7.4;17.1;6.9
90;Totaal mannen en vrouwen;15 tot 75 jaar;Overijssel (PV);2015;851500.0;31.3;44.3;24.4;9.9;21.4;44.3;17.5;7.0;9.9;13.8;7.6;19.3;17.5;7.5;17.5;7.0
91;Totaal mannen en vrouwen;15 tot 75 jaar;Overijssel (PV);2016;856000.0;30.7;44.6;24.8;9.8;20.9;44.6;17.6;7.2;9.8;13.3;7.5;19.1;17.7;7.8;17.6;7.2
92;Totaal mannen en vrouwen;15 tot 75 jaar;Overijssel (PV);2017;860800.0;29.8;44.8;25.4;9.4;20.5;44.8;18.2;7.2;9.4;13.0;7.5;19.0;18.0;7.8;18.2;7.2
93;Totaal mannen en vrouwen;15 tot 75 jaar;Overijssel (PV);2018;865800.0;29.3;44.7;26.0;9.0;20.2;44.7;18.6;7.4;9.0;12.8;7.5;18.8;18.2;7.7;18.6;7.4
94;Totaal mannen en vrouwen;15 tot 75 jaar;Overijssel (PV);2019;871600.0;28.7;44.7;26.5;9.2;19.5;44.7;19.0;7.5;9.2;12.1;7.5;18.5;18.3;7.9;19.0;7.5
95;Totaal mannen en vrouwen;15 tot 75 jaar;Overijssel (PV);2020;875800.0;27.8;45.0;27.2;8.8;19.1;45.0;19.5;7.7;8.8;11.7;7.4;18.4;18.4;8.2;19.5;7.7
96;Totaal mannen en vrouwen;15 tot 75 jaar;Overijssel (PV);2021;878700.0;26.9;45.2;27.8;8.3;18.6;45.2;19.7;8.2;8.3;11.2;7.4;18.2;18.9;8.1;19.7;8.2
97;Totaal mannen en vrouwen;15 tot 75 jaar;Overijssel (PV);2022;886000.0;26.7;45.2;28.1;8.4;18.3;45.2;19.9;8.2;8.4;10.9;7.4;18.1;19.0;8.2;19.9;8.2
98;Totaal mannen en vrouwen;15 tot 75 jaar;Overijssel (PV);2023;887800.0;26.3;44.9;28.8;8.2;18.1;44.9;20.3;8.5;8.2;10.8;7.2;18.0;19.0;7.9;20.3;8.5
99;Totaal mannen en vrouwen;15 tot 75 jaar;Flevoland (PV);2013;300400.0;32.4;44.9;22.7;10.3;22.1;44.9;16.4;6.3;10.3;13.3;8.8;19.0;17.1;8.8;16.4;6.3
100;Totaal mannen en vrouwen;15 tot 75 jaar;Flevoland (PV);2014;302300.0;32.2;45.0;22.8;10.6;21.7;45.0;16.5;6.3;10.6;13.0;8.7;18.9;17.1;8.9;16.5;6.3
101;Totaal mannen en vrouwen;15 tot 75 jaar;Flevoland (PV);2015;304600.0;31.8;45.0;23.2;10.4;21.4;45.0;16.9;6.3;10.4;12.6;8.8;19.1;17.1;8.8;16.9;6.3
102;Totaal mannen en vrouwen;15 tot 75 jaar;Flevoland (PV);2016;308600.0;31.3;45.6;23.1;10.1;21.2;45.6;16.7;6.4;10.1;12.4;8.7;19.1;17.4;9.1;16.7;6.4
103;Totaal mannen en vrouwen;15 tot 75 jaar;Flevoland (PV);2017;312000.0;30.8;45.7;23.6;9.9;20.9;45.7;17.1;6.5;9.9;12.3;8.6;19.1;17.5;9.0;17.1;6.5
104;Totaal mannen en vrouwen;15 tot 75 jaar;Flevoland (PV);2018;316400.0;30.1;45.9;23.9;9.5;20.6;45.9;17.3;6.6;9.5;12.1;8.5;19.0;17.8;9.1;17.3;6.6
105;Totaal mannen en vrouwen;15 tot 75 jaar;Flevoland (PV);2019;321300.0;29.8;45.5;24.7;9.6;20.2;45.5;17.8;6.9;9.6;11.8;8.4;18.7;17.8;9.0;17.8;6.9
106;Totaal mannen en vrouwen;15 tot 75 jaar;Flevoland (PV);2020;325600.0;28.8;45.5;25.7;9.1;19.7;45.5;18.4;7.2;9.1;11.5;8.2;18.8;17.6;9.1;18.4;7.2
107;Totaal mannen en vrouwen;15 tot 75 jaar;Flevoland (PV);2021;330000.0;27.6;46.0;26.3;8.5;19.1;46.0;18.9;7.4;8.5;10.8;8.3;18.8;18.1;9.1;18.9;7.4
108;Totaal mannen en vrouwen;15 tot 75 jaar;Flevoland (PV);2022;336500.0;27.3;46.2;26.6;8.5;18.8;46.2;19.0;7.6;8.5;10.5;8.2;18.7;18.2;9.2;19.0;7.6
109;Totaal mannen en vrouwen;15 tot 75 jaar;Flevoland (PV);2023;341000.0;27.2;45.6;27.2;8.6;18.5;45.6;19.6;7.6;8.6;10.6;7.9;18.6;18.3;8.7;19.6;7.6
110;Totaal mannen en vrouwen;15 tot 75 jaar;Gelderland (PV);2013;1518200.0;32.6;41.8;25.6;9.9;22.7;41.8;17.1;8.5;9.9;14.5;8.1;17.9;15.5;8.4;17.1;8.5
111;Totaal mannen en vrouwen;15 tot 75 jaar;Gelderland (PV);2014;1524200.0;32.2;41.9;25.9;9.9;22.2;41.9;17.4;8.6;9.9;14.1;8.1;17.8;15.6;8.4;17.4;8.6
112;Totaal mannen en vrouwen;15 tot 75 jaar;Gelderland (PV);2015;1532500.0;31.6;42.0;26.4;9.9;21.7;42.0;17.7;8.7;9.9;13.6;8.1;17.8;15.7;8.5;17.7;8.7
113;Totaal mannen en vrouwen;15 tot 75 jaar;Gelderland (PV);2016;1544200.0;31.1;42.3;26.5;9.7;21.4;42.3;17.8;8.8;9.7;13.2;8.1;17.8;15.9;8.6;17.8;8.8
114;Totaal mannen en vrouwen;15 tot 75 jaar;Gelderland (PV);2017;1555400.0;30.4;42.5;27.1;9.4;21.0;42.5;18.2;9.0;9.4;13.0;8.0;17.6;16.2;8.7;18.2;9.0
115;Totaal mannen en vrouwen;15 tot 75 jaar;Gelderland (PV);2018;1566200.0;29.8;42.4;27.8;9.2;20.5;42.4;18.6;9.3;9.2;12.6;7.9;17.3;16.4;8.7;18.6;9.3
116;Totaal mannen en vrouwen;15 tot 75 jaar;Gelderland (PV);2019;1576200.0;29.1;42.4;28.6;9.1;19.9;42.4;19.0;9.6;9.1;12.1;7.8;17.2;16.5;8.6;19.0;9.6
117;Totaal mannen en vrouwen;15 tot 75 jaar;Gelderland (PV);2020;1584200.0;28.1;42.5;29.4;8.6;19.5;42.5;19.4;9.9;8.6;11.8;7.7;17.2;16.6;8.7;19.4;9.9
118;Totaal mannen en vrouwen;15 tot 75 jaar;Gelderland (PV);2021;1589200.0;27.1;42.7;30.1;8.2;18.9;42.7;19.6;10.6;8.2;11.2;7.7;17.0;17.0;8.8;19.6;10.6
119;Totaal mannen en vrouwen;15 tot 75 jaar;Gelderland (PV);2022;1599400.0;26.6;42.8;30.6;8.2;18.4;42.8;19.9;10.7;8.2;10.8;7.6;16.8;17.1;8.8;19.9;10.7
120;Totaal mannen en vrouwen;15 tot 75 jaar;Gelderland (PV);2023;1608800.0;26.5;42.3;31.2;8.4;18.1;42.3;20.1;11.1;8.4;10.7;7.4;16.6;17.0;8.7;20.1;11.1
121;Totaal mannen en vrouwen;15 tot 75 jaar;Utrecht (PV);2013;940200.0;27.2;37.7;35.0;8.8;18.4;37.7;19.9;15.1;8.8;10.5;7.9;14.1;12.9;10.8;19.9;15.1
122;Totaal mannen en vrouwen;15 tot 75 jaar;Utrecht (PV);2014;948700.0;26.8;37.7;35.6;8.8;17.9;37.7;20.0;15.6;8.8;10.1;7.8;13.8;12.9;10.9;20.0;15.6
