ID;Geslacht;RegioS;Perioden;TotaalBevolking15Tot65Jaar_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;WerklozeBeroepsbevolking_4;NietBeroepsbevolking_5;BrutoArbeidsparticipatie_6;NettoArbeidsparticipatie_7;GeregistreerdeWerklozen_8;Werkloosheidspercentage_9
26;Mannen en vrouwen;Nederland;2006;10952;7507;7097;410.0;3444;68.5;64.8;260.0;5.5
27;Mannen en vrouwen;Nederland;2007;10968;7653;7309;344.0;3315;69.8;66.6;182.0;4.5
28;Mannen en vrouwen;Nederland;2008;10997;7801;7501;300.0;3196;70.9;68.2;145.0;3.8
29;Mannen en vrouwen;Nederland;2009;11014;7846;7469;377.0;3167;71.2;67.8;191.0;4.8
30;Mannen en vrouwen;Nederland;2010;11017;7817;7391;426.0;3200;71.0;67.1;231.0;5.4
31;Mannen en vrouwen;Nederland;2011;10994;7811;7392;419.0;3183;71.1;67.2;213.0;5.4
32;Mannen en vrouwen;Nederland;2012;10992;7894;7387;507.0;3098;71.8;67.2;252.0;6.4
33;Mannen en vrouwen;Nederland;2013;11013;7939;7283;656.0;3074;72.1;66.1;335.0;8.3
34;Mannen en vrouwen;Noord-Nederland (LD);1981;1001;542;501;41.0;459;54.1;50.0;42.0;7.6
35;Mannen en vrouwen;Noord-Nederland (LD);1982;1013;541;483;57.0;472;53.4;47.7;60.0;10.6
36;Mannen en vrouwen;Noord-Nederland (LD);1983;1025;546;474;72.0;479;53.3;46.3;77.0;13.1
37;Mannen en vrouwen;Noord-Nederland (LD);1984;1037;545;473;72.0;492;52.6;45.6;77.0;13.2
38;Mannen en vrouwen;Noord-Nederland (LD);1985;1047;550;480;70.0;497;52.5;45.9;70.0;12.7
39;Mannen en vrouwen;Noord-Nederland (LD);1986;1054;566;504;62.0;488;53.7;47.9;60.0;10.9
40;Mannen en vrouwen;Noord-Nederland (LD);1987;1062;575;516;59.0;487;54.2;48.6;54.0;10.3
41;Mannen en vrouwen;Noord-Nederland (LD);1988;1067;581;520;62.0;485;54.5;48.7;60.0;10.6
42;Mannen en vrouwen;Noord-Nederland (LD);1989;1069;579;523;56.0;490;54.2;48.9;55.0;9.7
43;Mannen en vrouwen;Noord-Nederland (LD);1990;1072;596;543;53.0;475;55.6;50.7;51.0;8.9
44;Mannen en vrouwen;Noord-Nederland (LD);1991;1075;614;565;49.0;460;57.2;52.6;45.0;8.0
45;Mannen en vrouwen;Noord-Nederland (LD);1992;1077;625;570;55.0;451;58.1;52.9;45.0;8.9
46;Mannen en vrouwen;Noord-Nederland (LD);1993;1081;617;558;59.0;464;57.1;51.7;56.0;9.5
47;Mannen en vrouwen;Noord-Nederland (LD);1994;1086;627;563;64.0;459;57.7;51.8;62.0;10.3
48;Mannen en vrouwen;Noord-Nederland (LD);1995;1090;646;583;63.0;444;59.2;53.5;62.0;9.7
49;Mannen en vrouwen;Noord-Nederland (LD);1996;1093;663;597;66.0;430;60.7;54.6;62.0;10.0
50;Mannen en vrouwen;Noord-Nederland (LD);1997;1095;676;620;56.0;420;61.7;56.6;52.0;8.3
51;Mannen en vrouwen;Noord-Nederland (LD);1998;1098;693;643;50.0;405;63.1;58.6;42.0;7.2
52;Mannen en vrouwen;Noord-Nederland (LD);1999;1103;704;657;47.0;399;63.8;59.6;36.0;6.6
53;Mannen en vrouwen;Noord-Nederland (LD);2000;1108;704;669;36.0;404;63.5;60.3;29.0;5.0
54;Mannen en vrouwen;Noord-Nederland (LD);2001 voor revisie;1117;724;690;34.0;393;64.8;61.8;14.0;4.7
55;Mannen en vrouwen;Noord-Nederland (LD);2001 na revisie;1128;717;683;34.0;411;63.6;60.5;21.0;4.8
56;Mannen en vrouwen;Noord-Nederland (LD);2002;1125;729;689;40.0;396;64.8;61.2;24.0;5.5
57;Mannen en vrouwen;Noord-Nederland (LD);2003;1129;740;691;49.0;389;65.5;61.2;34.0;6.7
58;Mannen en vrouwen;Noord-Nederland (LD);2004;1130;739;679;60.0;391;65.4;60.1;44.0;8.1
59;Mannen en vrouwen;Noord-Nederland (LD);2005;1129;742;680;61.0;388;65.7;60.2;41.0;8.3
60;Mannen en vrouwen;Noord-Nederland (LD);2006;1127;742;694;48.0;385;65.8;61.5;33.0;6.5
61;Mannen en vrouwen;Noord-Nederland (LD);2007;1128;769;725;44.0;359;68.2;64.3;23.0;5.7
62;Mannen en vrouwen;Noord-Nederland (LD);2008;1128;782;744;38.0;345;69.4;66.0;18.0;4.9
63;Mannen en vrouwen;Noord-Nederland (LD);2009;1125;784;737;47.0;342;69.6;65.5;23.0;6.0
64;Mannen en vrouwen;Noord-Nederland (LD);2010;1126;775;726;49.0;352;68.8;64.4;29.0;6.3
65;Mannen en vrouwen;Noord-Nederland (LD);2011;1120;765;718;47.0;355;68.3;64.1;27.0;6.2
66;Mannen en vrouwen;Noord-Nederland (LD);2012;1115;778;723;56.0;337;69.8;64.8;32.0;7.2
67;Mannen en vrouwen;Noord-Nederland (LD);2013;1112;786;714;71.0;326;70.7;64.3;39.0;9.1
68;Mannen en vrouwen;Oost-Nederland (LD);1981;1824;1027;959;68.0;797;56.3;52.6;65.0;6.6
69;Mannen en vrouwen;Oost-Nederland (LD);1982;1859;1033;933;100.0;826;55.6;50.2;103.0;9.7
70;Mannen en vrouwen;Oost-Nederland (LD);1983;1887;1052;926;127.0;834;55.8;49.1;138.0;12.0
71;Mannen en vrouwen;Oost-Nederland (LD);1984;1917;1059;936;122.0;859;55.2;48.8;129.0;11.5
72;Mannen en vrouwen;Oost-Nederland (LD);1985;1950;1076;964;112.0;874;55.2;49.5;109.0;10.4
73;Mannen en vrouwen;Oost-Nederland (LD);1986;1982;1113;1006;107.0;868;56.2;50.8;99.0;9.6
74;Mannen en vrouwen;Oost-Nederland (LD);1987;2012;1135;1029;106.0;876;56.4;51.2;91.0;9.4
75;Mannen en vrouwen;Oost-Nederland (LD);1988;2033;1164;1065;99.0;870;57.2;52.4;91.0;8.5
76;Mannen en vrouwen;Oost-Nederland (LD);1989;2051;1164;1073;91.0;887;56.8;52.3;83.0;7.8
77;Mannen en vrouwen;Oost-Nederland (LD);1990;2067;1213;1126;87.0;854;58.7;54.5;71.0;7.2
78;Mannen en vrouwen;Oost-Nederland (LD);1991;2083;1219;1138;81.0;864;58.5;54.6;62.0;6.7
79;Mannen en vrouwen;Oost-Nederland (LD);1992;2098;1253;1175;78.0;845;59.7;56.0;66.0;6.3
80;Mannen en vrouwen;Oost-Nederland (LD);1993;2118;1277;1183;93.0;841;60.3;55.9;80.0;7.3
81;Mannen en vrouwen;Oost-Nederland (LD);1994;2134;1299;1193;106.0;835;60.9;55.9;93.0;8.2
82;Mannen en vrouwen;Oost-Nederland (LD);1995;2148;1330;1225;105.0;818;61.9;57.0;86.0;7.9
83;Mannen en vrouwen;Oost-Nederland (LD);1996;2160;1344;1247;97.0;816;62.2;57.7;79.0;7.2
84;Mannen en vrouwen;Oost-Nederland (LD);1997;2172;1376;1293;83.0;795;63.4;59.5;70.0;6.0
85;Mannen en vrouwen;Oost-Nederland (LD);1998;2186;1406;1339;67.0;780;64.3;61.2;51.0;4.8
86;Mannen en vrouwen;Oost-Nederland (LD);1999;2205;1448;1389;59.0;757;65.7;63.0;41.0;4.0
87;Mannen en vrouwen;Oost-Nederland (LD);2000;2218;1475;1422;54.0;743;66.5;64.1;34.0;3.6
88;Mannen en vrouwen;Oost-Nederland (LD);2001 voor revisie;2239;1502;1449;53.0;737;67.1;64.7;20.0;3.5
89;Mannen en vrouwen;Oost-Nederland (LD);2001 na revisie;2250;1488;1433;54.0;763;66.1;63.7;30.0;3.7
90;Mannen en vrouwen;Oost-Nederland (LD);2002;2261;1506;1445;61.0;755;66.6;63.9;31.0;4.1
91;Mannen en vrouwen;Oost-Nederland (LD);2003;2276;1523;1444;79.0;753;66.9;63.4;50.0;5.2
92;Mannen en vrouwen;Oost-Nederland (LD);2004;2284;1544;1441;102.0;740;67.6;63.1;65.0;6.6
93;Mannen en vrouwen;Oost-Nederland (LD);2005;2290;1550;1446;103.0;740;67.7;63.2;68.0;6.7
94;Mannen en vrouwen;Oost-Nederland (LD);2006;2297;1572;1487;85.0;725;68.4;64.8;53.0;5.4
95;Mannen en vrouwen;Oost-Nederland (LD);2007;2303;1609;1536;72.0;695;69.8;66.7;37.0;4.5
96;Mannen en vrouwen;Oost-Nederland (LD);2008;2309;1642;1579;63.0;667;71.1;68.4;33.0;3.9
97;Mannen en vrouwen;Oost-Nederland (LD);2009;2312;1640;1565;75.0;672;70.9;67.7;41.0;4.6
98;Mannen en vrouwen;Oost-Nederland (LD);2010;2313;1641;1556;85.0;672;70.9;67.2;45.0;5.2
99;Mannen en vrouwen;Oost-Nederland (LD);2011;2308;1642;1556;86.0;666;71.2;67.4;44.0;5.2
100;Mannen en vrouwen;Oost-Nederland (LD);2012;2305;1646;1544;102.0;659;71.4;67.0;56.0;6.2
101;Mannen en vrouwen;Oost-Nederland (LD);2013;2308;1669;1531;138.0;638;72.3;66.4;73.0;8.3
102;Mannen en vrouwen;West-Nederland (LD);1981;4418;2619;2481;138.0;1799;59.3;56.2;118.0;5.3
103;Mannen en vrouwen;West-Nederland (LD);1982;4453;2620;2429;191.0;1833;58.8;54.5;176.0;7.3
104;Mannen en vrouwen;West-Nederland (LD);1983;4491;2655;2417;238.0;1836;59.1;53.8;235.0;9.0
105;Mannen en vrouwen;West-Nederland (LD);1984;4531;2646;2412;234.0;1885;58.4;53.2;229.0;8.8
106;Mannen en vrouwen;West-Nederland (LD);1985;4579;2665;2447;218.0;1914;58.2;53.4;201.0;8.2
107;Mannen en vrouwen;West-Nederland (LD);1986;4617;2732;2520;212.0;1886;59.2;54.6;204.0;7.8
108;Mannen en vrouwen;West-Nederland (LD);1987;4677;2756;2537;220.0;1920;58.9;54.2;212.0;8.0
109;Mannen en vrouwen;West-Nederland (LD);1988;4717;2810;2590;220.0;1907;59.6;54.9;202.0;7.8
110;Mannen en vrouwen;West-Nederland (LD);1989;4745;2862;2651;211.0;1883;60.3;55.9;186.0;7.4
111;Mannen en vrouwen;West-Nederland (LD);1990;4775;2898;2707;191.0;1876;60.7;56.7;163.0;6.6
112;Mannen en vrouwen;West-Nederland (LD);1991;4811;2974;2790;184.0;1837;61.8;58.0;156.0;6.2
113;Mannen en vrouwen;West-Nederland (LD);1992;4843;3026;2833;192.0;1817;62.5;58.5;155.0;6.4
114;Mannen en vrouwen;West-Nederland (LD);1993;4877;3084;2859;225.0;1794;63.2;58.6;193.0;7.3
115;Mannen en vrouwen;West-Nederland (LD);1994;4901;3102;2840;262.0;1798;63.3;58.0;232.0;8.4
116;Mannen en vrouwen;West-Nederland (LD);1995;4901;3157;2906;251.0;1744;64.4;59.3;224.0;7.9
117;Mannen en vrouwen;West-Nederland (LD);1996;4917;3192;2961;232.0;1725;64.9;60.2;211.0;7.3
118;Mannen en vrouwen;West-Nederland (LD);1997;4934;3263;3050;213.0;1671;66.1;61.8;180.0;6.5
119;Mannen en vrouwen;West-Nederland (LD);1998;4955;3298;3132;166.0;1657;66.6;63.2;138.0;5.0
120;Mannen en vrouwen;West-Nederland (LD);1999;4986;3368;3233;135.0;1619;67.5;64.8;101.0;4.0
121;Mannen en vrouwen;West-Nederland (LD);2000;5020;3434;3304;130.0;1586;68.4;65.8;89.0;3.8
122;Mannen en vrouwen;West-Nederland (LD);2001 voor revisie;5055;3443;3331;112.0;1612;68.1;65.9;46.0;3.3
123;Mannen en vrouwen;West-Nederland (LD);2001 na revisie;5020;3414;3302;112.0;1606;68.0;65.8;65.0;3.3
124;Mannen en vrouwen;West-Nederland (LD);2002;5079;3477;3343;134.0;1602;68.5;65.8;77.0;3.9
125;Mannen en vrouwen;West-Nederland (LD);2003;5104;3502;3321;181.0;1602;68.6;65.1;116.0;5.2
126;Mannen en vrouwen;West-Nederland (LD);2004;5122;3528;3318;210.0;1594;68.9;64.8;139.0;6.0
127;Mannen en vrouwen;West-Nederland (LD);2005;5136;3551;3332;218.0;1585;69.1;64.9;135.0;6.2
128;Mannen en vrouwen;West-Nederland (LD);2006;5146;3575;3383;192.0;1571;69.5;65.7;117.0;5.4
129;Mannen en vrouwen;West-Nederland (LD);2007;5158;3633;3478;155.0;1526;70.4;67.4;85.0;4.3
130;Mannen en vrouwen;West-Nederland (LD);2008;5183;3703;3567;137.0;1480;71.4;68.8;65.0;3.7
131;Mannen en vrouwen;West-Nederland (LD);2009;5203;3746;3573;173.0;1458;72.0;68.7;82.0;4.6
132;Mannen en vrouwen;West-Nederland (LD);2010;5202;3731;3532;200.0;1471;71.7;67.9;105.0;5.3
133;Mannen en vrouwen;West-Nederland (LD);2011;5203;3740;3535;205.0;1463;71.9;67.9;100.0;5.5
134;Mannen en vrouwen;West-Nederland (LD);2012;5221;3793;3540;253.0;1428;72.6;67.8;115.0;6.7
135;Mannen en vrouwen;West-Nederland (LD);2013;5241;3807;3491;317.0;1433;72.6;66.6;158.0;8.3
136;Mannen en vrouwen;Zuid-Nederland (LD);1981;2122;1191;1101;90.0;931;56.1;51.9;92.0;7.6
137;Mannen en vrouwen;Zuid-Nederland (LD);1982;2150;1191;1068;122.0;959;55.4;49.7;128.0;10.3
138;Mannen en vrouwen;Zuid-Nederland (LD);1983;2174;1204;1055;149.0;970;55.4;48.5;161.0;12.4
139;Mannen en vrouwen;Zuid-Nederland (LD);1984;2201;1210;1065;146.0;991;55.0;48.4;156.0;12.0
140;Mannen en vrouwen;Zuid-Nederland (LD);1985;2229;1229;1100;129.0;1000;55.1;49.3;131.0;10.5
141;Mannen en vrouwen;Zuid-Nederland (LD);1986;2248;1260;1151;109.0;988;56.1;51.2;111.0;8.6
142;Mannen en vrouwen;Zuid-Nederland (LD);1987;2274;1276;1175;100.0;998;56.1;51.7;99.0;7.9
143;Mannen en vrouwen;Zuid-Nederland (LD);1988;2291;1312;1203;109.0;978;57.3;52.5;101.0;8.3
144;Mannen en vrouwen;Zuid-Nederland (LD);1989;2303;1324;1230;94.0;979;57.5;53.4;83.0;7.1
145;Mannen en vrouwen;Zuid-Nederland (LD);1990;2315;1355;1268;87.0;959;58.6;54.8;73.0;6.4
146;Mannen en vrouwen;Zuid-Nederland (LD);1991;2325;1382;1296;85.0;943;59.4;55.8;71.0;6.2
147;Mannen en vrouwen;Zuid-Nederland (LD);1992;2331;1392;1307;85.0;939;59.7;56.1;70.0;6.1
148;Mannen en vrouwen;Zuid-Nederland (LD);1993;2344;1429;1325;104.0;915;61.0;56.5;86.0;7.3
149;Mannen en vrouwen;Zuid-Nederland (LD);1994;2353;1439;1325;114.0;914;61.2;56.3;99.0;7.9
150;Mannen en vrouwen;Zuid-Nederland (LD);1995;2359;1464;1350;114.0;895;62.1;57.2;93.0;7.8
151;Mannen en vrouwen;Zuid-Nederland (LD);1996;2364;1486;1380;106.0;877;62.9;58.4;89.0;7.2
152;Mannen en vrouwen;Zuid-Nederland (LD);1997;2365;1517;1421;96.0;848;64.2;60.1;73.0;6.3
153;Mannen en vrouwen;Zuid-Nederland (LD);1998;2367;1544;1473;71.0;823;65.2;62.2;56.0;4.6
154;Mannen en vrouwen;Zuid-Nederland (LD);1999;2372;1550;1488;61.0;822;65.3;62.8;41.0;4.0
155;Mannen en vrouwen;Zuid-Nederland (LD);2000;2383;1574;1523;51.0;809;66.1;63.9;35.0;3.3
156;Mannen en vrouwen;Zuid-Nederland (LD);2001 voor revisie;2391;1604;1551;53.0;787;67.1;64.9;21.0;3.3
157;Mannen en vrouwen;Zuid-Nederland (LD);2001 na revisie;2402;1569;1518;51.0;833;65.3;63.2;30.0;3.3
158;Mannen en vrouwen;Zuid-Nederland (LD);2002;2397;1600;1533;66.0;797;66.7;64.0;37.0;4.2
159;Mannen en vrouwen;Zuid-Nederland (LD);2003;2395;1599;1512;87.0;795;66.8;63.1;56.0;5.5
160;Mannen en vrouwen;Zuid-Nederland (LD);2004;2390;1607;1503;104.0;783;67.2;62.9;72.0;6.5
161;Mannen en vrouwen;Zuid-Nederland (LD);2005;2385;1613;1514;99.0;773;67.6;63.5;66.0;6.1
162;Mannen en vrouwen;Zuid-Nederland (LD);2006;2382;1618;1533;85.0;763;67.9;64.4;57.0;5.3
163;Mannen en vrouwen;Zuid-Nederland (LD);2007;2379;1642;1570;73.0;736;69.1;66.0;38.0;4.4
164;Mannen en vrouwen;Zuid-Nederland (LD);2008;2376;1673;1611;62.0;704;70.4;67.8;30.0;3.7
165;Mannen en vrouwen;Zuid-Nederland (LD);2009;2373;1677;1594;83.0;696;70.7;67.2;44.0;4.9
166;Mannen en vrouwen;Zuid-Nederland (LD);2010;2376;1670;1578;92.0;706;70.3;66.4;52.0;5.5
167;Mannen en vrouwen;Zuid-Nederland (LD);2011;2363;1664;1584;81.0;699;70.4;67.0;42.0;4.8
168;Mannen en vrouwen;Zuid-Nederland (LD);2012;2351;1677;1581;96.0;674;71.3;67.2;49.0;5.7
169;Mannen en vrouwen;Zuid-Nederland (LD);2013;2353;1677;1547;130.0;676;71.3;65.7;65.0;7.8
170;Mannen en vrouwen;Groningen (PV);1981;362;194;177;17.0;168;53.6;49.0;17.0;8.7
171;Mannen en vrouwen;Groningen (PV);1982;366;193;171;22.0;173;52.8;46.8;22.0;11.3
172;Mannen en vrouwen;Groningen (PV);1983;370;194;168;27.0;175;52.6;45.3;28.0;13.8
173;Mannen en vrouwen;Groningen (PV);1984;373;194;168;26.0;179;52.1;45.1;27.0;13.5
174;Mannen en vrouwen;Groningen (PV);1985;376;197;171;26.0;179;52.3;45.5;25.0;13.1
175;Mannen en vrouwen;Groningen (PV);1986;377;204;180;24.0;173;54.1;47.8;23.0;11.7
176;Mannen en vrouwen;Groningen (PV);1987;378;208;185;24.0;170;55.0;48.8;23.0;11.3
177;Mannen en vrouwen;Groningen (PV);1988;379;204;179;25.0;175;53.8;47.2;26.0;12.2
178;Mannen en vrouwen;Groningen (PV);1989;379;199;177;22.0;179;52.7;46.9;25.0;11.1
179;Mannen en vrouwen;Groningen (PV);1990;379;211;187;24.0;168;55.6;49.2;23.0;11.4
180;Mannen en vrouwen;Groningen (PV);1991;380;216;197;19.0;163;56.9;51.9;19.0;8.8
181;Mannen en vrouwen;Groningen (PV);1992;380;218;198;20.0;162;57.4;52.0;19.0;9.4
182;Mannen en vrouwen;Groningen (PV);1993;381;213;193;21.0;167;56.1;50.6;22.0;9.7
183;Mannen en vrouwen;Groningen (PV);1994;382;218;194;24.0;163;57.2;50.9;25.0;11.1
184;Mannen en vrouwen;Groningen (PV);1995;382;219;196;24.0;163;57.3;51.2;26.0;10.7
185;Mannen en vrouwen;Groningen (PV);1996;382;229;201;28.0;154;59.8;52.5;27.0;12.1
186;Mannen en vrouwen;Groningen (PV);1997;382;234;212;22.0;148;61.2;55.5;23.0;9.4
187;Mannen en vrouwen;Groningen (PV);1998;381;239;220;19.0;142;62.7;57.7;19.0;7.9
188;Mannen en vrouwen;Groningen (PV);1999;383;239;221;18.0;145;62.2;57.6;15.0;7.5
189;Mannen en vrouwen;Groningen (PV);2000;386;244;231;13.0;142;63.3;60.0;11.0;5.2
190;Mannen en vrouwen;Groningen (PV);2001 voor revisie;388;246;234;13.0;142;63.5;60.2;4.0;5.1
191;Mannen en vrouwen;Groningen (PV);2001 na revisie;389;243;229;14.0;146;62.4;58.7;7.0;5.9
192;Mannen en vrouwen;Groningen (PV);2002;390;247;230;17.0;144;63.2;58.9;9.0;6.9
193;Mannen en vrouwen;Groningen (PV);2003;392;247;229;19.0;144;63.2;58.4;13.0;7.6
194;Mannen en vrouwen;Groningen (PV);2004;392;253;231;22.0;139;64.5;58.8;16.0;8.9
195;Mannen en vrouwen;Groningen (PV);2005;393;252;227;25.0;141;64.2;57.8;16.0;9.9
196;Mannen en vrouwen;Groningen (PV);2006;392;250;232;17.0;142;63.7;59.2;12.0;7.0
197;Mannen en vrouwen;Groningen (PV);2007;393;265;247;19.0;127;67.6;62.8;9.0;7.1
198;Mannen en vrouwen;Groningen (PV);2008;392;263;247;15.0;129;67.0;63.1;7.0;5.9
199;Mannen en vrouwen;Groningen (PV);2009;391;260;243;17.0;131;66.5;62.2;9.0;6.5
200;Mannen en vrouwen;Groningen (PV);2010;392;265;247;18.0;127;67.6;63.0;11.0;6.8
201;Mannen en vrouwen;Groningen (PV);2011;391;261;242;19.0;129;66.9;62.0;11.0;7.3
202;Mannen en vrouwen;Groningen (PV);2012;391;267;247;20.0;124;68.2;63.1;11.0;7.5
203;Mannen en vrouwen;Groningen (PV);2013;391;268;242;26.0;123;68.5;61.9;13.0;9.6
204;Mannen en vrouwen;Friesland (PV);1981;367;198;184;14.0;169;54.0;50.2;15.0;7.0
205;Mannen en vrouwen;Friesland (PV);1982;372;199;178;20.0;173;53.5;48.0;22.0;10.2
206;Mannen en vrouwen;Friesland (PV);1983;377;202;177;25.0;175;53.5;46.8;28.0;12.4
207;Mannen en vrouwen;Friesland (PV);1984;382;201;175;26.0;181;52.6;45.8;29.0;13.0
208;Mannen en vrouwen;Friesland (PV);1985;386;202;177;25.0;183;52.5;45.9;26.0;12.5
209;Mannen en vrouwen;Friesland (PV);1986;388;206;184;22.0;181;53.2;47.5;22.0;10.8
210;Mannen en vrouwen;Friesland (PV);1987;391;208;187;21.0;183;53.2;47.8;19.0;10.3
211;Mannen en vrouwen;Friesland (PV);1988;393;214;193;22.0;179;54.5;49.0;20.0;10.0
212;Mannen en vrouwen;Friesland (PV);1989;395;215;194;22.0;179;54.5;49.1;19.0;10.0
213;Mannen en vrouwen;Friesland (PV);1990;396;218;200;17.0;178;55.0;50.7;17.0;8.0
214;Mannen en vrouwen;Friesland (PV);1991;397;224;206;18.0;173;56.4;51.8;17.0;8.0
215;Mannen en vrouwen;Friesland (PV);1992;398;230;210;20.0;168;57.7;52.7;16.0;8.7
216;Mannen en vrouwen;Friesland (PV);1993;400;226;204;22.0;174;56.5;51.0;21.0;9.8
217;Mannen en vrouwen;Friesland (PV);1994;402;227;206;22.0;175;56.5;51.1;23.0;9.5
218;Mannen en vrouwen;Friesland (PV);1995;404;238;216;22.0;166;58.9;53.5;22.0;9.1
219;Mannen en vrouwen;Friesland (PV);1996;407;245;222;23.0;162;60.1;54.5;22.0;9.3
220;Mannen en vrouwen;Friesland (PV);1997;408;253;231;21.0;156;61.9;56.6;19.0;8.5
221;Mannen en vrouwen;Friesland (PV);1998;411;256;238;18.0;154;62.4;58.0;14.0;7.1
222;Mannen en vrouwen;Friesland (PV);1999;412;266;251;15.0;147;64.5;60.8;12.0;5.6
223;Mannen en vrouwen;Friesland (PV);2000;415;261;248;13.0;154;63.0;59.8;10.0;5.1
224;Mannen en vrouwen;Friesland (PV);2001 voor revisie;418;273;261;13.0;145;65.3;62.3;6.0;4.6
225;Mannen en vrouwen;Friesland (PV);2001 na revisie;421;270;258;12.0;152;64.0;61.1;8.0;4.5
226;Mannen en vrouwen;Friesland (PV);2002;422;275;262;13.0;147;65.1;62.0;8.0;4.7
227;Mannen en vrouwen;Friesland (PV);2003;424;280;263;18.0;143;66.2;62.1;13.0;6.3
228;Mannen en vrouwen;Friesland (PV);2004;424;278;257;21.0;146;65.5;60.6;15.0;7.4
229;Mannen en vrouwen;Friesland (PV);2005;424;284;263;21.0;140;67.0;62.1;13.0;7.3
230;Mannen en vrouwen;Friesland (PV);2006;422;280;263;17.0;142;66.4;62.3;12.0;6.1
231;Mannen en vrouwen;Friesland (PV);2007;422;289;275;14.0;133;68.5;65.2;8.0;4.8
232;Mannen en vrouwen;Friesland (PV);2008;421;297;285;12.0;124;70.6;67.7;6.0;4.1
233;Mannen en vrouwen;Friesland (PV);2009;420;300;284;16.0;120;71.5;67.7;8.0;5.3
234;Mannen en vrouwen;Friesland (PV);2010;421;293;276;18.0;127;69.7;65.5;10.0;6.0
235;Mannen en vrouwen;Friesland (PV);2011;418;291;274;16.0;127;69.6;65.6;10.0;5.7
236;Mannen en vrouwen;Friesland (PV);2012;415;293;273;21.0;122;70.7;65.7;13.0;7.0
237;Mannen en vrouwen;Friesland (PV);2013;413;298;270;28.0;115;72.2;65.5;16.0;9.3
238;Mannen en vrouwen;Drenthe (PV);1981;272;150;140;10.0;123;55.0;51.2;10.0;6.8
239;Mannen en vrouwen;Drenthe (PV);1982;276;149;134;15.0;127;54.1;48.5;17.0;10.3
240;Mannen en vrouwen;Drenthe (PV);1983;278;150;130;20.0;128;54.0;46.8;22.0;13.2
241;Mannen en vrouwen;Drenthe (PV);1984;282;150;130;20.0;133;53.0;46.1;21.0;13.1
242;Mannen en vrouwen;Drenthe (PV);1985;285;151;132;19.0;134;52.9;46.3;19.0;12.5
