ID;Geslacht;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;KorterDan1Jaar_2;KorterDanEenHalfJaar_3;k_6Tot12Maanden_4;LangerDan1Jaar_5;k_1Tot5Jaar_6;k_1Tot2Jaar_7;k_2Tot5Jaar_8;k_5Tot10Jaar_9;k_10Tot20Jaar_10;k_20JaarOfLanger_11;LangerDan1JaarExacteDuurOnbekend_12;Onbekend_13;GemiddeldeAncienniteit_14
35;Totaal mannen en vrouwen;Totaal personen;2020 1e kwartaal;9174;1875;1043;833;7292;2826;1151;1675;1248;1736;1372;111;7;9.1
36;Totaal mannen en vrouwen;Totaal personen;2020 2e kwartaal;9051;1709;886;824;7334;2827;1148;1679;1251;1718;1422;117;7;9.3
37;Totaal mannen en vrouwen;Totaal personen;2020 3e kwartaal;9100;1675;864;811;7416;2898;1145;1754;1156;1708;1537;117;9;9.3
38;Totaal mannen en vrouwen;Totaal personen;2020 4e kwartaal;9138;1689;965;724;7437;2924;1102;1822;1224;1680;1497;112;12;9.2
39;Totaal mannen en vrouwen;Totaal personen;2020;9116;1737;939;798;7370;2869;1136;1732;1220;1711;1457;114;9;9.2
40;Totaal mannen en vrouwen;Totaal personen;2021 1e kwartaal;9135;1527;916;611;7330;3205;1117;2088;1212;1630;1283;0;278;8.7
41;Totaal mannen en vrouwen;Totaal personen;2021 2e kwartaal;9207;1657;938;719;7306;3032;1040;1992;1289;1643;1342;0;245;8.7
42;Totaal mannen en vrouwen;Totaal personen;2021 3e kwartaal;9308;1745;1081;664;7318;2846;992;1854;1413;1657;1402;0;245;8.6
43;Totaal mannen en vrouwen;Totaal personen;2021 4e kwartaal;9368;1800;1125;676;7331;2978;973;2005;1356;1627;1371;0;236;8.5
44;Totaal mannen en vrouwen;Totaal personen;2021;9254;1682;1015;668;7321;3015;1031;1985;1317;1639;1349;0;251;8.6
45;Totaal mannen en vrouwen;Totaal personen;2022 1e kwartaal;9412;1924;1121;803;7267;3041;944;2097;1300;1579;1347;0;222;8.5
46;Totaal mannen en vrouwen;Totaal personen;2022 2e kwartaal;9544;2037;1111;926;7275;2958;950;2008;1369;1577;1372;0;232;8.4
47;Totaal mannen en vrouwen;Totaal personen;2022 3e kwartaal;9573;1971;1112;859;7360;2872;1044;1828;1489;1596;1403;0;241;8.4
48;Totaal mannen en vrouwen;Totaal personen;2022 4e kwartaal;9663;1967;1145;822;7462;3034;1133;1901;1438;1596;1394;0;233;8.4
49;Totaal mannen en vrouwen;Totaal personen;2022;9548;1975;1122;853;7341;2976;1018;1959;1399;1587;1379;0;232;8.4
50;Totaal mannen en vrouwen;Totaal personen;2023 1e kwartaal;9668;1976;1095;881;7450;3182;1196;1986;1384;1540;1344;0;242;8.4
51;Totaal mannen en vrouwen;Totaal personen;2023 2e kwartaal;9731;1983;1051;931;7501;3174;1273;1901;1457;1517;1353;0;247;8.2
52;Totaal mannen en vrouwen;Totaal personen;2023 3e kwartaal;9752;1907;1034;873;7587;3005;1249;1756;1634;1539;1410;0;258;8.4
53;Totaal mannen en vrouwen;Totaal personen;2023 4e kwartaal;9796;1872;1068;804;7664;3206;1243;1962;1569;1514;1374;0;260;8.3
54;Totaal mannen en vrouwen;Totaal personen;2023;9737;1934;1062;873;7551;3142;1240;1901;1511;1528;1370;0;252;8.3
55;Totaal mannen en vrouwen;Totaal personen;2024 1e kwartaal;9767;1838;1030;808;7673;3319;1270;2050;1539;1474;1340;0;256;8.3
56;Totaal mannen en vrouwen;Totaal personen;2024 2e kwartaal;9822;1836;988;849;7716;3297;1274;2023;1629;1456;1333;0;270;8.2
57;Totaal mannen en vrouwen;Totaal personen;2024 3e kwartaal;9792;1764;967;797;7761;3072;1230;1842;1787;1513;1388;0;267;8.4
58;Totaal mannen en vrouwen;Totaal personen;2024 4e kwartaal;9809;1752;1032;720;7780;3254;1210;2044;1734;1464;1328;0;278;8.2
59;Totaal mannen en vrouwen;Totaal personen;2024;9798;1798;1004;793;7732;3236;1246;1990;1672;1477;1347;0;268;8.3
60;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2013 1e kwartaal;1059;361;195;166;696;461;196;264;101;65;56;12;3;4.3
61;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2013 2e kwartaal;1053;362;192;170;688;451;204;247;108;67;54;9;2;4.3
62;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2013 3e kwartaal;1029;333;192;142;694;442;196;247;111;76;55;9;2;4.4
63;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2013 4e kwartaal;1080;367;220;146;711;458;191;267;114;77;52;11;2;4.3
64;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2013;1055;356;200;156;697;453;197;256;109;71;54;10;2;4.3
65;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2014 1e kwartaal;1082;352;190;162;727;470;209;261;121;72;52;11;3;4.4
66;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2014 2e kwartaal;1060;351;202;149;707;461;204;257;125;70;40;10;2;4.2
67;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2014 3e kwartaal;1017;335;198;138;680;426;183;243;118;77;50;10;2;4.5
68;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2014 4e kwartaal;1071;384;234;150;685;442;182;260;117;71;46;9;1;4.2
69;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2014;1057;355;206;149;700;450;194;255;121;73;47;10;2;4.3
70;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2015 1e kwartaal;1082;403;224;178;677;437;193;244;122;65;41;11;2;4.1
71;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2015 2e kwartaal;1071;395;219;176;674;441;194;246;121;67;36;11;1;3.8
72;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2015 3e kwartaal;1012;372;221;151;638;400;174;226;113;73;41;12;1;4.0
73;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2015 4e kwartaal;1045;408;240;168;635;404;179;225;109;66;43;13;2;3.9
74;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2015 ;1052;395;226;168;656;420;185;235;116;68;40;11;2;4.0
75;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2016 1e kwartaal;1050;417;228;189;631;400;192;208;114;62;45;10;3;4.0
76;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2016 2e kwartaal;1044;410;230;180;631;411;208;203;101;62;45;11;2;3.9
77;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2016 3e kwartaal;996;384;242;141;610;378;187;191;102;70;44;16;2;4.0
78;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2016 4e kwartaal;1038;420;260;160;616;400;194;207;97;64;41;14;3;3.7
79;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2016;1032;408;240;168;622;397;195;202;103;65;44;13;2;3.9
80;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2017 1e kwartaal;1040;414;228;187;623;406;208;198;105;60;40;12;2;3.8
81;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2017 2e kwartaal;1027;413;225;188;612;411;211;200;90;58;41;12;2;3.7
82;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2017 3e kwartaal;987;392;231;161;592;381;196;185;90;63;46;12;2;4.0
83;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2017 4e kwartaal;1042;434;261;173;606;402;200;201;92;62;40;11;2;3.7
84;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2017;1024;413;236;177;608;400;204;196;94;61;42;12;2;3.8
85;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2018 1e kwartaal;1039;412;238;174;624;422;218;204;98;56;38;10;2;3.7
86;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2018 2e kwartaal;1014;395;217;179;617;417;213;204;88;55;42;14;2;3.8
87;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2018 3e kwartaal;975;381;224;157;591;397;184;213;85;56;42;12;3;3.8
88;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2018 4e kwartaal;1014;431;260;171;580;394;182;212;74;59;39;15;2;3.5
89;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2018;1010;405;235;170;603;408;199;208;86;56;40;13;2;3.7
90;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2019 1e kwartaal;1026;420;219;201;604;421;207;213;71;55;42;15;2;3.7
91;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2019 2e kwartaal;1029;429;237;192;597;408;210;198;69;61;44;15;3;3.8
92;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2019 3e kwartaal;981;374;220;154;605;405;199;206;76;64;45;15;2;3.9
93;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2019 4e kwartaal;1019;394;229;165;622;429;205;224;74;60;42;16;3;3.7
94;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2019;1014;404;226;178;607;416;205;210;73;60;43;15;2;3.8
95;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2020 1e kwartaal;1029;404;224;180;623;434;224;210;69;63;43;14;2;3.8
96;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2020 2e kwartaal;994;348;163;185;644;440;223;217;79;60;52;13;2;4.2
97;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2020 3e kwartaal;944;327;174;153;614;401;189;211;76;69;55;13;3;4.4
98;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2020 4e kwartaal;1028;372;226;146;652;450;216;234;68;73;49;12;3;4.1
99;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2020;999;363;197;166;633;431;213;218;73;66;50;13;3;4.1
100;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2021 1e kwartaal;877;274;151;123;546;377;174;202;57;66;46;0;57;4.3
101;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2021 2e kwartaal;866;284;144;140;534;366;168;198;63;60;44;0;49;4.1
102;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2021 3e kwartaal;820;289;190;98;490;316;149;167;81;49;44;0;42;4.1
103;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2021 4e kwartaal;879;325;222;104;506;351;151;199;68;44;44;0;48;3.8
104;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2021;861;293;177;116;519;352;161;192;67;55;44;0;49;4.1
105;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2022 1e kwartaal;886;348;198;150;493;354;149;206;62;40;37;0;45;3.6
106;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2022 2e kwartaal;876;356;185;171;478;323;135;188;72;41;42;0;43;3.7
107;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2022 3e kwartaal;827;325;190;135;454;294;141;153;71;43;46;0;47;3.9
108;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2022 4e kwartaal;892;348;217;131;493;345;165;180;65;40;42;0;51;3.6
109;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2022;870;344;197;147;480;329;147;182;68;41;42;0;47;3.7
110;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2023 1e kwartaal;906;351;182;169;503;361;185;176;60;43;39;0;53;3.5
111;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2023 2e kwartaal;885;339;176;163;497;359;188;171;60;39;39;0;48;3.5
112;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2023 3e kwartaal;835;297;169;128;487;330;169;161;71;43;42;0;51;3.8
113;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2023 4e kwartaal;895;316;189;127;525;376;196;180;69;43;37;0;54;3.5
114;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2023;880;326;179;147;503;357;184;172;65;42;39;0;51;3.6
115;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2024 1e kwartaal;909;321;169;151;529;390;201;189;65;38;36;0;59;3.4
116;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2024 2e kwartaal;885;304;158;145;522;369;184;185;72;40;40;0;59;3.7
117;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2024 3e kwartaal;830;263;156;107;519;352;173;180;85;42;40;0;48;3.9
118;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2024 4e kwartaal;899;300;188;112;542;387;181;207;78;36;41;0;56;3.6
119;Totaal mannen en vrouwen;Arbeidsduur: minder dan 12 uur per week;2024;881;297;168;129;528;375;185;190;75;39;39;0;55;3.7
120;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2013 1e kwartaal;1651;493;264;229;1155;663;273;390;195;163;116;18;3;5.3
121;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2013 2e kwartaal;1651;502;273;230;1146;656;288;368;196;164;116;14;3;5.3
122;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2013 3e kwartaal;1621;478;283;195;1141;635;272;363;197;177;117;15;2;5.4
123;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2013 4e kwartaal;1667;499;300;199;1166;658;271;387;203;176;112;18;2;5.3
124;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2013;1648;493;280;213;1152;653;276;377;198;170;115;16;2;5.3
125;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2014 1e kwartaal;1638;476;262;213;1159;653;276;377;204;175;111;17;3;5.5
126;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2014 2e kwartaal;1643;492;285;207;1148;649;278;371;208;172;102;16;3;5.3
127;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2014 3e kwartaal;1609;496;300;196;1111;606;254;352;202;179;111;14;2;5.5
128;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2014 4e kwartaal;1648;529;322;206;1118;627;252;375;205;172;104;11;2;5.3
129;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2014;1635;498;293;206;1134;634;265;369;205;174;107;14;3;5.4
130;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2015 1e kwartaal;1650;541;305;236;1107;621;265;356;211;162;99;15;2;5.2
131;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2015 2e kwartaal;1661;561;321;239;1099;618;271;347;211;166;88;16;2;4.9
132;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2015 3e kwartaal;1625;553;334;219;1071;576;248;328;198;182;97;18;2;5.1
133;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2015 4e kwartaal;1643;572;344;228;1069;586;254;332;199;169;97;19;2;5.0
134;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2015 ;1645;557;326;230;1086;600;260;341;205;169;95;17;2;5.1
135;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2016 1e kwartaal;1634;574;325;250;1056;577;272;305;202;156;104;17;3;5.1
136;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2016 2e kwartaal;1639;576;329;247;1060;597;285;312;190;153;102;17;2;5.0
137;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2016 3e kwartaal;1597;563;354;208;1032;557;262;295;182;161;110;22;2;5.1
138;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2016 4e kwartaal;1623;599;367;232;1021;572;269;303;178;148;102;21;3;4.9
139;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2016;1623;578;344;234;1043;576;272;304;188;155;105;19;3;5.0
140;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2017 1e kwartaal;1614;589;328;261;1023;580;288;292;180;145;101;17;2;5.0
141;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2017 2e kwartaal;1623;594;331;264;1027;596;301;295;168;148;98;18;2;4.9
142;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2017 3e kwartaal;1590;576;339;237;1011;562;277;285;170;154;107;17;2;5.1
143;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2017 4e kwartaal;1619;616;372;243;1001;582;291;291;164;144;95;16;2;4.8
144;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2017;1612;594;343;251;1015;580;289;291;171;148;100;17;2;4.9
145;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2018 1e kwartaal;1612;598;345;253;1012;601;308;293;170;136;87;16;3;4.7
146;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2018 2e kwartaal;1616;594;336;258;1020;597;305;292;162;140;101;20;2;4.9
147;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2018 3e kwartaal;1577;565;334;231;1009;588;275;312;152;148;103;18;3;4.9
148;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2018 4e kwartaal;1614;624;380;244;988;581;270;311;139;149;98;21;2;4.7
149;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2018;1605;595;349;247;1007;592;290;302;156;143;97;19;3;4.8
150;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2019 1e kwartaal;1615;608;330;278;1004;610;292;318;136;140;97;21;3;4.7
151;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2019 2e kwartaal;1620;620;348;272;997;609;302;307;127;144;96;21;3;4.7
152;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2019 3e kwartaal;1580;561;326;234;1018;602;291;311;138;152;104;20;2;4.9
153;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2019 4e kwartaal;1610;584;347;238;1023;630;299;330;130;140;101;21;3;4.7
154;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2019;1606;593;338;255;1010;613;296;316;133;144;100;21;3;4.8
155;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2020 1e kwartaal;1613;582;334;248;1028;636;313;323;130;141;101;20;3;4.8
156;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2020 2e kwartaal;1546;506;248;258;1037;646;311;335;139;132;101;19;2;4.9
157;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2020 3e kwartaal;1530;497;269;228;1030;616;286;330;135;143;116;19;3;5.2
158;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2020 4e kwartaal;1584;537;328;209;1043;651;301;350;126;144;106;16;4;4.9
159;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2020;1568;531;295;236;1034;637;303;335;132;140;106;19;3;4.9
160;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2021 1e kwartaal;1598;458;270;187;1053;654;284;370;122;144;132;0;88;5.4
161;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2021 2e kwartaal;1571;468;249;220;1028;626;268;358;136;139;127;0;74;5.2
162;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2021 3e kwartaal;1523;490;331;159;965;558;241;317;155;133;120;0;68;5.1
163;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2021 4e kwartaal;1561;530;350;180;958;595;244;351;127;119;117;0;73;4.9
164;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2021;1563;486;300;187;1001;608;259;349;135;134;124;0;76;5.1
165;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2022 1e kwartaal;1555;565;322;243;926;597;241;356;119;111;100;0;65;4.6
166;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2022 2e kwartaal;1573;598;309;289;913;556;230;326;139;117;102;0;63;4.5
167;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2022 3e kwartaal;1494;542;325;216;884;518;237;281;146;115;106;0;68;4.7
168;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2022 4e kwartaal;1577;567;350;217;938;587;274;313;132;117;102;0;72;4.5
169;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2022;1550;568;327;241;915;564;245;319;134;115;102;0;67;4.6
170;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2023 1e kwartaal;1585;562;294;268;945;605;295;310;131;112;96;0;78;4.5
171;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2023 2e kwartaal;1576;552;291;261;952;614;311;303;132;105;101;0;73;4.5
172;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2023 3e kwartaal;1513;497;287;210;942;574;293;281;152;107;109;0;74;4.7
173;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2023 4e kwartaal;1576;512;308;204;984;640;314;326;140;103;100;0;80;4.4
174;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2023;1563;531;295;236;956;608;303;305;139;107;101;0;76;4.5
175;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2024 1e kwartaal;1594;523;286;237;991;655;321;334;140;93;104;0;79;4.5
176;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2024 2e kwartaal;1578;511;276;235;983;634;304;330;154;96;99;0;84;4.5
177;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2024 3e kwartaal;1513;456;270;186;982;603;284;319;174;103;102;0;75;4.7
178;Totaal mannen en vrouwen;Arbeidsduur: minder dan 20 uur per week;2024 4e kwartaal;1573;496;312;184;994;628;287;340;169;99;98;0;83;4.5
