ID;Geslacht;Leeftijd;DiagnosenGGZHoofdgroepen;GestandaardiseerdInkomen;Verblijf;Perioden;PrimaireDiagnosen_1;PrimaireOfNevendiagnosen_2;PrimaireDiagnosen_3;PrimaireOfNevendiagnosen_4
41;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;1e 10%-groep (personen) (laag inkomen);Personen met verblijf;2021;15130.0;15130.0;1113;1113.0
42;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Totaal met en zonder verblijf;2015;121440.0;121440.0;9152;9152.0
43;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Totaal met en zonder verblijf;2016;123010.0;123010.0;9153;9153.0
44;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Totaal met en zonder verblijf;2017;119410.0;119410.0;8762;8762.0
45;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Totaal met en zonder verblijf;2018;123145.0;123145.0;8907;8907.0
46;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Totaal met en zonder verblijf;2019;115905.0;115905.0;8215;8215.0
47;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Totaal met en zonder verblijf;2020;109760.0;109760.0;7686;7686.0
48;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Totaal met en zonder verblijf;2021;113625.0;113625.0;7859;7859.0
49;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen zonder verblijf;2015;110025.0;110025.0;8292;8292.0
50;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen zonder verblijf;2016;111565.0;111565.0;8301;8301.0
51;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen zonder verblijf;2017;108905.0;108905.0;7991;7991.0
52;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen zonder verblijf;2018;112080.0;112080.0;8106;8106.0
53;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen zonder verblijf;2019;105380.0;105380.0;7469;7469.0
54;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen zonder verblijf;2020;100465.0;100465.0;7035;7035.0
55;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen zonder verblijf;2021;103285.0;103285.0;7144;7144.0
56;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen met verblijf;2015;11415.0;11415.0;860;860.0
57;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen met verblijf;2016;11445.0;11445.0;851;851.0
58;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen met verblijf;2017;10505.0;10505.0;770;770.0
59;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen met verblijf;2018;11065.0;11065.0;800;800.0
60;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen met verblijf;2019;10525.0;10525.0;745;745.0
61;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen met verblijf;2020;9295.0;9295.0;650;650.0
62;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;2e 10%-groep (personen);Personen met verblijf;2021;10340.0;10340.0;715;715.0
63;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Totaal met en zonder verblijf;2015;75810.0;75810.0;5526;5526.0
64;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Totaal met en zonder verblijf;2016;75355.0;75355.0;5426;5426.0
65;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Totaal met en zonder verblijf;2017;74285.0;74285.0;5275;5275.0
66;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Totaal met en zonder verblijf;2018;78220.0;78220.0;5508;5508.0
67;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Totaal met en zonder verblijf;2019;76420.0;76420.0;5336;5336.0
68;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Totaal met en zonder verblijf;2020;75260.0;75260.0;5239;5239.0
69;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Totaal met en zonder verblijf;2021;78085.0;78085.0;5382;5382.0
70;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen zonder verblijf;2015;69815.0;69815.0;5089;5089.0
71;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen zonder verblijf;2016;69575.0;69575.0;5010;5010.0
72;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen zonder verblijf;2017;68835.0;68835.0;4888;4888.0
73;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen zonder verblijf;2018;72620.0;72620.0;5114;5114.0
74;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen zonder verblijf;2019;70865.0;70865.0;4948;4948.0
75;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen zonder verblijf;2020;70065.0;70065.0;4877;4877.0
76;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen zonder verblijf;2021;72530.0;72530.0;4999;4999.0
77;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen met verblijf;2015;5995.0;5995.0;436;436.0
78;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen met verblijf;2016;5780.0;5780.0;416;416.0
79;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen met verblijf;2017;5450.0;5450.0;387;387.0
80;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen met verblijf;2018;5600.0;5600.0;394;394.0
81;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen met verblijf;2019;5555.0;5555.0;388;388.0
82;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen met verblijf;2020;5195.0;5195.0;361;361.0
83;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;3e 10%-groep (personen);Personen met verblijf;2021;5550.0;5550.0;382;382.0
84;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Totaal met en zonder verblijf;2015;64205.0;64205.0;4814;4814.0
85;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Totaal met en zonder verblijf;2016;64535.0;64535.0;4804;4804.0
86;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Totaal met en zonder verblijf;2017;65130.0;65130.0;4790;4790.0
87;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Totaal met en zonder verblijf;2018;69350.0;69350.0;5060;5060.0
88;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Totaal met en zonder verblijf;2019;67175.0;67175.0;4856;4856.0
89;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Totaal met en zonder verblijf;2020;66025.0;66025.0;4743;4743.0
90;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Totaal met en zonder verblijf;2021;70400.0;70400.0;4989;4989.0
91;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen zonder verblijf;2015;59480.0;59480.0;4460;4460.0
92;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen zonder verblijf;2016;60000.0;60000.0;4466;4466.0
93;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen zonder verblijf;2017;60880.0;60880.0;4477;4477.0
94;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen zonder verblijf;2018;64795.0;64795.0;4727;4727.0
95;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen zonder verblijf;2019;62810.0;62810.0;4541;4541.0
96;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen zonder verblijf;2020;62245.0;62245.0;4471;4471.0
97;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen zonder verblijf;2021;66040.0;66040.0;4680;4680.0
98;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen met verblijf;2015;4725.0;4725.0;354;354.0
99;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen met verblijf;2016;4540.0;4540.0;337;337.0
100;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen met verblijf;2017;4250.0;4250.0;312;312.0
101;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen met verblijf;2018;4560.0;4560.0;332;332.0
102;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen met verblijf;2019;4360.0;4360.0;315;315.0
103;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen met verblijf;2020;3780.0;3780.0;271;271.0
104;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;4e 10%-groep (personen);Personen met verblijf;2021;4360.0;4360.0;308;308.0
105;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Totaal met en zonder verblijf;2015;58375.0;58375.0;4398;4398.0
106;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Totaal met en zonder verblijf;2016;58815.0;58815.0;4399;4399.0
107;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Totaal met en zonder verblijf;2017;59610.0;59610.0;4418;4418.0
108;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Totaal met en zonder verblijf;2018;63270.0;63270.0;4656;4656.0
109;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Totaal met en zonder verblijf;2019;61410.0;61410.0;4484;4484.0
110;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Totaal met en zonder verblijf;2020;61115.0;61115.0;4428;4428.0
111;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Totaal met en zonder verblijf;2021;64385.0;64385.0;4632;4632.0
112;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen zonder verblijf;2015;54430.0;54430.0;4100;4100.0
113;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen zonder verblijf;2016;54905.0;54905.0;4106;4106.0
114;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen zonder verblijf;2017;56040.0;56040.0;4154;4154.0
115;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen zonder verblijf;2018;59520.0;59520.0;4380;4380.0
116;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen zonder verblijf;2019;57800.0;57800.0;4221;4221.0
117;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen zonder verblijf;2020;57815.0;57815.0;4189;4189.0
118;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen zonder verblijf;2021;60655.0;60655.0;4364;4364.0
119;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen met verblijf;2015;3945.0;3945.0;297;297.0
120;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen met verblijf;2016;3910.0;3910.0;292;292.0
121;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen met verblijf;2017;3570.0;3570.0;264;264.0
122;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen met verblijf;2018;3750.0;3750.0;276;276.0
123;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen met verblijf;2019;3610.0;3610.0;263;263.0
124;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen met verblijf;2020;3300.0;3300.0;239;239.0
125;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;5e 10%-groep (personen);Personen met verblijf;2021;3725.0;3725.0;268;268.0
126;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Totaal met en zonder verblijf;2015;55445.0;55445.0;4140;4140.0
127;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Totaal met en zonder verblijf;2016;55525.0;55525.0;4124;4124.0
128;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Totaal met en zonder verblijf;2017;56255.0;56255.0;4151;4151.0
129;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Totaal met en zonder verblijf;2018;59665.0;59665.0;4360;4360.0
130;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Totaal met en zonder verblijf;2019;57750.0;57750.0;4179;4179.0
131;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Totaal met en zonder verblijf;2020;57845.0;57845.0;4153;4153.0
132;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Totaal met en zonder verblijf;2021;61000.0;61000.0;4353;4353.0
133;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen zonder verblijf;2015;51775.0;51775.0;3866;3866.0
134;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen zonder verblijf;2016;52260.0;52260.0;3881;3881.0
135;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen zonder verblijf;2017;53155.0;53155.0;3922;3922.0
136;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen zonder verblijf;2018;56410.0;56410.0;4122;4122.0
137;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen zonder verblijf;2019;54460.0;54460.0;3941;3941.0
138;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen zonder verblijf;2020;54930.0;54930.0;3943;3943.0
139;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen zonder verblijf;2021;57920.0;57920.0;4134;4134.0
140;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen met verblijf;2015;3670.0;3670.0;273;273.0
141;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen met verblijf;2016;3265.0;3265.0;242;242.0
142;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen met verblijf;2017;3100.0;3100.0;228;228.0
143;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen met verblijf;2018;3255.0;3255.0;237;237.0
144;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen met verblijf;2019;3290.0;3290.0;238;238.0
145;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen met verblijf;2020;2915.0;2915.0;209;209.0
146;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;6e 10%-groep (personen);Personen met verblijf;2021;3075.0;3075.0;219;219.0
147;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Totaal met en zonder verblijf;2015;52260.0;52260.0;3809;3809.0
148;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Totaal met en zonder verblijf;2016;51690.0;51690.0;3753;3753.0
149;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Totaal met en zonder verblijf;2017;53415.0;53415.0;3854;3854.0
150;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Totaal met en zonder verblijf;2018;57010.0;57010.0;4077;4077.0
151;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Totaal met en zonder verblijf;2019;55940.0;55940.0;3960;3960.0
152;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Totaal met en zonder verblijf;2020;55540.0;55540.0;3894;3894.0
153;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Totaal met en zonder verblijf;2021;58445.0;58445.0;4086;4086.0
154;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Personen zonder verblijf;2015;49140.0;49140.0;3582;3582.0
155;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Personen zonder verblijf;2016;48750.0;48750.0;3539;3539.0
156;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Personen zonder verblijf;2017;50550.0;50550.0;3647;3647.0
157;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Personen zonder verblijf;2018;54010.0;54010.0;3862;3862.0
158;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Personen zonder verblijf;2019;53140.0;53140.0;3762;3762.0
159;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Personen zonder verblijf;2020;52935.0;52935.0;3711;3711.0
160;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Personen zonder verblijf;2021;55455.0;55455.0;3877;3877.0
161;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Personen met verblijf;2015;3120.0;3120.0;227;227.0
162;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Personen met verblijf;2016;2945.0;2945.0;213;213.0
163;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Personen met verblijf;2017;2865.0;2865.0;206;206.0
164;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;7e 10%-groep (personen);Personen met verblijf;2018;3005.0;3005.0;214;214.0
