ID;BeleggingenVanLevensverzekeraars;Perioden;GemiddeldBelegdBedrag_1;NettoDirecteOpbrengsten_2;NettoDirectRendement_3
78;Obligaties;2014;137408;3592;2.6
79;Obligaties;2015;151386;3529;2.3
80;Belangen in beleggingspools;2000;792;52;6.5
81;Belangen in beleggingspools;2001;1125;50;4.4
82;Belangen in beleggingspools;2002;1500;38;2.5
83;Belangen in beleggingspools;2003;1160;20;1.7
84;Belangen in beleggingspools;2004;1283;21;1.7
85;Belangen in beleggingspools;2005;1514;12;0.8
86;Belangen in beleggingspools;2006;1806;6;0.3
87;Belangen in beleggingspools;2007;1271;28;2.2
88;Belangen in beleggingspools;2008;2192;-123;-5.6
89;Belangen in beleggingspools;2009;2325;164;7.1
90;Belangen in beleggingspools;2010;2476;133;5.4
91;Belangen in beleggingspools;2011;1491;1;0.1
92;Belangen in beleggingspools;2012;430;2;0.5
93;Belangen in beleggingspools;2013;326;2;0.6
94;Belangen in beleggingspools;2014;179;5;2.8
95;Belangen in beleggingspools;2015;221;6;2.7
96;Hypothecaire leningen;2000;27437;1710;6.2
97;Hypothecaire leningen;2001;28991;1763;6.1
98;Hypothecaire leningen;2002;29148;1712;5.9
99;Hypothecaire leningen;2003;27364;1656;6.1
100;Hypothecaire leningen;2004;26071;1625;6.2
101;Hypothecaire leningen;2005;24729;1433;5.8
102;Hypothecaire leningen;2006;23606;1383;5.9
103;Hypothecaire leningen;2007;21524;1135;5.3
104;Hypothecaire leningen;2008;20479;1071;5.2
105;Hypothecaire leningen;2009;22080;1156;5.2
106;Hypothecaire leningen;2010;23251;1059;4.6
107;Hypothecaire leningen;2011;25550;1180;4.6
108;Hypothecaire leningen;2012;28635;1294;4.5
109;Hypothecaire leningen;2013;33267;1375;4.1
110;Hypothecaire leningen;2014;38470;1586;4.1
111;Hypothecaire leningen;2015;40629;1622;4.0
112;Leningen op schuldbekentenis;2000;27123;2017;7.4
113;Leningen op schuldbekentenis;2001;24107;1842;7.6
114;Leningen op schuldbekentenis;2002;24823;1879;7.6
115;Leningen op schuldbekentenis;2003;19399;1485;7.7
116;Leningen op schuldbekentenis;2004;16581;1303;7.9
117;Leningen op schuldbekentenis;2005;14829;942;6.4
118;Leningen op schuldbekentenis;2006;9416;718;7.6
119;Leningen op schuldbekentenis;2007;7656;264;3.4
120;Leningen op schuldbekentenis;2008;2281;87;3.8
121;Leningen op schuldbekentenis;2009;929;51;5.5
122;Leningen op schuldbekentenis;2010;733;43;5.9
123;Leningen op schuldbekentenis;2011;578;40;6.9
124;Leningen op schuldbekentenis;2012;525;29;5.5
125;Leningen op schuldbekentenis;2013;440;27;6.1
126;Leningen op schuldbekentenis;2014;371;21;5.7
127;Leningen op schuldbekentenis;2015;417;25;6.0
128;Deposito's bij kredietinstellingen;2000;3474;236;6.8
129;Deposito's bij kredietinstellingen;2001;3545;234;6.6
130;Deposito's bij kredietinstellingen;2002;5906;227;3.8
131;Deposito's bij kredietinstellingen;2003;5370;317;5.9
132;Deposito's bij kredietinstellingen;2004;2994;179;6.0
133;Deposito's bij kredietinstellingen;2005;3280;169;5.2
134;Deposito's bij kredietinstellingen;2006;3676;177;4.8
135;Deposito's bij kredietinstellingen;2007;4590;52;1.1
136;Deposito's bij kredietinstellingen;2008;4194;106;2.5
137;Deposito's bij kredietinstellingen;2009;2632;85;3.2
138;Deposito's bij kredietinstellingen;2010;2247;55;2.4
139;Deposito's bij kredietinstellingen;2011;3186;74;2.3
140;Deposito's bij kredietinstellingen;2012;4594;70;1.5
141;Deposito's bij kredietinstellingen;2013;3650;44;1.2
142;Deposito's bij kredietinstellingen;2014;3609;36;1.0
143;Deposito's bij kredietinstellingen;2015;3912;33;0.8
144;Overige beleggingen;2000;5470;396;7.2
145;Overige beleggingen;2001;5432;416;7.7
146;Overige beleggingen;2002;4578;404;8.8
147;Overige beleggingen;2003;4365;396;9.1
148;Overige beleggingen;2004;4738;391;8.3
149;Overige beleggingen;2005;13632;1301;9.5
150;Overige beleggingen;2006;9150;652;7.1
151;Overige beleggingen;2007;11167;692;6.2
152;Overige beleggingen;2008;15356;953;6.2
153;Overige beleggingen;2009;20430;785;3.8
154;Overige beleggingen;2010;24160;1053;4.4
155;Overige beleggingen;2011;35607;805;2.3
156;Overige beleggingen;2012;47420;548;1.2
157;Overige beleggingen;2013;43108;520;1.2
158;Overige beleggingen;2014;48038;593;1.2
159;Overige beleggingen;2015;49172;564;1.1
160;Depots bij verzekeraars;2000;304;17;5.5
161;Depots bij verzekeraars;2001;292;25;8.6
162;Depots bij verzekeraars;2002;339;19;5.7
163;Depots bij verzekeraars;2003;335;18;5.4
164;Depots bij verzekeraars;2004;348;-6;-1.9
165;Depots bij verzekeraars;2005;351;26;7.3
166;Depots bij verzekeraars;2006;489;30;6.1
167;Depots bij verzekeraars;2007;552;38;6.9
168;Depots bij verzekeraars;2008;609;54;8.9
169;Depots bij verzekeraars;2009;539;3;0.5
170;Depots bij verzekeraars;2010;339;-6;-1.9
171;Depots bij verzekeraars;2011;275;5;1.8
172;Depots bij verzekeraars;2012;380;14;3.7
173;Depots bij verzekeraars;2013;411;-3;-0.7
174;Depots bij verzekeraars;2014;319;8;2.5
175;Depots bij verzekeraars;2015;249;7;2.8
176;Liquide middelen;2000;2801;152;5.4
177;Liquide middelen;2001;2594;121;4.7
178;Liquide middelen;2002;3496;149;4.3
179;Liquide middelen;2003;5001;199;4.0
180;Liquide middelen;2004;5132;163;3.2
181;Liquide middelen;2005;2473;80;3.2
182;Liquide middelen;2006;2583;88;3.4
183;Liquide middelen;2007;2634;57;2.2
184;Liquide middelen;2008;6030;99;1.6
185;Liquide middelen;2009;7082;231;3.3
186;Liquide middelen;2010;4735;94;2.0
187;Liquide middelen;2011;6477;93;1.4
188;Liquide middelen;2012;8634;33;0.4
189;Liquide middelen;2013;6597;9;0.1
190;Liquide middelen;2014;5771;12;0.2
191;Liquide middelen;2015;7812;9;0.1
192;Totaal beleggingen risico verzekeraar;2000;166960;10340;6.2
193;Totaal beleggingen risico verzekeraar;2001;170914;10409;6.1
194;Totaal beleggingen risico verzekeraar;2002;175332;10089;5.8
195;Totaal beleggingen risico verzekeraar;2003;160138;9889;6.2
196;Totaal beleggingen risico verzekeraar;2004;168576;9399;5.6
197;Totaal beleggingen risico verzekeraar;2005;190779;10334;5.4
198;Totaal beleggingen risico verzekeraar;2006;192488;10035;5.2
199;Totaal beleggingen risico verzekeraar;2007;195145;9405;4.8
200;Totaal beleggingen risico verzekeraar;2008;197708;7969;4.0
201;Totaal beleggingen risico verzekeraar;2009;201186;8530;4.2
202;Totaal beleggingen risico verzekeraar;2010;205726;8539;4.2
203;Totaal beleggingen risico verzekeraar;2011;224081;8003;3.6
204;Totaal beleggingen risico verzekeraar;2012;249943;7576;3.0
205;Totaal beleggingen risico verzekeraar;2013;254038;7048;2.8
206;Totaal beleggingen risico verzekeraar;2014;275812;7475;2.7
207;Totaal beleggingen risico verzekeraar;2015;296751;8280;2.8
208;Beleggingen voor risico polishouders;2000;53488;2209;4.1
209;Beleggingen voor risico polishouders;2001;63499;1728;2.7
210;Beleggingen voor risico polishouders;2002;67553;1729;2.6
211;Beleggingen voor risico polishouders;2003;86253;2316;2.7
212;Beleggingen voor risico polishouders;2004;69064;2212;3.2
213;Beleggingen voor risico polishouders;2005;81378;2806;3.4
214;Beleggingen voor risico polishouders;2006;89112;2592;2.9
215;Beleggingen voor risico polishouders;2007;102470;1650;1.6
216;Beleggingen voor risico polishouders;2008;96732;-225;-0.2
217;Beleggingen voor risico polishouders;2009;95698;2378;2.5
218;Beleggingen voor risico polishouders;2010;104732;1838;1.8
219;Beleggingen voor risico polishouders;2011;106090;822;0.8
220;Beleggingen voor risico polishouders;2012;108173;1323;1.2
221;Beleggingen voor risico polishouders;2013;108635;1187;1.1
222;Beleggingen voor risico polishouders;2014;108789;908;0.8
223;Beleggingen voor risico polishouders;2015;108016;781;0.7
