ID;InstitutionalInvestors;Periods;Purchases_1;Sales_2;OtherChanges_3;EndOfTheYear_4
49;Total institutional investors;2012 1st quarter;1.7;1.6;-0.1;45.8
50;Total institutional investors;2012 2nd quarter;0.5;0.2;-0.3;45.7
51;Total institutional investors;2012 3nd quarter;0.6;0.4;-0.5;45.4
52;Total institutional investors;2012 4th quarter;1.1;1.3;-0.5;44.7
53;Total institutional investors;2012;3.9;3.5;-1.4;44.7
54;Total institutional investors;2013 1st quarter;1.2;0.4;0.0;45.6
55;Total institutional investors;2013 2nd quarter;0.7;0.6;-0.4;45.2
56;Total institutional investors;2013 3nd quarter;0.3;0.4;-0.4;44.7
57;Total institutional investors;2013 4th quarter;0.4;0.8;-1.4;42.9
58;Total institutional investors;2013;2.6;2.2;-2.2;42.9
59;Total institutional investors;2014 1st quarter;0.5;1.0;0.2;42.5
60;Pension funds;1999;1.7;3.0;2.7;23.5
61;Pension funds;2000;1.5;3.6;2.0;23.3
62;Pension funds;2001;1.5;2.0;3.2;26.0
63;Pension funds;2002;1.6;4.2;0.1;23.4
64;Pension funds;2003 1st quarter;0.7;0.3;0.3;24.1
65;Pension funds;2003 2nd quarter;0.1;0.3;0.2;24.1
66;Pension funds;2003 3rd quarter;0.1;0.1;-0.1;24.0
67;Pension funds;2003 4th quarter;0.2;1.2;0.0;22.9
68;Pension funds;2003;1.1;2.0;0.4;22.9
69;Pension funds;2004 1st quarter;0.1;0.2;0.2;23.0
70;Pension funds;2004 2nd quarter;0.3;0.5;0.4;23.1
71;Pension funds;2004 3rd quarter;0.0;0.2;0.4;23.4
72;Pension funds;2004 4th quarter;0.4;0.6;-0.1;23.1
73;Pension funds;2004;0.9;1.6;0.9;23.1
74;Pension funds;2005 1st quarter;0.5;0.3;0.1;23.3
75;Pension funds;2005 2nd quarter;0.5;0.4;0.0;23.4
76;Pension funds;2005 3rd quarter;0.4;1.0;-0.1;22.8
77;Pension funds;2005 4th quarter;0.6;0.6;0.2;22.9
78;Pension funds;2005;1.9;2.3;0.2;22.9
79;Pension funds;2006 1st quarter;0.5;0.8;-0.9;21.8
80;Pension funds;2006 2nd quarter;0.1;0.2;0.0;21.6
81;Pension funds;2006 3rd quarter;0.0;0.5;0.0;21.1
82;Pension funds;2006 4th quarter;0.4;0.6;-1.0;19.8
83;Pension funds;2006;1.0;2.1;-2.0;19.8
84;Pension funds;2007 1st quarter;0.3;0.3;0.1;19.9
85;Pension funds;2007 2nd quarter;0.1;0.8;0.4;19.6
86;Pension funds;2007 3rd quarter;0.4;0.2;0.4;20.3
87;Pension funds;2007 4th quarter;0.8;1.1;-0.8;19.2
88;Pension funds;2007;1.6;2.4;0.2;19.2
89;Pension funds;2008 1st quarter;0.1;0.5;0.0;18.8
90;Pension funds;2008 2nd quarter;0.1;0.4;-0.3;18.1
91;Pension funds;2008 3rd quarter;0.1;0.2;-0.5;17.5
92;Pension funds;2008 4th quarter;0.1;0.2;-0.5;17.0
93;Pension funds;2008;0.5;1.3;-1.4;17.0
94;Pension funds;2009 1st quarter;0.4;0.1;-0.6;16.7
95;Pension funds;2009 2nd quarter;0.2;0.3;-0.5;16.1
96;Pension funds;2009 3rd quarter;0.1;0.2;-0.5;15.5
97;Pension funds;2009 4th quarter;0.4;0.5;-0.2;15.2
98;Pension funds;2009;1.0;1.0;-1.8;15.2
99;Pension funds;2010 1st quarter;0.1;4.7;0.0;10.6
100;Pension funds;2010 2nd quarter;0.1;0.2;0.0;10.4
101;Pension funds;2010 3nd quarter;0.1;0.3;0.0;10.2
102;Pension funds;2010 4th quarter;0.1;0.3;0.0;9.9
103;Pension funds;2010;0.4;5.6;-0.1;9.9
104;Pension funds;2011 1st quarter;0.4;0.3;0.0;10.0
105;Pension funds;2011 2nd quarter;0.0;0.1;0.0;9.9
106;Pension funds;2011 3nd quarter;0.0;0.1;-0.1;9.8
107;Pension funds;2011 4th quarter;0.0;0.1;-0.1;9.7
108;Pension funds;2011;0.5;0.5;-0.2;9.7
109;Pension funds;2012 1st quarter;0.2;0.3;-0.1;9.5
110;Pension funds;2012 2nd quarter;0.0;0.1;0.0;9.5
111;Pension funds;2012 3nd quarter;0.1;0.2;0.0;9.3
112;Pension funds;2012 4th quarter;0.0;0.2;0.0;9.1
113;Pension funds;2012;0.4;0.9;-0.1;9.1
114;Pension funds;2013 1st quarter;0.0;0.0;0.0;9.0
115;Pension funds;2013 2nd quarter;0.5;0.4;-0.1;9.1
116;Pension funds;2013 3nd quarter;0.0;0.0;0.0;9.1
117;Pension funds;2013 4th quarter;0.0;0.3;-0.1;8.6
118;Pension funds;2013;0.6;0.7;-0.3;8.6
119;Pension funds;2014 1st quarter;0.0;0.3;0.0;8.4
120;Insurance corporations;1999;1.4;1.1;0.5;11.3
121;Insurance corporations;2000;2.1;1.2;1.3;13.6
122;Insurance corporations;2001;1.3;0.9;0.9;14.9
123;Insurance corporations;2002;1.0;1.1;0.4;15.2
124;Insurance corporations;2003 1st quarter;0.2;1.2;-0.3;14.0
125;Insurance corporations;2003 2nd quarter;0.3;0.5;-0.1;13.7
126;Insurance corporations;2003 3rd quarter;0.4;0.1;0.1;14.1
127;Insurance corporations;2003 4th quarter;0.9;1.2;0.1;13.9
128;Insurance corporations;2003;1.8;2.9;-0.2;13.9
129;Insurance corporations;2004 1st quarter;0.1;0.1;-0.4;13.5
130;Insurance corporations;2004 2nd quarter;0.3;0.3;0.3;13.8
131;Insurance corporations;2004 3rd quarter;0.2;0.2;0.3;14.1
132;Insurance corporations;2004 4th quarter;0.3;0.2;0.2;14.4
133;Insurance corporations;2004;1.0;0.8;0.3;14.4
134;Insurance corporations;2005 1st quarter;0.2;0.7;-1.3;12.7
135;Insurance corporations;2005 2nd quarter;0.3;0.7;0.5;12.8
136;Insurance corporations;2005 3rd quarter;0.1;0.8;0.7;12.8
137;Insurance corporations;2005 4th quarter;0.3;0.8;0.9;13.2
138;Insurance corporations;2005;1.0;3.0;0.8;13.2
139;Insurance corporations;2006 1st quarter;1.1;0.4;-0.5;13.4
140;Insurance corporations;2006 2nd quarter;0.7;0.5;-0.1;13.5
141;Insurance corporations;2006 3rd quarter;0.7;0.2;-0.1;13.9
142;Insurance corporations;2006 4th quarter;0.5;0.6;0.3;14.2
143;Insurance corporations;2006;3.0;1.7;-0.3;14.2
144;Insurance corporations;2007 1st quarter;0.4;0.0;0.2;14.7
145;Insurance corporations;2007 2nd quarter;0.2;0.0;-0.6;14.3
146;Insurance corporations;2007 3rd quarter;0.2;0.0;-0.6;13.9
147;Insurance corporations;2007 4th quarter;0.5;1.0;-0.6;12.7
148;Insurance corporations;2007;1.2;1.0;-1.6;12.7
149;Insurance corporations;2008 1st quarter;0.0;0.0;0.0;12.7
150;Insurance corporations;2008 2nd quarter;0.0;0.0;0.0;12.7
151;Insurance corporations;2008 3rd quarter;0.0;0.0;0.0;12.7
152;Insurance corporations;2008 4th quarter;0.5;0.5;0.2;12.9
153;Insurance corporations;2008;0.6;0.5;0.1;12.9
154;Insurance corporations;2009 1st quarter;0.0;0.0;0.2;13.1
155;Insurance corporations;2009 2nd quarter;0.1;0.1;-0.1;13.0
156;Insurance corporations;2009 3rd quarter;0.1;0.1;-0.1;13.0
157;Insurance corporations;2009 4th quarter;0.4;0.2;-0.3;13.0
158;Insurance corporations;2009;0.7;0.4;-0.3;13.0
159;Insurance corporations;2010 1st quarter;0.1;0.0;-0.2;12.8
160;Insurance corporations;2010 2nd quarter;0.1;0.1;-0.1;12.7
161;Insurance corporations;2010 3nd quarter;0.1;0.1;-0.1;12.7
162;Insurance corporations;2010 4th quarter;0.1;0.3;-0.1;12.4
163;Insurance corporations;2010;0.3;0.4;-0.4;12.4
164;Insurance corporations;2011 1st quarter;0.1;0.3;0.1;12.1
165;Insurance corporations;2011 2nd quarter;0.0;0.1;0.0;12.0
166;Insurance corporations;2011 3nd quarter;0.1;0.5;-0.1;11.5
167;Insurance corporations;2011 4th quarter;0.1;0.2;0.0;11.4
168;Insurance corporations;2011;0.3;1.1;0.0;11.4
169;Insurance corporations;2012 1st quarter;0.0;0.0;-0.1;11.3
170;Insurance corporations;2012 2nd quarter;0.0;0.0;-0.1;11.2
171;Insurance corporations;2012 3nd quarter;0.1;0.1;-0.1;11.2
172;Insurance corporations;2012 4th quarter;0.2;0.1;-0.1;11.1
173;Insurance corporations;2012;0.3;0.3;-0.3;11.1
174;Insurance corporations;2013 1st quarter;0.0;0.1;0.0;11.0
175;Insurance corporations;2013 2nd quarter;0.0;0.0;0.0;11.0
176;Insurance corporations;2013 3nd quarter;0.0;0.0;0.0;11.0
177;Insurance corporations;2013 4th quarter;0.0;0.0;0.0;11.0
178;Insurance corporations;2013;0.1;0.2;0.0;11.0
179;Insurance corporations;2014 1st quarter;0.1;0.0;0.0;11.1
180;Investment funds;1999;2.6;0.8;1.2;18.0
181;Investment funds;2000;10.4;1.9;2.2;28.7
182;Investment funds;2001;4.2;2.4;0.5;31.1
183;Investment funds;2002;2.9;10.2;-0.7;23.1
184;Investment funds;2003 1st quarter;0.4;0.4;-0.3;22.8
185;Investment funds;2003 2nd quarter;0.5;0.7;-0.1;22.6
186;Investment funds;2003 3rd quarter;0.4;0.2;0.1;22.9
187;Investment funds;2003 4th quarter;1.1;0.6;-0.2;23.2
188;Investment funds;2003;2.4;1.8;-0.5;23.2
189;Investment funds;2004 1st quarter;0.3;0.7;0.1;22.9
190;Investment funds;2004 2nd quarter;0.6;0.8;0.2;22.8
191;Investment funds;2004 3rd quarter;0.3;0.7;-0.4;22.0
192;Investment funds;2004 4th quarter;0.5;1.3;0.4;21.7
193;Investment funds;2004;1.7;3.5;0.3;21.7
194;Investment funds;2005 1st quarter;0.3;0.4;-0.3;21.3
195;Investment funds;2005 2nd quarter;0.8;0.6;0.0;21.5
196;Investment funds;2005 3rd quarter;0.7;0.5;1.1;22.8
197;Investment funds;2005 4th quarter;0.7;0.7;1.6;24.5
198;Investment funds;2005;2.5;2.1;2.4;24.5
199;Investment funds;2006 1st quarter;0.6;0.4;-1.2;23.5
200;Investment funds;2006 2nd quarter;0.8;0.4;1.0;24.8
201;Investment funds;2006 3rd quarter;0.7;0.6;0.5;25.4
202;Investment funds;2006 4th quarter;1.2;0.5;1.1;27.3
203;Investment funds;2006;3.3;1.9;1.3;27.3
204;Investment funds;2007 1st quarter;0.7;0.7;0.5;27.9
205;Investment funds;2007 2nd quarter;1.3;1.2;-10.4;17.5
206;Investment funds;2007 3rd quarter;0.8;0.6;0.2;18.0
207;Investment funds;2007 4th quarter;1.1;0.8;0.8;19.0
208;Investment funds;2007;4.0;3.3;-8.9;19.0
209;Investment funds;2008 1st quarter;1.0;0.1;-0.1;19.9
210;Investment funds;2008 2nd quarter;0.3;0.1;0.0;20.0
211;Investment funds;2008 3rd quarter;0.3;0.7;0.3;20.0
212;Investment funds;2008 4th quarter;0.2;0.3;-1.3;18.6
213;Investment funds;2008;1.8;1.1;-1.1;18.6
214;Investment funds;2009 1st quarter;0.1;0.0;0.3;18.9
215;Investment funds;2009 2nd quarter;0.1;0.0;-0.4;18.6
216;Investment funds;2009 3rd quarter;0.1;0.0;-0.7;18.0
217;Investment funds;2009 4th quarter;0.2;0.1;-0.4;17.7
218;Investment funds;2009;0.5;0.1;-1.3;17.7
219;Investment funds;2010 1st quarter;4.2;0.2;0.0;21.7
220;Investment funds;2010 2nd quarter;0.0;0.2;0.3;21.8
221;Investment funds;2010 3nd quarter;0.2;0.2;0.1;21.9
222;Investment funds;2010 4th quarter;2.2;0.4;0.3;24.0
223;Investment funds;2010;6.7;0.9;0.5;24.0
224;Investment funds;2011 1st quarter;0.4;0.1;0.4;24.7
225;Investment funds;2011 2nd quarter;0.3;0.2;-0.3;24.6
226;Investment funds;2011 3nd quarter;0.4;0.1;0.8;25.7
227;Investment funds;2011 4th quarter;1.0;0.6;-1.3;24.8
228;Investment funds;2011;2.1;0.9;-0.4;24.8
229;Investment funds;2012 1st quarter;1.4;1.2;0.0;25.0
230;Investment funds;2012 2nd quarter;0.4;0.1;-0.2;25.0
231;Investment funds;2012 3nd quarter;0.5;0.2;-0.4;25.0
232;Investment funds;2012 4th quarter;0.9;0.9;-0.4;24.6
233;Investment funds;2012;3.2;2.4;-1.0;24.6
234;Investment funds;2013 1st quarter;1.2;0.3;0.1;25.6
235;Investment funds;2013 2nd quarter;0.2;0.2;-0.4;25.1
236;Investment funds;2013 3nd quarter;0.3;0.4;-0.4;24.6
237;Investment funds;2013 4th quarter;0.3;0.5;-1.3;23.2
238;Investment funds;2013;1.9;1.3;-2.0;23.2
239;Investment funds;2014 1st quarter;0.4;0.7;0.2;23.0
