ID;Geslacht;LeeftijdOp31December;Onderwijsniveau;Marges;Perioden;Levensverwachting_1;Sterftekans_2;LevensverwInAlsGoedErvarenGezondh_3;LevensverwZonderLichBeperkingen_4;LevensverwZonderChronischeZiektes_5;LevensverwInGoedeGeestelijkeGezondh_6
15;Totaal mannen en vrouwen;0 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2011/2014;82.0;;66.0;;44.3;
16;Totaal mannen en vrouwen;0 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2013/2016;82.0;;65.9;;44.0;
17;Totaal mannen en vrouwen;0 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2015/2018;82.3;;65.4;;43.3;
18;Totaal mannen en vrouwen;0 jaar;Hoog onderwijsniveau;Waarde;2011/2014;83.8;0.0028;71.3;76.5;48.8;76.4
19;Totaal mannen en vrouwen;0 jaar;Hoog onderwijsniveau;Waarde;2013/2016;84.4;0.0023;71.5;77.3;49.2;77.5
20;Totaal mannen en vrouwen;0 jaar;Hoog onderwijsniveau;Waarde;2015/2018;85.2;0.0023;71.6;78.8;48.6;78.1
21;Totaal mannen en vrouwen;0 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2011/2014;83.5;;70.5;;47.9;
22;Totaal mannen en vrouwen;0 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2013/2016;84.1;;70.8;;48.4;
23;Totaal mannen en vrouwen;0 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2015/2018;84.9;;70.9;;47.9;
24;Totaal mannen en vrouwen;0 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2011/2014;84.1;;72.0;;49.6;
25;Totaal mannen en vrouwen;0 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2013/2016;84.7;;72.3;;50.0;
26;Totaal mannen en vrouwen;0 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2015/2018;85.5;;72.4;;49.4;
27;Totaal mannen en vrouwen;1 jaar;Laag onderwijsniveau;Waarde;2011/2014;79.6;0.0002;57.7;65.5;41.2;69.9
28;Totaal mannen en vrouwen;1 jaar;Laag onderwijsniveau;Waarde;2013/2016;79.4;0.0002;57.2;64.8;39.1;68.9
29;Totaal mannen en vrouwen;1 jaar;Laag onderwijsniveau;Waarde;2015/2018;78.9;0.0003;56.8;65.1;38.1;68.3
30;Totaal mannen en vrouwen;1 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2011/2014;79.4;;57.0;;40.3;
31;Totaal mannen en vrouwen;1 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2013/2016;79.2;;56.5;;38.3;
32;Totaal mannen en vrouwen;1 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2015/2018;78.7;;56.0;;37.2;
33;Totaal mannen en vrouwen;1 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2011/2014;79.8;;58.3;;42.2;
34;Totaal mannen en vrouwen;1 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2013/2016;79.6;;57.9;;40.0;
35;Totaal mannen en vrouwen;1 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2015/2018;79.1;;57.5;;38.9;
36;Totaal mannen en vrouwen;1 jaar;Middelbaar onderwijsniveau;Waarde;2011/2014;81.5;0.0003;65.1;71.8;43.3;73.7
37;Totaal mannen en vrouwen;1 jaar;Middelbaar onderwijsniveau;Waarde;2013/2016;81.6;0.0003;65.1;72.0;43.1;73.4
38;Totaal mannen en vrouwen;1 jaar;Middelbaar onderwijsniveau;Waarde;2015/2018;81.9;0.0002;64.5;72.8;42.4;73.4
39;Totaal mannen en vrouwen;1 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2011/2014;81.3;;64.6;;42.6;
40;Totaal mannen en vrouwen;1 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2013/2016;81.4;;64.5;;42.5;
41;Totaal mannen en vrouwen;1 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2015/2018;81.7;;63.9;;41.8;
42;Totaal mannen en vrouwen;1 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2011/2014;81.7;;65.7;;44.0;
43;Totaal mannen en vrouwen;1 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2013/2016;81.7;;65.6;;43.7;
44;Totaal mannen en vrouwen;1 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2015/2018;82.1;;65.1;;43.0;
45;Totaal mannen en vrouwen;1 jaar;Hoog onderwijsniveau;Waarde;2011/2014;83.6;0.0002;71.0;76.2;48.4;76.2
46;Totaal mannen en vrouwen;1 jaar;Hoog onderwijsniveau;Waarde;2013/2016;84.1;0.0002;71.2;77.0;48.8;77.2
47;Totaal mannen en vrouwen;1 jaar;Hoog onderwijsniveau;Waarde;2015/2018;84.9;0.0001;71.3;78.5;48.3;77.8
48;Totaal mannen en vrouwen;1 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2011/2014;83.3;;70.3;;47.6;
49;Totaal mannen en vrouwen;1 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2013/2016;83.8;;70.4;;48.0;
50;Totaal mannen en vrouwen;1 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2015/2018;84.6;;70.5;;47.5;
51;Totaal mannen en vrouwen;1 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2011/2014;83.9;;71.7;;49.3;
52;Totaal mannen en vrouwen;1 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2013/2016;84.3;;71.9;;49.7;
53;Totaal mannen en vrouwen;1 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2015/2018;85.2;;72.1;;49.0;
54;Totaal mannen en vrouwen;5 jaar;Laag onderwijsniveau;Waarde;2011/2014;75.6;0.0001;54.0;61.6;37.6;66.1
55;Totaal mannen en vrouwen;5 jaar;Laag onderwijsniveau;Waarde;2013/2016;75.5;0.0001;53.5;60.8;35.5;65.1
56;Totaal mannen en vrouwen;5 jaar;Laag onderwijsniveau;Waarde;2015/2018;75.0;0.0001;53.0;61.1;34.5;64.5
57;Totaal mannen en vrouwen;5 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2011/2014;75.4;;53.3;;36.7;
58;Totaal mannen en vrouwen;5 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2013/2016;75.3;;52.8;;34.6;
59;Totaal mannen en vrouwen;5 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2015/2018;74.8;;52.2;;33.6;
60;Totaal mannen en vrouwen;5 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2011/2014;75.8;;54.6;;38.5;
61;Totaal mannen en vrouwen;5 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2013/2016;75.7;;54.2;;36.4;
62;Totaal mannen en vrouwen;5 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2015/2018;75.2;;53.8;;35.3;
63;Totaal mannen en vrouwen;5 jaar;Middelbaar onderwijsniveau;Waarde;2011/2014;77.6;0.0001;61.3;67.9;39.6;70.1
64;Totaal mannen en vrouwen;5 jaar;Middelbaar onderwijsniveau;Waarde;2013/2016;77.6;0.0001;61.2;68.1;39.4;69.9
65;Totaal mannen en vrouwen;5 jaar;Middelbaar onderwijsniveau;Waarde;2015/2018;78.0;0.0001;60.7;68.9;38.7;69.9
66;Totaal mannen en vrouwen;5 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2011/2014;77.4;;60.8;;38.9;
67;Totaal mannen en vrouwen;5 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2013/2016;77.4;;60.7;;38.8;
68;Totaal mannen en vrouwen;5 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2015/2018;77.8;;60.1;;38.1;
69;Totaal mannen en vrouwen;5 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2011/2014;77.8;;61.9;;40.3;
70;Totaal mannen en vrouwen;5 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2013/2016;77.8;;61.8;;40.1;
71;Totaal mannen en vrouwen;5 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2015/2018;78.2;;61.3;;39.3;
72;Totaal mannen en vrouwen;5 jaar;Hoog onderwijsniveau;Waarde;2011/2014;79.6;0.0001;67.2;72.2;44.7;72.7
73;Totaal mannen en vrouwen;5 jaar;Hoog onderwijsniveau;Waarde;2013/2016;80.1;0.0001;67.4;73.1;45.1;73.6
74;Totaal mannen en vrouwen;5 jaar;Hoog onderwijsniveau;Waarde;2015/2018;80.9;0.0001;67.5;74.5;44.5;74.2
75;Totaal mannen en vrouwen;5 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2011/2014;79.3;;66.5;;43.8;
76;Totaal mannen en vrouwen;5 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2013/2016;79.9;;66.6;;44.2;
77;Totaal mannen en vrouwen;5 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2015/2018;80.6;;66.7;;43.7;
78;Totaal mannen en vrouwen;5 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2011/2014;79.9;;67.9;;45.5;
79;Totaal mannen en vrouwen;5 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2013/2016;80.4;;68.2;;45.9;
80;Totaal mannen en vrouwen;5 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2015/2018;81.2;;68.3;;45.3;
81;Totaal mannen en vrouwen;10 jaar;Laag onderwijsniveau;Waarde;2011/2014;70.7;0.0001;49.2;56.6;33.1;61.3
82;Totaal mannen en vrouwen;10 jaar;Laag onderwijsniveau;Waarde;2013/2016;70.5;0.0001;48.8;55.9;31.1;60.3
83;Totaal mannen en vrouwen;10 jaar;Laag onderwijsniveau;Waarde;2015/2018;70.0;0.0001;48.3;56.2;30.2;59.6
84;Totaal mannen en vrouwen;10 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2011/2014;70.5;;48.5;55.9;32.2;60.6
85;Totaal mannen en vrouwen;10 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2013/2016;70.4;;48.1;55.2;30.3;59.6
86;Totaal mannen en vrouwen;10 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2015/2018;69.9;;47.5;55.5;29.4;59.0
87;Totaal mannen en vrouwen;10 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2011/2014;70.9;;49.8;57.3;34.0;62.0
88;Totaal mannen en vrouwen;10 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2013/2016;70.7;;49.5;56.5;32.0;61.0
89;Totaal mannen en vrouwen;10 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2015/2018;70.2;;49.0;56.8;31.0;60.3
90;Totaal mannen en vrouwen;10 jaar;Middelbaar onderwijsniveau;Waarde;2011/2014;72.6;0.0001;56.5;62.9;35.1;65.6
91;Totaal mannen en vrouwen;10 jaar;Middelbaar onderwijsniveau;Waarde;2013/2016;72.7;0.0001;56.4;63.1;35.0;65.4
92;Totaal mannen en vrouwen;10 jaar;Middelbaar onderwijsniveau;Waarde;2015/2018;73.0;0.0001;55.9;63.9;34.2;65.4
93;Totaal mannen en vrouwen;10 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2011/2014;72.4;;56.0;62.4;34.5;65.1
94;Totaal mannen en vrouwen;10 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2013/2016;72.5;;55.8;62.6;34.4;64.9
95;Totaal mannen en vrouwen;10 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2015/2018;72.8;;55.3;63.4;33.6;64.9
96;Totaal mannen en vrouwen;10 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2011/2014;72.8;;57.1;63.5;35.8;66.1
97;Totaal mannen en vrouwen;10 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2013/2016;72.9;;57.0;63.7;35.6;65.8
98;Totaal mannen en vrouwen;10 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2015/2018;73.2;;56.5;64.4;34.8;65.8
99;Totaal mannen en vrouwen;10 jaar;Hoog onderwijsniveau;Waarde;2011/2014;74.7;0.0001;62.3;67.3;40.1;68.4
100;Totaal mannen en vrouwen;10 jaar;Hoog onderwijsniveau;Waarde;2013/2016;75.2;0.0001;62.5;68.1;40.5;69.1
101;Totaal mannen en vrouwen;10 jaar;Hoog onderwijsniveau;Waarde;2015/2018;75.9;0.0001;62.7;69.6;39.9;69.6
102;Totaal mannen en vrouwen;10 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2011/2014;74.4;;61.6;66.5;39.2;67.7
103;Totaal mannen en vrouwen;10 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2013/2016;74.9;;61.8;67.3;39.6;68.5
104;Totaal mannen en vrouwen;10 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2015/2018;75.6;;61.9;68.8;39.2;69.0
105;Totaal mannen en vrouwen;10 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2011/2014;75.0;;63.1;68.0;40.9;69.0
106;Totaal mannen en vrouwen;10 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2013/2016;75.4;;63.3;68.8;41.3;69.6
107;Totaal mannen en vrouwen;10 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2015/2018;76.2;;63.5;70.3;40.7;70.1
108;Totaal mannen en vrouwen;15 jaar;Laag onderwijsniveau;Waarde;2011/2014;65.7;0.0002;44.5;51.8;29.0;56.5
109;Totaal mannen en vrouwen;15 jaar;Laag onderwijsniveau;Waarde;2013/2016;65.6;0.0002;44.0;51.0;27.0;55.5
110;Totaal mannen en vrouwen;15 jaar;Laag onderwijsniveau;Waarde;2015/2018;65.1;0.0003;43.6;51.3;26.1;54.8
111;Totaal mannen en vrouwen;15 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2011/2014;65.5;;43.9;51.1;28.1;55.8
112;Totaal mannen en vrouwen;15 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2013/2016;65.4;;43.3;50.3;26.1;54.8
113;Totaal mannen en vrouwen;15 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2015/2018;64.9;;42.8;50.7;25.2;54.2
114;Totaal mannen en vrouwen;15 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2011/2014;65.9;;45.1;52.5;29.9;57.2
115;Totaal mannen en vrouwen;15 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2013/2016;65.8;;44.7;51.7;27.8;56.1
116;Totaal mannen en vrouwen;15 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2015/2018;65.3;;44.3;51.9;26.9;55.5
117;Totaal mannen en vrouwen;15 jaar;Middelbaar onderwijsniveau;Waarde;2011/2014;67.6;0.0002;51.7;58.1;30.8;61.0
118;Totaal mannen en vrouwen;15 jaar;Middelbaar onderwijsniveau;Waarde;2013/2016;67.7;0.0002;51.6;58.3;30.7;60.9
119;Totaal mannen en vrouwen;15 jaar;Middelbaar onderwijsniveau;Waarde;2015/2018;68.0;0.0002;51.2;59.0;30.1;60.9
120;Totaal mannen en vrouwen;15 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2011/2014;67.4;;51.1;57.5;30.1;60.5
121;Totaal mannen en vrouwen;15 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2013/2016;67.5;;51.1;57.8;30.1;60.5
122;Totaal mannen en vrouwen;15 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2015/2018;67.8;;50.6;58.5;29.6;60.4
123;Totaal mannen en vrouwen;15 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2011/2014;67.9;;52.2;58.7;31.4;61.5
124;Totaal mannen en vrouwen;15 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2013/2016;67.9;;52.2;58.8;31.3;61.3
125;Totaal mannen en vrouwen;15 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2015/2018;68.3;;51.8;59.5;30.7;61.3
126;Totaal mannen en vrouwen;15 jaar;Hoog onderwijsniveau;Waarde;2011/2014;69.7;0.0003;57.5;62.5;35.6;64.0
127;Totaal mannen en vrouwen;15 jaar;Hoog onderwijsniveau;Waarde;2013/2016;70.2;0.0002;57.7;63.2;36.0;64.5
128;Totaal mannen en vrouwen;15 jaar;Hoog onderwijsniveau;Waarde;2015/2018;71.0;0.0002;57.9;64.7;35.6;65.0
129;Totaal mannen en vrouwen;15 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2011/2014;69.4;;56.8;61.7;34.8;63.4
130;Totaal mannen en vrouwen;15 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2013/2016;69.9;;57.0;62.5;35.2;64.0
131;Totaal mannen en vrouwen;15 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2015/2018;70.7;;57.1;64.0;34.9;64.4
132;Totaal mannen en vrouwen;15 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2011/2014;70.0;;58.2;63.3;36.5;64.6
133;Totaal mannen en vrouwen;15 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2013/2016;70.4;;58.5;64.0;36.8;65.1
134;Totaal mannen en vrouwen;15 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2015/2018;71.3;;58.6;65.4;36.3;65.5
135;Totaal mannen en vrouwen;20 jaar;Laag onderwijsniveau;Waarde;2011/2014;60.7;0.0006;40.0;47.0;25.3;51.9
136;Totaal mannen en vrouwen;20 jaar;Laag onderwijsniveau;Waarde;2013/2016;60.6;0.0007;39.6;46.2;23.2;50.9
137;Totaal mannen en vrouwen;20 jaar;Laag onderwijsniveau;Waarde;2015/2018;60.2;0.0008;39.1;46.5;22.2;50.2
138;Totaal mannen en vrouwen;20 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2011/2014;60.5;;39.3;46.3;24.4;51.3
139;Totaal mannen en vrouwen;20 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2013/2016;60.5;;38.9;45.5;22.4;50.2
140;Totaal mannen en vrouwen;20 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2015/2018;60.0;;38.3;45.9;21.4;49.6
141;Totaal mannen en vrouwen;20 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2011/2014;60.9;;40.6;47.7;26.2;52.6
142;Totaal mannen en vrouwen;20 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2013/2016;60.8;;40.2;46.9;24.1;51.5
143;Totaal mannen en vrouwen;20 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2015/2018;60.4;;39.8;47.1;23.0;50.9
144;Totaal mannen en vrouwen;20 jaar;Middelbaar onderwijsniveau;Waarde;2011/2014;62.7;0.0003;47.2;53.3;27.1;56.5
145;Totaal mannen en vrouwen;20 jaar;Middelbaar onderwijsniveau;Waarde;2013/2016;62.8;0.0003;47.2;53.5;27.1;56.4
146;Totaal mannen en vrouwen;20 jaar;Middelbaar onderwijsniveau;Waarde;2015/2018;63.1;0.0003;46.8;54.2;26.6;56.4
147;Totaal mannen en vrouwen;20 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2011/2014;62.5;;46.7;52.7;26.5;56.0
148;Totaal mannen en vrouwen;20 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2013/2016;62.6;;46.7;53.0;26.5;56.0
149;Totaal mannen en vrouwen;20 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2015/2018;62.9;;46.2;53.7;26.0;56.0
150;Totaal mannen en vrouwen;20 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2011/2014;62.9;;47.7;53.8;27.7;57.0
151;Totaal mannen en vrouwen;20 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2013/2016;63.0;;47.8;54.0;27.7;56.9
152;Totaal mannen en vrouwen;20 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2015/2018;63.3;;47.4;54.7;27.1;56.9
153;Totaal mannen en vrouwen;20 jaar;Hoog onderwijsniveau;Waarde;2011/2014;64.8;0.0002;53.0;57.8;32.0;59.7
154;Totaal mannen en vrouwen;20 jaar;Hoog onderwijsniveau;Waarde;2013/2016;65.2;0.0002;53.1;58.5;32.3;60.1
155;Totaal mannen en vrouwen;20 jaar;Hoog onderwijsniveau;Waarde;2015/2018;66.0;0.0002;53.3;59.8;31.8;60.4
156;Totaal mannen en vrouwen;20 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2011/2014;64.5;;52.3;57.0;31.2;59.1
157;Totaal mannen en vrouwen;20 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2013/2016;65.0;;52.4;57.7;31.6;59.5
158;Totaal mannen en vrouwen;20 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2015/2018;65.7;;52.5;59.1;31.1;59.9
159;Totaal mannen en vrouwen;20 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2011/2014;65.1;;53.7;58.5;32.8;60.2
160;Totaal mannen en vrouwen;20 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2013/2016;65.5;;53.9;59.2;33.1;60.6
161;Totaal mannen en vrouwen;20 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2015/2018;66.3;;54.1;60.5;32.5;60.9
162;Totaal mannen en vrouwen;25 jaar;Laag onderwijsniveau;Waarde;2011/2014;55.9;0.0007;36.2;42.9;22.2;47.8
163;Totaal mannen en vrouwen;25 jaar;Laag onderwijsniveau;Waarde;2013/2016;55.8;0.0007;35.5;42.0;20.6;46.7
164;Totaal mannen en vrouwen;25 jaar;Laag onderwijsniveau;Waarde;2015/2018;55.4;0.0008;34.9;42.0;19.1;45.9
165;Totaal mannen en vrouwen;25 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2011/2014;55.7;;35.7;42.4;21.5;47.3
166;Totaal mannen en vrouwen;25 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2013/2016;55.7;;34.9;41.4;19.9;46.1
167;Totaal mannen en vrouwen;25 jaar;Laag onderwijsniveau;Ondergrens 95%-interval;2015/2018;55.2;;34.2;41.4;18.4;45.3
168;Totaal mannen en vrouwen;25 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2011/2014;56.1;;36.7;43.5;22.9;48.4
169;Totaal mannen en vrouwen;25 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2013/2016;56.0;;36.1;42.6;21.3;47.3
170;Totaal mannen en vrouwen;25 jaar;Laag onderwijsniveau;Bovengrens 95%-interval;2015/2018;55.6;;35.6;42.6;19.8;46.5
171;Totaal mannen en vrouwen;25 jaar;Middelbaar onderwijsniveau;Waarde;2011/2014;57.8;0.0003;43.0;48.7;23.8;52.1
172;Totaal mannen en vrouwen;25 jaar;Middelbaar onderwijsniveau;Waarde;2013/2016;57.9;0.0003;43.1;48.8;23.7;52.1
173;Totaal mannen en vrouwen;25 jaar;Middelbaar onderwijsniveau;Waarde;2015/2018;58.2;0.0003;42.7;49.4;23.3;52.1
174;Totaal mannen en vrouwen;25 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2011/2014;57.6;;42.5;48.1;23.2;51.7
175;Totaal mannen en vrouwen;25 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2013/2016;57.7;;42.5;48.3;23.1;51.7
176;Totaal mannen en vrouwen;25 jaar;Middelbaar onderwijsniveau;Ondergrens 95%-interval;2015/2018;58.0;;42.1;48.9;22.8;51.7
177;Totaal mannen en vrouwen;25 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2011/2014;58.0;;43.5;49.2;24.4;52.6
178;Totaal mannen en vrouwen;25 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2013/2016;58.0;;43.6;49.3;24.2;52.5
179;Totaal mannen en vrouwen;25 jaar;Middelbaar onderwijsniveau;Bovengrens 95%-interval;2015/2018;58.4;;43.2;50.0;23.8;52.5
180;Totaal mannen en vrouwen;25 jaar;Hoog onderwijsniveau;Waarde;2011/2014;59.9;0.0002;48.4;52.9;28.4;55.3
181;Totaal mannen en vrouwen;25 jaar;Hoog onderwijsniveau;Waarde;2013/2016;60.3;0.0002;48.6;53.6;28.7;55.7
182;Totaal mannen en vrouwen;25 jaar;Hoog onderwijsniveau;Waarde;2015/2018;61.1;0.0002;48.8;54.9;28.2;56.1
183;Totaal mannen en vrouwen;25 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2011/2014;59.6;;47.7;52.2;27.6;54.8
184;Totaal mannen en vrouwen;25 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2013/2016;60.1;;47.9;52.8;27.9;55.2
185;Totaal mannen en vrouwen;25 jaar;Hoog onderwijsniveau;Ondergrens 95%-interval;2015/2018;60.8;;48.0;54.2;27.5;55.5
186;Totaal mannen en vrouwen;25 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2011/2014;60.2;;49.1;53.7;29.2;55.9
187;Totaal mannen en vrouwen;25 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2013/2016;60.6;;49.3;54.3;29.4;56.2
188;Totaal mannen en vrouwen;25 jaar;Hoog onderwijsniveau;Bovengrens 95%-interval;2015/2018;61.4;;49.6;55.6;28.9;56.6
