ID;Overheidslaag;StandMutatie;Perioden;EMUSaldo_1;VorderingenTotaal_2;TotaalLanglopendeVorderingen_3;EffectenEnDeelnemingen_4;DeelnemInEigenBedrijfsmDiensten_5;OverigeLanglopendeVorderingen_6;TotaalKortlopendeVorderingen_7;RCOpEigenBedrijfsmatigDienst_8;RCOpDerdenNietFinancieleInstell_9;KasEnDaggeldleningTermijndepositoS_10;LiquideMiddelen_11;OverigeKortlopendeVorderingen_12;SchuldenTotaal_13;TotaalLanglopendeSchulden_14;ObligatiesEnMediumTermNotes_15;BelegdeResDoorEigBedrijfsmDienst_16;BelegdeReservesDoorDerden_17;Waarborgsommen_18;OverigeLanglopendeSchulden_19;KortlopendeSchuldenTotaal_20;RCBijEigenBedrijfsmatigeDiensten_21;RCBijDerdenNietFinancieleInstell_22;KasEnDaggeldleningTermijndepositoS_23;OverigeKortlopendeSchulden_24
19;Overheid totaal;Stand;2004 1e kwartaal*;;45.6;24.6;4.0;1.5;19.1;21.1;0.1;0.1;1.7;3.1;16.0;52.1;36.2;3.0;0.9;0.1;0.1;32.2;15.9;0.0;0.1;3.7;12.1
20;Overheid totaal;Stand;2004 2e kwartaal*;;44.9;23.9;3.9;1.5;18.5;21.0;0.2;0.2;2.1;3.8;14.7;51.9;35.7;3.0;0.9;0.2;0.1;31.6;16.1;0.0;0.1;3.2;12.7
21;Overheid totaal;Stand;2004 3e kwartaal*;;43.5;23.9;3.9;1.5;18.5;19.6;0.3;0.2;1.9;3.5;13.7;51.1;36.0;3.0;0.9;0.2;0.1;31.9;15.1;0.1;0.1;3.5;11.5
22;Overheid totaal;Stand;2004 4e kwartaal*;;42.6;24.2;4.2;1.4;18.5;18.4;0.0;0.1;1.8;3.3;13.2;52.3;36.0;3.0;0.9;0.1;0.1;31.9;16.3;0.1;0.4;4.1;11.7
23;Overheid totaal;Stand;2004 eindstand*;;42.6;24.2;4.2;1.4;18.5;18.4;0.0;0.1;1.8;3.3;13.2;52.3;36.0;3.0;0.9;0.1;0.1;31.9;16.3;0.1;0.4;4.1;11.7
24;Overheid totaal;Stand;2005 beginstand*;;42.6;24.2;4.2;1.4;18.5;18.4;0.0;0.1;1.8;3.3;13.2;52.3;36.0;3.0;0.9;0.1;0.1;31.9;16.3;0.1;0.4;4.1;11.7
25;Overheid totaal;Stand;2005 1e kwartaal*;;46.1;24.0;4.2;1.4;18.4;22.0;0.0;0.1;1.7;3.2;17.1;52.9;36.5;3.0;0.9;0.1;0.1;32.4;16.4;0.1;0.4;4.3;11.5
26;Overheid totaal;Stand;2005 2e kwartaal*;;46.1;24.1;4.2;1.4;18.5;22.0;-0.1;0.1;2.1;4.4;15.5;52.9;37.1;2.9;0.9;0.2;0.1;33.0;15.8;0.1;0.8;4.2;10.7
27;Overheid totaal;Stand;2005 3e kwartaal*;;43.5;23.8;4.0;1.3;18.5;19.7;0.1;0.0;2.5;4.0;13.2;51.8;36.9;2.7;0.9;0.1;0.1;33.0;14.9;0.2;0.5;3.7;10.5
28;Overheid totaal;Stand;2005 4e kwartaal*;;41.7;22.8;4.2;1.2;17.4;18.9;0.1;0.1;2.5;3.3;12.9;53.0;37.6;2.9;0.9;0.1;0.2;33.5;15.4;0.1;0.6;3.9;10.8
29;Overheid totaal;Stand;2005 eindstand*;;41.7;22.8;4.2;1.2;17.4;18.9;0.1;0.1;2.5;3.3;12.9;53.0;37.6;2.9;0.9;0.1;0.2;33.5;15.4;0.1;0.6;3.9;10.8
30;Overheid totaal;Mutatie;2001 beginstand;;;;;;;;;;;;;;;;;;;;;;;;
31;Overheid totaal;Mutatie;2001 1e kwartaal;1.8;1.1;-0.4;0.1;-0.1;-0.4;1.5;0.1;0.0;-1.2;-0.2;2.8;-0.7;-0.5;0.1;0.0;0.0;0.0;-0.7;-0.2;0.0;-0.1;-0.8;0.7
32;Overheid totaal;Mutatie;2001 2e kwartaal;-0.1;0.1;0.0;0.1;0.0;-0.1;0.1;0.2;-0.1;0.2;0.3;-0.5;0.2;0.2;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;-0.4
33;Overheid totaal;Mutatie;2001 3e kwartaal;-0.6;-0.7;-0.1;0.1;0.2;-0.4;-0.6;0.0;0.0;0.2;0.2;-0.9;-0.1;-0.3;0.0;0.0;0.0;0.2;-0.5;0.2;0.1;0.1;0.3;-0.2
34;Overheid totaal;Mutatie;2001 4e kwartaal;-1.7;-1.0;-0.5;0.0;0.0;-0.5;-0.6;-0.2;0.0;0.0;0.0;-0.4;0.7;-0.1;0.0;-0.1;0.0;-0.2;0.2;0.7;0.1;0.0;-0.1;0.6
35;Overheid totaal;Mutatie;2001 eindstand;-0.6;-0.6;-1.0;0.3;0.2;-1.5;0.4;0.1;-0.2;-0.8;0.3;1.0;0.1;-0.7;0.3;0.0;0.1;0.0;-1.0;0.8;0.2;0.0;-0.2;0.8
36;Overheid totaal;Mutatie;2002 beginstand;;;;;;;;;;;;;;;;;;;;;;;;
37;Overheid totaal;Mutatie;2002 1e kwartaal;1.9;3.6;-0.6;-0.1;-0.1;-0.3;4.2;0.2;-0.1;-0.3;-0.1;4.5;1.7;0.2;-0.2;0.2;0.0;0.0;0.1;1.5;0.0;-0.1;0.5;1.1
38;Overheid totaal;Mutatie;2002 2e kwartaal;0.3;0.2;0.3;0.0;0.4;-0.1;-0.1;0.0;0.0;0.1;0.2;-0.4;-0.2;-0.3;-0.2;0.0;0.0;0.0;-0.1;0.1;0.0;0.2;-0.1;0.0
39;Overheid totaal;Mutatie;2002 3e kwartaal;-1.4;-2.7;-0.5;-0.1;-0.2;-0.2;-2.2;-0.1;0.0;0.0;-0.3;-1.8;-1.3;-0.4;-0.2;0.0;0.0;0.0;-0.2;-0.9;0.1;-0.1;0.0;-0.9
40;Overheid totaal;Mutatie;2002 4e kwartaal;-3.1;-2.4;-0.9;-0.2;-0.2;-0.5;-1.4;-0.1;0.2;-0.3;-0.1;-1.1;0.8;0.1;0.2;0.0;0.1;0.0;-0.2;0.7;-0.2;0.1;0.3;0.5
41;Overheid totaal;Mutatie;2002 eindstand;-2.2;-1.2;-1.7;-0.4;0.0;-1.2;0.4;0.0;0.0;-0.6;-0.3;1.3;1.0;-0.4;-0.3;0.2;0.1;0.0;-0.4;1.4;-0.1;0.0;0.8;0.7
42;Overheid totaal;Mutatie;2003 beginstand*;;;;;;;;;;;;;;;;;;;;;;;;
43;Overheid totaal;Mutatie;2003 1e kwartaal*;2.4;3.5;-1.1;-0.2;-0.1;-0.8;4.6;0.1;0.0;0.2;0.0;4.3;1.1;0.6;-0.1;0.0;0.0;0.0;0.6;0.5;-0.1;0.0;0.1;0.6
44;Overheid totaal;Mutatie;2003 2e kwartaal*;-0.3;0.4;0.0;-0.4;0.4;0.0;0.4;0.1;-0.1;-0.2;0.3;0.3;0.7;0.0;-0.2;0.1;0.0;0.0;0.1;0.7;0.0;0.2;0.0;0.5
45;Overheid totaal;Mutatie;2003 3e kwartaal*;-1.3;-2.1;-0.8;-0.4;0.0;-0.4;-1.4;0.3;-0.1;-0.1;0.3;-1.8;-0.8;-0.8;-0.3;0.1;0.0;0.0;-0.5;-0.1;0.1;0.1;0.1;-0.4
46;Overheid totaal;Mutatie;2003 4e kwartaal*;-2.0;-3.0;-0.7;0.2;-0.3;-0.6;-2.3;-0.4;0.0;-0.1;0.3;-2.1;-1.0;0.4;0.5;-0.2;0.0;0.0;0.1;-1.5;-0.1;0.0;-0.5;-0.9
47;Overheid totaal;Mutatie;2003 eindstand*;-1.6;-1.2;-2.6;-0.9;0.0;-1.8;1.4;0.0;-0.1;-0.2;0.9;0.7;0.0;0.3;-0.1;0.0;0.0;0.0;0.3;-0.2;-0.1;0.2;-0.3;-0.1
48;Overheid totaal;Mutatie;2004 beginstand*;;;;;;;;;;;;;;;;;;;;;;;;
49;Overheid totaal;Mutatie;2004 1e kwartaal*;1.7;1.3;-1.0;-0.4;-0.3;-0.3;2.3;0.0;0.1;-0.1;-0.7;2.9;-0.4;0.4;-0.2;0.1;0.0;0.0;0.6;-0.9;-0.1;-0.2;0.2;-0.8
50;Overheid totaal;Mutatie;2004 2e kwartaal*;-0.4;-0.7;-0.7;-0.1;0.0;-0.6;0.0;0.1;0.1;0.4;0.7;-1.3;-0.3;-0.5;0.0;0.0;0.0;0.0;-0.5;0.2;0.0;0.0;-0.4;0.6
51;Overheid totaal;Mutatie;2004 3e kwartaal*;-0.6;-1.4;0.1;0.0;0.0;0.0;-1.4;0.1;0.0;-0.1;-0.3;-1.0;-0.8;0.3;0.0;0.0;0.0;0.0;0.2;-1.0;0.0;0.0;0.2;-1.3
52;Overheid totaal;Mutatie;2004 4e kwartaal*;-2.2;-1.0;0.2;0.3;-0.1;0.0;-1.2;-0.3;-0.1;-0.1;-0.2;-0.5;1.2;0.1;0.0;0.0;0.0;0.0;0.1;1.2;0.0;0.3;0.6;0.2
53;Overheid totaal;Mutatie;2004 eindstand*;-1.5;-1.8;-1.4;-0.2;-0.4;-0.8;-0.4;0.0;0.1;0.0;-0.5;0.1;-0.2;0.2;-0.3;0.1;0.0;0.0;0.4;-0.5;0.0;0.1;0.6;-1.2
54;Overheid totaal;Mutatie;2005 beginstand*;;;;;;;;;;;;;;;;;;;;;;;;
55;Overheid totaal;Mutatie;2005 1e kwartaal*;2.9;3.5;-0.1;0.0;0.0;-0.1;3.6;0.0;0.0;-0.1;-0.1;3.9;0.6;0.5;0.0;0.0;0.0;0.0;0.5;0.1;0.0;0.1;0.2;-0.2
56;Overheid totaal;Mutatie;2005 2e kwartaal*;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.4;1.3;-1.6;0.0;0.6;-0.1;0.0;0.0;0.0;0.6;-0.5;0.0;0.4;-0.1;-0.8
57;Overheid totaal;Mutatie;2005 3e kwartaal*;-1.4;-2.6;-0.2;-0.1;-0.1;0.0;-2.4;0.1;-0.1;0.4;-0.5;-2.3;-1.2;-0.2;-0.2;0.0;0.0;0.0;0.0;-1.0;0.1;-0.2;-0.6;-0.3
58;Overheid totaal;Mutatie;2005 4e kwartaal*;-3.0;-1.8;-1.0;0.1;-0.1;-1.1;-0.8;0.0;0.1;0.0;-0.6;-0.3;1.3;0.7;0.1;0.0;0.0;0.1;0.5;0.6;0.0;0.1;0.2;0.3
59;Overheid totaal;Mutatie;2005 eindstand*;-1.9;-0.8;-1.3;0.0;-0.2;-1.1;0.5;0.1;0.0;0.7;0.0;-0.2;0.7;1.6;-0.1;0.0;0.0;0.1;1.6;-0.9;0.0;0.4;-0.2;-1.0
60;Overheid totaal excl. politieregio's;Stand;2001 beginstand;;43.9;28.3;4.2;3.5;20.7;15.5;0.1;0.3;4.1;2.3;12.6;49.8;36.0;3.6;0.7;0.2;0.2;31.5;13.8;0.1;0.1;2.6;10.9
61;Overheid totaal excl. politieregio's;Stand;2001 1e kwartaal;;45.0;27.9;4.2;3.4;20.3;17.1;0.2;0.3;2.9;2.2;14.1;49.3;35.5;3.7;0.7;0.2;0.1;30.8;13.7;0.1;0.2;1.9;11.7
62;Overheid totaal excl. politieregio's;Stand;2001 2e kwartaal;;45.2;27.9;4.3;3.4;20.2;17.3;0.4;0.2;3.2;2.5;14.1;49.5;35.7;3.8;0.7;0.2;0.1;30.8;13.8;0.0;0.2;2.2;11.4
63;Overheid totaal excl. politieregio's;Stand;2001 3e kwartaal;;44.3;27.8;4.4;3.6;19.7;16.5;0.4;0.2;3.3;2.6;13.3;49.2;35.4;3.9;0.7;0.3;0.3;30.3;13.8;0.1;0.2;2.5;11.0
64;Overheid totaal excl. politieregio's;Stand;2001 4e kwartaal;;43.3;27.4;4.5;3.7;19.2;16.0;0.2;0.2;3.3;2.7;12.8;49.9;35.4;3.9;0.6;0.2;0.1;30.5;14.6;0.3;0.2;2.4;11.7
65;Overheid totaal excl. politieregio's;Stand;2001 eindstand;;43.3;27.4;4.5;3.7;19.2;16.0;0.2;0.2;3.3;2.7;12.8;49.9;35.4;3.9;0.6;0.2;0.1;30.5;14.6;0.3;0.2;2.4;11.7
66;Overheid totaal excl. politieregio's;Stand;2002 beginstand;;43.5;27.7;4.7;3.7;19.3;15.8;0.1;0.2;3.3;2.6;9.5;49.9;35.5;3.4;0.6;0.2;0.1;31.1;14.3;0.3;0.2;2.6;11.4
67;Overheid totaal excl. politieregio's;Stand;2002 1e kwartaal;;47.2;27.2;4.6;3.6;19.0;20.0;0.3;0.1;2.9;2.6;14.1;51.7;35.8;3.3;0.9;0.2;0.1;31.2;15.9;0.3;0.2;3.1;12.4
68;Overheid totaal excl. politieregio's;Stand;2002 2e kwartaal;;47.4;27.4;4.6;4.0;18.8;20.0;0.4;0.1;3.1;2.8;13.7;51.5;35.5;3.1;0.9;0.2;0.1;31.2;16.0;0.3;0.3;3.0;12.4
69;Overheid totaal excl. politieregio's;Stand;2002 3e kwartaal;;44.7;27.0;4.5;3.9;18.6;17.7;0.3;0.1;3.0;2.4;11.9;50.2;35.1;2.9;0.9;0.2;0.1;30.9;15.1;0.4;0.2;3.0;11.6
70;Overheid totaal excl. politieregio's;Stand;2002 4e kwartaal;;42.3;26.0;4.3;3.7;18.1;16.3;0.2;0.2;2.7;2.4;10.8;50.9;35.2;3.1;0.9;0.3;0.1;30.7;15.8;0.2;0.2;3.4;12.0
71;Overheid totaal excl. politieregio's;Stand;2002 eindstand;;42.3;26.0;4.3;3.7;18.1;16.3;0.2;0.2;2.7;2.4;10.8;50.9;35.2;3.1;0.9;0.3;0.1;30.7;15.8;0.2;0.2;3.4;12.0
72;Overheid totaal excl. politieregio's;Stand;2003 beginstand*;;42.8;26.4;4.6;3.6;18.2;16.4;0.1;0.4;1.4;4.1;10.3;50.5;35.1;1.7;0.9;0.3;0.1;32.1;15.4;0.2;0.2;3.6;11.4
73;Overheid totaal excl. politieregio's;Stand;2003 1e kwartaal*;;46.2;25.3;4.4;3.5;17.4;21.0;0.2;0.4;1.6;4.1;14.6;51.7;35.7;1.7;0.9;0.2;0.1;32.7;16.1;0.1;0.3;3.6;12.1
74;Overheid totaal excl. politieregio's;Stand;2003 2e kwartaal*;;46.7;25.2;3.9;3.9;17.4;21.4;0.3;0.4;1.5;4.4;14.9;52.3;35.6;1.4;1.0;0.3;0.1;32.8;16.7;0.1;0.3;3.6;12.6
75;Overheid totaal excl. politieregio's;Stand;2003 3e kwartaal*;;44.5;24.5;3.5;3.9;17.1;20.0;0.6;0.3;1.3;4.7;13.1;51.5;34.9;1.2;1.1;0.2;0.1;32.3;16.6;0.2;0.4;3.7;12.2
76;Overheid totaal excl. politieregio's;Stand;2003 4e kwartaal*;;41.4;23.8;3.7;3.6;16.5;17.6;0.1;0.3;1.2;5.0;11.0;50.4;35.3;1.7;0.9;0.3;0.1;32.3;15.1;0.1;0.4;3.3;11.3
77;Overheid totaal excl. politieregio's;Stand;2003 eindstand*;;41.4;23.8;3.7;3.6;16.5;17.6;0.1;0.3;1.2;5.0;11.0;50.4;35.3;1.7;0.9;0.3;0.1;32.3;15.1;0.1;0.4;3.3;11.3
78;Overheid totaal excl. politieregio's;Stand;2004 beginstand*;;43.8;25.5;4.3;1.9;19.3;18.2;0.0;0.0;1.6;3.6;13.0;51.9;35.7;3.2;0.8;0.1;0.1;31.4;16.3;0.1;0.3;3.5;12.4
79;Overheid totaal excl. politieregio's;Stand;2004 1e kwartaal*;;45.1;24.5;4.0;1.5;19.1;20.6;0.1;0.1;1.6;2.9;15.9;51.6;36.1;3.0;0.9;0.1;0.1;32.0;15.5;0.0;0.1;3.7;11.6
80;Overheid totaal excl. politieregio's;Stand;2004 2e kwartaal*;;44.4;23.8;3.9;1.5;18.5;20.5;0.2;0.2;1.9;3.6;14.6;51.2;35.6;3.0;0.9;0.2;0.1;31.5;15.7;0.0;0.1;3.2;12.3
81;Overheid totaal excl. politieregio's;Stand;2004 3e kwartaal*;;43.0;23.9;3.9;1.5;18.5;19.1;0.3;0.2;1.7;3.3;13.6;50.5;35.8;3.0;0.9;0.2;0.1;31.7;14.7;0.1;0.1;3.5;11.0
82;Overheid totaal excl. politieregio's;Stand;2004 4e kwartaal*;;42.0;24.1;4.2;1.4;18.5;17.9;0.0;0.1;1.6;3.1;13.0;51.6;35.9;3.0;0.9;0.1;0.1;31.8;15.7;0.1;0.4;4.1;11.2
83;Overheid totaal excl. politieregio's;Stand;2004 eindstand*;;42.0;24.1;4.2;1.4;18.5;17.9;0.0;0.1;1.6;3.1;13.0;51.6;35.9;3.0;0.9;0.1;0.1;31.8;15.7;0.1;0.4;4.1;11.2
84;Overheid totaal excl. politieregio's;Stand;2005 beginstand*;;42.0;24.1;4.2;1.4;18.5;17.9;0.0;0.1;1.6;3.1;13.0;51.6;35.9;3.0;0.9;0.1;0.1;31.8;15.7;0.1;0.4;4.1;11.2
85;Overheid totaal excl. politieregio's;Stand;2005 1e kwartaal*;;45.6;24.0;4.2;1.4;18.4;21.6;0.0;0.1;1.5;3.0;17.0;52.3;36.4;3.0;0.9;0.1;0.1;32.3;15.9;0.1;0.4;4.3;11.1
86;Overheid totaal excl. politieregio's;Stand;2005 2e kwartaal*;;45.6;24.0;4.2;1.4;18.5;21.6;-0.1;0.1;1.9;4.3;15.4;52.3;37.0;2.9;0.9;0.2;0.1;32.9;15.3;0.1;0.8;4.2;10.2
87;Overheid totaal excl. politieregio's;Stand;2005 3e kwartaal*;;42.9;23.8;4.0;1.3;18.5;19.1;0.1;0.0;2.2;3.8;13.1;51.2;36.8;2.7;0.9;0.1;0.1;32.9;14.4;0.2;0.5;3.7;10.0
88;Overheid totaal excl. politieregio's;Stand;2005 4e kwartaal*;;41.2;22.8;4.2;1.2;17.4;18.4;0.1;0.1;2.3;3.1;12.8;52.4;37.5;2.9;0.9;0.1;0.2;33.4;14.9;0.1;0.6;3.9;10.3
89;Overheid totaal excl. politieregio's;Stand;2005 eindstand*;;41.2;22.8;4.2;1.2;17.4;18.4;0.1;0.1;2.3;3.1;12.8;52.4;37.5;2.9;0.9;0.1;0.2;33.4;14.9;0.1;0.6;3.9;10.3
90;Overheid totaal excl. politieregio's;Mutatie;2001 beginstand;;;;;;;;;;;;;;;;;;;;;;;;
91;Overheid totaal excl. politieregio's;Mutatie;2001 1e kwartaal;1.7;1.1;-0.4;0.1;-0.1;-0.4;1.6;0.1;0.0;-1.2;-0.1;2.8;-0.5;-0.5;0.1;0.0;0.0;0.0;-0.7;-0.1;0.0;0.0;-0.8;0.7
92;Overheid totaal excl. politieregio's;Mutatie;2001 2e kwartaal;0.0;0.2;0.0;0.1;0.0;-0.1;0.2;0.2;-0.1;0.3;0.3;-0.5;0.2;0.2;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;-0.3
93;Overheid totaal excl. politieregio's;Mutatie;2001 3e kwartaal;-0.6;-0.9;-0.1;0.1;0.2;-0.4;-0.8;0.0;0.0;0.1;0.1;-0.9;-0.2;-0.3;0.0;0.0;0.0;0.2;-0.5;0.1;0.1;0.0;0.3;-0.3
94;Overheid totaal excl. politieregio's;Mutatie;2001 4e kwartaal;-1.7;-1.0;-0.5;0.1;0.0;-0.5;-0.5;-0.2;0.0;0.0;0.0;-0.4;0.7;0.0;0.0;-0.1;0.0;-0.2;0.2;0.7;0.1;0.0;-0.1;0.7
95;Overheid totaal excl. politieregio's;Mutatie;2001 eindstand;-0.7;-0.5;-1.0;0.3;0.2;-1.5;0.4;0.1;-0.2;-0.8;0.3;1.0;0.1;-0.7;0.3;0.0;0.1;0.0;-1.0;0.8;0.2;0.0;-0.2;0.8
96;Overheid totaal excl. politieregio's;Mutatie;2002 beginstand;;;;;;;;;;;;;;;;;;;;;;;;
97;Overheid totaal excl. politieregio's;Mutatie;2002 1e kwartaal;1.8;3.6;-0.6;-0.1;-0.1;-0.3;4.2;0.2;-0.1;-0.4;-0.1;4.5;1.8;0.2;-0.2;0.2;0.0;0.0;0.1;1.6;0.0;0.0;0.5;1.1
98;Overheid totaal excl. politieregio's;Mutatie;2002 2e kwartaal;0.5;0.2;0.3;0.0;0.4;-0.1;0.0;0.0;0.0;0.1;0.2;-0.4;-0.2;-0.3;-0.2;0.0;0.0;0.0;-0.1;0.0;0.0;0.1;-0.1;0.0
99;Overheid totaal excl. politieregio's;Mutatie;2002 3e kwartaal;-1.4;-2.7;-0.5;-0.1;-0.2;-0.2;-2.2;-0.1;0.0;0.0;-0.3;-1.8;-1.3;-0.4;-0.2;0.0;0.0;0.0;-0.2;-0.9;0.1;-0.1;0.0;-0.9
100;Overheid totaal excl. politieregio's;Mutatie;2002 4e kwartaal;-3.1;-2.4;-0.9;-0.2;-0.2;-0.5;-1.4;-0.1;0.2;-0.3;0.0;-1.1;0.7;0.1;0.2;0.0;0.1;0.0;-0.2;0.6;-0.2;0.0;0.3;0.5
101;Overheid totaal excl. politieregio's;Mutatie;2002 eindstand;-2.2;-1.2;-1.7;-0.4;0.0;-1.2;0.5;0.0;0.0;-0.6;-0.2;1.3;1.0;-0.4;-0.3;0.2;0.1;0.0;-0.4;1.4;-0.1;0.0;0.8;0.7
102;Overheid totaal excl. politieregio's;Mutatie;2003 beginstand*;;;;;;;;;;;;;;;;;;;;;;;;
103;Overheid totaal excl. politieregio's;Mutatie;2003 1e kwartaal*;2.2;3.5;-1.1;-0.2;-0.1;-0.8;4.6;0.1;0.0;0.2;0.0;4.3;1.3;0.6;-0.1;0.0;0.0;0.0;0.6;0.7;-0.1;0.1;0.1;0.7
104;Overheid totaal excl. politieregio's;Mutatie;2003 2e kwartaal*;-0.2;0.4;0.0;-0.4;0.4;0.0;0.4;0.1;-0.1;-0.1;0.3;0.3;0.6;0.0;-0.2;0.1;0.0;0.0;0.1;0.6;0.0;0.1;0.0;0.5
105;Overheid totaal excl. politieregio's;Mutatie;2003 3e kwartaal*;-1.4;-2.2;-0.8;-0.4;0.0;-0.4;-1.4;0.3;-0.1;-0.2;0.2;-1.8;-0.8;-0.7;-0.3;0.1;0.0;0.0;-0.5;-0.1;0.1;0.1;0.1;-0.4
106;Overheid totaal excl. politieregio's;Mutatie;2003 4e kwartaal*;-2.0;-3.0;-0.7;0.2;-0.3;-0.6;-2.4;-0.4;0.0;-0.2;0.3;-2.1;-1.1;0.4;0.5;-0.2;0.0;0.0;0.1;-1.5;-0.1;0.0;-0.5;-0.9
