ID;Geslacht;Geboorteland;PlaatsInHetGezin;Perioden;Immigratie_1;EmigratieInclusiefAdministratieveC_2;EmigratieExclusiefAdministratieveC_3;MigratiesaldoInclusiefAdministratie_4;MigratiesaldoExclusiefAdministratie_5;AdministratieveOpnemingen_6;AdministratieveAfvoeringen_7;SaldoAdministratieveCorrecties_8
18;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;1998;28032;30757;26494;-2725;1538;1255;5518;-4263
19;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;1999;27923;30249;26084;-2326;1839;1336;5501;-4165
20;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;2000;31774;32057;28076;-283;3698;1464;5445;-3981
21;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;2001;29299;34058;28934;-4759;365;1623;6747;-5124
22;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;2002;24740;37519;30620;-12779;-5880;1843;8742;-6899
23;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;2003;20091;39920;31461;-19829;-11370;2417;10876;-8459
24;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;2004;18474;42355;34459;-23881;-15985;2977;10873;-7896
25;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;2005;18759;47004;38384;-28245;-19625;3042;11662;-8620
26;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;2006;21407;49872;40797;-28465;-19390;3603;12678;-9075
27;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;2007;21813;46376;39696;-24563;-17883;4101;10781;-6680
28;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;2008;24906;42453;36953;-17547;-12047;3883;9383;-5500
29;Mannen en vrouwen;Totaal geboorteland;Totaal in gezinsverband;2009;25509;36536;31800;-11027;-6291;3322;8058;-4736
30;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;1995;14489;24850;21737;-10361;-7248;485;3598;-3113
31;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;1996;13826;26941;23398;-13115;-9572;498;4041;-3543
32;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;1997;13027;23750;21176;-10723;-8149;501;3075;-2574
33;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;1998;12959;22621;20119;-9662;-7160;487;2989;-2502
34;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;1999;13209;21987;19788;-8778;-6579;582;2781;-2199
35;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;2000;14580;22795;20654;-8215;-6074;558;2699;-2141
36;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;2001;13361;24026;21162;-10665;-7801;700;3564;-2864
37;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;2002;10575;26019;22556;-15444;-11981;686;4149;-3463
38;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;2003;8780;26053;22046;-17273;-13266;1010;5017;-4007
39;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;2004;8125;26966;23253;-18841;-15128;1124;4837;-3713
40;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;2005;8724;30481;26637;-21757;-17913;1221;5065;-3844
41;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;2006;10875;32154;28056;-21279;-17181;1252;5350;-4098
42;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;2007;10188;30280;27309;-20092;-17121;1409;4380;-2971
43;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;2008;10654;28027;25657;-17373;-15003;1228;3598;-2370
44;Mannen en vrouwen;Totaal geboorteland;Personen in echtpaar;2009;11352;23655;21520;-12303;-10168;914;3049;-2135
45;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;1995;996;733;494;263;502;65;304;-239
46;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;1996;837;807;471;30;366;69;405;-336
47;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;1997;862;768;490;94;372;56;334;-278
48;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;1998;1023;663;470;360;553;67;260;-193
49;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;1999;975;721;499;254;476;85;307;-222
50;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;2000;1149;875;615;274;534;67;327;-260
51;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;2001;1155;874;600;281;555;113;387;-274
52;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;2002;1009;975;562;34;447;133;546;-413
53;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;2003;783;1129;657;-346;126;153;625;-472
54;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;2004;688;1136;649;-448;39;150;637;-487
55;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;2005;633;1359;793;-726;-160;157;723;-566
56;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;2006;745;1649;951;-904;-206;193;891;-698
57;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;2007;779;1462;979;-683;-200;216;699;-483
58;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;2008;946;1287;858;-341;88;200;629;-429
59;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met vader;2009;1120;1226;814;-106;306;184;596;-412
60;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;1995;9151;7579;5783;1572;3368;507;2303;-1796
61;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;1996;10693;7411;5543;3282;5150;725;2593;-1868
62;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;1997;11579;7060;5264;4519;6315;617;2413;-1796
63;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;1998;12030;6628;5229;5402;6801;614;2013;-1399
64;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;1999;11519;6487;5030;5032;6489;619;2076;-1457
65;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;2000;12846;7177;5825;5669;7021;749;2101;-1352
66;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;2001;11915;7916;6237;3999;5678;759;2438;-1679
67;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;2002;11440;8752;6248;2688;5192;908;3412;-2504
68;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;2003;9438;10877;7570;-1439;1868;1125;4432;-3307
69;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;2004;8463;12136;9047;-3673;-584;1506;4595;-3089
70;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;2005;7955;12646;9076;-4691;-1121;1495;5065;-3570
71;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;2006;8010;13731;9935;-5721;-1925;1845;5641;-3796
72;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;2007;8741;12101;9278;-3360;-537;2167;4990;-2823
73;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;2008;10778;10959;8693;-181;2085;2188;4454;-2266
74;Mannen en vrouwen;Totaal geboorteland;Personen in eenoudergezin met moeder;2009;11226;9866;7975;1360;3251;1968;3859;-1891
75;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;1995;2153;750;575;1403;1578;58;233;-175
76;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;1996;1963;806;596;1157;1367;30;240;-210
77;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;1997;1608;857;616;751;992;67;308;-241
78;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;1998;2020;845;676;1175;1344;87;256;-169
79;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;1999;2220;1054;767;1166;1453;50;337;-287
80;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;2000;3199;1210;982;1989;2217;90;318;-228
81;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;2001;2868;1242;935;1626;1933;51;358;-307
82;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;2002;1716;1773;1254;-57;462;116;635;-519
83;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;2003;1090;1861;1188;-771;-98;129;802;-673
84;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;2004;1198;2117;1510;-919;-312;197;804;-607
85;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;2005;1447;2518;1878;-1071;-431;169;809;-640
86;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;2006;1777;2338;1855;-561;-78;313;796;-483
87;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;2007;2105;2533;2130;-428;-25;309;712;-403
88;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;2008;2528;2180;1745;348;783;267;702;-435
89;Mannen en vrouwen;Totaal geboorteland;Personen in samenwonend paar met kin...;2009;1811;1789;1491;22;320;256;554;-298
90;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;1995;69310;48283;34732;21027;34578;11058;24609;-13551
91;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;1996;81430;55980;35317;25450;46113;12859;33522;-20663
92;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;1997;82784;49538;34672;33246;48112;13625;28491;-14866
93;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;1998;94375;48532;33947;45843;60428;15124;29709;-14585
94;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;1999;91228;48530;32939;42698;58289;15899;31490;-15591
95;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;2000;101076;46920;33125;54156;67951;17246;31041;-13795
96;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;2001;104105;48508;34384;55597;69721;17538;31662;-14124
97;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;2002;96510;59399;36108;37111;60402;19900;43191;-23291
98;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;2003;84423;64911;37424;19512;46999;22455;49942;-27487
99;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;2004;75545;67880;40590;7665;34955;24983;52273;-27290
100;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;2005;73538;72721;45015;817;28523;27449;55155;-27706
101;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;2006;79743;82598;50231;-2855;29512;30648;63015;-32367
102;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;2007;95006;76200;51591;18806;43415;34632;59241;-24609
103;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;2008;118610;75326;53114;43284;65496;38367;60579;-22212
104;Mannen en vrouwen;Totaal geboorteland;Alleengaanden;2009;120869;75361;53557;45508;67312;38331;60135;-21804
105;Mannen en vrouwen;Totaal niet-westers;Totaal personen;1995;39676;20506;11998;19170;27678;3970;12478;-8508
106;Mannen en vrouwen;Totaal niet-westers;Totaal personen;1996;50259;24033;11980;26226;38279;4885;16938;-12053
107;Mannen en vrouwen;Totaal niet-westers;Totaal personen;1997;52124;20129;11813;31995;40311;5324;13640;-8316
108;Mannen en vrouwen;Totaal niet-westers;Totaal personen;1998;58951;18910;11215;40041;47736;5697;13392;-7695
109;Mannen en vrouwen;Totaal niet-westers;Totaal personen;1999;54037;18798;10731;35239;43306;5649;13716;-8067
110;Mannen en vrouwen;Totaal niet-westers;Totaal personen;2000;62465;17250;10423;45215;52042;6547;13374;-6827
111;Mannen en vrouwen;Totaal niet-westers;Totaal personen;2001;64894;19177;11897;45717;52997;6381;13661;-7280
112;Mannen en vrouwen;Totaal niet-westers;Totaal personen;2002;59450;24715;12444;34735;47006;7087;19358;-12271
113;Mannen en vrouwen;Totaal niet-westers;Totaal personen;2003;48834;29590;14686;19244;34148;8164;23068;-14904
114;Mannen en vrouwen;Totaal niet-westers;Totaal personen;2004;37313;31949;17473;5364;19840;8792;23268;-14476
115;Mannen en vrouwen;Totaal niet-westers;Totaal personen;2005;34112;35368;18528;-1256;15584;9050;25890;-16840
116;Mannen en vrouwen;Totaal niet-westers;Totaal personen;2006;34492;37636;20316;-3144;14176;10619;27939;-17320
117;Mannen en vrouwen;Totaal niet-westers;Totaal personen;2007;36822;31894;20494;4928;16328;12186;23586;-11400
118;Mannen en vrouwen;Totaal niet-westers;Totaal personen;2008;48597;29050;19498;19547;29099;13326;22878;-9552
119;Mannen en vrouwen;Totaal niet-westers;Totaal personen;2009;52711;28864;20041;23847;32670;12328;21151;-8823
120;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;1995;7477;6721;4623;756;2854;298;2396;-2098
121;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;1996;10002;6734;4427;3268;5575;375;2682;-2307
122;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;1997;10521;5732;3961;4789;6560;283;2054;-1771
123;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;1998;11238;5056;3604;6182;7634;308;1760;-1452
124;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;1999;10605;4852;3495;5753;7110;257;1614;-1357
125;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;2000;12821;4917;3692;7904;9129;334;1559;-1225
126;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;2001;12194;5544;4021;6650;8173;354;1877;-1523
127;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;2002;10078;6754;4322;3324;5756;344;2776;-2432
128;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;2003;7141;8134;5303;-993;1838;483;3314;-2831
129;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;2004;5564;9324;6674;-3760;-1110;568;3218;-2650
130;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;2005;5587;10098;7020;-4511;-1433;560;3638;-3078
131;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;2006;5766;10518;7494;-4752;-1728;728;3752;-3024
132;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;2007;6032;9031;7017;-2999;-985;870;2884;-2014
133;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;2008;7642;8186;6515;-544;1127;698;2369;-1671
134;Mannen en vrouwen;Totaal niet-westers;Totaal in gezinsverband;2009;8540;8113;6615;427;1925;579;2077;-1498
135;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;1995;2645;4060;2934;-1415;-289;118;1244;-1126
136;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;1996;3455;4324;2967;-869;488;137;1494;-1357
137;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;1997;3017;3498;2568;-481;449;88;1018;-930
138;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;1998;3244;3129;2295;115;949;120;954;-834
139;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;1999;3078;2929;2217;149;861;96;808;-712
140;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;2000;3940;2672;2033;1268;1907;127;766;-639
141;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;2001;3766;2921;2146;845;1620;135;910;-775
142;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;2002;2421;3492;2346;-1071;75;95;1241;-1146
143;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;2003;1566;4069;2732;-2503;-1166;182;1519;-1337
144;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;2004;1154;4665;3516;-3511;-2362;209;1358;-1149
145;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;2005;1240;5412;4047;-4172;-2807;230;1595;-1365
146;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;2006;1699;5827;4405;-4128;-2706;268;1690;-1422
147;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;2007;1915;5266;4348;-3351;-2433;331;1249;-918
148;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;2008;2138;4899;4095;-2761;-1957;235;1039;-804
149;Mannen en vrouwen;Totaal niet-westers;Personen in echtpaar;2009;2627;5028;4283;-2401;-1656;182;927;-745
150;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;1995;290;205;97;85;193;18;126;-108
151;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;1996;315;227;100;88;215;5;132;-127
152;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;1997;312;178;84;134;228;16;110;-94
153;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;1998;448;166;97;282;351;16;85;-69
154;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;1999;348;180;83;168;265;21;118;-97
155;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;2000;444;173;93;271;351;16;96;-80
156;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;2001;499;194;102;305;397;24;116;-92
157;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;2002;431;263;111;168;320;26;178;-152
158;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;2003;319;273;144;46;175;33;162;-129
159;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;2004;221;309;147;-88;74;25;187;-162
160;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;2005;229;385;190;-156;39;27;222;-195
161;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;2006;223;444;225;-221;-2;51;270;-219
162;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;2007;214;377;220;-163;-6;47;204;-157
163;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;2008;285;343;202;-58;83;27;168;-141
164;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met vader;2009;377;333;186;44;191;33;180;-147
165;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;1995;3880;2311;1501;1569;2379;156;966;-810
166;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;1996;5387;2029;1256;3358;4131;221;994;-773
167;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;1997;6413;1868;1180;4545;5233;164;852;-688
168;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;1998;6578;1590;1095;4988;5483;162;657;-495
169;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;1999;6289;1596;1113;4693;5176;137;620;-483
170;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;2000;7150;1929;1476;5221;5674;174;627;-453
171;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;2001;6655;2256;1671;4399;4984;190;775;-585
172;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;2002;6531;2768;1755;3763;4776;206;1219;-1013
173;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;2003;4916;3463;2277;1453;2639;256;1442;-1186
174;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;2004;3833;3982;2773;-149;1060;299;1508;-1209
175;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;2005;3647;3899;2576;-252;1071;286;1609;-1323
176;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;2006;3322;3898;2653;-576;669;379;1624;-1245
177;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;2007;3204;3086;2213;118;991;453;1326;-873
178;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;2008;4334;2674;2033;1660;2301;415;1056;-641
179;Mannen en vrouwen;Totaal niet-westers;Personen in eenoudergezin met moeder;2009;5027;2510;1961;2517;3066;342;891;-549
180;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;1995;662;145;91;517;571;6;60;-54
181;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;1996;845;154;104;691;741;12;62;-50
182;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;1997;779;188;129;591;650;15;74;-59
183;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;1998;968;171;117;797;851;10;64;-54
184;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;1999;890;147;82;743;808;3;68;-65
185;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;2000;1287;143;90;1144;1197;17;70;-53
186;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;2001;1274;173;102;1101;1172;5;76;-71
187;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;2002;695;231;110;464;585;17;138;-121
188;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;2003;340;329;150;11;190;12;191;-179
189;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;2004;356;368;238;-12;118;35;165;-130
190;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;2005;471;402;207;69;264;17;212;-195
191;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;2006;522;349;211;173;311;30;168;-138
192;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;2007;699;302;236;397;463;39;105;-66
193;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;2008;885;270;185;615;700;21;106;-85
194;Mannen en vrouwen;Totaal niet-westers;Personen in samenwonend paar met kin...;2009;509;242;185;267;324;22;79;-57
195;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;1995;32199;13785;7375;18414;24824;3672;10082;-6410
196;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;1996;40257;17299;7553;22958;32704;4510;14256;-9746
197;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;1997;41603;14397;7852;27206;33751;5041;11586;-6545
198;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;1998;47713;13854;7611;33859;40102;5389;11632;-6243
199;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;1999;43432;13946;7236;29486;36196;5392;12102;-6710
200;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;2000;49644;12333;6731;37311;42913;6213;11815;-5602
201;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;2001;52700;13633;7876;39067;44824;6027;11784;-5757
202;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;2002;49372;17961;8122;31411;41250;6743;16582;-9839
203;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;2003;41693;21456;9383;20237;32310;7681;19754;-12073
204;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;2004;31749;22625;10799;9124;20950;8224;20050;-11826
205;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;2005;28525;25270;11508;3255;17017;8490;22252;-13762
206;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;2006;28726;27118;12822;1608;15904;9891;24187;-14296
207;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;2007;30790;22863;13477;7927;17313;11316;20702;-9386
208;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;2008;40955;20864;12983;20091;27972;12628;20509;-7881
209;Mannen en vrouwen;Totaal niet-westers;Alleengaanden;2009;44171;20751;13426;23420;30745;11749;19074;-7325
210;Mannen en vrouwen;Totaal westers;Totaal personen;1995;56251;61702;51320;-5451;4931;8186;18568;-10382
211;Mannen en vrouwen;Totaal westers;Totaal personen;1996;58490;67912;53345;-9422;5145;9296;23863;-14567
212;Mannen en vrouwen;Totaal westers;Totaal personen;1997;57736;61859;50405;-4123;7331;9527;20981;-11454
213;Mannen en vrouwen;Totaal westers;Totaal personen;1998;63456;60372;49226;3084;14230;10674;21820;-11146
214;Mannen en vrouwen;Totaal westers;Totaal personen;1999;65113;59979;48290;5134;16823;11586;23275;-11689
215;Mannen en vrouwen;Totaal westers;Totaal personen;2000;70385;61727;50778;8658;19607;12163;23112;-10949
216;Mannen en vrouwen;Totaal westers;Totaal personen;2001;68510;63389;51421;5121;17089;12780;24748;-11968
217;Mannen en vrouwen;Totaal westers;Totaal personen;2002;61800;72203;54284;-10403;7516;14656;32575;-17919
218;Mannen en vrouwen;Totaal westers;Totaal personen;2003;55680;75241;54199;-19561;1481;16708;37750;-21042
219;Mannen en vrouwen;Totaal westers;Totaal personen;2004;56706;78286;57576;-21580;-870;19168;39878;-20710
220;Mannen en vrouwen;Totaal westers;Totaal personen;2005;58185;84357;64871;-26172;-6686;21441;40927;-19486
221;Mannen en vrouwen;Totaal westers;Totaal personen;2006;66658;94834;70712;-28176;-4054;23632;47754;-24122
222;Mannen en vrouwen;Totaal westers;Totaal personen;2007;79997;90682;70793;-10685;9204;26547;46436;-19889
223;Mannen en vrouwen;Totaal westers;Totaal personen;2008;94919;88729;70569;6190;24350;28924;47084;-18160
