ID;Geslacht;Leeftijd;BedrijfstakkenBranchesSBI2008;Perioden;OntslagenWerknemers_1
123;Totaal mannen en vrouwen;15 tot 75 jaar;I Horeca;2021;0.3
124;Totaal mannen en vrouwen;15 tot 75 jaar;I Horeca;2022;1.0
125;Totaal mannen en vrouwen;15 tot 75 jaar;I Horeca;2023;1.6
126;Totaal mannen en vrouwen;15 tot 75 jaar;J Informatie en communicatie;2015;0.9
127;Totaal mannen en vrouwen;15 tot 75 jaar;J Informatie en communicatie;2016;0.8
128;Totaal mannen en vrouwen;15 tot 75 jaar;J Informatie en communicatie;2017;0.8
129;Totaal mannen en vrouwen;15 tot 75 jaar;J Informatie en communicatie;2018;0.8
130;Totaal mannen en vrouwen;15 tot 75 jaar;J Informatie en communicatie;2019;0.6
131;Totaal mannen en vrouwen;15 tot 75 jaar;J Informatie en communicatie;2020;0.4
132;Totaal mannen en vrouwen;15 tot 75 jaar;J Informatie en communicatie;2021;0.2
133;Totaal mannen en vrouwen;15 tot 75 jaar;J Informatie en communicatie;2022;0.4
134;Totaal mannen en vrouwen;15 tot 75 jaar;J Informatie en communicatie;2023;0.6
135;Totaal mannen en vrouwen;15 tot 75 jaar;K Financiële dienstverlening;2015;0.2
136;Totaal mannen en vrouwen;15 tot 75 jaar;K Financiële dienstverlening;2016;0.1
137;Totaal mannen en vrouwen;15 tot 75 jaar;K Financiële dienstverlening;2017;0.1
138;Totaal mannen en vrouwen;15 tot 75 jaar;K Financiële dienstverlening;2018;0.1
139;Totaal mannen en vrouwen;15 tot 75 jaar;K Financiële dienstverlening;2019;0.1
140;Totaal mannen en vrouwen;15 tot 75 jaar;K Financiële dienstverlening;2020;0.0
141;Totaal mannen en vrouwen;15 tot 75 jaar;K Financiële dienstverlening;2021;0.1
142;Totaal mannen en vrouwen;15 tot 75 jaar;K Financiële dienstverlening;2022;0.1
143;Totaal mannen en vrouwen;15 tot 75 jaar;K Financiële dienstverlening;2023;0.1
144;Totaal mannen en vrouwen;15 tot 75 jaar;L Verhuur en handel van onroerend goed;2015;0.2
145;Totaal mannen en vrouwen;15 tot 75 jaar;L Verhuur en handel van onroerend goed;2016;0.1
146;Totaal mannen en vrouwen;15 tot 75 jaar;L Verhuur en handel van onroerend goed;2017;0.1
147;Totaal mannen en vrouwen;15 tot 75 jaar;L Verhuur en handel van onroerend goed;2018;0.1
148;Totaal mannen en vrouwen;15 tot 75 jaar;L Verhuur en handel van onroerend goed;2019;0.0
149;Totaal mannen en vrouwen;15 tot 75 jaar;L Verhuur en handel van onroerend goed;2020;0.1
150;Totaal mannen en vrouwen;15 tot 75 jaar;L Verhuur en handel van onroerend goed;2021;0.0
151;Totaal mannen en vrouwen;15 tot 75 jaar;L Verhuur en handel van onroerend goed;2022;0.1
152;Totaal mannen en vrouwen;15 tot 75 jaar;L Verhuur en handel van onroerend goed;2023;0.0
153;Totaal mannen en vrouwen;15 tot 75 jaar;M-N Zakelijke dienstverlening;2015;4.3
154;Totaal mannen en vrouwen;15 tot 75 jaar;M-N Zakelijke dienstverlening;2016;4.3
155;Totaal mannen en vrouwen;15 tot 75 jaar;M-N Zakelijke dienstverlening;2017;3.6
156;Totaal mannen en vrouwen;15 tot 75 jaar;M-N Zakelijke dienstverlening;2018;4.0
157;Totaal mannen en vrouwen;15 tot 75 jaar;M-N Zakelijke dienstverlening;2019;4.6
158;Totaal mannen en vrouwen;15 tot 75 jaar;M-N Zakelijke dienstverlening;2020;4.1
159;Totaal mannen en vrouwen;15 tot 75 jaar;M-N Zakelijke dienstverlening;2021;2.3
160;Totaal mannen en vrouwen;15 tot 75 jaar;M-N Zakelijke dienstverlening;2022;2.0
161;Totaal mannen en vrouwen;15 tot 75 jaar;M-N Zakelijke dienstverlening;2023;3.8
162;Totaal mannen en vrouwen;15 tot 75 jaar;M Specialistische zakelijke diensten;2015;2.0
163;Totaal mannen en vrouwen;15 tot 75 jaar;M Specialistische zakelijke diensten;2016;1.5
164;Totaal mannen en vrouwen;15 tot 75 jaar;M Specialistische zakelijke diensten;2017;1.4
165;Totaal mannen en vrouwen;15 tot 75 jaar;M Specialistische zakelijke diensten;2018;1.6
166;Totaal mannen en vrouwen;15 tot 75 jaar;M Specialistische zakelijke diensten;2019;1.2
167;Totaal mannen en vrouwen;15 tot 75 jaar;M Specialistische zakelijke diensten;2020;1.2
168;Totaal mannen en vrouwen;15 tot 75 jaar;M Specialistische zakelijke diensten;2021;0.6
169;Totaal mannen en vrouwen;15 tot 75 jaar;M Specialistische zakelijke diensten;2022;1.2
170;Totaal mannen en vrouwen;15 tot 75 jaar;M Specialistische zakelijke diensten;2023;2.1
171;Totaal mannen en vrouwen;15 tot 75 jaar;N Verhuur en overige zakelijke diensten;2015;2.3
172;Totaal mannen en vrouwen;15 tot 75 jaar;N Verhuur en overige zakelijke diensten;2016;2.8
173;Totaal mannen en vrouwen;15 tot 75 jaar;N Verhuur en overige zakelijke diensten;2017;2.2
174;Totaal mannen en vrouwen;15 tot 75 jaar;N Verhuur en overige zakelijke diensten;2018;2.4
175;Totaal mannen en vrouwen;15 tot 75 jaar;N Verhuur en overige zakelijke diensten;2019;3.4
176;Totaal mannen en vrouwen;15 tot 75 jaar;N Verhuur en overige zakelijke diensten;2020;2.8
177;Totaal mannen en vrouwen;15 tot 75 jaar;N Verhuur en overige zakelijke diensten;2021;1.7
178;Totaal mannen en vrouwen;15 tot 75 jaar;N Verhuur en overige zakelijke diensten;2022;0.8
179;Totaal mannen en vrouwen;15 tot 75 jaar;N Verhuur en overige zakelijke diensten;2023;1.7
180;Totaal mannen en vrouwen;15 tot 75 jaar;O-U Niet-commerciële dienstverlening;2015;5.8
181;Totaal mannen en vrouwen;15 tot 75 jaar;O-U Niet-commerciële dienstverlening;2016;15.2
182;Totaal mannen en vrouwen;15 tot 75 jaar;O-U Niet-commerciële dienstverlening;2017;2.8
183;Totaal mannen en vrouwen;15 tot 75 jaar;O-U Niet-commerciële dienstverlening;2018;5.7
184;Totaal mannen en vrouwen;15 tot 75 jaar;O-U Niet-commerciële dienstverlening;2019;3.0
185;Totaal mannen en vrouwen;15 tot 75 jaar;O-U Niet-commerciële dienstverlening;2020;1.3
186;Totaal mannen en vrouwen;15 tot 75 jaar;O-U Niet-commerciële dienstverlening;2021;1.2
187;Totaal mannen en vrouwen;15 tot 75 jaar;O-U Niet-commerciële dienstverlening;2022;1.8
188;Totaal mannen en vrouwen;15 tot 75 jaar;O-U Niet-commerciële dienstverlening;2023;2.2
189;Totaal mannen en vrouwen;15 tot 75 jaar;O-Q Overheid en zorg;2015;5.0
190;Totaal mannen en vrouwen;15 tot 75 jaar;O-Q Overheid en zorg;2016;14.7
191;Totaal mannen en vrouwen;15 tot 75 jaar;O-Q Overheid en zorg;2017;2.2
192;Totaal mannen en vrouwen;15 tot 75 jaar;O-Q Overheid en zorg;2018;5.0
193;Totaal mannen en vrouwen;15 tot 75 jaar;O-Q Overheid en zorg;2019;2.5
194;Totaal mannen en vrouwen;15 tot 75 jaar;O-Q Overheid en zorg;2020;0.7
195;Totaal mannen en vrouwen;15 tot 75 jaar;O-Q Overheid en zorg;2021;1.1
196;Totaal mannen en vrouwen;15 tot 75 jaar;O-Q Overheid en zorg;2022;1.3
197;Totaal mannen en vrouwen;15 tot 75 jaar;O-Q Overheid en zorg;2023;1.7
198;Totaal mannen en vrouwen;15 tot 75 jaar;O Openbaar bestuur en overheidsdiensten;2015;
199;Totaal mannen en vrouwen;15 tot 75 jaar;O Openbaar bestuur en overheidsdiensten;2016;
200;Totaal mannen en vrouwen;15 tot 75 jaar;O Openbaar bestuur en overheidsdiensten;2017;
201;Totaal mannen en vrouwen;15 tot 75 jaar;O Openbaar bestuur en overheidsdiensten;2018;
202;Totaal mannen en vrouwen;15 tot 75 jaar;O Openbaar bestuur en overheidsdiensten;2019;
203;Totaal mannen en vrouwen;15 tot 75 jaar;O Openbaar bestuur en overheidsdiensten;2020;
204;Totaal mannen en vrouwen;15 tot 75 jaar;O Openbaar bestuur en overheidsdiensten;2021;
205;Totaal mannen en vrouwen;15 tot 75 jaar;O Openbaar bestuur en overheidsdiensten;2022;
206;Totaal mannen en vrouwen;15 tot 75 jaar;O Openbaar bestuur en overheidsdiensten;2023;
207;Totaal mannen en vrouwen;15 tot 75 jaar;P Onderwijs;2015;0.4
208;Totaal mannen en vrouwen;15 tot 75 jaar;P Onderwijs;2016;0.1
209;Totaal mannen en vrouwen;15 tot 75 jaar;P Onderwijs;2017;0.3
210;Totaal mannen en vrouwen;15 tot 75 jaar;P Onderwijs;2018;0.3
211;Totaal mannen en vrouwen;15 tot 75 jaar;P Onderwijs;2019;0.1
212;Totaal mannen en vrouwen;15 tot 75 jaar;P Onderwijs;2020;0.1
213;Totaal mannen en vrouwen;15 tot 75 jaar;P Onderwijs;2021;0.0
214;Totaal mannen en vrouwen;15 tot 75 jaar;P Onderwijs;2022;0.1
215;Totaal mannen en vrouwen;15 tot 75 jaar;P Onderwijs;2023;0.3
216;Totaal mannen en vrouwen;15 tot 75 jaar;Q Gezondheids- en welzijnszorg;2015;4.6
217;Totaal mannen en vrouwen;15 tot 75 jaar;Q Gezondheids- en welzijnszorg;2016;14.5
218;Totaal mannen en vrouwen;15 tot 75 jaar;Q Gezondheids- en welzijnszorg;2017;2.0
219;Totaal mannen en vrouwen;15 tot 75 jaar;Q Gezondheids- en welzijnszorg;2018;4.7
220;Totaal mannen en vrouwen;15 tot 75 jaar;Q Gezondheids- en welzijnszorg;2019;2.4
221;Totaal mannen en vrouwen;15 tot 75 jaar;Q Gezondheids- en welzijnszorg;2020;0.6
222;Totaal mannen en vrouwen;15 tot 75 jaar;Q Gezondheids- en welzijnszorg;2021;1.0
223;Totaal mannen en vrouwen;15 tot 75 jaar;Q Gezondheids- en welzijnszorg;2022;1.3
224;Totaal mannen en vrouwen;15 tot 75 jaar;Q Gezondheids- en welzijnszorg;2023;1.4
225;Totaal mannen en vrouwen;15 tot 75 jaar;R-U Cultuur, recreatie, overige diensten;2015;0.9
226;Totaal mannen en vrouwen;15 tot 75 jaar;R-U Cultuur, recreatie, overige diensten;2016;0.6
227;Totaal mannen en vrouwen;15 tot 75 jaar;R-U Cultuur, recreatie, overige diensten;2017;0.6
228;Totaal mannen en vrouwen;15 tot 75 jaar;R-U Cultuur, recreatie, overige diensten;2018;0.6
229;Totaal mannen en vrouwen;15 tot 75 jaar;R-U Cultuur, recreatie, overige diensten;2019;0.4
230;Totaal mannen en vrouwen;15 tot 75 jaar;R-U Cultuur, recreatie, overige diensten;2020;0.6
231;Totaal mannen en vrouwen;15 tot 75 jaar;R-U Cultuur, recreatie, overige diensten;2021;0.2
232;Totaal mannen en vrouwen;15 tot 75 jaar;R-U Cultuur, recreatie, overige diensten;2022;0.5
233;Totaal mannen en vrouwen;15 tot 75 jaar;R-U Cultuur, recreatie, overige diensten;2023;0.5
234;Totaal mannen en vrouwen;15 tot 75 jaar;R Cultuur, sport en recreatie;2015;0.5
235;Totaal mannen en vrouwen;15 tot 75 jaar;R Cultuur, sport en recreatie;2016;0.2
236;Totaal mannen en vrouwen;15 tot 75 jaar;R Cultuur, sport en recreatie;2017;0.1
237;Totaal mannen en vrouwen;15 tot 75 jaar;R Cultuur, sport en recreatie;2018;0.3
238;Totaal mannen en vrouwen;15 tot 75 jaar;R Cultuur, sport en recreatie;2019;0.2
239;Totaal mannen en vrouwen;15 tot 75 jaar;R Cultuur, sport en recreatie;2020;0.3
240;Totaal mannen en vrouwen;15 tot 75 jaar;R Cultuur, sport en recreatie;2021;0.1
241;Totaal mannen en vrouwen;15 tot 75 jaar;R Cultuur, sport en recreatie;2022;0.2
242;Totaal mannen en vrouwen;15 tot 75 jaar;R Cultuur, sport en recreatie;2023;0.3
243;Totaal mannen en vrouwen;15 tot 75 jaar;S Overige dienstverlening;2015;0.4
244;Totaal mannen en vrouwen;15 tot 75 jaar;S Overige dienstverlening;2016;0.4
245;Totaal mannen en vrouwen;15 tot 75 jaar;S Overige dienstverlening;2017;0.5
246;Totaal mannen en vrouwen;15 tot 75 jaar;S Overige dienstverlening;2018;0.4
247;Totaal mannen en vrouwen;15 tot 75 jaar;S Overige dienstverlening;2019;0.2
248;Totaal mannen en vrouwen;15 tot 75 jaar;S Overige dienstverlening;2020;0.4
249;Totaal mannen en vrouwen;15 tot 75 jaar;S Overige dienstverlening;2021;0.1
250;Totaal mannen en vrouwen;15 tot 75 jaar;S Overige dienstverlening;2022;0.3
251;Totaal mannen en vrouwen;15 tot 75 jaar;S Overige dienstverlening;2023;0.2
252;Totaal mannen en vrouwen;15 tot 75 jaar;T Huishoudens;2015;
253;Totaal mannen en vrouwen;15 tot 75 jaar;T Huishoudens;2016;
254;Totaal mannen en vrouwen;15 tot 75 jaar;T Huishoudens;2017;
255;Totaal mannen en vrouwen;15 tot 75 jaar;T Huishoudens;2018;
256;Totaal mannen en vrouwen;15 tot 75 jaar;T Huishoudens;2019;
257;Totaal mannen en vrouwen;15 tot 75 jaar;T Huishoudens;2020;
258;Totaal mannen en vrouwen;15 tot 75 jaar;T Huishoudens;2021;
259;Totaal mannen en vrouwen;15 tot 75 jaar;T Huishoudens;2022;
260;Totaal mannen en vrouwen;15 tot 75 jaar;T Huishoudens;2023;
261;Totaal mannen en vrouwen;15 tot 75 jaar;U Extraterritoriale organisaties;2015;
262;Totaal mannen en vrouwen;15 tot 75 jaar;U Extraterritoriale organisaties;2016;
263;Totaal mannen en vrouwen;15 tot 75 jaar;U Extraterritoriale organisaties;2017;
264;Totaal mannen en vrouwen;15 tot 75 jaar;U Extraterritoriale organisaties;2018;
265;Totaal mannen en vrouwen;15 tot 75 jaar;U Extraterritoriale organisaties;2019;
266;Totaal mannen en vrouwen;15 tot 75 jaar;U Extraterritoriale organisaties;2020;
267;Totaal mannen en vrouwen;15 tot 75 jaar;U Extraterritoriale organisaties;2021;
268;Totaal mannen en vrouwen;15 tot 75 jaar;U Extraterritoriale organisaties;2022;
269;Totaal mannen en vrouwen;15 tot 75 jaar;U Extraterritoriale organisaties;2023;
270;Totaal mannen en vrouwen;15 tot 75 jaar;SBI-code onbekend;2015;0.0
271;Totaal mannen en vrouwen;15 tot 75 jaar;SBI-code onbekend;2016;0.0
272;Totaal mannen en vrouwen;15 tot 75 jaar;SBI-code onbekend;2017;0.0
273;Totaal mannen en vrouwen;15 tot 75 jaar;SBI-code onbekend;2018;0.0
274;Totaal mannen en vrouwen;15 tot 75 jaar;SBI-code onbekend;2019;0.0
275;Totaal mannen en vrouwen;15 tot 75 jaar;SBI-code onbekend;2020;0.0
276;Totaal mannen en vrouwen;15 tot 75 jaar;SBI-code onbekend;2021;0.0
277;Totaal mannen en vrouwen;15 tot 75 jaar;SBI-code onbekend;2022;0.0
278;Totaal mannen en vrouwen;15 tot 75 jaar;SBI-code onbekend;2023;0.0
279;Totaal mannen en vrouwen;15 tot 35 jaar;A-U Alle economische activiteiten;2015;21.7
280;Totaal mannen en vrouwen;15 tot 35 jaar;A-U Alle economische activiteiten;2016;11.9
281;Totaal mannen en vrouwen;15 tot 35 jaar;A-U Alle economische activiteiten;2017;7.6
282;Totaal mannen en vrouwen;15 tot 35 jaar;A-U Alle economische activiteiten;2018;8.4
283;Totaal mannen en vrouwen;15 tot 35 jaar;A-U Alle economische activiteiten;2019;10.6
284;Totaal mannen en vrouwen;15 tot 35 jaar;A-U Alle economische activiteiten;2020;7.3
285;Totaal mannen en vrouwen;15 tot 35 jaar;A-U Alle economische activiteiten;2021;2.6
286;Totaal mannen en vrouwen;15 tot 35 jaar;A-U Alle economische activiteiten;2022;5.9
287;Totaal mannen en vrouwen;15 tot 35 jaar;A-U Alle economische activiteiten;2023;9.9
288;Totaal mannen en vrouwen;15 tot 35 jaar;A Landbouw, bosbouw en visserij;2015;0.1
289;Totaal mannen en vrouwen;15 tot 35 jaar;A Landbouw, bosbouw en visserij;2016;0.0
290;Totaal mannen en vrouwen;15 tot 35 jaar;A Landbouw, bosbouw en visserij;2017;0.1
291;Totaal mannen en vrouwen;15 tot 35 jaar;A Landbouw, bosbouw en visserij;2018;0.1
292;Totaal mannen en vrouwen;15 tot 35 jaar;A Landbouw, bosbouw en visserij;2019;0.0
293;Totaal mannen en vrouwen;15 tot 35 jaar;A Landbouw, bosbouw en visserij;2020;0.0
