ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
47;Total expenditure on health and care;HP41: Patient transportation, emergency;2023;593
48;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2021;622
49;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2022;446
50;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2023;286
51;Total expenditure on health and care;HP5: Retailers of medical goods;2021;8896
52;Total expenditure on health and care;HP5: Retailers of medical goods;2022;9021
53;Total expenditure on health and care;HP5: Retailers of medical goods;2023;9395
54;Total expenditure on health and care;HP51: Pharmacies;2021;4763
55;Total expenditure on health and care;HP51: Pharmacies;2022;5016
56;Total expenditure on health and care;HP51: Pharmacies;2023;5200
57;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2021;4133
58;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2022;4005
59;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2023;4194
60;Total expenditure on health and care;HP6: Providers of preventive care;2021;7412
61;Total expenditure on health and care;HP6: Providers of preventive care;2022;5190
62;Total expenditure on health and care;HP6: Providers of preventive care;2023;4283
63;Total expenditure on health and care;HP7: Healthcare adm. and financ.;2021;4849
64;Total expenditure on health and care;HP7: Healthcare adm. and financ.;2022;5214
65;Total expenditure on health and care;HP7: Healthcare adm. and financ.;2023;5416
66;Total expenditure on health and care;HP71: Government health administration;2021;1394
67;Total expenditure on health and care;HP71: Government health administration;2022;1398
68;Total expenditure on health and care;HP71: Government health administration;2023;1370
69;Total expenditure on health and care;HP72: Social health insurance agencies;2021;1797
70;Total expenditure on health and care;HP72: Social health insurance agencies;2022;1849
71;Total expenditure on health and care;HP72: Social health insurance agencies;2023;1939
72;Total expenditure on health and care;HP73: Providers of health insurance;2021;462
73;Total expenditure on health and care;HP73: Providers of health insurance;2022;488
74;Total expenditure on health and care;HP73: Providers of health insurance;2023;492
75;Total expenditure on health and care;HP79: Other administration agencies;2021;1196
76;Total expenditure on health and care;HP79: Other administration agencies;2022;1479
77;Total expenditure on health and care;HP79: Other administration agencies;2023;1615
78;Total expenditure on health and care;HP8: Rest of economy;2021;17001
79;Total expenditure on health and care;HP8: Rest of economy;2022;19469
80;Total expenditure on health and care;HP8: Rest of economy;2023;22376
81;Total expenditure on health and care;HP81: Households prov. home health care;2021;1716
82;Total expenditure on health and care;HP81: Households prov. home health care;2022;1745
83;Total expenditure on health and care;HP81: Households prov. home health care;2023;1856
84;Total expenditure on health and care;HP82: Secondary providers of health care;2021;15285
85;Total expenditure on health and care;HP82: Secondary providers of health care;2022;17724
86;Total expenditure on health and care;HP82: Secondary providers of health care;2023;20520
87;Total expenditure on health and care;HP9: Rest of the world;2021;639
88;Total expenditure on health and care;HP9: Rest of the world;2022;692
89;Total expenditure on health and care;HP9: Rest of the world;2023;657
90;Social work and child day care;Total health care providers;2021;15018
91;Social work and child day care;Total health care providers;2022;17969
92;Social work and child day care;Total health care providers;2023;20967
93;Social work and child day care;HP1: Hospitals;2021;83
94;Social work and child day care;HP1: Hospitals;2022;93
95;Social work and child day care;HP1: Hospitals;2023;97
96;Social work and child day care;HP11: General and university hospitals;2021;0
97;Social work and child day care;HP11: General and university hospitals;2022;0
98;Social work and child day care;HP11: General and university hospitals;2023;0
99;Social work and child day care;HP12: Mental health institutions,;2021;78
100;Social work and child day care;HP12: Mental health institutions,;2022;87
101;Social work and child day care;HP12: Mental health institutions,;2023;91
102;Social work and child day care;HP13: Specialised hospitals;2021;5
103;Social work and child day care;HP13: Specialised hospitals;2022;5
104;Social work and child day care;HP13: Specialised hospitals;2023;6
105;Social work and child day care;HP2: Nursing and residential care facil.;2021;250
106;Social work and child day care;HP2: Nursing and residential care facil.;2022;261
107;Social work and child day care;HP2: Nursing and residential care facil.;2023;275
108;Social work and child day care;HP21: Nursing care facilities;2021;226
109;Social work and child day care;HP21: Nursing care facilities;2022;227
110;Social work and child day care;HP21: Nursing care facilities;2023;239
111;Social work and child day care;HP22-29: Facilities for the disabled;2021;23
112;Social work and child day care;HP22-29: Facilities for the disabled;2022;34
113;Social work and child day care;HP22-29: Facilities for the disabled;2023;35
114;Social work and child day care;HP3: Providers of ambulatory health care;2021;1132
115;Social work and child day care;HP3: Providers of ambulatory health care;2022;1248
116;Social work and child day care;HP3: Providers of ambulatory health care;2023;1272
117;Social work and child day care;HP31: Medical practices;2021;0
118;Social work and child day care;HP31: Medical practices;2022;0
119;Social work and child day care;HP31: Medical practices;2023;0
120;Social work and child day care;HP32: Dental practices;2021;0
121;Social work and child day care;HP32: Dental practices;2022;0
122;Social work and child day care;HP32: Dental practices;2023;0
123;Social work and child day care;HP33 : Other health care practitioners;2021;860
124;Social work and child day care;HP33 : Other health care practitioners;2022;957
125;Social work and child day care;HP33 : Other health care practitioners;2023;949
126;Social work and child day care;HP34: Ambulatory health care centres;2021;209
127;Social work and child day care;HP34: Ambulatory health care centres;2022;225
128;Social work and child day care;HP34: Ambulatory health care centres;2023;243
129;Social work and child day care;HP35: Providers home healthcare services;2021;63
130;Social work and child day care;HP35: Providers home healthcare services;2022;66
131;Social work and child day care;HP35: Providers home healthcare services;2023;81
132;Social work and child day care;HP4: Providers of ancillary services;2021;0
133;Social work and child day care;HP4: Providers of ancillary services;2022;0
134;Social work and child day care;HP4: Providers of ancillary services;2023;0
135;Social work and child day care;HP41: Patient transportation, emergency;2021;0
136;Social work and child day care;HP41: Patient transportation, emergency;2022;0
137;Social work and child day care;HP41: Patient transportation, emergency;2023;0
138;Social work and child day care;HP42-49: Laboratories, other anc. serv.;2021;0
139;Social work and child day care;HP42-49: Laboratories, other anc. serv.;2022;0
140;Social work and child day care;HP42-49: Laboratories, other anc. serv.;2023;0
141;Social work and child day care;HP5: Retailers of medical goods;2021;0
142;Social work and child day care;HP5: Retailers of medical goods;2022;0
143;Social work and child day care;HP5: Retailers of medical goods;2023;0
144;Social work and child day care;HP51: Pharmacies;2021;0
145;Social work and child day care;HP51: Pharmacies;2022;0
146;Social work and child day care;HP51: Pharmacies;2023;0
147;Social work and child day care;HP52-59 : Suppl. med. appliances, other;2021;0
148;Social work and child day care;HP52-59 : Suppl. med. appliances, other;2022;0
149;Social work and child day care;HP52-59 : Suppl. med. appliances, other;2023;0
150;Social work and child day care;HP6: Providers of preventive care;2021;440
151;Social work and child day care;HP6: Providers of preventive care;2022;477
152;Social work and child day care;HP6: Providers of preventive care;2023;525
153;Social work and child day care;HP7: Healthcare adm. and financ.;2021;1123
154;Social work and child day care;HP7: Healthcare adm. and financ.;2022;1423
155;Social work and child day care;HP7: Healthcare adm. and financ.;2023;1556
156;Social work and child day care;HP71: Government health administration;2021;0
157;Social work and child day care;HP71: Government health administration;2022;0
158;Social work and child day care;HP71: Government health administration;2023;0
159;Social work and child day care;HP72: Social health insurance agencies;2021;0
160;Social work and child day care;HP72: Social health insurance agencies;2022;0
161;Social work and child day care;HP72: Social health insurance agencies;2023;0
162;Social work and child day care;HP73: Providers of health insurance;2021;0
163;Social work and child day care;HP73: Providers of health insurance;2022;0
164;Social work and child day care;HP73: Providers of health insurance;2023;0
165;Social work and child day care;HP79: Other administration agencies;2021;1123
166;Social work and child day care;HP79: Other administration agencies;2022;1423
167;Social work and child day care;HP79: Other administration agencies;2023;1556
168;Social work and child day care;HP8: Rest of economy;2021;11992
169;Social work and child day care;HP8: Rest of economy;2022;14468
170;Social work and child day care;HP8: Rest of economy;2023;17243
171;Social work and child day care;HP81: Households prov. home health care;2021;62
172;Social work and child day care;HP81: Households prov. home health care;2022;54
173;Social work and child day care;HP81: Households prov. home health care;2023;49
174;Social work and child day care;HP82: Secondary providers of health care;2021;11930
175;Social work and child day care;HP82: Secondary providers of health care;2022;14414
176;Social work and child day care;HP82: Secondary providers of health care;2023;17194
177;Social work and child day care;HP9: Rest of the world;2021;0
178;Social work and child day care;HP9: Rest of the world;2022;0
179;Social work and child day care;HP9: Rest of the world;2023;0
180;Educ., R&D dom. fin, other services;Total health care providers;2021;3120
181;Educ., R&D dom. fin, other services;Total health care providers;2022;3171
182;Educ., R&D dom. fin, other services;Total health care providers;2023;3424
183;Educ., R&D dom. fin, other services;HP1: Hospitals;2021;2652
184;Educ., R&D dom. fin, other services;HP1: Hospitals;2022;2772
185;Educ., R&D dom. fin, other services;HP1: Hospitals;2023;3004
186;Educ., R&D dom. fin, other services;HP11: General and university hospitals;2021;2502
187;Educ., R&D dom. fin, other services;HP11: General and university hospitals;2022;2609
188;Educ., R&D dom. fin, other services;HP11: General and university hospitals;2023;2826
189;Educ., R&D dom. fin, other services;HP12: Mental health institutions,;2021;124
190;Educ., R&D dom. fin, other services;HP12: Mental health institutions,;2022;136
191;Educ., R&D dom. fin, other services;HP12: Mental health institutions,;2023;149
192;Educ., R&D dom. fin, other services;HP13: Specialised hospitals;2021;25
193;Educ., R&D dom. fin, other services;HP13: Specialised hospitals;2022;27
194;Educ., R&D dom. fin, other services;HP13: Specialised hospitals;2023;30
195;Educ., R&D dom. fin, other services;HP2: Nursing and residential care facil.;2021;37
196;Educ., R&D dom. fin, other services;HP2: Nursing and residential care facil.;2022;32
197;Educ., R&D dom. fin, other services;HP2: Nursing and residential care facil.;2023;33
198;Educ., R&D dom. fin, other services;HP21: Nursing care facilities;2021;27
199;Educ., R&D dom. fin, other services;HP21: Nursing care facilities;2022;20
200;Educ., R&D dom. fin, other services;HP21: Nursing care facilities;2023;21
201;Educ., R&D dom. fin, other services;HP22-29: Facilities for the disabled;2021;11
202;Educ., R&D dom. fin, other services;HP22-29: Facilities for the disabled;2022;12
203;Educ., R&D dom. fin, other services;HP22-29: Facilities for the disabled;2023;12
204;Educ., R&D dom. fin, other services;HP3: Providers of ambulatory health care;2021;342
205;Educ., R&D dom. fin, other services;HP3: Providers of ambulatory health care;2022;322
206;Educ., R&D dom. fin, other services;HP3: Providers of ambulatory health care;2023;344
207;Educ., R&D dom. fin, other services;HP31: Medical practices;2021;19
208;Educ., R&D dom. fin, other services;HP31: Medical practices;2022;18
209;Educ., R&D dom. fin, other services;HP31: Medical practices;2023;18
210;Educ., R&D dom. fin, other services;HP32: Dental practices;2021;4
211;Educ., R&D dom. fin, other services;HP32: Dental practices;2022;0
212;Educ., R&D dom. fin, other services;HP32: Dental practices;2023;0
213;Educ., R&D dom. fin, other services;HP33 : Other health care practitioners;2021;33
214;Educ., R&D dom. fin, other services;HP33 : Other health care practitioners;2022;2
215;Educ., R&D dom. fin, other services;HP33 : Other health care practitioners;2023;0
216;Educ., R&D dom. fin, other services;HP34: Ambulatory health care centres;2021;285
217;Educ., R&D dom. fin, other services;HP34: Ambulatory health care centres;2022;302
218;Educ., R&D dom. fin, other services;HP34: Ambulatory health care centres;2023;325
219;Educ., R&D dom. fin, other services;HP35: Providers home healthcare services;2021;0
220;Educ., R&D dom. fin, other services;HP35: Providers home healthcare services;2022;0
221;Educ., R&D dom. fin, other services;HP35: Providers home healthcare services;2023;0
222;Educ., R&D dom. fin, other services;HP4: Providers of ancillary services;2021;2
223;Educ., R&D dom. fin, other services;HP4: Providers of ancillary services;2022;0
224;Educ., R&D dom. fin, other services;HP4: Providers of ancillary services;2023;0
225;Educ., R&D dom. fin, other services;HP41: Patient transportation, emergency;2021;0
226;Educ., R&D dom. fin, other services;HP41: Patient transportation, emergency;2022;0
227;Educ., R&D dom. fin, other services;HP41: Patient transportation, emergency;2023;0
228;Educ., R&D dom. fin, other services;HP42-49: Laboratories, other anc. serv.;2021;2
229;Educ., R&D dom. fin, other services;HP42-49: Laboratories, other anc. serv.;2022;0
230;Educ., R&D dom. fin, other services;HP42-49: Laboratories, other anc. serv.;2023;0
231;Educ., R&D dom. fin, other services;HP5: Retailers of medical goods;2021;0
232;Educ., R&D dom. fin, other services;HP5: Retailers of medical goods;2022;0
233;Educ., R&D dom. fin, other services;HP5: Retailers of medical goods;2023;0
234;Educ., R&D dom. fin, other services;HP51: Pharmacies;2021;0
235;Educ., R&D dom. fin, other services;HP51: Pharmacies;2022;0
236;Educ., R&D dom. fin, other services;HP51: Pharmacies;2023;0
237;Educ., R&D dom. fin, other services;HP52-59 : Suppl. med. appliances, other;2021;0
238;Educ., R&D dom. fin, other services;HP52-59 : Suppl. med. appliances, other;2022;0
239;Educ., R&D dom. fin, other services;HP52-59 : Suppl. med. appliances, other;2023;0
240;Educ., R&D dom. fin, other services;HP6: Providers of preventive care;2021;47
241;Educ., R&D dom. fin, other services;HP6: Providers of preventive care;2022;35
242;Educ., R&D dom. fin, other services;HP6: Providers of preventive care;2023;36
243;Educ., R&D dom. fin, other services;HP7: Healthcare adm. and financ.;2021;23
244;Educ., R&D dom. fin, other services;HP7: Healthcare adm. and financ.;2022;3
245;Educ., R&D dom. fin, other services;HP7: Healthcare adm. and financ.;2023;0
246;Educ., R&D dom. fin, other services;HP71: Government health administration;2021;0
247;Educ., R&D dom. fin, other services;HP71: Government health administration;2022;0
248;Educ., R&D dom. fin, other services;HP71: Government health administration;2023;0
249;Educ., R&D dom. fin, other services;HP72: Social health insurance agencies;2021;0
250;Educ., R&D dom. fin, other services;HP72: Social health insurance agencies;2022;0
251;Educ., R&D dom. fin, other services;HP72: Social health insurance agencies;2023;0
252;Educ., R&D dom. fin, other services;HP73: Providers of health insurance;2021;0
253;Educ., R&D dom. fin, other services;HP73: Providers of health insurance;2022;0
254;Educ., R&D dom. fin, other services;HP73: Providers of health insurance;2023;0
255;Educ., R&D dom. fin, other services;HP79: Other administration agencies;2021;23
256;Educ., R&D dom. fin, other services;HP79: Other administration agencies;2022;3
257;Educ., R&D dom. fin, other services;HP79: Other administration agencies;2023;0
258;Educ., R&D dom. fin, other services;HP8: Rest of economy;2021;16
259;Educ., R&D dom. fin, other services;HP8: Rest of economy;2022;7
260;Educ., R&D dom. fin, other services;HP8: Rest of economy;2023;6
261;Educ., R&D dom. fin, other services;HP81: Households prov. home health care;2021;0
262;Educ., R&D dom. fin, other services;HP81: Households prov. home health care;2022;0
263;Educ., R&D dom. fin, other services;HP81: Households prov. home health care;2023;0
264;Educ., R&D dom. fin, other services;HP82: Secondary providers of health care;2021;16
265;Educ., R&D dom. fin, other services;HP82: Secondary providers of health care;2022;7
266;Educ., R&D dom. fin, other services;HP82: Secondary providers of health care;2023;6
267;Educ., R&D dom. fin, other services;HP9: Rest of the world;2021;0
268;Educ., R&D dom. fin, other services;HP9: Rest of the world;2022;0
269;Educ., R&D dom. fin, other services;HP9: Rest of the world;2023;0
270;Exports and R&D foreign financed;Total health care providers;2021;222
271;Exports and R&D foreign financed;Total health care providers;2022;253
272;Exports and R&D foreign financed;Total health care providers;2023;260
273;Exports and R&D foreign financed;HP1: Hospitals;2021;147
274;Exports and R&D foreign financed;HP1: Hospitals;2022;166
275;Exports and R&D foreign financed;HP1: Hospitals;2023;170
276;Exports and R&D foreign financed;HP11: General and university hospitals;2021;147
277;Exports and R&D foreign financed;HP11: General and university hospitals;2022;166
278;Exports and R&D foreign financed;HP11: General and university hospitals;2023;170
279;Exports and R&D foreign financed;HP12: Mental health institutions,;2021;0
280;Exports and R&D foreign financed;HP12: Mental health institutions,;2022;0
281;Exports and R&D foreign financed;HP12: Mental health institutions,;2023;0
282;Exports and R&D foreign financed;HP13: Specialised hospitals;2021;0
283;Exports and R&D foreign financed;HP13: Specialised hospitals;2022;0
284;Exports and R&D foreign financed;HP13: Specialised hospitals;2023;0
285;Exports and R&D foreign financed;HP2: Nursing and residential care facil.;2021;11
286;Exports and R&D foreign financed;HP2: Nursing and residential care facil.;2022;11
287;Exports and R&D foreign financed;HP2: Nursing and residential care facil.;2023;11
288;Exports and R&D foreign financed;HP21: Nursing care facilities;2021;11
289;Exports and R&D foreign financed;HP21: Nursing care facilities;2022;11
290;Exports and R&D foreign financed;HP21: Nursing care facilities;2023;11
291;Exports and R&D foreign financed;HP22-29: Facilities for the disabled;2021;0
292;Exports and R&D foreign financed;HP22-29: Facilities for the disabled;2022;0
293;Exports and R&D foreign financed;HP22-29: Facilities for the disabled;2023;0
294;Exports and R&D foreign financed;HP3: Providers of ambulatory health care;2021;10
295;Exports and R&D foreign financed;HP3: Providers of ambulatory health care;2022;16
296;Exports and R&D foreign financed;HP3: Providers of ambulatory health care;2023;16
297;Exports and R&D foreign financed;HP31: Medical practices;2021;5
298;Exports and R&D foreign financed;HP31: Medical practices;2022;9
299;Exports and R&D foreign financed;HP31: Medical practices;2023;9
300;Exports and R&D foreign financed;HP32: Dental practices;2021;3
301;Exports and R&D foreign financed;HP32: Dental practices;2022;4
302;Exports and R&D foreign financed;HP32: Dental practices;2023;4
303;Exports and R&D foreign financed;HP33 : Other health care practitioners;2021;0
304;Exports and R&D foreign financed;HP33 : Other health care practitioners;2022;0
305;Exports and R&D foreign financed;HP33 : Other health care practitioners;2023;0
306;Exports and R&D foreign financed;HP34: Ambulatory health care centres;2021;2
307;Exports and R&D foreign financed;HP34: Ambulatory health care centres;2022;3
308;Exports and R&D foreign financed;HP34: Ambulatory health care centres;2023;3
309;Exports and R&D foreign financed;HP35: Providers home healthcare services;2021;0
310;Exports and R&D foreign financed;HP35: Providers home healthcare services;2022;0
311;Exports and R&D foreign financed;HP35: Providers home healthcare services;2023;0
312;Exports and R&D foreign financed;HP4: Providers of ancillary services;2021;0
313;Exports and R&D foreign financed;HP4: Providers of ancillary services;2022;1
314;Exports and R&D foreign financed;HP4: Providers of ancillary services;2023;1
315;Exports and R&D foreign financed;HP41: Patient transportation, emergency;2021;0
316;Exports and R&D foreign financed;HP41: Patient transportation, emergency;2022;1
317;Exports and R&D foreign financed;HP41: Patient transportation, emergency;2023;1
318;Exports and R&D foreign financed;HP42-49: Laboratories, other anc. serv.;2021;0
319;Exports and R&D foreign financed;HP42-49: Laboratories, other anc. serv.;2022;0
320;Exports and R&D foreign financed;HP42-49: Laboratories, other anc. serv.;2023;0
321;Exports and R&D foreign financed;HP5: Retailers of medical goods;2021;4
322;Exports and R&D foreign financed;HP5: Retailers of medical goods;2022;7
323;Exports and R&D foreign financed;HP5: Retailers of medical goods;2023;7
324;Exports and R&D foreign financed;HP51: Pharmacies;2021;4
325;Exports and R&D foreign financed;HP51: Pharmacies;2022;7
326;Exports and R&D foreign financed;HP51: Pharmacies;2023;7
327;Exports and R&D foreign financed;HP52-59 : Suppl. med. appliances, other;2021;0
328;Exports and R&D foreign financed;HP52-59 : Suppl. med. appliances, other;2022;0
329;Exports and R&D foreign financed;HP52-59 : Suppl. med. appliances, other;2023;0
330;Exports and R&D foreign financed;HP6: Providers of preventive care;2021;6
331;Exports and R&D foreign financed;HP6: Providers of preventive care;2022;6
332;Exports and R&D foreign financed;HP6: Providers of preventive care;2023;6
333;Exports and R&D foreign financed;HP7: Healthcare adm. and financ.;2021;0
334;Exports and R&D foreign financed;HP7: Healthcare adm. and financ.;2022;0
335;Exports and R&D foreign financed;HP7: Healthcare adm. and financ.;2023;0
336;Exports and R&D foreign financed;HP71: Government health administration;2021;0
337;Exports and R&D foreign financed;HP71: Government health administration;2022;0
338;Exports and R&D foreign financed;HP71: Government health administration;2023;0
339;Exports and R&D foreign financed;HP72: Social health insurance agencies;2021;0
340;Exports and R&D foreign financed;HP72: Social health insurance agencies;2022;0
341;Exports and R&D foreign financed;HP72: Social health insurance agencies;2023;0
342;Exports and R&D foreign financed;HP73: Providers of health insurance;2021;0
343;Exports and R&D foreign financed;HP73: Providers of health insurance;2022;0
344;Exports and R&D foreign financed;HP73: Providers of health insurance;2023;0
345;Exports and R&D foreign financed;HP79: Other administration agencies;2021;0
346;Exports and R&D foreign financed;HP79: Other administration agencies;2022;0
347;Exports and R&D foreign financed;HP79: Other administration agencies;2023;0
348;Exports and R&D foreign financed;HP8: Rest of economy;2021;0
349;Exports and R&D foreign financed;HP8: Rest of economy;2022;0
350;Exports and R&D foreign financed;HP8: Rest of economy;2023;0
351;Exports and R&D foreign financed;HP81: Households prov. home health care;2021;0
352;Exports and R&D foreign financed;HP81: Households prov. home health care;2022;0
353;Exports and R&D foreign financed;HP81: Households prov. home health care;2023;0
354;Exports and R&D foreign financed;HP82: Secondary providers of health care;2021;0
355;Exports and R&D foreign financed;HP82: Secondary providers of health care;2022;0
356;Exports and R&D foreign financed;HP82: Secondary providers of health care;2023;0
357;Exports and R&D foreign financed;HP9: Rest of the world;2021;43
358;Exports and R&D foreign financed;HP9: Rest of the world;2022;46
359;Exports and R&D foreign financed;HP9: Rest of the world;2023;50
360;Health expenditure for residents;Total health care providers;2021;100183
361;Health expenditure for residents;Total health care providers;2022;100607
362;Health expenditure for residents;Total health care providers;2023;106359
363;Health expenditure for residents;HP1: Hospitals;2021;32424
364;Health expenditure for residents;HP1: Hospitals;2022;33212
365;Health expenditure for residents;HP1: Hospitals;2023;35430
366;Health expenditure for residents;HP11: General and university hospitals;2021;26351
367;Health expenditure for residents;HP11: General and university hospitals;2022;26787
368;Health expenditure for residents;HP11: General and university hospitals;2023;28453
369;Health expenditure for residents;HP12: Mental health institutions,;2021;4656
370;Health expenditure for residents;HP12: Mental health institutions,;2022;4985
371;Health expenditure for residents;HP12: Mental health institutions,;2023;5431
372;Health expenditure for residents;HP13: Specialised hospitals;2021;1417
373;Health expenditure for residents;HP13: Specialised hospitals;2022;1440
374;Health expenditure for residents;HP13: Specialised hospitals;2023;1546
375;Health expenditure for residents;HP2: Nursing and residential care facil.;2021;26735
376;Health expenditure for residents;HP2: Nursing and residential care facil.;2022;27254
377;Health expenditure for residents;HP2: Nursing and residential care facil.;2023;29738
378;Health expenditure for residents;HP21: Nursing care facilities;2021;19234
379;Health expenditure for residents;HP21: Nursing care facilities;2022;19499
380;Health expenditure for residents;HP21: Nursing care facilities;2023;21331
381;Health expenditure for residents;HP22-29: Facilities for the disabled;2021;7501
382;Health expenditure for residents;HP22-29: Facilities for the disabled;2022;7755
383;Health expenditure for residents;HP22-29: Facilities for the disabled;2023;8407
384;Health expenditure for residents;HP3: Providers of ambulatory health care;2021;17713
385;Health expenditure for residents;HP3: Providers of ambulatory health care;2022;19052
386;Health expenditure for residents;HP3: Providers of ambulatory health care;2023;20876
387;Health expenditure for residents;HP31: Medical practices;2021;3956
388;Health expenditure for residents;HP31: Medical practices;2022;3913
389;Health expenditure for residents;HP31: Medical practices;2023;4296
390;Health expenditure for residents;HP32: Dental practices;2021;3073
391;Health expenditure for residents;HP32: Dental practices;2022;3124
392;Health expenditure for residents;HP32: Dental practices;2023;3395
393;Health expenditure for residents;HP33 : Other health care practitioners;2021;5542
394;Health expenditure for residents;HP33 : Other health care practitioners;2022;5980
395;Health expenditure for residents;HP33 : Other health care practitioners;2023;6499
396;Health expenditure for residents;HP34: Ambulatory health care centres;2021;4150
397;Health expenditure for residents;HP34: Ambulatory health care centres;2022;4960
398;Health expenditure for residents;HP34: Ambulatory health care centres;2023;5508
399;Health expenditure for residents;HP35: Providers home healthcare services;2021;993
400;Health expenditure for residents;HP35: Providers home healthcare services;2022;1074
401;Health expenditure for residents;HP35: Providers home healthcare services;2023;1178
402;Health expenditure for residents;HP4: Providers of ancillary services;2021;1120
403;Health expenditure for residents;HP4: Providers of ancillary services;2022;933
404;Health expenditure for residents;HP4: Providers of ancillary services;2023;878
405;Health expenditure for residents;HP41: Patient transportation, emergency;2021;500
406;Health expenditure for residents;HP41: Patient transportation, emergency;2022;487
407;Health expenditure for residents;HP41: Patient transportation, emergency;2023;592
408;Health expenditure for residents;HP42-49: Laboratories, other anc. serv.;2021;620
409;Health expenditure for residents;HP42-49: Laboratories, other anc. serv.;2022;446
410;Health expenditure for residents;HP42-49: Laboratories, other anc. serv.;2023;286
411;Health expenditure for residents;HP5: Retailers of medical goods;2021;8230
412;Health expenditure for residents;HP5: Retailers of medical goods;2022;8319
413;Health expenditure for residents;HP5: Retailers of medical goods;2023;8604
414;Health expenditure for residents;HP51: Pharmacies;2021;4759
415;Health expenditure for residents;HP51: Pharmacies;2022;5008
416;Health expenditure for residents;HP51: Pharmacies;2023;5193
417;Health expenditure for residents;HP52-59 : Suppl. med. appliances, other;2021;3471
418;Health expenditure for residents;HP52-59 : Suppl. med. appliances, other;2022;3311
419;Health expenditure for residents;HP52-59 : Suppl. med. appliances, other;2023;3410
420;Health expenditure for residents;HP6: Providers of preventive care;2021;6901
421;Health expenditure for residents;HP6: Providers of preventive care;2022;4667
422;Health expenditure for residents;HP6: Providers of preventive care;2023;3698
423;Health expenditure for residents;HP7: Healthcare adm. and financ.;2021;3686
424;Health expenditure for residents;HP7: Healthcare adm. and financ.;2022;3774
425;Health expenditure for residents;HP7: Healthcare adm. and financ.;2023;3844
426;Health expenditure for residents;HP71: Government health administration;2021;1394
427;Health expenditure for residents;HP71: Government health administration;2022;1398
428;Health expenditure for residents;HP71: Government health administration;2023;1370
