ID;Geslacht;Niveau;Leerweg;Studierichting;Migratieachtergrond;Perioden;GediplomeerdenMbo_1
30;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Turkije;2015/'16;6696
31;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Turkije;2016/'17;6593
32;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Turkije;2017/'18;6423
33;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Turkije;2018/'19;6420
34;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Turkije;2019/'20;6371
35;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Turkije;2020/'21;6221
36;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Marokko;2015/'16;5789
37;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Marokko;2016/'17;5826
38;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Marokko;2017/'18;5747
39;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Marokko;2018/'19;5948
40;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Marokko;2019/'20;5792
41;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Marokko;2020/'21;6267
42;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Suriname;2015/'16;5180
43;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Suriname;2016/'17;4992
44;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Suriname;2017/'18;4868
45;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Suriname;2018/'19;4745
46;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Suriname;2019/'20;4725
47;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Suriname;2020/'21;4710
48;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;(voormalige) Nederlandse Antillen, Aruba;2015/'16;3261
49;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;(voormalige) Nederlandse Antillen, Aruba;2016/'17;3147
50;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;(voormalige) Nederlandse Antillen, Aruba;2017/'18;3014
51;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;(voormalige) Nederlandse Antillen, Aruba;2018/'19;2978
52;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;(voormalige) Nederlandse Antillen, Aruba;2019/'20;3059
53;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;(voormalige) Nederlandse Antillen, Aruba;2020/'21;3214
54;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Overige niet-westerse migratieachterg...;2015/'16;9970
55;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Overige niet-westerse migratieachterg...;2016/'17;10642
56;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Overige niet-westerse migratieachterg...;2017/'18;11553
57;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Overige niet-westerse migratieachterg...;2018/'19;13578
58;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Overige niet-westerse migratieachterg...;2019/'20;14653
59;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Overige niet-westerse migratieachterg...;2020/'21;15921
60;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Onbekende migratieachtergrond;2015/'16;245
61;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Onbekende migratieachtergrond;2016/'17;169
62;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Onbekende migratieachtergrond;2017/'18;117
63;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Onbekende migratieachtergrond;2018/'19;72
64;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Onbekende migratieachtergrond;2019/'20;86
65;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;Onbekende migratieachtergrond;2020/'21;49
66;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Totaal;2015/'16;2645
67;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Totaal;2016/'17;2733
68;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Totaal;2017/'18;2876
69;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Totaal;2018/'19;2982
70;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Totaal;2019/'20;3458
71;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Totaal;2020/'21;3845
72;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Nederlandse achtergrond;2015/'16;2166
73;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Nederlandse achtergrond;2016/'17;2240
74;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Nederlandse achtergrond;2017/'18;2313
75;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Nederlandse achtergrond;2018/'19;2440
76;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Nederlandse achtergrond;2019/'20;2843
77;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Nederlandse achtergrond;2020/'21;3160
78;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Met migratieachtergrond;2015/'16;478
79;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Met migratieachtergrond;2016/'17;492
80;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Met migratieachtergrond;2017/'18;562
81;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Met migratieachtergrond;2018/'19;541
82;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Met migratieachtergrond;2019/'20;613
83;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Met migratieachtergrond;2020/'21;685
84;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Westerse migratieachtergrond;2015/'16;122
85;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Westerse migratieachtergrond;2016/'17;110
86;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Westerse migratieachtergrond;2017/'18;135
87;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Westerse migratieachtergrond;2018/'19;115
88;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Westerse migratieachtergrond;2019/'20;159
89;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Westerse migratieachtergrond;2020/'21;154
90;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Niet-westerse migratieachtergrond;2015/'16;356
91;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Niet-westerse migratieachtergrond;2016/'17;382
92;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Niet-westerse migratieachtergrond;2017/'18;427
93;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Niet-westerse migratieachtergrond;2018/'19;426
94;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Niet-westerse migratieachtergrond;2019/'20;454
95;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Niet-westerse migratieachtergrond;2020/'21;531
96;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Turkije;2015/'16;128
97;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Turkije;2016/'17;136
98;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Turkije;2017/'18;139
99;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Turkije;2018/'19;159
100;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Turkije;2019/'20;152
101;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Turkije;2020/'21;145
102;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Marokko;2015/'16;103
103;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Marokko;2016/'17;96
104;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Marokko;2017/'18;127
105;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Marokko;2018/'19;136
106;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Marokko;2019/'20;135
107;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Marokko;2020/'21;179
108;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Suriname;2015/'16;45
109;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Suriname;2016/'17;47
110;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Suriname;2017/'18;49
111;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Suriname;2018/'19;39
112;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Suriname;2019/'20;58
113;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Suriname;2020/'21;68
114;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2015/'16;21
115;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2016/'17;22
116;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2017/'18;35
117;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2018/'19;14
118;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2019/'20;18
119;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2020/'21;29
120;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Overige niet-westerse migratieachterg...;2015/'16;59
121;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Overige niet-westerse migratieachterg...;2016/'17;81
122;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Overige niet-westerse migratieachterg...;2017/'18;77
123;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Overige niet-westerse migratieachterg...;2018/'19;78
124;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Overige niet-westerse migratieachterg...;2019/'20;91
125;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Overige niet-westerse migratieachterg...;2020/'21;110
126;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Onbekende migratieachtergrond;2015/'16;1
127;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Onbekende migratieachtergrond;2016/'17;1
128;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Onbekende migratieachtergrond;2017/'18;1
129;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Onbekende migratieachtergrond;2018/'19;1
130;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Onbekende migratieachtergrond;2019/'20;2
131;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);01 Onderwijs;Onbekende migratieachtergrond;2020/'21;0
132;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Totaal;2015/'16;7903
133;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Totaal;2016/'17;8621
134;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Totaal;2017/'18;8245
135;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Totaal;2018/'19;9065
136;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Totaal;2019/'20;9433
137;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Totaal;2020/'21;9536
138;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Nederlandse achtergrond;2015/'16;6513
139;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Nederlandse achtergrond;2016/'17;7134
140;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Nederlandse achtergrond;2017/'18;6777
141;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Nederlandse achtergrond;2018/'19;7392
142;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Nederlandse achtergrond;2019/'20;7674
143;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Nederlandse achtergrond;2020/'21;7651
144;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Met migratieachtergrond;2015/'16;1390
145;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Met migratieachtergrond;2016/'17;1486
146;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Met migratieachtergrond;2017/'18;1467
147;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Met migratieachtergrond;2018/'19;1672
148;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Met migratieachtergrond;2019/'20;1756
149;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Met migratieachtergrond;2020/'21;1883
150;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Westerse migratieachtergrond;2015/'16;549
151;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Westerse migratieachtergrond;2016/'17;581
152;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Westerse migratieachtergrond;2017/'18;555
153;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Westerse migratieachtergrond;2018/'19;577
154;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Westerse migratieachtergrond;2019/'20;613
155;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Westerse migratieachtergrond;2020/'21;668
156;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Niet-westerse migratieachtergrond;2015/'16;841
157;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Niet-westerse migratieachtergrond;2016/'17;905
158;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Niet-westerse migratieachtergrond;2017/'18;912
159;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Niet-westerse migratieachtergrond;2018/'19;1095
160;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Niet-westerse migratieachtergrond;2019/'20;1143
161;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Niet-westerse migratieachtergrond;2020/'21;1215
162;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Turkije;2015/'16;139
163;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Turkije;2016/'17;127
164;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Turkije;2017/'18;127
165;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Turkije;2018/'19;194
166;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Turkije;2019/'20;192
167;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Turkije;2020/'21;166
168;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Marokko;2015/'16;77
169;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Marokko;2016/'17;74
170;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Marokko;2017/'18;66
171;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Marokko;2018/'19;98
172;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Marokko;2019/'20;105
173;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Marokko;2020/'21;143
174;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Suriname;2015/'16;195
175;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Suriname;2016/'17;217
176;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Suriname;2017/'18;235
177;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Suriname;2018/'19;232
178;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Suriname;2019/'20;255
179;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Suriname;2020/'21;256
180;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;(voormalige) Nederlandse Antillen, Aruba;2015/'16;99
181;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;(voormalige) Nederlandse Antillen, Aruba;2016/'17;105
182;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;(voormalige) Nederlandse Antillen, Aruba;2017/'18;110
183;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;(voormalige) Nederlandse Antillen, Aruba;2018/'19;112
184;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;(voormalige) Nederlandse Antillen, Aruba;2019/'20;108
185;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;(voormalige) Nederlandse Antillen, Aruba;2020/'21;130
186;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Overige niet-westerse migratieachterg...;2015/'16;331
187;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Overige niet-westerse migratieachterg...;2016/'17;382
188;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Overige niet-westerse migratieachterg...;2017/'18;374
189;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Overige niet-westerse migratieachterg...;2018/'19;459
190;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Overige niet-westerse migratieachterg...;2019/'20;483
191;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Overige niet-westerse migratieachterg...;2020/'21;520
192;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Onbekende migratieachtergrond;2015/'16;0
193;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Onbekende migratieachtergrond;2016/'17;1
194;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Onbekende migratieachtergrond;2017/'18;1
195;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Onbekende migratieachtergrond;2018/'19;1
196;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Onbekende migratieachtergrond;2019/'20;3
197;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);02 Vormgeving, kunst, talen gesch...;Onbekende migratieachtergrond;2020/'21;2
198;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);03 Journalistiek, gedrag en maatschappij;Totaal;2015/'16;750
199;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);03 Journalistiek, gedrag en maatschappij;Totaal;2016/'17;830
200;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);03 Journalistiek, gedrag en maatschappij;Totaal;2017/'18;752
201;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);03 Journalistiek, gedrag en maatschappij;Totaal;2018/'19;351
202;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);03 Journalistiek, gedrag en maatschappij;Totaal;2019/'20;353
203;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);03 Journalistiek, gedrag en maatschappij;Totaal;2020/'21;355
204;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);03 Journalistiek, gedrag en maatschappij;Nederlandse achtergrond;2015/'16;574
205;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);03 Journalistiek, gedrag en maatschappij;Nederlandse achtergrond;2016/'17;632
206;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);03 Journalistiek, gedrag en maatschappij;Nederlandse achtergrond;2017/'18;555
207;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);03 Journalistiek, gedrag en maatschappij;Nederlandse achtergrond;2018/'19;272
208;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);03 Journalistiek, gedrag en maatschappij;Nederlandse achtergrond;2019/'20;281
