ID;LocusOfControlUCI;SectorBranchesSIC2008;Periods;EnterprisesWithEmployees_1;NumberOfJobs_2;Men_3;Women_4;YoungerThan50_5;k_50YearsOrOlder_6;NativeDutchBackground_7;ForeignBackground_8;NewEntrants_9;Stayers_10;Switchers_11;HighPaid_12;MediumPaid_13;LowPaid_14;TaxableAnnualWagePerJob_15
19;Domestically controlled;46 Wholesale trade (no motor vehicles);2011;34270;352;70;30;76;24;83;17;9;80;11;21;57;23;43
20;Domestically controlled;Retail trade, hotels, restaurants, bars;2008;89360;994;46;54;86;14;81;19;19;65;16;4;32;64;27
21;Domestically controlled;Retail trade, hotels, restaurants, bars;2009;88440;997;46;54;86;14;81;19;15;70;14;4;31;65;27
22;Domestically controlled;Retail trade, hotels, restaurants, bars;2010;85445;1043;46;54;85;15;81;19;16;72;12;4;32;64;28
23;Domestically controlled;Retail trade, hotels, restaurants, bars;2011;87330;1057;47;53;85;15;81;19;17;70;13;4;31;65;29
24;Domestically controlled;H Transportation and storage;2008;13255;276;80;20;69;31;84;16;8;77;15;18;58;24;41
25;Domestically controlled;H Transportation and storage;2009;12710;202;83;17;68;32;84;16;6;82;13;17;64;20;40
26;Domestically controlled;H Transportation and storage;2010;11830;227;84;16;67;33;85;15;7;82;11;18;64;17;41
27;Domestically controlled;H Transportation and storage;2011;12120;253;82;18;65;35;84;16;8;81;11;17;60;23;42
28;Domestically controlled;J Information and communication;2008;14405;169;72;28;84;16;81;19;8;73;19;43;44;14;51
29;Domestically controlled;J Information and communication;2009;14040;165;72;28;84;16;82;18;7;78;16;40;45;15;51
30;Domestically controlled;J Information and communication;2010;13805;169;72;28;83;17;81;19;7;81;12;41;45;14;52
31;Domestically controlled;J Information and communication;2011;15215;163;72;28;83;17;82;18;9;77;14;40;45;15;53
32;Domestically controlled;K Financial institutions;2008;78370;258;61;39;74;26;85;15;7;80;14;47;39;15;59
33;Domestically controlled;K Financial institutions;2009;70220;223;62;38;74;26;85;15;8;80;13;46;40;14;59
34;Domestically controlled;K Financial institutions;2010;49125;238;60;40;73;27;84;16;5;88;7;49;40;11;63
35;Domestically controlled;K Financial institutions;2011;59865;242;60;40;70;30;85;15;9;84;7;48;40;12;63
36;Domestically controlled;M Other specialised business services;2008;75865;493;59;41;79;21;82;18;9;73;18;37;45;19;54
37;Domestically controlled;M Other specialised business services;2009;68645;476;58;42;79;21;83;17;8;77;15;34;46;20;53
38;Domestically controlled;M Other specialised business services;2010;63785;450;58;42;78;22;83;17;8;81;11;35;46;19;55
39;Domestically controlled;M Other specialised business services;2011;72610;449;58;42;76;24;83;17;10;78;12;34;46;20;55
40;Domestically controlled;Real estate and other service activities;2008;50150;966;53;47;82;18;63;37;22;52;26;9;44;47;33
41;Domestically controlled;Real estate and other service activities;2009;46935;972;52;48;82;18;65;35;18;58;24;9;43;48;34
42;Domestically controlled;Real estate and other service activities;2010;45820;922;53;47;81;19;65;35;20;61;19;9;44;47;34
43;Domestically controlled;Real estate and other service activities;2011;48385;884;53;47;79;21;66;34;20;61;19;10;44;46;35
44;Domestically controlled;Public administration, education, health;2008;45995;2297;32;68;69;31;85;15;6;82;12;17;56;27;40
45;Domestically controlled;Public administration, education, health;2009;44740;2303;29;71;68;32;85;15;5;82;13;16;57;28;40
46;Domestically controlled;Public administration, education, health;2010;46495;2304;28;72;67;33;85;15;6;86;8;15;56;29;40
47;Domestically controlled;Public administration, education, health;2011;48960;2386;27;73;66;34;85;15;6;86;8;15;57;29;41
48;Foreign controlled;A-U All economic activities;2008;7710;950;65;35;79;21;73;27;7;79;14;34;47;19;50
49;Foreign controlled;A-U All economic activities;2009;8110;935;66;34;78;22;74;26;6;82;12;33;49;19;50
50;Foreign controlled;A-U All economic activities;2010;8435;931;66;34;77;23;73;27;7;83;10;31;50;19;51
51;Foreign controlled;A-U All economic activities;2011;10390;949;67;33;76;24;73;27;7;83;10;33;49;17;53
52;Foreign controlled;Agriculture, mining and energy;2008;115;11;80;20;72;28;82;18;3;84;13;45;51;4;56
53;Foreign controlled;Agriculture, mining and energy;2009;125;17;80;20;69;31;83;17;3;87;10;50;45;4;56
54;Foreign controlled;Agriculture, mining and energy;2010;145;15;78;22;72;28;82;18;3;89;8;47;49;5;57
55;Foreign controlled;Agriculture, mining and energy;2011;170;18;78;22;70;30;80;20;4;88;8;48;48;4;61
56;Foreign controlled;C Manufacturing;2008;1380;211;84;16;72;28;78;22;2;89;9;43;53;4;50
57;Foreign controlled;C Manufacturing;2009;1430;210;83;17;70;30;78;22;2;90;9;39;57;4;50
58;Foreign controlled;C Manufacturing;2010;1510;221;83;17;69;31;78;22;3;92;5;39;56;4;51
59;Foreign controlled;C Manufacturing;2011;1655;228;83;17;68;32;78;22;3;90;7;40;55;4;53
60;Foreign controlled;F Construction;2008;155;18;89;11;74;26;81;19;4;84;12;44;52;4;48
61;Foreign controlled;F Construction;2009;150;22;89;11;72;28;81;19;4;82;14;39;57;4;49
62;Foreign controlled;F Construction;2010;140;21;89;11;71;29;81;19;2;92;6;38;58;4;49
63;Foreign controlled;F Construction;2011;180;24;89;11;71;29;80;20;5;87;9;36;59;4;50
64;Foreign controlled;46 Wholesale trade (no motor vehicles);2008;2465;127;70;30;80;20;76;24;5;81;13;44;47;9;56
65;Foreign controlled;46 Wholesale trade (no motor vehicles);2009;2575;131;70;30;79;21;76;24;4;86;11;42;48;10;56
66;Foreign controlled;46 Wholesale trade (no motor vehicles);2010;2790;146;70;30;78;22;75;25;5;87;9;42;49;9;57
67;Foreign controlled;46 Wholesale trade (no motor vehicles);2011;3545;156;70;30;77;23;74;26;6;85;10;42;49;9;58
68;Foreign controlled;Retail trade, hotels, restaurants, bars;2008;420;152;38;62;86;14;74;26;14;71;15;7;42;52;30
69;Foreign controlled;Retail trade, hotels, restaurants, bars;2009;540;155;39;61;85;15;74;26;11;76;13;6;40;54;31
70;Foreign controlled;Retail trade, hotels, restaurants, bars;2010;435;149;39;61;85;15;71;29;13;73;14;6;40;54;32
71;Foreign controlled;Retail trade, hotels, restaurants, bars;2011;520;156;38;62;85;15;72;28;14;73;12;6;39;55;33
72;Foreign controlled;H Transportation and storage;2008;470;103;71;29;71;29;75;25;4;85;11;25;60;15;46
73;Foreign controlled;H Transportation and storage;2009;505;75;73;27;70;30;75;25;3;89;8;24;63;13;46
74;Foreign controlled;H Transportation and storage;2010;570;92;73;27;70;30;74;26;4;89;7;25;62;13;47
75;Foreign controlled;H Transportation and storage;2011;660;95;73;27;70;30;73;27;5;87;8;26;62;13;49
76;Foreign controlled;J Information and communication;2008;495;75;72;28;84;16;74;26;6;79;14;57;37;6;60
77;Foreign controlled;J Information and communication;2009;515;75;73;27;82;18;76;24;4;88;9;56;38;6;61
78;Foreign controlled;J Information and communication;2010;575;71;72;28;81;19;75;25;5;87;8;55;38;7;63
79;Foreign controlled;J Information and communication;2011;775;82;72;28;80;20;74;26;6;84;10;53;39;8;64
80;Foreign controlled;K Financial institutions;2008;680;75;58;42;78;22;77;23;3;89;8;61;35;3;72
81;Foreign controlled;K Financial institutions;2009;705;71;59;41;77;23;76;24;3;87;10;58;37;5;69
82;Foreign controlled;K Financial institutions;2010;605;25;59;41;79;21;70;30;5;86;9;52;41;6;73
83;Foreign controlled;K Financial institutions;2011;770;24;58;42;78;22;69;31;8;82;10;52;41;6;74
84;Foreign controlled;M Other specialised business services;2008;1035;57;64;36;81;19;71;29;7;77;16;49;43;7;62
85;Foreign controlled;M Other specialised business services;2009;1010;62;65;35;79;21;74;26;5;84;12;48;45;7;60
86;Foreign controlled;M Other specialised business services;2010;1080;68;65;35;79;21;72;28;7;83;10;47;44;9;63
87;Foreign controlled;M Other specialised business services;2011;1410;80;64;36;82;18;72;28;8;80;12;49;42;9;67
88;Foreign controlled;Real estate and other service activities;2008;400;116;54;46;85;15;58;42;18;54;28;8;49;43;34
89;Foreign controlled;Real estate and other service activities;2009;450;111;56;44;85;15;59;41;16;57;27;8;50;42;35
90;Foreign controlled;Real estate and other service activities;2010;465;109;57;43;84;16;59;41;18;62;20;9;52;39;37
91;Foreign controlled;Real estate and other service activities;2011;560;80;57;43;81;19;60;40;12;71;16;14;58;28;42
92;Foreign controlled;Public administration, education, health;2008;95;5;51;49;80;20;79;21;12;65;22;22;56;22;43
93;Foreign controlled;Public administration, education, health;2009;100;6;47;53;83;17;78;22;9;78;13;23;48;29;43
94;Foreign controlled;Public administration, education, health;2010;115;14;40;60;75;25;76;24;8;81;11;22;56;22;43
95;Foreign controlled;Public administration, education, health;2011;145;6;50;50;79;21;73;27;13;74;13;28;46;26;48
