ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
92;Total expenditure on health and care;HP11: General and university hospitals;2015;21721
93;Total expenditure on health and care;HP11: General and university hospitals;2016;22251
94;Total expenditure on health and care;HP11: General and university hospitals;2017;22616
95;Total expenditure on health and care;HP11: General and university hospitals;2018;23483
96;Total expenditure on health and care;HP11: General and university hospitals;2019;24596
97;Total expenditure on health and care;HP11: General and university hospitals;2020;26330
98;Total expenditure on health and care;HP11: General and university hospitals;2021;26978
99;Total expenditure on health and care;HP11: General and university hospitals;2022;28052
100;Total expenditure on health and care;HP12: Mental health institutions,;1998;2249
101;Total expenditure on health and care;HP12: Mental health institutions,;1999;2425
102;Total expenditure on health and care;HP12: Mental health institutions,;2000;2535
103;Total expenditure on health and care;HP12: Mental health institutions,;2001;2803
104;Total expenditure on health and care;HP12: Mental health institutions,;2002;3135
105;Total expenditure on health and care;HP12: Mental health institutions,;2003;3498
106;Total expenditure on health and care;HP12: Mental health institutions,;2004;3734
107;Total expenditure on health and care;HP12: Mental health institutions,;2005;3999
108;Total expenditure on health and care;HP12: Mental health institutions,;2006;4166
109;Total expenditure on health and care;HP12: Mental health institutions,;2007;4510
110;Total expenditure on health and care;HP12: Mental health institutions,;2008;4625
111;Total expenditure on health and care;HP12: Mental health institutions,;2009;4987
112;Total expenditure on health and care;HP12: Mental health institutions,;2010;5085
113;Total expenditure on health and care;HP12: Mental health institutions,;2011;5316
114;Total expenditure on health and care;HP12: Mental health institutions,;2012;5469
115;Total expenditure on health and care;HP12: Mental health institutions,;2013;5515
116;Total expenditure on health and care;HP12: Mental health institutions,;2014;5541
117;Total expenditure on health and care;HP12: Mental health institutions,;2015;5186
118;Total expenditure on health and care;HP12: Mental health institutions,;2016;5332
119;Total expenditure on health and care;HP12: Mental health institutions,;2017;5397
120;Total expenditure on health and care;HP12: Mental health institutions,;2018;5608
121;Total expenditure on health and care;HP12: Mental health institutions,;2019;6003
122;Total expenditure on health and care;HP12: Mental health institutions,;2020;6439
123;Total expenditure on health and care;HP12: Mental health institutions,;2021;6751
124;Total expenditure on health and care;HP12: Mental health institutions,;2022;7058
125;Total expenditure on health and care;HP13: Specialised hospitals;1998;326
126;Total expenditure on health and care;HP13: Specialised hospitals;1999;335
127;Total expenditure on health and care;HP13: Specialised hospitals;2000;354
128;Total expenditure on health and care;HP13: Specialised hospitals;2001;407
129;Total expenditure on health and care;HP13: Specialised hospitals;2002;463
130;Total expenditure on health and care;HP13: Specialised hospitals;2003;531
131;Total expenditure on health and care;HP13: Specialised hospitals;2004;540
132;Total expenditure on health and care;HP13: Specialised hospitals;2005;564
133;Total expenditure on health and care;HP13: Specialised hospitals;2006;578
134;Total expenditure on health and care;HP13: Specialised hospitals;2007;666
135;Total expenditure on health and care;HP13: Specialised hospitals;2008;724
136;Total expenditure on health and care;HP13: Specialised hospitals;2009;769
137;Total expenditure on health and care;HP13: Specialised hospitals;2010;852
138;Total expenditure on health and care;HP13: Specialised hospitals;2011;918
139;Total expenditure on health and care;HP13: Specialised hospitals;2012;906
140;Total expenditure on health and care;HP13: Specialised hospitals;2013;970
141;Total expenditure on health and care;HP13: Specialised hospitals;2014;991
142;Total expenditure on health and care;HP13: Specialised hospitals;2015;1036
143;Total expenditure on health and care;HP13: Specialised hospitals;2016;1070
144;Total expenditure on health and care;HP13: Specialised hospitals;2017;1085
145;Total expenditure on health and care;HP13: Specialised hospitals;2018;1220
146;Total expenditure on health and care;HP13: Specialised hospitals;2019;1297
147;Total expenditure on health and care;HP13: Specialised hospitals;2020;1354
148;Total expenditure on health and care;HP13: Specialised hospitals;2021;1405
149;Total expenditure on health and care;HP13: Specialised hospitals;2022;1427
150;Total expenditure on health and care;HP2: Nursing and residential care facil.;1998;10377
151;Total expenditure on health and care;HP2: Nursing and residential care facil.;1999;11021
152;Total expenditure on health and care;HP2: Nursing and residential care facil.;2000;11849
153;Total expenditure on health and care;HP2: Nursing and residential care facil.;2001;13336
154;Total expenditure on health and care;HP2: Nursing and residential care facil.;2002;15137
155;Total expenditure on health and care;HP2: Nursing and residential care facil.;2003;16388
156;Total expenditure on health and care;HP2: Nursing and residential care facil.;2004;16778
157;Total expenditure on health and care;HP2: Nursing and residential care facil.;2005;17335
158;Total expenditure on health and care;HP2: Nursing and residential care facil.;2006;18224
159;Total expenditure on health and care;HP2: Nursing and residential care facil.;2007;18563
160;Total expenditure on health and care;HP2: Nursing and residential care facil.;2008;19799
161;Total expenditure on health and care;HP2: Nursing and residential care facil.;2009;20807
162;Total expenditure on health and care;HP2: Nursing and residential care facil.;2010;21675
163;Total expenditure on health and care;HP2: Nursing and residential care facil.;2011;22541
164;Total expenditure on health and care;HP2: Nursing and residential care facil.;2012;24451
165;Total expenditure on health and care;HP2: Nursing and residential care facil.;2013;24644
166;Total expenditure on health and care;HP2: Nursing and residential care facil.;2014;24811
167;Total expenditure on health and care;HP2: Nursing and residential care facil.;2015;23972
168;Total expenditure on health and care;HP2: Nursing and residential care facil.;2016;24591
169;Total expenditure on health and care;HP2: Nursing and residential care facil.;2017;25358
170;Total expenditure on health and care;HP2: Nursing and residential care facil.;2018;26662
171;Total expenditure on health and care;HP2: Nursing and residential care facil.;2019;28867
172;Total expenditure on health and care;HP2: Nursing and residential care facil.;2020;32469
173;Total expenditure on health and care;HP2: Nursing and residential care facil.;2021;32926
174;Total expenditure on health and care;HP2: Nursing and residential care facil.;2022;33577
175;Total expenditure on health and care;HP21: Nursing care facilities;1998;7434
176;Total expenditure on health and care;HP21: Nursing care facilities;1999;7835
177;Total expenditure on health and care;HP21: Nursing care facilities;2000;8422
178;Total expenditure on health and care;HP21: Nursing care facilities;2001;9584
179;Total expenditure on health and care;HP21: Nursing care facilities;2002;10931
180;Total expenditure on health and care;HP21: Nursing care facilities;2003;11800
181;Total expenditure on health and care;HP21: Nursing care facilities;2004;11923
182;Total expenditure on health and care;HP21: Nursing care facilities;2005;12260
183;Total expenditure on health and care;HP21: Nursing care facilities;2006;12769
184;Total expenditure on health and care;HP21: Nursing care facilities;2007;12908
185;Total expenditure on health and care;HP21: Nursing care facilities;2008;13622
186;Total expenditure on health and care;HP21: Nursing care facilities;2009;14132
187;Total expenditure on health and care;HP21: Nursing care facilities;2010;14755
188;Total expenditure on health and care;HP21: Nursing care facilities;2011;15221
189;Total expenditure on health and care;HP21: Nursing care facilities;2012;16442
190;Total expenditure on health and care;HP21: Nursing care facilities;2013;16590
191;Total expenditure on health and care;HP21: Nursing care facilities;2014;16539
192;Total expenditure on health and care;HP21: Nursing care facilities;2015;15807
193;Total expenditure on health and care;HP21: Nursing care facilities;2016;15999
194;Total expenditure on health and care;HP21: Nursing care facilities;2017;16457
195;Total expenditure on health and care;HP21: Nursing care facilities;2018;17370
196;Total expenditure on health and care;HP21: Nursing care facilities;2019;18886
197;Total expenditure on health and care;HP21: Nursing care facilities;2020;21455
198;Total expenditure on health and care;HP21: Nursing care facilities;2021;21789
199;Total expenditure on health and care;HP21: Nursing care facilities;2022;21917
200;Total expenditure on health and care;HP22-29: Facilities for the disabled;1998;2943
201;Total expenditure on health and care;HP22-29: Facilities for the disabled;1999;3186
202;Total expenditure on health and care;HP22-29: Facilities for the disabled;2000;3426
203;Total expenditure on health and care;HP22-29: Facilities for the disabled;2001;3752
204;Total expenditure on health and care;HP22-29: Facilities for the disabled;2002;4206
205;Total expenditure on health and care;HP22-29: Facilities for the disabled;2003;4588
206;Total expenditure on health and care;HP22-29: Facilities for the disabled;2004;4855
207;Total expenditure on health and care;HP22-29: Facilities for the disabled;2005;5075
208;Total expenditure on health and care;HP22-29: Facilities for the disabled;2006;5456
209;Total expenditure on health and care;HP22-29: Facilities for the disabled;2007;5655
210;Total expenditure on health and care;HP22-29: Facilities for the disabled;2008;6177
211;Total expenditure on health and care;HP22-29: Facilities for the disabled;2009;6675
212;Total expenditure on health and care;HP22-29: Facilities for the disabled;2010;6920
213;Total expenditure on health and care;HP22-29: Facilities for the disabled;2011;7320
214;Total expenditure on health and care;HP22-29: Facilities for the disabled;2012;8010
215;Total expenditure on health and care;HP22-29: Facilities for the disabled;2013;8054
216;Total expenditure on health and care;HP22-29: Facilities for the disabled;2014;8272
217;Total expenditure on health and care;HP22-29: Facilities for the disabled;2015;8165
218;Total expenditure on health and care;HP22-29: Facilities for the disabled;2016;8592
219;Total expenditure on health and care;HP22-29: Facilities for the disabled;2017;8901
220;Total expenditure on health and care;HP22-29: Facilities for the disabled;2018;9292
221;Total expenditure on health and care;HP22-29: Facilities for the disabled;2019;9981
222;Total expenditure on health and care;HP22-29: Facilities for the disabled;2020;11014
223;Total expenditure on health and care;HP22-29: Facilities for the disabled;2021;11137
224;Total expenditure on health and care;HP22-29: Facilities for the disabled;2022;11660
225;Total expenditure on health and care;HP3: Providers of ambulatory health care;1998;5245
226;Total expenditure on health and care;HP3: Providers of ambulatory health care;1999;5592
227;Total expenditure on health and care;HP3: Providers of ambulatory health care;2000;5927
228;Total expenditure on health and care;HP3: Providers of ambulatory health care;2001;6458
229;Total expenditure on health and care;HP3: Providers of ambulatory health care;2002;7283
230;Total expenditure on health and care;HP3: Providers of ambulatory health care;2003;7945
231;Total expenditure on health and care;HP3: Providers of ambulatory health care;2004;8327
232;Total expenditure on health and care;HP3: Providers of ambulatory health care;2005;8572
233;Total expenditure on health and care;HP3: Providers of ambulatory health care;2006;9169
234;Total expenditure on health and care;HP3: Providers of ambulatory health care;2007;9925
235;Total expenditure on health and care;HP3: Providers of ambulatory health care;2008;11005
236;Total expenditure on health and care;HP3: Providers of ambulatory health care;2009;11596
237;Total expenditure on health and care;HP3: Providers of ambulatory health care;2010;11583
238;Total expenditure on health and care;HP3: Providers of ambulatory health care;2011;12153
239;Total expenditure on health and care;HP3: Providers of ambulatory health care;2012;12351
240;Total expenditure on health and care;HP3: Providers of ambulatory health care;2013;12398
241;Total expenditure on health and care;HP3: Providers of ambulatory health care;2014;12838
242;Total expenditure on health and care;HP3: Providers of ambulatory health care;2015;12931
243;Total expenditure on health and care;HP3: Providers of ambulatory health care;2016;13632
244;Total expenditure on health and care;HP3: Providers of ambulatory health care;2017;13915
245;Total expenditure on health and care;HP3: Providers of ambulatory health care;2018;14438
246;Total expenditure on health and care;HP3: Providers of ambulatory health care;2019;15229
247;Total expenditure on health and care;HP3: Providers of ambulatory health care;2020;15285
248;Total expenditure on health and care;HP3: Providers of ambulatory health care;2021;16305
249;Total expenditure on health and care;HP3: Providers of ambulatory health care;2022;16745
250;Total expenditure on health and care;HP31: Medical practices;1998;2531
251;Total expenditure on health and care;HP31: Medical practices;1999;2678
252;Total expenditure on health and care;HP31: Medical practices;2000;2760
253;Total expenditure on health and care;HP31: Medical practices;2001;2967
254;Total expenditure on health and care;HP31: Medical practices;2002;3377
255;Total expenditure on health and care;HP31: Medical practices;2003;3702
256;Total expenditure on health and care;HP31: Medical practices;2004;3960
257;Total expenditure on health and care;HP31: Medical practices;2005;4080
258;Total expenditure on health and care;HP31: Medical practices;2006;4350
259;Total expenditure on health and care;HP31: Medical practices;2007;4635
260;Total expenditure on health and care;HP31: Medical practices;2008;5252
261;Total expenditure on health and care;HP31: Medical practices;2009;5497
262;Total expenditure on health and care;HP31: Medical practices;2010;5209
263;Total expenditure on health and care;HP31: Medical practices;2011;5426
264;Total expenditure on health and care;HP31: Medical practices;2012;5492
265;Total expenditure on health and care;HP31: Medical practices;2013;5649
266;Total expenditure on health and care;HP31: Medical practices;2014;5909
267;Total expenditure on health and care;HP31: Medical practices;2015;5645
268;Total expenditure on health and care;HP31: Medical practices;2016;5936
269;Total expenditure on health and care;HP31: Medical practices;2017;6042
270;Total expenditure on health and care;HP31: Medical practices;2018;6334
271;Total expenditure on health and care;HP31: Medical practices;2019;6898
272;Total expenditure on health and care;HP31: Medical practices;2020;7287
273;Total expenditure on health and care;HP31: Medical practices;2021;7516
274;Total expenditure on health and care;HP31: Medical practices;2022;7656
275;Total expenditure on health and care;HP32: Dental practices;1998;1334
276;Total expenditure on health and care;HP32: Dental practices;1999;1402
277;Total expenditure on health and care;HP32: Dental practices;2000;1527
278;Total expenditure on health and care;HP32: Dental practices;2001;1694
279;Total expenditure on health and care;HP32: Dental practices;2002;1944
280;Total expenditure on health and care;HP32: Dental practices;2003;2131
281;Total expenditure on health and care;HP32: Dental practices;2004;2197
282;Total expenditure on health and care;HP32: Dental practices;2005;2183
283;Total expenditure on health and care;HP32: Dental practices;2006;2284
284;Total expenditure on health and care;HP32: Dental practices;2007;2475
285;Total expenditure on health and care;HP32: Dental practices;2008;2671
286;Total expenditure on health and care;HP32: Dental practices;2009;2820
287;Total expenditure on health and care;HP32: Dental practices;2010;2952
288;Total expenditure on health and care;HP32: Dental practices;2011;3021
289;Total expenditure on health and care;HP32: Dental practices;2012;3122
290;Total expenditure on health and care;HP32: Dental practices;2013;2969
291;Total expenditure on health and care;HP32: Dental practices;2014;3056
292;Total expenditure on health and care;HP32: Dental practices;2015;3032
293;Total expenditure on health and care;HP32: Dental practices;2016;3158
294;Total expenditure on health and care;HP32: Dental practices;2017;3142
295;Total expenditure on health and care;HP32: Dental practices;2018;3218
296;Total expenditure on health and care;HP32: Dental practices;2019;3287
297;Total expenditure on health and care;HP32: Dental practices;2020;2996
298;Total expenditure on health and care;HP32: Dental practices;2021;3276
299;Total expenditure on health and care;HP32: Dental practices;2022;3381
300;Total expenditure on health and care;HP34: Ambulatory health care centres;1998;118
301;Total expenditure on health and care;HP34: Ambulatory health care centres;1999;135
302;Total expenditure on health and care;HP34: Ambulatory health care centres;2000;169
303;Total expenditure on health and care;HP34: Ambulatory health care centres;2001;198
304;Total expenditure on health and care;HP34: Ambulatory health care centres;2002;246
305;Total expenditure on health and care;HP34: Ambulatory health care centres;2003;253
306;Total expenditure on health and care;HP34: Ambulatory health care centres;2004;276
307;Total expenditure on health and care;HP34: Ambulatory health care centres;2005;335
308;Total expenditure on health and care;HP34: Ambulatory health care centres;2006;351
309;Total expenditure on health and care;HP34: Ambulatory health care centres;2007;397
310;Total expenditure on health and care;HP34: Ambulatory health care centres;2008;460
311;Total expenditure on health and care;HP34: Ambulatory health care centres;2009;506
312;Total expenditure on health and care;HP34: Ambulatory health care centres;2010;588
313;Total expenditure on health and care;HP34: Ambulatory health care centres;2011;710
314;Total expenditure on health and care;HP34: Ambulatory health care centres;2012;763
315;Total expenditure on health and care;HP34: Ambulatory health care centres;2013;767
316;Total expenditure on health and care;HP34: Ambulatory health care centres;2014;807
317;Total expenditure on health and care;HP34: Ambulatory health care centres;2015;1279
318;Total expenditure on health and care;HP34: Ambulatory health care centres;2016;1385
319;Total expenditure on health and care;HP34: Ambulatory health care centres;2017;1543
320;Total expenditure on health and care;HP34: Ambulatory health care centres;2018;1645
321;Total expenditure on health and care;HP34: Ambulatory health care centres;2019;1769
322;Total expenditure on health and care;HP34: Ambulatory health care centres;2020;1903
323;Total expenditure on health and care;HP34: Ambulatory health care centres;2021;2097
324;Total expenditure on health and care;HP34: Ambulatory health care centres;2022;2193
325;Total expenditure on health and care;HP33 : Other health care practitioners;1998;1262
326;Total expenditure on health and care;HP33 : Other health care practitioners;1999;1376
327;Total expenditure on health and care;HP33 : Other health care practitioners;2000;1471
328;Total expenditure on health and care;HP33 : Other health care practitioners;2001;1598
329;Total expenditure on health and care;HP33 : Other health care practitioners;2002;1716
330;Total expenditure on health and care;HP33 : Other health care practitioners;2003;1858
331;Total expenditure on health and care;HP33 : Other health care practitioners;2004;1893
332;Total expenditure on health and care;HP33 : Other health care practitioners;2005;1974
333;Total expenditure on health and care;HP33 : Other health care practitioners;2006;2184
334;Total expenditure on health and care;HP33 : Other health care practitioners;2007;2417
335;Total expenditure on health and care;HP33 : Other health care practitioners;2008;2622
336;Total expenditure on health and care;HP33 : Other health care practitioners;2009;2773
337;Total expenditure on health and care;HP33 : Other health care practitioners;2010;2834
338;Total expenditure on health and care;HP33 : Other health care practitioners;2011;2996
339;Total expenditure on health and care;HP33 : Other health care practitioners;2012;2974
340;Total expenditure on health and care;HP33 : Other health care practitioners;2013;3013
341;Total expenditure on health and care;HP33 : Other health care practitioners;2014;3066
342;Total expenditure on health and care;HP33 : Other health care practitioners;2015;2975
343;Total expenditure on health and care;HP33 : Other health care practitioners;2016;3154
344;Total expenditure on health and care;HP33 : Other health care practitioners;2017;3188
345;Total expenditure on health and care;HP33 : Other health care practitioners;2018;3240
346;Total expenditure on health and care;HP33 : Other health care practitioners;2019;3274
347;Total expenditure on health and care;HP33 : Other health care practitioners;2020;3100
348;Total expenditure on health and care;HP33 : Other health care practitioners;2021;3415
349;Total expenditure on health and care;HP33 : Other health care practitioners;2022;3514
350;Total expenditure on health and care;HP4: Providers of ancillary services;1998;319
351;Total expenditure on health and care;HP4: Providers of ancillary services;1999;381
352;Total expenditure on health and care;HP4: Providers of ancillary services;2000;371
353;Total expenditure on health and care;HP4: Providers of ancillary services;2001;479
354;Total expenditure on health and care;HP4: Providers of ancillary services;2002;604
355;Total expenditure on health and care;HP4: Providers of ancillary services;2003;623
356;Total expenditure on health and care;HP4: Providers of ancillary services;2004;691
357;Total expenditure on health and care;HP4: Providers of ancillary services;2005;744
358;Total expenditure on health and care;HP4: Providers of ancillary services;2006;753
359;Total expenditure on health and care;HP4: Providers of ancillary services;2007;834
360;Total expenditure on health and care;HP4: Providers of ancillary services;2008;878
361;Total expenditure on health and care;HP4: Providers of ancillary services;2009;956
362;Total expenditure on health and care;HP4: Providers of ancillary services;2010;993
363;Total expenditure on health and care;HP4: Providers of ancillary services;2011;1017
364;Total expenditure on health and care;HP4: Providers of ancillary services;2012;1043
365;Total expenditure on health and care;HP4: Providers of ancillary services;2013;1052
366;Total expenditure on health and care;HP4: Providers of ancillary services;2014;1096
367;Total expenditure on health and care;HP4: Providers of ancillary services;2015;1115
368;Total expenditure on health and care;HP4: Providers of ancillary services;2016;1110
369;Total expenditure on health and care;HP4: Providers of ancillary services;2017;1125
370;Total expenditure on health and care;HP4: Providers of ancillary services;2018;1205
371;Total expenditure on health and care;HP4: Providers of ancillary services;2019;1242
372;Total expenditure on health and care;HP4: Providers of ancillary services;2020;1489
373;Total expenditure on health and care;HP4: Providers of ancillary services;2021;2121
374;Total expenditure on health and care;HP4: Providers of ancillary services;2022;1816
375;Total expenditure on health and care;HP41: Patient transportation, emergency;1998;135
376;Total expenditure on health and care;HP41: Patient transportation, emergency;1999;137
377;Total expenditure on health and care;HP41: Patient transportation, emergency;2000;144
378;Total expenditure on health and care;HP41: Patient transportation, emergency;2001;160
379;Total expenditure on health and care;HP41: Patient transportation, emergency;2002;183
380;Total expenditure on health and care;HP41: Patient transportation, emergency;2003;209
381;Total expenditure on health and care;HP41: Patient transportation, emergency;2004;211
382;Total expenditure on health and care;HP41: Patient transportation, emergency;2005;205
383;Total expenditure on health and care;HP41: Patient transportation, emergency;2006;218
384;Total expenditure on health and care;HP41: Patient transportation, emergency;2007;221
385;Total expenditure on health and care;HP41: Patient transportation, emergency;2008;234
386;Total expenditure on health and care;HP41: Patient transportation, emergency;2009;281
387;Total expenditure on health and care;HP41: Patient transportation, emergency;2010;298
388;Total expenditure on health and care;HP41: Patient transportation, emergency;2011;301
389;Total expenditure on health and care;HP41: Patient transportation, emergency;2012;313
390;Total expenditure on health and care;HP41: Patient transportation, emergency;2013;347
391;Total expenditure on health and care;HP41: Patient transportation, emergency;2014;358
392;Total expenditure on health and care;HP41: Patient transportation, emergency;2015;350
393;Total expenditure on health and care;HP41: Patient transportation, emergency;2016;365
394;Total expenditure on health and care;HP41: Patient transportation, emergency;2017;379
395;Total expenditure on health and care;HP41: Patient transportation, emergency;2018;405
396;Total expenditure on health and care;HP41: Patient transportation, emergency;2019;435
397;Total expenditure on health and care;HP41: Patient transportation, emergency;2020;509
398;Total expenditure on health and care;HP41: Patient transportation, emergency;2021;528
399;Total expenditure on health and care;HP41: Patient transportation, emergency;2022;549
400;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;1998;184
401;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;1999;245
402;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2000;227
403;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2001;319
404;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2002;421
405;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2003;414
406;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2004;480
407;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2005;539
408;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2006;535
409;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2007;612
410;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2008;644
411;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2009;675
412;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2010;696
413;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2011;716
414;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2012;729
415;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2013;705
416;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2014;738
417;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2015;765
418;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2016;745
419;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2017;746
420;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2018;800
421;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2019;807
422;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2020;980
423;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2021;1593
424;Total expenditure on health and care;HP42-49: Laboratories, other anc. serv.;2022;1267
425;Total expenditure on health and care;HP5: Retailers of medical goods;1998;5496
426;Total expenditure on health and care;HP5: Retailers of medical goods;1999;5926
427;Total expenditure on health and care;HP5: Retailers of medical goods;2000;6243
428;Total expenditure on health and care;HP5: Retailers of medical goods;2001;6794
429;Total expenditure on health and care;HP5: Retailers of medical goods;2002;7352
430;Total expenditure on health and care;HP5: Retailers of medical goods;2003;7870
431;Total expenditure on health and care;HP5: Retailers of medical goods;2004;8134
432;Total expenditure on health and care;HP5: Retailers of medical goods;2005;8294
433;Total expenditure on health and care;HP5: Retailers of medical goods;2006;8407
434;Total expenditure on health and care;HP5: Retailers of medical goods;2007;8867
435;Total expenditure on health and care;HP5: Retailers of medical goods;2008;9078
