ID;Geslacht;Leeftijd;Marges;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;ZelfBeslissen_4;VolgordeWerkzaamhedenBepalen_5;WerktempoBepalen_6;OplossingenBedenken_7;VerlofNemen_8;WerktijdenBepalen_9;WerkplekBepalen_10;EmotioneelMoeilijkeWerksituaties_11;EmotioneelVeeleisendWerk_12;EmotioneelBetrokkenBijWerk_13;VanKlantenTot2022_14;VanLeidinggevendenOfCollegaS_15;DoorKlantenTot2022_16;DoorLeidinggevendenOfCollegaS_17;DoorKlantenTot2022_18;DoorLeidinggevendenOfCollegaS_19;DoorKlantenTot2022_20;DoorLeidinggevendenOfCollegaS_21;VanKlantLeidinggevendeOfCollega_22;VanKlantenVanaf2022_23;VanLeidinggevenden_24;VanCollegaS_25;DoorKlantLeidinggevendeOfCollega_26;DoorKlantenVanaf2022_27;DoorLeidinggevenden_28;DoorCollegaS_29;DoorKlantLeidinggevendeOfCollega_30;DoorKlantenVanaf2022_31;DoorLeidinggevenden_32;DoorCollegaS_33;DoorKlantLeidinggevendeOfCollega_34;DoorKlantenVanaf2022_35;DoorLeidinggevenden_36;DoorCollegaS_37;GediscrimineerdGevoeld_38;OmGeslacht_39;OmAfkomstHuidskleurNationaliteit_40;OmGodsdienstOfLevensovertuiging_41;OmSeksueleGeaardheidVoorkeur_42;OmLeeftijd_43;OmLangdurigeZiekteAandoeningHandicap_44;OmWerktijdenOfContractvorm_45;OmPolitiekeVoorkeur_46;OmAndereReden_47;PsychischeVermoeidheidDoorHetWerk_48;EmotioneelUitgeput_49;LeegVoelen_50;SOchtendsMoeVoelen_51;VergtVeelOmMetMensenTeWerken_52;UitgeputDoorWerk_53
10;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2024;30.1;40.4;25.5;61.9;61.8;57.5;65.2;56.7;29.2;26.7;7.0;11.5;13.0;;;;;;;;;4.5;3.1;0.3;1.1;11.9;8.8;1.4;1.6;2.8;2.4;0.1;0.2;5.5;1.2;1.3;3.0;11.4;2.1;3.4;1.0;0.5;2.9;1.5;1.3;0.5;2.7;20.1;20.1;33.6;23.1;18.0;16.3
11;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2014;36.0;44.7;30.2;60.0;61.8;55.5;67.5;47.5;22.6;;7.4;11.7;13.0;5.1;1.7;18.4;11.4;5.6;0.4;5.3;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;14.0;13.4;30.1;17.9;9.9;12.6
12;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2015;35.8;44.9;30.2;59.4;61.6;56.1;67.2;48.2;22.9;;7.1;11.4;12.6;4.9;1.7;18.1;10.8;5.5;0.3;4.8;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;13.1;12.0;27.4;16.9;9.5;12.4
13;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2016;35.6;44.6;30.1;59.3;60.9;55.3;67.3;47.7;23.5;;7.7;11.8;12.7;5.2;1.9;18.8;10.8;5.6;0.4;5.3;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;14.3;13.2;29.5;18.5;10.4;13.0
14;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2017;36.2;45.7;31.7;59.1;60.2;54.6;67.3;48.2;24.1;;8.4;12.6;13.8;5.8;2.0;18.8;11.0;5.6;0.4;5.2;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;15.6;14.2;29.8;19.1;11.7;14.1
15;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2018;35.9;45.9;30.2;59.7;60.8;55.7;67.1;50.0;25.6;;8.4;12.6;14.4;5.1;2.1;18.4;10.4;5.6;0.5;5.6;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;16.9;17.3;31.5;20.1;13.2;14.9
16;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2019;35.0;45.2;29.8;60.3;61.2;56.4;67.3;51.4;26.6;;8.6;13.1;14.8;8.2;3.0;23.2;12.9;7.1;0.7;7.7;9.9;;;;;;;;;;;;;;;;;;;;;;;;;;;16.7;15.8;30.6;20.2;13.6;15.1
17;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2020;31.8;42.0;26.8;61.3;62.5;59.0;67.2;52.9;28.1;;7.7;11.8;14.9;4.4;1.7;17.2;8.2;4.8;0.4;5.1;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;15.4;15.6;29.7;18.9;12.6;13.3
18;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2021;33.1;44.4;29.3;60.2;61.6;56.9;66.5;52.1;28.0;;8.8;12.9;15.6;5.8;2.0;18.0;8.5;5.3;0.5;5.7;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;16.9;16.2;30.5;21.0;14.1;15.1
19;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2022;30.9;41.9;26.8;61.9;61.6;57.4;65.1;54.3;28.5;27.1;6.2;10.6;12.1;;;;;;;;;4.2;2.8;0.3;0.9;10.9;7.9;1.4;1.3;2.8;2.4;0.0;0.1;4.6;1.0;1.1;2.4;9.9;2.0;2.6;0.7;0.3;2.2;1.2;1.2;0.2;2.4;19.7;19.9;33.9;22.7;16.6;16.0
20;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2023;29.6;40.0;24.9;62.6;62.2;57.9;65.2;55.9;28.9;27.0;6.7;10.9;12.5;;;;;;;;;4.2;2.9;0.2;0.9;11.2;8.0;1.5;1.4;2.7;2.3;0.0;0.1;5.0;1.1;1.2;2.6;10.3;2.0;2.7;0.7;0.4;2.4;1.1;1.2;0.3;2.4;18.7;19.2;32.4;21.6;15.9;15.1
21;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2024;29.7;40.0;25.2;61.5;61.4;57.1;64.8;56.3;28.8;26.3;6.7;11.2;12.6;;;;;;;;;4.2;2.9;0.2;1.0;11.6;8.5;1.3;1.4;2.6;2.2;0.1;0.1;5.2;1.1;1.2;2.8;11.0;2.0;3.2;0.8;0.4;2.7;1.3;1.2;0.4;2.5;19.8;19.7;33.2;22.7;17.6;15.9
22;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2014;37.1;45.8;31.2;61.0;62.9;56.5;68.5;48.5;23.5;;8.0;12.4;13.8;5.6;2.0;19.3;12.0;6.1;0.6;5.8;8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;14.8;14.2;31.1;18.8;10.6;13.4
23;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2015;36.7;45.9;31.1;60.4;62.6;57.1;68.1;49.1;23.7;;7.7;12.0;13.2;5.3;1.9;18.8;11.4;5.9;0.5;5.3;8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;13.8;12.7;28.3;17.7;10.1;13.0
24;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2016;36.5;45.5;31.0;60.3;61.9;56.2;68.2;48.6;24.4;;8.2;12.5;13.4;5.7;2.2;19.6;11.4;6.1;0.5;5.8;8.6;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0;13.9;30.4;19.3;11.0;13.7
25;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2017;37.2;46.7;32.6;60.0;61.1;55.6;68.3;49.2;25.0;;8.9;13.3;14.5;6.3;2.3;19.5;11.7;6.0;0.5;5.7;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;16.3;14.9;30.7;19.9;12.4;14.8
26;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2018;36.8;46.8;30.9;60.6;61.6;56.5;67.9;50.8;26.4;;8.9;13.2;15.0;5.5;2.4;19.0;10.9;6.0;0.7;6.0;8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;17.6;18.0;32.3;20.8;13.8;15.6
27;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2019;35.8;46.1;30.6;61.1;62.0;57.2;68.1;52.2;27.4;;9.1;13.6;15.4;8.7;3.3;24.0;13.5;7.5;0.9;8.2;10.4;;;;;;;;;;;;;;;;;;;;;;;;;;;17.4;16.5;31.4;20.9;14.2;15.8
28;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2020;32.7;42.9;27.6;62.1;63.4;59.8;68.0;53.8;28.8;;8.2;12.4;15.5;4.8;1.9;17.9;8.7;5.2;0.6;5.5;6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;16.1;16.3;30.5;19.6;13.2;13.9
29;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2021;34.0;45.4;30.2;61.2;62.5;57.8;67.4;53.0;28.9;;9.4;13.5;16.3;6.3;2.3;18.7;9.1;5.7;0.6;6.2;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;17.6;16.9;31.4;21.8;14.7;15.8
30;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2022;31.7;42.8;27.6;62.7;62.5;58.3;65.9;55.1;29.3;27.8;6.9;11.4;12.9;;;;;;;;;4.7;3.2;0.5;1.2;11.7;8.6;1.7;1.6;3.2;2.8;0.1;0.3;5.2;1.3;1.4;2.8;10.7;2.3;3.1;1.0;0.4;2.6;1.5;1.5;0.3;2.8;20.4;20.6;34.8;23.5;17.3;16.7
31;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2023;30.4;40.9;25.7;63.4;63.0;58.7;66.1;56.7;29.7;27.8;7.3;11.7;13.3;;;;;;;;;4.8;3.3;0.3;1.2;12.0;8.7;1.8;1.7;3.1;2.7;0.1;0.3;5.6;1.3;1.5;3.1;11.1;2.3;3.2;0.9;0.6;2.8;1.4;1.5;0.5;2.8;19.4;19.9;33.2;22.3;16.6;15.7
32;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2024;30.5;40.8;25.9;62.3;62.2;57.9;65.6;57.2;29.6;27.0;7.3;11.9;13.4;;;;;;;;;4.7;3.4;0.3;1.2;12.3;9.1;1.6;1.8;3.0;2.6;0.1;0.2;5.8;1.4;1.5;3.2;11.8;2.3;3.7;1.1;0.5;3.1;1.6;1.5;0.5;2.9;20.5;20.4;34.1;23.5;18.3;16.6
33;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2014;32.9;30.9;21.7;33.0;35.8;35.0;42.0;37.4;16.2;;3.6;5.2;7.2;9.2;2.6;18.5;6.3;4.8;0.9;5.9;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;8.7;6.8;19.5;15.2;6.5;10.8
34;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2015;35.3;32.7;22.7;33.2;34.9;36.5;42.5;40.5;17.7;;3.6;5.4;7.1;8.3;2.4;18.2;6.2;4.8;0.6;5.6;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;7.7;6.1;17.6;13.4;6.0;9.7
35;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2016;36.5;33.5;24.7;33.6;34.0;34.2;42.5;39.9;20.4;;4.2;5.7;7.6;9.3;2.8;20.6;6.9;4.4;0.9;6.8;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;10.5;8.2;22.3;17.8;8.8;11.4
36;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2017;36.1;33.5;25.2;32.3;33.3;35.1;42.7;41.1;21.0;;3.8;6.5;6.9;10.9;3.3;20.4;6.4;4.9;0.7;6.7;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;9.9;7.7;20.0;16.2;8.2;11.1
37;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2018;34.1;33.6;23.1;34.3;35.0;37.3;42.6;43.9;24.0;;4.9;7.1;8.8;10.1;3.4;20.3;6.7;5.3;1.2;6.7;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;13.4;11.7;24.7;20.1;11.1;13.2
38;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2019;33.7;33.1;23.7;34.7;34.9;37.5;42.5;45.8;25.7;;4.8;7.1;8.9;14.8;4.7;26.3;8.9;6.8;1.4;9.3;7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;12.1;9.3;22.7;19.2;11.0;13.6
39;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2020;30.7;28.9;19.7;31.7;32.9;37.3;39.8;46.1;25.8;;4.5;6.8;8.8;10.1;3.1;22.4;5.3;4.9;1.0;7.1;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;11.4;10.2;22.7;17.2;9.9;11.6
40;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2021;31.6;31.7;21.7;31.7;33.2;35.7;40.3;44.6;26.4;;5.1;7.2;8.8;12.3;3.9;23.0;5.6;5.0;1.1;7.9;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;12.5;10.5;23.2;19.9;12.3;12.2
41;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2022;32.1;32.7;22.4;36.8;35.9;39.1;43.2;49.0;28.9;17.6;4.4;7.7;7.4;;;;;;;;;10.2;7.9;0.8;1.7;12.2;10.4;0.5;1.1;3.4;2.5;0.2;0.3;4.2;2.0;0.7;1.4;9.8;2.2;2.6;0.9;0.5;3.8;0.6;1.0;0.2;1.4;17.4;16.7;29.4;23.4;15.1;15.2
42;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2023;32.2;31.5;20.8;36.1;35.5;37.8;42.8;51.9;30.2;17.0;5.0;8.6;8.1;;;;;;;;;10.7;8.0;0.7;2.0;13.0;10.6;1.0;0.9;3.4;2.5;0.2;0.3;4.4;1.8;0.7;1.7;10.8;2.0;2.6;1.2;0.7;4.6;0.6;1.2;0.3;1.7;17.1;16.3;29.6;23.0;15.4;15.3
43;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2024;31.9;31.2;21.5;33.9;33.2;37.3;41.2;52.4;30.0;16.4;4.9;8.4;7.4;;;;;;;;;10.3;8.0;0.6;2.1;13.3;11.3;0.7;0.9;3.4;2.5;0.2;0.4;5.4;2.3;0.8;2.1;12.1;2.2;3.6;1.3;0.8;4.8;0.9;1.4;0.5;1.7;18.0;16.5;29.7;24.1;16.9;15.4
44;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2014;31.4;29.4;20.3;31.5;34.3;33.4;40.4;35.9;15.1;;3.1;4.5;6.4;8.3;2.2;17.4;5.6;4.1;0.6;5.2;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;7.8;6.0;18.2;14.1;5.8;9.8
45;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2015;34.1;31.5;21.7;32.1;33.7;35.3;41.3;39.2;16.8;;3.1;4.8;6.5;7.7;2.0;17.3;5.6;4.3;0.5;5.1;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;7.1;5.5;16.7;12.5;5.4;9.0
46;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2016;35.3;32.2;23.6;32.4;32.8;33.0;41.2;38.6;19.4;;3.7;5.1;6.9;8.6;2.4;19.6;6.3;3.9;0.6;6.1;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;9.7;7.5;21.2;16.8;8.1;10.6
47;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2017;34.9;32.2;24.1;31.1;32.1;33.9;41.4;39.9;19.9;;3.3;5.9;6.3;10.1;2.8;19.4;5.8;4.4;0.5;6.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;9.1;7.0;19.0;15.2;7.5;10.3
48;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2018;33.1;32.6;22.1;33.3;34.0;36.2;41.6;42.8;23.1;;4.4;6.6;8.2;9.5;3.0;19.4;6.1;4.8;1.0;6.2;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;12.7;11.0;23.8;19.2;10.4;12.5
49;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2019;32.7;32.1;22.7;33.7;33.9;36.5;41.4;44.7;24.7;;4.3;6.6;8.3;14.0;4.2;25.3;8.3;6.2;1.1;8.6;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;11.4;8.7;21.7;18.3;10.3;12.8
50;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2020;29.6;27.8;18.8;30.6;31.8;36.1;38.6;44.9;24.7;;4.0;6.3;8.1;9.4;2.7;21.4;4.8;4.4;0.8;6.5;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;;10.7;9.6;21.7;16.4;9.3;10.9
51;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2021;30.4;30.5;20.6;30.5;32.0;34.5;39.1;43.3;25.3;;4.5;6.6;8.1;11.4;3.4;21.9;5.0;4.4;0.8;7.2;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;11.6;9.8;22.1;18.9;11.4;11.3
52;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2022;31.1;31.6;21.4;35.7;34.8;38.0;42.0;47.8;27.9;16.7;3.8;6.8;6.6;;;;;;;;;9.2;7.1;0.5;1.3;11.2;9.4;0.3;0.8;2.8;2.1;0.1;0.1;3.6;1.6;0.4;1.1;8.9;1.8;2.1;0.6;0.3;3.2;0.4;0.8;0.1;1.1;16.6;15.9;28.3;22.4;14.3;14.3
53;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2023;31.1;30.4;19.9;35.0;34.4;36.7;41.6;50.7;29.2;16.1;4.3;7.7;7.3;;;;;;;;;9.8;7.1;0.5;1.6;11.9;9.6;0.7;0.6;2.8;2.0;0.1;0.2;3.8;1.4;0.5;1.3;9.8;1.6;2.1;0.9;0.5;4.0;0.4;0.9;0.1;1.3;16.2;15.5;28.6;22.1;14.6;14.5
54;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2024;30.9;30.1;20.6;32.8;32.2;36.2;40.1;51.3;29.0;15.6;4.2;7.5;6.6;;;;;;;;;9.4;7.2;0.4;1.6;12.2;10.3;0.5;0.7;2.8;2.0;0.1;0.2;4.7;1.9;0.6;1.7;11.1;1.8;3.0;0.9;0.6;4.2;0.6;1.1;0.3;1.4;17.2;15.7;28.7;23.1;16.0;14.6
55;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2014;34.4;32.5;23.0;34.5;37.4;36.6;43.6;39.0;17.4;;4.3;6.0;8.0;10.1;3.2;19.8;7.1;5.6;1.3;6.7;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;9.6;7.7;20.8;16.4;7.4;11.9
56;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2015;36.5;33.9;23.8;34.4;36.1;37.8;43.8;41.7;18.7;;4.0;5.9;7.7;9.0;2.8;19.2;6.8;5.3;0.9;6.2;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;8.4;6.7;18.6;14.3;6.6;10.5
57;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2016;37.8;34.7;25.8;34.8;35.3;35.5;43.8;41.2;21.5;;4.7;6.3;8.3;10.1;3.2;21.6;7.6;4.9;1.2;7.5;6.6;;;;;;;;;;;;;;;;;;;;;;;;;;;11.3;8.9;23.4;18.9;9.5;12.3
58;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2017;37.4;34.7;26.4;33.5;34.5;36.4;44.0;42.5;22.1;;4.3;7.2;7.6;11.7;3.8;21.5;7.1;5.4;1.0;7.4;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;10.7;8.4;21.1;17.2;9.0;12.0
59;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2018;35.1;34.6;24.0;35.3;36.0;38.4;43.7;45.0;24.9;;5.4;7.7;9.4;10.8;3.9;21.1;7.2;5.8;1.5;7.3;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;14.2;12.5;25.7;21.0;11.8;14.0
60;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2019;34.8;34.2;24.6;35.8;36.0;38.6;43.6;46.9;26.7;;5.3;7.7;9.5;15.5;5.2;27.3;9.6;7.4;1.7;9.9;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;12.9;10.0;23.6;20.1;11.7;14.4
61;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2020;31.8;30.0;20.7;32.9;34.1;38.5;40.9;47.3;26.8;;5.1;7.5;9.4;10.8;3.5;23.3;5.9;5.5;1.4;7.7;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;12.2;11.0;23.6;18.1;10.6;12.4
62;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2021;32.8;32.9;22.8;32.9;34.5;37.0;41.6;46.0;27.6;;5.7;7.9;9.5;13.1;4.5;24.1;6.3;5.6;1.5;8.7;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;13.4;11.4;24.3;21.0;13.1;13.1
63;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2022;33.2;33.8;23.4;37.9;37.0;40.3;44.3;50.1;30.0;18.5;5.2;8.6;8.3;;;;;;;;;11.2;8.8;1.2;2.2;13.3;11.4;0.9;1.5;4.1;3.1;0.5;0.5;5.0;2.5;1.0;1.9;10.9;2.7;3.3;1.4;0.8;4.5;1.0;1.4;0.5;1.8;18.3;17.6;30.4;24.4;15.9;16.0
64;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2023;33.3;32.5;21.7;37.2;36.6;39.0;43.9;53.0;31.3;17.8;5.7;9.5;9.1;;;;;;;;;11.8;8.9;1.1;2.5;14.2;11.6;1.5;1.3;4.1;3.1;0.4;0.6;5.2;2.3;1.1;2.2;11.9;2.5;3.3;1.7;1.0;5.4;1.0;1.6;0.5;2.1;18.0;17.2;30.7;24.0;16.3;16.1
