ID;Persoonskenmerken;NormActief_1;SemiActief_2;Inactief_3;Conditietraining_4;Dansen_5;Fietsen_6;Gymnastiek_7;Hardlopen_8;Tennis_9;Tuinieren_10;Veldvoetbal_11;Wandelen_12;Zwemmen_13;Sporten_14;LopenVanEnNaarHetWerk_15;FietsenVanEnNaarHetWerk_16;Tuinieren_17;KlussenOfDoeHetZelven_18;LichtHuishoudelijkWerk_19;InspannendHuishoudelijkWerk_20;ZwaarHuishoudelijkWerk_21;StaandOfLopendWerk_22;Handwerk_23;ZwaarHandwerk_24;Minstens1Blessure_25;Kneuzing_26;GescheurdeOfVerrekteSpierOfPees_27;VerrekteBanden_28;Botbreuk_29;ArmVingerEDUitDeKom_30;GevolgenVanLangdurigeOverbelasting_31;AndereSoortBlessure_32;Hoofd_33;Borst_34;Schouder_35;Ruggewervel_36;RugNietNaderOpgegeven_37;Bovenarm_38;Onderarm_39;Pols_40;Hand_41;VingerS_42;ArmNietNaderOpgegeven_43;Lies_44;Bovenbeen_45;Onderbeen_46;Knie_47;Knieschijf_48;Enkel_49;Hiel_50;Voet_51;Tenen_52;BeenNietNaderOpgegeven_53;OverigeLichaamsdelen_54
10;75 jarigen en ouder;18;12;70;1;2;17;6;0;1;8;0;17;4;1;1;0;1;0;7;2;0;0;0;0;4;21;15;14;35;0;0;14;14;0;14;0;0;0;0;0;0;0;11;0;0;0;27;13;11;0;0;0;10;0
11;Onderwijsniveau: basisonderwijs;20;27;54;4;3;25;6;5;2;12;2;23;8;3;1;1;1;1;8;5;1;3;2;2;11;20;34;10;5;0;29;15;2;0;8;0;8;0;0;0;4;3;3;2;2;3;29;0;10;2;4;2;4;12
12;Onderwijsniveau: vbo;20;39;41;7;4;29;5;7;4;17;4;27;13;3;2;2;2;2;8;7;2;5;4;3;11;24;25;14;3;2;22;18;4;0;4;0;3;0;0;4;1;4;6;3;4;1;19;0;18;1;8;0;7;6
13;Onderwijsniveau: mavo;23;49;28;11;4;32;11;7;8;13;4;28;13;4;2;2;1;1;8;6;1;5;2;1;16;25;28;14;7;1;20;15;2;0;10;0;6;0;1;3;3;8;5;1;5;2;11;0;17;0;5;3;4;11
14;Onderwijsniveau: havo/vwo, mbo;21;50;29;11;4;32;3;10;8;16;4;27;11;3;2;2;1;2;7;6;1;8;5;2;16;18;28;15;3;1;25;18;1;0;10;0;9;0;0;2;3;5;5;2;2;2;22;0;14;0;3;1;5;10
15;Onderwijsniveau: hbo, universiteit;21;61;18;10;3;39;4;14;13;17;2;36;13;3;2;2;1;2;6;4;1;8;2;0;16;20;25;11;3;1;27;17;1;1;8;1;12;1;0;2;3;5;5;3;0;3;25;0;8;1;4;0;5;12
16;Beroepsniveau: laag;16;41;43;9;4;28;2;8;3;13;6;24;9;4;2;2;1;2;7;6;2;9;8;6;15;21;29;16;5;0;28;20;0;0;4;0;6;0;0;7;4;3;5;4;7;0;20;0;18;3;8;2;2;9
17;Beroepsniveau: middelbaar;18;52;29;12;4;30;3;12;7;15;5;25;11;3;2;2;1;2;6;4;1;10;8;3;15;19;24;14;4;2;29;16;2;0;9;0;8;1;1;1;4;7;5;2;2;2;21;0;13;0;4;1;8;8
18;Beroepsniveai: hoog;18;61;20;11;3;34;3;16;14;16;5;29;10;3;1;2;1;2;5;4;1;11;2;1;18;16;33;14;2;0;24;16;2;2;8;0;11;1;0;3;2;3;5;3;1;5;23;0;8;0;4;0;6;14
19;Eenpersoonshuishouden;18;41;41;6;5;27;5;9;6;9;2;24;11;3;2;2;1;1;7;3;1;5;3;1;15;26;21;9;1;1;30;20;3;2;14;1;2;0;0;1;3;6;3;3;3;1;26;0;9;2;4;0;8;7
20;Lid van eenoudergezin;17;40;43;8;3;24;4;8;3;11;4;21;10;3;2;2;1;1;9;7;2;6;3;1;13;26;35;30;7;0;10;10;0;0;10;0;5;0;0;0;5;7;13;5;0;0;24;0;16;0;9;0;0;0
21;Lid van paar zonder kinderen;24;44;32;9;3;35;5;7;7;19;2;33;12;4;1;1;2;2;7;4;1;5;3;1;12;18;26;13;5;1;22;19;1;1;8;0;8;1;1;3;2;2;6;2;2;2;24;1;13;0;1;0;6;15
22;Lid van paar met kinderen;20;50;30;10;3;31;5;11;8;15;5;26;11;3;2;2;1;2;7;8;2;7;4;2;16;19;29;14;3;1;25;16;2;0;7;0;10;0;0;2;4;7;4;2;2;3;18;0;13;0;6;2;4;10
23;Overig lid huishouden;24;45;31;8;11;39;8;5;2;12;2;39;8;4;2;2;1;1;8;3;1;3;5;1;8;31;0;0;0;0;37;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;32;0;0;0;0
24;Niet stedelijke gemeenten;19;44;37;7;3;29;4;8;8;13;4;25;11;3;2;2;1;2;7;5;1;6;4;2;14;25;24;16;5;1;23;15;1;0;7;0;10;0;1;4;1;2;3;1;1;3;17;0;19;0;7;1;4;17
25;Weinig stedelijke gemeenten;20;45;35;8;4;30;5;8;8;15;4;26;11;3;2;2;1;2;7;6;1;7;4;2;13;18;29;17;4;1;26;16;2;0;6;0;7;0;0;3;3;4;5;2;1;2;21;0;17;0;4;1;7;14
26;Matig stedelijke gemeenten;22;45;33;9;4;33;5;9;7;16;4;27;11;3;2;2;1;2;7;5;1;6;4;1;14;19;27;21;4;1;24;14;1;1;8;0;7;0;0;2;2;5;4;2;2;3;21;0;15;0;3;1;5;13
27;Sterk stedelijke gemeenten;20;47;33;8;4;30;5;9;7;16;4;27;11;3;2;2;1;2;7;6;1;7;4;2;14;20;29;16;3;1;26;16;1;1;7;0;10;0;0;3;2;6;5;3;2;1;18;0;17;1;2;0;4;11
28;Zeer sterk stedelijke gemeenten;20;43;37;7;4;30;4;9;6;13;3;25;11;3;2;2;1;2;8;6;1;6;4;2;14;20;24;10;2;1;27;20;1;0;7;1;8;0;0;1;5;7;4;2;3;2;22;0;15;1;5;0;4;12
