ID;CharRegionalBusinessClassification;Periods;SicknessAbsenceRateTotal_1;SicknessAbsenceRate1stYear_2;SicknessAbsenceRate2ndYear_3;SicknessAbsenceRateTotal_4;SicknessAbsenceRate17Days_5;SicknessAbsenceRate842Days_6;SicknessAbsenceRate4391Days_7;SicknessAbsenceRate92182Days_8;SicknessAbsenceRate183365Days_9;SicknessAbsenceRate366730Days_10;SickLeaveFrequency_11;AverageDurationOfAbsenceTotal_12;AverageDurationOfAbsence1Year_13;AvgDurationOfAbsence1YrAnd2yr_14
17;Total men and women;2005 3rd quarter*;3.4;3.4;0.1;3.4;0.5;0.9;0.6;0.6;0.5;0.3;0.73;19.2;18.7;0.6
18;Total men and women;2005 4th quarter*;3.9;3.8;0.1;3.9;0.7;1.1;0.8;0.6;0.4;0.4;0.98;25.3;23.2;2.1
19;Total men and women;2005 annual figure*;4.0;4.0;0.1;4.0;0.7;1.0;0.6;0.6;0.6;0.5;0.99;18.4;17.7;0.7
20;Men;2002 1st quarter*;5.5;5.5;;5.5;1.0;1.7;1.1;1.0;0.8;;1.34;16.7;16.7;
21;Men;2002 2nd quarter*;4.7;4.7;;4.7;0.7;1.4;0.9;0.9;0.8;;1.02;17.7;17.7;
22;Men;2002 3rd quarter*;4.2;4.2;;4.2;0.6;1.2;0.7;0.8;0.8;;0.85;19.8;19.8;
23;Men;2002 4th quarter*;4.8;4.8;;4.8;0.9;1.5;0.9;0.8;0.7;;1.22;14.9;14.9;
24;Men;2002 annual figure*;4.8;4.8;;4.8;0.8;1.2;0.7;0.7;1.5;;1.11;17.0;17.0;
25;Men;2003 1st quarter*;4.5;4.5;;4.5;1.1;1.5;0.9;0.6;0.5;;1.38;13.7;13.7;
26;Men;2003 2nd quarter*;4.1;4.1;;4.1;0.7;1.3;0.8;0.8;0.5;;1.0;15.0;15.0;
27;Men;2003 3rd quarter*;3.8;3.8;;3.8;0.6;1.1;0.7;0.8;0.6;;0.88;15.6;15.6;
28;Men;2003 4th quarter*;4.7;4.7;;4.7;1.0;1.4;0.8;0.8;0.7;;1.28;12.3;12.3;
29;Men;2003 annual figure*;4.3;4.3;;4.3;0.8;1.1;0.5;0.5;1.3;;1.13;14.0;14.0;
30;Men;2004 1st quarter*;4.5;4.5;;4.5;0.9;1.4;0.9;0.7;0.5;;1.24;15.7;15.7;
31;Men;2004 2nd quarter*;3.8;3.8;;3.8;0.6;1.2;0.9;0.7;0.5;;0.93;16.4;16.4;
32;Men;2004 3rd quarter*;3.4;3.4;;3.4;0.5;1.0;0.7;0.7;0.5;;0.79;18.2;18.2;
33;Men;2004 4th quarter*;3.9;3.9;;3.9;0.9;1.3;0.8;0.5;0.4;;1.17;17.3;17.3;
34;Men;2004 annual figure*;3.9;3.9;;3.9;0.7;1.1;0.7;0.6;0.7;;1.03;16.8;16.8;
35;Men;2005 1st quarter*;4.8;4.7;0.1;4.8;1.1;1.5;0.8;0.7;0.6;0.1;1.38;12.3;12.3;0.0
36;Men;2005 2nd quarter*;3.8;3.7;0.1;3.8;0.6;1.1;0.7;0.6;0.6;0.2;0.85;16.1;15.9;0.2
37;Men;2005 3rd quarter*;3.3;3.2;0.1;3.3;0.4;0.9;0.6;0.6;0.5;0.3;0.7;18.8;18.3;0.5
38;Men;2005 4th quarter*;3.7;3.7;0.1;3.7;0.7;1.1;0.7;0.5;0.4;0.3;0.96;24.6;22.6;2.0
39;Men;2005 annual figure*;3.9;3.8;0.1;3.9;0.7;1.0;0.6;0.6;0.6;0.4;0.97;18.0;17.3;0.7
40;Women;2002 1st quarter*;6.9;6.9;;6.9;1.2;2.0;1.5;1.3;0.9;;1.77;19.0;19.0;
41;Women;2002 2nd quarter*;6.0;6.0;;6.0;0.9;1.6;1.3;1.3;0.9;;1.36;20.2;20.2;
42;Women;2002 3rd quarter*;5.3;5.3;;5.3;0.7;1.4;1.1;1.1;0.9;;1.17;21.8;21.8;
43;Women;2002 4th quarter*;5.8;5.8;;5.8;1.1;1.7;1.3;1.0;0.7;;1.65;16.2;16.2;
44;Women;2002 annual figure*;6.0;6.0;;6.0;0.9;1.4;0.9;1.1;1.7;;1.48;19.0;19.0;
45;Women;2003 1st quarter*;5.6;5.6;;5.6;1.3;1.8;1.1;0.8;0.6;;1.94;15.0;15.0;
46;Women;2003 2nd quarter*;5.1;5.1;;5.1;0.9;1.5;1.2;1.0;0.5;;1.38;16.7;16.7;
47;Women;2003 3rd quarter*;4.7;4.7;;4.7;0.8;1.3;1.0;1.0;0.6;;1.26;17.0;17.0;
48;Women;2003 4th quarter*;5.9;5.9;;5.9;1.2;1.7;1.2;1.1;0.7;;1.79;13.7;13.7;
49;Women;2003 annual figure*;5.3;5.3;;5.3;1.0;1.2;0.8;0.8;1.5;;1.59;15.4;15.4;
50;Women;2004 1st quarter*;5.0;5.0;;5.0;0.9;1.4;1.2;0.9;0.6;;1.32;17.0;17.0;
51;Women;2004 2nd quarter*;4.4;4.4;;4.4;0.6;1.2;1.1;0.9;0.5;;1.0;17.6;17.6;
52;Women;2004 3rd quarter*;3.7;3.7;;3.7;0.5;1.0;0.8;0.8;0.6;;0.83;19.4;19.4;
53;Women;2004 4th quarter*;4.2;4.2;;4.2;0.8;1.3;1.0;0.6;0.5;;1.22;18.4;18.4;
54;Women;2004 annual figure*;4.3;4.3;;4.3;0.7;1.1;0.8;0.8;0.9;;1.09;18.0;18.0;
55;Women;2005 1st quarter*;5.1;5.0;0.1;5.1;1.0;1.4;1.0;0.8;0.6;0.2;1.38;13.1;13.1;0.0
56;Women;2005 2nd quarter*;4.1;4.0;0.1;4.1;0.6;1.0;0.9;0.8;0.6;0.3;0.89;17.3;17.1;0.2
57;Women;2005 3rd quarter*;3.7;3.6;0.1;3.7;0.5;0.9;0.7;0.7;0.6;0.3;0.79;19.8;19.2;0.6
58;Women;2005 4th quarter*;4.1;4.1;0.1;4.1;0.7;1.1;0.9;0.6;0.5;0.4;1.03;26.4;24.2;2.2
59;Women;2005 annual figure*;4.3;4.2;0.1;4.3;0.7;1.0;0.7;0.7;0.7;0.5;1.02;19.2;18.4;0.8
60;Age category 15 - 65 yrs;2002 1st quarter*;6.1;6.1;;6.1;1.1;1.8;1.2;1.1;0.8;;1.52;17.8;17.8;
61;Age category 15 - 65 yrs;2002 2nd quarter*;5.3;5.3;;5.3;0.8;1.5;1.1;1.1;0.8;;1.16;18.9;18.9;
62;Age category 15 - 65 yrs;2002 3rd quarter*;4.6;4.6;;4.6;0.6;1.3;0.9;0.9;0.9;;0.98;20.8;20.8;
63;Age category 15 - 65 yrs;2002 4th quarter*;5.2;5.2;;5.2;1.0;1.6;1.1;0.9;0.7;;1.4;15.5;15.5;
64;Age category 15 - 65 yrs;2002 annual figure*;5.3;5.3;;5.3;0.8;1.3;0.8;0.9;1.5;;1.26;18.0;18.0;
65;Age category 15 - 65 yrs;2003 1st quarter*;5.0;5.0;;5.0;1.2;1.6;1.0;0.7;0.5;;1.6;14.3;14.3;
66;Age category 15 - 65 yrs;2003 2nd quarter*;4.5;4.5;;4.5;0.8;1.4;1.0;0.9;0.5;;1.16;15.8;15.8;
67;Age category 15 - 65 yrs;2003 3rd quarter*;4.2;4.2;;4.2;0.7;1.2;0.8;0.9;0.6;;1.04;16.3;16.3;
68;Age category 15 - 65 yrs;2003 4th quarter*;5.2;5.2;;5.2;1.1;1.5;1.0;0.9;0.7;;1.49;13.0;13.0;
69;Age category 15 - 65 yrs;2003 annual figure*;4.7;4.7;;4.7;0.9;1.2;0.6;0.6;1.4;;1.32;14.7;14.7;
70;Age category 15 - 65 yrs;2004 1st quarter*;4.7;4.7;;4.7;0.9;1.4;1.0;0.8;0.6;;1.27;16.2;16.2;
71;Age category 15 - 65 yrs;2004 2nd quarter*;4.0;4.0;;4.0;0.6;1.2;0.9;0.8;0.5;;0.95;16.8;16.8;
72;Age category 15 - 65 yrs;2004 3rd quarter*;3.5;3.5;;3.5;0.5;1.0;0.7;0.7;0.5;;0.8;18.7;18.7;
73;Age category 15 - 65 yrs;2004 4th quarter*;4.0;4.0;;4.0;0.9;1.3;0.9;0.6;0.4;;1.19;17.7;17.7;
74;Age category 15 - 65 yrs;2004 annual figure*;4.0;4.0;;4.0;0.7;1.1;0.7;0.7;0.8;;1.05;17.3;17.3;
75;Age category 15 - 65 yrs;2005 1st quarter*;4.9;4.8;0.1;4.9;1.0;1.5;0.9;0.8;0.6;0.2;1.38;12.6;12.6;0.0
76;Age category 15 - 65 yrs;2005 2nd quarter*;3.9;3.9;0.1;3.9;0.6;1.1;0.8;0.7;0.6;0.3;0.87;16.5;16.3;0.2
77;Age category 15 - 65 yrs;2005 3rd quarter*;3.4;3.4;0.1;3.4;0.5;0.9;0.6;0.6;0.5;0.3;0.73;19.2;18.7;0.6
78;Age category 15 - 65 yrs;2005 4th quarter*;3.9;3.8;0.1;3.9;0.7;1.1;0.8;0.6;0.4;0.4;0.98;25.3;23.2;2.1
79;Age category 15 - 65 yrs;2005 annual figure*;4.0;4.0;0.1;4.0;0.7;1.0;0.6;0.6;0.6;0.5;0.99;18.4;17.7;0.7
80;Age category 15 - 20 yrs;2002 1st quarter*;1.8;1.8;;1.8;0.6;0.6;0.3;0.2;0.1;;0.8;9.5;9.5;
81;Age category 15 - 20 yrs;2002 2nd quarter*;1.7;1.7;;1.7;0.5;0.6;0.3;0.2;0.1;;0.7;9.6;9.6;
82;Age category 15 - 20 yrs;2002 3rd quarter*;1.5;1.5;;1.5;0.4;0.5;0.2;0.2;0.1;;0.61;10.0;10.0;
83;Age category 15 - 20 yrs;2002 4th quarter*;1.8;1.8;;1.8;0.5;0.6;0.3;0.2;0.1;;0.81;8.6;8.6;
84;Age category 15 - 20 yrs;2002 annual figure*;1.7;1.7;;1.7;0.5;0.5;0.2;0.2;0.3;;0.73;9.4;9.4;
85;Age category 15 - 20 yrs;2003 1st quarter*;1.6;1.6;;1.6;0.6;0.5;0.3;0.2;0.1;;0.88;8.1;8.1;
86;Age category 15 - 20 yrs;2003 2nd quarter*;1.4;1.4;;1.4;0.4;0.5;0.3;0.2;0.1;;0.69;9.0;9.0;
87;Age category 15 - 20 yrs;2003 3rd quarter*;1.3;1.3;;1.3;0.4;0.4;0.2;0.2;0.1;;0.62;8.7;8.7;
88;Age category 15 - 20 yrs;2003 4th quarter*;1.7;1.7;;1.7;0.6;0.5;0.3;0.2;0.1;;0.86;8.0;8.0;
89;Age category 15 - 20 yrs;2003 annual figure*;1.5;1.5;;1.5;0.5;0.4;0.2;0.1;0.3;;0.76;8.4;8.4;
90;Age category 15 - 20 yrs;2004 1st quarter*;1.1;1.1;;1.1;0.3;0.4;0.2;0.2;0.1;;0.47;9.1;9.1;
91;Age category 15 - 20 yrs;2004 2nd quarter*;1.1;1.1;;1.1;0.3;0.4;0.2;0.1;0.1;;0.4;9.7;9.7;
92;Age category 15 - 20 yrs;2004 3rd quarter*;0.9;0.9;;0.9;0.2;0.3;0.2;0.1;0.1;;0.32;10.2;10.2;
93;Age category 15 - 20 yrs;2004 4th quarter*;1.1;1.1;;1.1;0.3;0.4;0.2;0.1;0.1;;0.48;10.4;10.4;
94;Age category 15 - 20 yrs;2004 annual figure*;1.1;1.1;;1.1;0.3;0.3;0.2;0.1;0.1;;0.42;9.9;9.9;
95;Age category 15 - 20 yrs;2005 1st quarter*;1.1;1.1;0.0;1.1;0.4;0.4;0.2;0.1;0.1;0.0;0.46;7.9;7.9;0.0
96;Age category 15 - 20 yrs;2005 2nd quarter*;0.9;0.9;0.0;0.9;0.2;0.3;0.2;0.1;0.1;0.0;0.34;9.3;9.3;0.0
97;Age category 15 - 20 yrs;2005 3rd quarter*;0.8;0.8;0.0;0.8;0.2;0.3;0.1;0.1;0.1;0.0;0.31;11.0;10.9;0.1
98;Age category 15 - 20 yrs;2005 4th quarter*;0.9;0.9;0.0;0.9;0.2;0.3;0.2;0.1;0.1;0.0;0.38;12.1;11.8;0.3
99;Age category 15 - 20 yrs;2005 annual figure*;0.9;0.9;0.0;0.9;0.3;0.3;0.2;0.1;0.1;0.0;0.37;10.1;10.0;0.1
100;Age category 15 - 25 yrs;2002 1st quarter*;3.3;3.3;;3.3;0.9;1.0;0.6;0.5;0.3;;1.17;11.4;11.4;
101;Age category 15 - 25 yrs;2002 2nd quarter*;3.0;3.0;;3.0;0.7;0.9;0.6;0.5;0.3;;1.01;11.8;11.8;
102;Age category 15 - 25 yrs;2002 3rd quarter*;2.7;2.7;;2.7;0.6;0.8;0.5;0.4;0.3;;0.88;12.6;12.6;
103;Age category 15 - 25 yrs;2002 4th quarter*;3.0;3.0;;3.0;0.8;0.9;0.6;0.4;0.3;;1.15;10.4;10.4;
104;Age category 15 - 25 yrs;2002 annual figure*;3.0;3.0;;3.0;0.7;0.8;0.4;0.4;0.6;;1.05;11.5;11.5;
105;Age category 15 - 25 yrs;2003 1st quarter*;2.8;2.8;;2.8;0.9;0.9;0.5;0.3;0.2;;1.26;9.6;9.6;
106;Age category 15 - 25 yrs;2003 2nd quarter*;2.5;2.5;;2.5;0.7;0.8;0.5;0.4;0.2;;0.99;10.4;10.4;
107;Age category 15 - 25 yrs;2003 3rd quarter*;2.3;2.3;;2.3;0.6;0.7;0.4;0.4;0.2;;0.91;10.5;10.5;
108;Age category 15 - 25 yrs;2003 4th quarter*;2.9;2.9;;2.9;0.8;0.8;0.5;0.5;0.3;;1.2;9.2;9.2;
109;Age category 15 - 25 yrs;2003 annual figure*;2.6;2.6;;2.6;0.7;0.7;0.3;0.3;0.6;;1.09;9.9;9.9;
110;Age category 15 - 25 yrs;2004 1st quarter*;2.1;2.1;;2.1;0.6;0.6;0.4;0.3;0.2;;0.78;10.8;10.8;
111;Age category 15 - 25 yrs;2004 2nd quarter*;1.9;1.9;;1.9;0.4;0.6;0.4;0.3;0.2;;0.65;11.0;11.0;
112;Age category 15 - 25 yrs;2004 3rd quarter*;1.6;1.6;;1.6;0.4;0.5;0.3;0.3;0.1;;0.54;11.7;11.7;
113;Age category 15 - 25 yrs;2004 4th quarter*;1.9;1.9;;1.9;0.6;0.6;0.4;0.2;0.1;;0.77;11.5;11.5;
114;Age category 15 - 25 yrs;2004 annual figure*;1.9;1.9;;1.9;0.5;0.5;0.3;0.3;0.2;;0.68;11.2;11.2;
115;Age category 15 - 25 yrs;2005 1st quarter*;2.0;1.9;0.0;2.0;0.6;0.6;0.4;0.2;0.1;0.0;0.76;8.8;8.8;0.0
116;Age category 15 - 25 yrs;2005 2nd quarter*;1.6;1.6;0.0;1.6;0.4;0.5;0.3;0.2;0.1;0.0;0.55;10.5;10.4;0.1
117;Age category 15 - 25 yrs;2005 3rd quarter*;1.4;1.4;0.0;1.4;0.3;0.4;0.3;0.2;0.1;0.1;0.5;12.5;12.4;0.2
118;Age category 15 - 25 yrs;2005 4th quarter*;1.6;1.6;0.0;1.6;0.4;0.5;0.3;0.2;0.1;0.1;0.61;14.1;13.5;0.6
119;Age category 15 - 25 yrs;2005 annual figure*;1.6;1.6;0.0;1.6;0.4;0.5;0.3;0.2;0.2;0.1;0.6;11.5;11.3;0.2
120;Age category 20 - 25 yrs;2002 1st quarter*;4.0;4.0;;4.0;1.0;1.2;0.8;0.6;0.4;;1.37;12.0;12.0;
121;Age category 20 - 25 yrs;2002 2nd quarter*;3.7;3.7;;3.7;0.8;1.1;0.7;0.6;0.4;;1.18;12.5;12.5;
122;Age category 20 - 25 yrs;2002 3rd quarter*;3.4;3.4;;3.4;0.7;1.0;0.6;0.6;0.4;;1.05;13.6;13.6;
123;Age category 20 - 25 yrs;2002 4th quarter*;3.8;3.8;;3.8;1.0;1.1;0.7;0.6;0.4;;1.36;11.1;11.1;
124;Age category 20 - 25 yrs;2002 annual figure*;3.7;3.7;;3.7;0.9;1.0;0.5;0.5;0.8;;1.24;12.2;12.2;
125;Age category 20 - 25 yrs;2003 1st quarter*;3.4;3.4;;3.4;1.1;1.0;0.6;0.4;0.3;;1.45;10.0;10.0;
126;Age category 20 - 25 yrs;2003 2nd quarter*;3.1;3.1;;3.1;0.8;1.0;0.6;0.5;0.3;;1.15;10.9;10.9;
127;Age category 20 - 25 yrs;2003 3rd quarter*;3.0;3.0;;3.0;0.7;0.9;0.5;0.5;0.3;;1.09;11.1;11.1;
128;Age category 20 - 25 yrs;2003 4th quarter*;3.7;3.7;;3.7;1.0;1.0;0.7;0.6;0.4;;1.41;9.6;9.6;
129;Age category 20 - 25 yrs;2003 annual figure*;3.3;3.3;;3.3;0.9;0.8;0.4;0.4;0.8;;1.27;10.3;10.3;
130;Age category 20 - 25 yrs;2004 1st quarter*;2.7;2.7;;2.7;0.7;0.8;0.5;0.4;0.2;;0.97;11.3;11.3;
131;Age category 20 - 25 yrs;2004 2nd quarter*;2.4;2.4;;2.4;0.6;0.8;0.6;0.3;0.2;;0.82;11.4;11.4;
132;Age category 20 - 25 yrs;2004 3rd quarter*;2.1;2.1;;2.1;0.5;0.7;0.4;0.3;0.2;;0.7;12.2;12.2;
133;Age category 20 - 25 yrs;2004 4th quarter*;2.5;2.5;;2.5;0.7;0.8;0.5;0.3;0.2;;0.99;11.9;11.9;
134;Age category 20 - 25 yrs;2004 annual figure*;2.5;2.5;;2.5;0.6;0.7;0.4;0.4;0.3;;0.87;11.7;11.7;
135;Age category 20 - 25 yrs;2005 1st quarter*;2.5;2.5;0.0;2.5;0.8;0.7;0.4;0.3;0.2;0.0;0.95;9.0;9.0;0.0
136;Age category 20 - 25 yrs;2005 2nd quarter*;2.1;2.1;0.0;2.1;0.5;0.6;0.4;0.3;0.2;0.1;0.69;10.9;10.8;0.1
137;Age category 20 - 25 yrs;2005 3rd quarter*;1.9;1.9;0.0;1.9;0.4;0.5;0.4;0.3;0.2;0.1;0.63;13.1;12.9;0.2
138;Age category 20 - 25 yrs;2005 4th quarter*;2.1;2.1;0.0;2.1;0.5;0.6;0.4;0.3;0.2;0.1;0.78;14.8;14.2;0.6
139;Age category 20 - 25 yrs;2005 annual figure*;2.1;2.1;0.0;2.1;0.5;0.6;0.4;0.3;0.2;0.1;0.76;12.0;11.7;0.2
140;Age category 25 - 30 yrs;2002 1st quarter*;5.7;5.7;;5.7;1.3;1.6;1.1;1.0;0.6;;1.68;14.5;14.5;
141;Age category 25 - 30 yrs;2002 2nd quarter*;5.1;5.1;;5.1;0.9;1.5;1.0;1.0;0.6;;1.36;15.4;15.4;
142;Age category 25 - 30 yrs;2002 3rd quarter*;4.6;4.6;;4.6;0.8;1.3;0.9;0.9;0.6;;1.19;16.7;16.7;
143;Age category 25 - 30 yrs;2002 4th quarter*;5.2;5.2;;5.2;1.2;1.5;1.1;0.9;0.5;;1.62;13.0;13.0;
144;Age category 25 - 30 yrs;2002 annual figure*;5.1;5.1;;5.1;1.0;1.2;0.8;0.9;1.2;;1.46;14.8;14.8;
145;Age category 25 - 30 yrs;2003 1st quarter*;4.6;4.6;;4.6;1.3;1.4;0.9;0.6;0.4;;1.76;11.6;11.6;
146;Age category 25 - 30 yrs;2003 2nd quarter*;4.3;4.3;;4.3;0.9;1.3;0.9;0.8;0.4;;1.32;12.9;12.9;
147;Age category 25 - 30 yrs;2003 3rd quarter*;4.1;4.1;;4.1;0.8;1.2;0.8;0.8;0.5;;1.24;13.1;13.1;
148;Age category 25 - 30 yrs;2003 4th quarter*;5.2;5.2;;5.2;1.2;1.4;1.0;0.9;0.6;;1.7;11.1;11.1;
149;Age category 25 - 30 yrs;2003 annual figure*;4.5;4.5;;4.5;1.0;1.1;0.6;0.6;1.2;;1.5;12.1;12.1;
150;Age category 25 - 30 yrs;2004 1st quarter*;4.0;4.0;;4.0;1.0;1.1;0.8;0.6;0.4;;1.4;12.3;12.3;
151;Age category 25 - 30 yrs;2004 2nd quarter*;3.5;3.5;;3.5;0.7;1.0;0.8;0.6;0.3;;1.1;12.9;12.9;
152;Age category 25 - 30 yrs;2004 3rd quarter*;3.1;3.1;;3.1;0.6;0.9;0.7;0.5;0.3;;0.96;13.8;13.8;
153;Age category 25 - 30 yrs;2004 4th quarter*;3.6;3.6;;3.6;1.0;1.1;0.8;0.4;0.3;;1.36;13.2;13.2;
154;Age category 25 - 30 yrs;2004 annual figure*;3.5;3.5;;3.5;0.8;1.0;0.7;0.6;0.5;;1.21;13.0;13.0;
155;Age category 25 - 30 yrs;2005 1st quarter*;3.9;3.8;0.0;3.9;1.1;1.1;0.7;0.5;0.4;0.1;1.44;10.0;9.9;0.0
156;Age category 25 - 30 yrs;2005 2nd quarter*;3.1;3.1;0.0;3.1;0.7;0.9;0.7;0.5;0.3;0.1;0.96;12.3;12.2;0.1
157;Age category 25 - 30 yrs;2005 3rd quarter*;2.9;2.9;0.0;2.9;0.6;0.8;0.6;0.5;0.3;0.2;0.87;14.7;14.4;0.3
158;Age category 25 - 30 yrs;2005 4th quarter*;3.3;3.2;0.0;3.3;0.8;0.9;0.7;0.4;0.3;0.2;1.11;17.3;16.4;1.0
159;Age category 25 - 30 yrs;2005 annual figure*;3.3;3.3;0.0;3.3;0.8;0.8;0.6;0.5;0.4;0.2;1.09;13.6;13.2;0.3
160;Age category 25 - 35 yrs;2002 1st quarter*;6.0;6.0;;6.0;1.3;1.7;1.2;1.1;0.7;;1.69;15.5;15.5;
161;Age category 25 - 35 yrs;2002 2nd quarter*;5.3;5.3;;5.3;0.9;1.5;1.1;1.1;0.7;;1.34;16.7;16.7;
162;Age category 25 - 35 yrs;2002 3rd quarter*;4.8;4.8;;4.8;0.8;1.3;1.0;1.0;0.7;;1.16;18.1;18.1;
163;Age category 25 - 35 yrs;2002 4th quarter*;5.4;5.4;;5.4;1.2;1.6;1.1;0.9;0.6;;1.6;13.7;13.7;
164;Age category 25 - 35 yrs;2002 annual figure*;5.4;5.4;;5.4;1.0;1.3;0.8;0.9;1.3;;1.45;15.8;15.8;
165;Age category 25 - 35 yrs;2003 1st quarter*;4.8;4.8;;4.8;1.3;1.5;0.9;0.6;0.4;;1.77;12.4;12.4;
166;Age category 25 - 35 yrs;2003 2nd quarter*;4.5;4.5;;4.5;0.9;1.4;1.0;0.8;0.4;;1.3;13.8;13.8;
167;Age category 25 - 35 yrs;2003 3rd quarter*;4.3;4.3;;4.3;0.8;1.2;0.9;0.9;0.5;;1.21;14.1;14.1;
168;Age category 25 - 35 yrs;2003 4th quarter*;5.5;5.5;;5.5;1.2;1.5;1.1;1.0;0.6;;1.7;11.7;11.7;
169;Age category 25 - 35 yrs;2003 annual figure*;4.8;4.8;;4.8;1.0;1.1;0.7;0.7;1.3;;1.5;12.8;12.8;
170;Age category 25 - 35 yrs;2004 1st quarter*;4.3;4.3;;4.3;1.0;1.3;0.9;0.7;0.4;;1.43;13.2;13.2;
171;Age category 25 - 35 yrs;2004 2nd quarter*;3.8;3.8;;3.8;0.7;1.1;0.9;0.7;0.4;;1.1;14.0;14.0;
172;Age category 25 - 35 yrs;2004 3rd quarter*;3.3;3.3;;3.3;0.6;1.0;0.7;0.6;0.4;;0.96;15.0;15.0;
173;Age category 25 - 35 yrs;2004 4th quarter*;3.8;3.8;;3.8;1.0;1.2;0.8;0.5;0.3;;1.39;14.1;14.1;
174;Age category 25 - 35 yrs;2004 annual figure*;3.8;3.8;;3.8;0.8;1.0;0.7;0.6;0.6;;1.22;14.0;14.0;
175;Age category 25 - 35 yrs;2005 1st quarter*;4.2;4.1;0.0;4.2;1.2;1.2;0.7;0.6;0.4;0.1;1.47;10.5;10.5;0.0
176;Age category 25 - 35 yrs;2005 2nd quarter*;3.3;3.3;0.0;3.3;0.6;0.9;0.7;0.5;0.4;0.2;0.94;13.3;13.1;0.1
177;Age category 25 - 35 yrs;2005 3rd quarter*;3.0;3.0;0.0;3.0;0.5;0.8;0.6;0.5;0.4;0.2;0.84;15.7;15.3;0.4
178;Age category 25 - 35 yrs;2005 4th quarter*;3.5;3.4;0.0;3.5;0.8;1.0;0.7;0.5;0.3;0.2;1.1;18.7;17.6;1.1
179;Age category 25 - 35 yrs;2005 annual figure*;3.5;3.4;0.0;3.5;0.8;0.9;0.6;0.5;0.4;0.3;1.09;14.5;14.1;0.4
180;Age category 30 - 35 yrs;2002 1st quarter*;6.3;6.3;;6.3;1.3;1.8;1.3;1.1;0.7;;1.71;16.3;16.3;
181;Age category 30 - 35 yrs;2002 2nd quarter*;5.6;5.6;;5.6;0.9;1.6;1.2;1.2;0.7;;1.31;17.8;17.8;
182;Age category 30 - 35 yrs;2002 3rd quarter*;5.0;5.0;;5.0;0.8;1.4;1.0;1.0;0.8;;1.13;19.4;19.4;
183;Age category 30 - 35 yrs;2002 4th quarter*;5.6;5.6;;5.6;1.1;1.7;1.2;0.9;0.7;;1.59;14.4;14.4;
184;Age category 30 - 35 yrs;2002 annual figure*;5.6;5.6;;5.6;1.0;1.3;0.9;1.0;1.4;;1.43;16.7;16.7;
185;Age category 30 - 35 yrs;2003 1st quarter*;5.0;5.0;;5.0;1.3;1.6;1.0;0.7;0.4;;1.78;13.1;13.1;
