ID;Geslacht;Leeftijd;Cijfersoort;Perioden;HasjOfMarihuana_1;Cocaine_2;Amfetaminen_3;Ecstasy_4;Heroine_5;PrestatieverbeterendeMiddelen_6;LSD_7;HasjOfMarihuana_8;Cocaine_9;Amfetaminen_10;Ecstasy_11;Heroine_12;PrestatieverbeterendeMiddelen_13;LSD_14
53;Mannen en vrouwen;50 tot 65 jaar;Bovengrens;2009;15.2;2.7;2.3;1.3;1.2;0.5;1.9;1.7;0.0;0.0;0.0;0.0;;0.0
54;Mannen;15 tot 20 jaar;Percentages;2007;27.2;2.0;1.6;2.0;0.0;2.1;0.0;11.2;0.4;0.0;0.4;0.0;;0.0
55;Mannen;15 tot 20 jaar;Percentages;2008;28.0;2.2;1.6;3.6;0.0;1.5;0.4;9.5;0.3;0.0;0.0;0.0;;0.0
56;Mannen;15 tot 20 jaar;Percentages;2009;22.9;1.9;1.6;1.9;0.0;1.5;0.6;8.2;0.5;0.6;0.2;0.0;;0.0
57;Mannen;15 tot 20 jaar;Ondergrens;2007;22.0;0.8;0.6;0.8;0.0;0.9;0.0;7.6;0.1;0.0;0.1;0.0;;0.0
58;Mannen;15 tot 20 jaar;Ondergrens;2008;23.3;1.1;0.7;2.0;0.0;0.7;0.1;6.8;0.0;0.0;0.0;0.0;;0.0
59;Mannen;15 tot 20 jaar;Ondergrens;2009;18.5;0.9;0.7;0.9;0.0;0.6;0.1;5.6;0.1;0.1;0.0;0.0;;0.0
60;Mannen;15 tot 20 jaar;Bovengrens;2007;33.2;4.8;4.3;4.8;0.0;4.6;0.0;16.1;3.1;0.0;2.9;0.0;;0.0
61;Mannen;15 tot 20 jaar;Bovengrens;2008;33.2;4.6;3.9;6.4;0.0;3.3;2.5;13.3;1.8;0.0;0.0;0.0;;0.0
62;Mannen;15 tot 20 jaar;Bovengrens;2009;28.0;4.0;3.6;3.8;0.0;3.7;2.4;11.9;2.1;2.4;1.6;0.0;;0.0
63;Mannen;20 tot 25 jaar;Percentages;2007;45.2;9.7;5.0;15.8;0.0;6.3;2.4;13.8;1.2;0.9;2.3;0.0;;0.0
64;Mannen;20 tot 25 jaar;Percentages;2008;54.0;10.9;5.3;14.3;0.7;8.2;3.8;17.3;3.1;1.1;1.4;0.0;;0.0
65;Mannen;20 tot 25 jaar;Percentages;2009;51.2;11.4;5.6;12.5;0.4;7.2;1.8;14.8;0.9;0.3;1.3;0.0;;0.4
66;Mannen;20 tot 25 jaar;Ondergrens;2007;38.9;6.4;2.9;11.5;0.0;3.8;1.0;9.9;0.4;0.2;0.9;0.0;;0.0
67;Mannen;20 tot 25 jaar;Ondergrens;2008;47.7;7.4;3.1;10.3;0.2;5.3;1.8;12.9;1.5;0.2;0.4;0.0;;0.0
68;Mannen;20 tot 25 jaar;Ondergrens;2009;44.8;7.9;3.3;8.7;0.1;4.4;0.7;10.7;0.2;0.0;0.4;0.0;;0.1
69;Mannen;20 tot 25 jaar;Bovengrens;2007;51.6;14.4;8.7;21.2;0.0;10.4;5.7;19.1;3.6;3.5;5.5;0.0;;0.0
70;Mannen;20 tot 25 jaar;Bovengrens;2008;60.2;15.7;9.0;19.6;2.6;12.4;7.6;22.9;6.7;4.7;4.7;0.0;;0.0
71;Mannen;20 tot 25 jaar;Bovengrens;2009;57.6;16.2;9.3;17.5;2.8;11.4;4.2;20.2;3.5;2.1;4.0;0.0;;3.0
72;Mannen;25 tot 30 jaar;Percentages;2007;57.2;17.7;11.4;24.2;0.0;8.8;4.4;12.4;1.2;0.4;0.5;0.0;;0.5
73;Mannen;25 tot 30 jaar;Percentages;2008;52.3;14.5;9.0;21.9;1.3;6.7;5.0;11.7;1.1;0.9;0.4;0.0;;0.0
74;Mannen;25 tot 30 jaar;Percentages;2009;54.8;17.2;13.2;24.2;1.2;8.4;4.7;14.2;2.7;1.2;1.9;0.0;;0.0
75;Mannen;25 tot 30 jaar;Ondergrens;2007;50.4;13.1;7.6;18.8;0.0;5.6;2.2;8.5;0.3;0.1;0.1;0.0;;0.1
76;Mannen;25 tot 30 jaar;Ondergrens;2008;45.7;10.3;6.0;16.9;0.4;4.1;2.7;8.2;0.4;0.2;0.0;0.0;;0.0
77;Mannen;25 tot 30 jaar;Ondergrens;2009;48.0;12.7;9.3;18.9;0.4;5.2;2.5;10.0;1.2;0.4;0.7;0.0;;0.0
78;Mannen;25 tot 30 jaar;Bovengrens;2007;63.7;23.5;16.7;30.5;0.0;13.5;8.7;17.8;4.7;2.7;3.5;0.0;;3.3
79;Mannen;25 tot 30 jaar;Bovengrens;2008;58.8;20.0;13.4;27.8;3.8;10.8;9.3;16.6;3.6;3.5;2.5;0.0;;0.0
80;Mannen;25 tot 30 jaar;Bovengrens;2009;61.4;22.8;18.3;30.4;3.8;13.2;8.8;19.7;6.0;3.7;4.9;0.0;;
81;Mannen;30 tot 40 jaar;Percentages;2007;38.3;8.7;5.3;12.3;0.8;3.3;4.6;6.5;1.1;0.1;0.6;0.1;;0.0
82;Mannen;30 tot 40 jaar;Percentages;2008;41.3;12.0;7.4;15.3;1.2;3.8;3.6;7.4;1.0;0.4;1.3;0.4;;0.0
83;Mannen;30 tot 40 jaar;Percentages;2009;46.4;13.9;9.3;17.2;0.6;3.2;3.8;8.1;1.5;0.5;0.5;0.0;;0.0
84;Mannen;30 tot 40 jaar;Ondergrens;2007;34.2;6.5;3.6;9.7;0.3;2.1;3.0;4.7;0.5;0.0;0.2;0.0;;0.0
85;Mannen;30 tot 40 jaar;Ondergrens;2008;37.1;9.4;5.3;12.4;0.6;2.5;2.2;5.4;0.4;0.1;0.6;0.1;;0.0
86;Mannen;30 tot 40 jaar;Ondergrens;2009;42.0;11.1;7.0;14.1;0.2;2.0;2.5;5.9;0.7;0.2;0.2;0.0;;0.0
87;Mannen;30 tot 40 jaar;Bovengrens;2007;42.5;11.5;7.6;15.6;1.9;5.1;6.9;9.0;2.7;0.8;2.0;0.9;;0.0
88;Mannen;30 tot 40 jaar;Bovengrens;2008;45.6;15.2;10.1;18.7;2.5;5.8;5.7;10.0;2.4;1.6;3.0;1.4;;0.0
89;Mannen;30 tot 40 jaar;Bovengrens;2009;50.7;17.4;12.2;20.9;1.7;5.0;5.8;10.9;3.3;1.5;1.5;0.0;;
90;Mannen;40 tot 50 jaar;Percentages;2007;24.7;3.8;2.8;3.3;0.9;1.9;1.5;3.0;0.0;0.0;0.0;0.0;;0.0
91;Mannen;40 tot 50 jaar;Percentages;2008;27.1;6.3;4.1;5.6;1.7;1.8;1.7;4.6;0.3;0.5;0.1;0.0;;0.0
92;Mannen;40 tot 50 jaar;Percentages;2009;28.2;6.4;1.9;4.5;0.6;2.1;0.8;3.5;0.3;0.0;0.0;0.0;;0.0
93;Mannen;40 tot 50 jaar;Ondergrens;2007;21.2;2.4;1.8;2.0;0.3;1.1;0.8;1.8;0.0;0.0;0.0;0.0;;0.0
94;Mannen;40 tot 50 jaar;Ondergrens;2008;23.7;4.6;2.7;3.9;0.9;1.0;0.9;3.1;0.1;0.2;0.0;0.0;;0.0
95;Mannen;40 tot 50 jaar;Ondergrens;2009;24.7;4.7;1.1;3.0;0.2;1.2;0.3;2.3;0.0;;;0.0;;0.0
96;Mannen;40 tot 50 jaar;Bovengrens;2007;28.6;5.9;4.6;5.5;2.5;3.5;2.9;5.1;0.0;0.0;0.0;0.0;;0.0
97;Mannen;40 tot 50 jaar;Bovengrens;2008;30.7;8.7;6.2;8.0;3.3;3.2;3.3;6.7;1.1;1.6;0.9;0.0;;0.0
98;Mannen;40 tot 50 jaar;Bovengrens;2009;32.0;8.8;3.3;6.6;1.9;3.6;1.9;5.4;1.9;;;0.0;;
99;Mannen;50 tot 65 jaar;Percentages;2007;14.1;3.2;1.8;1.3;1.2;0.4;2.3;1.5;0.0;0.0;0.0;0.2;;0.0
100;Mannen;50 tot 65 jaar;Percentages;2008;17.9;2.7;2.4;0.8;1.0;0.7;2.8;1.4;0.2;0.2;0.1;0.0;;0.0
101;Mannen;50 tot 65 jaar;Percentages;2009;18.2;2.7;2.4;1.3;0.9;0.4;1.5;1.6;0.0;0.0;0.0;0.0;;0.0
102;Mannen;50 tot 65 jaar;Ondergrens;2007;11.2;2.2;1.1;0.7;0.6;0.2;1.4;0.9;0.0;0.0;0.0;0.0;;0.0
103;Mannen;50 tot 65 jaar;Ondergrens;2008;15.5;1.8;1.6;0.4;0.5;0.3;1.9;0.8;0.1;0.1;0.0;0.0;;0.0
104;Mannen;50 tot 65 jaar;Ondergrens;2009;15.6;1.7;1.5;0.7;0.4;0.1;0.9;0.9;;;;0.0;;0.0
105;Mannen;50 tot 65 jaar;Bovengrens;2007;16.6;4.7;3.0;2.3;2.4;1.2;3.6;2.7;0.0;0.0;0.0;1.4;;0.0
106;Mannen;50 tot 65 jaar;Bovengrens;2008;20.6;4.0;3.7;1.6;1.9;1.5;4.1;2.4;0.9;0.9;0.7;0.0;;0.0
107;Mannen;50 tot 65 jaar;Bovengrens;2009;21.2;4.2;3.8;2.5;2.0;1.0;2.7;2.9;;;;0.0;;
108;Vrouwen;15 tot 20 jaar;Percentages;2007;18.1;2.6;0.4;1.9;0.0;0.8;0.0;6.6;0.5;0.0;0.0;0.0;;0.0
109;Vrouwen;15 tot 20 jaar;Percentages;2008;21.9;1.2;1.1;2.3;0.0;0.0;1.2;3.2;0.0;0.0;0.0;0.0;;0.0
110;Vrouwen;15 tot 20 jaar;Percentages;2009;15.1;1.8;1.5;2.2;0.8;0.8;0.8;4.2;0.6;0.6;0.6;0.6;;0.6
111;Vrouwen;15 tot 20 jaar;Ondergrens;2007;13.3;1.1;0.1;0.8;0.0;0.2;0.0;4.1;0.1;0.0;0.0;0.0;;0.0
112;Vrouwen;15 tot 20 jaar;Ondergrens;2008;17.3;0.4;0.4;1.0;0.0;0.0;0.4;1.6;0.0;0.0;0.0;0.0;;0.0
113;Vrouwen;15 tot 20 jaar;Ondergrens;2009;11.0;0.7;0.6;1.0;0.2;0.2;0.2;2.3;0.1;0.1;0.1;0.1;;0.1
114;Vrouwen;15 tot 20 jaar;Bovengrens;2007;24.1;6.2;2.6;4.1;0.0;3.0;0.0;10.4;3.4;0.0;0.0;0.0;;0.0
115;Vrouwen;15 tot 20 jaar;Bovengrens;2008;27.2;3.7;3.1;5.0;0.0;0.0;3.7;6.0;0.0;0.0;0.0;0.0;;0.0
116;Vrouwen;15 tot 20 jaar;Bovengrens;2009;20.4;4.3;4.2;4.8;3.5;3.5;3.5;7.6;3.9;3.9;3.9;3.9;;3.9
117;Vrouwen;20 tot 25 jaar;Percentages;2007;30.1;4.3;1.4;7.2;0.0;0.0;0.3;5.0;1.0;0.6;1.5;0.0;;0.0
118;Vrouwen;20 tot 25 jaar;Percentages;2008;33.8;4.3;2.1;8.0;0.0;0.0;0.0;5.2;1.6;0.4;2.1;0.0;;0.0
119;Vrouwen;20 tot 25 jaar;Percentages;2009;35.8;4.2;3.6;7.4;0.6;0.4;1.4;5.8;0.6;0.6;1.6;0.6;;0.0
120;Vrouwen;20 tot 25 jaar;Ondergrens;2007;24.3;2.1;0.4;4.3;0.0;0.0;0.0;2.7;0.2;0.1;0.5;0.0;;0.0
121;Vrouwen;20 tot 25 jaar;Ondergrens;2008;27.8;2.3;0.9;5.1;0.0;0.0;0.0;2.9;0.6;0.1;0.9;0.0;;0.0
122;Vrouwen;20 tot 25 jaar;Ondergrens;2009;29.8;2.2;1.8;4.6;0.1;0.1;0.5;3.3;0.2;0.1;0.6;0.1;;0.0
123;Vrouwen;20 tot 25 jaar;Bovengrens;2007;36.5;8.3;4.3;11.8;0.0;0.0;2.0;9.1;4.0;4.1;4.7;0.0;;0.0
124;Vrouwen;20 tot 25 jaar;Bovengrens;2008;40.3;7.8;5.0;12.3;0.0;0.0;0.0;9.3;4.3;2.8;5.0;0.0;;0.0
125;Vrouwen;20 tot 25 jaar;Bovengrens;2009;42.3;7.7;6.9;11.5;4.2;3.1;3.8;10.0;2.5;4.2;4.4;4.2;;0.0
126;Vrouwen;25 tot 30 jaar;Percentages;2007;30.5;5.5;4.5;10.6;0.0;0.7;2.2;4.1;0.0;0.0;1.1;0.0;;0.0
127;Vrouwen;25 tot 30 jaar;Percentages;2008;35.1;4.2;4.1;10.6;0.4;0.3;0.9;2.9;1.2;0.0;1.5;0.0;;0.0
128;Vrouwen;25 tot 30 jaar;Percentages;2009;35.2;5.0;2.0;10.2;0.0;0.3;0.4;2.7;0.5;0.4;0.5;0.0;;0.0
129;Vrouwen;25 tot 30 jaar;Ondergrens;2007;24.6;2.9;2.3;6.9;0.0;0.2;0.7;2.0;0.0;0.0;0.3;0.0;;0.0
130;Vrouwen;25 tot 30 jaar;Ondergrens;2008;29.3;2.3;2.2;7.3;0.1;0.0;0.2;1.4;0.4;0.0;0.5;0.0;;0.0
131;Vrouwen;25 tot 30 jaar;Ondergrens;2009;29.1;2.8;0.8;6.7;0.0;0.0;0.1;1.2;0.1;0.1;0.1;0.0;;0.0
132;Vrouwen;25 tot 30 jaar;Bovengrens;2007;37.1;9.9;8.6;15.9;0.0;2.7;6.9;8.2;0.0;0.0;4.1;0.0;;0.0
133;Vrouwen;25 tot 30 jaar;Bovengrens;2008;41.3;7.5;7.6;15.1;2.9;2.1;3.5;5.7;3.7;0.0;4.6;0.0;;0.0
134;Vrouwen;25 tot 30 jaar;Bovengrens;2009;41.7;8.8;4.9;15.4;0.0;1.8;2.6;5.9;3.4;2.5;3.1;0.0;;0.0
135;Vrouwen;30 tot 40 jaar;Percentages;2007;22.9;2.3;1.3;3.9;0.2;0.0;0.6;1.4;0.0;0.0;0.4;0.0;;0.0
136;Vrouwen;30 tot 40 jaar;Percentages;2008;21.1;2.9;1.3;5.9;0.1;0.3;0.8;1.4;0.3;0.2;0.7;0.0;;0.0
137;Vrouwen;30 tot 40 jaar;Percentages;2009;22.1;3.0;1.8;8.0;0.0;0.2;1.6;1.8;0.4;0.0;0.5;0.0;;0.0
138;Vrouwen;30 tot 40 jaar;Ondergrens;2007;19.6;1.3;0.6;2.6;0.0;0.0;0.2;0.7;0.0;0.0;0.1;0.0;;0.0
139;Vrouwen;30 tot 40 jaar;Ondergrens;2008;17.9;1.7;0.6;4.2;0.0;0.1;0.3;0.7;0.1;0.0;0.2;0.0;;0.0
140;Vrouwen;30 tot 40 jaar;Ondergrens;2009;18.7;1.9;1.0;5.9;0.0;0.0;0.7;1.0;0.1;0.0;0.1;0.0;;0.0
141;Vrouwen;30 tot 40 jaar;Bovengrens;2007;26.6;3.9;2.6;5.9;1.3;0.0;1.8;2.8;0.0;0.0;1.5;0.0;;0.0
142;Vrouwen;30 tot 40 jaar;Bovengrens;2008;24.7;4.9;2.6;8.3;0.9;1.2;1.8;2.8;1.2;1.4;2.4;0.0;;0.0
143;Vrouwen;30 tot 40 jaar;Bovengrens;2009;25.9;4.8;3.3;10.7;0.0;1.7;3.5;3.3;1.7;0.0;2.4;0.0;;0.0
144;Vrouwen;40 tot 50 jaar;Percentages;2007;17.0;2.0;1.0;1.0;0.2;0.1;1.0;1.1;0.2;0.0;0.0;0.0;;0.0
145;Vrouwen;40 tot 50 jaar;Percentages;2008;16.0;2.2;1.2;1.4;0.5;0.1;0.1;1.6;0.0;0.0;0.0;0.0;;0.0
146;Vrouwen;40 tot 50 jaar;Percentages;2009;16.1;2.7;0.9;2.4;0.5;0.8;0.7;1.7;0.0;0.0;0.3;0.0;;0.0
147;Vrouwen;40 tot 50 jaar;Ondergrens;2007;14.3;1.1;0.4;0.4;0.0;0.0;0.4;0.5;0.0;0.0;0.0;0.0;;0.0
148;Vrouwen;40 tot 50 jaar;Ondergrens;2008;13.4;1.2;0.6;0.7;0.1;0.0;0.1;0.8;0.0;0.0;0.0;0.0;;0.0
149;Vrouwen;40 tot 50 jaar;Ondergrens;2009;13.4;1.6;0.4;1.4;0.2;0.3;0.3;0.9;0.0;0.0;0.1;0.0;;0.0
150;Vrouwen;40 tot 50 jaar;Bovengrens;2007;20.2;3.5;2.4;2.1;1.1;0.9;2.2;2.4;1.2;0.0;0.0;0.0;;0.0
151;Vrouwen;40 tot 50 jaar;Bovengrens;2008;19.1;3.8;2.5;2.7;1.6;0.8;0.8;2.9;0.0;0.0;0.0;0.0;;0.0
152;Vrouwen;40 tot 50 jaar;Bovengrens;2009;19.3;4.5;2.0;4.1;1.6;2.1;1.9;3.3;0.0;0.0;1.4;0.0;;0.0
153;Vrouwen;50 tot 65 jaar;Percentages;2007;7.7;0.8;1.2;0.3;0.3;0.1;0.8;0.4;0.0;0.0;0.0;0.0;;0.0
154;Vrouwen;50 tot 65 jaar;Percentages;2008;10.2;1.3;0.6;0.7;0.1;0.0;0.4;0.3;0.0;0.0;0.0;0.0;;0.0
155;Vrouwen;50 tot 65 jaar;Percentages;2009;8.5;0.9;0.7;0.1;0.2;0.0;0.9;0.4;0.0;0.0;0.0;0.0;;0.0
156;Vrouwen;50 tot 65 jaar;Ondergrens;2007;6.0;0.4;0.6;0.1;0.1;0.0;0.3;0.1;0.0;0.0;0.0;0.0;;0.0
157;Vrouwen;50 tot 65 jaar;Ondergrens;2008;8.3;0.7;0.2;0.3;0.0;0.0;0.2;0.1;0.0;0.0;0.0;0.0;;0.0
158;Vrouwen;50 tot 65 jaar;Ondergrens;2009;6.7;0.4;0.3;0.0;0.0;0.0;0.4;0.2;0.0;0.0;0.0;0.0;;0.0
159;Vrouwen;50 tot 65 jaar;Bovengrens;2007;9.9;1.9;2.4;1.1;1.0;0.8;1.7;1.2;0.0;0.0;0.0;0.0;;0.0
160;Vrouwen;50 tot 65 jaar;Bovengrens;2008;12.5;2.4;1.4;1.6;0.9;0.0;1.1;1.0;0.0;0.0;0.0;0.0;;0.0
161;Vrouwen;50 tot 65 jaar;Bovengrens;2009;10.7;1.9;1.5;0.7;1.4;0.0;1.8;1.2;0.0;0.0;0.0;0.0;;0.0
