ID;SBI93;Perioden;Ondernemingen_1;Totaal_2;KleinerDan0_3;k_0Tot10_4;k_10Tot20_5;k_20Tot35_6;k_35OfMeer_7;Totaal_8;KleinerDan0_9;k_0Tot10_10;k_10Tot15_11;k_15Tot20_12;k_20Tot30_13;k_30OfMeer_14;Totaal_15;KleinerDan30_16;k_30Tot70_17;k_70Tot130_18;k_130OfMeer_19;Totaal_20;KleinerDan30_21;k_30Tot70_22;k_70Tot130_23;k_130OfMeer_24;Totaal_25;KleinerDan0_26;k_0Tot2_27;k_2Tot4_28;k_4OfMeer_29;Leverage_30;AandeelKapitaallasten_31;GemLeeftijdMaterieleVasteActiva_32;Debiteurentermijn_33;AandeelPersoneelskosten_34;OpbrengstenPerArbeidsjaar_35;ArbeidskostenPerArbeidsjaar_36;AandeelOverhead_37;Parttimefactor_38;KleinerDan0_39;k_0Tot10_40;k_10Tot20_41;k_20Tot35_42;k_35OfMeer_43;KleinerDan0_44;k_0Tot10_45;k_10Tot15_46;k_15Tot20_47;k_20Tot30_48;k_30OfMeer_49;KleinerDan30_50;k_30Tot70_51;k_70Tot130_52;k_130OfMeer_53;KleinerDan30_54;k_30Tot70_55;k_70Tot130_56;k_130OfMeer_57;KleinerDan0_58;k_0Tot2_59;k_2Tot4_60;k_4OfMeer_61;KleinerDan4MlnEuro_62;k_4Tot10MlnEuro_63;k_10Tot25MlnEuro_64;k_25Tot75MlnEuro_65;k_75Tot125MlnEuro_66;k_125MlnEuroOfMeer_67
17;8511f Zvw/AWBZ-gefinancierde GGZ;2009;95;16;-16.0;6.0;15.0;26.0;50.0;16;-4.0;8.0;13.0;17.0;23.0;45.0;56;24.0;40.0;85.0;165.0;81;25.0;52.0;90.0;171.0;2;-3.0;1.0;3.0;6.0;51;9;13;36;73;82574;52912;17.0;76;3.0;13.0;41.0;21.0;22.0;3.0;17.0;23.0;26.0;21.0;9.0;8.0;41.0;27.0;24.0;7.0;15.0;34.0;44.0;10.0;33.0;24.0;33.0;15.0;5.0;24.0;29.0;11.0;16.0
18;8531a Zvw/AWBZ-gefin. gehandicaptenzorg;2007;150;20;-15.0;8.0;14.0;27.0;46.0;16;-10.0;8.0;13.0;17.0;24.0;57.0;38;16.0;42.0;94.0;186.0;53;22.0;43.0;94.0;178.0;1;-2.0;1.0;3.0;6.0;50;10;14;3;71;63553;40527;8.0;62;3.0;14.0;37.0;22.0;24.0;3.0;21.0;33.0;19.0;13.0;12.0;35.0;24.0;19.0;21.0;20.0;35.0;25.0;21.0;26.0;43.0;15.0;17.0;23.0;8.0;19.0;31.0;14.0;5.0
19;8531a Zvw/AWBZ-gefin. gehandicaptenzorg;2008;150;21;-54.0;5.0;15.0;27.0;48.0;16;-9.0;7.0;13.0;18.0;24.0;45.0;37;14.0;46.0;90.0;215.0;52;20.0;42.0;99.0;194.0;2;-3.0;1.0;3.0;7.0;48;10;14;3;71;67097;41872;9.0;63;2.0;10.0;31.0;29.0;28.0;2.0;17.0;25.0;25.0;15.0;15.0;35.0;24.0;18.0;23.0;23.0;26.0;26.0;25.0;26.0;32.0;21.0;20.0;23.0;11.0;17.0;28.0;14.0;7.0
20;8531a Zvw/AWBZ-gefin. gehandicaptenzorg;2009;141;23;-5.0;8.0;16.0;25.0;49.0;18;-5.0;6.0;12.0;18.0;23.0;46.0;43;14.0;55.0;93.0;221.0;59;19.0;42.0;92.0;195.0;3;-3.0;1.0;3.0;7.0;49;11;12;4;70;70065;42628;9.0;62;3.0;10.0;18.0;35.0;35.0;3.0;10.0;18.0;25.0;22.0;22.0;27.0;21.0;24.0;29.0;27.0;29.0;24.0;19.0;11.0;28.0;21.0;40.0;23.0;12.0;14.0;28.0;14.0;9.0
21;8531b Zvw/AWBZ-gefin. ouderen- en thuisz;2007;537;22;-14.0;6.0;15.0;26.0;47.0;16;-8.0;7.0;13.0;17.0;26.0;40.0;57;15.0;49.0;96.0;189.0;66;18.0;50.0;95.0;179.0;0;-3.0;1.0;3.0;6.0;53;11;11;10;72;64679;40815;10.0;54;7.0;17.0;39.0;22.0;16.0;7.0;24.0;32.0;12.0;15.0;10.0;17.0;33.0;23.0;27.0;16.0;27.0;34.0;23.0;39.0;34.0;13.0;14.0;27.0;25.0;17.0;20.0;6.0;4.0
22;8531b Zvw/AWBZ-gefin. ouderen- en thuisz;2008;491;22;-6.0;8.0;15.0;26.0;45.0;17;-5.0;7.0;12.0;17.0;24.0;40.0;56;15.0;48.0;95.0;194.0;66;18.0;50.0;95.0;188.0;0;-4.0;1.0;3.0;6.0;52;11;12;10;72;68083;42880;10.0;54;5.0;9.0;23.0;30.0;33.0;5.0;18.0;14.0;22.0;22.0;20.0;18.0;23.0;25.0;35.0;18.0;22.0;27.0;33.0;25.0;27.0;18.0;29.0;23.0;26.0;18.0;20.0;8.0;5.0
23;8531b Zvw/AWBZ-gefin. ouderen- en thuisz;2009;473;24;-8.0;7.0;15.0;26.0;45.0;18;-6.0;7.0;13.0;17.0;24.0;40.0;59;16.0;47.0;88.0;194.0;73;20.0;48.0;97.0;185.0;2;-2.0;1.0;3.0;7.0;52;11;11;9;71;70013;43015;9.0;53;6.0;7.0;22.0;30.0;36.0;6.0;16.0;14.0;15.0;26.0;23.0;16.0;21.0;28.0;35.0;16.0;24.0;23.0;37.0;17.0;26.0;25.0;32.0;26.0;23.0;18.0;21.0;7.0;5.0
24;85315 Maatschappelijke en vrouwenopvang;2007;48;17;-30.0;6.0;16.0;29.0;48.0;9;-9.0;4.0;11.0;17.0;23.0;43.0;128;0.0;46.0;102.0;195.0;123;0.0;45.0;98.0;185.0;-1;-3.0;1.0;3.0;8.0;60;9;10;6;72;68202;42334;;75;16.0;9.0;16.0;25.0;34.0;16.0;30.0;16.0;5.0;14.0;20.0;0.0;7.0;36.0;57.0;9.0;23.0;30.0;39.0;39.0;27.0;11.0;23.0;41.0;39.0;14.0;;;
25;85315 Maatschappelijke en vrouwenopvang;2008;45;20;-50.0;6.0;16.0;27.0;49.0;10;-17.0;4.0;12.0;17.0;23.0;46.0;114;0.0;62.0;89.0;191.0;128;0.0;55.0;98.0;186.0;0;-4.0;1.0;3.0;10.0;59;9;10;5;71;71416;44220;;72;9.0;7.0;11.0;27.0;45.0;9.0;30.0;16.0;16.0;9.0;20.0;0.0;9.0;45.0;45.0;5.0;11.0;32.0;52.0;23.0;34.0;16.0;27.0;30.0;45.0;18.0;;;
26;85315 Maatschappelijke en vrouwenopvang;2009;41;22;-7.0;7.0;16.0;29.0;53.0;11;-2.0;4.0;13.0;17.0;25.0;55.0;128;0.0;65.0;81.0;200.0;135;0.0;60.0;98.0;198.0;1;-2.0;1.0;3.0;11.0;56;9;9;7;70;75780;45904;;71;10.0;15.0;15.0;22.0;39.0;10.0;34.0;17.0;7.0;20.0;12.0;0.0;12.0;22.0;66.0;7.0;24.0;37.0;32.0;37.0;20.0;10.0;34.0;24.0;49.0;20.0;;;
