ID;SectorBranchesSIC2008;Periods;TurnoverIndicesOnlineSales_1;TurnoverYearOnYearChange_2
31;Retail trade, no petrol stations and ..;2015 December;137.7;24.9
32;Retail trade, no petrol stations and ..;2015 4th quarter;119.7;25.1
33;Retail trade, no petrol stations and ..;2015;100.0;22.1
34;Retail trade, no petrol stations and ..;2016 January;112.8;23.9
35;Retail trade, no petrol stations and ..;2016 February;98.3;25.7
36;Retail trade, no petrol stations and ..;2016 March;110.8;22.5
37;Retail trade, no petrol stations and ..;2016 1st quarter;107.3;24.0
38;Retail trade, no petrol stations and ..;2016 April;109.0;16.5
39;Retail trade, no petrol stations and ..;2016 May;115.6;27.4
40;Retail trade, no petrol stations and ..;2016 June;123.7;20.2
41;Retail trade, no petrol stations and ..;2016 2nd quarter;116.1;21.2
42;Retail trade, no petrol stations and ..;2016 July;112.7;16.2
43;Retail trade, no petrol stations and ..;2016 August;110.9;19.4
44;Retail trade, no petrol stations and ..;2016 September;117.5;12.9
45;Retail trade, no petrol stations and ..;2016 3rd quarter;113.7;16.0
46;Retail trade, no petrol stations and ..;2016 October;127.0;20.7
47;Retail trade, no petrol stations and ..;2016 November;147.1;26.6
48;Retail trade, no petrol stations and ..;2016 December;156.1;13.3
49;Retail trade, no petrol stations and ..;2016 4th quarter;143.4;19.8
50;Retail trade, no petrol stations and ..;2016;120.1;20.1
51;Retail trade, no petrol stations and ..;2017 January;133.1;18.0
52;Retail trade, no petrol stations and ..;2017 February;113.9;15.9
53;Retail trade, no petrol stations and ..;2017 March;126.7;14.3
54;Retail trade, no petrol stations and ..;2017 1st quarter;124.6;16.1
55;Retail trade, no petrol stations and ..;2017 April;129.3;18.6
56;Retail trade, no petrol stations and ..;2017 May;143.9;24.5
57;Retail trade, no petrol stations and ..;2017 June;146.9;18.8
58;Retail trade, no petrol stations and ..;2017 2nd quarter;140.0;20.6
59;Retail trade, no petrol stations and ..;2017 July;136.5;21.1
60;Retail trade, no petrol stations and ..;2017 August;131.2;18.3
61;Retail trade, no petrol stations and ..;2017 September;145.4;23.7
62;Retail trade, no petrol stations and ..;2017 3rd quarter;137.7;21.1
63;Retail trade, no petrol stations and ..;2017 October;147.7;16.2
64;Retail trade, no petrol stations and ..;2017 November;180.7;22.8
65;Retail trade, no petrol stations and ..;2017 December;193.5;24.0
66;Retail trade, no petrol stations and ..;2017 4th quarter;174.0;21.3
67;Retail trade, no petrol stations and ..;2017;144.1;19.9
68;Retail trade, no petrol stations and ..;2018 January;163.2;22.7
69;Retail trade, no petrol stations and ..;2018 February;133.1;16.8
70;Retail trade, no petrol stations and ..;2018 March;156.2;23.2
71;Retail trade, no petrol stations and ..;2018 1st quarter;150.8;21.1
72;Retail trade, no petrol stations and ..;2018 April;158.5;22.6
73;Retail trade, no petrol stations and ..;2018 May;163.9;13.9
74;Retail trade, no petrol stations and ..;2018 June;173.4;18.0
75;Retail trade, no petrol stations and ..;2018 2nd quarter;165.3;18.0
76;Retail trade, no petrol stations and ..;2018 July;165.7;21.4
77;Retail trade, no petrol stations and ..;2018 August;156.2;19.1
78;Retail trade, no petrol stations and ..;2018 September;164.4;13.1
79;Retail trade, no petrol stations and ..;2018 3rd quarter;162.1;17.7
80;Retail trade, no petrol stations and ..;2018 October;175.9;19.1
81;Retail trade, no petrol stations and ..;2018 November;216.9;20.0
82;Retail trade, no petrol stations and ..;2018 December;210.6;8.8
83;Retail trade, no petrol stations and ..;2018 4th quarter;201.1;15.6
84;Retail trade, no petrol stations and ..;2018;169.8;17.9
85;Retail trade, no petrol stations and ..;2019 January;189.4;16.0
86;Retail trade, no petrol stations and ..;2019 February;156.2;17.4
87;Retail trade, no petrol stations and ..;2019 March;182.1;16.6
88;Retail trade, no petrol stations and ..;2019 1st quarter;175.9;16.6
89;Retail trade, no petrol stations and ..;2019 April;184.7;16.5
90;Retail trade, no petrol stations and ..;2019 May;199.1;21.5
91;Retail trade, no petrol stations and ..;2019 June;203.0;17.1
92;Retail trade, no petrol stations and ..;2019 2nd quarter;195.6;18.4
93;Retail trade, no petrol stations and ..;2019 July;191.8;15.8
94;Retail trade, no petrol stations and ..;2019 August;180.0;15.3
95;Retail trade, no petrol stations and ..;2019 September;200.1;21.7
96;Retail trade, no petrol stations and ..;2019 3rd quarter;190.7;17.6
97;Retail trade, no petrol stations and ..;2019 October;199.8;13.6
98;Retail trade, no petrol stations and ..;2019 November;234.7;8.2
99;Retail trade, no petrol stations and ..;2019 December;263.5;25.1
100;Retail trade, no petrol stations and ..;2019 4th quarter;232.7;15.7
101;Retail trade, no petrol stations and ..;2019;198.7;17.0
102;Retail trade, no petrol stations and ..;2020 January;212.1;11.9
103;Retail trade, no petrol stations and ..;2020 February;184.2;17.9
104;Retail trade, no petrol stations and ..;2020 March;245.7;34.9
105;Retail trade, no petrol stations and ..;2020 1st quarter;214.0;21.6
106;Retail trade, no petrol stations and ..;2020 April;312.6;69.6
107;Retail trade, no petrol stations and ..;2020 May;301.8;51.6
108;Retail trade, no petrol stations and ..;2020 June ;296.3;46.2
109;Retail trade, no petrol stations and ..;2020 2nd quarter;303.6;55.4
110;Retail trade, no petrol stations and ..;2020 July;266.3;38.8
111;Retail trade, no petrol stations and ..;2020 August;254.4;41.1
112;Retail trade, no petrol stations and ..;2020 September;269.3;34.7
113;Retail trade, no petrol stations and ..;2020 3rd quarter;263.4;38.1
114;Retail trade, no petrol stations and ..;2020 October;299.2;50.1
115;Retail trade, no petrol stations and ..;2020 November;368.2;56.9
116;Retail trade, no petrol stations and ..;2020 December;413.6;56.9
117;Retail trade, no petrol stations and ..;2020 4th quarter;360.4;55.0
118;Retail trade, no petrol stations and ..;2020;285.3;43.6
119;Retail trade, no petrol stations and ..;2021 January;404.1;90.5
120;Retail trade, no petrol stations and ..;2021 February;375.0;103.5
121;Retail trade, no petrol stations and ..;2021 March;412.1;67.7
122;Retail trade, no petrol stations and ..;2021 1st quarter;397.1;85.5
123;Retail trade, no petrol stations and ..;2021 April;371.2;18.7
124;Retail trade, no petrol stations and ..;2021 May;348.9;15.6
125;Retail trade, no petrol stations and ..;2021 June;348.0;17.5
126;Retail trade, no petrol stations and ..;2021 2nd quarter;356.0;17.3
127;Retail trade, no petrol stations and ..;2021 July;296.0;11.2
128;Retail trade, no petrol stations and ..;2021 August;284.4;11.8
129;Retail trade, no petrol stations and ..;2021 September;300.7;11.6
130;Retail trade, no petrol stations and ..;2021 3rd quarter;293.7;11.5
131;Retail trade, no petrol stations and ..;2021 October;313.7;4.8
132;Retail trade, no petrol stations and ..;2021 November;391.4;6.3
133;Retail trade, no petrol stations and ..;2021 December;429.7;3.9
134;Retail trade, no petrol stations and ..;2021 4th quarter;378.3;5.0
135;Retail trade, no petrol stations and ..;2021;356.3;24.9
136;Retail trade, no petrol stations and ..;2022 January;373.8;-7.5
137;Retail trade, no petrol stations and ..;2022 February;278.1;-25.8
138;Retail trade, no petrol stations and ..;2022 March;321.2;-22.1
139;Retail trade, no petrol stations and ..;2022 1st quarter;324.4;-18.3
140;Retail trade, no petrol stations and ..;2022 April;308.6;-16.8
141;Retail trade, no petrol stations and ..;2022 May;338.5;-3.0
142;Retail trade, no petrol stations and ..;2022 June;332.3;-4.5
143;Retail trade, no petrol stations and ..;2022 2nd quarter;326.4;-8.3
144;Retail trade, no petrol stations and ..;2022 July;316.0;6.7
145;Retail trade, no petrol stations and ..;2022 August;293.1;3.1
146;Retail trade, no petrol stations and ..;2022 September;322.9;7.4
147;Retail trade, no petrol stations and ..;2022 3rd quarter;310.7;5.8
148;Retail trade, no petrol stations and ..;2022 October;333.5;6.3
149;Retail trade, no petrol stations and ..;2022 November;420.9;7.5
150;Retail trade, no petrol stations and ..;2022 December;388.6;-9.6
151;Retail trade, no petrol stations and ..;2022 4th quarter;381.0;0.7
152;Retail trade, no petrol stations and ..;2022;335.6;-5.8
153;Retail trade, no petrol stations and ..;2023 January;339.0;-9.3
154;Retail trade, no petrol stations and ..;2023 February;287.7;3.4
155;Retail trade, no petrol stations and ..;2023 March;336.5;4.8
156;Retail trade, no petrol stations and ..;2023 1st quarter;321.1;-1.0
157;Retail trade, no petrol stations and ..;2023 April;316.8;2.7
158;Retail trade, no petrol stations and ..;2023 May;353.2;4.4
159;Retail trade, no petrol stations and ..;2023 June;348.2;4.8
160;Retail trade, no petrol stations and ..;2023 2nd quarter;339.4;4.0
161;Retail trade, no petrol stations and ..;2023 July;317.3;0.4
162;Retail trade, no petrol stations and ..;2023 August;303.1;3.4
163;Retail trade, no petrol stations and ..;2023 September;319.3;-1.1
164;Retail trade, no petrol stations and ..;2023 3rd quarter;313.3;0.8
165;Retail trade, no petrol stations and ..;2023 October;346.6;3.9
166;Retail trade, no petrol stations and ..;2023 November;420.3;-0.1
167;Retail trade, no petrol stations and ..;2023 December;381.5;-1.8
168;Retail trade, no petrol stations and ..;2023 4th quarter;382.8;0.5
169;Retail trade, no petrol stations and ..;2023;339.1;1.1
170;Retail trade, no petrol stations and ..;2024 January;350.7;3.5
171;Retail trade, no petrol stations and ..;2024 February;304.6;5.9
172;Retail trade, no petrol stations and ..;2024 March;344.4;2.4
173;Retail trade, no petrol stations and ..;2024 1st quarter;333.3;3.8
174;Retail trade, no petrol stations and ..;2024 April;342.7;8.2
175;Retail trade, no petrol stations and ..;2024 May;359.8;1.9
176;Retail trade, no petrol stations and ..;2024 June;353.4;1.5
177;Retail trade, no petrol stations and ..;2024 2th quarter;352.0;3.7
178;Retail trade, no petrol stations and ..;2024 July;344.9;8.7
179;Retail trade, no petrol stations and ..;2024 August;323.8;6.8
180;Retail trade, no petrol stations and ..;2024 September;349.7;9.5
181;Retail trade, no petrol stations and ..;2024 3th quarter;339.5;8.4
182;Retail trade, no petrol stations and ..;2024 October;365.6;5.5
183;Retail trade, no petrol stations and ..;2024 November;426.3;1.4
184;Retail trade, no petrol stations and ..;2024 December;425.4;11.5
185;Retail trade, no petrol stations and ..;2024 4th quarter;405.8;6.0
186;Retail trade, no petrol stations and ..;2024;357.6;5.5
187;Retail trade, no petrol stations and ..;2025 January;364.2;3.8
188;Retail trade, no petrol stations and ..;2025 February;316.2;3.8
189;Multi-channel (mainly not online);2014 January;77.6;17.0
190;Multi-channel (mainly not online);2014 February;63.3;17.0
191;Multi-channel (mainly not online);2014 March;77.0;16.5
192;Multi-channel (mainly not online);2014 1st quarter;72.6;16.8
193;Multi-channel (mainly not online);2014 April;83.2;32.3
194;Multi-channel (mainly not online);2014 May;80.6;19.0
195;Multi-channel (mainly not online);2014 June;79.9;15.4
196;Multi-channel (mainly not online);2014 2nd quarter;81.2;21.9
197;Multi-channel (mainly not online);2014 July;75.7;20.9
198;Multi-channel (mainly not online);2014 August;75.2;25.0
199;Multi-channel (mainly not online);2014 September;79.7;5.7
200;Multi-channel (mainly not online);2014 3rd quarter;76.9;16.4
201;Multi-channel (mainly not online);2014 October;89.1;14.3
202;Multi-channel (mainly not online);2014 November;92.6;12.1
203;Multi-channel (mainly not online);2014 December;110.1;25.9
204;Multi-channel (mainly not online);2014 4th quarter;97.3;17.7
205;Multi-channel (mainly not online);2014;82.0;18.2
206;Multi-channel (mainly not online);2015 January;97.6;25.8
207;Multi-channel (mainly not online);2015 February;77.2;21.9
208;Multi-channel (mainly not online);2015 March;92.9;20.8
209;Multi-channel (mainly not online);2015 1st quarter;89.2;22.9
210;Multi-channel (mainly not online);2015 April;96.1;15.4
211;Multi-channel (mainly not online);2015 May;91.3;13.3
212;Multi-channel (mainly not online);2015 June;106.7;33.5
213;Multi-channel (mainly not online);2015 2nd quarter;98.0;20.6
214;Multi-channel (mainly not online);2015 July;93.6;23.8
215;Multi-channel (mainly not online);2015 August;89.3;18.7
216;Multi-channel (mainly not online);2015 September;100.8;26.5
217;Multi-channel (mainly not online);2015 3rd quarter;94.6;23.0
218;Multi-channel (mainly not online);2015 October;112.2;25.9
219;Multi-channel (mainly not online);2015 November;113.5;22.6
220;Multi-channel (mainly not online);2015 December;128.8;17.0
221;Multi-channel (mainly not online);2015 4th quarter;118.2;21.5
222;Multi-channel (mainly not online);2015;100.0;22.0
223;Multi-channel (mainly not online);2016 January;112.9;15.7
224;Multi-channel (mainly not online);2016 February;93.8;21.5
225;Multi-channel (mainly not online);2016 March;105.7;13.8
226;Multi-channel (mainly not online);2016 1st quarter;104.1;16.7
227;Multi-channel (mainly not online);2016 April;105.2;9.5
228;Multi-channel (mainly not online);2016 May;116.9;28.0
229;Multi-channel (mainly not online);2016 June;121.8;14.2
230;Multi-channel (mainly not online);2016 2nd quarter;114.6;16.9
231;Multi-channel (mainly not online);2016 July;104.7;11.8
232;Multi-channel (mainly not online);2016 August;100.6;12.7
233;Multi-channel (mainly not online);2016 September;109.9;8.9
234;Multi-channel (mainly not online);2016 3rd quarter;105.0;11.1
235;Multi-channel (mainly not online);2016 October;131.4;17.1
236;Multi-channel (mainly not online);2016 November;146.2;28.8
237;Multi-channel (mainly not online);2016 December;148.8;15.5
238;Multi-channel (mainly not online);2016 4th quarter;142.1;20.3
239;Multi-channel (mainly not online);2016;116.5;16.5
240;Multi-channel (mainly not online);2017 January;137.9;22.2
241;Multi-channel (mainly not online);2017 February;105.1;12.0
242;Multi-channel (mainly not online);2017 March;124.1;17.4
243;Multi-channel (mainly not online);2017 1st quarter;122.4;17.5
244;Multi-channel (mainly not online);2017 April;132.7;26.2
245;Multi-channel (mainly not online);2017 May;147.4;26.1
246;Multi-channel (mainly not online);2017 June;151.8;24.6
247;Multi-channel (mainly not online);2017 2nd quarter;144.0;25.6
248;Multi-channel (mainly not online);2017 July;127.6;22.0
249;Multi-channel (mainly not online);2017 August;119.8;19.0
250;Multi-channel (mainly not online);2017 September;143.8;30.9
251;Multi-channel (mainly not online);2017 3rd quarter;130.4;24.2
252;Multi-channel (mainly not online);2017 October;145.7;10.9
253;Multi-channel (mainly not online);2017 November;180.9;23.8
254;Multi-channel (mainly not online);2017 December;191.7;28.9
255;Multi-channel (mainly not online);2017 4th quarter;172.8;21.6
256;Multi-channel (mainly not online);2017;142.4;22.2
257;Multi-channel (mainly not online);2018 January;173.9;26.0
258;Multi-channel (mainly not online);2018 February;127.3;21.2
259;Multi-channel (mainly not online);2018 March;160.0;28.9
260;Multi-channel (mainly not online);2018 1st quarter;153.7;25.6
261;Multi-channel (mainly not online);2018 April;175.6;32.2
262;Multi-channel (mainly not online);2018 May;176.1;19.5
263;Multi-channel (mainly not online);2018 June;189.9;25.1
264;Multi-channel (mainly not online);2018 2nd quarter;180.5;25.4
265;Multi-channel (mainly not online);2018 July;174.7;36.9
266;Multi-channel (mainly not online);2018 August;156.8;30.9
267;Multi-channel (mainly not online);2018 September;172.0;19.6
268;Multi-channel (mainly not online);2018 3rd quarter;167.8;28.7
269;Multi-channel (mainly not online);2018 October;188.2;29.1
270;Multi-channel (mainly not online);2018 November;241.8;33.6
271;Multi-channel (mainly not online);2018 December;222.1;15.9
272;Multi-channel (mainly not online);2018 4th quarter;217.4;25.8
273;Multi-channel (mainly not online);2018;179.9;26.3
274;Multi-channel (mainly not online);2019 January;213.8;23.0
275;Multi-channel (mainly not online);2019 February;162.0;27.3
276;Multi-channel (mainly not online);2019 March;194.2;21.4
277;Multi-channel (mainly not online);2019 1st quarter;190.0;23.6
278;Multi-channel (mainly not online);2019 April;212.2;20.9
279;Multi-channel (mainly not online);2019 May;219.2;24.5
280;Multi-channel (mainly not online);2019 June;236.5;24.6
281;Multi-channel (mainly not online);2019 2nd quarter;222.7;23.3
282;Multi-channel (mainly not online);2019 July;203.6;16.5
283;Multi-channel (mainly not online);2019 August;187.4;19.5
284;Multi-channel (mainly not online);2019 September;222.4;29.3
285;Multi-channel (mainly not online);2019 3rd quarter;204.5;21.8
286;Multi-channel (mainly not online);2019 October;223.1;18.5
287;Multi-channel (mainly not online);2019 November;256.5;6.1
288;Multi-channel (mainly not online);2019 December;287.7;29.6
289;Multi-channel (mainly not online);2019 4th quarter;255.8;17.7
290;Multi-channel (mainly not online);2019;218.2;21.3
291;Multi-channel (mainly not online);2020 January;237.9;11.2
292;Multi-channel (mainly not online);2020 February;195.3;20.4
293;Multi-channel (mainly not online);2020 March;285.7;46.9
294;Multi-channel (mainly not online);2020 1st quarter;239.6;26.0
295;Multi-channel (mainly not online);2020 April;404.9;91.9
296;Multi-channel (mainly not online);2020 May;359.7;64.2
297;Multi-channel (mainly not online);2020 June ;356.8;51.4
298;Multi-channel (mainly not online);2020 2nd quarter;373.8;68.5
299;Multi-channel (mainly not online);2020 July;307.9;51.1
300;Multi-channel (mainly not online);2020 August;284.6;51.3
301;Multi-channel (mainly not online);2020 September;313.4;41.2
302;Multi-channel (mainly not online);2020 3rd quarter;302.0;47.6
303;Multi-channel (mainly not online);2020 October;345.7;55.8
304;Multi-channel (mainly not online);2020 November;440.4;71.7
305;Multi-channel (mainly not online);2020 December;521.4;80.9
306;Multi-channel (mainly not online);2020 4th quarter;435.8;70.6
307;Multi-channel (mainly not online);2020;337.8;54.9
308;Multi-channel (mainly not online);2021 January;541.2;127.5
309;Multi-channel (mainly not online);2021 February;511.8;162.1
310;Multi-channel (mainly not online);2021 March;546.1;91.1
311;Multi-channel (mainly not online);2021 1st quarter;533.0;122.4
312;Multi-channel (mainly not online);2021 April;483.5;19.4
313;Multi-channel (mainly not online);2021 May;416.4;15.8
314;Multi-channel (mainly not online);2021 June;426.1;19.4
315;Multi-channel (mainly not online);2021 2nd quarter;442.0;18.2
316;Multi-channel (mainly not online);2021 July;332.3;7.9
317;Multi-channel (mainly not online);2021 August;317.5;11.6
318;Multi-channel (mainly not online);2021 September;342.6;9.3
319;Multi-channel (mainly not online);2021 3rd quarter;330.8;9.6
320;Multi-channel (mainly not online);2021 October;365.5;5.7
321;Multi-channel (mainly not online);2021 November;445.3;1.1
322;Multi-channel (mainly not online);2021 December;520.4;-0.2
323;Multi-channel (mainly not online);2021 4th quarter;443.7;1.8
324;Multi-channel (mainly not online);2021;437.4;29.5
325;Multi-channel (mainly not online);2022 January;468.8;-13.4
326;Multi-channel (mainly not online);2022 February;305.4;-40.3
327;Multi-channel (mainly not online);2022 March;377.8;-30.8
328;Multi-channel (mainly not online);2022 1st quarter;384.0;-28.0
329;Multi-channel (mainly not online);2022 April;366.1;-24.3
330;Multi-channel (mainly not online);2022 May;397.7;-4.5
331;Multi-channel (mainly not online);2022 June;393.1;-7.7
332;Multi-channel (mainly not online);2022 2nd quarter;385.6;-12.8
333;Multi-channel (mainly not online);2022 July;364.3;9.6
334;Multi-channel (mainly not online);2022 August;326.8;3.0
335;Multi-channel (mainly not online);2022 September;377.6;10.2
336;Multi-channel (mainly not online);2022 3rd quarter;356.2;7.7
337;Multi-channel (mainly not online);2022 October;385.2;5.4
338;Multi-channel (mainly not online);2022 November;490.0;10.0
339;Multi-channel (mainly not online);2022 December;436.5;-16.1
340;Multi-channel (mainly not online);2022 4th quarter;437.2;-1.5
341;Multi-channel (mainly not online);2022;390.8;-10.7
342;Multi-channel (mainly not online);2023 January;375.2;-20.0
343;Multi-channel (mainly not online);2023 February;301.4;-1.3
344;Multi-channel (mainly not online);2023 March;370.3;-2.0
345;Multi-channel (mainly not online);2023 1st quarter;349.0;-9.1
346;Multi-channel (mainly not online);2023 April;371.8;1.6
347;Multi-channel (mainly not online);2023 May;422.9;6.3
348;Multi-channel (mainly not online);2023 June;427.4;8.7
349;Multi-channel (mainly not online);2023 2nd quarter;407.4;5.6
350;Multi-channel (mainly not online);2023 July;357.7;-1.8
351;Multi-channel (mainly not online);2023 August;339.1;3.8
352;Multi-channel (mainly not online);2023 September;349.2;-7.5
353;Multi-channel (mainly not online);2023 3rd quarter;348.7;-2.1
354;Multi-channel (mainly not online);2023 October;385.7;0.1
355;Multi-channel (mainly not online);2023 November;466.7;-4.7
356;Multi-channel (mainly not online);2023 December;417.0;-4.5
357;Multi-channel (mainly not online);2023 4th quarter;423.1;-3.2
358;Multi-channel (mainly not online);2023;382.1;-2.2
359;Multi-channel (mainly not online);2024 January;387.5;3.3
360;Multi-channel (mainly not online);2024 February;306.3;1.6
361;Multi-channel (mainly not online);2024 March;371.7;0.4
362;Multi-channel (mainly not online);2024 1st quarter;355.2;1.8
363;Multi-channel (mainly not online);2024 April;385.4;3.7
364;Multi-channel (mainly not online);2024 May;404.3;-4.4
365;Multi-channel (mainly not online);2024 June;396.7;-7.2
366;Multi-channel (mainly not online);2024 2th quarter;395.5;-2.9
367;Multi-channel (mainly not online);2024 July;373.0;4.3
368;Multi-channel (mainly not online);2024 August;344.6;1.6
369;Multi-channel (mainly not online);2024 September;372.7;6.7
370;Multi-channel (mainly not online);2024 3th quarter;363.4;4.2
371;Multi-channel (mainly not online);2024 October;388.8;0.8
372;Multi-channel (mainly not online);2024 November;458.6;-1.7
373;Multi-channel (mainly not online);2024 December;447.0;7.2
374;Multi-channel (mainly not online);2024 4th quarter;431.5;2.0
375;Multi-channel (mainly not online);2024;386.4;1.1
376;Multi-channel (mainly not online);2025 January;391.9;1.1
377;Multi-channel (mainly not online);2025 February;302.1;-1.4
378;4791 Retail sale via internet;2014 January;76.9;3.8
379;4791 Retail sale via internet;2014 February;69.7;4.0
380;4791 Retail sale via internet;2014 March;75.4;9.1
381;4791 Retail sale via internet;2014 1st quarter;74.0;5.6
382;4791 Retail sale via internet;2014 April;77.5;13.0
383;4791 Retail sale via internet;2014 May;80.2;5.9
384;4791 Retail sale via internet;2014 June;80.5;8.6
385;4791 Retail sale via internet;2014 2nd quarter;79.4;9.1
386;4791 Retail sale via internet;2014 July;78.9;2.7
387;4791 Retail sale via internet;2014 August;77.4;7.8
388;4791 Retail sale via internet;2014 September;81.7;4.2
389;4791 Retail sale via internet;2014 3rd quarter;79.4;4.8
390;4791 Retail sale via internet;2014 October;82.5;8.8
391;4791 Retail sale via internet;2014 November;91.3;11.8
392;4791 Retail sale via internet;2014 December;110.3;18.4
393;4791 Retail sale via internet;2014 4th quarter;94.7;13.3
394;4791 Retail sale via internet;2014;81.9;8.4
395;4791 Retail sale via internet;2015 January;87.1;13.2
396;4791 Retail sale via internet;2015 February;78.8;13.0
397;4791 Retail sale via internet;2015 March;89.0;18.1
398;4791 Retail sale via internet;2015 1st quarter;84.9;14.8
399;4791 Retail sale via internet;2015 April;92.1;18.9
400;4791 Retail sale via internet;2015 May;90.4;12.7
401;4791 Retail sale via internet;2015 June;100.6;25.0
402;4791 Retail sale via internet;2015 2nd quarter;94.4;18.8
403;4791 Retail sale via internet;2015 July;99.0;25.5
404;4791 Retail sale via internet;2015 August;95.0;22.7
405;4791 Retail sale via internet;2015 September;106.0;29.7
406;4791 Retail sale via internet;2015 3rd quarter;100.0;26.0
407;4791 Retail sale via internet;2015 October;101.0;22.4
408;4791 Retail sale via internet;2015 November;118.0;29.2
409;4791 Retail sale via internet;2015 December;143.0;29.7
410;4791 Retail sale via internet;2015 4th quarter;120.7;27.4
411;4791 Retail sale via internet;2015;100.0;22.2
412;4791 Retail sale via internet;2016 January;112.7;29.5
413;4791 Retail sale via internet;2016 February;101.0;28.2
414;4791 Retail sale via internet;2016 March;113.9;28.0
415;4791 Retail sale via internet;2016 1st quarter;109.2;28.6
416;4791 Retail sale via internet;2016 April;111.3;20.8
417;4791 Retail sale via internet;2016 May;114.8;27.0
418;4791 Retail sale via internet;2016 June;124.8;24.0
419;4791 Retail sale via internet;2016 2nd quarter;117.0;23.9
420;4791 Retail sale via internet;2016 July;117.6;18.7
421;4791 Retail sale via internet;2016 August;117.1;23.2
422;4791 Retail sale via internet;2016 September;122.1;15.1
423;4791 Retail sale via internet;2016 3rd quarter;118.9;18.9
424;4791 Retail sale via internet;2016 October;124.4;23.1
425;4791 Retail sale via internet;2016 November;147.7;25.3
426;4791 Retail sale via internet;2016 December;160.5;12.2
427;4791 Retail sale via internet;2016 4th quarter;144.2;19.5
428;4791 Retail sale via internet;2016;122.3;22.3
429;4791 Retail sale via internet;2017 January;130.1;15.4
430;4791 Retail sale via internet;2017 February;119.2;18.1
431;4791 Retail sale via internet;2017 March;128.3;12.7
432;4791 Retail sale via internet;2017 1st quarter;125.9;15.3
433;4791 Retail sale via internet;2017 April;127.3;14.3
434;4791 Retail sale via internet;2017 May;141.8;23.5
435;4791 Retail sale via internet;2017 June;144.0;15.4
436;4791 Retail sale via internet;2017 2nd quarter;137.7;17.7
437;4791 Retail sale via internet;2017 July;141.9;20.7
438;4791 Retail sale via internet;2017 August;138.1;17.9
439;4791 Retail sale via internet;2017 September;146.3;19.9
440;4791 Retail sale via internet;2017 3rd quarter;142.1;19.5
441;4791 Retail sale via internet;2017 October;148.8;19.6
442;4791 Retail sale via internet;2017 November;180.5;22.2
443;4791 Retail sale via internet;2017 December;194.6;21.3
444;4791 Retail sale via internet;2017 4th quarter;174.7;21.1
445;4791 Retail sale via internet;2017;145.1;18.6
446;4791 Retail sale via internet;2018 January;156.9;20.5
447;4791 Retail sale via internet;2018 February;136.5;14.5
448;4791 Retail sale via internet;2018 March;153.9;19.9
449;4791 Retail sale via internet;2018 1st quarter;149.1;18.4
450;4791 Retail sale via internet;2018 April;148.3;16.5
451;4791 Retail sale via internet;2018 May;156.6;10.4
452;4791 Retail sale via internet;2018 June;163.5;13.5
453;4791 Retail sale via internet;2018 2nd quarter;156.1;13.4
454;4791 Retail sale via internet;2018 July;160.3;13.0
455;4791 Retail sale via internet;2018 August;155.8;12.9
456;4791 Retail sale via internet;2018 September;159.8;9.2
457;4791 Retail sale via internet;2018 3rd quarter;158.6;11.7
458;4791 Retail sale via internet;2018 October;168.5;13.2
459;4791 Retail sale via internet;2018 November;201.9;11.8
460;4791 Retail sale via internet;2018 December;203.7;4.7
