ID;Population;GiftCharacteristics;DonorCharacteristics;RecipientCharacteristics;Periods;NumberOfGifts_1;TotalGrossValueOfGifts_2;MeanGrossValueOfGifts_3;MedianGrossValueOfGifts_4;TotalAmountOfTaxDue_5;MeanAmountOfTaxDue_6;MedianAmountOfTaxDue_7;TotalNetValueOfGifts_8;MeanNetValueOfGifts_9;MedianNetValueOfGifts_10
23;All gifts;All gifts;All donors;Sex: man;2014;77.8;5413.1;69.6;50.0;141.9;1.8;0.0;5271.2;67.7;50.0
24;All gifts;All gifts;All donors;Sex: man;2015;25.7;2662.7;103.5;37.6;149.5;5.8;1.8;2513.2;97.7;35.0
25;All gifts;All gifts;All donors;Sex: man;2016;26.7;2779.9;104.2;40.0;164.0;6.2;1.8;2615.9;98.1;36.8
26;All gifts;All gifts;All donors;Sex: man;2017;35.7;3482.0;97.5;50.0;192.9;5.4;0.5;3289.1;92.1;46.8
27;All gifts;All gifts;All donors;Sex: man;2018;33.1;3607.1;109.0;50.0;200.5;6.1;1.5;3406.6;103.0;45.5
28;All gifts;All gifts;All donors;Sex: man;2019;34.6;4091.2;118.1;50.0;233.1;6.7;1.7;3858.0;111.4;50.0
29;All gifts;All gifts;All donors;Sex: man;2020;40.4;4812.7;119.1;50.0;282.4;7.0;1.8;4530.3;112.1;50.0
30;All gifts;All gifts;All donors;Sex: man;2021;47.9;6527.6;136.2;57.7;332.7;6.9;1.5;6194.8;129.2;54.0
31;All gifts;All gifts;All donors;Sex: man;2022;58.1;5159.1;88.9;50.0;280.9;4.8;0.0;4878.2;84.0;50.0
32;All gifts;All gifts;All donors;Sex: woman;2007;40.4;1550.5;38.4;25.0;119.4;3.0;1.1;1431.1;35.5;24.0
33;All gifts;All gifts;All donors;Sex: woman;2008;39.2;1781.3;45.4;25.5;120.9;3.1;1.1;1660.4;42.3;24.5
34;All gifts;All gifts;All donors;Sex: woman;2009;43.5;1732.7;39.8;27.3;130.0;3.0;1.1;1602.7;36.8;26.2
35;All gifts;All gifts;All donors;Sex: woman;2010;24.4;1425.4;58.3;27.2;143.5;5.9;2.0;1281.9;52.4;25.0
36;All gifts;All gifts;All donors;Sex: woman;2011;24.0;1355.7;56.5;30.0;118.7;4.9;2.0;1236.9;51.5;27.5
37;All gifts;All gifts;All donors;Sex: woman;2012;23.0;1582.8;68.9;32.8;132.0;5.7;2.0;1450.8;63.2;30.0
38;All gifts;All gifts;All donors;Sex: woman;2013;45.7;2910.5;63.7;45.0;141.8;3.1;0.0;2768.7;60.6;43.7
39;All gifts;All gifts;All donors;Sex: woman;2014;72.8;4536.4;62.3;50.0;120.5;1.7;0.0;4415.8;60.7;50.0
40;All gifts;All gifts;All donors;Sex: woman;2015;24.5;1851.0;75.6;37.0;136.2;5.6;2.0;1714.8;70.0;35.0
41;All gifts;All gifts;All donors;Sex: woman;2016;25.3;2141.8;84.6;40.0;154.9;6.1;2.0;1986.9;78.5;36.2
42;All gifts;All gifts;All donors;Sex: woman;2017;33.9;2661.5;78.6;50.0;176.8;5.2;1.0;2484.6;73.4;46.8
43;All gifts;All gifts;All donors;Sex: woman;2018;31.3;2763.6;88.2;50.0;176.7;5.6;2.0;2586.9;82.5;45.5
44;All gifts;All gifts;All donors;Sex: woman;2019;33.3;3102.3;93.1;50.0;197.0;5.9;2.0;2905.3;87.2;50.0
45;All gifts;All gifts;All donors;Sex: woman;2020;38.9;3931.3;101.1;50.0;272.7;7.0;2.0;3658.6;94.1;50.0
46;All gifts;All gifts;All donors;Sex: woman;2021;45.8;4977.5;108.7;58.2;313.3;6.8;1.8;4664.2;101.9;54.0
47;All gifts;All gifts;All donors;Sex: woman;2022;55.0;4250.0;77.3;50.0;263.9;4.8;0.0;3986.1;72.5;50.0
48;All gifts;All gifts;All donors;Sex: unknown;2007;10.1;448.0;44.5;26.1;43.6;4.3;1.1;404.4;40.1;25.0
49;All gifts;All gifts;All donors;Sex: unknown;2008;8.9;584.6;65.7;26.4;34.7;3.9;1.1;550.0;61.8;25.0
50;All gifts;All gifts;All donors;Sex: unknown;2009;9.4;433.8;46.4;27.3;43.9;4.7;1.2;389.9;41.7;26.2
51;All gifts;All gifts;All donors;Sex: unknown;2010;4.3;277.5;64.1;30.0;32.4;7.5;2.3;245.1;56.6;26.7
52;All gifts;All gifts;All donors;Sex: unknown;2011;2.8;187.8;67.6;32.4;18.1;6.5;2.7;169.6;61.1;29.3
53;All gifts;All gifts;All donors;Sex: unknown;2012;2.7;250.2;91.3;36.1;24.1;8.8;3.0;226.0;82.5;32.0
54;All gifts;All gifts;All donors;Sex: unknown;2013;4.1;290.8;71.0;49.4;23.3;5.7;1.5;267.5;65.3;45.0
55;All gifts;All gifts;All donors;Sex: unknown;2014;6.0;418.2;69.7;50.0;21.3;3.6;0.0;396.9;66.1;50.0
56;All gifts;All gifts;All donors;Sex: unknown;2015;2.6;218.1;83.0;50.0;23.0;8.8;4.5;195.0;74.2;45.5
57;All gifts;All gifts;All donors;Sex: unknown;2016;2.8;220.1;80.0;50.0;24.5;8.9;4.2;195.6;71.0;45.5
58;All gifts;All gifts;All donors;Sex: unknown;2017;3.1;363.8;115.8;50.0;37.1;11.8;2.7;326.7;104.0;50.0
59;All gifts;All gifts;All donors;Sex: unknown;2018;2.8;234.2;83.3;55.0;22.3;7.9;4.3;212.0;75.4;50.0
60;All gifts;All gifts;All donors;Sex: unknown;2019;3.0;287.2;97.0;57.7;24.4;8.2;4.5;262.7;88.8;50.5
61;All gifts;All gifts;All donors;Sex: unknown;2020;3.1;368.1;119.0;60.0;31.6;10.2;4.9;336.5;108.8;54.1
62;All gifts;All gifts;All donors;Sex: unknown;2021;3.4;497.8;145.5;71.5;39.2;11.5;5.6;458.6;134.0;63.7
63;All gifts;All gifts;All donors;Sex: unknown;2022;3.4;301.8;88.3;60.0;29.6;8.7;4.4;272.3;79.7;51.0
64;All gifts;All gifts;All donors;Age: 0 to 24 years;2007;7.4;215.3;29.3;22.0;16.3;2.2;0.7;199.0;27.1;22.0
65;All gifts;All gifts;All donors;Age: 0 to 24 years;2008;7.1;220.3;30.8;22.4;17.6;2.5;0.7;202.7;28.4;22.4
66;All gifts;All gifts;All donors;Age: 0 to 24 years;2009;8.7;330.7;38.0;24.8;33.6;3.9;1.1;297.1;34.2;22.8
67;All gifts;All gifts;All donors;Age: 0 to 24 years;2010;4.8;215.6;44.8;24.0;18.7;3.9;0.1;196.9;40.9;24.0
68;All gifts;All gifts;All donors;Age: 0 to 24 years;2011;5.4;253.4;47.2;26.0;19.8;3.7;0.0;233.6;43.6;25.0
69;All gifts;All gifts;All donors;Age: 0 to 24 years;2012;4.8;261.3;54.1;25.0;18.7;3.9;0.0;242.6;50.3;25.0
70;All gifts;All gifts;All donors;Age: 0 to 24 years;2013;5.5;575.6;105.1;30.0;24.4;4.5;0.0;551.1;100.6;27.5
71;All gifts;All gifts;All donors;Age: 0 to 24 years;2014;8.5;580.4;68.5;50.0;19.5;2.3;0.0;560.9;66.2;50.0
72;All gifts;All gifts;All donors;Age: 0 to 24 years;2015;5.0;463.7;93.6;27.6;21.3;4.3;0.0;442.4;89.3;25.3
73;All gifts;All gifts;All donors;Age: 0 to 24 years;2016;4.9;344.1;70.7;30.0;22.0;4.5;0.0;322.1;66.2;27.8
74;All gifts;All gifts;All donors;Age: 0 to 24 years;2017;7.4;834.3;112.0;50.0;49.6;6.7;0.0;784.7;105.4;50.0
75;All gifts;All gifts;All donors;Age: 0 to 24 years;2018;6.6;800.5;120.6;50.0;32.5;4.9;0.0;768.1;115.7;50.0
76;All gifts;All gifts;All donors;Age: 0 to 24 years;2019;7.3;1207.0;165.3;50.0;45.5;6.2;0.0;1161.6;159.1;50.0
77;All gifts;All gifts;All donors;Age: 0 to 24 years;2020;8.8;1368.5;155.9;50.0;68.1;7.8;0.0;1300.5;148.2;50.0
78;All gifts;All gifts;All donors;Age: 0 to 24 years;2021;11.6;1863.6;161.0;67.3;83.4;7.2;0.0;1780.2;153.8;65.0
79;All gifts;All gifts;All donors;Age: 0 to 24 years;2022;20.9;1582.9;75.6;50.0;53.3;2.5;0.0;1529.5;73.1;50.0
80;All gifts;All gifts;All donors;Age: 25 to 44 years;2007;44.8;1955.8;43.6;24.1;151.5;3.4;1.0;1804.3;40.3;23.0
81;All gifts;All gifts;All donors;Age: 25 to 44 years;2008;42.7;2036.0;47.6;25.0;166.4;3.9;1.0;1869.6;43.7;24.0
82;All gifts;All gifts;All donors;Age: 25 to 44 years;2009;46.7;2061.0;44.2;27.3;159.9;3.4;1.1;1901.0;40.7;26.2
83;All gifts;All gifts;All donors;Age: 25 to 44 years;2010;27.6;1966.6;71.2;25.3;150.9;5.5;1.0;1815.6;65.7;24.0
84;All gifts;All gifts;All donors;Age: 25 to 44 years;2011;27.8;2178.0;78.3;28.0;117.5;4.2;0.9;2060.5;74.1;26.2
85;All gifts;All gifts;All donors;Age: 25 to 44 years;2012;25.3;2436.1;96.2;30.0;128.0;5.1;1.0;2308.1;91.1;30.0
86;All gifts;All gifts;All donors;Age: 25 to 44 years;2013;47.8;3726.5;78.0;46.1;119.5;2.5;0.0;3607.0;75.5;45.0
87;All gifts;All gifts;All donors;Age: 25 to 44 years;2014;80.4;5667.8;70.5;50.0;121.3;1.5;0.0;5546.5;69.0;50.0
88;All gifts;All gifts;All donors;Age: 25 to 44 years;2015;25.3;2658.3;104.9;35.0;122.0;4.8;0.3;2536.3;100.1;32.9
89;All gifts;All gifts;All donors;Age: 25 to 44 years;2016;26.2;2921.5;111.6;35.0;138.2;5.3;0.0;2783.3;106.4;32.9
90;All gifts;All gifts;All donors;Age: 25 to 44 years;2017;38.7;3579.6;92.6;50.0;139.9;3.6;0.0;3439.7;89.0;47.0
91;All gifts;All gifts;All donors;Age: 25 to 44 years;2018;32.5;3452.1;106.1;50.0;144.0;4.4;0.0;3308.1;101.6;46.8
92;All gifts;All gifts;All donors;Age: 25 to 44 years;2019;33.7;3535.9;104.9;50.0;152.3;4.5;0.0;3383.6;100.4;50.0
93;All gifts;All gifts;All donors;Age: 25 to 44 years;2020;39.7;4701.2;118.3;50.0;205.9;5.2;0.0;4495.3;113.1;50.0
94;All gifts;All gifts;All donors;Age: 25 to 44 years;2021;47.5;6293.1;132.4;53.9;245.2;5.2;0.0;6047.9;127.2;50.0
95;All gifts;All gifts;All donors;Age: 25 to 44 years;2022;59.2;4953.4;83.7;50.0;191.8;3.2;0.0;4761.7;80.5;50.0
96;All gifts;All gifts;All donors;Age: 45 to 64 years;2007;29.8;1242.7;41.6;26.5;109.2;3.7;1.1;1133.5;38.0;25.4
97;All gifts;All gifts;All donors;Age: 45 to 64 years;2008;29.6;1371.5;46.4;26.9;109.4;3.7;1.1;1262.1;42.7;25.7
98;All gifts;All gifts;All donors;Age: 45 to 64 years;2009;32.7;1323.3;40.5;27.3;101.7;3.1;1.1;1221.6;37.4;26.2
99;All gifts;All gifts;All donors;Age: 45 to 64 years;2010;16.5;1057.5;63.9;36.3;114.1;6.9;3.4;943.4;57.0;32.5
100;All gifts;All gifts;All donors;Age: 45 to 64 years;2011;15.0;954.7;63.8;40.0;96.6;6.5;3.9;858.1;57.4;36.5
101;All gifts;All gifts;All donors;Age: 45 to 64 years;2012;16.0;1205.6;75.3;42.8;116.5;7.3;4.0;1089.2;68.0;37.4
102;All gifts;All gifts;All donors;Age: 45 to 64 years;2013;38.0;2493.6;65.7;46.7;140.3;3.7;1.1;2353.3;62.0;45.0
103;All gifts;All gifts;All donors;Age: 45 to 64 years;2014;58.4;3509.4;60.1;50.0;109.2;1.9;0.0;3400.2;58.3;49.8
104;All gifts;All gifts;All donors;Age: 45 to 64 years;2015;18.6;1313.9;70.7;43.9;131.3;7.1;4.0;1182.6;63.7;40.0
105;All gifts;All gifts;All donors;Age: 45 to 64 years;2016;19.5;1563.5;80.2;50.0;144.2;7.4;4.5;1419.4;72.8;45.3
106;All gifts;All gifts;All donors;Age: 45 to 64 years;2017;21.8;1629.0;74.7;50.0;159.8;7.3;4.5;1469.2;67.4;45.5
107;All gifts;All gifts;All donors;Age: 45 to 64 years;2018;23.4;2020.4;86.3;50.0;184.3;7.9;4.7;1836.1;78.4;45.5
108;All gifts;All gifts;All donors;Age: 45 to 64 years;2019;24.9;2345.6;94.1;55.0;213.9;8.6;5.0;2131.7;85.5;50.0
109;All gifts;All gifts;All donors;Age: 45 to 64 years;2020;28.5;2542.6;89.3;55.5;258.1;9.1;5.1;2284.5;80.3;50.5
110;All gifts;All gifts;All donors;Age: 45 to 64 years;2021;32.0;3196.0;99.7;66.6;292.0;9.1;6.2;2904.0;90.6;60.0
111;All gifts;All gifts;All donors;Age: 45 to 64 years;2022;30.2;2714.7;89.8;69.3;274.7;9.1;6.5;2440.0;80.7;61.7
112;All gifts;All gifts;All donors;Age: 65 years or older;2007;1.6;63.8;41.2;26.5;11.8;7.6;2.9;52.1;33.6;24.6
113;All gifts;All gifts;All donors;Age: 65 years or older;2008;1.5;59.9;40.9;26.9;9.8;6.7;2.4;50.0;34.2;24.9
114;All gifts;All gifts;All donors;Age: 65 years or older;2009;1.5;61.6;40.4;26.5;9.2;6.1;2.3;52.4;34.3;24.3
115;All gifts;All gifts;All donors;Age: 65 years or older;2010;1.2;68.2;55.1;29.3;11.1;9.0;4.5;57.1;46.1;25.0
116;All gifts;All gifts;All donors;Age: 65 years or older;2011;1.1;56.5;50.7;27.2;9.1;8.1;3.9;47.5;42.6;23.0
117;All gifts;All gifts;All donors;Age: 65 years or older;2012;1.2;65.2;53.1;27.2;12.1;9.8;4.0;53.1;43.3;23.0
118;All gifts;All gifts;All donors;Age: 65 years or older;2013;2.5;116.2;47.0;32.0;13.0;5.3;2.0;103.2;41.8;28.0
119;All gifts;All gifts;All donors;Age: 65 years or older;2014;3.4;191.9;57.0;40.0;12.4;3.7;0.0;179.5;53.3;36.1
120;All gifts;All gifts;All donors;Age: 65 years or older;2015;1.3;77.8;58.4;26.9;11.1;8.3;3.8;66.7;50.1;23.0
121;All gifts;All gifts;All donors;Age: 65 years or older;2016;1.5;92.6;63.9;29.6;14.5;10.0;4.3;78.1;53.9;23.3
122;All gifts;All gifts;All donors;Age: 65 years or older;2017;1.7;100.6;60.3;30.0;20.5;12.3;4.4;80.1;48.0;24.7
123;All gifts;All gifts;All donors;Age: 65 years or older;2018;1.8;97.6;53.3;31.7;16.4;9.0;4.8;81.2;44.4;26.5
124;All gifts;All gifts;All donors;Age: 65 years or older;2019;2.0;104.9;52.3;32.0;18.4;9.2;4.8;86.5;43.1;25.2
125;All gifts;All gifts;All donors;Age: 65 years or older;2020;2.3;131.7;56.7;34.8;22.9;9.9;4.8;108.7;46.9;28.7
126;All gifts;All gifts;All donors;Age: 65 years or older;2021;2.6;152.4;59.5;38.6;25.3;9.9;5.0;127.1;49.6;31.9
127;All gifts;All gifts;All donors;Age: 65 years or older;2022;2.7;158.1;59.2;43.7;25.0;9.4;5.4;133.0;49.8;35.7
128;All gifts;All gifts;All donors;Age: unknown;2007;10.1;448.0;44.5;26.1;43.6;4.3;1.1;404.4;40.1;25.0
129;All gifts;All gifts;All donors;Age: unknown;2008;8.9;584.6;65.7;26.4;34.7;3.9;1.1;550.0;61.8;25.0
130;All gifts;All gifts;All donors;Age: unknown;2009;9.4;433.8;46.4;27.3;43.9;4.7;1.2;389.9;41.7;26.2
131;All gifts;All gifts;All donors;Age: unknown;2010;4.3;277.5;64.1;30.0;32.4;7.5;2.3;245.1;56.6;26.7
132;All gifts;All gifts;All donors;Age: unknown;2011;2.8;187.8;67.6;32.4;18.1;6.5;2.7;169.6;61.1;29.3
133;All gifts;All gifts;All donors;Age: unknown;2012;2.7;250.2;91.3;36.1;24.1;8.8;3.0;226.0;82.5;32.0
134;All gifts;All gifts;All donors;Age: unknown;2013;4.1;290.8;71.0;49.4;23.3;5.7;1.5;267.5;65.3;45.0
135;All gifts;All gifts;All donors;Age: unknown;2014;6.0;418.2;69.7;50.0;21.3;3.6;0.0;396.9;66.1;50.0
136;All gifts;All gifts;All donors;Age: unknown;2015;2.6;218.1;83.0;50.0;23.0;8.8;4.5;195.0;74.2;45.5
137;All gifts;All gifts;All donors;Age: unknown;2016;2.8;220.1;80.0;50.0;24.5;8.9;4.2;195.6;71.0;45.5
138;All gifts;All gifts;All donors;Age: unknown;2017;3.1;363.8;115.8;50.0;37.1;11.8;2.7;326.7;104.0;50.0
139;All gifts;All gifts;All donors;Age: unknown;2018;2.8;234.2;83.3;55.0;22.3;7.9;4.3;212.0;75.4;50.0
140;All gifts;All gifts;All donors;Age: unknown;2019;3.0;287.2;97.0;57.7;24.4;8.2;4.5;262.7;88.8;50.5
141;All gifts;All gifts;All donors;Age: unknown;2020;3.1;368.1;119.0;60.0;31.6;10.2;4.9;336.5;108.8;54.1
142;All gifts;All gifts;All donors;Age: unknown;2021;3.4;497.8;145.5;71.5;39.2;11.5;5.6;458.6;134.0;63.7
143;All gifts;All gifts;All donors;Age: unknown;2022;3.4;301.8;88.3;60.0;29.6;8.7;4.4;272.3;79.7;51.0
144;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2007;70.3;2821.4;40.1;25.7;227.0;3.2;1.1;2594.4;36.9;24.4
145;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2008;69.9;3146.0;45.0;26.1;246.3;3.5;1.1;2899.7;41.5;25.0
146;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2009;77.7;3233.8;41.6;27.3;252.6;3.3;1.1;2981.2;38.4;26.2
147;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2010;43.9;2732.9;62.3;27.4;233.5;5.3;2.0;2499.4;56.9;26.0
148;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2011;40.9;2743.4;67.0;31.7;210.0;5.1;2.0;2533.4;61.9;30.0
149;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2012;39.4;3331.1;84.6;35.0;245.9;6.2;2.2;3085.2;78.3;32.0
150;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2013;82.0;5944.2;72.5;47.0;251.4;3.1;0.0;5692.8;69.5;45.0
151;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2014;131.0;8383.6;64.0;50.0;223.3;1.7;0.0;8160.2;62.3;50.0
152;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2015;40.3;3709.6;92.2;39.0;247.7;6.2;2.2;3461.9;86.0;35.6
153;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2016;41.9;4134.8;98.6;41.1;284.2;6.8;2.3;3850.7;91.8;38.7
154;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2017;55.6;4800.0;86.3;50.0;319.3;5.7;1.5;4480.7;80.6;46.8
155;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2018;51.6;5206.2;100.9;50.0;337.2;6.5;2.3;4869.0;94.4;45.6
156;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2019;54.4;5436.9;99.9;50.0;378.9;7.0;2.5;5058.0;92.9;50.0
157;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2020;62.5;7082.2;113.4;53.7;483.7;7.7;2.8;6598.5;105.6;50.0
158;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2021;71.8;8907.3;124.1;60.0;560.9;7.8;2.9;8346.4;116.3;55.1
159;All gifts;All gifts;All donors;Home ownership: owner-occupied home;2022;81.4;7105.5;87.3;55.0;479.7;5.9;1.1;6625.8;81.4;50.1
160;All gifts;All gifts;All donors;Home ownership: rent;2007;13.3;656.2;49.4;22.9;61.8;4.7;1.0;594.4;44.8;22.0
161;All gifts;All gifts;All donors;Home ownership: rent;2008;11.0;541.5;49.2;22.4;56.9;5.2;0.9;484.6;44.0;22.4
162;All gifts;All gifts;All donors;Home ownership: rent;2009;11.9;542.8;45.8;26.1;51.9;4.4;1.1;490.9;41.4;25.0
163;All gifts;All gifts;All donors;Home ownership: rent;2010;6.3;574.8;90.8;24.0;61.2;9.7;1.0;513.6;81.1;24.0
164;All gifts;All gifts;All donors;Home ownership: rent;2011;8.2;694.9;84.5;27.2;32.6;4.0;0.3;662.3;80.6;26.2
165;All gifts;All gifts;All donors;Home ownership: rent;2012;8.0;633.9;79.7;27.8;29.0;3.7;0.5;604.8;76.0;26.2
166;All gifts;All gifts;All donors;Home ownership: rent;2013;11.6;963.6;82.8;33.3;45.4;3.9;0.0;918.1;78.9;31.0
167;All gifts;All gifts;All donors;Home ownership: rent;2014;19.5;1559.7;79.9;50.0;38.7;2.0;0.0;1520.9;77.9;50.0
168;All gifts;All gifts;All donors;Home ownership: rent;2015;9.9;801.6;81.1;33.0;37.8;3.8;0.0;763.8;77.3;31.1
169;All gifts;All gifts;All donors;Home ownership: rent;2016;10.0;782.5;78.4;32.7;34.4;3.4;0.0;748.1;75.0;30.0
170;All gifts;All gifts;All donors;Home ownership: rent;2017;13.9;1336.1;96.3;50.0;50.2;3.6;0.0;1285.9;92.7;47.0
171;All gifts;All gifts;All donors;Home ownership: rent;2018;12.7;1159.9;91.1;47.0;39.7;3.1;0.0;1120.3;87.9;45.0
172;All gifts;All gifts;All donors;Home ownership: rent;2019;13.4;1750.7;130.5;50.0;50.9;3.8;0.0;1699.8;126.7;45.5
173;All gifts;All gifts;All donors;Home ownership: rent;2020;16.7;1656.5;99.1;47.2;70.8;4.2;0.0;1585.6;94.9;44.8
174;All gifts;All gifts;All donors;Home ownership: rent;2021;21.8;2590.6;118.6;50.2;84.6;3.9;0.0;2506.0;114.7;50.0
175;All gifts;All gifts;All donors;Home ownership: rent;2022;31.5;2295.3;72.9;50.0;64.4;2.0;0.0;2230.9;70.9;45.6
176;All gifts;All gifts;All donors;Home ownership: institutional;2007;0.1;;;;;;;;;
177;All gifts;All gifts;All donors;Home ownership: institutional;2008;0.1;;;;;;;;;
178;All gifts;All gifts;All donors;Home ownership: institutional;2009;0.0;;;;;;;;;
179;All gifts;All gifts;All donors;Home ownership: institutional;2010;0.0;;;;;;;;;
180;All gifts;All gifts;All donors;Home ownership: institutional;2011;0.1;;;;;;;;;
181;All gifts;All gifts;All donors;Home ownership: institutional;2012;0.1;;;;;;;;;
182;All gifts;All gifts;All donors;Home ownership: institutional;2013;0.1;;;;;;;;;
183;All gifts;All gifts;All donors;Home ownership: institutional;2014;0.1;;;;;;;;;
184;All gifts;All gifts;All donors;Home ownership: institutional;2015;0.1;;;;;;;;;
185;All gifts;All gifts;All donors;Home ownership: institutional;2016;0.1;;;;;;;;;
186;All gifts;All gifts;All donors;Home ownership: institutional;2017;0.1;;;;;;;;;
187;All gifts;All gifts;All donors;Home ownership: institutional;2018;0.1;;;;;;;;;
188;All gifts;All gifts;All donors;Home ownership: institutional;2019;0.1;5.9;54.9;25.5;0.3;3.1;1.0;5.5;51.8;25.0
189;All gifts;All gifts;All donors;Home ownership: institutional;2020;0.1;5.1;43.4;25.3;0.5;4.3;1.5;4.6;39.2;25.0
190;All gifts;All gifts;All donors;Home ownership: institutional;2021;0.1;6.9;58.5;35.6;0.5;4.0;1.7;6.4;54.5;34.3
191;All gifts;All gifts;All donors;Home ownership: institutional;2022;0.1;8.1;58.0;30.3;0.7;4.9;0.2;7.4;53.1;28.6
192;All gifts;All gifts;All donors;Home ownership: unknown;2007;10.1;448.0;44.5;26.1;43.6;4.3;1.1;404.4;40.1;25.0
193;All gifts;All gifts;All donors;Home ownership: unknown;2008;8.9;584.6;65.7;26.4;34.7;3.9;1.1;550.0;61.8;25.0
194;All gifts;All gifts;All donors;Home ownership: unknown;2009;9.4;433.8;46.4;27.3;43.9;4.7;1.2;389.9;41.7;26.2
195;All gifts;All gifts;All donors;Home ownership: unknown;2010;4.3;277.5;64.1;30.0;32.4;7.5;2.3;245.1;56.6;26.7
196;All gifts;All gifts;All donors;Home ownership: unknown;2011;2.8;187.8;67.6;32.4;18.1;6.5;2.7;169.6;61.1;29.3
197;All gifts;All gifts;All donors;Home ownership: unknown;2012;2.7;250.2;91.3;36.1;24.1;8.8;3.0;226.0;82.5;32.0
198;All gifts;All gifts;All donors;Home ownership: unknown;2013;4.1;290.8;71.0;49.4;23.3;5.7;1.5;267.5;65.3;45.0
199;All gifts;All gifts;All donors;Home ownership: unknown;2014;6.0;418.2;69.7;50.0;21.3;3.6;0.0;396.9;66.1;50.0
