ID;SectorBranchesSIC2008;CompanySize;InternationalityOfCompany;CharacteristicsOfJobsAndEmployees;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;PerJobPerWeekIncludingOvertime_4;PerJobPerWeekExcludingOvertime_5
77;A-U All economic activities;Total employed persons;Total ;55 years or older;2015;1414.0;1080.0;24.7;29.4;29.0
78;A-U All economic activities;Total employed persons;Total ;55 years or older;2016;1477.0;1132.0;24.9;29.6;29.2
79;A-U All economic activities;Total employed persons;Total ;55 years or older;2017;1568.0;1199.0;24.9;29.7;29.3
80;A-U All economic activities;Total employed persons;Total ;55 years or older;2018;1500.0;1139.0;26.7;29.2;28.9
81;A-U All economic activities;Total employed persons;Total ;1 Lower education;2010;;;;;
82;A-U All economic activities;Total employed persons;Total ;1 Lower education;2011;;;;;
83;A-U All economic activities;Total employed persons;Total ;1 Lower education;2012;;;;;
84;A-U All economic activities;Total employed persons;Total ;1 Lower education;2013;1807.0;1197.0;12.9;23.7;23.2
85;A-U All economic activities;Total employed persons;Total ;1 Lower education;2014;1759.0;1163.0;12.8;23.6;23.1
86;A-U All economic activities;Total employed persons;Total ;1 Lower education;2015;1744.0;1146.0;12.8;23.4;22.9
87;A-U All economic activities;Total employed persons;Total ;1 Lower education;2016;1739.0;1143.0;12.5;23.2;22.7
88;A-U All economic activities;Total employed persons;Total ;1 Lower education;2017;1780.0;1166.0;12.4;23.2;22.7
89;A-U All economic activities;Total employed persons;Total ;1 Lower education;2018;1765.0;1155.0;12.6;23.4;22.9
90;A-U All economic activities;Total employed persons;Total ;2 Intermediate education;2010;;;;;
91;A-U All economic activities;Total employed persons;Total ;2 Intermediate education;2011;;;;;
92;A-U All economic activities;Total employed persons;Total ;2 Intermediate education;2012;;;;;
93;A-U All economic activities;Total employed persons;Total ;2 Intermediate education;2013;3554.0;2618.0;16.3;26.4;26.0
94;A-U All economic activities;Total employed persons;Total ;2 Intermediate education;2014;3531.0;2592.0;16.1;26.3;26.0
95;A-U All economic activities;Total employed persons;Total ;2 Intermediate education;2015;3569.0;2614.0;16.3;26.3;25.9
96;A-U All economic activities;Total employed persons;Total ;2 Intermediate education;2016;3646.0;2685.0;16.2;26.3;26.0
97;A-U All economic activities;Total employed persons;Total ;2 Intermediate education;2017;3736.0;2751.0;16.2;26.6;26.2
98;A-U All economic activities;Total employed persons;Total ;2 Intermediate education;2018;3770.0;2785.0;16.7;27.1;26.7
99;A-U All economic activities;Total employed persons;Total ;3 Higher education;2010;;;;;
100;A-U All economic activities;Total employed persons;Total ;3 Higher education;2011;;;;;
101;A-U All economic activities;Total employed persons;Total ;3 Higher education;2012;;;;;
102;A-U All economic activities;Total employed persons;Total ;3 Higher education;2013;2405.0;1970.0;25.7;29.4;29.3
103;A-U All economic activities;Total employed persons;Total ;3 Higher education;2014;2436.0;1998.0;25.6;29.5;29.4
104;A-U All economic activities;Total employed persons;Total ;3 Higher education;2015;2489.0;2045.0;26.1;29.7;29.5
105;A-U All economic activities;Total employed persons;Total ;3 Higher education;2016;2524.0;2085.0;26.1;29.8;29.7
106;A-U All economic activities;Total employed persons;Total ;3 Higher education;2017;2594.0;2140.0;26.2;30.0;29.9
107;A-U All economic activities;Total employed persons;Total ;3 Higher education;2018;2797.0;2308.0;26.2;30.5;30.3
108;A-U All economic activities;Total employed persons;Total ;Low (among lowest 30 percent);2010;1572.0;852.0;8.29;21.0;20.7
109;A-U All economic activities;Total employed persons;Total ;Low (among lowest 30 percent);2011;1571.0;832.0;8.37;20.6;20.2
110;A-U All economic activities;Total employed persons;Total ;Low (among lowest 30 percent);2012;1595.0;835.0;8.62;20.4;20.0
111;A-U All economic activities;Total employed persons;Total ;Low (among lowest 30 percent);2013;1584.0;844.0;8.63;21.0;20.6
112;A-U All economic activities;Total employed persons;Total ;Low (among lowest 30 percent);2014;1543.0;816.0;8.48;20.9;20.5
113;A-U All economic activities;Total employed persons;Total ;Low (among lowest 30 percent);2015;1569.0;822.0;8.56;20.8;20.3
114;A-U All economic activities;Total employed persons;Total ;Low (among lowest 30 percent);2016;1559.0;811.0;8.38;20.6;20.2
115;A-U All economic activities;Total employed persons;Total ;Low (among lowest 30 percent);2017;1577.0;816.0;8.45;20.5;20.1
116;A-U All economic activities;Total employed persons;Total ;Low (among lowest 30 percent);2018;1637.0;855.0;8.85;20.6;20.3
117;A-U All economic activities;Total employed persons;Total ;Wage: middle;2010;4364.0;3401.0;16.8;30.0;29.4
118;A-U All economic activities;Total employed persons;Total ;Wage: middle;2011;4413.0;3403.0;16.9;29.6;29.1
119;A-U All economic activities;Total employed persons;Total ;Wage: middle;2012;4366.0;3365.0;17.4;29.7;29.2
120;A-U All economic activities;Total employed persons;Total ;Wage: middle;2013;4270.0;3288.0;17.7;29.7;29.2
121;A-U All economic activities;Total employed persons;Total ;Wage: middle;2014;4248.0;3256.0;17.7;29.6;29.1
122;A-U All economic activities;Total employed persons;Total ;Wage: middle;2015;4281.0;3283.0;18.0;29.7;29.2
123;A-U All economic activities;Total employed persons;Total ;Wage: middle;2016;4320.0;3326.0;17.9;29.9;29.4
124;A-U All economic activities;Total employed persons;Total ;Wage: middle;2017;4443.0;3416.0;17.9;30.0;29.5
125;A-U All economic activities;Total employed persons;Total ;Wage: middle;2018;4563.0;3529.0;18.4;30.2;29.7
126;A-U All economic activities;Total employed persons;Total ;High (among highest 20 percent);2010;1938.0;1679.0;33.9;33.0;32.8
127;A-U All economic activities;Total employed persons;Total ;High (among highest 20 percent);2011;1970.0;1701.0;34.2;32.8;32.6
128;A-U All economic activities;Total employed persons;Total ;High (among highest 20 percent);2012;1939.0;1678.0;35.0;33.0;32.8
129;A-U All economic activities;Total employed persons;Total ;High (among highest 20 percent);2013;1911.0;1654.0;35.6;33.0;32.9
130;A-U All economic activities;Total employed persons;Total ;High (among highest 20 percent);2014;1934.0;1680.0;35.6;33.1;33.0
131;A-U All economic activities;Total employed persons;Total ;High (among highest 20 percent);2015;1953.0;1700.0;36.7;33.2;33.1
132;A-U All economic activities;Total employed persons;Total ;High (among highest 20 percent);2016;2030.0;1776.0;36.5;33.4;33.3
133;A-U All economic activities;Total employed persons;Total ;High (among highest 20 percent);2017;2091.0;1824.0;36.6;33.4;33.3
134;A-U All economic activities;Total employed persons;Total ;High (among highest 20 percent);2018;2133.0;1864.0;37.3;33.5;33.4
135;A-U All economic activities;Total employed persons;Total ;Dutch;2010;7452.0;5601.0;20.5;28.8;28.4
136;A-U All economic activities;Total employed persons;Total ;Dutch;2011;7507.0;5585.0;20.8;28.5;28.1
137;A-U All economic activities;Total employed persons;Total ;Dutch;2012;7445.0;5520.0;21.3;28.4;28.1
138;A-U All economic activities;Total employed persons;Total ;Dutch;2013;7308.0;5424.0;21.6;28.6;28.2
139;A-U All economic activities;Total employed persons;Total ;Dutch;2014;7261.0;5382.0;21.7;28.5;28.2
140;A-U All economic activities;Total employed persons;Total ;Dutch;2015;7312.0;5414.0;22.3;28.5;28.2
141;A-U All economic activities;Total employed persons;Total ;Dutch;2016;7387.0;5492.0;22.4;28.7;28.4
142;A-U All economic activities;Total employed persons;Total ;Dutch;2017;7528.0;5586.0;22.5;28.7;28.4
143;A-U All economic activities;Total employed persons;Total ;Dutch;2018;7665.0;5705.0;23.0;28.8;28.5
144;A-U All economic activities;Total employed persons;Total ;Belgian;2010;28.0;23.0;24.0;31.5;31.1
145;A-U All economic activities;Total employed persons;Total ;Belgian;2011;28.0;23.0;24.7;31.2;30.8
146;A-U All economic activities;Total employed persons;Total ;Belgian;2012;28.0;22.0;25.6;31.3;30.9
147;A-U All economic activities;Total employed persons;Total ;Belgian;2013;26.0;21.0;26.8;31.7;31.2
148;A-U All economic activities;Total employed persons;Total ;Belgian;2014;25.0;20.0;27.2;31.5;31.1
149;A-U All economic activities;Total employed persons;Total ;Belgian;2015;26.0;21.0;28.3;31.6;31.2
150;A-U All economic activities;Total employed persons;Total ;Belgian;2016;26.0;21.0;28.6;31.8;31.4
151;A-U All economic activities;Total employed persons;Total ;Belgian;2017;27.0;22.0;28.9;31.8;31.4
152;A-U All economic activities;Total employed persons;Total ;Belgian;2018;23.0;18.0;27.2;31.6;31.3
153;A-U All economic activities;Total employed persons;Total ;British;2010;23.0;20.0;30.6;33.8;33.4
154;A-U All economic activities;Total employed persons;Total ;British;2011;24.0;20.0;30.7;33.6;33.2
155;A-U All economic activities;Total employed persons;Total ;British;2012;23.0;20.0;31.8;33.5;33.2
156;A-U All economic activities;Total employed persons;Total ;British;2013;23.0;19.0;32.7;33.7;33.4
157;A-U All economic activities;Total employed persons;Total ;British;2014;22.0;19.0;33.6;33.9;33.6
158;A-U All economic activities;Total employed persons;Total ;British;2015;23.0;19.0;35.1;33.9;33.6
159;A-U All economic activities;Total employed persons;Total ;British;2016;23.0;20.0;34.1;33.9;33.6
160;A-U All economic activities;Total employed persons;Total ;British;2017;24.0;20.0;33.0;33.8;33.5
161;A-U All economic activities;Total employed persons;Total ;British;2018;25.0;22.0;32.6;33.9;33.7
162;A-U All economic activities;Total employed persons;Total ;German;2010;56.0;45.0;18.2;32.3;31.4
163;A-U All economic activities;Total employed persons;Total ;German;2011;56.0;45.0;18.8;32.2;31.3
164;A-U All economic activities;Total employed persons;Total ;German;2012;52.0;42.0;20.0;32.2;31.4
165;A-U All economic activities;Total employed persons;Total ;German;2013;46.0;37.0;21.7;32.5;31.7
166;A-U All economic activities;Total employed persons;Total ;German;2014;43.0;35.0;22.4;32.7;32.0
167;A-U All economic activities;Total employed persons;Total ;German;2015;42.0;35.0;23.5;32.6;31.9
168;A-U All economic activities;Total employed persons;Total ;German;2016;42.0;35.0;23.8;32.7;32.0
169;A-U All economic activities;Total employed persons;Total ;German;2017;43.0;36.0;24.2;32.7;32.0
170;A-U All economic activities;Total employed persons;Total ;German;2018;40.0;32.0;25.3;31.8;31.3
171;A-U All economic activities;Total employed persons;Total ;Indian;2010;5.0;4.0;22.4;36.1;36.0
172;A-U All economic activities;Total employed persons;Total ;Indian;2011;5.0;5.0;23.2;36.3;36.2
173;A-U All economic activities;Total employed persons;Total ;Indian;2012;6.0;5.0;23.2;36.8;36.7
174;A-U All economic activities;Total employed persons;Total ;Indian;2013;6.0;6.0;24.1;37.5;37.4
175;A-U All economic activities;Total employed persons;Total ;Indian;2014;7.0;7.0;24.8;37.8;37.7
176;A-U All economic activities;Total employed persons;Total ;Indian;2015;8.0;8.0;25.1;38.1;38.0
177;A-U All economic activities;Total employed persons;Total ;Indian;2016;10.0;9.0;24.3;38.3;38.2
178;A-U All economic activities;Total employed persons;Total ;Indian;2017;12.0;11.0;24.6;38.5;38.4
179;A-U All economic activities;Total employed persons;Total ;Indian;2018;16.0;15.0;25.0;38.5;38.4
180;A-U All economic activities;Total employed persons;Total ;Polish;2010;96.0;78.0;11.0;33.2;31.8
181;A-U All economic activities;Total employed persons;Total ;Polish;2011;113.0;91.0;11.1;33.3;31.8
182;A-U All economic activities;Total employed persons;Total ;Polish;2012;124.0;99.0;11.4;33.3;31.8
183;A-U All economic activities;Total employed persons;Total ;Polish;2013;97.0;78.0;12.1;33.5;31.9
184;A-U All economic activities;Total employed persons;Total ;Polish;2014;105.0;86.0;12.0;34.1;32.4
185;A-U All economic activities;Total employed persons;Total ;Polish;2015;113.0;93.0;12.3;34.1;32.4
186;A-U All economic activities;Total employed persons;Total ;Polish;2016;126.0;105.0;12.5;34.6;32.8
187;A-U All economic activities;Total employed persons;Total ;Polish;2017;140.0;117.0;12.7;35.0;33.2
188;A-U All economic activities;Total employed persons;Total ;Polish;2018;178.0;149.0;13.1;35.0;33.2
189;A-U All economic activities;Total employed persons;Total ;Other;2010;214.0;162.0;18.1;29.6;29.1
190;A-U All economic activities;Total employed persons;Total ;Other;2011;221.0;167.0;18.3;29.6;29.1
191;A-U All economic activities;Total employed persons;Total ;Other;2012;222.0;168.0;18.9;29.8;29.3
192;A-U All economic activities;Total employed persons;Total ;Other;2013;260.0;199.0;18.1;30.7;30.0
193;A-U All economic activities;Total employed persons;Total ;Other;2014;262.0;203.0;18.5;31.0;30.2
194;A-U All economic activities;Total employed persons;Total ;Other;2015;279.0;216.0;18.9;31.1;30.4
195;A-U All economic activities;Total employed persons;Total ;Other;2016;295.0;231.0;18.7;31.4;30.7
196;A-U All economic activities;Total employed persons;Total ;Other;2017;336.0;264.0;18.6;31.7;30.9
197;A-U All economic activities;Total employed persons;Total ;Other;2018;386.0;307.0;19.7;32.0;31.2
198;A-U All economic activities;Total employed persons;Domestic control;Total;2010;;;;;
199;A-U All economic activities;Total employed persons;Domestic control;Total;2011;;;;;
200;A-U All economic activities;Total employed persons;Domestic control;Total;2012;1346.0;1007.0;21.1;29.5;29.0
201;A-U All economic activities;Total employed persons;Domestic control;Total;2013;1244.0;925.0;21.3;29.6;29.1
202;A-U All economic activities;Total employed persons;Domestic control;Total;2014;1344.0;991.0;21.4;29.4;28.8
203;A-U All economic activities;Total employed persons;Domestic control;Total;2015;1418.0;1043.0;21.6;29.2;28.7
204;A-U All economic activities;Total employed persons;Domestic control;Total;2016;1401.0;1043.0;21.7;29.6;29.0
205;A-U All economic activities;Total employed persons;Domestic control;Total;2017;1483.0;1110.0;21.8;29.7;29.2
206;A-U All economic activities;Total employed persons;Domestic control;Total;2018;1588.0;1198.0;22.0;30.0;29.4
207;A-U All economic activities;Total employed persons;Domestic control;Specified time;2010;;;;;
208;A-U All economic activities;Total employed persons;Domestic control;Specified time;2011;;;;;
209;A-U All economic activities;Total employed persons;Domestic control;Specified time;2012;494.0;287.0;14.7;22.7;22.3
210;A-U All economic activities;Total employed persons;Domestic control;Specified time;2013;448.0;259.0;14.8;22.8;22.4
211;A-U All economic activities;Total employed persons;Domestic control;Specified time;2014;503.0;294.0;14.7;23.1;22.6
212;A-U All economic activities;Total employed persons;Domestic control;Specified time;2015;569.0;336.0;14.8;23.3;22.9
213;A-U All economic activities;Total employed persons;Domestic control;Specified time;2016;574.0;345.0;14.8;23.7;23.2
214;A-U All economic activities;Total employed persons;Domestic control;Specified time;2017;633.0;388.0;14.8;24.2;23.7
215;A-U All economic activities;Total employed persons;Domestic control;Specified time;2018;714.0;448.0;15.3;24.8;24.3
216;A-U All economic activities;Total employed persons;Domestic control;Unspecified time;2010;;;;;
217;A-U All economic activities;Total employed persons;Domestic control;Unspecified time;2011;;;;;
218;A-U All economic activities;Total employed persons;Domestic control;Unspecified time;2012;849.0;718.0;23.5;33.4;32.8
219;A-U All economic activities;Total employed persons;Domestic control;Unspecified time;2013;795.0;664.0;23.7;33.4;32.8
220;A-U All economic activities;Total employed persons;Domestic control;Unspecified time;2014;839.0;695.0;24.1;33.1;32.5
221;A-U All economic activities;Total employed persons;Domestic control;Unspecified time;2015;846.0;704.0;24.8;33.2;32.6
222;A-U All economic activities;Total employed persons;Domestic control;Unspecified time;2016;824.0;695.0;25.0;33.7;33.1
223;A-U All economic activities;Total employed persons;Domestic control;Unspecified time;2017;846.0;719.0;25.3;33.8;33.2
224;A-U All economic activities;Total employed persons;Domestic control;Unspecified time;2018;870.0;746.0;25.8;34.2;33.6
225;A-U All economic activities;Total employed persons;Domestic control;Other;2010;;;;;
226;A-U All economic activities;Total employed persons;Domestic control;Other;2011;;;;;
227;A-U All economic activities;Total employed persons;Domestic control;Other;2012;2.0;2.0;49.5;35.5;35.5
228;A-U All economic activities;Total employed persons;Domestic control;Other;2013;2.0;1.0;56.1;34.8;34.8
229;A-U All economic activities;Total employed persons;Domestic control;Other;2014;2.0;2.0;48.8;34.8;34.8
230;A-U All economic activities;Total employed persons;Domestic control;Other;2015;3.0;3.0;50.1;34.7;34.7
231;A-U All economic activities;Total employed persons;Domestic control;Other;2016;3.0;3.0;50.5;34.9;34.9
232;A-U All economic activities;Total employed persons;Domestic control;Other;2017;4.0;3.0;52.2;34.6;34.6
233;A-U All economic activities;Total employed persons;Domestic control;Other;2018;4.0;4.0;52.2;34.5;34.5
234;A-U All economic activities;Total employed persons;Domestic control;Male;2010;;;;;
235;A-U All economic activities;Total employed persons;Domestic control;Male;2011;;;;;
236;A-U All economic activities;Total employed persons;Domestic control;Male;2012;860.0;714.0;22.7;33.1;32.4
237;A-U All economic activities;Total employed persons;Domestic control;Male;2013;792.0;655.0;22.9;33.3;32.6
238;A-U All economic activities;Total employed persons;Domestic control;Male;2014;844.0;696.0;23.0;33.3;32.5
239;A-U All economic activities;Total employed persons;Domestic control;Male;2015;885.0;729.0;23.3;33.1;32.4
240;A-U All economic activities;Total employed persons;Domestic control;Male;2016;876.0;729.0;23.4;33.4;32.7
241;A-U All economic activities;Total employed persons;Domestic control;Male;2017;924.0;771.0;23.5;33.5;32.7
242;A-U All economic activities;Total employed persons;Domestic control;Male;2018;993.0;828.0;23.7;33.6;32.8
243;A-U All economic activities;Total employed persons;Domestic control;Female;2010;;;;;
244;A-U All economic activities;Total employed persons;Domestic control;Female;2011;;;;;
245;A-U All economic activities;Total employed persons;Domestic control;Female;2012;486.0;293.0;17.1;23.1;23.0
246;A-U All economic activities;Total employed persons;Domestic control;Female;2013;453.0;270.0;17.2;23.0;22.8
247;A-U All economic activities;Total employed persons;Domestic control;Female;2014;500.0;295.0;17.4;22.8;22.6
248;A-U All economic activities;Total employed persons;Domestic control;Female;2015;532.0;314.0;17.6;22.8;22.6
249;A-U All economic activities;Total employed persons;Domestic control;Female;2016;525.0;314.0;17.6;23.1;22.9
250;A-U All economic activities;Total employed persons;Domestic control;Female;2017;559.0;340.0;17.8;23.4;23.3
251;A-U All economic activities;Total employed persons;Domestic control;Female;2018;596.0;370.0;18.1;24.0;23.8
252;A-U All economic activities;Total employed persons;Domestic control;15 to 34 years;2010;;;;;
253;A-U All economic activities;Total employed persons;Domestic control;15 to 34 years;2011;;;;;
254;A-U All economic activities;Total employed persons;Domestic control;15 to 34 years;2012;570.0;356.0;15.5;24.5;24.2
255;A-U All economic activities;Total employed persons;Domestic control;15 to 34 years;2013;539.0;332.0;15.6;24.4;24.1
256;A-U All economic activities;Total employed persons;Domestic control;15 to 34 years;2014;588.0;361.0;15.6;24.3;24.0
257;A-U All economic activities;Total employed persons;Domestic control;15 to 34 years;2015;630.0;387.0;15.6;24.3;24.0
258;A-U All economic activities;Total employed persons;Domestic control;15 to 34 years;2016;618.0;387.0;15.5;24.7;24.4
259;A-U All economic activities;Total employed persons;Domestic control;15 to 34 years;2017;661.0;420.0;15.7;25.0;24.7
260;A-U All economic activities;Total employed persons;Domestic control;15 to 34 years;2018;739.0;486.0;15.9;26.0;25.6
261;A-U All economic activities;Total employed persons;Domestic control;35 to 54 years;2010;;;;;
262;A-U All economic activities;Total employed persons;Domestic control;35 to 54 years;2011;;;;;
263;A-U All economic activities;Total employed persons;Domestic control;35 to 54 years;2012;584.0;495.0;24.3;33.4;32.9
264;A-U All economic activities;Total employed persons;Domestic control;35 to 54 years;2013;525.0;446.0;24.7;33.8;33.2
265;A-U All economic activities;Total employed persons;Domestic control;35 to 54 years;2014;553.0;466.0;25.1;33.7;33.0
266;A-U All economic activities;Total employed persons;Domestic control;35 to 54 years;2015;568.0;478.0;25.5;33.5;32.9
267;A-U All economic activities;Total employed persons;Domestic control;35 to 54 years;2016;553.0;468.0;25.8;33.7;33.1
268;A-U All economic activities;Total employed persons;Domestic control;35 to 54 years;2017;570.0;484.0;26.0;33.8;33.2
269;A-U All economic activities;Total employed persons;Domestic control;35 to 54 years;2018;613.0;523.0;26.0;34.1;33.4
270;A-U All economic activities;Total employed persons;Domestic control;55 years or older;2010;;;;;
271;A-U All economic activities;Total employed persons;Domestic control;55 years or older;2011;;;;;
