ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalAantalBedrijven_1;k_1WerkzamePersoon_2;k_2WerkzamePersonen_3;k_3Tot5WerkzamePersonen_4;k_5Tot10WerkzamePersonen_5;k_10Tot20WerkzamePersonen_6;k_20Tot50WerkzamePersonen_7;k_50Tot100WerkzamePersonen_8;k_100WerkzamePersonenOfMeer_9;NatuurlijkePersonen_10;Rechtspersonen_11
1197;2331 Keramische tegelindustrie;2008;10;5;5;0;0;0;0;0;0;5;5
1198;2331 Keramische tegelindustrie;2009;10;5;5;0;0;0;0;0;0;10;5
1199;2331 Keramische tegelindustrie;2010;10;5;5;0;0;0;0;0;0;10;0
1200;2332 Baksteen- en dakpanindustrie;2006;45;5;5;5;5;5;20;0;5;5;40
1201;2332 Baksteen- en dakpanindustrie;2007;45;10;5;5;5;5;20;0;5;5;40
1202;2332 Baksteen- en dakpanindustrie;2008;40;5;5;0;10;5;10;0;5;5;35
1203;2332 Baksteen- en dakpanindustrie;2009;40;5;0;5;5;5;10;0;5;5;35
1204;2332 Baksteen- en dakpanindustrie;2010;40;10;0;5;5;5;10;0;5;5;35
1205;234 Overige keramische industrie;2006;245;150;60;10;10;10;5;0;0;200;45
1206;234 Overige keramische industrie;2007;245;155;45;15;10;15;5;0;0;200;45
1207;234 Overige keramische industrie;2008;245;160;35;15;15;10;5;0;0;200;45
1208;234 Overige keramische industrie;2009;240;160;40;20;10;10;5;0;0;195;45
1209;234 Overige keramische industrie;2010;235;155;35;15;10;10;5;0;0;190;45
1210;2341 Huishoudelijk aardewerkindustrie;2006;235;145;55;10;10;10;5;0;0;200;35
1211;2341 Huishoudelijk aardewerkindustrie;2007;235;150;40;15;10;15;5;0;0;200;35
1212;2341 Huishoudelijk aardewerkindustrie;2008;235;155;35;15;10;5;5;0;0;195;35
1213;2341 Huishoudelijk aardewerkindustrie;2009;230;155;35;15;10;10;5;0;0;195;40
1214;2341 Huishoudelijk aardewerkindustrie;2010;225;155;35;15;10;10;5;0;0;190;35
1215;2342 Sanitair aardewerkindustrie;2006;5;0;0;0;0;0;0;0;0;0;5
1216;2342 Sanitair aardewerkindustrie;2007;5;0;0;0;0;0;0;0;0;0;5
1217;2342 Sanitair aardewerkindustrie;2008;5;0;0;0;0;0;0;0;0;0;5
1218;2342 Sanitair aardewerkindustrie;2009;5;0;0;0;0;0;0;0;0;0;5
1219;2342 Sanitair aardewerkindustrie;2010;5;0;0;0;0;0;0;0;0;0;5
1220;2343 Isolatorenindustrie;2006;0;0;0;0;0;0;0;0;0;0;0
1221;2343 Isolatorenindustrie;2007;0;0;0;0;0;0;0;0;0;0;0
1222;2343 Isolatorenindustrie;2008;5;0;0;0;0;0;0;0;0;0;5
1223;2343 Isolatorenindustrie;2009;5;0;0;0;0;0;0;0;0;0;5
1224;2343 Isolatorenindustrie;2010;5;0;0;0;0;0;0;0;0;0;5
1225;2344 Overig technisch aardewerkindustrie;2006;0;0;0;0;0;0;0;0;0;0;0
1226;2344 Overig technisch aardewerkindustrie;2007;0;0;0;0;0;0;0;0;0;0;0
1227;2344 Overig technisch aardewerkindustrie;2008;0;0;0;0;0;0;0;0;0;0;0
1228;2344 Overig technisch aardewerkindustrie;2009;0;0;0;0;0;0;0;0;0;0;0
1229;2344 Overig technisch aardewerkindustrie;2010;0;0;0;0;0;0;0;0;0;0;0
1230;2349 Overige keramische industrie (rest);2006;5;0;0;0;0;0;0;0;0;0;0
1231;2349 Overige keramische industrie (rest);2007;0;0;0;0;0;0;0;0;0;0;0
1232;2349 Overige keramische industrie (rest);2008;0;0;0;0;0;0;0;0;0;0;0
1233;2349 Overige keramische industrie (rest);2009;0;0;0;0;0;0;0;0;0;0;0
1234;2349 Overige keramische industrie (rest);2010;5;0;0;0;0;0;0;0;0;0;0
1235;235 Cement-, kalk- en gipsindustrie;2006;5;0;0;0;0;0;0;0;0;0;5
1236;235 Cement-, kalk- en gipsindustrie;2007;5;0;0;5;0;0;0;0;0;0;5
1237;235 Cement-, kalk- en gipsindustrie;2008;5;0;0;0;0;0;0;0;0;0;5
1238;235 Cement-, kalk- en gipsindustrie;2009;5;0;0;0;0;0;0;0;0;0;5
1239;235 Cement-, kalk- en gipsindustrie;2010;5;0;0;0;0;0;0;0;0;0;5
1240;2351 Cementindustrie;2006;5;0;0;0;0;0;0;0;0;0;5
1241;2351 Cementindustrie;2007;5;0;0;0;0;0;0;0;0;0;5
1242;2351 Cementindustrie;2008;5;0;0;0;0;0;0;0;0;0;5
1243;2351 Cementindustrie;2009;5;0;0;0;0;0;0;0;0;0;5
1244;2351 Cementindustrie;2010;5;0;0;0;0;0;0;0;0;0;5
1245;2352 Kalk- en gipsindustrie;2006;0;0;0;0;0;0;0;0;0;0;0
1246;2352 Kalk- en gipsindustrie;2007;0;0;0;0;0;0;0;0;0;0;0
1247;2352 Kalk- en gipsindustrie;2008;0;0;0;0;0;0;0;0;0;0;0
1248;2352 Kalk- en gipsindustrie;2009;0;0;0;0;0;0;0;0;0;0;0
1249;2352 Kalk- en gipsindustrie;2010;0;0;0;0;0;0;0;0;0;0;0
1250;236 Beton-, gips-, cementwarenindustrie;2006;450;115;55;40;60;70;60;20;30;135;310
1251;236 Beton-, gips-, cementwarenindustrie;2007;465;120;40;55;60;70;65;20;35;140;325
1252;236 Beton-, gips-, cementwarenindustrie;2008;440;120;35;40;60;65;60;20;35;125;310
1253;236 Beton-, gips-, cementwarenindustrie;2009;445;125;45;35;65;55;60;25;35;135;310
1254;236 Beton-, gips-, cementwarenindustrie;2010;435;125;40;35;60;55;60;20;35;130;305
1255;23611 Betonnen bouwproductenindustrie;2006;250;45;30;25;35;35;40;20;25;50;200
1256;23611 Betonnen bouwproductenindustrie;2007;260;40;25;35;40;35;40;20;25;55;205
1257;23611 Betonnen bouwproductenindustrie;2008;260;55;20;30;35;35;45;15;30;55;205
1258;23611 Betonnen bouwproductenindustrie;2009;260;50;25;25;40;35;40;20;25;55;205
1259;23611 Betonnen bouwproductenindustrie;2010;260;55;20;25;40;30;40;15;30;55;205
1260;23612 Kalkzandsteenindustrie;2006;10;5;0;0;0;0;0;0;0;5;0
1261;23612 Kalkzandsteenindustrie;2007;5;5;0;0;0;0;0;0;0;5;0
1262;23612 Kalkzandsteenindustrie;2008;5;5;0;0;0;0;0;0;0;5;0
1263;23612 Kalkzandsteenindustrie;2009;5;5;0;0;0;0;0;0;0;5;0
1264;23612 Kalkzandsteenindustrie;2010;5;5;0;0;0;0;0;0;0;5;0
1265;2362 Gipsen bouwproductenindustrie;2006;10;0;0;0;0;0;5;0;0;0;10
1266;2362 Gipsen bouwproductenindustrie;2007;10;5;0;0;0;0;5;0;0;5;10
1267;2362 Gipsen bouwproductenindustrie;2008;10;0;0;0;0;0;5;0;0;0;5
1268;2362 Gipsen bouwproductenindustrie;2009;10;5;0;0;0;0;5;0;0;5;5
1269;2362 Gipsen bouwproductenindustrie;2010;10;5;0;0;0;0;5;0;0;5;5
1270;2363 Centrales van stortklare beton;2006;75;10;5;5;15;25;15;0;5;5;70
1271;2363 Centrales van stortklare beton;2007;80;15;5;5;15;25;15;0;5;5;75
1272;2363 Centrales van stortklare beton;2008;70;15;5;5;15;25;10;0;5;5;65
1273;2363 Centrales van stortklare beton;2009;65;15;5;0;10;20;10;0;5;5;65
1274;2363 Centrales van stortklare beton;2010;65;10;5;0;10;15;15;0;5;5;60
1275;2364 Centrales van droge mortel;2006;20;5;0;0;5;5;5;0;0;5;15
1276;2364 Centrales van droge mortel;2007;20;5;0;5;5;5;5;0;0;0;15
1277;2364 Centrales van droge mortel;2008;15;0;0;0;5;5;0;0;0;0;15
1278;2364 Centrales van droge mortel;2009;20;5;0;5;5;0;5;0;0;0;15
1279;2364 Centrales van droge mortel;2010;15;0;0;5;5;0;0;0;0;0;15
1280;2365 Vezelcementproductenindustrie;2006;5;0;0;0;0;0;0;0;0;0;5
1281;2365 Vezelcementproductenindustrie;2007;5;0;0;0;0;0;0;0;0;0;5
1282;2365 Vezelcementproductenindustrie;2008;5;0;0;0;0;0;0;0;0;0;5
1283;2365 Vezelcementproductenindustrie;2009;5;0;0;0;0;0;0;0;0;0;5
1284;2365 Vezelcementproductenindustrie;2010;5;0;0;0;0;0;0;0;0;0;5
1285;2369 Overige beton-, gipswarenindustrie;2006;85;50;15;10;5;0;0;0;0;70;10
1286;2369 Overige beton-, gipswarenindustrie;2007;85;50;10;10;5;0;0;0;0;70;15
1287;2369 Overige beton-, gipswarenindustrie;2008;75;45;15;10;5;0;0;0;0;60;15
1288;2369 Overige beton-, gipswarenindustrie;2009;80;50;15;5;5;0;0;0;0;65;10
1289;2369 Overige beton-, gipswarenindustrie;2010;75;45;10;5;5;0;0;0;0;60;15
1290;237 Natuursteenbewerkende industrie;2006;335;95;65;60;60;30;20;10;0;200;140
1291;237 Natuursteenbewerkende industrie;2007;350;110;50;65;70;30;20;5;0;210;135
1292;237 Natuursteenbewerkende industrie;2008;345;115;55;60;55;35;15;5;0;210;135
1293;237 Natuursteenbewerkende industrie;2009;350;125;55;65;60;25;15;5;0;215;135
1294;237 Natuursteenbewerkende industrie;2010;355;135;60;60;60;25;15;5;0;215;140
1295;2370 Natuursteenbewerkende industrie;2006;335;95;65;60;60;30;20;10;0;200;140
1296;2370 Natuursteenbewerkende industrie;2007;350;110;50;65;70;30;20;5;0;210;135
1297;2370 Natuursteenbewerkende industrie;2008;345;115;55;60;55;35;15;5;0;210;135
1298;2370 Natuursteenbewerkende industrie;2009;350;125;55;65;60;25;15;5;0;215;135
1299;2370 Natuursteenbewerkende industrie;2010;355;135;60;60;60;25;15;5;0;215;140
1300;239 Overige minerale productenindustrie;2006;95;25;15;5;15;20;5;5;5;30;65
1301;239 Overige minerale productenindustrie;2007;90;25;10;10;15;15;10;5;5;25;65
1302;239 Overige minerale productenindustrie;2008;80;20;5;10;10;15;5;5;5;20;55
1303;239 Overige minerale productenindustrie;2009;75;20;10;5;10;15;10;5;5;20;55
1304;239 Overige minerale productenindustrie;2010;80;20;10;10;10;15;10;5;5;20;55
1305;2391 Schuur- en slijpmiddelenindustrie;2006;20;10;5;0;0;5;0;0;0;5;15
1306;2391 Schuur- en slijpmiddelenindustrie;2007;20;10;0;0;0;5;0;0;0;5;15
1307;2391 Schuur- en slijpmiddelenindustrie;2008;10;0;0;0;0;0;0;0;0;5;5
1308;2391 Schuur- en slijpmiddelenindustrie;2009;10;5;0;0;5;0;0;0;0;5;5
1309;2391 Schuur- en slijpmiddelenindustrie;2010;10;0;0;0;5;0;5;0;0;5;5
1310;2399 Overige minerale productenindustrie;2006;75;15;15;5;10;15;5;5;5;20;55
1311;2399 Overige minerale productenindustrie;2007;70;15;5;10;15;15;5;5;0;20;50
1312;2399 Overige minerale productenindustrie;2008;65;15;5;10;10;15;5;5;0;20;50
1313;2399 Overige minerale productenindustrie;2009;65;15;5;5;5;15;10;5;0;15;50
1314;2399 Overige minerale productenindustrie;2010;65;15;5;10;5;15;5;5;0;15;50
1315;24 Basismetaalindustrie;2006;305;70;40;30;45;40;35;15;30;85;220
1316;24 Basismetaalindustrie;2007;305;65;35;30;45;50;40;10;35;90;220
1317;24 Basismetaalindustrie;2008;320;80;30;35;50;45;30;10;30;90;225
1318;24 Basismetaalindustrie;2009;330;85;30;40;50;45;40;10;40;95;235
1319;24 Basismetaalindustrie;2010;330;90;30;35;50;45;40;10;35;95;235
1320;241 IJzer- en staalindustrie;2006;45;10;10;5;5;10;0;0;5;10;30
1321;241 IJzer- en staalindustrie;2007;45;5;5;5;10;10;5;0;5;10;35
1322;241 IJzer- en staalindustrie;2008;50;10;5;10;10;10;5;0;5;10;35
1323;241 IJzer- en staalindustrie;2009;55;10;5;10;10;10;5;0;5;15;40
1324;241 IJzer- en staalindustrie;2010;55;15;5;10;10;10;5;0;5;15;45
1325;2410 IJzer- en staalindustrie;2006;45;10;10;5;5;10;0;0;5;10;30
1326;2410 IJzer- en staalindustrie;2007;45;5;5;5;10;10;5;0;5;10;35
1327;2410 IJzer- en staalindustrie;2008;50;10;5;10;10;10;5;0;5;10;35
1328;2410 IJzer- en staalindustrie;2009;55;10;5;10;10;10;5;0;5;15;40
1329;2410 IJzer- en staalindustrie;2010;55;15;5;10;10;10;5;0;5;15;45
1330;242 Stalen buizenindustrie;2006;25;5;5;0;5;5;5;0;0;5;20
1331;242 Stalen buizenindustrie;2007;30;10;0;0;5;5;5;0;5;10;20
1332;242 Stalen buizenindustrie;2008;30;10;5;0;10;5;5;0;0;10;25
1333;242 Stalen buizenindustrie;2009;40;10;5;5;10;5;5;0;5;15;25
1334;242 Stalen buizenindustrie;2010;40;15;5;5;10;5;5;0;5;15;25
1335;2420 Stalen buizenindustrie;2006;25;5;5;0;5;5;5;0;0;5;20
1336;2420 Stalen buizenindustrie;2007;30;10;0;0;5;5;5;0;5;10;20
1337;2420 Stalen buizenindustrie;2008;30;10;5;0;10;5;5;0;0;10;25
1338;2420 Stalen buizenindustrie;2009;40;10;5;5;10;5;5;0;5;15;25
1339;2420 Stalen buizenindustrie;2010;40;15;5;5;10;5;5;0;5;15;25
1340;243 Staaltrekkerijen, -walserijen e.d.;2006;20;5;0;0;0;5;0;5;0;5;20
1341;243 Staaltrekkerijen, -walserijen e.d.;2007;20;5;0;0;5;10;0;0;0;5;20
1342;243 Staaltrekkerijen, -walserijen e.d.;2008;25;10;0;0;5;5;5;0;0;5;20
1343;243 Staaltrekkerijen, -walserijen e.d.;2009;25;5;5;0;5;5;0;0;0;5;20
1344;243 Staaltrekkerijen, -walserijen e.d.;2010;25;5;5;0;5;5;5;0;0;5;20
1345;2431 Koudtrekkerijen van staven;2006;0;0;0;0;0;0;0;0;0;0;0
1346;2431 Koudtrekkerijen van staven;2007;0;0;0;0;0;0;0;0;0;0;0
1347;2431 Koudtrekkerijen van staven;2008;0;0;0;0;0;0;0;0;0;0;0
1348;2431 Koudtrekkerijen van staven;2009;0;0;0;0;0;0;0;0;0;0;0
1349;2431 Koudtrekkerijen van staven;2010;0;0;0;0;0;0;0;0;0;0;0
1350;2432 Koudwalserijen van bandstaal;2006;0;0;0;0;0;0;0;0;0;0;0
1351;2432 Koudwalserijen van bandstaal;2007;5;0;0;0;0;0;0;0;0;0;5
1352;2432 Koudwalserijen van bandstaal;2008;5;0;0;0;0;0;0;0;0;0;5
1353;2432 Koudwalserijen van bandstaal;2009;0;0;0;0;0;0;0;0;0;0;0
1354;2432 Koudwalserijen van bandstaal;2010;0;0;0;0;0;0;0;0;0;0;0
1355;2433 Koudvervormen en koudfelserijen;2006;15;5;0;0;0;0;0;5;0;5;10
1356;2433 Koudvervormen en koudfelserijen;2007;15;5;0;0;0;5;0;0;0;5;10
1357;2433 Koudvervormen en koudfelserijen;2008;15;5;0;0;5;5;0;0;0;5;10
1358;2433 Koudvervormen en koudfelserijen;2009;15;5;5;0;5;5;0;0;0;5;10
1359;2433 Koudvervormen en koudfelserijen;2010;15;5;5;0;5;5;0;0;0;5;10
1360;2434 Draadtrekkerijen van ijzer en staal;2006;5;0;0;0;0;0;0;0;0;0;5
1361;2434 Draadtrekkerijen van ijzer en staal;2007;5;0;0;0;0;0;0;0;0;0;5
1362;2434 Draadtrekkerijen van ijzer en staal;2008;5;0;0;0;0;0;0;0;0;0;5
1363;2434 Draadtrekkerijen van ijzer en staal;2009;5;0;0;0;0;0;0;0;0;0;5
1364;2434 Draadtrekkerijen van ijzer en staal;2010;5;0;0;0;0;0;0;0;0;0;5
1365;244 Edel- en non-ferrometaalindustrie;2006;95;25;10;10;15;5;10;5;15;20;75
1366;244 Edel- en non-ferrometaalindustrie;2007;90;20;10;15;10;10;10;0;20;20;70
1367;244 Edel- en non-ferrometaalindustrie;2008;95;25;10;10;15;10;5;0;20;20;75
1368;244 Edel- en non-ferrometaalindustrie;2009;95;25;10;10;15;10;5;0;20;20;75
1369;244 Edel- en non-ferrometaalindustrie;2010;90;25;10;10;15;10;5;0;20;15;75
1370;2441 Edelmetaalindustrie;2006;10;5;0;0;5;0;0;0;0;5;5
1371;2441 Edelmetaalindustrie;2007;10;5;0;0;5;0;0;0;0;5;5
1372;2441 Edelmetaalindustrie;2008;10;5;0;0;0;0;0;0;0;5;5
1373;2441 Edelmetaalindustrie;2009;10;5;0;0;0;0;0;0;0;5;5
1374;2441 Edelmetaalindustrie;2010;10;5;0;0;0;0;0;0;0;0;5
1375;2442 Aluminiumindustrie;2006;65;20;5;10;5;5;5;5;10;10;55
1376;2442 Aluminiumindustrie;2007;60;10;5;10;5;5;5;0;15;10;50
1377;2442 Aluminiumindustrie;2008;70;20;5;10;10;5;5;0;15;10;60
1378;2442 Aluminiumindustrie;2009;70;15;5;10;10;10;5;0;15;10;60
1379;2442 Aluminiumindustrie;2010;70;15;5;10;10;5;5;0;15;10;55
1380;2443 Lood-, zink- en tinindustrie;2006;15;0;0;0;0;0;0;0;5;5;10
1381;2443 Lood-, zink- en tinindustrie;2007;15;0;0;0;0;0;0;0;5;5;10
1382;2443 Lood-, zink- en tinindustrie;2008;10;0;0;0;5;0;0;0;0;5;10
1383;2443 Lood-, zink- en tinindustrie;2009;10;0;0;0;0;0;0;0;5;5;5
1384;2443 Lood-, zink- en tinindustrie;2010;10;0;0;0;0;0;0;0;5;5;5
1385;2444 Koperindustrie;2006;5;0;0;0;0;0;0;0;0;0;5
1386;2444 Koperindustrie;2007;5;0;0;0;0;0;0;0;0;0;5
1387;2444 Koperindustrie;2008;5;0;0;0;0;0;0;0;0;0;5
1388;2444 Koperindustrie;2009;5;0;0;0;0;0;0;0;0;0;5
1389;2444 Koperindustrie;2010;5;0;0;0;0;0;0;0;0;0;5
1390;2445 Overige non-ferrometaalindustrie;2006;0;0;0;0;0;0;0;0;0;0;0
1391;2445 Overige non-ferrometaalindustrie;2007;0;0;0;0;0;0;0;0;0;0;0
1392;2445 Overige non-ferrometaalindustrie;2008;5;0;0;0;0;0;0;0;0;0;0
1393;2445 Overige non-ferrometaalindustrie;2009;5;0;0;0;0;0;0;0;0;0;0
1394;2445 Overige non-ferrometaalindustrie;2010;0;0;0;0;0;0;0;0;0;0;0
1395;2446 Uraniumraffinaderijen;2006;0;0;0;0;0;0;0;0;0;0;0
1396;2446 Uraniumraffinaderijen;2007;0;0;0;0;0;0;0;0;0;0;0
1397;2446 Uraniumraffinaderijen;2008;0;0;0;0;0;0;0;0;0;0;0
1398;2446 Uraniumraffinaderijen;2009;0;0;0;0;0;0;0;0;0;0;0
1399;2446 Uraniumraffinaderijen;2010;0;0;0;0;0;0;0;0;0;0;0
1400;245 Metaalgieterijen;2006;120;20;15;15;20;15;15;10;10;45;75
1401;245 Metaalgieterijen;2007;120;30;15;10;15;20;20;10;10;45;70
1402;245 Metaalgieterijen;2008;115;30;15;10;15;15;15;5;5;45;70
1403;245 Metaalgieterijen;2009;115;30;10;15;15;10;20;5;10;45;75
1404;245 Metaalgieterijen;2010;115;30;10;10;15;15;20;5;10;40;70
1405;2451 IJzergieterijen;2006;40;5;5;5;5;5;5;5;5;15;25
1406;2451 IJzergieterijen;2007;35;5;5;0;5;5;5;5;5;10;25
1407;2451 IJzergieterijen;2008;35;5;5;0;5;5;5;5;5;10;25
1408;2451 IJzergieterijen;2009;35;5;5;5;5;5;5;5;5;10;25
1409;2451 IJzergieterijen;2010;35;10;5;0;5;5;5;5;5;5;30
1410;2452 Staalgieterijen;2006;5;0;0;0;0;0;0;0;0;0;5
1411;2452 Staalgieterijen;2007;5;0;0;0;0;0;0;0;0;0;5
1412;2452 Staalgieterijen;2008;5;0;0;0;0;0;0;0;0;0;5
1413;2452 Staalgieterijen;2009;5;0;0;5;0;0;0;0;0;0;5
1414;2452 Staalgieterijen;2010;5;0;0;5;0;0;0;0;0;0;5
1415;2453 Licht metaalgieterijen;2006;55;10;10;5;10;10;5;5;5;20;35
1416;2453 Licht metaalgieterijen;2007;55;10;10;5;5;10;10;5;5;20;35
1417;2453 Licht metaalgieterijen;2008;50;10;5;5;10;5;5;0;5;20;30
1418;2453 Licht metaalgieterijen;2009;50;10;5;5;5;5;10;0;5;20;35
1419;2453 Licht metaalgieterijen;2010;45;10;5;5;5;5;10;0;5;20;30
1420;2454 Overige non-ferrometaalgieterijen;2006;20;5;5;5;5;0;0;0;0;10;10
1421;2454 Overige non-ferrometaalgieterijen;2007;20;10;5;0;0;5;0;0;0;10;10
1422;2454 Overige non-ferrometaalgieterijen;2008;25;10;0;5;0;5;0;0;0;15;10
1423;2454 Overige non-ferrometaalgieterijen;2009;25;10;5;0;5;5;0;0;0;15;10
1424;2454 Overige non-ferrometaalgieterijen;2010;25;10;5;0;5;5;0;0;0;15;10
1425;25 Metaalproductenindustrie;2006;7235;2615;1130;695;900;790;765;210;135;3870;3365
1426;25 Metaalproductenindustrie;2007;7510;2895;920;710;980;845;790;225;140;4065;3445
1427;25 Metaalproductenindustrie;2008;7940;3410;915;735;965;820;745;220;125;4350;3590
1428;25 Metaalproductenindustrie;2009;8555;3940;965;755;875;815;830;235;140;4890;3665
1429;25 Metaalproductenindustrie;2010;8615;4090;985;740;850;800;785;235;135;4930;3685
1430;251 Metalen bouwproductenindustrie;2006;2000;465;240;195;285;300;360;95;55;720;1280
1431;251 Metalen bouwproductenindustrie;2007;2030;505;205;185;305;310;350;110;60;740;1290
1432;251 Metalen bouwproductenindustrie;2008;2080;585;190;195;310;305;335;105;50;750;1330
1433;251 Metalen bouwproductenindustrie;2009;2160;655;210;200;270;285;370;115;60;820;1340
1434;251 Metalen bouwproductenindustrie;2010;2150;685;210;195;260;275;360;115;60;820;1330
1435;2511 Metalen constructiewerkindustrie;2006;1785;415;215;165;255;275;325;85;50;640;1145
1436;2511 Metalen constructiewerkindustrie;2007;1815;455;180;165;270;280;315;95;55;660;1150
1437;2511 Metalen constructiewerkindustrie;2008;1865;535;170;175;265;275;305;95;45;675;1190
1438;2511 Metalen constructiewerkindustrie;2009;1945;595;190;175;240;250;345;100;50;740;1205
1439;2511 Metalen constructiewerkindustrie;2010;1940;625;185;170;235;245;330;100;50;745;1195
1440;2512 Metalen deuren- en ramenindustrie;2006;210;50;25;30;30;25;35;10;5;75;135
1441;2512 Metalen deuren- en ramenindustrie;2007;215;50;25;20;35;30;35;15;5;75;140
1442;2512 Metalen deuren- en ramenindustrie;2008;215;50;20;25;40;30;35;10;5;75;140
1443;2512 Metalen deuren- en ramenindustrie;2009;215;60;20;20;30;35;25;15;10;80;140
1444;2512 Metalen deuren- en ramenindustrie;2010;215;65;20;25;25;30;25;15;10;75;140
1445;252 Tankbouw en cv-industrie;2006;100;15;10;5;15;15;20;5;15;20;80
1446;252 Tankbouw en cv-industrie;2007;95;15;5;10;15;15;20;5;10;20;75
1447;252 Tankbouw en cv-industrie;2008;90;15;5;10;15;20;15;5;10;15;75
1448;252 Tankbouw en cv-industrie;2009;95;15;0;10;15;15;20;5;15;15;80
1449;252 Tankbouw en cv-industrie;2010;90;15;5;5;15;15;20;5;15;15;75
1450;2521 Cv-ketel- en radiatorenindustrie;2006;30;5;5;5;5;5;5;0;5;5;20
1451;2521 Cv-ketel- en radiatorenindustrie;2007;30;5;0;5;5;5;0;0;5;10;20
1452;2521 Cv-ketel- en radiatorenindustrie;2008;35;10;0;5;5;5;0;0;5;10;25
1453;2521 Cv-ketel- en radiatorenindustrie;2009;30;5;0;5;5;5;5;0;5;10;20
1454;2521 Cv-ketel- en radiatorenindustrie;2010;30;10;0;5;5;5;0;0;5;10;20
1455;2529 Tank- en reservoirbouw;2006;70;10;5;0;10;15;15;0;10;10;60
1456;2529 Tank- en reservoirbouw;2007;65;10;5;5;10;10;15;5;5;10;55
1457;2529 Tank- en reservoirbouw;2008;60;5;0;5;10;15;15;5;5;5;50
1458;2529 Tank- en reservoirbouw;2009;65;10;0;5;10;10;15;5;5;10;55
1459;2529 Tank- en reservoirbouw;2010;60;10;0;5;10;10;15;5;5;5;55
1460;253 Stoomketelindustrie;2006;10;0;0;0;0;5;0;0;0;0;5
1461;253 Stoomketelindustrie;2007;5;0;0;0;0;0;5;0;0;0;5
1462;253 Stoomketelindustrie;2008;5;0;0;0;0;0;0;0;0;0;5
1463;253 Stoomketelindustrie;2009;10;0;0;0;0;0;5;0;0;0;5
1464;253 Stoomketelindustrie;2010;5;0;0;0;0;0;5;0;0;0;5
1465;2530 Stoomketelindustrie;2006;10;0;0;0;0;5;0;0;0;0;5
1466;2530 Stoomketelindustrie;2007;5;0;0;0;0;0;5;0;0;0;5
1467;2530 Stoomketelindustrie;2008;5;0;0;0;0;0;0;0;0;0;5
1468;2530 Stoomketelindustrie;2009;10;0;0;0;0;0;5;0;0;0;5
1469;2530 Stoomketelindustrie;2010;5;0;0;0;0;0;5;0;0;0;5
1470;254 Wapen- en munitie-industrie;2006;10;5;5;0;0;0;0;0;0;5;0
1471;254 Wapen- en munitie-industrie;2007;10;5;0;0;0;0;0;0;0;5;0
1472;254 Wapen- en munitie-industrie;2008;5;5;0;0;0;0;0;0;0;5;0
1473;254 Wapen- en munitie-industrie;2009;10;10;0;0;0;0;0;0;0;5;0
1474;254 Wapen- en munitie-industrie;2010;10;10;0;0;0;0;0;0;0;5;5
1475;2540 Wapen- en munitie-industrie;2006;10;5;5;0;0;0;0;0;0;5;0
1476;2540 Wapen- en munitie-industrie;2007;10;5;0;0;0;0;0;0;0;5;0
1477;2540 Wapen- en munitie-industrie;2008;5;5;0;0;0;0;0;0;0;5;0
1478;2540 Wapen- en munitie-industrie;2009;10;10;0;0;0;0;0;0;0;5;0
1479;2540 Wapen- en munitie-industrie;2010;10;10;0;0;0;0;0;0;0;5;5
1480;255 Smederijen, profielwalserijen e.d.;2006;510;135;80;55;75;65;60;25;15;220;295
1481;255 Smederijen, profielwalserijen e.d.;2007;530;150;60;60;80;70;65;25;15;225;305
1482;255 Smederijen, profielwalserijen e.d.;2008;550;165;60;65;80;70;70;25;15;225;325
1483;255 Smederijen, profielwalserijen e.d.;2009;575;175;70;60;80;80;65;30;15;245;330
1484;255 Smederijen, profielwalserijen e.d.;2010;580;185;70;55;80;80;65;25;15;240;335
1485;2550 Smederijen, profielwalserijen e.d.;2006;510;135;80;55;75;65;60;25;15;220;295
1486;2550 Smederijen, profielwalserijen e.d.;2007;530;150;60;60;80;70;65;25;15;225;305
1487;2550 Smederijen, profielwalserijen e.d.;2008;550;165;60;65;80;70;70;25;15;225;325
1488;2550 Smederijen, profielwalserijen e.d.;2009;575;175;70;60;80;80;65;30;15;245;330
1489;2550 Smederijen, profielwalserijen e.d.;2010;580;185;70;55;80;80;65;25;15;240;335
1490;256 Overige metaalbewerkingsindustrie;2006;3565;1605;655;355;400;295;200;40;15;2405;1160
1491;256 Overige metaalbewerkingsindustrie;2007;3755;1815;530;365;435;335;220;40;20;2560;1195
1492;256 Overige metaalbewerkingsindustrie;2008;4070;2170;540;355;440;300;200;45;15;2815;1255
1493;256 Overige metaalbewerkingsindustrie;2009;4525;2570;555;380;405;310;240;45;15;3215;1305
1494;256 Overige metaalbewerkingsindustrie;2010;4590;2655;570;375;395;305;225;45;15;3260;1330
1495;2561 Oppervlaktebehandelingsindustrie;2006;765;190;135;95;125;120;70;25;5;335;435
1496;2561 Oppervlaktebehandelingsindustrie;2007;795;205;115;110;130;130;80;25;5;345;445
1497;2561 Oppervlaktebehandelingsindustrie;2008;815;240;115;110;130;110;80;25;5;345;465
1498;2561 Oppervlaktebehandelingsindustrie;2009;825;245;125;100;130;105;85;30;5;345;480
1499;2561 Oppervlaktebehandelingsindustrie;2010;820;255;130;95;125;100;85;25;0;345;475
1500;2562 Algemene metaalbewerkingsindustrie;2006;2800;1415;520;260;270;175;130;15;10;2070;730
1501;2562 Algemene metaalbewerkingsindustrie;2007;2960;1610;415;255;305;205;140;15;10;2210;750
