ID;Geslacht;Leeftijdsklasse;Herkomstgroepering;Perioden;PersonenMetEenUitkering_1;PersonenMetWAOWajongWAZUitkering_2;VolledigArbeidsongeschikt_3;GedeeltelijkArbeidsongeschikt_4;PsychischeAandoeningen_5;ZiektenVanBotspierstelsel_6;OverigeAandoeningen_7;PersonenMetEenABWUitkering_8;Alleenstaand_9;AlleenstaandeOuder_10;EchtPaar_11;Anders_12;PersonenMetWWUitkering_13;PersonenMetIOAWIOAZUitkering_14
54;Mannen en vrouwen;15 tot 20 jaar;Totaal herkomstgroeperingen;2003;16.2;8.1;8.0;0.1;6.1;0.2;1.8;5.9;4.3;1.2;0.4;0.0;2.3;0.0
55;Mannen en vrouwen;15 tot 20 jaar;Autochtonen;1999;8.3;5.2;5.1;0.1;3.7;0.2;1.3;2.1;1.5;0.4;0.2;0.0;1.0;0.0
56;Mannen en vrouwen;15 tot 20 jaar;Autochtonen;2000;7.8;5.4;5.3;0.1;3.9;0.2;1.3;1.8;1.2;0.4;0.2;0.0;0.8;0.0
57;Mannen en vrouwen;15 tot 20 jaar;Autochtonen;2001;7.9;5.5;5.4;0.1;4.0;0.2;1.2;1.8;1.2;0.4;0.2;0.0;0.6;0.0
58;Mannen en vrouwen;15 tot 20 jaar;Autochtonen;2002;8.9;5.9;5.8;0.1;4.4;0.2;1.3;1.9;1.2;0.5;0.2;0.0;1.2;0.0
59;Mannen en vrouwen;15 tot 20 jaar;Autochtonen;2003;11.0;6.6;6.5;0.1;5.0;0.2;1.4;2.6;1.8;0.5;0.2;0.0;1.9;0.0
60;Mannen en vrouwen;15 tot 20 jaar;Allochtonen;1999;5.0;1.2;1.2;0.0;0.8;0.0;0.3;3.5;2.6;0.6;0.3;0.1;0.3;0.0
61;Mannen en vrouwen;15 tot 20 jaar;Allochtonen;2000;4.8;1.2;1.2;0.0;0.9;0.0;0.3;3.5;2.5;0.7;0.2;0.0;0.2;0.0
62;Mannen en vrouwen;15 tot 20 jaar;Allochtonen;2001;4.6;1.2;1.2;0.0;0.9;0.0;0.3;3.2;2.3;0.7;0.2;0.0;0.2;0.0
63;Mannen en vrouwen;15 tot 20 jaar;Allochtonen;2002;5.2;1.3;1.3;0.0;1.0;0.1;0.3;3.6;2.7;0.7;0.2;0.0;0.3;0.0
64;Mannen en vrouwen;15 tot 20 jaar;Allochtonen;2003;5.2;1.5;1.5;0.0;1.1;0.0;0.3;3.4;2.5;0.7;0.2;0.0;0.4;0.0
65;Mannen en vrouwen;15 tot 20 jaar;Westerse allochtonen;1999;1.0;0.4;0.4;0.0;0.3;0.0;0.1;0.5;0.3;0.1;0.1;0.0;0.1;0.0
66;Mannen en vrouwen;15 tot 20 jaar;Westerse allochtonen;2000;0.9;0.4;0.4;0.0;0.3;0.0;0.1;0.4;0.3;0.1;0.0;0.0;0.1;0.0
67;Mannen en vrouwen;15 tot 20 jaar;Westerse allochtonen;2001;0.9;0.4;0.4;0.0;0.3;0.0;0.1;0.4;0.3;0.1;0.0;0.0;0.1;0.0
68;Mannen en vrouwen;15 tot 20 jaar;Westerse allochtonen;2002;0.9;0.4;0.4;0.0;0.3;0.0;0.1;0.4;0.2;0.1;0.0;0.0;0.1;0.0
69;Mannen en vrouwen;15 tot 20 jaar;Westerse allochtonen;2003;1.1;0.5;0.5;0.0;0.4;0.0;0.1;0.4;0.3;0.1;0.0;0.0;0.1;0.0
70;Mannen en vrouwen;15 tot 20 jaar;Niet-westerse allochtonen;1999;4.0;0.8;0.7;0.0;0.5;0.0;0.2;3.1;2.3;0.5;0.2;0.0;0.2;0.0
71;Mannen en vrouwen;15 tot 20 jaar;Niet-westerse allochtonen;2000;3.9;0.8;0.8;0.0;0.6;0.0;0.2;3.0;2.2;0.6;0.2;0.0;0.1;0.0
72;Mannen en vrouwen;15 tot 20 jaar;Niet-westerse allochtonen;2001;3.7;0.8;0.8;0.0;0.5;0.0;0.2;2.8;2.1;0.6;0.2;0.0;0.1;0.0
73;Mannen en vrouwen;15 tot 20 jaar;Niet-westerse allochtonen;2002;4.2;0.9;0.9;0.0;0.7;0.0;0.2;3.2;2.4;0.6;0.2;0.0;0.2;0.0
74;Mannen en vrouwen;15 tot 20 jaar;Niet-westerse allochtonen;2003;4.2;1.0;1.0;0.0;0.7;0.0;0.2;2.9;2.2;0.6;0.2;0.0;0.2;0.0
75;Mannen en vrouwen;15 tot 20 jaar;Marokkanen;1999;0.6;0.2;0.2;0.0;0.1;0.0;0.1;0.4;0.3;0.0;0.0;0.0;0.0;0.0
76;Mannen en vrouwen;15 tot 20 jaar;Marokkanen;2000;0.5;0.2;0.2;0.0;0.1;0.0;0.0;0.3;0.2;0.0;0.0;0.0;0.0;0.0
77;Mannen en vrouwen;15 tot 20 jaar;Marokkanen;2001;0.5;0.2;0.2;0.0;0.1;0.0;0.1;0.3;0.2;0.0;0.0;0.0;0.0;0.0
78;Mannen en vrouwen;15 tot 20 jaar;Marokkanen;2002;0.5;0.2;0.2;0.0;0.1;0.0;0.1;0.3;0.2;0.0;0.0;0.0;0.0;0.0
79;Mannen en vrouwen;15 tot 20 jaar;Marokkanen;2003;0.5;0.2;0.2;0.0;0.1;0.0;0.1;0.3;0.3;0.0;0.0;0.0;0.0;0.0
80;Mannen en vrouwen;15 tot 20 jaar;Turken;1999;0.7;0.2;0.2;0.0;0.1;0.0;0.1;0.4;0.3;0.0;0.1;0.0;0.1;0.0
81;Mannen en vrouwen;15 tot 20 jaar;Turken;2000;0.5;0.2;0.2;0.0;0.1;0.0;0.1;0.3;0.2;0.0;0.0;0.0;0.0;0.0
82;Mannen en vrouwen;15 tot 20 jaar;Turken;2001;0.4;0.2;0.2;0.0;0.1;0.0;0.1;0.2;0.1;0.0;0.0;0.0;0.0;0.0
83;Mannen en vrouwen;15 tot 20 jaar;Turken;2002;0.5;0.2;0.2;0.0;0.1;0.0;0.1;0.2;0.2;0.0;0.0;0.0;0.0;0.0
84;Mannen en vrouwen;15 tot 20 jaar;Turken;2003;0.5;0.2;0.2;0.0;0.1;0.0;0.1;0.2;0.2;0.0;0.0;0.0;0.1;0.0
85;Mannen en vrouwen;15 tot 20 jaar;Surinamers;1999;0.6;0.2;0.2;0.0;0.1;0.0;0.0;0.4;0.3;0.1;0.0;0.0;0.0;0.0
86;Mannen en vrouwen;15 tot 20 jaar;Surinamers;2000;0.5;0.2;0.2;0.0;0.1;0.0;0.0;0.4;0.2;0.1;0.0;0.0;0.0;0.0
87;Mannen en vrouwen;15 tot 20 jaar;Surinamers;2001;0.5;0.2;0.2;0.0;0.1;0.0;0.0;0.3;0.2;0.1;0.0;0.0;0.0;0.0
88;Mannen en vrouwen;15 tot 20 jaar;Surinamers;2002;0.6;0.2;0.2;0.0;0.2;0.0;0.0;0.4;0.2;0.1;0.0;0.0;0.0;0.0
89;Mannen en vrouwen;15 tot 20 jaar;Surinamers;2003;0.7;0.2;0.2;0.0;0.2;0.0;0.0;0.4;0.2;0.1;0.0;0.0;0.1;0.0
90;Mannen en vrouwen;15 tot 20 jaar;Antillianen en Arubanen;1999;0.5;0.1;0.1;0.0;0.1;0.0;0.0;0.4;0.2;0.1;0.0;0.0;0.0;0.0
91;Mannen en vrouwen;15 tot 20 jaar;Antillianen en Arubanen;2000;0.5;0.1;0.1;0.0;0.1;0.0;0.0;0.4;0.2;0.1;0.0;0.0;0.0;0.0
92;Mannen en vrouwen;15 tot 20 jaar;Antillianen en Arubanen;2001;0.4;0.1;0.1;0.0;0.1;0.0;0.0;0.4;0.2;0.1;0.0;0.0;0.0;0.0
93;Mannen en vrouwen;15 tot 20 jaar;Antillianen en Arubanen;2002;0.4;0.1;0.1;0.0;0.1;0.0;0.0;0.3;0.2;0.1;0.0;0.0;0.0;0.0
94;Mannen en vrouwen;15 tot 20 jaar;Antillianen en Arubanen;2003;0.5;0.1;0.1;0.0;0.1;0.0;0.0;0.3;0.2;0.1;0.0;0.0;0.0;0.0
95;Mannen en vrouwen;15 tot 20 jaar;Overige niet-westerse allochtonen;1999;1.6;0.1;0.1;0.0;0.1;0.0;0.0;1.5;1.2;0.2;0.1;0.0;0.0;0.0
96;Mannen en vrouwen;15 tot 20 jaar;Overige niet-westerse allochtonen;2000;1.9;0.2;0.2;0.0;0.1;0.0;0.0;1.7;1.4;0.3;0.1;0.0;0.0;0.0
97;Mannen en vrouwen;15 tot 20 jaar;Overige niet-westerse allochtonen;2001;1.8;0.2;0.2;0.0;0.1;0.0;0.0;1.6;1.3;0.2;0.1;0.0;0.0;0.0
98;Mannen en vrouwen;15 tot 20 jaar;Overige niet-westerse allochtonen;2002;2.3;0.2;0.2;0.0;0.1;0.0;0.0;2.0;1.7;0.3;0.1;0.0;0.0;0.0
99;Mannen en vrouwen;15 tot 20 jaar;Overige niet-westerse allochtonen;2003;2.0;0.2;0.2;0.0;0.2;0.0;0.1;1.7;1.3;0.3;0.1;0.0;0.1;0.0
100;Mannen en vrouwen;20 tot 25 jaar;Totaal herkomstgroeperingen;1999;56.3;22.1;20.9;1.2;12.4;1.9;7.7;26.8;15.0;6.9;4.9;0.1;8.4;0.0
101;Mannen en vrouwen;20 tot 25 jaar;Totaal herkomstgroeperingen;2000;52.6;23.7;22.3;1.4;14.0;2.1;7.6;23.4;12.1;7.4;3.8;0.1;6.4;0.0
102;Mannen en vrouwen;20 tot 25 jaar;Totaal herkomstgroeperingen;2001;53.0;24.8;22.9;1.6;15.5;2.2;7.0;23.2;11.7;7.9;3.5;0.1;5.9;0.0
103;Mannen en vrouwen;20 tot 25 jaar;Totaal herkomstgroeperingen;2002;58.5;25.4;23.5;1.9;16.7;2.2;6.5;25.0;13.1;8.3;3.6;0.1;9.1;0.0
104;Mannen en vrouwen;20 tot 25 jaar;Totaal herkomstgroeperingen;2003;69.3;25.3;23.6;1.7;17.5;1.9;5.9;29.6;16.6;8.8;4.2;0.1;15.6;0.0
105;Mannen en vrouwen;20 tot 25 jaar;Autochtonen;1999;34.6;17.9;16.9;1.0;10.1;1.6;6.2;11.2;6.7;3.0;1.5;0.0;6.1;0.0
106;Mannen en vrouwen;20 tot 25 jaar;Autochtonen;2000;32.4;19.1;17.9;1.2;11.3;1.7;6.1;9.3;5.0;3.2;1.1;0.0;4.5;0.0
107;Mannen en vrouwen;20 tot 25 jaar;Autochtonen;2001;32.0;19.7;18.3;1.3;12.4;1.8;5.5;8.8;4.5;3.3;1.0;0.0;4.0;0.0
108;Mannen en vrouwen;20 tot 25 jaar;Autochtonen;2002;35.2;20.2;18.7;1.5;13.3;1.8;5.1;9.5;4.9;3.5;1.1;0.0;6.2;0.0
109;Mannen en vrouwen;20 tot 25 jaar;Autochtonen;2003;41.9;20.1;18.7;1.4;14.0;1.6;4.6;11.8;6.7;3.8;1.3;0.0;10.7;0.0
110;Mannen en vrouwen;20 tot 25 jaar;Allochtonen;1999;21.7;4.1;4.0;0.2;2.3;0.3;1.5;15.6;8.3;3.9;3.4;0.0;2.3;0.0
111;Mannen en vrouwen;20 tot 25 jaar;Allochtonen;2000;20.3;4.6;4.4;0.2;2.7;0.4;1.5;14.1;7.1;4.2;2.7;0.0;1.8;0.0
112;Mannen en vrouwen;20 tot 25 jaar;Allochtonen;2001;21.0;5.0;4.7;0.3;3.2;0.4;1.4;14.4;7.2;4.6;2.6;0.0;1.9;0.0
113;Mannen en vrouwen;20 tot 25 jaar;Allochtonen;2002;23.3;5.2;4.8;0.3;3.4;0.4;1.4;15.6;8.2;4.8;2.5;0.0;2.9;0.0
114;Mannen en vrouwen;20 tot 25 jaar;Allochtonen;2003;27.4;5.2;4.8;0.3;3.5;0.4;1.3;17.8;9.9;5.0;2.9;0.0;4.9;0.0
115;Mannen en vrouwen;20 tot 25 jaar;Westerse allochtonen;1999;4.6;1.5;1.4;0.1;0.9;0.1;0.5;2.5;1.4;0.7;0.4;0.0;0.6;0.0
116;Mannen en vrouwen;20 tot 25 jaar;Westerse allochtonen;2000;4.2;1.6;1.6;0.1;1.0;0.1;0.5;2.1;1.1;0.7;0.4;0.0;0.5;0.0
117;Mannen en vrouwen;20 tot 25 jaar;Westerse allochtonen;2001;4.2;1.7;1.6;0.1;1.1;0.1;0.4;2.1;1.0;0.7;0.3;0.0;0.4;0.0
118;Mannen en vrouwen;20 tot 25 jaar;Westerse allochtonen;2002;4.7;1.8;1.7;0.1;1.2;0.1;0.4;2.2;1.1;0.8;0.3;0.0;0.7;0.0
119;Mannen en vrouwen;20 tot 25 jaar;Westerse allochtonen;2003;5.5;1.8;1.7;0.1;1.3;0.1;0.4;2.6;1.4;0.8;0.4;0.0;1.3;0.0
120;Mannen en vrouwen;20 tot 25 jaar;Niet-westerse allochtonen;1999;17.1;2.7;2.5;0.1;1.4;0.2;1.0;13.1;6.9;3.2;3.0;0.0;1.7;0.0
121;Mannen en vrouwen;20 tot 25 jaar;Niet-westerse allochtonen;2000;16.1;3.0;2.8;0.2;1.7;0.3;1.0;11.9;6.1;3.5;2.3;0.0;1.4;0.0
122;Mannen en vrouwen;20 tot 25 jaar;Niet-westerse allochtonen;2001;16.8;3.3;3.1;0.2;2.0;0.3;1.0;12.3;6.2;3.8;2.3;0.0;1.5;0.0
123;Mannen en vrouwen;20 tot 25 jaar;Niet-westerse allochtonen;2002;18.6;3.4;3.1;0.2;2.2;0.3;0.9;13.3;7.1;4.0;2.2;0.0;2.2;0.0
124;Mannen en vrouwen;20 tot 25 jaar;Niet-westerse allochtonen;2003;21.9;3.4;3.2;0.2;2.3;0.2;0.9;15.3;8.5;4.2;2.5;0.0;3.6;0.0
125;Mannen en vrouwen;20 tot 25 jaar;Marokkanen;1999;3.7;0.7;0.7;0.0;0.4;0.1;0.3;2.6;1.6;0.3;0.7;0.0;0.4;0.0
126;Mannen en vrouwen;20 tot 25 jaar;Marokkanen;2000;3.3;0.8;0.8;0.1;0.4;0.1;0.3;2.2;1.3;0.3;0.6;0.0;0.3;0.0
127;Mannen en vrouwen;20 tot 25 jaar;Marokkanen;2001;3.4;0.9;0.8;0.1;0.5;0.1;0.3;2.2;1.3;0.3;0.6;0.0;0.4;0.0
128;Mannen en vrouwen;20 tot 25 jaar;Marokkanen;2002;3.7;0.9;0.8;0.1;0.5;0.1;0.3;2.3;1.4;0.3;0.6;0.0;0.6;0.0
129;Mannen en vrouwen;20 tot 25 jaar;Marokkanen;2003;4.4;0.8;0.7;0.1;0.5;0.1;0.2;2.8;1.7;0.3;0.7;0.0;0.9;0.0
130;Mannen en vrouwen;20 tot 25 jaar;Turken;1999;3.9;0.8;0.8;0.0;0.5;0.1;0.3;2.6;0.9;0.4;1.3;0.0;0.6;0.0
131;Mannen en vrouwen;20 tot 25 jaar;Turken;2000;3.5;1.0;0.9;0.1;0.6;0.1;0.3;2.0;0.8;0.4;0.9;0.0;0.6;0.0
132;Mannen en vrouwen;20 tot 25 jaar;Turken;2001;3.5;1.1;0.9;0.1;0.6;0.1;0.3;1.9;0.8;0.4;0.8;0.0;0.6;0.0
133;Mannen en vrouwen;20 tot 25 jaar;Turken;2002;3.5;1.0;0.9;0.1;0.6;0.1;0.3;1.9;0.8;0.4;0.7;0.0;0.7;0.0
134;Mannen en vrouwen;20 tot 25 jaar;Turken;2003;4.1;0.9;0.8;0.1;0.6;0.1;0.3;2.2;1.0;0.4;0.8;0.0;1.1;0.0
135;Mannen en vrouwen;20 tot 25 jaar;Surinamers;1999;3.1;0.6;0.5;0.0;0.3;0.0;0.2;2.3;1.1;1.0;0.2;0.0;0.3;0.0
136;Mannen en vrouwen;20 tot 25 jaar;Surinamers;2000;2.8;0.6;0.6;0.0;0.3;0.0;0.2;2.1;0.9;1.0;0.1;0.0;0.2;0.0
137;Mannen en vrouwen;20 tot 25 jaar;Surinamers;2001;2.7;0.6;0.6;0.0;0.4;0.0;0.2;1.9;0.8;1.0;0.1;0.0;0.2;0.0
138;Mannen en vrouwen;20 tot 25 jaar;Surinamers;2002;2.9;0.6;0.6;0.0;0.4;0.0;0.2;1.9;0.8;1.0;0.1;0.0;0.3;0.0
139;Mannen en vrouwen;20 tot 25 jaar;Surinamers;2003;3.6;0.7;0.7;0.0;0.5;0.0;0.2;2.3;1.1;1.1;0.1;0.0;0.6;0.0
140;Mannen en vrouwen;20 tot 25 jaar;Antillianen en Arubanen;1999;2.2;0.2;0.2;0.0;0.1;0.0;0.1;1.9;1.0;0.8;0.1;0.0;0.1;0.0
141;Mannen en vrouwen;20 tot 25 jaar;Antillianen en Arubanen;2000;2.3;0.2;0.2;0.0;0.1;0.0;0.1;2.0;1.0;0.9;0.1;0.0;0.1;0.0
142;Mannen en vrouwen;20 tot 25 jaar;Antillianen en Arubanen;2001;2.2;0.3;0.2;0.0;0.2;0.0;0.1;1.9;0.8;1.0;0.1;0.0;0.1;0.0
